Agilent Accession	aAverage Fold Difference	p-value (n=3)	Genbank Accession	Gene Description and Symbol
A_52_P28379	0.128	2.66E-02	NM_008546	Mus musculus microfibrillar-associated protein 2 (Mfap2), mRNA [NM_008546]
A_51_P227502	0.061	3.00E-04	NM_008546	Mus musculus microfibrillar-associated protein 2 (Mfap2), mRNA [NM_008546]
A_51_P363681	0.020	2.35E-03	NM_015776	Mus musculus microfibrillar associated protein 5 (Mfap5), mRNA [NM_015776]
A_51_P424272	0.105	1.67E-02	NM_008631	Mus musculus metallothionein 4 (Mt4), mRNA [NM_008631]
A_51_P246317	0.011	1.26E-08	NM_008630	Mus musculus metallothionein 2 (Mt2), mRNA [NM_008630]
A_52_P423810	0.156	3.92E-04	BC027262	Mus musculus metallothionein 1, mRNA (cDNA clone MGC:27821 IMAGE:3483861), complete cds. [BC027262]
A_51_P294979	0.169	1.37E-06	NM_013602	Mus musculus metallothionein 1 (Mt1), mRNA [NM_013602]
A_51_P268439	0.188	1.21E-05	NM_023061	Mus musculus melanoma cell adhesion molecule (Mcam), mRNA [NM_023061]
A_51_P427476	0.199	1.23E-05	NM_024263	Mus musculus matrix-remodelling associated 8 (Mxra8), mRNA [NM_024263]
A_51_P255699	0.048	5.09E-08	NM_010809	Mus musculus matrix metalloproteinase 3 (Mmp3), mRNA [NM_010809]
A_51_P502132	0.130	1.96E-07	NM_011985	Mus musculus matrix metalloproteinase 23 (Mmp23), mRNA [NM_011985]
A_51_P341736	0.365	1.93E-04	NM_008610	Mus musculus matrix metalloproteinase 2 (Mmp2), mRNA [NM_008610]
A_52_P549223	5.506	1.16E-03	NM_032006	Mus musculus matrix metalloproteinase 1a (interstitial collagenase) (Mmp1a), mRNA [NM_032006]
A_51_P185688	7.581	9.10E-04	NM_032006	Mus musculus matrix metalloproteinase 1a (interstitial collagenase) (Mmp1a), mRNA [NM_032006]
A_51_P269166	0.075	1.11E-02	NM_021412	Mus musculus matrix metalloproteinase 19 (Mmp19), mRNA [NM_021412]
A_51_P216303	0.353	1.04E-05	NM_008608	Mus musculus matrix metalloproteinase 14 (membrane-inserted) (Mmp14), mRNA [NM_008608]
A_51_P293087	0.210	7.12E-06	NM_008606	Mus musculus matrix metalloproteinase 11 (Mmp11), mRNA [NM_008606]
A_51_P426270	0.008	3.08E-04	NM_008597	Mus musculus matrix Gla protein (Mgp), mRNA [NM_008597]
A_52_P297093	0.072	3.24E-04	NM_010770	Mus musculus matrilin 3 (Matn3), mRNA [NM_010770]
A_51_P484111	4.435	4.83E-06	NM_016762	Mus musculus matrilin 2 (Matn2), mRNA [NM_016762]
A_51_P145132	0.354	1.77E-02	NM_010779	Mus musculus mast cell protease 4 (Mcpt4), mRNA [NM_010779]
A_52_P342526	0.137	8.42E-03	NM_053083	Mus musculus lysyl oxidase-like 4 (Loxl4), mRNA [NM_053083]
A_51_P386533	0.073	2.20E-02	NM_053083	Mus musculus lysyl oxidase-like 4 (Loxl4), mRNA [NM_053083]
A_51_P275949	0.019	7.06E-07	NM_033325	Mus musculus lysyl oxidase-like 2 (Loxl2), mRNA [NM_033325]
A_51_P304239	0.014	8.73E-07	NM_010729	Mus musculus lysyl oxidase-like 1 (Loxl1), mRNA [NM_010729]
A_51_P300493	0.004	2.83E-05	NM_010728	Mus musculus lysyl oxidase (Lox), mRNA [NM_010728]
A_51_P101929	0.111	2.54E-07	NM_010705	Mus musculus lectin, galactose binding, soluble 3 (Lgals3), mRNA [NM_010705]
A_51_P465281	0.040	1.11E-07	NM_008495	Mus musculus lectin, galactose binding, soluble 1 (Lgals1), mRNA [NM_008495]
A_51_P199354	0.252	3.97E-03	NM_010683	Mus musculus laminin, gamma 1 (Lamc1), mRNA [NM_010683]
A_51_P191865	0.021	7.17E-04	NM_008481	Mus musculus laminin, alpha 2 (Lama2), mRNA [NM_008481]
A_51_P120717	0.306	3.63E-03	NM_010721	Mus musculus lamin B1 (Lmnb1), mRNA [NM_010721]
A_51_P103396	3.846	2.69E-04	NM_016879	Mus musculus keratin complex 2, basic, gene 18 (Krt2-18), mRNA [NM_016879]
A_51_P356642	0.138	7.53E-06	NM_008471	Mus musculus keratin complex 1, acidic, gene 19 (Krt1-19), mRNA [NM_008471]
A_51_P482128	0.362	3.01E-04	NM_008469	Mus musculus keratin complex 1, acidic, gene 15 (Krt1-15), mRNA [NM_008469]
A_51_P118225	35.570	7.55E-04	NM_028078	Mus musculus junction adhesion molecule 4 (Jam4), mRNA [NM_028078]
A_51_P358354	0.033	2.21E-06	NM_023277	Mus musculus junction adhesion molecule 3 (Jam3), mRNA [NM_023277]
A_52_P374846	0.052	9.97E-04	NM_023844	Mus musculus junction adhesion molecule 2 (Jam2), mRNA [NM_023844]
A_51_P418375	0.098	8.90E-04	NM_023844	Mus musculus junction adhesion molecule 2 (Jam2), mRNA [NM_023844]
A_52_P644273	0.094	1.16E-02	NM_028679	Mus musculus interleukin-1 receptor-associated kinase 3 (Irak3), mRNA [NM_028679]
A_52_P386627	0.016	7.72E-04	NM_028679	Mus musculus interleukin-1 receptor-associated kinase 3 (Irak3), mRNA [NM_028679]
A_51_P166941	0.035	5.08E-03	NM_028679	Mus musculus interleukin-1 receptor-associated kinase 3 (Irak3), mRNA [NM_028679]
A_51_P473888	0.179	3.06E-05	NM_010560	Mus musculus interleukin 6 signal transducer (Il6st), mRNA [NM_010560]
A_51_P464478	0.312	1.04E-05	NM_010557	Mus musculus interleukin 4 receptor, alpha (Il4ra), transcript variant 2, mRNA [NM_010557]
A_51_P183912	0.174	3.99E-03	NM_016671	Mus musculus interleukin 27 receptor, alpha (Il27ra), mRNA [NM_016671]
A_51_P286496	0.190	2.39E-02	NM_008368	Mus musculus interleukin 2 receptor, beta chain (Il2rb), mRNA [NM_008368]
A_52_P15461	3.962	1.85E-04	NM_008357	Mus musculus interleukin 15 (Il15), mRNA [NM_008357]
A_51_P470079	0.267	4.39E-02	NM_010555	Mus musculus interleukin 1 receptor, type II (Il1r2), mRNA [NM_010555]
A_51_P271503	0.193	2.50E-04	NM_008362	Mus musculus interleukin 1 receptor, type I (Il1r1), mRNA [NM_008362]
A_52_P431159	0.189	8.40E-06	NM_031167	Mus musculus interleukin 1 receptor antagonist (Il1rn), mRNA [NM_031167]
A_52_P180130	0.003	8.08E-04	NM_145467	Mus musculus integrin, beta-like 1 (Itgbl1), mRNA [NM_145467]
A_51_P417720	0.009	4.81E-03	NM_176922	Mus musculus integrin, alpha 11 (Itga11), mRNA [NM_176922]
A_52_P93974	3.162	1.46E-02	NM_021359	Mus musculus integrin beta 6 (Itgb6), mRNA [NM_021359]
A_52_P459521	3.837	3.06E-05	NM_001005607	Mus musculus integrin beta 4 (Itgb4), transcript variant 3, mRNA [NM_001005607]
A_51_P382970	0.040	3.19E-02	NM_133721	Mus musculus integrin alpha 9 (Itga9), mRNA [NM_133721]
A_52_P413034	0.335	2.73E-02	NM_008398	Mus musculus integrin alpha 7 (Itga7), mRNA [NM_008398]
A_51_P181671	0.294	4.71E-03	NM_008398	Mus musculus integrin alpha 7 (Itga7), mRNA [NM_008398]
A_52_P364140	0.033	1.76E-06	NM_010577	Mus musculus integrin alpha 5 (fibronectin receptor alpha) (Itga5), mRNA [NM_010577]
A_52_P223495	3.287	4.71E-02	NM_010576	Mus musculus integrin alpha 4 (Itga4), mRNA [NM_010576]
A_51_P515056	3.168	9.78E-05	NM_013565	Mus musculus integrin alpha 3 (Itga3), mRNA [NM_013565]
A_51_P230405	3.852	5.62E-05	NM_013565	Mus musculus integrin alpha 3 (Itga3), mRNA [NM_013565]
A_52_P612019	0.303	3.55E-02	NM_008396	Mus musculus integrin alpha 2 (Itga2), mRNA [NM_008396]
A_51_P472292	0.015	6.80E-09	NM_008048	Mus musculus insulin-like growth factor binding protein 7 (Igfbp7), mRNA [NM_008048]
A_51_P374571	0.106	2.59E-06	NM_008344	Mus musculus insulin-like growth factor binding protein 6 (Igfbp6), mRNA [NM_008344]
A_52_P257502	8.288	1.28E-06	NM_010517	Mus musculus insulin-like growth factor binding protein 4 (Igfbp4), mRNA [NM_010517]
A_51_P398971	5.391	4.19E-07	NM_010517	Mus musculus insulin-like growth factor binding protein 4 (Igfbp4), mRNA [NM_010517]
A_52_P508974	0.015	2.71E-03	NM_023670	Mus musculus insulin-like growth factor 2, binding protein 3 (Igf2bp3), mRNA [NM_023670]
A_52_P271232	0.037	1.16E-03	NM_023670	Mus musculus insulin-like growth factor 2, binding protein 3 (Igf2bp3), mRNA [NM_023670]
A_51_P302336	0.037	1.10E-04	NM_023670	Mus musculus insulin-like growth factor 2, binding protein 3 (Igf2bp3), mRNA [NM_023670]
A_52_P449871	9.852	1.61E-06	NM_031166	Mus musculus inhibitor of DNA binding 4 (Id4), mRNA [NM_031166]
A_51_P494430	5.605	8.37E-06	NM_031166	Mus musculus inhibitor of DNA binding 4 (Id4), mRNA [NM_031166]
A_51_P380178	0.278	5.46E-04	NM_008321	Mus musculus inhibitor of DNA binding 3 (Id3), mRNA [NM_008321]
A_51_P239750	0.313	9.30E-06	NM_008380	Mus musculus inhibin beta-A (Inhba), mRNA [NM_008380]
A_52_P401484	0.273	3.19E-03	NM_010564	Mus musculus inhibin alpha (Inha), mRNA [NM_010564]
A_51_P127297	0.259	3.24E-03	NM_008288	Mus musculus hydroxysteroid 11-beta dehydrogenase 1 (Hsd11b1), mRNA [NM_008288]
A_51_P243435	3.006	2.41E-02	NM_010475	Mus musculus hydroxysteroid (17-beta) dehydrogenase 1 (Hsd17b1), mRNA [NM_010475]
A_51_P398868	0.329	9.22E-03	NM_008217	Mus musculus hyaluronan synthase 3 (Has3), mRNA [NM_008217]
A_51_P213359	0.042	1.46E-07	NM_008216	Mus musculus hyaluronan synthase 2 (Has2), mRNA [NM_008216]
A_52_P435080	0.179	7.66E-03	NM_010427	Mus musculus hepatocyte growth factor (Hgf), mRNA [NM_010427]
A_51_P345867	0.274	3.63E-02	NM_011939	Mus musculus heat shock transcription factor 4 (Hsf4), mRNA [NM_011939]
A_51_P447874	0.051	7.92E-05	NM_013868	Mus musculus heat shock protein family, member 7 (cardiovascular) (Hspb7), mRNA [NM_013868]
A_51_P346445	0.057	4.28E-04	NM_013868	Mus musculus heat shock protein family, member 7 (cardiovascular) (Hspb7), mRNA [NM_013868]
A_51_P322138	0.301	3.39E-02	NM_024441	Mus musculus heat shock protein 2 (Hspb2), mRNA [NM_024441]
A_51_P130332	0.223	1.75E-04	NM_028306	Mus musculus heat shock protein 12B (Hspa12b), mRNA [NM_028306]
A_52_P404533	0.169	8.06E-08	NM_013560	Mus musculus heat shock protein 1 (Hspb1), mRNA [NM_013560]
A_51_P506899	0.062	4.50E-02	NM_175199	Mus musculus heat shock 70kDa protein 12A (Hspa12a), mRNA [NM_175199]
A_52_P420479	0.128	7.51E-03	NM_010402	Mus musculus heart and neural crest derivatives expressed transcript 2 (Hand2), mRNA [NM_010402]
A_51_P147850	0.039	8.14E-03	NM_010402	Mus musculus heart and neural crest derivatives expressed transcript 2 (Hand2), mRNA [NM_010402]
A_51_P464300	0.356	5.87E-06	NM_008107	Mus musculus growth differentiation factor 1 (Gdf1), mRNA [NM_008107]
A_51_P342446	0.073	1.30E-02	NM_008088	Mus musculus growth arrest specific 7 (Gas7), mRNA [NM_008088]
A_51_P130544	0.328	8.58E-04	BC004622	Mus musculus growth arrest specific 5, mRNA (cDNA clone MGC:6251 IMAGE:3585621), complete cds. [BC004622]
A_51_P366867	0.353	1.29E-04	NM_013525	Mus musculus growth arrest specific 5 (Gas5), mRNA [NM_013525]
A_51_P157083	0.114	3.86E-07	NM_008086	Mus musculus growth arrest specific 1 (Gas1), mRNA [NM_008086]
A_51_P315904	0.278	8.44E-05	NM_011817	Mus musculus growth arrest and DNA-damage-inducible 45 gamma (Gadd45g), mRNA [NM_011817]
A_51_P241465	0.013	2.04E-08	NM_146120	Mus musculus gelsolin (Gsn), mRNA [NM_146120]
A_51_P385639	0.209	1.72E-02	NM_010291	Mus musculus gap junction membrane channel protein beta 5 (Gjb5), mRNA [NM_010291]
A_51_P267622	4.927	1.78E-04	NM_008125	Mus musculus gap junction membrane channel protein beta 2 (Gjb2), mRNA [NM_008125]
A_51_P462422	4.132	4.38E-02	NM_008124	Mus musculus gap junction membrane channel protein beta 1 (Gjb1), mRNA [NM_008124]
A_52_P285041	0.083	6.48E-05	NM_008122	Mus musculus gap junction membrane channel protein alpha 7 (Gja7), mRNA [NM_008122]
A_51_P138450	0.092	2.16E-04	NM_008122	Mus musculus gap junction membrane channel protein alpha 7 (Gja7), mRNA [NM_008122]
A_52_P168231	3.099	1.60E-03	NM_021458	Mus musculus frizzled homolog 3 (Drosophila) (Fzd3), mRNA [NM_021458]
A_51_P404077	0.290	3.09E-06	NM_020510	Mus musculus frizzled homolog 2 (Drosophila) (Fzd2), mRNA [NM_020510]
A_52_P597634	0.220	5.25E-07	NM_021457	Mus musculus frizzled homolog 1 (Drosophila) (Fzd1), mRNA [NM_021457]
A_51_P215106	0.004	7.60E-06	NM_008047	Mus musculus follistatin-like 1 (Fstl1), mRNA [NM_008047]
A_51_P381821	0.131	9.75E-04	NM_008046	Mus musculus follistatin (Fst), mRNA [NM_008046]
A_52_P551987	4.694	2.61E-02	NM_177091	Mus musculus fibronectin type III domain containing 7 (Fndc7), mRNA [NM_177091]
A_52_P490910	0.095	3.22E-06	NM_022424	Mus musculus fibronectin type III domain containing 4 (Fndc4), mRNA [NM_022424]
A_52_P327381	0.177	2.56E-02	NM_022424	Mus musculus fibronectin type III domain containing 4 (Fndc4), mRNA [NM_022424]
A_51_P409825	0.145	7.81E-05	NM_022424	Mus musculus fibronectin type III domain containing 4 (Fndc4), mRNA [NM_022424]
A_52_P476935	4.455	3.76E-05	NM_178382	Mus musculus fibronectin leucine rich transmembrane protein 3 (Flrt3), mRNA [NM_178382]
A_51_P142295	8.635	2.11E-03	NM_178382	Mus musculus fibronectin leucine rich transmembrane protein 3 (Flrt3), mRNA [NM_178382]
A_51_P103254	0.132	2.99E-04	NM_201518	Mus musculus fibronectin leucine rich transmembrane protein 2 (Flrt2), mRNA [NM_201518]
A_52_P11817	0.305	1.49E-04	NM_010233	Mus musculus fibronectin 1 (Fn1), mRNA [NM_010233]
A_51_P100856	0.301	2.54E-04	NM_010233	Mus musculus fibronectin 1 (Fn1), mRNA [NM_010233]
A_51_P465331	0.026	7.63E-05	NM_008008	Mus musculus fibroblast growth factor 7 (Fgf7), mRNA [NM_008008]
A_52_P376768	0.086	1.33E-02	NM_008006	Mus musculus fibroblast growth factor 2 (Fgf2), mRNA [NM_008006]
A_51_P399845	0.193	7.77E-03	NM_008006	Mus musculus fibroblast growth factor 2 (Fgf2), mRNA [NM_008006]
A_51_P249957	0.040	1.45E-03	NM_008005	Mus musculus fibroblast growth factor 18 (Fgf18), mRNA [NM_008005]
A_52_P42269	0.280	2.51E-02	NM_008002	Mus musculus fibroblast growth factor 10 (Fgf10), mRNA [NM_008002]
A_52_P538673	4.926	6.88E-04	NM_010197	Mus musculus fibroblast growth factor 1 (Fgf1), mRNA [NM_010197]
A_52_P266132	0.240	2.99E-03	NM_008013	Mus musculus fibrinogen-like protein 2 (Fgl2), mRNA [NM_008013]
A_51_P327511	0.266	1.32E-02	NM_008013	Mus musculus fibrinogen-like protein 2 (Fgl2), mRNA [NM_008013]
A_51_P362176	0.051	7.88E-04	NM_133862	Mus musculus fibrinogen, gamma polypeptide (Fgg), mRNA [NM_133862]
A_52_P224801	0.008	1.47E-03	NM_007993	Mus musculus fibrillin 1 (Fbn1), mRNA [NM_007993]
A_51_P467224	0.004	8.77E-05	NM_007993	Mus musculus fibrillin 1 (Fbn1), mRNA [NM_007993]
A_52_P451796	0.114	4.27E-07	NM_021890	Mus musculus fatty acid desaturase 3 (Fads3), mRNA [NM_021890]
A_51_P464029	0.079	3.21E-07	NM_021890	Mus musculus fatty acid desaturase 3 (Fads3), mRNA [NM_021890]
A_51_P358112	0.220	1.54E-04	NM_146094	Mus musculus fatty acid desaturase 1 (Fads1), mRNA [NM_146094]
A_52_P564544	0.080	3.57E-02	NM_024406	Mus musculus fatty acid binding protein 4, adipocyte (Fabp4), mRNA [NM_024406]
A_51_P336833	0.015	6.99E-03	NM_024406	Mus musculus fatty acid binding protein 4, adipocyte (Fabp4), mRNA [NM_024406]
A_51_P336830	0.035	1.02E-02	NM_024406	Mus musculus fatty acid binding protein 4, adipocyte (Fabp4), mRNA [NM_024406]
A_51_P366061	0.186	1.82E-04	NM_007984	Mus musculus fascin homolog 1, actin bundling protein (Strongylocentrotus) purpuratus) (Fscn1), mRNA [NM_007984]
A_51_P345393	0.356	1.16E-04	NM_007987	Mus musculus Fas (TNF receptor superfamily member) (Fas), mRNA [NM_007987]
A_51_P315411	0.019	1.89E-03	NM_013813	Mus musculus erythrocyte protein band 4.1-like 3 (Epb4.1l3), mRNA [NM_013813]
A_52_P260914	0.208	1.09E-05	BC055044	Mus musculus erythrocyte protein band 4.1-like 2, mRNA (cDNA clone IMAGE:6490305), complete cds. [BC055044]
A_52_P621940	0.285	3.79E-05	NM_013511	Mus musculus erythrocyte protein band 4.1-like 2 (Epb4.1l2), mRNA [NM_013511]
A_52_P305654	0.254	4.76E-05	NM_013511	Mus musculus erythrocyte protein band 4.1-like 2 (Epb4.1l2), mRNA [NM_013511]
A_51_P116940	0.373	3.46E-04	NM_007940	Mus musculus epoxide hydrolase 2, cytoplasmic (Ephx2), mRNA [NM_007940]
A_52_P582374	26.950	5.59E-03	NM_178825	Mus musculus epithelial stromal interaction 1 (breast) (Epsti1), transcript variant b, mRNA [NM_178825]
A_51_P376050	28.610	2.78E-03	NM_029495	Mus musculus epithelial stromal interaction 1 (breast) (Epsti1), transcript variant a, mRNA [NM_029495]
A_51_P446510	0.073	2.61E-05	NM_010129	Mus musculus epithelial membrane protein 3 (Emp3), mRNA [NM_010129]
A_52_P120037	0.210	7.00E-05	NM_010128	Mus musculus epithelial membrane protein 1 (Emp1), mRNA [NM_010128]
A_51_P171215	0.057	6.63E-03	NM_007950	Mus musculus epiregulin (Ereg), mRNA [NM_007950]
A_51_P160544	0.144	1.46E-04	NM_021474	Mus musculus epidermal growth factor-containing fibulin-like extracellular matrix protein 2 (Efemp2), mRNA [NM_021474]
A_51_P337412	0.029	7.52E-05	NM_146015	Mus musculus epidermal growth factor-containing fibulin-like extracellular matrix protein 1 (Efemp1), mRNA [NM_146015]
A_52_P56471	0.230	8.57E-06	NM_007912	Mus musculus epidermal growth factor receptor (Egfr), transcript variant 2, mRNA [NM_007912]
A_51_P392242	0.240	1.10E-05	NM_007912	Mus musculus epidermal growth factor receptor (Egfr), transcript variant 2, mRNA [NM_007912]
A_52_P674338	0.139	1.90E-03	NM_207655	Mus musculus epidermal growth factor receptor (Egfr), transcript variant 1, mRNA [NM_207655]
A_52_P106259	0.087	2.06E-05	NM_207655	Mus musculus epidermal growth factor receptor (Egfr), transcript variant 1, mRNA [NM_207655]
A_51_P388478	0.272	3.36E-04	NM_010110	Mus musculus ephrin B1 (Efnb1), mRNA [NM_010110]
A_52_P315155	0.341	5.74E-04	NM_010142	Mus musculus Eph receptor B2 (Ephb2), mRNA [NM_010142]
A_51_P163714	0.248	3.11E-02	NM_010142	Mus musculus Eph receptor B2 (Ephb2), mRNA [NM_010142]
A_52_P502577	0.140	5.47E-04	NM_010101	Mus musculus endothelial differentiation, sphingolipid G-protein-coupled receptor, 3 (Edg3), mRNA [NM_010101]
A_51_P137523	0.063	1.16E-04	NM_010101	Mus musculus endothelial differentiation, sphingolipid G-protein-coupled receptor, 3 (Edg3), mRNA [NM_010101]
A_52_P507802	0.131	2.77E-06	NM_010336	Mus musculus endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2 (Edg2), mRNA [NM_010336]
A_51_P475573	0.141	6.64E-04	NM_010336	Mus musculus endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2 (Edg2), mRNA [NM_010336]
A_52_P532227	0.069	2.57E-02	NM_007901	Mus musculus endothelial differentiation sphingolipid G-protein-coupled receptor 1 (Edg1), mRNA [NM_007901]
A_52_P527800	0.054	2.44E-07	NM_145158	Mus musculus elastin microfibril interfacer 2 (Emilin2), mRNA [NM_145158]
A_51_P305770	0.051	2.53E-04	NM_145158	Mus musculus elastin microfibril interfacer 2 (Emilin2), mRNA [NM_145158]
A_51_P222359	0.096	5.34E-05	NM_133918	Mus musculus elastin microfibril interfacer 1 (Emilin1), mRNA [NM_133918]
A_52_P578634	0.159	4.30E-04	NM_033612	Mus musculus elastase 1, pancreatic (Ela1), mRNA [NM_033612]
A_52_P220176	0.048	3.70E-02	NM_015814	Mus musculus dickkopf homolog 3 (Xenopus laevis) (Dkk3), mRNA [NM_015814]
A_51_P435239	0.396	1.40E-06	NM_010026	Mus musculus development and differentiation enhancing (Ddef1), mRNA [NM_010026]
A_51_P335969	0.358	8.91E-03	NM_010043	Mus musculus desmin (Des), mRNA [NM_010043]
A_52_P232637	115.300	6.99E-03	NM_007857	Mus musculus desert hedgehog (Dhh), mRNA [NM_007857]
A_51_P116651	0.222	2.01E-04	NM_019759	Mus musculus dermatopontin (Dpt), mRNA [NM_019759]
A_51_P264769	0.333	3.58E-02	NM_016779	Mus musculus dentin matrix protein 1 (Dmp1), mRNA [NM_016779]
A_51_P388412	11.150	7.81E-06	NM_010016	Mus musculus decay accelerating factor 1 (Daf1), mRNA [NM_010016]
A_52_P32121	0.058	1.39E-05	NM_175451	Mus musculus cytoskeleton-associated protein 4 (Ckap4), mRNA [NM_175451]
A_51_P461429	0.077	6.84E-03	NM_007825	Mus musculus cytochrome P450, family 7, subfamily b, polypeptide 1 (Cyp7b1), mRNA [NM_007825]
A_52_P302345	0.176	4.34E-03	NM_133969	Mus musculus cytochrome P450, family 4, subfamily v, polypeptide 3 (Cyp4v3), mRNA [NM_133969]
A_51_P118704	0.139	2.48E-02	NM_007823	Mus musculus cytochrome P450, family 4, subfamily b, polypeptide 1 (Cyp4b1), mRNA [NM_007823]
A_51_P501844	0.242	5.89E-04	NM_175475	Mus musculus cytochrome P450, family 26, subfamily b, polypeptide 1 (Cyp26b1), mRNA [NM_175475]
A_52_P88648	6.052	6.01E-05	NM_009996	Mus musculus cytochrome P450, family 24, subfamily a, polypeptide 1 (Cyp24a1), mRNA [NM_009996]
A_51_P124133	0.238	4.59E-03	NM_010006	Mus musculus cytochrome P450, family 2, subfamily d, polypeptide 9 (Cyp2d9), mRNA [NM_010006]
A_51_P124126	0.142	4.02E-03	NM_019823	Mus musculus cytochrome P450, family 2, subfamily d, polypeptide 22 (Cyp2d22), mRNA [NM_019823]
A_51_P255456	0.237	1.84E-05	NM_009994	Mus musculus cytochrome P450, family 1, subfamily b, polypeptide 1 (Cyp1b1), mRNA [NM_009994]
A_52_P53906	0.149	2.54E-07	NM_009829	Mus musculus cyclin D2 (Ccnd2), mRNA [NM_009829]
A_52_P514391	0.085	2.18E-04	NM_009829	Mus musculus cyclin D2 (Ccnd2), mRNA [NM_009829]
A_51_P433228	0.107	4.06E-06	NM_009829	Mus musculus cyclin D2 (Ccnd2), mRNA [NM_009829]
A_51_P324690	0.239	1.52E-02	NM_053109	Mus musculus C-type lectin domain family 2, member d (Clec2d), mRNA [NM_053109]
A_52_P566665	0.149	3.05E-02	NM_025809	Mus musculus C-type lectin domain family 14, member a (Clec14a), mRNA [NM_025809]
A_51_P155977	0.206	3.41E-02	NM_025809	Mus musculus C-type lectin domain family 14, member a (Clec14a), mRNA [NM_025809]
A_51_P157042	0.070	1.71E-04	NM_010217	Mus musculus connective tissue growth factor (Ctgf), mRNA [NM_010217]
A_51_P512525	4.204	4.36E-02	NM_009888	Mus musculus complement component factor h (Cfh), mRNA [NM_009888]
A_51_P428708	0.341	7.95E-06	NM_009780	Mus musculus complement component 4 (within H-2S) (C4), mRNA [NM_009780]
A_51_P110301	0.218	3.95E-05	NM_009778	Mus musculus complement component 3 (C3), mRNA [NM_009778]
A_52_P428699	0.060	4.11E-03	NM_013484	Mus musculus complement component 2 (within H-2S) (C2), mRNA [NM_013484]
A_51_P497985	0.044	4.44E-03	NM_013484	Mus musculus complement component 2 (within H-2S) (C2), mRNA [NM_013484]
A_51_P384318	0.301	4.88E-04	NM_023143	Mus musculus complement component 1, r subcomponent (C1r), mRNA [NM_023143]
A_51_P195506	0.211	1.37E-05	NM_007778	Mus musculus colony stimulating factor 1 (macrophage) (Csf1), mRNA [NM_007778]
A_52_P195100	0.026	1.71E-03	NM_178793	Mus musculus collagen and calcium binding EGF domains 1 (Ccbe1), mRNA [NM_178793]
A_52_P344290	0.145	6.85E-05	NM_010169	Mus musculus coagulation factor II (thrombin) receptor (F2r), mRNA [NM_010169]
A_52_P322725	0.134	2.77E-02	AK087418	Mus musculus clone:E130014I11 product:cadherin 2, full insert sequence. [AK087418]
A_52_P975	0.363	6.05E-03	AK048543	Mus musculus clone:C130071K18 product:matrix metalloproteinase 16, full insert sequence [AK048543]
A_52_P70231	0.051	9.22E-03	AK046558	Mus musculus clone:B430009L16 product:a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2), full insert sequence [AK046558]
A_52_P558502	7.615	1.82E-03	AK038014	Mus musculus clone:A130071K09 product:interleukin 16, full insert sequence. [AK038014]
A_52_P168953	0.077	3.09E-03	AK034871	Mus musculus clone:9430051N09 product:chondroitin sulfate proteoglycan 2, full insert sequence. [AK034871]
A_52_P54106	0.386	7.33E-03	AK034547	Mus musculus clone:9430004F14 product:growth hormone receptor, full insert sequence. [AK034547]
A_52_P247185	0.262	1.39E-04	AK031598	Mus musculus clone:6030458D19 product:mannan-binding lectin serine protease 1, full insert sequence. [AK031598]
A_52_P424253	0.017	4.35E-03	AK031577	Mus musculus clone:6030456A07 product:procollagen, type I, alpha 2, full insert sequence. [AK031577]
A_52_P8643	0.195	1.60E-02	AK031544	Mus musculus clone:6030449K06 product:COLLAGEN ALPHA 1(III) CHAIN PRECURSOR, full insert sequence. [AK031544]
A_52_P265996	3.471	4.96E-02	AK031375	Mus musculus clone:6030416D17 product:neuregulin 1, full insert sequence. [AK031375]
A_52_P65408	4.163	2.63E-03	AK077879	Mus musculus clone:6030402G09 product:catenin alpha-like 1, full insert sequence. [AK077879]
A_52_P199084	12.340	1.55E-02	AK030285	Mus musculus clone:5031405O06 product:decay accelerating factor 1, full insert sequence [AK030285]
A_52_P201531	0.387	3.54E-05	AK029836	Mus musculus clone:4931409E17 product:MYOSIN-IXA homolog [Homo sapiens], full insert sequence. [AK029836]
A_52_P582568	0.144	3.30E-02	AK029782	Mus musculus clone:4930554I11 product:DERMATAN [AK029782]
A_52_P99888	7.753	5.81E-05	AK028875	Mus musculus clone:4732465K06 product:CXC chemokine ligand 16, full insert sequence. [AK028875]
A_52_P150851	0.232	5.93E-04	AK028812	Mus musculus clone:4732458B12 product:ADAMTS-12 PRECURSOR (EC 3.4.24.-) (A DISINTEGRIN AND METALLOPROTEINASE WITH THROMBOSPONDIN MOTIFS 12) (ADAM-TS 12) (ADAM- TS12) homolog [Homo...
A_51_P219970	0.221	1.79E-04	AK007931	Mus musculus clone:1810062B19 product:elastase 1, pancreatic, full insert sequence. [AK007931]
A_52_P109941	14.240	1.38E-02	NM_007575	Mus musculus class II transactivator (C2ta), mRNA [NM_007575]
A_52_P549032	3.054	1.16E-02	NM_026599	Mus musculus cingulin-like 1 (Cgnl1), mRNA [NM_026599]
A_51_P184184	0.172	9.99E-03	NM_016673	Mus musculus ciliary neurotrophic factor receptor (Cntfr), mRNA [NM_016673]
A_51_P382684	0.151	1.26E-03	NM_021350	Mus musculus choroideremia-like (Chml), mRNA [NM_021350]
