UNIQID	Gene Symbol	Chromosome Map	Gene Description
222037_at	MCM4	chr8q11	MCM4 minichromosome maintenance deficient 4 (S. ce
218027_at	MRPL15	chr8q11	mitochondrial ribosomal protein L15
219363_s_at	CGI-12	chr8q22	CGI-12 protein
221020_s_at	MFTC	chr8q22	mitochondrial folate transporter/carrier
219121_s_at	FLJ20171	chr8q22	hypothetical protein FLJ20171
218782_s_at	ATAD2	chr8q24	ATPase family AAA domain containing 2
218185_s_at	ARMC1	chr8q13	armadillo repeat containing 1
209218_at	SQLE	chr8q24	squalene epoxidase
209523_at	TAF2	chr8q24	TAF2 RNA polymerase II TATA box binding protein (
219000_s_at	DCC1	chr8q24	defective in sister chromatid cohesion homolog 1 (
218049_s_at	MRPL13	chr8q22	mitochondrial ribosomal protein L13
214061_at	MGC21654	chr8q24	unknown MGC21654 product
219402_s_at	DERL1	chr8q24	Der1-like domain family member 1
218549_s_at	CGI-90	chr8q21	CGI-90 protein
218919_at	FLJ14007	chr8q21	hypothetical protein FLJ14007
221586_s_at	E2F5	chr8q21	E2F transcription factor 5 p130-binding
213092_x_at	DNAJC9	chr10q22	DnaJ (Hsp40) homolog subfamily C member 9
201450_s_at	TIA1	chr2p13	TIA1 cytotoxic granule-associated RNA binding prot
203177_x_at	TFAM	chr10q21	transcription factor A mitochondrial
209314_s_at	HBS1L	chr6q23	HBS1-like (S. cerevisiae)
213410_at	C10orf137	chr10q26	chromosome 10 open reading frame 137
202043_s_at	SMS	chrxp22	spermine synthase
208857_s_at	PCMT1	chr6q24	protein-L-isoaspartate (D-aspartate) O-methyltrans
218984_at	FLJ20485	chr7q22	hypothetical protein FLJ20485
203588_s_at	TFDP2	chr3q23	transcription factor Dp-2 (E2F dimerization partne
201529_s_at	RPA1	chr17p13	replication protein A1 70kDa
201521_s_at	NCBP2	chr3q29	nuclear cap binding protein subunit 2 20kDa
204023_at	RFC4	chr3q27	replication factor C (activator 1) 4 37kDa
212840_at	KIAA0794	chr3q29	KIAA0794 protein
208875_s_at	PAK2	chr3q29	p21 (CDKN1A)-activated kinase 2
214306_at	OPA1	chr3q28	optic atrophy 1 (autosomal dominant)
218617_at	TRIT1	chr1p35	tRNA isopentenyltransferase 1
210115_at	RPL39L	chr3q27	ribosomal protein L39-like
202251_at	PRPF3	chr1q21	PRP3 pre-mRNA processing factor 3 homolog (yeast)
218229_s_at	POGK	chr1q24	pogo transposable element with KRAB domain
211594_s_at	MRPL9	chr1q21	mitochondrial ribosomal protein L9
209586_s_at	HTCD37	chr1q21	TcD37 homolog
209825_s_at	UCK2	chr1q23	uridine-cytidine kinase 2
215416_s_at	STOML2	chr9p13	stomatin (EPB72)-like 2
213947_s_at	NUP210	chr3p25	nucleoporin 210
203401_at	PRPS2	chrxp22	phosphoribosyl pyrophosphate synthetase 2
221428_s_at	TBL1XR1	chr3q26	transducin (beta)-like 1X-linked receptor 1
206613_s_at	TAF1A	chr1q42	TATA box binding protein (TBP)-associated factor
220199_s_at	FLJ12806	chr1q41	hypothetical protein FLJ12806
215629_s_at	DLEU2	chr13q14	deleted in lymphocytic leukemia 2
221245_s_at	C2orf31	chr2q34	chromosome 2 open reading frame 31
204730_at	RIMS3	chr1pter	regulating synaptic membrane exocytosis 3
205541_s_at	GSPT2	chrxp11	G1 to S phase transition 2
208078_s_at	SNF1LK	chr21q22	SNF1-like kinase
213005_s_at	ANKRD15	chr9p24	ankyrin repeat domain 15
201587_s_at	IRAK1	chrxq28	interleukin-1 receptor-associated kinase 1
204087_s_at	SLC5A6	chr2p23	solute carrier family 5 (sodium-dependent vitamin
209533_s_at	PLAA	chr9p21	phospholipase A2-activating protein
219192_at	UBAP2	chr9p13	ubiquitin associated protein 2
203909_at	SLC9A6	chrxq26	solute carrier family 9 (sodium/hydrogen exchanger
201195_s_at	SLC7A5	chr16q24	solute carrier family 7 (cationic amino acid trans
206245_s_at	IVNS1ABP	chr1q25	influenza virus NS1A binding protein
203405_at	DSCR2	chr21q22	Down syndrome critical region gene 2
212846_at	KIAA0179	chr21q22	KIAA0179
209288_s_at	CDC42EP3	chr2p21	CDC42 effector protein (Rho GTPase binding) 3
201012_at	ANXA1	chr9q12	annexin A1
203324_s_at	CAV2	chr7q31	caveolin 2
201215_at	PLS3	chrxq23	plastin 3 (T isoform)
201617_x_at	CALD1	chr7q33	caldesmon 1
202133_at	TAZ	chr3q23	transcriptional co-activator with PDZ-binding moti
201300_s_at	PRNP	chr20pter	prion protein (p27-30) (Creutzfeld-Jakob disease
212536_at	ATP11B	chr3q27	ATPase Class VI type 11B
218236_s_at	PRKD3	chr2p21	protein kinase D3
209648_x_at	SOCS5	chr2p21	suppressor of cytokine signaling 5
216268_s_at	JAG1	chr20p12	jagged 1 (Alagille syndrome)
209868_s_at	RBMS1	chr2q24	RNA binding motif single stranded interacting pro
219410_at	FLJ10134	chr3q12	hypothetical protein FLJ10134
219049_at	ChGn	chr8p21	chondroitin beta14 N-acetylgalactosaminyltransfer
201161_s_at	CSDA	chr12p13	cold shock domain protein A
207076_s_at	ASS	chr9q34	argininosuccinate synthetase
201201_at	CSTB	chr21q22	cystatin B (stefin B)
204616_at	UCHL3	chr13q22	ubiquitin carboxyl-terminal esterase L3 (ubiquitin
219347_at	NUDT15	chr13q14	nudix (nucleoside diphosphate linked moiety X)-typ
201037_at	PFKP	chr10p15	phosphofructokinase platelet
203256_at	CDH3	chr16q22	cadherin 3 type 1 P-cadherin (placental)
201848_s_at	BNIP3	chr10q26	BCL2/adenovirus E1B 19kDa interacting protein 3
204675_at	SRD5A1	chr5p15	steroid-5-alpha-reductase alpha polypeptide 1 (3-
203971_at	SLC31A1	chr9q31	solute carrier family 31 (copper transporters) me
200632_s_at	NDRG1	chr8q24	N-myc downstream regulated gene 1
202912_at	ADM	chr11p15	adrenomedullin
201983_s_at	EGFR	chr7p12	epidermal growth factor receptor (erythroblastic l
203972_s_at	PEX3	chr6q23	peroxisomal biogenesis factor 3
218424_s_at	TSAP6	chr2q14	dudulin 2
219630_at	MAP17	chr1p33	membrane-associated protein 17
205429_s_at	MPP6	chr7p15	membrane protein palmitoylated 6 (MAGUK p55 subfa
218498_s_at	ERO1L	chr14q22	ERO1-like (S. cerevisiae)
209373_at	BENE	chr2q13	BENE protein
218182_s_at	CLDN1	chr3q28	claudin 1
217739_s_at	PBEF1	chr7q22	pre-B-cell colony enhancing factor 1
218092_s_at	HRB	chr2q36	HIV-1 Rev binding protein
217388_s_at	KYNU	chr2q22	kynureninase (L-kynurenine hydrolase)
209822_s_at	VLDLR	chr9p24	very low density lipoprotein receptor
201976_s_at	MYO10	chr5p15	myosin X
203574_at	NFIL3	chr9q22	nuclear factor interleukin 3 regulated
221215_s_at	RIPK4	chr21q22	receptor-interacting serine-threonine kinase 4
221872_at	RARRES1	chr3q25	retinoic acid receptor responder (tazarotene induc
219806_s_at	FN5	chr11q13	FN5 protein
212242_at	TUBA1	chr2q35	tubulin alpha 1 (testis specific)
212220_at	PSME4	chr2p16	proteasome (prosome macropain) activator subunit
218440_at	MCCC1	chr3q27	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)
219983_at	HRASLS	chr3q29	HRAS-like suppressor
210087_s_at	MPZL1	chr1q24	myelin protein zero-like 1
216905_s_at	ST14	chr11q24	suppression of tumorigenicity 14 (colon carcinoma
203693_s_at	E2F3	chr6p22	E2F transcription factor 3
209155_s_at	NT5C2	chr10q24	5-nucleotidase cytosolic II
203828_s_at	NK4	chr16p13	natural killer cell transcript 4
201030_x_at	LDHB	chr12p12	lactate dehydrogenase B
200600_at	MSN	chrxq11	moesin
201719_s_at	EPB41L2	chr6q23	erythrocyte membrane protein band 4.1-like 2
219387_at	KIAA1212	chr2p16	KIAA1212
208370_s_at	DSCR1	chr21q22	Down syndrome critical region gene 1
202760_s_at	PALM2-AKAP2	chr9q31	PALM2-AKAP2 protein
206765_at	KCNJ2	chr17q23	potassium inwardly-rectifying channel subfamily J
222162_s_at	ADAMTS1	chr21q21	a disintegrin-like and metalloprotease (reprolysin
218856_at	TNFRSF21	chr6p21	tumor necrosis factor receptor superfamily member
209170_s_at	GPM6B	chrxp22	glycoprotein M6B
205122_at	TMEFF1	chr9q31	transmembrane protein with EGF-like and two follis
205347_s_at	TMSNB	chrxq21	thymosin beta identified in neuroblastoma cells
206140_at	LHX2	chr9q33	LIM homeobox 2
206373_at	ZIC1	chr3q24	Zic family member 1 (odd-paired homolog Drosophil
200824_at	GSTP1	chr11q13	glutathione S-transferase pi
201397_at	PHGDH	chr1p12	phosphoglycerate dehydrogenase
202200_s_at	SRPK1	chr6p21	SFRS protein kinase 1
203023_at	HSPC111	chr5q35	hypothetical protein HSPC111
202431_s_at	MYC	chr8q24	v-myc myelocytomatosis viral oncogene homolog (avi
205895_s_at	NOLC1	chr10q24	nucleolar and coiled-body phosphoprotein 1
203691_at	PI3	chr20q12	protease inhibitor 3 skin-derived (SKALP)
209125_at	KRT6E	chr12q13	keratin 6E
209800_at	KRT16	chr17q12	keratin 16 (focal non-epidermolytic palmoplantar k
206407_s_at	CCL13	chr17q11	chemokine (C-C motif) ligand 13
214240_at	GAL	chr11q13	galanin
209406_at	BAG2	chr6p12	BCL2-associated athanogene 2
201016_at	EIF1AX	chrxp22	eukaryotic translation initiation factor 1A X-lin
205548_s_at	BTG3	chr21q21	BTG family member 3
201833_at	HDAC2	chr6q21	histone deacetylase 2
203428_s_at	ASF1A	chr6q22	ASF1 anti-silencing function 1 homolog A (S. cerev
201955_at	CCNC	chr6q21	cyclin C
202511_s_at	APG5L	chr6q21	APG5 autophagy 5-like (S. cerevisiae)
212815_at	ASCC3	chr6q16	activating signal cointegrator 1 complex subunit 3
217826_s_at	UBE2J1	chr6q15	ubiquitin-conjugating enzyme E2 J1 (UBC6 homolog
217834_s_at	SYNCRIP	chr6q14	synaptotagmin binding cytoplasmic RNA interacting
214700_x_at	Rif1	chr2q23	telomere-associated protein RIF1 homolog
221676_s_at	CORO1C	chr12q24	coronin actin binding protein 1C
211764_s_at	UBE2D1	chr10q11	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog
221803_s_at	NRBF2	chr10q21	nuclear receptor binding factor 2
211967_at	PORIMIN	chr11q22	pro-oncosis receptor inducing membrane injury gene
218566_s_at	CHORDC1	chr11q14	cysteine and histidine-rich domain (CHORD)-contain
221517_s_at	CRSP6	chr11q14	cofactor required for Sp1 transcriptional activati
208484_at	HIST1H1A	chr6p21	histone 1 H1a
209205_s_at	LMO4	chr1p22	LIM domain only 4
204259_at	MMP7	chr11q21	matrix metalloproteinase 7 (matrilysin uterine)
209183_s_at	C10orf10	chr10q11	chromosome 10 open reading frame 10
203263_s_at	ARHGEF9	chrxq11	Cdc42 guanine nucleotide exchange factor (GEF) 9
202345_s_at	FABP5	chr8q21	fatty acid binding protein 5 (psoriasis-associated
209191_at	MGC4083	chr18p11	tubulin beta MGC4083
202342_s_at	TRIM2	chr4q31	tripartite motif-containing 2
202037_s_at	SFRP1	chr8p12	secreted frizzled-related protein 1
212730_at	DMN	chr15q26	desmuslin
206453_s_at	NDRG2	chr14q11	NDRG family member 2
204712_at	WIF1	chr12q14	WNT inhibitory factor 1
214023_x_at	MGC8685	chr6p25	tubulin beta polypeptide paralog
209291_at	ID4	chr6p22	inhibitor of DNA binding 4 dominant negative heli
220625_s_at	ELF5	chr11p13	E74-like factor 5 (ets domain transcription factor
203921_at	CHST2	chr3q24	carbohydrate (N-acetylglucosamine-6-O) sulfotransf
204885_s_at	MSLN	chr16p13	mesothelin
206898_at	CDH19	chr18q22	cadherin 19 type 2
205475_at	SCRG1	chr4q31	scrapie responsive protein 1
210683_at	NRTN	chr19p13	neurturin
203924_at	GSTA1	chr6p12	glutathione S-transferase A1
204748_at	PTGS2	chr1q25	prostaglandin-endoperoxide synthase 2 (prostagland
206315_at	CRLF1	chr19p12	cytokine receptor-like factor 1
214636_at	CALCB	chr11p15	calcitonin-related polypeptide beta
219914_at	ECEL1	chr2q36	endothelin converting enzyme-like 1
204401_at	KCNN4	chr19q13	potassium intermediate/small conductance calcium-a
205350_at	CRABP1	chr15q24	cellular retinoic acid binding protein 1
208358_s_at	UGT8	chr4q26	UDP glycosyltransferase 8 (UDP-galactose ceramide
206456_at	GABRA5	chr15q11	gamma-aminobutyric acid (GABA) A receptor alpha 5
210145_at	PLA2G4A	chr1q25	phospholipase A2 group IVA (cytosolic calcium-de
210147_at	ART3	chr4p15	ADP-ribosyltransferase 3
220196_at	MUC16	chr19q13	mucin 16
209395_at	CHI3L1	chr1q32	chitinase 3-like 1 (cartilage glycoprotein-39)
201387_s_at	UCHL1	chr4p14	ubiquitin carboxyl-terminal esterase L1 (ubiquitin
209990_s_at	GPR51	chr9q22	G protein-coupled receptor 51
201795_at	LBR	chr1q42	lamin B receptor
203120_at	TP53BP2	chr1q42	tumor protein p53 binding protein 2
219481_at	TTC13	chr1q42	tetratricopeptide repeat domain 13
210053_at	TAF5	chr10q24	TAF5 RNA polymerase II TATA box binding protein (
218684_at	LRRC5	chr1p22	leucine rich repeat containing 5
201980_s_at	RSU1	chr10p13	Ras suppressor protein 1
202146_at	IFRD1	chr7q22	Interferon-related developmental regulator 1
211063_s_at	NCK1	chr3q21	NCK adaptor protein 1
204060_s_at	PRKX	chrxp22	protein kinase X-linked
204304_s_at	PROM1	chr4p15	prominin 1
203637_s_at	MID1	chrxp22	midline 1 (Opitz/BBB syndrome)
218963_s_at	KRT23	chr17q21	keratin 23 (histone deacetylase inducible)
205595_at	DSG3	chr18q12	desmoglein 3 (pemphigus vulgaris antigen)
202504_at	TRIM29	chr11q22	tripartite motif-containing 29
203074_at	ANXA8	chr10q11	annexin A8
201820_at	KRT5	chr12q12	keratin 5 (epidermolysis bullosa simplex Dowling-
205157_s_at	KRT17	chr17q12	keratin 17
204855_at	SERPINB5	chr18q21	serine (or cysteine) proteinase inhibitor clade B
205476_at	CCL20	chr2q33	chemokine (C-C motif) ligand 20
206032_at	DSC3	chr18q12	desmocollin 3
205778_at	KLK7	chr19q13	kallikrein 7 (chymotryptic stratum corneum)
209792_s_at	KLK10	chr19q13	kallikrein 10
221854_at	PKP1	chr1q32	plakophilin 1 (ectodermal dysplasia/skin fragility
213456_at	SOSTDC1	chr7p21	sclerostin domain containing 1
209211_at	KLF5	chr13q22	Kruppel-like factor 5 (intestinal)
203881_s_at	DMD	chrxp21	dystrophin (muscular dystrophy Duchenne and Becke
204030_s_at	SCHIP1	chr3q25	schwannomin interacting protein 1
205044_at	GABRP	chr5q33	gamma-aminobutyric acid (GABA) A receptor pi
212771_at	C10orf38	chr10p13	chromosome 10 open reading frame 38
219497_s_at	BCL11A	chr2p16	B-cell CLL/lymphoma 11A (zinc finger protein)
206560_s_at	MIA	chr19q13	melanoma inhibitory activity
209842_at	SOX10	chr22q13	SRY (sex determining region Y)-box 10
220425_x_at	ROPN1	chr3q21	ropporin rhophilin associated protein 1
213260_at	FOXC1	chr6p25	Forkhead box C1
220559_at	EN1	chr2q13	engrailed homolog 1
215729_s_at	VGLL1	chrxq26	vestigial like 1 (Drosophila)
207039_at	CDKN2A	chr9p21	cyclin-dependent kinase inhibitor 2A (melanoma p1
218847_at	IMP-2	chr3q27	IGF-II mRNA-binding protein 2
213680_at	KRT6B	chr12q12	keratin 6B
221016_s_at	TCF7L1	chr2p11	transcription factor 7-like 1 (T-cell specific HM
219795_at	SLC6A14	chrxq23	solute carrier family 6 (neurotransmitter transpor
203780_at	EVA1	chr11q24	epithelial V-like antigen 1
55081_at	MICAL-L1	chr22q13	MICAL-like 1
218319_at	PELI1	chr2p13	pellino homolog 1 (Drosophila)
204751_x_at	DSC2	chr18q12	desmocollin 2
203712_at	KIAA0020	chr9p24	KIAA0020
206642_at	DSG1	chr18q12	desmoglein 1
203702_s_at	TTLL4	chr2p24	tubulin tyrosine ligase-like family member 4
214769_at	CLCN4	chrXp22	Chloride channel 4
213060_s_at	CHI3L2	chr1p13	chitinase 3-like 2
220658_s_at	ARNTL2	chr12p12	aryl hydrocarbon receptor nuclear translocator-lik
221185_s_at	DKFZp434B227	chr3q29	hypothetical protein DKFZp434B227
205363_at	BBOX1	chr11p14	butyrobetaine (gamma) 2-oxoglutarate dioxygenase
823_at	CX3CL1	chr16q13	chemokine (C-X3-C motif) ligand 1
204702_s_at	NFE2L3	chr7p15	nuclear factor (erythroid-derived 2)-like 3
222062_at	IL27RA	chr19p13	interleukin 27 receptor alpha
210073_at	SIAT8A	chr12p12	sialyltransferase 8A (alpha-N-acetylneuraminate: a
219615_s_at	KCNK5	chr6p21	potassium channel subfamily K member 5
214104_at	GPR161	chr1q24	G protein-coupled receptor 161
221203_s_at	YEATS2	chr3q27	YEATS domain containing 2
218868_at	ARP3BETA	chr7q32	actin-related protein 3-beta
209686_at	S100B	chr21q22	S100 calcium binding protein beta (neural)
207719_x_at	KAB	chr1q44	KARP-1-binding protein
204165_at	WASF1	chr6q21	WAS protein family member 1
212265_at	QKI	chr6q26	quaking homolog KH domain RNA binding (mouse)
212762_s_at	TCF7L2	chr10q25	transcription factor 7-like 2 (T-cell specific HM
221510_s_at	GLS	chr2q32	glutaminase
203820_s_at	IMP-3	chr7p11	IGF-II mRNA-binding protein 3
213711_at	KRTHB1	chr12q13	keratin hair basic 1
58916_at	KCTD14	chr11q14	potassium channel tetramerisation domain containin
202858_at	U2AF1	chr21q22	U2(RNU2) small nuclear RNA auxiliary factor 1
204470_at	CXCL1	chr4q21	chemokine (C-X-C motif) ligand 1 (melanoma growth
214974_x_at	CXCL5	chr4q12	chemokine (C-X-C motif) ligand 5
206211_at	SELE	chr1q22	selectin E (endothelial adhesion molecule 1)
206336_at	CXCL6	chr4q21	chemokine (C-X-C motif) ligand 6 (granulocyte chem
205681_at	BCL2A1	chr15q24	BCL2-related protein A1
211207_s_at	ACSL6	chr5q31	acyl-CoA synthetase long-chain family member 6
39402_at	IL1B	chr2q14	interleukin 1 beta
212110_at	SLC39A14	chr8p21	solute carrier family 39 (zinc transporter) membe
212531_at	LCN2	chr9q34	lipocalin 2 (oncogene 24p3)
209900_s_at	SLC16A1	chr1p12	solute carrier family 16 (monocarboxylic acid tran
206157_at	PTX3	chr3q25	pentaxin-related gene rapidly induced by IL-1 bet
219825_at	CYP26B1	chr2p13	cytochrome P450 family 26 subfamily B polypepti
219654_at	PTPLA	chr10p14	protein tyrosine phosphatase-like (proline instead
201916_s_at	SEC63	chr6q21	SEC63-like (S. cerevisiae)
212899_at	CDK11	chr6q21	cyclin-dependent kinase (CDC2-like) 11
222201_s_at	CASP8AP2	chr6q15	CASP8 associated protein 2
203137_at	WTAP	chr6q25	Wilms tumor 1 associated protein
222011_s_at	TCP1	chr6q25	t-complex 1
205526_s_at	KATNA1	chr6q25	katanin p60 (ATPase-containing) subunit A 1
218603_at	HECA	chr6q23	headcase homolog (Drosophila)
212693_at	MDN1	chr6q15	MDN1 midasin homolog (yeast)
222242_s_at	KLK5	chr19q13	kallikrein 5
202274_at	ACTG2	chr2p13	actin gamma 2 smooth muscle enteric
209283_at	CRYAB	chr11q22	crystallin alpha B
219054_at	FLJ14054	chr5p13	hypothetical protein FLJ14054
219789_at	NPR3	chr5p14	natriuretic peptide receptor C/guanylate cyclase C
219295_s_at	PCOLCE2	chr3q21	procollagen C-endopeptidase enhancer 2
213355_at	SIAT10	chr3q12	sialyltransferase 10 (alpha-23-sialyltransferase
208103_s_at	ANP32E	chr1q21	acidic (leucine-rich) nuclear phosphoprotein 32 fa
210873_x_at	APOBEC3A	chr22q13	apolipoprotein B mRNA editing enzyme catalytic po
213338_at	RIS1	chr3p21	Ras-induced senescence 1
219257_s_at	SPHK1	chr17q25	sphingosine kinase 1
221004_s_at	ITM2C	chr2q37	integral membrane protein 2C
205466_s_at	HS3ST1	chr4p16	heparan sulfate (glucosamine) 3-O-sulfotransferase
203139_at	DAPK1	chr9q34	death-associated protein kinase 1
202075_s_at	PLTP	chr20q12	phospholipid transfer protein
203504_s_at	ABCA1	chr9q31	ATP-binding cassette sub-family A (ABC1) member
220088_at	C5R1	chr19q13	complement component 5 receptor 1 (C5a ligand)
209122_at	ADFP	chr9p22	adipose differentiation-related protein
205114_s_at	CCL3	chr17q11	chemokine (C-C motif) ligand 3
210845_s_at	PLAUR	chr19q13	plasminogen activator urokinase receptor
219434_at	TREM1	chr6p21	triggering receptor expressed on myeloid cells 1
213274_s_at	CTSB	chr8p22	cathepsin B
202896_s_at	PTPNS1	chr20p13	protein tyrosine phosphatase non-receptor type su
213848_at	DUSP7	chr3p21	Dual specificity phosphatase 7
211964_at	COL4A2	chr13q34	collagen type IV alpha 2
218051_s_at	FLJ12442	chr3p21	hypothetical protein FLJ12442
221881_s_at	CLIC4	chr1p36	chloride intracellular channel 4
218618_s_at	FAD104	chr3q26	factor for adipocyte differentiation 104
210002_at	GATA6	chr18q11	GATA binding protein 6
210512_s_at	VEGF	chr6p12	vascular endothelial growth factor
219225_at	PGBD5	chr1q42	piggyBac transposable element derived 5
209514_s_at	RAB27A	chr15q15	RAB27A member RAS oncogene family
209626_s_at	OSBPL3	chr7p15	oxysterol binding protein-like 3
209791_at	PADI2	chr1p35	peptidyl arginine deiminase type II
220253_s_at	LRP12	chr8q22	low density lipoprotein-related protein 12
210563_x_at	CFLAR	chr2q33	CASP8 and FADD-like apoptosis regulator
203647_s_at	FDX1	chr11q22	ferredoxin 1
212397_at	RDX	chr11q23	radixin
221580_s_at	MGC5306	chr11q21	hypothetical protein MGC5306
209043_at	PAPSS1	chr4q24	3-phosphoadenosine 5-phosphosulfate synthase 1
205005_s_at	NMT2	chr10p13	N-myristoyltransferase 2
218331_s_at	C10orf18	chr10p15	chromosome 10 open reading frame 18
218757_s_at	UPF3B	chrxq25	UPF3 regulator of nonsense transcripts homolog B (
213122_at	TSPYL5	chr8q22	TSPY-like 5
221641_s_at	ACATE2	chrxp22	likely ortholog of mouse acyl-Coenzyme A thioester
204475_at	MMP1	chr11q22	matrix metalloproteinase 1 (interstitial collagena
207332_s_at	TFRC	chr3q29	transferrin receptor (p90 CD71)
208650_s_at	CD24	chr6q21	CD24 antigen (small cell lung carcinoma cluster 4
203430_at	HEBP2	chr6q24	heme binding protein 2
217744_s_at	PERP	chr6q24	PERP TP53 apoptosis effector
219010_at	FLJ10901	chr1q32	hypothetical protein FLJ10901
220147_s_at	C12orf14	chr12p11	chromosome 12 open reading frame 14
211623_s_at	FBL	chr19q13	fibrillarin
214745_at	PLCL3	chr3q25	phospholipase C-like 3
205771_s_at	AKAP7	chr6q23	A kinase (PRKA) anchor protein 7
212276_at	LPIN1	chr2p25	lipin 1
212174_at	AK2	chr1p34	adenylate kinase 2
213032_at	NFIB	chr9p24	Nuclear factor I/B
202647_s_at	NRAS	chr1p13	neuroblastoma RAS viral (v-ras) oncogene homolog
218885_s_at	GALNT12	chr9q22	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-a
44790_s_at	C13orf18	chr13q14	chromosome 13 open reading frame 18
205590_at	RASGRP1	chr15q15	RAS guanyl releasing protein 1 (calcium and DAG-re
202946_s_at	BTBD3	chr20p12	BTB (POZ) domain containing 3
212847_at	FUBP1	chr1p31	Far upstream element (FUSE) binding protein 1
202660_at	ITPR2	chr12p11	inositol 145-triphosphate receptor type 2
213256_at	MARCH-III	chr5q23	membrane-associated RING-CH protein III
212572_at	STK38L	chr12p11	serine/threonine kinase 38 like
213438_at	NFASC	chr1q32	neurofascin
218983_at	C1RL	chr12p13	complement component 1 r subcomponent-like
206653_at	POLR3G	chr5q14	Polymerase (RNA) III (DNA directed) polypeptide G
202963_at	RFX5	chr1q21	regulatory factor X 5 (influences HLA class II ex
221692_s_at	MRPL34	chr19p13	mitochondrial ribosomal protein L34
212131_at	C19orf13	chr19q13	chromosome 19 open reading frame 13
220230_s_at	CYB5R2	chr11p15	cytochrome b5 reductase b5R.2
218886_at	PAK1IP1	chr6p24	PAK1 interacting protein 1
205030_at	FABP7	chr6q22	fatty acid binding protein 7 brain
203164_at	SLC33A1	chr3q25	solute carrier family 33 (acetyl-CoA transporter)
212345_s_at	CREB3L2	chr7q34	cAMP responsive element binding protein 3-like 2
204669_s_at	RNF24	chr20p13	ring finger protein 24
213217_at	ADCY2	chr5p15	adenylate cyclase 2 (brain)
214953_s_at	APP	chr21q21	amyloid beta (A4) precursor protein (protease nexi
202350_s_at	MATN2	chr8q22	matrilin 2
203723_at	ITPKB	chr1q42	inositol 145-trisphosphate 3-kinase B
206432_at	HAS2	chr8q24	hyaluronan synthase 2
208228_s_at	FGFR2	chr10q26	fibroblast growth factor receptor 2 (bacteria-expr
205097_at	SLC26A2	chr5q31	solute carrier family 26 (sulfate transporter) me
210162_s_at	NFATC1	chr18q23	nuclear factor of activated T-cells cytoplasmic
206002_at	GPR64	chrxp22	G protein-coupled receptor 64
204469_at	PTPRZ1	chr7q31	protein tyrosine phosphatase receptor-type Z pol
212719_at	PLEKHE1	chr18q21	pleckstrin homology domain containing family E (w
209807_s_at	NFIX	chr19p13	nuclear factor I/X (CCAAT-binding transcription fa
204724_s_at	COL9A3	chr20q13	collagen type IX alpha 3
205549_at	PCP4	chr21q22	Purkinje cell protein 4
205609_at	ANGPT1	chr8q22	angiopoietin 1
202965_s_at	CAPN6	chrxq23	calpain 6
209047_at	AQP1	chr7p14	aquaporin 1 (channel-forming integral protein 28k
219230_at	FLJ10970	chr17q23	hypothetical protein FLJ10970
204557_s_at	DZIP1	chr13q32	DAZ interacting protein 1
211276_at	TCEAL2	chrxq22	transcription elongation factor A (SII)-like 2
213547_at	TIP120B	chr3p25	TBP-interacting protein
209815_at	PTCH	chr9q22	Patched homolog (Drosophila)
212816_s_at	CBS	chr21q22	cystathionine-beta-synthase
204223_at	PRELP	chr1q32	proline arginine-rich end leucine-rich repeat prot
204736_s_at	CSPG4	chr15q23	chondroitin sulfate proteoglycan 4 (melanoma-assoc
207010_at	GABRB1	chr4p12	gamma-aminobutyric acid (GABA) A receptor beta 1
205523_at	HAPLN1	chr5q14	hyaluronan and proteoglycan link protein 1
222008_at	COL9A1	chr6q12	collagen type IX alpha 1
219415_at	TTYH1	chr19q13	tweety homolog 1 (Drosophila)
209781_s_at	KHDRBS3	chr8q24	KH domain containing RNA binding signal transduc
221879_at	CALML4	chr15q23	calmodulin-like 4
213622_at	COL9A2	chr1p33	collagen type IX alpha 2
215143_at	FLJ36166	chr7q22	Hypothetical protein FLJ36166
221950_at	EMX2	chr10q26	empty spiracles homolog 2 (Drosophila)
219785_s_at	FBXO31	chr16q24	F-box protein 31
211685_s_at	NCALD	chr8q22	neurocalcin delta
214051_at	MGC39900	chrxq22	hypothetical protein MGC39900
217988_at	CCNB1IP1	chr14q11	cyclin B1 interacting protein 1
204319_s_at	RGS10	chr10q25	regulator of G-protein signalling 10
218376_s_at	NICAL	chr6q21	NEDD9 interacting protein with calponin homology a
210473_s_at	GPR125	chr4p15	G protein-coupled receptor 125
212055_at	C18orf10	chr18q12	chromosome 18 open reading frame 10
214437_s_at	SHMT2	chr12q12	serine hydroxymethyltransferase 2 (mitochondrial)
206023_at	NMU	chr4q12	neuromedin U
205854_at	TULP3	chr12p13	tubby like protein 3
209631_s_at	GPR37	chr7q31	G protein-coupled receptor 37 (endothelin receptor
218772_x_at	C9orf87	chr9q31	chromosome 9 open reading frame 87
204238_s_at	C6orf108	chr6p21	chromosome 6 open reading frame 108
219959_at	MOCOS	chr18q12	molybdenum cofactor sulfurase
209377_s_at	HMGN3	chr6q14	high mobility group nucleosomal binding domain 3
202318_s_at	SENP6	chr6q13	SUMO1/sentrin specific protease 6
206854_s_at	MAP3K7	chr6q16	mitogen-activated protein kinase kinase kinase 7
218137_s_at	SMAP1	chr6q12	stromal membrane-associated protein 1
