Symbol	Description
HSPA5	heat shock 70kda protein 5 (glucose-regulated protein, 78kda)
HSPBAP1	hspb (heat shock 27kda) associated protein 1
HSPH1	heat shock 105kda/110kda protein 1
HTATSF1	hiv-1 tat specific factor 1
IBTK	inhibitor of bruton agammaglobulinemia tyrosine kinase
IFI44	interferon-induced protein 44
IFT52	intraflagellar transport 52 homolog (chlamydomonas)
IFT81	intraflagellar transport 81 homolog (chlamydomonas)
IGF2BP3	insulin-like growth factor 2 mrna binding protein 3
IGHG1	immunoglobulin heavy constant gamma 1 (g1m marker)
IKBKAP	inhibitor of kappa light polypeptide gene enhancer in b-cells, kinase complex-associated protein
IL13RA2	interleukin 13 receptor, alpha 2
ILF2	interleukin enhancer binding factor 2, 45kda
ILF3	interleukin enhancer binding factor 3, 90kda
INPPL1	inositol polyphosphate phosphatase-like 1
IPO9	importin 9
IPPK	inositol 1,3,4,5,6-pentakisphosphate 2-kinase
IRF3	interferon regulatory factor 3
ISG20L2	interferon stimulated exonuclease gene 20kda-like 2
ITGA4	integrin, alpha 4 (antigen cd49d, alpha 4 subunit of vla-4 receptor)
ITGB3BP	integrin beta 3 binding protein (beta3-endonexin)
ITPA	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)
JMJD2A	jumonji domain containing 2a
JMJD2C	jumonji domain containing 2c
JOSD3	josephin domain containing 3
JRKL	jerky homolog-like (mouse)
JTB	jumping translocation breakpoint
KBTBD10	kelch repeat and btb (poz) domain containing 10
KCNJ2	potassium inwardly-rectifying channel, subfamily j, member 2
KCTD13	potassium channel tetramerisation domain containing 13
KCTD5	potassium channel tetramerisation domain containing 5
KCTD7	potassium channel tetramerisation domain containing 7
KDELC1	kdel (lys-asp-glu-leu) containing 1
KDELR1	kdel (lys-asp-glu-leu) endoplasmic reticulum protein retention receptor 1
KDELR2	kdel (lys-asp-glu-leu) endoplasmic reticulum protein retention receptor 2
KHDRBS1	kh domain containing, rna binding, signal transduction associated 1
KHSRP	kh-type splicing regulatory protein (fuse binding protein 2)
KIAA0082	kiaa0082
KIAA0090	kiaa0090
KIAA0101	kiaa0101
KIAA0146	kiaa0146 protein
KIAA0179	kiaa0179
KIAA0241	kiaa0241
KIAA0256	kiaa0256 gene product
KIAA0286	kiaa0286 protein
KIAA0367	kiaa0367
KIAA0372	kiaa0372
KIAA0391	kiaa0391
KIAA0406	kiaa0406 gene product
KIAA0415	kiaa0415 protein
KIAA0460	kiaa0460
KIAA0528	kiaa0528
KIAA0644	kiaa0644 gene product
KIAA0802	kiaa0802
KIAA0841	kiaa0841
KIAA0859	kiaa0859 protein
KIAA0892	kiaa0892
KIAA0907	kiaa0907
KIAA1219	kiaa1219 protein
KIAA1641	kiaa1641
KIAA1794	kiaa1794
KIAA1799	kiaa1799 protein
KIF11	kinesin family member 11
KIF14	kinesin family member 14
KIF15	kinesin family member 15
KIF18A	kinesin family member 18a
KIF20A	kinesin family member 20a
KIF23	kinesin family member 23
KIF2C	kinesin family member 2c
KIF3A	kinesin family member 3a
KIF4A	kinesin family member 4a
KIFAP3	kinesin-associated protein 3
KLHL22	kelch-like 22 (drosophila)
KLHL7	kelch-like 7 (drosophila)
KLHL9	kelch-like 9 (drosophila)
KNTC1	kinetochore associated 1
KNTC2	kinetochore associated 2
KPNA2	karyopherin alpha 2 (rag cohort 1, importin alpha 1)
KPNB1	karyopherin (importin) beta 1
KREMEN2	kringle containing transmembrane protein 2
KRIT1	krit1, ankyrin repeat containing
KYNU	kynureninase (l-kynurenine hydrolase)
LAPTM4B	lysosomal associated protein transmembrane 4 beta
LARS2	leucyl-trna synthetase 2, mitochondrial
LDLRAP1	low density lipoprotein receptor adaptor protein 1
LEPRE1	leucine proline-enriched proteoglycan (leprecan) 1
LHX2	lim homeobox 2
LIG1	ligase i, dna, atp-dependent
LMAN1	lectin, mannose-binding, 1
LMAN2L	lectin, mannose-binding 2-like
LMNB1	lamin b1
LMNB2	lamin b2
LMO4	lim domain only 4
LOC146909	hypothetical protein loc146909
LOC150759	hypothetical protein loc150759
LOC150763	hypothetical protein loc150763
LOC151162	hypothetical protein loc151162
LOC157562	hypothetical protein loc157562
LOC221362	hypothetical protein loc221362
LOC286434	hypothetical protein loc286434
LOC339047	hypothetical protein loc339047
LOC388969	hypothetical loc388969
LOC400506	similar to tsg118.1
LOC63920	transposon-derived buster3 transposase-like
LOC644096	hypothetical protein loc644096
LOC654342	similar to lymphocyte-specific protein 1 isoform 1
LOC90379	hypothetical protein bc002926
LPPR2	lipid phosphate phosphatase-related protein type 2
LRRC14	leucine rich repeat containing 14
LRRC17	leucine rich repeat containing 17
LRRC40	leucine rich repeat containing 40
LRRC42	leucine rich repeat containing 42
LRRC49	leucine rich repeat containing 49
LSM2	lsm2 homolog, u6 small nuclear rna associated (s. cerevisiae)
LSM4	lsm4 homolog, u6 small nuclear rna associated (s. cerevisiae)
LSM5	lsm5 homolog, u6 small nuclear rna associated (s. cerevisiae)
LSM7	lsm7 homolog, u6 small nuclear rna associated (s. cerevisiae)
LTBP1	latent transforming growth factor beta binding protein 1
LUC7L2	cgi-59 protein
LUZP1	leucine zipper protein 1
LYPLA1	lysophospholipase i
MAD2L1	mad2 mitotic arrest deficient-like 1 (yeast)
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
MAGED1	melanoma antigen family d, 1
MAGED2	melanoma antigen family d, 2
MAGED4	melanoma antigen family d, 4
MAGEF1	melanoma antigen family f, 1
MAGEH1	melanoma antigen family h, 1
MAGOH	mago-nashi homolog, proliferation-associated (drosophila)
MAK10	mak10 homolog, amino-acid n-acetyltransferase subunit, (s. cerevisiae)
MAML1	mastermind-like 1 (drosophila)
MAN1B1	mannosidase, alpha, class 1b, member 1
MAP1B	microtubule-associated protein 1b
MAP2K1IP1	mitogen-activated protein kinase kinase 1 interacting protein 1
MAP3K1	mitogen-activated protein kinase kinase kinase 1
MAP3K7	mitogen-activated protein kinase kinase kinase 7
MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4
MAPK1	mitogen-activated protein kinase 1
MAPK7	mitogen-activated protein kinase 7
MARCH6	membrane-associated ring finger (c3hc4) 6
MARCKSL1	marcks-like 1
MAST2	microtubule associated serine/threonine kinase 2
MATR3	matrin 3
MAZ	myc-associated zinc finger protein (purine-binding transcription factor)
MBD4	methyl-cpg binding domain protein 4
MCM10	mcm10 minichromosome maintenance deficient 10 (s. cerevisiae)
MCM2	mcm2 minichromosome maintenance deficient 2, mitotin (s. cerevisiae)
MCM3	mcm3 minichromosome maintenance deficient 3 (s. cerevisiae)
MCM5	mcm5 minichromosome maintenance deficient 5, cell division cycle 46 (s. cerevisiae)
MCM6	mcm6 minichromosome maintenance deficient 6 (mis5 homolog, s. pombe) (s. cerevisiae)
MCM7	mcm7 minichromosome maintenance deficient 7 (s. cerevisiae)
MCTS1	malignant t cell amplified sequence 1
MDC1	mediator of dna damage checkpoint 1
MDK	midkine (neurite growth-promoting factor 2)
ME2	malic enzyme 2, nad(+)-dependent, mitochondrial
MEA1	male-enhanced antigen 1
MED8	mediator of rna polymerase ii transcription, subunit 8 homolog (yeast)
MELK	maternal embryonic leucine zipper kinase
MEMO1	methylation modifier for class i hla
METTL3	methyltransferase like 3
METTL4	methyltransferase like 4
MFAP2	microfibrillar-associated protein 2
MFN1	mitofusin 1
MGA	max gene associated
MGAT2	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-n-acetylglucosaminyltransferase
MGAT4B	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-n-acetylglucosaminyltransferase, isozyme b
MGC10433	hypothetical protein mgc10433
MGC12760	hypothetical protein mgc12760
MICB	mhc class i polypeptide-related sequence b
MKI67	antigen identified by monoclonal antibody ki-67
MKL1	megakaryoblastic leukemia (translocation) 1
MLF1IP	mlf1 interacting protein
MLLT11	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 11
MMP1	matrix metallopeptidase 1 (interstitial collagenase)
MMP14	matrix metallopeptidase 14 (membrane-inserted)
MNS1	meiosis-specific nuclear structural 1
MORC2	morc family cw-type zinc finger 2
MORC3	morc family cw-type zinc finger 3
MORF4L2	mortality factor 4 like 2
MPHOSPH1	m-phase phosphoprotein 1
MPHOSPH9	m-phase phosphoprotein 9
MRE11A	mre11 meiotic recombination 11 homolog a (s. cerevisiae)
MRPL13	mitochondrial ribosomal protein l13
MRPL39	mitochondrial ribosomal protein l39
MRPL48	mitochondrial ribosomal protein l48
MRPL9	mitochondrial ribosomal protein l9
MRPS10	mitochondrial ribosomal protein s10
MRPS12	mitochondrial ribosomal protein s12
MRS2L	mrs2-like, magnesium homeostasis factor (s. cerevisiae)
MSH2	muts homolog 2, colon cancer, nonpolyposis type 1 (e. coli)
MSH6	muts homolog 6 (e. coli)
MTF2	metal response element binding transcription factor 2
MTFR1	mitochondrial fission regulator 1
MTMR11	myotubularin related protein 11
MTMR2	myotubularin related protein 2
MTMR4	myotubularin related protein 4
MTMR6	myotubularin related protein 6
MTO1	mitochondrial translation optimization 1 homolog (s. cerevisiae)
MTRF1	mitochondrial translational release factor 1
MTX1	metaxin 1
MXRA5	matrix-remodelling associated 5
MYBL1	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
MYCBP	c-myc binding protein
MYLIP	myosin regulatory light chain interacting protein
MYNN	myoneurin
MYO9B	myosin ixb
NAP1L1	nucleosome assembly protein 1-like 1
NARF	nuclear prelamin a recognition factor
NARG1L	nmda receptor regulated 1-like
NASP	nuclear autoantigenic sperm protein (histone-binding)
NAT11	hypothetical protein flj13848
NAV2	retinoic acid inducible in neuroblastoma
NBPF1	neuroblastoma breakpoint family, member 14
NCBP1	nuclear cap binding protein subunit 1, 80kda
NCK1	nck adaptor protein 1
NCOA6	nuclear receptor coactivator 6
NDE1	nude nuclear distribution gene e homolog 1 (a. nidulans)
NDRG3	ndrg family member 3
NECAP2	necap endocytosis associated 2
NEIL3	nei endonuclease viii-like 3 (e. coli)
NEK2	nima (never in mitosis gene a)-related kinase 2
NETO2	hypothetical protein flj10430
NF1	neurofibromin 1 (neurofibromatosis, von recklinghausen disease, watson disease)
NFATC2IP	nuclear factor of activated t-cells, cytoplasmic, calcineurin-dependent 2 interacting protein
NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in b-cells inhibitor, epsilon
NFYA	nuclear transcription factor y, alpha
NGLY1	n-glycanase 1
NIPBL	nipped-b homolog (drosophila)
NMU	neuromedin u
NOC2L	nucleolar complex associated 2 homolog (s. cerevisiae)
NOL11	nucleolar protein 11
NOL8	nucleolar protein 8
NOMO2	nodal modulator 2
NOMO3	nodal modulator 3
NONO	non-pou domain containing, octamer-binding
NPAS2	neuronal pas domain protein 2
NPAT	nuclear protein, ataxia-telangiectasia locus
NPM3	nucleophosmin/nucleoplasmin, 3
NR2C1	nuclear receptor subfamily 2, group c, member 1
NSF	n-ethylmaleimide-sensitive factor
NSUN3	nol1/nop2/sun domain family, member 3
NSUN5	nol1/nop2/sun domain family, member 5
NSUN5B	nol1/nop2/sun domain family, member 5b
NSUN5C	nol1r2 protein
NUCB2	nucleobindin 2
NUDT1	nudix (nucleoside diphosphate linked moiety x)-type motif 1
NUP155	nucleoporin 155kda
NUP160	nucleoporin 160kda
NUP205	nucleoporin 205kda
NUP43	nucleoporin 43kda
NUP62	nucleoporin 62kda
NUP85	nucleoporin 85kda
NUPL2	nucleoporin like 2
NUSAP1	nucleolar and spindle associated protein 1
NXT2	nuclear transport factor 2-like export factor 2
OAZ1	ornithine decarboxylase antizyme 1
OFD1	oral-facial-digital syndrome 1
OGG1	8-oxoguanine dna glycosylase
OIP5	opa interacting protein 5
OLFML2B	olfactomedin-like 2b
ORC5L	origin recognition complex, subunit 5-like (yeast)
ORC6L	origin recognition complex, subunit 6 homolog-like (yeast)
OSBPL11	hypothetical protein flj13164
OSBPL3	oxysterol binding protein-like 3
OSGEP	o-sialoglycoprotein endopeptidase
OTUD3	otu domain containing 3
OXSM	3-oxoacyl-acp synthase, mitochondrial
P4HB	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide
PABPN1	poly(a) binding protein, nuclear 1
PAF1	paf1, rna polymerase ii associated factor, homolog (s. cerevisiae)
PAFAH1B3	platelet-activating factor acetylhydrolase, isoform ib, gamma subunit 29kda
PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
PAK4	p21(cdkn1a)-activated kinase 4
PANK2	pantothenate kinase 2 (hallervorden-spatz syndrome)
PANK4	pantothenate kinase 4
PAQR3	progestin and adipoq receptor family member iii
PARC	p53-associated parkin-like cytoplasmic protein
PARP2	poly (adp-ribose) polymerase family, member 2
PAX6	paired box gene 6 (aniridia, keratitis)
PAXIP1	pax interacting (with transcription-activation domain) protein 1
PBK	pdz binding kinase
PBX2	pre-b-cell leukemia transcription factor 2
PCDHGA11	protocadherin gamma subfamily a, 11
PCMT1	protein-l-isoaspartate (d-aspartate) o-methyltransferase
PCNA	proliferating cell nuclear antigen
PCNP	pest-containing nuclear protein
PCNT	pericentrin (kendrin)
PCOLCE	procollagen c-endopeptidase enhancer
PDCD5	programmed cell death 5
PDCD6	programmed cell death 6
PDCL	phosducin-like
PDE6D	phosphodiesterase 6d, cgmp-specific, rod, delta
PDIA4	protein disulfide isomerase family a, member 4
PDSS1	prenyl (decaprenyl) diphosphate synthase, subunit 1
PDSS2	prenyl (decaprenyl) diphosphate synthase, subunit 2
PEG10	paternally expressed 10
PEX1	peroxisome biogenesis factor 1
PEX3	peroxisomal biogenesis factor 3
PEX6	peroxisomal biogenesis factor 6
PFDN4	prefoldin subunit 4
PFDN6	prefoldin subunit 6
PFTK1	pftaire protein kinase 1
PGAP1	gpi deacylase
PGF	placental growth factor, vascular endothelial growth factor-related protein
PHACTR4	phosphatase and actin regulator 4
PHF20L1	phd finger protein 20-like 1
PHF21A	phd finger protein 21a
PHF8	phd finger protein 8
PHTF2	putative homeodomain transcription factor 2
PIAS3	protein inhibitor of activated stat, 3
PIAS4	protein inhibitor of activated stat, 4
PIGA	phosphatidylinositol glycan, class a (paroxysmal nocturnal hemoglobinuria)
PIGC	phosphatidylinositol glycan, class c
PIGK	phosphatidylinositol glycan, class k
PIGN	phosphatidylinositol glycan, class n
PIK3C3	phosphoinositide-3-kinase, class 3
PIK4CB	phosphatidylinositol 4-kinase, catalytic, beta polypeptide
PIN4	protein (peptidylprolyl cis/trans isomerase) nima-interacting, 4 (parvulin)
PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase, type i, alpha
PKN2	protein kinase n2
PKNOX1	pbx/knotted 1 homeobox 1
PLEKHO1	pleckstrin homology domain containing, family o member 1
PLK1	polo-like kinase 1 (drosophila)
PLK4	polo-like kinase 4 (drosophila)
PLOD1	procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1
PLOD3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3
PLXDC1	plexin domain containing 1
PLXNA3	plexin a3
PLXNC1	plexin c1
PMS2L2	postmeiotic segregation increased 2-like 2
PNMA2	paraneoplastic antigen ma2
PNN	pinin, desmosome associated protein
POFUT2	protein o-fucosyltransferase 2
POGZ	pogo transposable element with znf domain
POLB	polymerase (dna directed), beta
POLD1	polymerase (dna directed), delta 1, catalytic subunit 125kda
POLD2	polymerase (dna directed), delta 2, regulatory subunit 50kda
POLD3	polymerase (dna-directed), delta 3, accessory subunit
POLE2	polymerase (dna directed), epsilon 2 (p59 subunit)
POLE3	polymerase (dna directed), epsilon 3 (p17 subunit)
POLG2	polymerase (dna directed), gamma 2, accessory subunit
POLQ	polymerase (dna directed), theta
POLR2B	polymerase (rna) ii (dna directed) polypeptide b, 140kda
POLR2H	polymerase (rna) ii (dna directed) polypeptide h
POLR3D	polymerase (rna) iii (dna directed) polypeptide d, 44kda
POLR3F	polymerase (rna) iii (dna directed) polypeptide f, 39 kda
POLR3K	polymerase (rna) iii (dna directed) polypeptide k, 12.3 kda
POP4	processing of precursor 4, ribonuclease p/mrp subunit (s. cerevisiae)
POP7	processing of precursor 7, ribonuclease p subunit (s. cerevisiae)
POT1	pot1 protection of telomeres 1 homolog (s. pombe)
PPARD	peroxisome proliferative activated receptor, delta
PPAT	phosphoribosyl pyrophosphate amidotransferase
PPIB	peptidylprolyl isomerase b (cyclophilin b)
PPIC	peptidylprolyl isomerase c (cyclophilin c)
PPIH	peptidylprolyl isomerase h (cyclophilin h)
PPM2C	protein phosphatase 2c, magnesium-dependent, catalytic subunit
PPP1R10	protein phosphatase 1, regulatory subunit 10
PPP1R12A	protein phosphatase 1, regulatory (inhibitor) subunit 12a
PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3c
PPP1R8	protein phosphatase 1, regulatory (inhibitor) subunit 8
PPP2R4	protein phosphatase 2a, regulatory subunit b (pr 53)
PPP3CA	protein phosphatase 3 (formerly 2b), catalytic subunit, alpha isoform (calcineurin a alpha)
PPP4R2	protein phosphatase 4, regulatory subunit 2
PPT1	palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)
PQBP1	polyglutamine binding protein 1
PRAF2	pra1 domain family, member 2
PRC1	protein regulator of cytokinesis 1
PRCC	papillary renal cell carcinoma (translocation-associated)
PREI3	preimplantation protein 3
PREPL	prolyl endopeptidase-like
PRIM1	primase, polypeptide 1, 49kda
PRIM2A	primase, polypeptide 2a, 58kda
PRKAA1	protein kinase, amp-activated, alpha 1 catalytic subunit
PRKCSH	protein kinase c substrate 80k-h
PRKDC	protein kinase, dna-activated, catalytic polypeptide
PRMT3	protein arginine methyltransferase 3
PRND	prion protein 2 (dublet)
PRNPIP	prion protein interacting protein
PRPF3	prp3 pre-mrna processing factor 3 homolog (yeast)
PRPF31	prp31 pre-mrna processing factor 31 homolog (yeast)
PRPF39	prp39 pre-mrna processing factor 39 homolog (yeast)
PRPF4	prp4 pre-mrna processing factor 4 homolog (yeast)
PRPF40A	huntingtin-interacting protein a
PRPF4B	prp4 pre-mrna processing factor 4 homolog b (yeast)
PRPS2	phosphoribosyl pyrophosphate synthetase 1
PRPSAP2	phosphoribosyl pyrophosphate synthetase-associated protein 2
PRUNE	prune homolog (drosophila)
PSD3	pleckstrin and sec7 domain containing 3
PSENEN	presenilin enhancer 2 homolog (c. elegans)
PSIP1	pc4 and sfrs1 interacting protein 1
PSMA4	proteasome (prosome, macropain) subunit, alpha type, 4
PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5
PSMB2	proteasome (prosome, macropain) subunit, beta type, 2
PSMB4	proteasome (prosome, macropain) subunit, beta type, 4
PSMB7	proteasome (prosome, macropain) subunit, beta type, 7
PSMC2	proteasome (prosome, macropain) 26s subunit, atpase, 2
PSMC3IP	psmc3 interacting protein
PSMC4	proteasome (prosome, macropain) 26s subunit, atpase, 4
PSMD10	proteasome (prosome, macropain) 26s subunit, non-atpase, 10
PSMD13	proteasome (prosome, macropain) 26s subunit, non-atpase, 13
PSME2	proteasome (prosome, macropain) activator subunit 2 (pa28 beta)
PSME4	proteasome (prosome, macropain) activator subunit 4
PSRC1	proline/serine-rich coiled-coil 1
PTBP1	polypyrimidine tract binding protein 1
PTBP2	polypyrimidine tract binding protein 2
PTK7	ptk7 protein tyrosine kinase 7
PTTG1	pituitary tumor-transforming 1
PYCR1	pyrroline-5-carboxylate reductase 1
QSCN6	quiescin q6
QTRTD1	queuine trna-ribosyltransferase domain containing 1
RAB13	rab13, member ras oncogene family
RAB15	rab15, member ras onocogene family
RAB23	rab23, member ras oncogene family
RAB5C	rab5c, member ras oncogene family
RAB8B	rab8b, member ras oncogene family
RABEP2	rabaptin, rab gtpase binding effector protein 2
RABGAP1L	rab gtpase activating protein 1-like
RACGAP1	rac gtpase activating protein 1
RAD1	rad1 homolog (s. pombe)
RAD51	rad51 homolog (reca homolog, e. coli) (s. cerevisiae)
RAD51AP1	rad51 associated protein 1
RAD51C	rad51 homolog c (s. cerevisiae)
RAD54B	fibrinogen silencer binding protein
RAD9A	rad9 homolog a (s. pombe)
RAE1	rae1 rna export 1 homolog (s. pombe)
RAI14	retinoic acid induced 14
RALA	v-ral simian leukemia viral oncogene homolog a (ras related)
RALGPS1	ral gef with ph domain and sh3 binding motif 1
RALY	rna binding protein, autoantigenic (hnrnp-associated with lethal yellow homolog (mouse))
RANBP17	ran binding protein 17
RANBP6	ran binding protein 6
RAP2B	rap2b, member of ras oncogene family
RAP2C	rap2c, member of ras oncogene family
RAPGEF6	rap guanine nucleotide exchange factor (gef) 6
RARRES3	retinoic acid receptor responder (tazarotene induced) 3
RARS	arginyl-trna synthetase
RB1CC1	rb1-inducible coiled-coil 1
RBBP4	retinoblastoma binding protein 4
RBBP6	retinoblastoma binding protein 6
RBBP7	retinoblastoma binding protein 7
RBBP8	retinoblastoma binding protein 8
RBM10	rna binding motif protein 10
RBM12B	rna binding motif protein 12b
RBM22	rna binding motif protein 22
RBM4B	rna binding motif protein 4b
RBM8A	rna binding motif protein 8a
RCC1	regulator of chromosome condensation 1
RCN2	reticulocalbin 2, ef-hand calcium binding domain
RCN3	reticulocalbin 3, ef-hand calcium binding domain
RCP9	calcitonin gene-related peptide-receptor component protein
RDBP	rd rna binding protein
RDH14	retinol dehydrogenase 14 (all-trans and 9-cis)
RECQL	recq protein-like (dna helicase q1-like)
REEP4	receptor accessory protein 4
RER1	rer1 retention in endoplasmic reticulum 1 homolog (s. cerevisiae)
RFC2	replication factor c (activator 1) 2, 40kda
RFC3	replication factor c (activator 1) 3, 38kda
RFC4	replication factor c (activator 1) 4, 37kda
RFC5	replication factor c (activator 1) 5, 36.5kda
RFK	riboflavin kinase
RFWD3	ring finger and wd repeat domain 3
RFXANK	regulatory factor x-associated ankyrin-containing protein
RIF1	dkfzp434d193 protein
RINT1	rad50 interactor 1
RKHD1	ring finger and kh domain containing 1
RNASEH2A	ribonuclease h2, large subunit
RNASEN	ribonuclease iii, nuclear
RNF111	ring finger protein 111
RNF130	ring finger protein 130
RNF170	ring finger protein 170
RNF24	ring finger protein 24
RNF5	ring finger protein 5
RNF8	ring finger protein 8
RNGTT	rna guanylyltransferase and 5-phosphatase
RNMT	rna (guanine-7-) methyltransferase
RP2	retinitis pigmentosa 2 (x-linked recessive)
	kiaa0980 protein
	invasion inhibitory protein 45
RPA1	replication protein a1, 70kda
RPA2	replication protein a2, 32kda
RPE	ribulose-5-phosphate-3-epimerase
RPL31	ribosomal protein l31
RPN1	ribophorin i
RPN2	ribophorin ii
RPP40	ribonuclease p 40kda subunit
RPS21	ribosomal protein s21
RPS6KB1	ribosomal protein s6 kinase, 70kda, polypeptide 1
RQCD1	rcd1 required for cell differentiation1 homolog (s. pombe)
RRBP1	ribosome binding protein 1 homolog 180kda (dog)
RRM1	ribonucleotide reductase m1 polypeptide
RRM2	ribonucleotide reductase m2 polypeptide
RSRC1	arginine/serine-rich coiled-coil 1
RUFY3	run and fyve domain containing 3
RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)
RUSC1	run and sh3 domain containing 1
RUTBC1	run and tbc1 domain containing 1
RUVBL1	ruvb-like 1 (e. coli)
S100PBP	s100p binding protein
SAC3D1	sac3 domain containing 1
SACS	spastic ataxia of charlevoix-saguenay (sacsin)
SAE1	sumo-1 activating enzyme subunit 1
SAFB	scaffold attachment factor b
SAFB2	scaffold attachment factor b2
SALL1	sal-like 1 (drosophila)
SAP130	sin3a-associated protein, 130kda
SAP30	sin3a-associated protein, 30kda
SART3	squamous cell carcinoma antigen recognised by t cells 3
SC65	synaptonemal complex protein sc65
SCAMP1	secretory carrier membrane protein 1
SCAMP3	secretory carrier membrane protein 3
SCAMP4	secretory carrier membrane protein 4
SCFD1	sec1 family domain containing 1
SCG2	secretogranin ii (chromogranin c)
SCML1	sex comb on midleg-like 1 (drosophila)
SCNM1	sodium channel modifier 1
SDC1	syndecan 1
SDCCAG3	serologically defined colon cancer antigen 3
SEC23B	sec23 homolog b (s. cerevisiae)
SEC24D	sec24 related gene family, member d (s. cerevisiae)
SEC61A1	sec61 alpha 1 subunit (s. cerevisiae)
SEC61A2	sec61 alpha 2 subunit (s. cerevisiae)
SEC61B	sec61 beta subunit
SEC61G	sec61 gamma subunit
SECISBP2	secis binding protein 2
SEPT8	septin 8
SEPT9	septin 9
SERF1A	small edrk-rich factor 1a (telomeric)
SERP1	stress-associated endoplasmic reticulum protein 1
SERPINB3	serpin peptidase inhibitor, clade b (ovalbumin), member 3
SERPINE2	serpin peptidase inhibitor, clade e (nexin, plasminogen activator inhibitor type 1), member 2
SET	set translocation (myeloid leukemia-associated)
SETD4	set domain containing 4
SETDB1	set domain, bifurcated 1
SF3A3	splicing factor 3a, subunit 3, 60kda
SF3B4	splicing factor 3b, subunit 4, 49kda
SF4	splicing factor 4
SFMBT1	dkfzp434l243 protein
SFN	stratifin
SFRS1	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)
SFRS11	splicing factor, arginine/serine-rich 11
SFRS12	splicing factor, arginine/serine-rich 12
SFRS14	splicing factor, arginine/serine-rich 14
SFXN1	likely ortholog of mouse sideroflexin 1
SH3BGRL3	sh3 domain binding glutamic acid-rich protein like 3
SH3GL1	sh3-domain grb2-like 1
SH3GL2	sh3-domain grb2-like 2
SH3PXD2A	sh3 and px domains 2a
SHCBP1	shc sh2-domain binding protein 1
SHFM1	split hand/foot malformation (ectrodactyly) type 1
SHOX2	short stature homeobox 2
SHQ1	shq1 homolog (s. cerevisiae)
SIKE	suppressor of ikk epsilon
SIP1	survival of motor neuron protein interacting protein 1
SIPA1L3	signal-induced proliferation-associated 1 like 3
SKP2	s-phase kinase-associated protein 2 (p45)
SLC11A2	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2
SLC25A13	solute carrier family 25, member 13 (citrin)
SLC25A17	solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kda), member 17
SLC25A24	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24
SLC30A5	solute carrier family 30 (zinc transporter), member 5
SLC30A9	solute carrier family 30 (zinc transporter), member 9
SLC33A1	solute carrier family 33 (acetyl-coa transporter), member 1
SLC35A2	solute carrier family 35 (udp-galactose transporter), member a2
SLC35B1	solute carrier family 35, member b1
SLC35D1	solute carrier family 35 (udp-glucuronic acid/udp-n-acetylgalactosamine dual transporter), member d1
SLC39A6	solute carrier family 39 (zinc transporter), member 6
SLC39A7	solute carrier family 39 (zinc transporter), member 7
SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7
SLC9A1	solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, na+/h+, amiloride sensitive)
SLC9A6	solute carrier family 9 (sodium/hydrogen exchanger), member 6
SMA4	sma4
SMA5	sma5
SMAD4	smad, mothers against dpp homolog 4 (drosophila)
SMARCA4	swi/snf related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
SMARCC1	swi/snf related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1
SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1
SMG5	smg-5 homolog, nonsense mediated mrna decay factor (c. elegans)
SMNDC1	survival motor neuron domain containing 1
SMO	smoothened homolog (drosophila)
SMOX	spermine oxidase
SMS	spermine synthase
SMURF2	smad specific e3 ubiquitin protein ligase 2
SNAI2	snail homolog 2 (drosophila)
SNRPA1	small nuclear ribonucleoprotein polypeptide a
SNRPD1	small nuclear ribonucleoprotein d1 polypeptide 16kda
SNRPG	small nuclear ribonucleoprotein polypeptide g
SNX1	sorting nexin 1
SNX24	sorting nexing 24
SNX26	hypothetical gene dkfzp434a1010
SNX27	sorting nexin family member 27
SNX4	sorting nexin 4
SNX7	dkfzp564f052 protein
