Affy ID	Accession	Gene Symbol	Description	BC mean	BC SD	SD/mean BC	TC+KC mean	TC+KC SD	SD/mean TC+KC	BC/(TC+KC)	direction	P-value
241838_at	AA699443		Transcribed sequences	1.12	0.52	0.46	1.27	0.47	0.37	0.88	down	0.0381
1563674_at	AL833361	SPAP1	SH2 domain containing phosphatase anchor protein 1	1.15	0.57	0.5	1.54	0.76	0.49	0.74	down	0.0381
1554757_a_at	AF273055	INPP5A	inositol polyphosphate-5-phosphatase, 40kDa	1.07	0.29	0.27	0.81	0.2	0.25	1.31	up	0.000528
215707_s_at	AV725328	PRNP	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	1.19	0.27	0.23	0.8	0.17	0.21	1.48	up	8.48E-05
35685_at	4871877		ring finger protein 1 /// ring finger protein 1	1.06	0.15	0.14	0.95	0.14	0.15	1.12	up	0.00423
215794_x_at	AC_006144	GLUD2; GLUDP1	glutamate dehydrogenase 1	1.07	0.29	0.27	0.86	0.15	0.17	1.24	up	0.0039
222115_x_at	BC003693	N-PAC	cytokine-like nuclear factor n-pac	1.12	0.15	0.13	0.84	0.2	0.24	1.32	up	0.000426
210385_s_at	AF106037	ARTS-1	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	1.22	0.38	0.31	0.89	0.21	0.24	1.37	up	0.000705
206050_s_at	NM_002939	RNH	ribonuclease/angiogenin inhibitor /// ribonuclease/angiogenin inhibitor	0.87	0.15	0.17	1.19	0.24	0.2	0.73	down	0.0429
222503_s_at	BF593261	FLJ10904	hypothetical protein FLJ10904	1.07	0.2	0.19	0.92	0.19	0.21	1.17	up	0.0184
200946_x_at	AI339331	GLUD1	glutamate dehydrogenase 1	1.01	0.24	0.24	0.86	0.16	0.18	1.17	up	0.00237
209753_s_at	BG391171	TMPO	thymopoietin	1.24	0.27	0.22	0.79	0.16	0.2	1.58	up	1.79E-06
203226_s_at	AL514076	SAS	sarcoma amplified sequence	1.04	0.21	0.2	0.89	0.19	0.22	1.16	up	0.0322
206562_s_at	NM_001892	CSNK1A1	casein kinase 1, alpha 1 /// casein kinase 1, alpha 1	1.2	0.13	0.11	0.89	0.1	0.11	1.35	up	4.81E-05
1567107_s_at	AF362887	TPM4	tropomyosin 4	1.12	0.36	0.32	0.81	0.18	0.22	1.38	up	0.00128
208097_s_at	NM_030755	TXNDC	thioredoxin domain containing /// thioredoxin domain containing /// thioredoxin domain containing	1.2	0.4	0.33	0.72	0.18	0.25	1.67	up	6.35E-05
222522_x_at	BG393476	MRPS10	mitochondrial ribosomal protein S10	1.09	0.15	0.14	0.94	0.15	0.16	1.17	up	0.016
210916_s_at	AF098641	CD44	CD44 antigen (homing function and Indian blood group system)	1.13	0.45	0.4	0.86	0.19	0.22	1.32	up	0.0123
238879_at	R11899	RP42	RP42 homolog	1.11	0.24	0.21	0.86	0.27	0.32	1.29	up	0.014
235103_at	AA029155	MAN2A1	mannosidase, alpha, class 2A, member 1	1.12	0.21	0.19	0.83	0.22	0.26	1.35	up	0.00152
211733_x_at	BC005911	SCP2	sterol carrier protein 2 /// sterol carrier protein 2	1.16	0.37	0.32	0.91	0.24	0.26	1.28	up	0.000856
208615_s_at	BF795101	PTP4A2	protein tyrosine phosphatase type IVA, member 2	1.14	0.2	0.18	0.92	0.11	0.12	1.24	up	0.0198
211769_x_at	BC006088	TDE1	tumor differentially expressed 1 /// tumor differentially expressed 1	1.14	0.23	0.21	0.89	0.24	0.27	1.28	up	0.0211
200607_s_at	BG289967	RAD21	RAD21 homolog (S. pombe)	1.27	0.33	0.26	0.81	0.15	0.18	1.56	up	0.000315
222493_s_at	AW303359	TEX27	testis expressed sequence 27	1.08	0.31	0.29	0.93	0.27	0.29	1.16	up	0.0455
228250_at	AW263086	RA-GEF-2	KIAA1961 protein	1.15	0.22	0.2	0.91	0.22	0.25	1.27	up	0.0406
218465_at	NM_018126	FLJ10525	hypothetical protein FLJ10525	1.19	0.43	0.36	0.92	0.21	0.23	1.28	up	0.000587
223071_at	AL136667	HSPC039	HSPC039 protein	0.98	0.2	0.21	0.87	0.17	0.2	1.12	up	0.00938
202448_s_at	BE675849	ZYG	chromosome 9 open reading frame 60	1.03	0.24	0.23	0.85	0.2	0.24	1.22	up	0.014
210639_s_at	AF293841	APG5L	APG5 autophagy 5-like (S. cerevisiae) /// APG5 autophagy 5-like (S. cerevisiae)	1.16	0.38	0.32	0.84	0.18	0.21	1.39	up	0.000132
204496_at	NM_014574	STRN3	striatin, calmodulin binding protein 3 /// striatin, calmodulin binding protein 3	1.09	0.15	0.14	0.86	0.19	0.22	1.27	up	0.00333
222562_s_at	BF060683	TNKS2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	1.25	0.25	0.2	0.83	0.15	0.18	1.5	up	2.81E-05
222553_x_at	AL541048		oxidation resistance 1	1.1	0.17	0.15	0.9	0.21	0.23	1.23	up	0.000471
219015_s_at	NM_018466	MDS031	uncharacterized hematopoietic stem/progenitor cells protein MDS031	1.08	0.24	0.22	0.88	0.16	0.18	1.22	up	0.000775
239824_s_at	BF971873	MGC10744	hypothetical protein MGC10744	1.1	0.18	0.17	0.99	0.2	0.21	1.11	up	0.0123
212835_at	AA777641	KIAA0157	KIAA0157	1.18	0.25	0.21	0.87	0.15	0.17	1.35	up	0.000145
224437_s_at	BC005937	C6orf55	chromosome 6 open reading frame 55 /// chromosome 6 open reading frame 55	1.16	0.43	0.37	0.98	0.19	0.2	1.18	up	0.00938
225647_s_at	AI246687	CTSC	cathepsin C	1.29	0.41	0.32	0.84	0.18	0.21	1.53	up	7.36E-06
212102_s_at	AK002111	KPNA6	karyopherin alpha 6 (importin alpha 7) /// karyopherin alpha 6 (importin alpha 7)	1.16	0.32	0.27	0.89	0.17	0.19	1.3	up	0.00152
218247_s_at	NM_016626	LOC51320	ring finger and KH domain containing 2	1.14	0.37	0.32	0.84	0.27	0.32	1.36	up	0.00754
201635_s_at	AI990766	FXR1	fragile X mental retardation, autosomal homolog 1	1.4	0.33	0.23	0.8	0.16	0.2	1.76	up	0.000343
202195_s_at	NM_016040	CGI-100	CGI-100 protein	1.22	0.36	0.3	0.88	0.14	0.16	1.39	up	0.000705
208310_s_at	NM_007085	FSTL1	follistatin-like 1 /// follistatin-like 1	1.19	0.31	0.26	0.92	0.21	0.23	1.3	up	0.000209
205140_at	NM_003838	FPGT	fucose-1-phosphate guanylyltransferase /// fucose-1-phosphate guanylyltransferase	1.17	0.31	0.27	0.82	0.18	0.21	1.42	up	0.00012
209203_s_at	BC002327		bicaudal D homolog 2 (Drosophila)	1.13	0.19	0.17	0.86	0.23	0.27	1.32	up	0.0304
224868_at	BE961925		zinc finger, DHHC domain containing 5	1.11	0.27	0.24	0.86	0.17	0.2	1.3	up	0.00696
212194_s_at	AI418892	KIAA0255	transmembrane 9 superfamily protein member 4	1.14	0.25	0.22	0.94	0.16	0.17	1.22	up	0.0322
200744_s_at	AI741124	GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1	1.16	0.41	0.35	0.98	0.2	0.2	1.18	up	0.0481
227682_at	BE645154		Transcribed sequence with weak  similarity to protein pir:A45973 (H.sapiens) A45973 trichohyalin - human	1.06	0.2	0.19	0.95	0.21	0.22	1.12	up	0.0455
213746_s_at	AW051856		filamin A, alpha (actin binding protein 280)	0.78	0.21	0.27	1.11	0.24	0.21	0.7	down	0.0481
221553_at	AL136636	DKFZp564K142	implantation-associated protein	1.14	0.37	0.33	0.95	0.12	0.12	1.2	up	0.0429
226176_s_at	BE048999		ubiquitin specific protease 42	0.89	0.24	0.27	1.13	0.19	0.17	0.79	down	0.015
213117_at	AW138594	KIAA1354	KIAA1354 protein	1.16	0.29	0.25	0.91	0.24	0.27	1.28	up	0.00218
219421_at	NM_012382	OSRF	osmosis responsive factor /// osmosis responsive factor	1.21	0.25	0.2	0.86	0.14	0.16	1.41	up	1.79E-06
222540_s_at	BG286920	HBXAP	hepatitis B virus x associated protein	1.08	0.27	0.25	0.97	0.12	0.13	1.12	up	0.0481
243768_at	AA026388	SUSP1	Transcribed sequence with moderate similarity to protein sp:P39192 (H.sapiens) ALU5_HUMAN Alu subfamily SC sequence contamination warning entry	1	0.3	0.3	1.29	0.36	0.28	0.77	down	0.002
1553677_a_at	NM_152902	MGC3794	putative MAPK activating protein	1.15	0.2	0.17	0.95	0.12	0.13	1.22	up	0.0239
1560396_at	AK097976	KLHL6	kelch-like 6 (Drosophila)	0.96	0.28	0.29	1.18	0.3	0.26	0.81	down	0.0225
206900_x_at	NM_021047	LOC114977	zinc finger protein 506 /// zinc finger protein 506	1.23	0.4	0.33	0.83	0.13	0.15	1.47	up	1.61E-06
202558_s_at	NM_006948	STCH	stress 70 protein chaperone, microsome-associated, 60kDa	1.25	0.4	0.32	0.82	0.3	0.36	1.53	up	0.000705
220800_s_at	NM_014547	TMOD3	tropomodulin 3 (ubiquitous) /// tropomodulin 3 (ubiquitous)	1.54	0.45	0.29	0.69	0.19	0.28	2.21	up	2.81E-05
1552978_a_at	NM_052822	SCAMP1	secretory carrier membrane protein 1	1.37	0.29	0.21	0.76	0.18	0.24	1.81	up	0.00333
226897_s_at	AW169959	HSPC055	zinc finger CCCH type domain containing 7	1.21	0.25	0.2	0.87	0.2	0.22	1.39	up	0.00308
230734_x_at	AI279536	STRN	striatin, calmodulin binding protein	1.18	0.35	0.3	0.98	0.22	0.23	1.2	up	0.0406
235507_at	AA461195	LOC115294	similar to hypothetical protein FLJ10883	1.18	0.25	0.21	0.91	0.17	0.19	1.3	up	0.0254
234723_x_at	AK024881		CDNA: FLJ21228 fis, clone COL00739	0.98	0.21	0.21	1.15	0.23	0.2	0.85	down	0.00308
212839_s_at	AK024044		Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro)	1.07	0.19	0.18	0.94	0.18	0.19	1.14	up	0.0406
214658_at	BG286537	CGI-109	CGI-109 protein	1.16	0.43	0.37	0.89	0.2	0.22	1.31	up	0.00696
201222_s_at	AL527365	RAD23B	RAD23 homolog B (S. cerevisiae)	1.21	0.56	0.46	0.97	0.17	0.18	1.25	up	0.027
227931_at	AI823917		Transcribed sequence with moderate similarity to protein pir:I60307 (E. coli) I60307 beta-galactosidase, alpha peptide - Escherichia coli	0.94	0.35	0.37	1.27	0.31	0.25	0.74	down	0.000939
227905_s_at	BF000175	AZ2	5-azacytidine induced gene 2	1.26	0.51	0.4	0.87	0.15	0.18	1.46	up	0.002
207728_at	NM_018005	ATF7IP	activating transcription factor 7 interacting protein	0.93	0.2	0.22	1.18	0.23	0.19	0.79	down	0.000642
220342_x_at	NM_017992	C1orf22	chromosome 1 open reading frame 22	1.22	0.32	0.26	0.91	0.14	0.15	1.34	up	0.0131
AFFX-HUMGAPDH/M33197_5_at	AFFX-HUMGAPDH/M33197_5		glyceraldehyde-3-phosphate dehydrogenase /// glyceraldehyde-3-phosphate dehydrogenase	1.14	0.41	0.36	0.9	0.1	0.11	1.27	up	0.0429
208624_s_at	BE966878	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1	1.12	0.14	0.12	0.92	0.24	0.26	1.22	up	0.016
218521_s_at	NM_018299	STAU2	hypothetical protein FLJ11011	1.28	0.26	0.21	0.93	0.43	0.46	1.37	up	0.000939
235333_at	BG503479	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	1.12	0.26	0.23	0.92	0.36	0.39	1.22	up	0.027
213971_s_at	AI924660	na	joined to JAZF1	1.24	0.25	0.2	0.97	0.21	0.21	1.28	up	0.0039
243495_s_at	AL036450	KIAA0924	KIAA0924 protein	1.35	0.56	0.41	0.6	0.19	0.32	2.25	up	0.0225
226711_at	BF590117	HTLF	human T-cell leukemia virus enhancer factor	1.16	0.41	0.35	0.99	0.15	0.16	1.18	up	0.014
240205_x_at	AW188170		Transcribed sequence with weak  similarity to protein ref:NP_060265.1 (H.sapiens)  hypothetical protein FLJ20378 [Homo sapiens]	0.91	0.19	0.21	1.17	0.2	0.17	0.78	down	0.000292
206060_s_at	NM_015967	PTPN22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid) /// protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	1.26	0.34	0.27	0.82	0.23	0.28	1.53	up	0.000426
1555945_s_at	AK091785	C9orf10	chromosome 9 open reading frame 10	1.22	0.27	0.22	0.86	0.21	0.24	1.42	up	0.0101
1568877_a_at	BC025309	DKFZp434A2417	acyl-Coenzyme A binding domain containing 5	1.29	0.46	0.36	0.8	0.23	0.28	1.61	up	0.0039
201647_s_at	NM_005506	SCARB2	scavenger receptor class B, member 2 /// scavenger receptor class B, member 2	1.18	0.29	0.25	0.97	0.2	0.2	1.22	up	0.002
214693_x_at	BE732345	FLJ21272	chomosome one amplified sequence 1 cyclophilin	1.12	0.29	0.26	0.66	0.37	0.56	1.7	up	0.0225
211672_s_at	AF019888	ARPC4	actin related protein 2/3 complex, subunit 4, 20kDa /// actin related protein 2/3 complex, subunit 4, 20kDa	1.22	0.34	0.28	0.87	0.18	0.2	1.4	up	0.002
235179_at	BF541598		hypothetical protein FLJ31295	1.14	0.27	0.24	0.91	0.2	0.22	1.24	up	0.0381
207565_s_at	NM_001531	MR1	major histocompatibility complex, class I-related /// major histocompatibility complex, class I-related	1.19	0.4	0.34	0.85	0.24	0.28	1.4	up	0.00308
225265_at	AI580100		RNA binding motif, single stranded interacting protein 1	1.18	0.37	0.31	0.88	0.38	0.44	1.35	up	0.0225
235653_s_at	BF685315	MGC30052	THAP domain containing 6	1.17	0.21	0.18	0.84	0.19	0.22	1.39	up	0.0115
211085_s_at	Z25430	STK4	serine/threonine kinase 4 /// serine/threonine kinase 4	1.17	0.3	0.25	0.79	0.2	0.25	1.47	up	0.0429
226479_at	AL359577	DKFZp547E1912	kelch repeat and BTB (POZ) domain containing 6	1.25	0.51	0.41	0.95	0.21	0.22	1.32	up	0.0429
221695_s_at	AF239798	MAP3K2	mitogen-activated protein kinase kinase kinase 2 /// mitogen-activated protein kinase kinase kinase 2	1.35	0.46	0.34	0.73	0.23	0.32	1.86	up	0.00499
209628_at	AK023289	NXT2	nuclear transport factor 2-like export factor 2	1.24	0.5	0.4	0.94	0.2	0.21	1.31	up	0.000262
211968_s_at	AI962933	HSPCA	heat shock 90kDa protein 1, alpha	1.1	0.31	0.28	0.87	0.2	0.23	1.26	up	0.0039
223465_at	BE967275		collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	1.2	0.38	0.31	0.97	0.24	0.25	1.24	up	0.0322
201299_s_at	NM_018221	C2orf6	chromosome 2 open reading frame 6	1.49	0.34	0.23	0.81	0.15	0.18	1.84	up	2.46E-05
212220_at	AI972268	PSME4	proteasome (prosome, macropain) activator subunit 4	1.34	0.46	0.34	0.81	0.26	0.31	1.66	up	0.0381
236524_at	AA737437		CDNA FLJ37319 fis, clone BRAMY2018027	1.01	0.33	0.33	1.21	0.3	0.25	0.83	down	0.0287
239049_at	BF514509		---	0.93	0.34	0.37	1.22	0.25	0.2	0.76	down	0.000209
219163_at	NM_017656	FLJ20079	zinc finger protein 562	0.9	0.23	0.26	0.98	0.17	0.18	0.91	down	0.0481
202412_s_at	AW499935	USP1	ubiquitin specific protease 1	1.21	0.24	0.19	0.94	0.13	0.14	1.29	up	0.0322
222981_s_at	BC000896	RAB10	RAB10, member RAS oncogene family	1.35	0.82	0.61	1	0.33	0.33	1.35	up	0.00308
1558014_s_at	BG261090	FLJ22728	male sterility domain containing 2	1.49	0.64	0.43	0.66	0.25	0.39	2.27	up	9.37E-05
200598_s_at	AI582238	TRA1	tumor rejection antigen (gp96) 1	1.13	0.19	0.17	0.77	0.28	0.36	1.47	up	0.000262
1557905_s_at	AL552534	CD44	CD44 antigen (homing function and Indian blood group system)	1.32	0.7	0.53	0.88	0.12	0.13	1.51	up	0.002
208612_at	D83485	GRP58	glucose regulated protein, 58kDa /// glucose regulated protein, 58kDa	1.26	0.49	0.39	0.86	0.48	0.56	1.46	up	0.0123
233647_s_at	AL138875		cytidine and dCMP deaminase domain containing 1	1.29	0.56	0.44	0.95	0.24	0.26	1.35	up	0.0455
211102_s_at	U82277	LILRB1	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2	1.28	0.64	0.5	0.86	0.22	0.26	1.48	up	0.0172
227012_at	AI823986	MCFP	mitochondrial carrier family protein	1.29	0.75	0.58	0.89	0.14	0.16	1.45	up	0.00696
226422_at	AI760464	LOC51290	PTX1 protein	1.25	0.33	0.27	0.93	0.23	0.25	1.34	up	0.0107
222698_s_at	AF208694	IMPACT	hypothetical protein IMPACT	1.28	0.37	0.29	0.89	0.26	0.29	1.43	up	0.000939
217294_s_at	U88968	ENO1; NNE; PPH; MPB1; MBP-1; ENO1L1	enolase 1, (alpha)	1.26	0.66	0.53	0.76	0.25	0.32	1.67	up	0.00152
218911_at	NM_006530	GAS41	glioma-amplified sequence-41 /// glioma-amplified sequence-41	1.2	0.34	0.29	0.91	0.31	0.34	1.32	up	0.0172
207980_s_at	NM_006079	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	1.26	0.74	0.59	0.86	0.18	0.21	1.46	up	0.0322
222850_s_at	BF590675	FLJ14281	hypothetical protein FLJ14281	1.26	0.21	0.17	0.87	0.13	0.15	1.45	up	0.00333
242312_x_at	AV736963		Transcribed sequences	1.57	0.58	0.37	0.69	0.24	0.35	2.26	up	0.0039
205401_at	NM_003659	AGPS	alkylglycerone phosphate synthase /// alkylglycerone phosphate synthase	1.45	0.89	0.61	0.87	0.18	0.21	1.66	up	0.00115
212420_at	AL559590	ELF1	E74-like factor 1 (ets domain transcription factor)	1.37	0.37	0.27	0.86	0.16	0.19	1.6	up	0.00184
236356_at	AI808395	NDUFS1	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	1.27	0.41	0.32	0.81	0.22	0.27	1.57	up	0.00308
203318_s_at	NM_021964	ZNF148	zinc finger protein 148 (pHZ-52)	0.99	0.25	0.25	1.18	0.32	0.27	0.84	down	0.0211
209257_s_at	BF795297	CSPG6	chondroitin sulfate proteoglycan 6 (bamacan)	1.29	0.41	0.32	0.88	0.34	0.39	1.47	up	0.0211
213056_at	AU145019	GRSP1	GRP1-binding protein GRSP1	1.21	0.47	0.39	0.98	0.28	0.29	1.24	up	0.0381
242369_x_at	AI561070		MRNA; cDNA DKFZp313O038 (from clone DKFZp313O038)	0.89	0.28	0.32	1.27	0.37	0.29	0.7	down	0.000587
209514_s_at	BE502030	RAB27A	RAB27A, member RAS oncogene family	1.42	1.15	0.81	0.92	0.29	0.31	1.55	up	0.0123
1555565_s_at	AF314222	TAPBP	TAP binding protein (tapasin)	1.27	0.48	0.38	0.82	0.2	0.24	1.54	up	0.00237
202131_s_at	NM_003831	RIOK3	RIO kinase 3 (yeast)	1.35	0.46	0.34	0.75	0.23	0.31	1.81	up	7.71E-05
236327_at	AA767373		Transcribed sequences	0.86	0.27	0.31	1.14	0.19	0.16	0.75	down	3.77E-05
203921_at	NM_004267	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2 /// carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	1.27	0.64	0.51	0.93	0.28	0.3	1.37	up	0.00588
219399_at	NM_018362	LIN7C	lin-7 homolog C (C. elegans) /// lin-7 homolog C (C. elegans)	1.5	0.58	0.39	0.72	0.26	0.37	2.08	up	9.37E-05
226861_at	BF223343	ASB8	ankyrin repeat and SOCS box-containing 8	1.39	0.55	0.39	0.96	0.47	0.49	1.45	up	0.00423
242903_at	AI458949		interferon gamma receptor 1	0.92	0.36	0.4	1.14	0.37	0.32	0.81	down	0.0107
202430_s_at	NM_021105	PLSCR1	phospholipid scramblase 1	1.47	1.02	0.7	1.28	1.17	0.92	1.15	up	0.0322
238534_at	AA262583	LRRFIP1	leucine rich repeat (in FLII) interacting protein 1	0.99	0.35	0.35	1.26	0.44	0.35	0.78	down	0.00754
201163_s_at	NM_001553	IGFBP7	insulin-like growth factor binding protein 7 /// insulin-like growth factor binding protein 7	1.39	0.85	0.61	0.98	0.38	0.39	1.42	up	0.0481
221761_at	AA628948	ADSS	adenylosuccinate synthase	1.42	0.88	0.62	0.91	0.19	0.21	1.57	up	0.0304
238811_at	AA639797	ATP11B	ATPase, Class VI, type 11B	1.57	0.74	0.47	0.77	0.24	0.31	2.04	up	0.015
219793_at	NM_022133	SNX16	sorting nexin 16 /// sorting nexin 16	1.25	0.35	0.28	0.87	0.23	0.26	1.43	up	0.00128
227918_s_at	N21008	FLJ13456	hypothetical protein FLJ13456	1.34	0.46	0.34	0.81	0.28	0.35	1.66	up	0.0322
225717_at	AI814587	LNP	KIAA1715	1.44	0.78	0.54	0.82	0.21	0.25	1.75	up	0.00104
202905_x_at	AI796269	NBS1	Nijmegen breakage syndrome 1 (nibrin)	1.37	0.76	0.56	1.06	0.58	0.55	1.29	up	0.0341
238558_at	AI445833		Transcribed sequences	0.9	0.41	0.46	1.42	0.48	0.34	0.63	down	0.000106
202290_at	NM_014891	PDAP1	PDGFA associated protein 1 /// PDGFA associated protein 1	1.34	0.81	0.6	0.87	0.25	0.29	1.55	up	0.016
202191_s_at	BE439987	GAS7	growth arrest-specific 7	0.96	0.33	0.34	1.14	0.45	0.4	0.85	down	0.0322
204786_s_at	L41944	IFNAR2	interferon (alpha, beta and omega) receptor 2 /// interferon (alpha, beta and omega) receptor 2	1.01	0.3	0.3	1.22	0.39	0.32	0.83	down	0.0198
204161_s_at	NM_014936	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function) /// ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)	1.54	0.94	0.61	0.75	0.25	0.33	2.06	up	0.000343
1558111_at	AL562860	MBNL1	muscleblind-like (Drosophila)	1.07	0.37	0.34	1.14	0.3	0.26	0.94	down	0.0131
1553185_at	NM_152573	FLJ31614	RAB45, member RAS oncogene family	0.99	0.43	0.43	1.28	0.51	0.39	0.77	down	0.036
232264_at	AK022204		Clone IMAGE:5314189, mRNA	0.87	0.37	0.42	1.34	0.58	0.43	0.65	down	0.000939
241041_at	BF223010		Transcribed sequences	0.97	0.43	0.45	1.09	0.59	0.54	0.88	down	0.0211
211074_at	AF000381		---	1.59	0.58	0.36	0.88	0.18	0.2	1.8	up	0.0064
234986_at	AA630626	GCLM	glutamate-cysteine ligase, modifier subunit	1.48	0.87	0.59	0.88	0.32	0.36	1.68	up	0.000775
203282_at	NM_000158	GBE1	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV) /// glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)	1.75	1.42	0.81	1.02	0.31	0.3	1.71	up	0.036
223519_at	AW069181	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	0.95	0.34	0.36	1.17	0.28	0.24	0.81	down	0.000856
1556658_a_at	AA744622		CDNA FLJ36459 fis, clone THYMU2014762	1.03	0.43	0.41	1.14	0.37	0.33	0.91	down	0.015
202600_s_at	AI824012	NRIP1	nuclear receptor interacting protein 1	0.98	0.52	0.53	1.16	0.33	0.28	0.84	down	0.0406
213446_s_at	AI679073	IQGAP1	IQ motif containing GTPase activating protein 1	1.64	0.72	0.43	0.76	0.23	0.3	2.16	up	0.000132
228582_x_at	AI475544		myozenin 2	1.39	0.6	0.43	0.71	0.29	0.41	1.95	up	0.00754
205312_at	NM_003120	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1 /// spleen focus forming virus (SFFV) proviral integration oncogene spi1	0.85	0.78	0.92	1.28	0.46	0.36	0.67	down	0.0429
202118_s_at	AA541758	CPNE3	copine III	1.85	1.65	0.89	0.81	0.27	0.34	2.27	up	0.00115
223940_x_at	AF132202		metastasis associated in lung adenocarcinoma transcript 1	2.2	1.67	0.76	0.79	0.95	1.2	2.77	up	0.0406
224568_x_at	AW005982		metastasis associated in lung adenocarcinoma transcript 1	3.18	2.94	0.92	0.8	1.08	1.35	4	up	0.0225
