CLID	Gene Name	Gene Symbol	Accession number
AGI_MM_OLIGO_A_51_P225668	Midkine	Mdk	NM_010784
AGI_MM_OLIGO_A_51_P383407	Aldehyde dehydrogenase family 1, subfamily A7	Aldh1a7	NM_011921
AGI_MM_OLIGO_A_51_P374376			NM_146283
AGI_MM_OLIGO_A_51_P124285	Naked cuticle 1 homolog (Drosophila)	Nkd1	NM_027280
AGI_MM_OLIGO_A_51_P409010	Cartilage oligomeric matrix protein	Comp	NM_016685
AGI_MM_OLIGO_A_51_P474701	Fructose bisphosphatase 3	Fbp1	NM_019395
AGI_MM_OLIGO_A_51_P358342	Procollagen, type XVII, alpha 1	Col17a1	NM_007732
AGI_MM_OLIGO_A_51_P484158	Six transmembrane epithelial antigen of the prostate	Steap	NM_027399
AGI_MM_OLIGO_A_51_P326826	Melanoma antigen	Mela	NM_008581
AGI_MM_OLIGO_A_51_P343689	Solute carrier family 14 (urea transporter), member 1	Slc14a1	NM_028122
AGI_MM_OLIGO_A_51_P392950	Sclerostin domain containing 1	Sostdc1	NM_025312
AGI_MM_OLIGO_A_51_P345549	Naked cuticle 2 homolog (Drosophila)	Nkd2	NM_028186
AGI_MM_OLIGO_A_51_P341738	Matrix metalloproteinase 2	Mmp2	NM_008610
AGI_MM_OLIGO_A_51_P378870	RIKEN cDNA 1200009O22 gene	1200009O22Rik	AK051421
AGI_MM_OLIGO_A_51_P408653	RIKEN cDNA 9430059P22 gene	9430059P22Rik	NM_145463
AGI_MM_OLIGO_A_51_P516870	Integral membrane protein 2A	Itm2a	NM_008409
AGI_MM_OLIGO_A_51_P151152	Kallikrein 7 (chymotryptic, stratum corneum)	Klk7	NM_011872
AGI_MM_OLIGO_A_51_P186856	Keratin complex 2, basic, gene 5	Krt2-5	NM_027011
AGI_MM_OLIGO_A_51_P208083	S100 protein, beta polypeptide, neural	S100b	NM_009115
AGI_MM_OLIGO_A_51_P356642	Keratin complex 1, acidic, gene 19	Krt1-19	NM_008471
AGI_MM_OLIGO_A_51_P331893	RIKEN cDNA 4933414I15 gene	4933414I15Rik	NM_028911
AGI_MM_OLIGO_A_51_P493987	Monooxygenase, DBH-like 1	Moxd1	NM_021509
AGI_MM_OLIGO_A_51_P150879	RIKEN cDNA 2310061G07 gene	2310061G07Rik	NM_133743
AGI_MM_OLIGO_A_51_P432924	Expressed sequence AI788959	AI788959	NM_153598
AGI_MM_OLIGO_A_51_P291078	RIKEN cDNA 2310045A20 gene	2310045A20Rik	NM_172710
AGI_MM_OLIGO_A_51_P332169	NHS-like 1	Nhsl1	NM_173390
AGI_MM_OLIGO_A_51_P334104	Decorin	Dcn	NM_007833
AGI_MM_OLIGO_A_51_P301930	Leucine rich repeat containing 17	Lrrc17	BC030317
AGI_MM_OLIGO_A_51_P257419	LIM homeobox protein 2	Lhx2	NM_010710
AGI_MM_OLIGO_A_51_P171613	Wingless related MMTV integration site 10a	Wnt10a	NM_009518
AGI_MM_OLIGO_A_51_P210956	Vascular cell adhesion molecule 1	Vcam1	NM_011693
AGI_MM_OLIGO_A_51_P440743	Cadherin EGF LAG seven-pass G-type receptor 1	Celsr1	NM_009886
AGI_MM_OLIGO_A_51_P461678			ENSMUST00000050104
AGI_MM_OLIGO_A_51_P105078	S100 calcium binding protein A4	S100a4	NM_011311
AGI_MM_OLIGO_A_51_P337230			NM_027864
AGI_MM_OLIGO_A_51_P287069	Serine (or cysteine) proteinase inhibitor, clade H, member 1	Serpinh1	NM_009825
AGI_MM_OLIGO_A_51_P508902	Retinol binding protein 7, cellular	Rbp7	NM_022020
AGI_MM_OLIGO_A_51_P262759	Cyclin D1	Ccnd1	NM_007631
AGI_MM_OLIGO_A_51_P399305	Tumor necrosis factor receptor superfamily, member 19	Tnfrsf19	NM_013869
AGI_MM_OLIGO_A_51_P126198	Death-associated kinase 2	Dapk2	NM_010019
AGI_MM_OLIGO_A_51_P200667	Calmin	Clmn	NM_053155
AGI_MM_OLIGO_A_51_P239177	RIKEN cDNA 2210421G13 gene	2210421G13Rik	NM_175391
AGI_MM_OLIGO_A_51_P309283	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	Sema3b	NM_009153
AGI_MM_OLIGO_A_51_P287198	Keratin complex 1, acidic, gene 23	Krt1-23	NM_033373
AGI_MM_OLIGO_A_51_P151732	Plakophilin 1	Pkp1	NM_019645
AGI_MM_OLIGO_A_51_P212308	Coxsackievirus and adenovirus receptor	Cxadr	NM_009988
AGI_MM_OLIGO_A_51_P423527	Amphiphysin	Amph	NM_175007
AGI_MM_OLIGO_A_51_P477121	Phorbol-12-myristate-13-acetate-induced protein 1	Pmaip1	NM_021451
AGI_MM_OLIGO_A_51_P210310			XM_977330
