Probeset ID	Gene Title	Gene Symbol	RefSeq Transcript ID	p-value(hcc vs. control)_comp1	FC (hcc vs. control) comp 1	p-value(tumor vs. hep) comp 2	FC (tumor vs. hep) comp 2	a	b	c
1448916_at	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)	Mafg	NM_010756	0.0399	1.8609	0.565	1.0739	Yes	No	No
1435461_at	membrane associated guanylate kinase, WW and PDZ domain containing 3	Magi3	NM_133853	0.0454	1.683	0.2317	-1.1724	Yes	No	No
1427285_s_at	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	Malat1	---	0.0336	1.6976	0.5904	-1.0529	Yes	No	No
1426759_at	mitogen-activated protein kinase kinase kinase kinase 3 /// similar to mitogen-a	Map4k3	XM_128800	0.035	1.5524	0.327	-1.0931	Yes	No	No
1417016_at	MAP kinase-activated protein kinase 5	Mapkapk5	NM_010765	0.0428	1.6217	0.2884	1.1282	Yes	No	No
1424719_a_at	microtubule-associated protein tau	Mapt	NM_001038609	0.0268	1.8921	0.1551	1.2146	Yes	No	No
1438602_s_at	mannan-binding lectin serine peptidase 1	Masp1	NM_008555	0.0028	2.2736	0.2419	1.0606	Yes	No	No
1451203_at	myoglobin	Mb	NM_013593	0.0036	-4.5583	0.3774	-1.0876	Yes	No	No
1439686_at	Muscleblind-like 1 (Drosophila)	Mbnl1	NM_020007	0.0295	2.1856	0.1636	1.2731	Yes	No	No
1448240_at	membrane-bound transcription factor peptidase, site 1	Mbtps1	NM_019709	0.0046	1.5126	0.1679	1.0499	Yes	No	No
1423605_a_at	transformed mouse 3T3 cell double minute 2	Mdm2	NM_010786	0.0368	1.8321	0.2978	1.1458	Yes	No	No
1434487_at	myocyte enhancer factor 2D	Mef2d	NM_133665	0.0441	1.5379	0.5409	1.0573	Yes	No	No
1444458_at	Meningioma expressed antigen 6 (coiled-coil proline-rich)	Mgea6	NM_146034	0.0435	1.859	0.0866	1.4146	Yes	No	No
1434853_x_at	makorin, ring finger protein, 1	Mkrn1	NM_018810	0.0224	1.7195	0.0645	1.2875	Yes	No	No
1438654_x_at	monocyte to macrophage differentiation-associated 2	Mmd2	NM_175217	0	-3.3058	0	-1.2757	Yes	No	No
1424534_at	monocyte to macrophage differentiation-associated 2	Mmd2	NM_175217	0.0322	-1.9828	0.2499	-1.1793	Yes	No	No
1416632_at	malic enzyme, supernatant /// similar to NADP-dependent malic enzyme (NADP-ME) (	Mod1	NM_008615	0.0538	2.3198	0.0236	2.8898	No	Yes	No
1430307_a_at	malic enzyme, supernatant /// similar to NADP-dependent malic enzyme (NADP-ME) (	Mod1	NM_008615	0.0979	2.4786	0.0396	3.3911	No	Yes	No
1450405_at	mitochondrial ribosomal protein L19	Mrpl19	NM_026490	0.0406	1.5284	0.1726	1.1618	Yes	No	No
1418826_at	membrane-spanning 4-domains, subfamily A, member 6B	Ms4a6b	NM_027209	0.0298	4.0139	0.1784	1.5032	Yes	No	No
1421814_at	moesin	Msn	NM_010833	0.0069	1.8113	0.0166	1.3665	Yes	No	No
1450379_at	moesin	Msn	NM_010833	0.0218	2.3198	0.0235	1.9363	No	No	Yes
1427868_x_at	myosin, heavy polypeptide 1, skeletal muscle, adult	Myh1	NM_030679	0.0015	-35.1512	0.9323	1.011	Yes	No	No
1427026_at	myosin, heavy polypeptide 4, skeletal muscle	Myh4	NM_010855	0.0159	-1.5551	0.3379	-1.059	Yes	No	No
1452651_a_at	myosin, light polypeptide 1	Myl1	NM_021285	0.0283	-2.3014	0.8205	-1.0306	Yes	No	No
1448371_at	myosin light chain, phosphorylatable, fast skeletal muscle	Mylpf	NM_016754	0.0027	-3.323	0.4155	-1.0538	Yes	No	No
1416248_at	NAD kinase	Nadk	NM_138671	0.0085	1.6044	0.0865	1.1202	Yes	No	No
1420479_a_at	nucleosome assembly protein 1-like 1	Nap1l1	NM_015781	0.0124	2.3006	0.1824	-1.1665	Yes	No	No
1424069_at	N-ethylmaleimide sensitive fusion protein attachment protein gamma	Napg	XM_001000731	0.043	1.5247	0.9529	1.0049	Yes	No	No
1423413_at	N-myc downstream regulated gene 1	Ndrg1	NM_010884	0.0561	1.7447	0.0482	-1.6381	No	Yes	No
1450431_a_at	neural precursor cell expressed, developmentally down-regulted gene 4	Nedd4	NM_010890	0.0237	1.5983	0.1183	1.1724	Yes	No	No
1422818_at	neural precursor cell expressed, developmentally down-regulated gene 9	Nedd9	NM_017464	0.0023	2.077	0.028	1.1818	Yes	No	No
1448306_at	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	Nfkbia	NM_010907	0.0316	3.0525	0.2568	1.2978	Yes	No	No
1421266_s_at	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, beta	Nfkbib	NM_010908	0.0393	1.7243	0.2628	1.1508	Yes	No	No
1450753_at	natural killer cell group 7 sequence	Nkg7	NM_024253	0.0028	1.5573	0.0026	1.4454	Yes	No	No
1431239_at	non-POU-domain-containing, octamer binding protein	Nono	NM_023144	0.0095	1.5933	0.1679	1.0819	Yes	No	No
1433792_at	nuclear receptor interacting protein 2	Nrip2	NM_021717	0.0064	-1.7	0.3765	1.0402	Yes	No	No
1453196_a_at	2-5 oligoadenylate synthetase-like 2	Oasl2	NM_011854	0.0236	2.8001	0.0521	1.7404	Yes	No	No
1454854_at	organic solute transporter beta	Ostb	NM_178933	0.0158	-1.5321	0.2169	-1.082	Yes	No	No
1452246_at	osteoclast stimulating factor 1	Ostf1	NM_017375	0.0085	1.5746	0.0444	1.1721	Yes	No	No
1426774_at	poly (ADP-ribose) polymerase family, member 12	Parp12	NM_172893	0.0169	1.5719	0.0295	1.3205	Yes	No	No
1423628_s_at	protocadherin gamma subfamily B, 1 /// protocadherin gamma subfamily B, 2 /// pr	Pcdhgb1	NM_033574	0.036	1.868	0.1798	1.224	Yes	No	No
1455209_at	Phosphoenolpyruvate carboxykinase 1, cytosolic	Pck1	NM_011044	0.0014	-1.5042	0.0029	-1.2655	Yes	No	No
1448435_at	positive cofactor 2, multiprotein complex, glutamine/Q-rich-associated protein	Pcqap	NM_001040683	0.025	1.7636	0.2373	1.1331	Yes	No	No
1422473_at	phosphodiesterase 4B, cAMP specific	Pde4b	NM_019840	0.0457	2.7236	0.2196	1.3768	Yes	No	No
1421353_at	phosphodiesterase 7B	Pde7b	NM_013875	0.0062	-1.5026	0.1511	-1.0617	Yes	No	No
1449403_at	phosphodiesterase 9A	Pde9a	NM_008804	0.0367	-1.6071	0.4486	-1.0739	Yes	No	No
1416497_at	protein disulfide isomerase associated 4	Pdia4	NM_009787	0.2087	1.1668	0.0221	-1.5759	No	Yes	No
1416266_at	prodynorphin	Pdyn	NM_018863	0.0389	-1.5231	0.6243	-1.0406	Yes	No	No
1423706_a_at	phosphogluconate dehydrogenase	Pgd	XM_001002937	0.0805	1.5746	0.0351	1.7928	No	Yes	No
1454900_s_at	pam, highwire, rpm 1	Phr1	NM_207215	0.0447	1.5757	0.2002	1.1654	Yes	No	No
1455773_at	Phosphatidylinositol binding clathrin assembly protein	Picalm	NM_146194	0.0394	1.6161	0.3181	1.1111	Yes	No	No
1421834_at	phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha	Pip5k1a	NM_008846	0.0413	-1.5573	0.614	1.0459	Yes	No	No
1437724_x_at	phosphatidylinositol membrane-associated 1	Pitpnm1	NM_008851	0.0247	2.7198	0.0575	1.6853	Yes	No	No
1430700_a_at	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	Pla2g7	NM_013737	0.0161	2.5271	0.0429	1.5741	No	No	Yes
1452178_at	plectin 1 /// similar to poly (ADP-ribose) polymerase family, member 10	Plec1	NM_011117	0.0243	1.5449	0.0471	1.285	Yes	No	No
1448748_at	pleckstrin	Plek	NM_019549	0.0407	2.145	0.1081	1.4362	Yes	No	No
1453181_x_at	phospholipid scramblase 1	Plscr1	NM_011636	0.0185	2.6861	0.1988	-1.2342	Yes	No	No
1427885_at	polymerase (DNA-directed), delta 4	Pold4	NM_027196	0.0289	1.5675	0.8208	1.0165	Yes	No	No
1448908_at	phosphatidic acid phosphatase type 2B	Ppap2b	NM_080555	0.0068	1.6824	0.5608	1.0246	Yes	No	No
1441770_at	phosphoribosyl pyrophosphate amidotransferase	Ppat	XM_001002879	0.0496	-1.8013	0.5894	-1.0734	Yes	No	No
1416292_at	peroxiredoxin 3	Prdx3	NM_007452	0.0474	1.7919	0.2364	1.1973	Yes	No	No
1416321_s_at	proline arginine-rich end leucine-rich repeat	Prelp	NM_054077	0.0447	2.6768	0.1061	1.6428	Yes	No	No
1417426_at	proteoglycan 1, secretory granule	Prg1	NM_011157	0.0321	2.0336	0.0465	1.6127	No	No	Yes
1428674_at	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	Prpf38b	NM_025845	0.0233	1.5703	0.9984	1.0001	Yes	No	No
1418320_at	protease, serine, 8 (prostasin)	Prss8	NM_133351	0.0134	2.2895	0.1522	1.1962	Yes	No	No
1460437_at	pleckstrin homology, Sec7 and coiled/coil domains 4	Pscd4	NM_028195	0.0421	1.8391	0.0547	1.5412	Yes	No	No
1450696_at	proteosome (prosome, macropain) subunit, beta type 9 (large multifunctional pept	Psmb9	NM_013585	0.0333	2.9069	0.1157	1.5475	Yes	No	No
1453578_at	phosphotriesterase related	Pter	NM_008961	0.0233	-1.7345	0.0344	-1.442	Yes	No	No
1424208_at	prostaglandin E receptor 4 (subtype EP4)	Ptger4	NM_008965	0.023	1.9616	0.0538	1.4209	Yes	No	No
1418181_at	protein tyrosine phosphatase 4a3	Ptp4a3	NM_008975	0.0242	1.8615	0.0324	1.5454	No	No	Yes
1422124_a_at	protein tyrosine phosphatase, receptor type, C	Ptprc	NM_011210	0.0397	3.4046	0.1191	1.7171	Yes	No	No
1418540_a_at	protein tyrosine phosphatase, receptor type, E	Ptpre	NM_011212	0.0424	1.774	0.2528	1.1713	Yes	No	No
1460325_at	pumilio 1 (Drosophila)	Pum1	NM_030722	0.0318	1.8993	0.2328	1.1759	Yes	No	No
1417653_at	parvalbumin	Pvalb	NM_013645	0.0058	-1.6882	0.1241	-1.0872	Yes	No	No
1424456_at	poliovirus receptor-related 2	Pvrl2	NM_008990	0.017	1.6731	0.0573	1.2485	Yes	No	No
1419992_x_at	RAB3A interacting protein (rabin3)-like 1	Rab3il1	NM_144538	0.0005	-1.6586	0.0632	-1.0353	Yes	No	No
1417620_at	RAS-related C3 botulinum substrate 2	Rac2	NM_009008	0.0099	2.09	0.0172	1.5752	No	No	Yes
1418065_at	recombination activating gene 2	Rag2	NM_009020	0.0003	-1.5949	0.1043	-1.0183	Yes	No	No
1425518_at	Rap guanine nucleotide exchange factor (GEF) 4	Rapgef4	NM_019688	0.0097	2.0748	0.0305	-1.3939	Yes	No	No
1435614_s_at	RAS protein-specific guanine nucleotide-releasing factor 1	Rasgrf1	NM_001039655	0.0111	-1.683	0.0606	-1.1919	Yes	No	No
1438419_at	RNA binding motif protein 16	Rbm16	XM_619423	0.0365	1.5294	0.2346	1.1217	Yes	No	No
1434336_s_at	REST corepressor 1	Rcor1	NM_198023	0.0168	1.5184	0.0494	-1.2145	Yes	No	No
1424194_at	RCSD domain containing 1	Rcsd1	NM_001038846	0.0026	1.5977	0.0089	1.2236	Yes	No	No
1426037_a_at	regulator of G-protein signaling 16	Rgs16	NM_011267	0.0399	1.6066	0.3058	-1.1145	Yes	No	No
1455265_a_at	regulator of G-protein signaling 16	Rgs16	NM_011267	0.0465	1.8327	0.1684	-1.2634	Yes	No	No
1424138_at	rhomboid family 1 (Drosophila)	Rhbdf1	NM_010117	0.0088	1.7405	0.0307	1.2684	Yes	No	No
1460670_at	RIO kinase 3 (yeast)	Riok3	NM_024182	0.0012	1.5205	0.2194	1.0207	Yes	No	No
1423592_at	Rho-associated coiled-coil forming kinase 2	Rock2	NM_009072	0.0342	1.6273	0.408	1.0816	Yes	No	No
1416195_at	putative phosphatase		NM_008916	0.0327	1.5247	0.3746	1.0751	Yes	No	No
1416896_at	ribosomal protein S6 kinase polypeptide 1	Rps6ka1	NM_009097	0.0321	1.7544	0.0498	1.4389	Yes	No	No
1433756_at	S100P binding protein	S100pbp	NM_029036	0.0457	1.7538	0.2152	1.1994	Yes	No	No
1415965_at	stearoyl-Coenzyme A desaturase 1	Scd1	NM_009127	0.2993	1.168	0.0111	2.3642	No	Yes	No
1424676_s_at	SEC14-like 4 (S. cerevisiae)	Sec14l4	NM_146013	0.0299	1.5546	0.0712	1.2526	Yes	No	No
1438947_x_at	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphor	Sema3f	NM_011349	0.036	-1.5417	0.4794	-1.0614	Yes	No	No
1435887_at	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antit	Serpina11	NM_199314	0.0104	-2.2658	0.018	-1.6555	No	No	Yes
1416670_at	SET domain, bifurcated 1	Setdb1	NM_018877	0.0111	-1.7154	0.3058	-1.0664	Yes	No	No
1418747_at	SFFV proviral integration 1	Sfpi1	NM_011355	0.0075	1.859	0.0116	1.5006	No	No	Yes
1452371_at	splicing factor, arginine/serine-rich 11	Sfrs11	NM_026989	0.0295	1.7447	0.2236	1.1491	Yes	No	No
1416528_at	SH3 domain binding glutamic acid-rich protein-like 3	Sh3bgrl3	NM_080559	0.0362	2.1192	0.0872	1.4615	Yes	No	No
1418011_a_at	SH3-domain GRB2-like B1 (endophilin)	Sh3glb1	NM_019464	0.0005	1.6318	0.0033	1.1607	Yes	No	No
1448170_at	seven in absentia 2	Siah2	NM_009174	0.0066	1.5241	0.214	1.0524	Yes	No	No
1451227_a_at	solute carrier family 10 (sodium/bile acid cotransporter family), member 3	Slc10a3	NM_145406	0.0237	1.6812	0.882	1.0113	Yes	No	No
1448568_a_at	solute carrier family 20, member 1	Slc20a1	NM_015747	0.007	1.7112	0.1247	-1.0989	Yes	No	No
1451460_a_at	solute carrier family 22 (organic anion transporter), member 7	Slc22a7	NM_144856	0.013	-3.9055	0.0313	-2.0252	No	No	Yes
1450353_at	solute carrier family 25 (mitochondrial carrier, peroxisomal membrane protein),	Slc25a17	NM_011399	0.0386	-1.6144	0.4763	-1.0712	Yes	No	No
1419657_a_at	solute carrier family 25, member 36	Slc25a36	NM_138756	0.032	2.1391	0.0528	1.6093	Yes	No	No
1454764_s_at	solute carrier family 38, member 1	Slc38a1	NM_134086	0.0367	1.5401	0.0971	1.2293	Yes	No	No
1451139_at	solute carrier family 39 (zinc transporter), member 4	Slc39a4	NM_028064	0.0142	3.2456	0.1326	1.3314	Yes	No	No
1438559_x_at	solute carrier family 44, member 2	Slc44a2	NM_152808	0.028	2.9918	0.0637	1.7796	Yes	No	No
1434502_x_at	solute carrier family 4 (anion exchanger), member 1	Slc4a1	NM_011403	0.0018	-2.7693	0.7118	-1.0151	Yes	No	No
1420379_at	solute carrier organic anion transporter family, member 1a1	Slco1a1	NM_013797	0.0476	-4.1267	0.2544	-1.5134	Yes	No	No
1420884_at	sarcolipin	Sln	NM_025540	0.0164	-1.5966	0.8314	-1.0121	Yes	No	No
1450889_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subf	Smarca3	NM_009210	0.0047	2.0076	0.103	1.1193	Yes	No	No
1415935_at	SPARC related modular calcium binding 2	Smoc2	NM_022315	0.0187	1.9393	0.0189	1.7117	No	No	Yes
1418095_at	small muscle protein, X-linked	Smpx	NM_025357	0.0064	-2.8138	0.3092	-1.0963	Yes	No	No
1418493_a_at	synuclein, alpha	Snca	NM_009221	0.0329	-2.2361	0.5482	1.0916	Yes	No	No
1448610_a_at	superoxide dismutase 2, mitochondrial	Sod2	NM_013671	0.0355	1.8423	0.2556	1.1643	Yes	No	No
1426258_at	sortilin-related receptor, LDLR class A repeats-containing	Sorl1	NM_011436	0.0238	1.8745	0.0363	1.508	No	No	Yes
1436240_at	sclerostin	Sost	NM_024449	0.0166	2.3563	0.1474	1.2345	Yes	No	No
1443825_x_at	sperm acrosome associated 3	Spaca3	XM_354632	0.0316	-1.6398	0.2917	-1.11	Yes	No	No
1427888_a_at	spectrin alpha 2	Spna2	XM_001000210	0.0023	1.7581	0.026	1.1419	Yes	No	No
1427889_at	spectrin alpha 2 /// similar to Spectrin alpha chain, brain (Spectrin, non-eryth	Spna2	XM_001000210	0.0206	2.1495	0.4245	1.0949	Yes	No	No
1452143_at	spectrin beta 2	Spnb2	NM_009260	0.0284	1.567	0.6996	1.0285	Yes	No	No
1422240_s_at	small proline-rich protein 2H	Sprr2h	NM_011474	0.0153	-1.5817	0.5762	-1.0316	Yes	No	No
1450957_a_at	sequestosome 1	Sqstm1	NM_011018	0.0433	1.6324	0.2509	1.1478	Yes	No	No
1426875_s_at	sulfiredoxin 1 homolog (S. cerevisiae)	Srxn1	NM_029688	0.0126	2.3295	0.0415	1.45	Yes	No	No
1425351_at	sulfiredoxin 1 homolog (S. cerevisiae)	Srxn1	NM_029688	0.0598	1.8019	0.0432	1.776	No	Yes	No
1450034_at	signal transducer and activator of transcription 1	Stat1	NM_009283	0.022	2.1214	0.0348	1.6208	No	No	Yes
1450033_a_at	signal transducer and activator of transcription 1	Stat1	NM_009283	0.0349	2.2207	0.034	1.936	No	No	Yes
1430165_at	serine/threonine kinase 17b (apoptosis-inducing)	Stk17b	NM_133810	0.0263	1.5616	0.0633	1.2547	Yes	No	No
1423452_at	serine/threonine kinase 17b (apoptosis-inducing)	Stk17b	NM_133810	0.037	1.8596	0.1543	1.2525	Yes	No	No
1426247_at	serine/threonine kinase 24 (STE20 homolog, yeast)	Stk24	NM_145465	0.003	1.6592	0.0277	1.1428	Yes	No	No
1439802_at	serine/threonine kinase 35	Stk35	NM_001038635	0.0052	1.5401	0.3641	1.0301	Yes	No	No
1436015_s_at	serine/threonine kinase 4	Stk4	NM_021420	0.0024	1.6324	0.6493	1.0104	Yes	No	No
1441050_at	Striatin, calmodulin binding protein 3	Strn3	NM_052973	0.0111	2.3481	0.8744	-1.0133	Yes	No	No
1429237_at	syntaxin 16	Stx16	NM_172675	0.0482	1.606	0.3866	1.1019	Yes	No	No
1420470_at	sulfotransferase family, cytosolic, 1C, member 1	Sult1c1	NM_018751	0.0007	-1.539	0.0306	-1.0524	Yes	No	No
1416016_at	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	Tap1	NM_013683	0.0368	1.7321	0.1065	1.2831	Yes	No	No
1448399_at	Tax1 (human T-cell leukemia virus type I) binding protein 1	Tax1bp1	NM_025816	0.0055	1.5438	0.0845	1.0894	Yes	No	No
1428508_at	TBC1 domain family, member 2B	Tbc1d2b	NM_194334	0.0099	1.5026	0.08	1.1165	Yes	No	No
1422469_at	TANK-binding kinase 1	Tbk1	NM_019786	0.034	1.7925	0.6499	1.0488	Yes	No	No
1416450_at	taube nuss	Tbn	NM_022015	0.0349	-1.5011	0.0682	-1.2589	Yes	No	No
1443795_at	transcription factor 19	Tcf19	NM_025674	0.0325	-1.5294	0.9236	1.007	Yes	No	No
1452205_x_at	T-cell receptor beta, joining region /// T-cell receptor beta, variable 13 /// s	Tcrb-J	XM_977330	0.0331	2.0498	0.1463	1.2876	Yes	No	No
1426772_x_at	T-cell receptor beta, joining region /// T-cell receptor beta, variable 13 /// s	Tcrb-J	XM_977330	0.0462	1.7207	0.1309	1.2778	Yes	No	No
1425226_x_at	T-cell receptor beta, variable 13 /// similar to T-cell receptor beta-2 chain C	Tcrb-V13	XM_977361	0.0482	1.8771	0.1367	1.3278	Yes	No	No
1452213_at	testis expressed gene 2	Tex2	NM_198292	0.0052	1.5353	0.0409	1.1295	Yes	No	No
1420653_at	transforming growth factor, beta 1	Tgfb1	NM_011577	0.0454	2.163	0.0422	1.9257	No	No	Yes
1449009_at	T-cell specific GTPase	Tgtp	NM_011579	0.0364	3.7947	0.1507	1.6261	Yes	No	No
1448402_at	talin 1	Tln1	NM_011602	0.0207	2.0399	0.0838	1.3172	Yes	No	No
1449049_at	toll-like receptor 1	Tlr1	NM_030682	0.0136	2.6126	0.0317	1.6575	No	No	Yes
1425025_at	transmembrane protein 106A	Tmem106a	NM_144830	0.0027	1.9339	0.0156	1.2484	Yes	No	No
1436499_at	transmembrane protein 23	Tmem23	NM_144792	0.0031	1.9752	0.1065	-1.0908	Yes	No	No
1453155_at	transmembrane protein 50A	Tmem50a	NM_027935	0.0176	1.6127	0.1125	1.1538	Yes	No	No
1460377_a_at	transmembrane protein 8 (five membrane-spanning domains)	Tmem8	NM_021793	0.03	2.7151	0.1161	1.4721	Yes	No	No
1418124_at	transmembrane protein 85	Tmem85	NM_026519	0.0374	1.5342	0.1326	1.1868	Yes	No	No
1415906_at	thymosin, beta 4, X chromosome	Tmsb4x	NM_021278	0.003	1.8442	0.0072	1.3768	Yes	No	No
1433699_at	tumor necrosis factor, alpha-induced protein 3	Tnfaip3	NM_009397	0.0432	4.296	0.8166	1.0699	Yes	No	No
1416950_at	tumor necrosis factor, alpha-induced protein 8	Tnfaip8	NM_134131	0.0189	2.4837	0.0553	1.5242	Yes	No	No
1449125_at	tumor necrosis factor, alpha-induced protein 8-like 1	Tnfaip8l1	NM_025566	0.047	1.6318	0.797	-1.0266	Yes	No	No
1448147_at	tumor necrosis factor receptor superfamily, member 19	Tnfrsf19	NM_013869	0.0343	2.2839	0.8889	1.0205	Yes	No	No
1418099_at	tumor necrosis factor receptor superfamily, member 1b	Tnfrsf1b	NM_011610	0.0237	1.5497	0.871	1.0103	Yes	No	No
1427689_a_at	TNFAIP3 interacting protein 1	Tnip1	NM_021327	0.0295	2.0612	0.0989	1.3562	Yes	No	No
1417464_at	troponin C2, fast	Tnnc2	NM_009394	0.0089	-6.6668	0.5578	1.1081	Yes	No	No
1416889_at	troponin I, skeletal, fast 2	Tnni2	NM_009405	0.0064	-4.0432	0.4612	-1.0867	Yes	No	No
1455128_x_at	trinucleotide repeat containing 6a	Tnrc6a	XM_486002	0.0151	1.7237	0.6391	1.0306	Yes	No	No
1426545_at	trinucleotide repeat containing 6b	Tnrc6b	NM_144812	0.0072	1.85	0.0897	1.1425	Yes	No	No
1460370_at	DNA topoisomerase 1, mitochondrial	Top1mt	NM_028404	0.0082	1.5503	0.1315	1.0842	Yes	No	No
1417819_at	torsin family 1, member B	Tor1b	NM_133673	0.046	1.6923	0.6272	1.0558	Yes	No	No
1449577_x_at	tropomyosin 2, beta	Tpm2	NM_009416	0.0066	-1.7189	0.166	1.0798	Yes	No	No
1433883_at	tropomyosin 4	Tpm4	NM_001001491	0.0337	2.3457	0.2058	1.2743	Yes	No	No
1426949_s_at	translocated promoter region	Tpr	NM_133780	0.0439	1.697	0.3001	1.1384	Yes	No	No
1427258_at	tripartite motif protein 24	Trim24	NM_145076	0.0164	1.9386	0.1541	-1.1699	Yes	No	No
1415869_a_at	tripartite motif protein 28	Trim28	NM_011588	0.0416	1.5828	0.3313	1.1056	Yes	No	No
1417961_a_at	tripartite motif protein 30	Trim30	NM_009099	0.0281	1.7994	0.149	1.2065	Yes	No	No
1433745_at	triple functional domain (PTPRF interacting)	Trio	XM_888341	0.0235	1.9876	0.8682	1.0166	Yes	No	No
1425157_x_at	tetraspanin 33	Tspan33	NM_146173	0.0273	-1.5752	0.0727	-1.2445	Yes	No	No
1433460_at	tetratricopeptide repeat domain 7B	Ttc7b	XM_127105	0.057	1.6178	0.0329	1.692	No	Yes	No
1427445_a_at	titin	Ttn	NM_011652	0.0067	-3.158	0.5774	-1.0523	Yes	No	No
1426971_at	ubiquitin-activating enzyme E1-like	Ube1l	NM_023738	0.03	1.7508	0.0842	1.2987	Yes	No	No
1424358_at	ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast)	Ube2e2	NM_144839	0.0373	1.5385	0.2523	1.1179	Yes	No	No
1435901_at	ubiquitin specific peptidase 40	Usp40	NM_001033291	0.0314	1.8513	0.2042	1.1849	Yes	No	No
1451097_at	vasodilator-stimulated phosphoprotein	Vasp	NM_009499	0.0086	2.299	0.0263	1.4647	Yes	No	No
1420723_at	vanin 3	Vnn3	NM_011979	0.048	1.8628	0.8807	-1.0198	Yes	No	No
1450851_at	WD repeat domain 1	Wdr1	NM_011715	0.0365	1.5648	0.6818	1.0346	Yes	No	No
1449353_at	wild-type p53-induced gene 1	Wig1	NM_009517	0.0024	1.7321	0.0221	1.1551	Yes	No	No
1433676_at	WNK lysine deficient protein kinase 1	Wnk1	NM_198703	0.0474	1.5497	0.8709	-1.015	Yes	No	No
1420011_s_at	X-box binding protein 1	Xbp1	NM_013842	0.2521	-1.2354	0.0441	-1.6465	No	Yes	No
1420817_at	3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	Ywhag	NM_018871	0.009	1.606	0.1918	1.0747	Yes	No	No
1416102_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta pol	Ywhaz	NM_011740	0.0177	1.53	0.8574	1.0096	Yes	No	No
1448218_s_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta pol	Ywhaz	NM_011740	0.0252	1.6841	0.1175	1.2005	Yes	No	No
1448219_a_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta pol	Ywhaz	NM_011740	0.0444	1.6352	0.524	-1.0694	Yes	No	No
1457716_at	zinc finger, A20 domain containing 1	Za20d1	NM_001025613	0.0303	2.0251	0.1312	1.2902	Yes	No	No
1438975_x_at	zinc finger, DHHC domain containing 14	Zdhhc14	NM_146073	0.0259	-1.8551	0.9361	-1.0075	Yes	No	No
1437892_at	zinc finger protein 306	Zfp306	NM_023685	0.0079	2.5991	0.1102	1.2118	Yes	No	No
1420950_at	zinc and ring finger 1	Znrf1	NM_133206	0.0028	1.6127	0.0194	1.1568	Yes	No	No
AFFX-18SRNAMur/X00686_5_at	---	---	---	0.0026	73.6953	0.8754	1.0322	Yes	No	No
1454673_at	---	---	---	0.0067	1.5665	0.103	1.0903	Yes	No	No
1434686_at	---	---	---	0.0205	1.5363	0.2081	1.0978	Yes	No	No
1445692_x_at	---	---	---	0.0227	-1.6088	0.0612	-1.2576	Yes	No	No
AFFX-18SRNAMur/X00686_3_at	---	---	---	0.0443	23.7936	0.4958	1.5928	Yes	No	No
1452756_at	RIKEN cDNA 0610009J22 gene	0610009J22Rik	NM_027859	0.0048	1.5079	0.1008	1.0705	Yes	No	No
1423829_at	RIKEN cDNA 0910001A06 gene	0910001A06Rik	NM_144846	0.0379	1.8025	0.1774	1.2181	Yes	No	No
1429735_at	RIKEN cDNA 1110003F05 gene	1110003F05Rik	---	0.0077	1.5321	0.0379	1.1655	Yes	No	No
1453013_at	RIKEN cDNA 1110034O07 gene	1110034O07Rik	NM_153194	0.0176	1.5546	0.1864	1.1009	Yes	No	No
1452893_s_at	RIKEN cDNA 1110065P19 gene /// RIKEN cDNA 2310040A07 gene	1110065P19Rik	XM_886867	0.0332	-3.1888	0.0677	-1.9066	Yes	No	No
1426879_at	RIKEN cDNA 1190005F20 gene	1190005F20Rik	NM_026876	0.0461	1.5784	0.3849	1.0956	Yes	No	No
1428601_at	RIKEN cDNA 1700003E16 gene	1700003E16Rik	XM_887968	0.0447	-1.8019	0.3619	-1.1312	Yes	No	No
1430887_s_at	RIKEN cDNA 1700112E06 gene	1700112E06Rik	XM_484353	0.0163	1.9869	0.255	1.1211	Yes	No	No
1430886_at	RIKEN cDNA 1700112E06 gene	1700112E06Rik	XM_484353	0.0333	3.7386	0.0505	2.3711	Yes	No	No
1436541_at	RIKEN cDNA 2310008H09 gene	2310008H09Rik	NM_023197	0.0047	1.7017	0.0047	1.5419	No	No	Yes
1428083_at	RIKEN cDNA 2310043N10 gene	2310043N10Rik	XM_979471	0.0473	2.9516	0.4786	1.1878	Yes	No	No
