Genesymbol	UniGenea	GenBankb	Gene description	Clusterc	ZR-75·1	MCF-7	Functione
CCT3	Hs.1708	AI246667	Chaperonin containing TCP1, subunit 3 (gamma)	8			Protein folding
SEC61B	Hs.191887	AI281953	Protein translocation complex beta	8			Transporters
TIMELESS	Hs.118631	AI283089	Timeless homolog (Drosophila)	8			Unknown
TKT	Hs.89643	AI378884	Transketolase (Wernicke-Korsakoff syndrome)	8			Glycid metabolism
PRO1855	Hs.283558	AI421371	Hypothetical protein PRO1855	8			Unnamed
NTRK1	Hs.85844	AI471551	Neurotrophic tyrosine kinase, receptor, type 1	8			Signal transduction
PAICS	Hs.117950	AI524157	Phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	8	SAGE	SAGE	Purine/pyrimidine metabolism
COX6C	Hs.351875	AI568937	Cytochrome c oxidase subunit VIc	8	PCR	A, F	Electron transport and oxidative phosphorylation
NUDT1	Hs.388	AI655586	Nudix (nucleoside diphosphate linked moiety X)-type motif 1	8		A	Unknown
RAB6KIFL	Hs.73625	AI739117	RAB6 interacting,  kinesin-like (rabkinesin6)	8			Cell communication, adhesion or motility
EIF4A1	Hs.129673	AI755111	Eukaryotic translation initiation factor 4A, isoform 1	8	SAGE		Protein biosynthesis
PSMD8	Hs.78466	AI769251	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	8		SAGE	Protein degradation
PSMC4	Hs.211594	AI878823	Proteasome (prosome, macropain) 26S subunit, ATPase, 4	8			Protein degradation
C5orf8	Hs.75864	AI954986	Chromosome 5 open reading frame 8	8			Unnamed
MAD2L1	Hs.79078	AJ000186	MAD2 mitotic arrest deficient-like 1 (yeast)	8		B	Cell cycle
ESTs AL034374	Hs.250175	AL034374	Homolog of yeast long chain polyunsaturated fatty acid elongation enzyme 2	8			Lipid metabolism
SIP	Hs.27258	AL035305	Siah-interacting protein	8	SAGE	SAGE	Signal transduction
ESTs AL036280	Hs.356721	AL036280	ESTs, Highly similar to S04617 heterogeneous ribonuclear particle protein A1 (H. sapiens)	8			Unnamed
ILF2	Hs.75117	AL040837	Interleukin enhancer binding factor 2, 45 kDa	8		F	Transcription
KIAA0102	Hs.77665	AL047241	KIAA0102 gene product	8		A	Unnamed
RAP1A	Hs.184889	AL049557	RAP1A, member of RAS oncogene family	8	SAGE	A	Signal transduction
MRPS14	Hs.247324	AL049705	Mitochondrial ribosomal protein S14	8
SNRPG	Hs.77496	AL110340	Small nuclear ribonucleoprotein polypeptide G	8	SAGE		mRNA processing
PKM2	Hs.198281	AW007619	Pyruvate kinase, muscle	8		F	Glycid metabolism
NME1	Hs.118638	AW024667	Non-metastatic cells 1, protein (NM23A) expressed in	8		SAGE, A	Nucleotide metabolism
PSMA4	Hs.251531	D00763	Proteasome (prosome, macropain) subunit, alpha type, 4	8	SAGE		Protein degradation
RAD51	Hs.343807	D14134	RAD51 homolog (RecA homolog, E. coli)(S.cerevisiae)	8		A	DNA replication and repair
KIAA0101	Hs.81892	D14657	KIAA0101 gene product	8		A	Unnamed
PSMB3	Hs.82793	D26598	Proteasome (prosome, macropain) subunit, beta type, 3	8			Protein degradation
PSMB6	Hs.77060	D29012	Proteasome (prosome, macropain) subunit, beta type, 6	8			Protein degradation
KIAA0074	Hs.1192	D38553	KIAA0074 protein	8	PCR	A	Unnamed
MESDC2	Hs.78871	D42039	Mesoderm development candidate 2	8		SAGE	Unknown
CCT5	Hs.1600	D43950	Chaperonin containing TCP1, subunit 5 (epsilon)	8			Protein folding
SF3B3	Hs.195614	D87686	Splicing factor 3b, subunit 3, 130 kDa	8			RNA splicing
SNRPE	Hs.334612	F20803	Small nuclear ribonucleoprotein polypeptide E	8		A	mRNA processing
MT1L	Hs.94360	F27787	Metallothionein 1L	8		A, F	Heavy metal
ERP70	Hs.93659	J05016	Protein disulfide isomerase related protein (calcium-binding protein, intestinal-related)	8		A	Transporters
TK1	Hs.105097	K02581	Thymidine kinase 1, soluble	8		SAGE, A	Purine/pyrimidine metabolism
NME2	Hs.433416	L16785	Non-metastatic cells 2, protein (NM23B) expressed in	8	PCR		Nucleotide metabolism
DTYMK	Hs.79006	L16991	Deoxythymidylate kinase (thymidylate kinase)	8		A, B, F	Purine/pyrimidine metabolism
PRDX1	Hs.180909	L19184	Peroxiredoxin 1	8		A, F	Other enzymes
IMPDH2	Hs.75432	L33842	IMP (inosine monophosphate) dehydrogenase 2	8			Purine/pyrimidine metabolism
KPNB1	Hs.180446	L38951	Karyopherin (importin) beta 1	8		SAGE	Transporters
ADPRT	Hs.177766	M29786	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)	8		F	DNA replication and repair
FDPS	Hs.335918	M29863	Farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)	8		SAGE	Sterol metabolism
ARSB	Hs.1256	M32373	Arylsulfatase B	8			Lipid metabolism
CDC25C	Hs.656	M34065	Cell division cycle 25C	8			Cell cycle
PPIB	Hs.394389	M63573	Peptidylprolyl isomerase B (cyclophilin B)	8		A, C	Protein folding
DUT	Hs.367676	R77436	dUTP pyrophosphatase	8			Purine/pyrimidine metabolism
ESTs R99207	Hs.36102	R99207	ESTs, Highly similar to SMHU1B metallothionein 1B (H. sapiens)	8			Unnamed
SORD	Hs.878	U07361	Sorbitol dehydrogenase	8			Glycid metabolism
KPNA2	Hs.159557	U09559	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	8		A, B, F	Transporters
TAF9	Hs.60679	U21858	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32 kDa	8			Transcription
D123	Hs.82043	U27112	D123 gene product	8			Cell cycle
DHRS2	Hs.272499	U31875	Dehydrogenase/reductase (SDR family) member 2	8			Other enzymes
CCT4	Hs.79150	U38846	Chaperonin containing TCP1, subunit 4 (delta)	8	SAGE	SAGE, F	Protein folding
LAMR1	Hs.181357	U43901	Laminin receptor 1 (67kD, ribosomal protein SA)	8	SAGE		Ribosome biogenesis
KNSL6	Hs.69360	U63743	Kinesin-like 6 (mitotic centromere-associated kinesin)	8			Cell cycle
FOXM1	Hs.239	U74612	Forkhead box M1	8		A	Transcription
BIRC5	Hs.1578	U75285	Baculoviral IAP repeat-containing 5 (survivin)	8	PCR	A	Cell death
ANP32B	Hs.84264	W73283	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	8			Unknown
ATP5L	Hs.107476	W94335	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g	8			Electron transport and oxidative phosphorylation
SERPINA3	Hs.234726	X00947	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	8		A, C, F	Protease inhibitors
HMG1	Hs.6727	X12597	High-mobility group (nonhistone chromosomal) protein 1; High-mobility group box 1	8		A, B, F	Transcription
TRA1	Hs.82689	X15187	Tumor rejection antigen (gp96) 1	8		A, D, F	Protein folding
CKS2	Hs.83758	X54942	CDC28 protein kinase 2	8		A, B, F	Cell cycle
EEF1B2	Hs.421608	X60489	Eukaryotic translation elongation factor 1 beta 2	8			Protein biosynthesis
ACLY	Hs.174140	X64330	ATP citrate lyase	8			Citrate metabolism
FDFT1	Hs.48876	X69141	Farnesyl-diphosphate farnesyltransferase 1	8		SAGE, B, F	Sterol metabolism
SFPQ	Hs.180610	X70944	Splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	8		SAGE, A, F	RNA splicing
PLK	Hs.433619	X75932	Polo-like kinase (Drosophila)	8	SAGE	A	Cell cycle
ME1	Hs.14732	X77244	Malic enzyme 1, NADP(+)-dependent, cytosolic	8			Citrate metabolism
TIMM17A	Hs.20716	X97544	Translocase of inner mitochondrial membrane 17 homolog A (yeast)	8			Transporters
