Up in M	Gene Name	Gene Symbol	p53mA	p53mB	p53hetA	p53hetB	Mean Diff
1439210_at	mitochondrial ribosomal protein S9	Mrps9	9.44	9.41	7.47	7.89	1.75
1442025_a_at	expressed sequence AI467657	AI467657	5.18	4.90	3.95	3.65	1.24
1442484_at	synaptotagmin binding, cytoplasmic RNA interacting protein	Syncrip	8.28	9.13	7.22	7.67	1.26
1442529_at	opioid growth factor receptor-like 1	Ogfrl1	5.27	6.68	3.97	3.95	2.02
1444943_at	SH3 multiple domains 2	Sh3md2	6.30	6.66	4.11	3.04	2.91
1444953_at	RIKEN cDNA 8430423A01 gene	8430423A01Rik	3.29	3.41	2.16	1.99	1.27
1445689_at	RNA binding motif, single stranded interacting protein 1	Rbms1	7.37	7.73	5.26	5.38	2.23
1447276_at	centromere autoantigen H	Cenph	7.79	7.59	6.17	6.99	1.11
1447631_at	MYST histone acetyltransferase 2	Myst2	11.42	10.57	9.21	8.28	2.25
1447965_at	expressed sequence C80012	C80012	7.56	7.50	6.46	5.98	1.31
1447984_at	G patch domain containing 2	Gpatc2	5.84	6.49	4.25	4.57	1.76
1448026_at	chromodomain helicase DNA binding protein 7	Chd7	9.80	9.69	7.62	8.75	1.56
1448155_at	programmed cell death 6 interacting protein	Pdcd6ip	10.33	10.31	9.31	9.01	1.16
1448268_at	transmembrane emp24 protein transport domain containing 9	Tmed9	9.36	10.13	8.63	8.16	1.35
1448357_at	small nuclear ribonucleoprotein polypeptide G	Snrpg	6.35	6.72	4.96	4.92	1.60
1448370_at	Unc-51 like kinase 1 (C. elegans)	Ulk1	9.35	9.23	8.57	7.77	1.12
1448496_a_at	inhibitor of growth family, member 1	Ing1	10.02	10.25	8.96	8.41	1.45
1448580_at	golgi apparatus protein 1	Glg1	8.32	8.07	6.95	7.00	1.22
1448669_at	dickkopf homolog 3 (Xenopus laevis)	Dkk3	5.27	5.12	4.13	4.18	1.04
1448673_at	poliovirus receptor-related 3	Pvrl3	5.13	5.93	4.08	2.73	2.13
1448698_at	cyclin D1	Ccnd1	8.42	9.22	7.62	7.56	1.23
1448756_at	S100 calcium binding protein A9 (calgranulin B)	S100a9	6.59	8.36	4.14	4.53	3.13
1448793_a_at	syndecan 4	Sdc4	5.88	5.11	4.46	4.11	1.21
1448850_a_at	DnaJ (Hsp40) homolog, subfamily C, member 5	Dnajc5	11.01	11.01	9.89	10.10	1.01
1448929_at	coagulation factor XIII, A1 subunit	F13a1	4.93	4.96	3.75	4.08	1.02
1448954_at	nuclear receptor interacting protein 3	Nrip3	6.21	7.76	4.50	4.49	2.49
1449068_at	zinc finger protein 148	Zfp148	9.39	8.95	7.79	7.53	1.51
1449069_at	zinc finger protein 148	Zfp148	9.34	9.11	7.41	7.14	1.95
1449188_at	midnolin	Midn	7.74	8.27	7.03	6.09	1.44
1449335_at	tissue inhibitor of metalloproteinase 3	Timp3	5.94	6.66	5.10	5.23	1.13
1449389_at	T-cell acute lymphocytic leukemia 1	Tal1	11.40	11.72	10.55	9.89	1.34
1449408_at	junction adhesion molecule 2	Jam2	9.18	9.82	8.12	8.23	1.33
1449515_at	zinc finger protein 292	Zfp292	9.64	9.31	7.23	7.50	2.11
1449578_at	suppressor of Ty 16 homolog (S. cerevisiae)	Supt16h	5.82	6.09	4.28	4.73	1.45
1449740_s_at	desmoglein 2	Dsg2	6.59	7.26	5.12	5.84	1.45
1449853_at	sideroflexin 2	Sfxn2	4.97	5.47	3.69	3.45	1.65
1450004_at	thymic stromal lymphopoietin	Tslp	6.27	6.13	3.50	3.39	2.76
1450016_at	cyclin G1	Ccng1	6.20	6.80	5.28	5.58	1.07
1450040_at	tissue inhibitor of metalloproteinase 2	Timp2	8.16	7.86	6.93	6.90	1.09
1450051_at	alpha thalassemia/mental retardation syndrome X-linked homolog (human)	Atrx	6.55	6.60	4.93	4.80	1.71
1450093_s_at	zinc finger and BTB domain containing 7	Zbtb7	5.95	6.74	4.17	4.07	2.23
1450333_a_at	GATA binding protein 2	Gata2	10.21	10.28	9.12	9.35	1.01
1450395_at	solute carrier family 22 (organic cation transporter), member 5	Slc22a5	9.50	9.32	8.55	8.24	1.02
1450400_at	NA	LOC330731	4.77	5.17	3.16	3.51	1.64
1450401_at	NA	LOC330731	9.61	9.12	8.42	7.86	1.23
1450629_at	DNA segment, Chr 15, ERATO Doi 366, expressed	D15Ertd366e	6.06	5.99	3.71	4.24	2.05
1450698_at	dual specificity phosphatase 2	Dusp2	10.62	10.35	9.63	8.88	1.22
1450700_at	CDC42 effector protein (Rho GTPase binding) 3	Cdc42ep3	8.90	9.73	8.11	7.79	1.36
1450726_at	N-acylsphingosine amidohydrolase 2	Asah2	7.84	7.87	7.06	6.54	1.05
1450781_at	high mobility group AT-hook 2	Hmga2	3.40	3.47	1.78	2.65	1.22
1450792_at	TYRO protein tyrosine kinase binding protein	Tyrobp	5.34	5.25	3.97	4.07	1.28
1450815_s_at	coiled-coil-helix-coiled-coil-helix domain containing 2	Chchd2	7.15	7.76	6.31	6.24	1.18
1450818_a_at	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7 (B14.5a)	Ndufa7	8.02	7.86	6.78	6.83	1.13
1450857_a_at	procollagen, type I, alpha 2	Col1a2	7.40	7.54	6.39	6.39	1.08
1450906_at	plexin C1	Plxnc1	3.58	3.46	2.43	2.34	1.13
1450935_at	excision repair cross-complementing rodent repair deficiency,complementation group 5	Ercc5	7.35	7.11	6.11	6.07	1.14
1450950_at	chondroitin sulfate proteoglycan 6	Cspg6	7.27	7.33	5.89	6.64	1.04
1450973_s_at	mitogen activated protein kinase binding protein 1	Mapkbp1	6.98	6.89	5.89	5.95	1.02
1451006_at	xanthine dehydrogenase	Xdh	8.00	8.23	6.07	4.80	2.67
1451029_at	Bcl2-like 2	Bcl2l2	6.49	6.27	3.34	4.19	2.61
1451068_s_at	ribosomal protein S25	Rps25	12.21	12.45	11.61	10.98	1.03
1451200_at	kinesin family member 1B	Kif1b	8.68	8.69	6.71	7.46	1.60
1451355_at	NA	CRG-L1	8.58	8.95	7.41	7.23	1.44
1451397_at	trinucleotide repeat containing 15	Tnrc15	6.96	7.17	6.00	5.53	1.30
1451477_at	RIKEN cDNA 1700029I01 gene	1700029I01Rik	3.47	3.85	2.59	2.59	1.06
1451569_at	nuclear receptor subfamily 2, group C, member 2	Nr2c2	9.77	9.08	8.14	8.08	1.31
1451577_at	zinc finger and BTB domain containing 20	Zbtb20	7.87	8.23	5.80	3.97	3.16
1451621_at	RIKEN cDNA 5830417C01 gene	5830417C01Rik	7.90	7.53	6.19	5.68	1.78
1451634_at	RIKEN cDNA 2810051F02 gene	2810051F02Rik	6.64	6.91	5.10	3.16	2.64
1451645_at	fibrosin 1	Fbs1	9.27	9.08	8.27	7.70	1.19
1451728_at	WD repeat domain 13	Wdr13	9.64	9.52	7.61	8.27	1.64
1451887_at	LPS-responsive beige-like anchor	Lrba	7.69	7.75	5.41	5.49	2.27
1451994_s_at	RIKEN cDNA 3930401K13 gene	3930401K13Rik	8.68	8.81	7.72	7.62	1.07
1452058_a_at	ring finger protein 11	Rnf11	10.38	10.63	9.27	9.26	1.24
1452069_a_at	THAP domain containing 7	Thap7	8.23	8.16	7.31	6.67	1.20
1452106_at	nephronectin	Npnt	4.53	4.99	3.64	3.45	1.22
1452119_at	RIKEN cDNA 2600005C20 gene	2600005C20Rik	6.65	6.34	5.48	5.23	1.13
1452208_at	PR domain containing 4	Prdm4	8.03	8.27	7.27	7.01	1.00
1452304_a_at	Rho guanine nucleotide exchange factor (GEF) 5	Arhgef5	9.50	9.79	8.51	8.29	1.24
1452365_at	RIKEN cDNA 4732435N03 gene	4732435N03Rik	7.97	8.41	6.26	6.94	1.59
1452401_at	Wilms tumour 1-associating protein	Wtap	10.12	10.45	9.08	9.30	1.10
1452418_at	RIKEN cDNA 1200016E24 gene	1200016E24Rik	9.18	9.55	8.17	8.41	1.07
1452466_a_at	RNA binding motif protein 6	Rbm6	5.25	5.79	4.27	4.30	1.24
1452470_at	RIKEN cDNA 4933409L06 gene	4933409L06Rik	7.54	7.99	4.35	5.16	3.02
1452531_at	runt related transcription factor 1	Runx1	7.23	8.00	6.19	6.20	1.43
1452616_s_at	single-stranded DNA binding protein 1	Ssbp1	8.52	8.89	5.86	6.88	2.33
1452667_at	RAB2B, member RAS oncogene family	Rab2b	10.15	10.11	9.10	8.87	1.14
1452813_a_at	RIKEN cDNA 5033428A16 gene	5033428A16Rik	10.27	10.01	9.10	9.12	1.03
1452864_at	immunoglobulin superfamily, member 10	Igsf10	9.68	10.65	8.80	8.10	1.71
1452997_at	RIKEN cDNA 2610005L07 gene	2610005L07Rik	12.19	12.21	10.36	11.15	1.44
1453162_at	RIKEN cDNA 2700082D03 gene	2700082D03Rik	8.08	7.54	6.86	6.65	1.05
1453427_at	casein kinase II, alpha 1 polypeptide	Csnk2a1	9.60	9.58	8.29	7.58	1.66
1453467_s_at	NudC domain containing 3	Nudcd3	12.53	12.85	11.87	11.48	1.01
1453573_at	histone1, H3d	Hist1h3d	7.61	7.04	2.12	2.19	5.18
1453729_a_at	ribosomal protein L37	Rpl37	12.17	12.35	10.86	10.97	1.34
1453740_a_at	cyclin L2	Ccnl2	5.40	6.13	4.15	2.81	2.28
1453796_a_at	RIKEN cDNA 1200009B18 gene	1200009B18Rik	4.31	5.44	3.27	2.47	2.01
1453851_a_at	growth arrest and DNA-damage-inducible 45 gamma	Gadd45g	8.77	9.44	8.15	7.39	1.33
1454664_a_at	eukaryotic translation initiation factor 5	Eif5	11.96	12.09	11.05	10.87	1.07
1454787_at	zinc finger, DHHC domain containing 9	Zdhhc9	7.06	7.84	5.99	5.73	1.59
1454955_at	importin 7	Ipo7	11.28	11.19	9.58	10.23	1.33
1455155_at	cDNA sequence BC040823	BC040823	7.68	7.78	6.47	6.42	1.28
1455206_at	ribosomal protein S6 kinase polypeptide 3	Rps6ka3	10.11	10.78	9.20	8.50	1.60
1455319_x_at	ribosomal protein S8	Rps8	14.03	14.04	13.40	12.67	1.00
1455446_x_at	acyl-Coenzyme A dehydrogenase, short/branched chain	Acadsb	8.14	7.98	7.19	6.18	1.37
1455491_at	heterogeneous nuclear ribonucleoprotein H3	Hnrph3	12.65	12.45	11.04	11.71	1.18
1455493_at	synaptic nuclear envelope 1	Syne1	8.40	8.48	6.09	5.34	2.73
1455831_at	fusion, derived from t(12	Fus	13.54	13.38	11.40	12.46	1.53
1455905_at	16) malignant liposarcoma (human)	2610507B11Rik	6.38	6.99	5.47	5.34	1.28
1455959_s_at	RIKEN cDNA 2610507B11 gene	Gclc	10.38	10.12	9.12	9.10	1.14
1456469_x_at	glutamate-cysteine ligase, catalytic subunit	Lasp1	3.60	3.53	2.43	2.40	1.15
1456492_at	LIM and SH3 protein 1	9130404D08Rik	9.76	8.91	6.96	7.84	1.93
1456733_x_at	RIKEN cDNA 9130404D08 gene	Serpinh1	8.02	7.72	6.90	6.83	1.00
1456746_a_at	serine (or cysteine) proteinase inhibitor, clade H, member 1	Cd99l2	6.18	5.85	4.77	4.86	1.20
1457285_at	Cd99 antigen-like 2	Zfp187	8.32	8.55	7.10	7.48	1.15
1457379_at	zinc finger protein 187	Pik4ca	7.56	6.51	5.32	5.34	1.71
1457849_at	phosphatidylinositol 4-kinase, catalytic, alpha polypeptide	4933430F16Rik	6.55	6.59	5.68	4.97	1.25
1459884_at	RIKEN cDNA 4933430F16 gene	Cox7c	6.78	6.99	5.80	5.78	1.10
1459885_s_at	cytochrome c oxidase, subunit VIIc	Cox7c	10.31	9.80	8.88	8.88	1.17
1459911_at	cytochrome c oxidase, subunit VIIc	D030068L24Rik	4.85	5.23	3.14	3.12	1.91
1460010_a_at	RIKEN cDNA D030068L24 gene	Ptdss2	6.15	6.44	5.39	4.69	1.25
1460349_at	phosphatidylserine synthase 2	BC006909	8.69	8.24	7.55	7.22	1.08
1460351_at	cDNA sequence BC006909	S100a11	9.50	9.49	8.31	8.10	1.29
1460417_at	S100 calcium binding protein A11 (calizzarin)	AB041803	8.01	9.07	6.28	6.75	2.02
1460442_at	cDNA sequence AB041803	LOC277692	4.76	4.35	3.18	3.32	1.30
1460511_at	NA	Pkp2	9.46	9.10	7.76	7.90	1.45
1460649_at	plakophilin 2	Irak1	10.77	10.23	9.12	8.74	1.57
1460682_s_at	interleukin-1 receptor-associated kinase 1	Ceacam1	7.26	7.05	5.92	5.86	1.26
1460695_a_at	CEA-related cell adhesion molecule 1	2300006M17Rik	10.14	9.88	8.82	8.69	1.26
1460705_at	RIKEN cDNA 2300006M17 gene	0610013E23Rik	9.08	9.63	8.53	8.09	1.05
1460729_at	RIKEN cDNA 0610013E23 gene	Rock1	7.98	8.12	7.11	6.78	1.11
