Probe Set	Genbank	Gene name	FC M/T	M	T	% of I	% of D	% of NC	Description
236224_at	AL037450	---	1.12	0.81	0.72	42.31	19.23	38.46	Transcribed sequence with weak  similarity to protein sp:P39195 (H.sapiens) ALU8_HUMAN Alu subfamily SX sequence contamination warning entry
202157_s_at	U69546	CUGBP2	1.14	1.07	0.94	42.31	19.23	38.46	CUG triplet repeat, RNA binding protein 2
200023_s_at	NM_003754	EIF3S5	1.05	1	0.95	42.31	19.23	38.46	eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa
202900_s_at	NM_002532	NUP88	1.18	1.15	0.97	42.31	19.23	38.46	nucleoporin 88kDa
218699_at	BG338251	RAB7L1	1.09	1.01	0.92	42.31	19.23	38.46	RAB7, member RAS oncogene family-like 1
201890_at	BE966236	RRM2	1.29	1.16	0.9	42.31	19.23	38.46	ribonucleotide reductase M2 polypeptide
202863_at	NM_003113	SP100	1.08	0.98	0.9	42.31	19.23	38.46	nuclear antigen Sp100
204279_at	NM_002800	PSMB9	1.15	1.26	1.09	42.31	19.23	38.46	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)
211675_s_at	AF054589	HIC	1.3	1.09	0.84	42.31	19.23	38.46	I-mfa domain-containing protein
205583_s_at	NM_024810	FLJ23018	1.1	0.98	0.9	42.31	19.23	38.46	hypothetical protein FLJ23018
218237_s_at	NM_030674	SLC38A1	1.27	1.08	0.85	42.31	15.38	42.31	solute carrier family 38, member 1
215108_x_at	U80736	TNRC9	1.13	1.08	0.96	42.31	15.38	42.31	trinucleotide repeat containing 9
228157_at	AI125646	ZNF207	1.2	1.09	0.91	42.31	15.38	42.31	zinc finger protein 207
225684_at	BG496998	FAM33A	1.14	0.98	0.86	42.31	15.38	42.31	family with sequence similarity 33, member A
213891_s_at	AI927067	TCF4	1.14	1.12	0.98	42.31	15.38	42.31	transcription factor 4
225763_at	AI659418	MGC21854	1.36	0.98	0.72	42.31	15.38	42.31	hypothetical protein MGC21854
204352_at	NM_004619	TRAF5	1.39	1.31	0.94	42.31	15.38	42.31	TNF receptor-associated factor 5
201053_s_at	NM_006814	PSMF1	1.23	1.13	0.92	42.31	15.38	42.31	proteasome (prosome, macropain) inhibitor subunit 1 (PI31)
220330_s_at	NM_022136	SAMSN1	1.36	1.21	0.89	42.31	15.38	42.31	SAM domain, SH3 domain and nuclear localisation signals, 1
218236_s_at	NM_005813	PRKCN	1.1	0.94	0.85	42.31	15.38	42.31	protein kinase C, nu
207651_at	NM_013308	H963	2.31	1.36	0.59	42.31	15.38	42.31	platelet activating receptor homolog
209267_s_at	AB040120	SLC39A8	1.17	1.15	0.98	42.31	15.38	42.31	solute carrier family 39 (zinc transporter), member 8
232392_at	BE927772	SFRS3	1.41	0.87	0.62	42.31	15.38	42.31	splicing factor, arginine
204820_s_at	NM_006994	BTN3A3	1.21	0.96	0.79	42.31	15.38	42.31	butyrophilin, subfamily 3, member A3
217478_s_at	X76775	HLA-DMA	1.26	1.06	0.84	42.31	15.38	42.31	major histocompatibility complex, class II, DM alpha
205859_at	NM_004271	LY86	1.08	1.06	0.98	42.31	15.38	42.31	lymphocyte antigen 86
203298_s_at	NM_004973	JARID2	1.22	1	0.82	42.31	15.38	42.31	Jumonji, AT rich interactive domain 2
204362_at	NM_003930	SCAP2	1.3	1.15	0.88	42.31	15.38	42.31	src family associated phosphoprotein 2
225912_at	AW341649	TP53INP1	1.38	1.06	0.77	42.31	15.38	42.31	tumor protein p53 inducible nuclear protein 1
39248_at	N74607	AQP3	1.24	1.18	0.95	42.31	15.38	42.31	aquaporin 3
209821_at	AB024518	C9orf26	1.61	1.2	0.74	42.31	15.38	42.31	chromosome 9 open reading frame 26 (NF-HEV)
221765_at	AI378044	UGCG	1.37	1.43	1.04	42.31	15.38	42.31	UDP-glucose ceramide glucosyltransferase
203447_at	AU157008	PSMD5	1.22	0.93	0.77	42.31	15.38	42.31	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5
226875_at	AI742838	DOCK11	1.42	1.06	0.74	42.31	15.38	42.31	dedicator of cytokinesis 11
212414_s_at	D50918	6-Sep	1.4	1.27	0.9	42.31	15.38	42.31	septin 6
229905_at	N92500	---	1.09	1.02	0.93	42.31	11.54	46.15	Transcribed sequences
230466_s_at	AI092770	---	1.27	1.04	0.82	42.31	11.54	46.15	Mesenchymal stem cell protein DSC96 mRNA, partial cds
213293_s_at	AA083478	TRIM22	1.27	1.08	0.85	42.31	11.54	46.15	tripartite motif-containing 22
203413_at	NM_006159	NELL2	1.53	1.31	0.85	42.31	11.54	46.15	NEL-like 2 (chicken)
202969_at	AI216690	DYRK2	1.3	1.04	0.8	42.31	11.54	46.15	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
205229_s_at	AA669336	COCH	2.1	1.82	0.87	42.31	11.54	46.15	coagulation factor C homolog, cochlin (Limulus polyphemus)
203741_s_at	NM_001114	ADCY7	1.33	1.08	0.81	42.31	11.54	46.15	adenylate cyclase 7
207996_s_at	NM_004338	C18orf1	1.31	1.15	0.88	42.31	11.54	46.15	chromosome 18 open reading frame 1
219371_s_at	NM_016270	KLF2	1.22	1.05	0.86	42.31	11.54	46.15	Kruppel-like factor 2 (lung)
212496_s_at	BE256900	JMJD2B	1.28	1.16	0.91	42.31	11.54	46.15	jumonji domain containing 2B
201209_at	NM_004964	HDAC1	1.23	1.06	0.87	42.31	11.54	46.15	histone deacetylase 1
204118_at	NM_001778	CD48	1.55	1.36	0.88	42.31	11.54	46.15	CD48 antigen (B-cell membrane protein)
227577_at	AI168350	EXOC8	1.19	1	0.84	42.31	11.54	46.15	exocyst complex component 8
219913_s_at	NM_016652	CRNKL1	1.15	1.25	1.09	42.31	11.54	46.15	Crn, crooked neck-like 1 (Drosophila)
226230_at	AA541716	KIAA1387	1.3	1.11	0.85	42.31	11.54	46.15	KIAA1387 protein
205214_at	NM_004226	STK17B	1.72	1.25	0.73	42.31	11.54	46.15	serine
228746_s_at	AV646549	H41	1.52	1.35	0.89	42.31	11.54	46.15	hypothetical protein H41
201152_s_at	N31913	MBNL1	1.51	1.13	0.75	42.31	11.54	46.15	muscleblind-like (Drosophila)
230233_at	BF110534	RASGEF1B	1.35	1.06	0.79	42.31	11.54	46.15	RasGEF domain family, member 1B
211671_s_at	U01351	NR3C1	1.33	1.15	0.87	42.31	11.54	46.15	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
200904_at	X56841	HLA-E	1.27	1.02	0.8	42.31	11.54	46.15	major histocompatibility complex, class I, E
209823_x_at	M17955	HLA-DQB1	1.74	1.15	0.66	42.31	11.54	46.15	major histocompatibility complex, class II, DQ beta 1
211911_x_at	L07950	HLA-C	1.27	1.09	0.86	42.31	11.54	46.15	major histocompatibility complex, class I, C
224927_at	BG251556	KIAA1949	1.22	1	0.82	42.31	11.54	46.15	KIAA1949
54970_at	AA868332	DKFZp761I2123	1.22	1.13	0.92	42.31	11.54	46.15	hypothetical protein DKFZp761I2123
200911_s_at	NM_006283	TACC1	1.17	0.95	0.81	42.31	11.54	46.15	transforming, acidic coiled-coil containing protein 1
203037_s_at	NM_014751	MTSS1	1.23	1.11	0.9	42.31	11.54	46.15	metastasis suppressor 1
235085_at	BF739767	DKFZp761P0423	1.38	1.07	0.78	42.31	11.54	46.15	hypothetical protein DKFZp761P0423
211748_x_at	BC005939	PTGDS	1.51	1.24	0.82	42.31	11.54	46.15	prostaglandin D2 synthase 21kDa (brain)
210915_x_at	M15564	---	2.17	1.48	0.68	42.31	7.69	50	T cell receptor beta chain BV20S1 BJ1-5 BC1 mRNA, complete cds
226392_at	AI888503	---	1.39	1.04	0.75	42.31	7.69	50	CDNA: FLJ21652 fis, clone COL08582
227826_s_at	AW138143	---	1.78	1.25	0.7	42.31	7.69	50	Clone IMAGE:4791597, mRNA
229713_at	AW665227	---	1.38	0.86	0.63	42.31	7.69	50	CDNA FLJ13267 fis, clone OVARC1000964
223059_s_at	BC004872	C10orf45	1.32	1.13	0.86	42.31	7.69	50	chromosome 10 open reading frame 45
213539_at	NM_000732	CD3D	1.74	1.48	0.85	42.31	7.69	50	CD3D antigen, delta polypeptide (TiT3 complex)
209475_at	AF106069	USP15	1.21	1.03	0.85	42.31	7.69	50	ubiquitin specific protease 15
203156_at	NM_016248	AKAP11	1.26	1.08	0.85	42.31	7.69	50	A kinase (PRKA) anchor protein 11
201959_s_at	AA488899	MYCBP2	1.48	1.08	0.73	42.31	7.69	50	MYC binding protein 2
225750_at	BE966748	ERO1L	1.17	1	0.85	42.31	7.69	50	ERO1-like (S. cerevisiae)
221521_s_at	BC003186	Pfs2	1.25	1.31	1.04	42.31	7.69	50	DNA replication complex GINS protein PSF2
205474_at	NM_015986	CRLF3	1.39	1.19	0.86	42.31	7.69	50	cytokine receptor-like factor 3
223049_at	AF246238	GRB2	1.24	1	0.81	42.31	7.69	50	growth factor receptor-bound protein 2
211375_s_at	AF141870	ILF3	1.27	1.09	0.85	42.31	7.69	50	interleukin enhancer binding factor 3, 90kDa
213720_s_at	AI831675	SMARCA4	1.31	1.07	0.82	42.31	7.69	50	SWI
205801_s_at	NM_015376	RASGRP3	1.44	1.09	0.76	42.31	7.69	50	RAS guanyl releasing protein 3 (calcium and DAG-regulated)
211919_s_at	AF348491	CXCR4	1.23	1.1	0.89	42.31	7.69	50	chemokine (C-X-C motif) receptor 4
226444_at	AI700476	SLC39A10	1.7	1.17	0.69	42.31	7.69	50	solute carrier family 39 (zinc transporter), member 10
213111_at	AB023198	PIP5K3	1.3	1.14	0.87	42.31	7.69	50	phosphatidylinositol-3-phosphate
214791_at	AK023116	LOC93349	1.28	1.11	0.86	42.31	7.69	50	hypothetical protein BC004921
212493_s_at	AI761110	HYPB	1.37	1.18	0.86	42.31	7.69	50	huntingtin interacting protein B
209199_s_at	N22468	MEF2C	1.41	1.13	0.8	42.31	7.69	50	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)
223553_s_at	BC004564	FLJ22570	1.53	1.38	0.9	42.31	7.69	50	Dok-like protein
208729_x_at	D83043	HLA-B	1.36	1	0.73	42.31	7.69	50	major histocompatibility complex, class I, B
230793_at	BE671038	LRRC16	1.28	1.1	0.86	42.31	7.69	50	leucine rich repeat containing 16
219192_at	NM_018449	UBAP2	1.22	1.07	0.88	42.31	7.69	50	ubiquitin associated protein 2
235666_at	AA903473	---	1.42	1.28	0.9	42.31	3.85	53.85	Transcribed sequence with moderate similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry
205006_s_at	NM_004808	NMT2	1.36	1.18	0.86	42.31	3.85	53.85	N-myristoyltransferase 2
223058_at	AL136885	C10orf45	1.4	1.16	0.83	42.31	3.85	53.85	chromosome 10 open reading frame 45
200596_s_at	BE614908	EIF3S10	1.2	1.1	0.92	42.31	3.85	53.85	eukaryotic translation initiation factor 3, subunit 10 theta, 150
214582_at	NM_000753	PDE3B	1.69	1.39	0.82	42.31	3.85	53.85	phosphodiesterase 3B, cGMP-inhibited
216250_s_at	X77598	LPXN	1.52	1.27	0.83	42.31	3.85	53.85	leupaxin
220494_s_at	NM_018678	C14orf43	1.4	1.14	0.81	42.31	3.85	53.85	chromosome 14 open reading frame 43
217863_at	AI348378	PIAS1	1.39	1.18	0.85	42.31	3.85	53.85	protein inhibitor of activated STAT, 1
202370_s_at	NM_001755	CBFB	1.26	1.05	0.83	42.31	3.85	53.85	core-binding factor, beta subunit
227116_at	AI934828	HSRG1	1.37	1.06	0.77	42.31	3.85	53.85	HSV-1 stimulation-related gene 1
204613_at	NM_002661	PLCG2	1.66	1.31	0.79	42.31	3.85	53.85	phospholipase C, gamma 2 (phosphatidylinositol-specific)
210448_s_at	U49396	P2RX5	5.73	3.08	0.54	42.31	3.85	53.85	purinergic receptor P2X, ligand-gated ion channel, 5
212873_at	BE349017	HA-1	1.87	1.34	0.72	42.31	3.85	53.85	minor histocompatibility antigen HA-1
204891_s_at	NM_005356	LCK	1.87	1.33	0.71	42.31	3.85	53.85	lymphocyte-specific protein tyrosine kinase
225282_at	AL137764	LOC64744	1.57	1.17	0.75	42.31	3.85	53.85	hypothetical protein AL133206
203879_at	U86453	PIK3CD	1.42	1.2	0.84	42.31	3.85	53.85	phosphoinositide-3-kinase, catalytic, delta polypeptide
231093_at	BF514552	FCRH3	1.97	1.51	0.77	42.31	3.85	53.85	Fc receptor-like protein 3
218585_s_at	NM_016448	RAMP	1.18	1.12	0.94	42.31	3.85	53.85	RA-regulated nuclear matrix-associated protein
213888_s_at	AL022398	T3JAM	2.03	1.45	0.72	42.31	3.85	53.85	TRAF3-interacting Jun N-terminal kinase (JNK)-activating modulator
201795_at	NM_002296	LBR	1.55	1.19	0.77	42.31	3.85	53.85	lamin B receptor
208720_s_at	AI890947	RNPC2	1.17	1.03	0.88	42.31	3.85	53.85	RNA-binding region (RNP1, RRM) containing 2
212846_at	AA811192	KIAA0179	1.23	1.15	0.93	42.31	3.85	53.85	KIAA0179
216221_s_at	D87078	PUM2	1.28	1.07	0.83	42.31	3.85	53.85	pumilio homolog 2 (Drosophila)
226431_at	AK025007	ALS2CR13	1.42	1.29	0.91	42.31	3.85	53.85	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 13
214047_s_at	AI913365	MBD4	1.21	1.14	0.94	42.31	3.85	53.85	methyl-CpG binding domain protein 4
226508_at	AI042019	PHC3	1.3	1.08	0.83	42.31	3.85	53.85	polyhomeotic like 3 (Drosophila)
224709_s_at	AF131831	SPEC2	1.45	1.23	0.84	42.31	3.85	53.85	non-kinase Cdc42 effector protein SPEC2
228841_at	AW299250	LOC90624	1.2	1.08	0.9	42.31	3.85	53.85	hypothetical protein LOC90624
221875_x_at	AW514210	HLA-F	1.18	1.09	0.92	42.31	3.85	53.85	major histocompatibility complex, class I, F
202423_at	NM_006766	MYST3	1.28	1.18	0.92	42.31	3.85	53.85	MYST histone acetyltransferase (monocytic leukemia) 3
212248_at	AI886796	LYRIC	1.49	1.2	0.81	42.31	3.85	53.85	LYRIC
218669_at	NM_021183	RAP2C	1.29	1.01	0.78	42.31	3.85	53.85	RAP2C, member of RAS oncogene family
236301_at	AA789123	---	2.16	1.26	0.58	42.31	0	57.69	CDNA FLJ46579 fis, clone THYMU3042758
209430_at	AJ001017	BTAF1	1.3	1.08	0.83	42.31	0	57.69	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)
228599_at	AI862674	MS4A1	2.69	1.7	0.63	42.31	0	57.69	membrane-spanning 4-domains, subfamily A, member 1
231418_at	AI808597	MS4A1	3.41	1.54	0.45	42.31	0	57.69	membrane-spanning 4-domains, subfamily A, member 1
222630_at	BF740077	FLJ12994	1.26	1.06	0.84	42.31	0	57.69	hypothetical protein FLJ12994
201498_at	AI160440	USP7	1.23	1.12	0.91	42.31	0	57.69	ubiquitin specific protease 7 (herpes virus-associated)
221903_s_at	BE046443	CYLD	1.45	1.1	0.76	42.31	0	57.69	cylindromatosis (turban tumor syndrome)
212287_at	BF382924	JJAZ1	1.48	1.25	0.85	42.31	0	57.69	joined to JAZF1
243968_x_at	AI572979	FCRH1	3.36	1.46	0.43	42.31	0	57.69	Fc receptor-like protein 1
226115_at	AI138934	ELYS	1.23	1.09	0.89	42.31	0	57.69	ELYS transcription factor-like protein TMBS62
212168_at	AL514547	RBM12	1.28	1.06	0.82	42.31	0	57.69	RNA binding motif protein 12
219498_s_at	NM_018014	BCL11A	2.24	1.56	0.69	42.31	0	57.69	B-cell CLL
212546_s_at	AI126634	KIAA0826	1.18	1	0.85	42.31	0	57.69	KIAA0826 protein
220059_at	NM_012108	BRDG1	2.85	1.66	0.58	42.31	0	57.69	BCR downstream signaling 1
203087_s_at	NM_004520	KIF2	1.44	1.15	0.8	42.31	0	57.69	kinesin heavy chain member 2
215446_s_at	L16895	LOX	0.56	0.89	1.6	26.92	42.31	30.77	Lysyl oxidase
212764_at	AI806174	TCF8	0.73	0.78	1.06	26.92	42.31	30.77	transcription factor 8 (represses interleukin 2 expression)
217232_x_at	AF059180	HBB	0.92	1.32	1.44	26.92	42.31	30.77	hemoglobin, beta
209541_at	AI972496	IGF1	0.71	0.89	1.26	26.92	42.31	30.77	insulin-like growth factor 1 (somatomedin C)
222975_s_at	AI423180	D1S155E	0.98	0.82	0.84	26.92	42.31	30.77	NRAS-related gene
33322_i_at	X57348	SFN	0.85	0.86	1	26.92	42.31	30.77	stratifin
202672_s_at	NM_001674	ATF3	0.81	0.9	1.11	26.92	42.31	30.77	activating transcription factor 3
223218_s_at	AB037925	MAIL	0.96	1.08	1.13	26.92	42.31	30.77	molecule possessing ankyrin repeats induced by lipopolysaccharide (MAIL), homolog of mouse
225688_s_at	AK025444	PHLDB2	0.8	0.72	0.9	26.92	42.31	30.77	pleckstrin homology-like domain, family B, member 2
223220_s_at	AF307338	BAL	0.92	0.95	1.04	26.92	42.31	30.77	B aggressive lymphoma gene
230130_at	AI692523	SLIT2	0.77	0.77	1	26.92	42.31	30.77	slit homolog 2 (Drosophila)
204533_at	NM_001565	CXCL10	0.88	0.9	1.02	26.92	42.31	30.77	chemokine (C-X-C motif) ligand 10
226930_at	AI345957	FNDC1	0.82	0.8	0.97	26.92	42.31	30.77	fibronectin type III domain containing 1
204052_s_at	NM_003014	SFRP4	0.68	0.9	1.33	26.92	42.31	30.77	secreted frizzled-related protein 4
225987_at	AA650281	FLJ23153	0.96	1.16	1.21	26.92	42.31	30.77	likely ortholog of mouse tumor necrosis-alpha-induced adipose-related protein
213988_s_at	BE971383	SAT	0.85	0.96	1.13	26.92	42.31	30.77	spermidine
224588_at	AA167449	XIST	1	0.9	0.89	26.92	42.31	30.77	X (inactive)-specific transcript
212761_at	AI949687	TCF7L2	0.81	0.85	1.05	23.08	42.31	34.62	transcription factor 7-like 2 (T-cell specific, HMG-box)
223993_s_at	AL136930	HSPC163	0.75	0.87	1.17	23.08	42.31	34.62	HSPC163 protein
204364_s_at	BE535746	C2orf23	1.02	1.14	1.12	23.08	42.31	34.62	chromosome 2 open reading frame 23
216248_s_at	S77154	NR4A2	0.84	0.88	1.04	23.08	42.31	34.62	nuclear receptor subfamily 4, group A, member 2
203131_at	NM_006206	PDGFRA	0.78	0.77	0.99	23.08	42.31	34.62	platelet-derived growth factor receptor, alpha polypeptide
225664_at	AA788946	COL12A1	0.66	0.82	1.25	23.08	42.31	34.62	collagen, type XII, alpha 1
212354_at	BE500977	SULF1	0.7	0.79	1.13	23.08	42.31	34.62	sulfatase 1
212488_at	N30339	COL5A1	0.77	0.87	1.13	23.08	42.31	34.62	collagen, type V, alpha 1
230333_at	BE326919	SAT	0.84	0.77	0.91	23.08	42.31	34.62	spermidine
203041_s_at	J04183	LAMP2	0.88	0.89	1.01	23.08	42.31	34.62	lysosomal-associated membrane protein 2
232231_at	AL353944	---	0.87	0.88	1.01	19.23	42.31	38.46	MRNA; cDNA DKFZp761J1112 (from clone DKFZp761J1112)
233814_at	AK025909	---	0.65	0.75	1.15	19.23	42.31	38.46	CDNA: FLJ22256 fis, clone HRC02860
223280_x_at	AF253977	MS4A6A	0.81	0.7	0.87	19.23	42.31	38.46	membrane-spanning 4-domains, subfamily A, member 6A
219773_at	NM_016931	NOX4	0.6	0.77	1.29	19.23	42.31	38.46	NADPH oxidase 4
204114_at	NM_007361	NID2	0.76	0.92	1.21	19.23	42.31	38.46	nidogen 2 (osteonidogen)
214414_x_at	T50399	HBA2	0.8	0.91	1.13	19.23	42.31	38.46	hemoglobin, alpha 2
219768_at	NM_024626	B7-H4	0.55	0.65	1.2	19.23	42.31	38.46	immune costimulatory protein B7-H4
37005_at	D28124	NBL1	0.88	0.95	1.08	19.23	42.31	38.46	neuroblastoma, suppression of tumorigenicity 1
204337_at	AL514445	RGS4	0.74	0.81	1.09	19.23	42.31	38.46	regulator of G-protein signalling 4
202388_at	NM_002923	RGS2	0.79	0.99	1.26	19.23	42.31	38.46	regulator of G-protein signalling 2, 24kDa
219288_at	NM_020685	HT021	0.89	0.95	1.06	19.23	42.31	38.46	HT021
207808_s_at	NM_000313	PROS1	0.74	0.89	1.2	19.23	42.31	38.46	protein S (alpha)
201310_s_at	NM_004772	C5orf13	0.77	0.92	1.2	19.23	42.31	38.46	chromosome 5 open reading frame 13
204517_at	BE962749	PPIC	0.77	0.88	1.14	19.23	42.31	38.46	peptidylprolyl isomerase C (cyclophilin C)
215071_s_at	AL353759	HIST1H2AC	0.93	0.84	0.91	19.23	42.31	38.46	histone 1, H2ac
209309_at	D90427	AZGP1	0.71	0.74	1.05	19.23	42.31	38.46	alpha-2-glycoprotein 1, zinc
208029_s_at	NM_018407	LAPTM4B	0.74	0.87	1.17	19.23	42.31	38.46	lysosomal associated protein transmembrane 4 beta
201470_at	NM_004832	GSTO1	0.83	1.01	1.22	15.38	42.31	42.31	glutathione S-transferase omega 1
213994_s_at	AI885290	SPON1	0.46	0.58	1.27	15.38	42.31	42.31	spondin 1, extracellular matrix protein
209031_at	AL519710	IGSF4	0.85	0.95	1.12	15.38	42.31	42.31	immunoglobulin superfamily, member 4
227450_at	AI051248	FLJ32115	0.77	0.93	1.21	15.38	42.31	42.31	hypothetical protein FLJ32115
237086_at	AI693336	FOXA1	0.73	0.72	0.99	15.38	42.31	42.31	forkhead box A1
203963_at	NM_001218	CA12	0.67	0.61	0.91	15.38	42.31	42.31	carbonic anhydrase XII
227514_at	AI766311	LOC162073	0.76	0.85	1.12	15.38	42.31	42.31	hypothetical protein LOC162073
209242_at	AL042588	PEG3	0.73	1.13	1.55	15.38	42.31	42.31	paternally expressed 3
222450_at	AL035541	TMEPAI	0.82	0.8	0.98	15.38	42.31	42.31	transmembrane, prostate androgen induced RNA
201842_s_at	AI826799	EFEMP1	0.63	0.71	1.13	15.38	42.31	42.31	EGF-containing fibulin-like extracellular matrix protein 1
223070_at	AF085359	SELK	0.8	0.74	0.92	15.38	42.31	42.31	selenoprotein K
221872_at	AI669229	RARRES1	0.73	0.89	1.22	15.38	42.31	42.31	retinoic acid receptor responder (tazarotene induced) 1
223092_at	AA854943	ANKH	0.81	0.84	1.04	15.38	42.31	42.31	ankylosis, progressive homolog (mouse)
231766_s_at	U73778	COL12A1	0.75	0.76	1.02	15.38	42.31	42.31	collagen, type XII, alpha 1
201860_s_at	NM_000930	PLAT	0.76	0.87	1.15	15.38	42.31	42.31	plasminogen activator, tissue
231274_s_at	R92925	MSCP	0.91	1.23	1.35	15.38	42.31	42.31	mitochondrial solute carrier protein
222572_at	BG542521	PPM2C	0.87	0.8	0.92	15.38	42.31	42.31	protein phosphatase 2C, magnesium-dependent, catalytic subunit
213001_at	AF007150	ANGPTL2	0.81	0.9	1.11	15.38	42.31	42.31	angiopoietin-like 2
203903_s_at	NM_014799	HEPH	0.71	0.98	1.39	15.38	42.31	42.31	hephaestin
203042_at	NM_002294	LAMP2	0.87	0.86	0.99	15.38	42.31	42.31	lysosomal-associated membrane protein 2
226374_at	BG260087	---	0.71	0.65	0.91	11.54	42.31	46.15	Transcribed sequence with weak  similarity to protein sp:P39191 (H.sapiens) ALU4_HUMAN Alu subfamily SB2 sequence contamination warning entry
231628_s_at	AW262311	---	0.78	0.97	1.25	11.54	42.31	46.15	---
242310_at	AA665058	---	0.78	0.98	1.26	11.54	42.31	46.15	Transcribed sequences
209473_at	AV717590	ENTPD1	0.79	0.99	1.25	11.54	42.31	46.15	ectonucleoside triphosphate diphosphohydrolase 1
213993_at	AI885290	SPON1	0.5	0.65	1.29	11.54	42.31	46.15	spondin 1, extracellular matrix protein
213348_at	N33167	CDKN1C	0.8	0.9	1.12	11.54	42.31	46.15	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
211458_s_at	AF180519	GABARAPL1	0.8	0.81	1.01	11.54	42.31	46.15	GABA(A) receptor-associated protein like 1
225285_at	AK025615	BCAT1	0.72	0.9	1.25	11.54	42.31	46.15	branched chain aminotransferase 1, cytosolic
226517_at	AL390172	BCAT1	0.68	0.85	1.24	11.54	42.31	46.15	branched chain aminotransferase 1, cytosolic
221434_s_at	NM_031210	DC50	0.86	0.92	1.07	11.54	42.31	46.15	hypothetical protein DC50
212730_at	AK026420	DMN	0.75	1.02	1.37	11.54	42.31	46.15	desmuslin
215867_x_at	AL050025	AP1G1	0.84	0.73	0.87	11.54	42.31	46.15	adaptor-related protein complex 1, gamma 1 subunit
213129_s_at	AI970157	GCSH	0.81	0.95	1.17	11.54	42.31	46.15	glycine cleavage system protein H (aminomethyl carrier)
202935_s_at	AI382146	SOX9	0.83	0.82	0.98	11.54	42.31	46.15	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)
218418_s_at	NM_015493	ANKRD25	0.76	0.8	1.06	11.54	42.31	46.15	ankyrin repeat domain 25
237395_at	AV700083	CYP4Z1	0.51	0.79	1.53	11.54	42.31	46.15	cytochrome P450, family 4, subfamily Z, polypeptide 1
223272_s_at	BC005102	MGC13186	0.81	0.75	0.92	11.54	42.31	46.15	hypothetical protein MGC13186
209099_x_at	U73936	JAG1	0.69	0.88	1.28	11.54	42.31	46.15	jagged 1 (Alagille syndrome)
222449_at	AL035541	TMEPAI	0.74	0.87	1.17	11.54	42.31	46.15	transmembrane, prostate androgen induced RNA
202599_s_at	NM_003489	NRIP1	0.78	0.93	1.19	11.54	42.31	46.15	nuclear receptor interacting protein 1
229357_at	BF060767	ADAMTS5	0.65	0.73	1.12	11.54	42.31	46.15	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)
212012_at	BF342851	D2S448	0.87	0.95	1.1	11.54	42.31	46.15	Melanoma associated gene
204112_s_at	NM_006895	HNMT	0.63	0.79	1.24	11.54	42.31	46.15	histamine N-methyltransferase
204235_s_at	AF200715	GULP1	0.58	0.78	1.34	11.54	42.31	46.15	GULP, engulfment adaptor PTB domain containing 1
222154_s_at	AK002064	DNAPTP6	0.85	0.89	1.04	11.54	42.31	46.15	DNA polymerase-transactivated protein 6
221896_s_at	BE739519	HIG1	0.85	0.85	0.99	11.54	42.31	46.15	likely ortholog of mouse hypoxia induced gene 1
225990_at	W72626	BOC	0.64	1	1.56	11.54	42.31	46.15	brother of CDO
205830_at	NM_004362	CLGN	0.75	1.09	1.45	11.54	42.31	46.15	calmegin
200907_s_at	AU157932	KIAA0992	0.74	0.9	1.22	11.54	42.31	46.15	palladin
226276_at	BF439522	MGC23909	0.85	0.82	0.96	11.54	42.31	46.15	hypothetical protein MGC23909
229830_at	AW205919	PDGFA	0.88	0.77	0.87	11.54	42.31	46.15	platelet-derived growth factor alpha polypeptide
225147_at	AL521959	PSCD3	0.84	0.7	0.83	11.54	42.31	46.15	pleckstrin homology, Sec7 and coiled-coil domains 3
214807_at	AI278204	---	0.66	0.82	1.25	7.69	42.31	50	MRNA; cDNA DKFZp564O0862 (from clone DKFZp564O0862)
201063_at	NM_002901	RCN1	0.79	0.86	1.08	7.69	42.31	50	reticulocalbin 1, EF-hand calcium binding domain
209581_at	BC001387	HRASLS3	0.64	0.77	1.21	7.69	42.31	50	HRAS-like suppressor 3
212067_s_at	AL573058	C1R	0.82	0.96	1.17	7.69	42.31	50	complement component 1, r subcomponent
209906_at	U62027	C3AR1	0.79	0.82	1.04	7.69	42.31	50	complement component 3a receptor 1
211600_at	U20489	PTPRO	0.81	0.81	1	7.69	42.31	50	protein tyrosine phosphatase, receptor type, O
209118_s_at	AF141347	TUBA3	0.82	0.9	1.1	7.69	42.31	50	tubulin, alpha 3
236179_at	AI754693	CDH11	0.65	0.69	1.05	7.69	42.31	50	cadherin 11, type 2, OB-cadherin (osteoblast)
