Probe Set ID	Status	Gene Symbol	Gene Name	RefSeq Transcript ID	Chrom . Loc.
1554334_a_at	Luminal	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4	NM_018602	15q24.1
203839_s_at	Luminal	ACK1	activated Cdc42-associated kinase 1	NM_001010938 /// NM_005781	3q29
209309_at	Luminal	AZGP1	alpha-2-glycoprotein 1, zinc	NM_001185	7q22.1
214734_at	Luminal	SLAC2-B	SLAC2-B	NM_015065	11q23.1
209366_x_at	Luminal	CYB5	cytochrome b-5	NM_001914 /// NM_148923	18q23
221655_x_at	Luminal	EPS8L1	EPS8-like 1	NM_017729 /// NM_133180 /// NM_139204	19q13.42
236248_x_at	Luminal	MGC21874	transcriptional adaptor 2 (ADA2 homolog, yeast)-beta	XM_291105	4p16.1
228067_at	Luminal	MGC42367	similar to 2010300C02Rik protein	NM_207362	2q11.2
212935_at	Luminal	MCF2L	MCF.2 cell line derived transforming sequence-like	NM_024979	13q34
219360_s_at	Luminal	TRPM4	transient receptor potential cation channel, subfamily M, member 4	NM_017636	19q13.33
218807_at	Luminal	VAV3	vav 3 oncogene	NM_006113	1p13.3
218942_at	Luminal	PIP5K2C	phosphatidylinositol-4-phosphate 5-kinase, type II, gamma	NM_024779	12q13.2
226666_at	Luminal	DAAM1	dishevelled associated activator of morphogenesis 1	NM_014992	14q23.1
200048_s_at	Luminal	JTB	jumping translocation breakpoint	NM_006694	1q21
205309_at	Luminal	SMPDL3B	sphingomyelin phosphodiesterase, acid-like 3B	NM_001009568 /// NM_014474	1p35.2
209460_at	Luminal	ABAT	4-aminobutyrate aminotransferase	NM_000663 /// NM_020686	16p13.2
239841_at	Luminal	C7orf24	chromosome 7 open reading frame 24	NM_024051	7p15-p14
225067_at	Luminal	DKFZP434C131	DKFZP434C131 protein	NM_015518	15q23
209110_s_at	Luminal	RAB2L	RAB2, member RAS oncogene family-like	NM_004761	6p21.3
203128_at	Luminal	SPTLC2	serine palmitoyltransferase, long chain base subunit 2	NM_004863	14q24.3-q31
38340_at	Luminal	HIP1R	huntingtin interacting protein-1-related	NM_003959	12q24
223232_s_at	Luminal	CGN	cingulin	NM_020770	1q21
226791_at	Luminal	KIFC2	kinesin family member C2	NM_145754	8q24.3
203623_at	Luminal	PLXN3	likely ortholog of mouse plexin 3	NM_017514	xq28
74694_s_at	Luminal	RABEP2	rabaptin, RAB GTPase binding effector protein 2	NM_024816	16p12.1
217929_s_at	Luminal	PKD1-like	polycystic kidney disease 1-like	NM_024874 /// NM_182686	1p34.2
218806_s_at	Luminal	VAV3	vav 3 oncogene	NM_006113	1p13.3
212856_at	Luminal	KIAA0767	KIAA0767 protein	XM_027105	22q13.31
200895_s_at	Luminal	FKBP4	FK506 binding protein 4, 59kDa	NM_002014	12p13.33
229245_at	Luminal	PEPP3	phosphoinositol 3-phosphate-binding protein-3	NM_014935	1q32.1
218145_at	Luminal	TRIB3	tribbles homolog 3 (Drosophila)	NM_021158	20p13-p12.2
232361_s_at	Luminal	EHF	ets homologous factor	NM_012153	11p12
228256_s_at	Luminal	TIGA1	TIGA1	NM_053000	5q21-q22
208190_s_at	Luminal	LISCH7	liver-specific bHLH-Zip transcription factor	NM_015925 /// NM_205834 /// NM_205835	19q13.13
218389_s_at	Luminal	APH-1A	likely ortholog of C. elegans anterior pharynx defective 1A	NM_016022	1p36.13-q31.3
204862_s_at	Luminal	NME3	non-metastatic cells 3, protein expressed in	NM_002513	16q13
209282_at	Luminal	PRKD2	protein kinase D2	NM_016457	19q13.3
204635_at	Luminal	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	NM_004755 /// NM_182398	14q31-q32.1
232151_at	Luminal		MRNA full length insert cDNA clone EUROIMAGE 2344436	---
211689_s_at	Luminal	TMPRSS2	transmembrane protease, serine 2	NM_005656	21q22.3
203256_at	Luminal	CDH3	cadherin 3, type 1, P-cadherin (placental)	NM_001793	16q22.1
233315_at	Luminal		CDNA: FLJ21294 fis, clone COL01981	NM_001329 /// NM_022802
223659_at	Luminal	MSP	mosaic serine protease	NM_032046	11q23
234351_x_at	Luminal	TRPS1	trichorhinophalangeal syndrome I	NM_014112	8q24.12
220936_s_at	Luminal	H2AFJ	H2A histone family, member J	NM_018267 /// NM_177925	12p12
201428_at	Luminal	CLDN4	claudin 4	NM_001305	7q11.23
206546_at	Luminal	SYCP2	synaptonemal complex protein 2	NM_014258	20q13.33
226111_s_at	Luminal	ZNF385	zinc finger protein 385	NM_015481	12q13.13
203215_s_at	Luminal	MYO6	myosin VI	NM_004999	6q13
219797_at	Luminal	MGAT4A	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isoenzyme A	NM_012214	2q12
202752_x_at	Luminal	SLC7A8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	NM_012244 /// NM_182728	14q11.2
36545_s_at	Luminal	KIAA0542	KIAA0542 gene product	NM_001007467 /// NM_014775	22q12.2
208978_at	Luminal	CRIP2	cysteine-rich protein 2	NM_001312	14q32.3
225010_at	Luminal	CCDC6	coiled-coil domain containing 6	NM_005436	10q21
211695_x_at	Luminal	MUC1	mucin 1, transmembrane	NM_002456 /// NM_182741	1q21
218686_s_at	Luminal	RHBDF1	rhomboid family 1 (Drosophila)	NM_022450	16p13.3
232360_at	Luminal	EHF	ets homologous factor	NM_012153	11p12
209268_at	Luminal	VPS45A	vacuolar protein sorting 45A (yeast)	NM_007259	1q21-q22
203722_at	Luminal	ALDH4A1	aldehyde dehydrogenase 4 family, member A1	NM_003748 /// NM_170726	1p36
208114_s_at	Luminal	FLJ12671	hypothetical protein FLJ12671	NM_030980	1q23.1
207169_x_at	Luminal	DDR1	discoidin domain receptor family, member 1	NM_001954 /// NM_013993 /// NM_013994	6p21.3
205019_s_at	Luminal	VIPR1	vasoactive intestinal peptide receptor 1	NM_004624	3p22
205555_s_at	Luminal	MSX2	msh homeo box homolog 2 (Drosophila)	NM_002449	5q34-q35
225861_at	Luminal	MGC15416	hypothetical protein MGC15416	NM_032371 /// NM_138418	16p13.3
212534_at	Luminal	ZNF24	zinc finger protein 24 (KOX 17)	NM_006965	18q12
209736_at	Luminal	SOX13	SRY (sex determining region Y)-box 13	NM_005686	1q32
228097_at	Luminal	MYLIP	myosin regulatory light chain interacting protein	NM_013262	6p23-p22.3
201079_at	Luminal	SYNGR2	synaptogyrin 2	NM_004710	17q25.3
212510_at	Luminal	KIAA0089	KIAA0089 protein	NM_015141	3p22.3
218804_at	Luminal	TMEM16A	transmembrane protein 16A	NM_018043	11q13.2
222651_s_at	Luminal	TRPS1	trichorhinophalangeal syndrome I	NM_014112	8q24.12
202730_s_at	Luminal	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	NM_014456 /// NM_145341	10q24
223129_x_at	Luminal	MYLIP	myosin regulatory light chain interacting protein	NM_013262	6p23-p22.3
228058_at	Luminal	LOC124220	similar to common salivary protein 1	NM_145252	16p13.3
223034_s_at	Luminal	NICE-3	NICE-3 protein	NM_015449 /// NM_138740	1q21.2
207843_x_at	Luminal	CYB5	cytochrome b-5	NM_001914 /// NM_148923	18q23
212729_at	Luminal	DLG3	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	NM_021120	xq13.1
244264_at	Luminal	FLJ44186	FLJ44186 protein	NM_198508	7q34
1557814_a_at	Luminal		Full length insert cDNA clone YB34C04	NM_012446
236293_at	Luminal		Transcribed sequences	NM_004310
227758_at	Luminal	RERG	RAS-like, estrogen-regulated, growth inhibitor	NM_032918	12p13.1
231022_at	Luminal		Transcribed sequences	---
219211_at	Luminal	USP18	ubiquitin specific protease 18	NM_017414	22q11.21
212070_at	Luminal	GPR56	G protein-coupled receptor 56	NM_005682 /// NM_201524 /// NM_201525	16q13
209623_at	Luminal	MCCC2	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)	NM_022132	5q12-q13
231878_at	Luminal	MGC4606	hypothetical protein MGC4606	NM_005115 /// NM_017458	16p12.1
225191_at	Luminal	CIRBP	cold inducible RNA binding protein	NM_001280	19p13.3
223681_s_at	Luminal	INADL	InaD-like protein	NM_005799 /// NM_170605 /// NM_176877 /// NM_176878	1p32.1
243349_at	Luminal	KIAA1324	maba1	NM_020775	1p13.3-p13.2
203963_at	Luminal	CA12	carbonic anhydrase XII	NM_001218 /// NM_206925	15q22
222620_s_at	Luminal	DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1	NM_022365	10p12.33-p12.32
204231_s_at	Luminal	FAAH	fatty acid amide hydrolase	NM_001441	1p35-p34
224886_at	Luminal		Similar to RIKEN cDNA 2610003J06 (LOC339123), mRNA	NM_001005920	16p13.3
228528_at	Luminal		CDNA FLJ41270 fis, clone BRAMY2036387	---
213307_at	Luminal	SHANK2	SH3 and multiple ankyrin repeat domains 2	NM_012309 /// NM_133266	11q13.2
224336_s_at	Luminal	DUSP16	dual specificity phosphatase 16	NM_030640	12p13
202658_at	Luminal	PEX11B	peroxisomal biogenesis factor 11B	NM_003846	1q21.2
234290_x_at	Luminal	MYH14	myosin, heavy polypeptide 14	NM_024729	19q13.33
202636_at	Luminal	RNF103	ring finger protein 103	NM_005667	2p11.2
206687_s_at	Luminal	PTPN6	protein tyrosine phosphatase, non-receptor type 6	NM_002831 /// NM_080548 /// NM_080549	12p13
200804_at	Luminal	TEGT	testis enhanced gene transcript (BAX inhibitor 1)	NM_003217	12q12-q13
210886_x_at	Luminal	TP53AP1	TP53 activated protein 1	NM_007233	7q21.1
227999_at	Luminal	PWWP2	PWWP domain containing 2	NM_138499	10q26.3
204351_at	Luminal	S100P	S100 calcium binding protein P	NM_005980	4p16
218211_s_at	Luminal	MLPH	melanophilin	NM_024101	2q37.3
226204_at	Luminal	FLJ21125	hypothetical protein FLJ21125	NM_024627	22q11.21
224625_x_at	Luminal	SERF2	small EDRK-rich factor 2	NM_005770	15q15.1
223531_x_at	Luminal	SH120	putative G-protein coupled receptor	NM_016334	1p36.13-q31.3
201276_at	Luminal	RAB5B	RAB5B, member RAS oncogene family	NM_002868	12q13
200011_s_at	Luminal	ARF3	ADP-ribosylation factor 3	NM_001659	12q13
227492_at	Luminal	OCLN	occludin	---	5q13.1
205107_s_at	Luminal	EFNA4	ephrin-A4	NM_005227 /// NM_182689 /// NM_182690	1q21-q22
214965_at	Luminal	MGC26885	hypothetical protein MGC26885	NM_152339	16q24.3
210761_s_at	Luminal	GRB7	growth factor receptor-bound protein 7	NM_005310	17q21.2
224097_s_at	Luminal	F11R	F11 receptor	NM_016946 /// NM_144501 /// NM_144502 /// NM_144503 /// NM_144504	1q21.2-q21.3
228098_s_at	Luminal	MYLIP	myosin regulatory light chain interacting protein	NM_013262	6p23-p22.3
213885_at	Luminal	TRIM3	tripartite motif-containing 3	NM_006458 /// NM_033278	11p15.5
225283_at	Luminal	ARRDC4	arrestin domain containing 4	NM_183376	15q26.2
224189_x_at	Luminal	EHF	ets homologous factor	NM_012153	11p12
212442_s_at	Luminal	LASS6	LAG1 longevity assurance homolog 6 (S. cerevisiae)	NM_203463	2q31.1
225463_x_at	Luminal	SH120	putative G-protein coupled receptor	NM_016334	1p36.13-q31.3
219751_at	Luminal	FLJ21148	hypothetical protein FLJ21148	NM_024860	16q13
209791_at	Luminal	PADI2	peptidyl arginine deiminase, type II	---	1p35.2-p35.1
210183_x_at	Luminal	PNN	pinin, desmosome associated protein	---	14q13.3
218640_s_at	Luminal	PLEKHF2	pleckstrin homology domain containing, family F (with FYVE domain) member 2	NM_024613	8q22.1
211975_at	Luminal	ZNF289	zinc finger protein 289, ID1 regulated	NM_032389	11p11.2-p11.12
228340_at	Luminal	TLE3	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)	NM_005078	15q22
227811_at	Luminal	FGD3	FGD1 family, member 3	NM_033086	9q22
212164_at	Luminal	C1orf37	chromosome 1 open reading frame 37	NM_138391	1q32.1
226226_at	Luminal	LOC120224	hypothetical protein BC016153	NM_138788	11q24.3
243681_at	Luminal	SHANK2	SH3 and multiple ankyrin repeat domains 2	NM_012309 /// NM_133266	11q13.2
228302_x_at	Luminal	CaMKIINalpha	calcium/calmodulin-dependent protein kinase II	NM_018584	1p36.13
227698_s_at	Luminal	RAB40C	RAB40C, member RAS oncogene family	---	16p13.3
218394_at	Luminal	FLJ22386	leucine zipper domain protein	NM_024589	16p13.3
209275_s_at	Luminal	CLN3	ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)	NM_000086	16p12.1
1007_s_at	Luminal	DDR1	discoidin domain receptor family, member 1	NM_001954 /// NM_013993 /// NM_013994	6p21.3
209696_at	Luminal	FBP1	fructose-1,6-bisphosphatase 1	NM_000507	9q22.3
218507_at	Luminal	HIG2	hypoxia-inducible protein 2	NM_013332	7q32.2
212165_at	Luminal	C1orf37	chromosome 1 open reading frame 37	NM_138391	1q32.1
219648_at	Luminal	FLJ10116	hypothetical protein FLJ10116	NM_018000	2q35
210749_x_at	Luminal	DDR1	discoidin domain receptor family, member 1	NM_001954 /// NM_013993 /// NM_013994	6p21.3
225079_at	Luminal	EMP2	epithelial membrane protein 2	NM_001424	16p13.2
232977_x_at	Luminal	MYH14	myosin, heavy polypeptide 14	NM_024729	19q13.33
215726_s_at	Luminal	CYB5	cytochrome b-5	NM_001914 /// NM_148923	18q23
209558_s_at	Luminal	HIP1R	huntingtin interacting protein-1-related	NM_003959	12q24
231283_at	Luminal	MGAT4A	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isoenzyme A	NM_001008215	2q12
227654_at	Luminal		CDNA FLJ27142 fis, clone SPL08955	XM_114166	20q13.13
224762_at	Luminal	TDE2L	tumor differentially expressed 2-like	NM_178865	1p35.1
207809_s_at	Luminal	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1	NM_001183	xq28
211552_s_at	Luminal	ALDH4A1	aldehyde dehydrogenase 4 family, member A1	NM_003748 /// NM_170726	1p36
219345_at	Luminal	CGI-143	CGI-143 protein	NM_016074	1p36.13-q31.3
201886_at	Luminal	WDR23	WD repeat domain 23	NM_025230 /// NM_181357	14q11.2
212728_at	Luminal	DLG3	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	NM_021120	xq13.1
218478_s_at	Luminal	ZCCHC8	zinc finger, CCHC domain containing 8	NM_017612	12q24.31
226403_at	Luminal	TMC4	transmembrane channel-like 4	NM_144686	19q13.42
228084_at	Luminal		Transcribed sequence with weak  similarity to protein ref:NP-060312.1 (H.sapiens)  hypothetical protein FLJ20489 [Homo sapiens]	---
209431_s_at	Luminal	ZNF278	zinc finger protein 278	NM_014323 /// NM_032050 /// NM_032051 /// NM_032052	22q12.2
227163_at	Luminal	GSTO2	glutathione S-transferase omega 2	NM_183239	10q25.1
228236_at	Luminal	C20orf54	chromosome 20 open reading frame 54	NM_033409	20p13
224493_x_at	Luminal	MGC11386	hypothetical protein MGC11386	NM_032933	18q11.2
235688_s_at	Luminal	TRAF4	TNF receptor-associated factor 4	NM_004295 /// NM_145751	17q11-q12
202908_at	Luminal	WFS1	Wolfram syndrome 1 (wolframin)	NM_006005	4p16
228051_at	Luminal	LOC202451	hypothetical protein LOC202451	---	6q23.3
238439_at	Luminal	ANKRD22	ankyrin repeat domain 22	NM_144590	10q23.31-q23.32
219377_at	Luminal	C18orf11	chromosome 18 open reading frame 11	NM_022751	18q12.1
225203_at	Luminal	PPP1R16A	protein phosphatase 1, regulatory (inhibitor) subunit 16A	NM_032902	8q24.3
51158_at	Luminal	LOC400451	hypothetical gene supported by AK075564; BC060873	NM_207446	15q26.1
210130_s_at	Luminal	TM7SF2	transmembrane 7 superfamily member 2	NM_003273	11q13
204633_s_at	Luminal	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	NM_004755 /// NM_182398	14q31-q32.1
208779_x_at	Luminal	DDR1	discoidin domain receptor family, member 1	NM_001954 /// NM_013993 /// NM_013994	6p21.3
240633_at	Luminal	FLJ33718	hypothetical protein FLJ33718	NM_173660	4p16.3
206109_at	Luminal	FUT1	fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase)	NM_000148	19q13.3
201216_at	Luminal	C12orf8	chromosome 12 open reading frame 8	NM_006817	12q24.13
1557103_a_at	Luminal	LMTK3	lemur tyrosine kinase 3	XM_055866	19q13.33
203757_s_at	Luminal	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	NM_002483	19q13.2
202871_at	Luminal	TRAF4	TNF receptor-associated factor 4	NM_004295 /// NM_145751	17q11-q12
220289_s_at	Luminal	AIM1L	absent in melanoma 1-like	NM_017977	1p35.3
218689_at	Luminal	FANCF	Fanconi anemia, complementation group F	NM_022725	11p15
1553715_s_at	Luminal	MGC15416	hypothetical protein MGC15416	NM_032371 /// NM_138418	16p13.3
204199_at	Luminal	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1	NM_014636	9q34.13
224792_at	Luminal	TNKS1BP1	tankyrase 1 binding protein 1, 182kDa	NM_033396	11q12.1
212560_at	Luminal	SORL1	sortilin-related receptor, L(DLR class) A repeats-containing	---	11q23.2-q24.2
204941_s_at	Luminal	ALDH3B2	aldehyde dehydrogenase 3 family, member B2	NM_000695	11q13
222621_at	Luminal	DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1	NM_022365	10p12.33-p12.32
231981_at	Luminal	PRLR	prolactin receptor	NM_000949	5p14-p13
238022_at	Luminal		LOC388279 (LOC388279), mRNA	XM_373688	16q12.2
202731_at	Luminal	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	NM_014456 /// NM_145341	10q24
221880_s_at	Luminal	LOC400451	hypothetical gene supported by AK075564; BC060873	NM_207446	15q26.1
209494_s_at	Luminal	ZNF278	zinc finger protein 278	NM_014323 /// NM_032050 /// NM_032051 /// NM_032052	22q12.2
219572_at	Luminal	CADPS2	Ca2+-dependent activator protein for secretion 2	NM_001009571 /// NM_017954	7q31.32
201004_at	Luminal	SSR4	signal sequence receptor, delta (translocon-associated protein delta)	NM_006280	xq28
202592_at	Luminal	BLOC1S1	biogenesis of lysosome-related organelles complex-1, subunit 1	NM_001487	12q13-q14
212858_at	Luminal	FLJ30002	hypothetical protein FLJ30002	NM_152341	16p13.3
218900_at	Luminal	CNNM4	cyclin M4	NM_020184	2p12-p11.2
226988_s_at	Luminal	MYH14	myosin, heavy polypeptide 14	NM_024729	19q13.33
235145_at	Luminal	ZFP67	zinc finger protein 67 homolog (mouse)	NM_015872	1q22
234950_s_at	Luminal	COP1	constitutive photomorphogenic protein	NM_001001740 /// NM_022457	1q24.2-q24.3
238593_at	Luminal	FLJ22531	hypothetical protein FLJ22531	NM_024650	11q13.1
218341_at	Luminal	FLJ11838	hypothetical protein FLJ11838	NM_024664	1p34.1
205881_at	Luminal	ZNF74	zinc finger protein 74 (Cos52)	NM_003426	22q11.21
1556474_a_at	Luminal	FLJ38379	hypothetical protein FLJ38379	---	2q37.3
218502_s_at	Luminal	TRPS1	trichorhinophalangeal syndrome I	NM_014112	8q24.12
204202_at	Luminal	KIAA1023	KIAA1023 protein	NM_152558	7p22.3
220642_x_at	Luminal	SH120	putative G-protein coupled receptor	NM_016334	1p36.13-q31.3
229030_at	Luminal		EST	---
213190_at	Luminal	COG7	component of oligomeric golgi complex 7	NM_153603	16p12.3
227970_at	Luminal	GPR157	G protein-coupled receptor 157	NM_024980	1p36.22
204717_s_at	Luminal	SLC29A2	solute carrier family 29 (nucleoside transporters), member 2	NM_001532	11q13
219429_at	Luminal	FA2H	fatty acid 2-hydroxylase	NM_024306	16q23
218963_s_at	Luminal	KRT23	keratin 23 (histone deacetylase inducible)	NM_015515 /// NM_173213	17q21.2
231856_at	Luminal	KIAA1244	KIAA1244	NM_020340	6q23.3
233449_at	Luminal		CDNA FLJ11377 fis, clone HEMBA1000442	NM_002943 /// NM_134260 /// NM_134261 /// NM_134262
218966_at	Luminal	MYO5C	myosin VC	NM_018728	15q21
244495_x_at	Luminal	MGC11386	hypothetical protein MGC11386	NM_032933	18q11.2
210241_s_at	Luminal	TP53AP1	TP53 activated protein 1	NM_007233	7q21.1
202890_at	Luminal	MAP7	microtubule-associated protein 7	NM_003980	6q23.2
221585_at	Luminal	CACNG4	calcium channel, voltage-dependent, gamma subunit 4	NM_014405	17q24
225257_at	Luminal	MGC20255	hypothetical protein MGC20255	NM_052848	19q13.31
202704_at	Luminal	TOB1	transducer of ERBB2, 1	NM_005749	17q21
209530_at	Luminal	CACNB3	calcium channel, voltage-dependent, beta 3 subunit	NM_000725	12q13
231311_at	Luminal	SPTBN2	spectrin, beta, non-erythrocytic 2	NM_006946	11q13
226129_at	Luminal	FLJ46072	FLJ46072 protein	NM_198488	8q24.3
1554452_a_at	Luminal	HIG2	hypoxia-inducible protein 2	NM_013332	7q32.2
222140_s_at	Luminal	SH120	putative G-protein coupled receptor	NM_016334	1p36.13-q31.3
202718_at	Luminal	IGFBP2	insulin-like growth factor binding protein 2, 36kDa	NM_000597	2q33-q34
221865_at	Luminal	C9orf91	chromosome 9 open reading frame 91	NM_153045	9q33.1
243755_at	Luminal	PRLR	prolactin receptor	NM_000949	5p14-p13
200810_s_at	Luminal	CIRBP	cold inducible RNA binding protein	NM_001280	19p13.3
226803_at	Luminal	Shax3	Snf7 homologue associated with Alix 3	---	8q21.13
221139_s_at	Luminal	CSAD	cysteine sulfinic acid decarboxylase	NM_015989	12q13.11-q14.3
202596_at	Luminal	ENSA	endosulfine alpha	NM_004436 /// NM_207042 /// NM_207043 /// NM_207044 /// NM_207045 /// NM_207046 /// NM_207047 /// NM_207168	1q21.3
212199_at	Luminal	PP784	PP784 protein	NM_152301 /// NM_203462	4p16.1
206346_at	Luminal	PRLR	prolactin receptor	NM_000949	5p14-p13
227446_s_at	Luminal	C14orf167	chromosome 14 open reading frame 167	---	14q11.2-14q21.3
51192_at	Luminal	SSH-3	slingshot 3	NM_017857 /// NM_018276	11q13.1
202852_s_at	Luminal	FLJ11506	hypothetical protein FLJ11506	NM_024666	15q22.31
204508_s_at	Luminal	CA12	carbonic anhydrase XII	NM_001218 /// NM_206925	15q22
207847_s_at	Luminal	MUC1	mucin 1, transmembrane	NM_002456 /// NM_182741	1q21
209114_at	Luminal	TSPAN-1	tetraspan 1	NM_005727	1p34.1
228992_at	Luminal	EG1	endothelial-derived gene 1	NM_025205	4p16
219946_x_at	Luminal	MYH14	myosin, heavy polypeptide 14	NM_024729	19q13.33
223199_at	Luminal	MKNK2	MAP kinase-interacting serine/threonine kinase 2	NM_017572 /// NM_199054	19p13.3
221566_s_at	Luminal	NOL3	nucleolar protein 3 (apoptosis repressor with CARD domain)	NM_003946	16q21-q23
218022_at	Luminal	VRK3	vaccinia related kinase 3	NM_016440	19q13
214203_s_at	Luminal	PRODH	proline dehydrogenase (oxidase) 1	NM_016335	22q11.21
201015_s_at	Luminal	JUP	junction plakoglobin	NM_002230 /// NM_021991	17q21
212830_at	Luminal	EGFL5	EGF-like-domain, multiple 5	XM_376905	9q32-q33.3
202187_s_at	Luminal	PPP2R5A	protein phosphatase 2, regulatory subunit B (B56), alpha isoform	NM_006243	1q32.2-q32.3
221589_s_at	Luminal	ALDH6A1	aldehyde dehydrogenase 6 family, member A1	NM_005589	14q24.3
223000_s_at	Luminal	F11R	F11 receptor	NM_016946 /// NM_144501 /// NM_144502 /// NM_144503 /// NM_144504	1q21.2-q21.3
204880_at	Luminal	MGMT	O-6-methylguanine-DNA methyltransferase	NM_002412	10q26
218035_s_at	Luminal	FLJ20273	RNA-binding protein	NM_019027	4p13-p12
219206_x_at	Luminal	CGI-119	CGI-119 protein	NM_016056	12q14.1-q15
41858_at	Luminal	FRAG1	FGF receptor activating protein 1	NM_014489	11p15.5
204287_at	Luminal	SYNGR1	synaptogyrin 1	NM_004711 /// NM_145731 /// NM_145738	22q13.1
213385_at	Luminal	CHN2	chimerin (chimaerin) 2	NM_004067	7p15.3
212367_at	Luminal	FEM1B	fem-1 homolog b (C. elegans)	NM_015322	15q22
212841_s_at	Luminal	PPFIBP2	PTPRF interacting protein, binding protein 2 (liprin beta 2)	NM_003621	11p15.4
220306_at	Luminal	FLJ20202	FLJ20202 protein	NM_017709	1p12
230964_at	Luminal	DKFZp686J0811	hypothetical protein DKFZp686J0811	NM_207361	13q13.3
235727_at	Luminal	BTBD5	BTB (POZ) domain containing 5	NM_017658	14q21.2
225658_at	Luminal	LOC339745	hypothetical protein LOC339745	NM_001001664	2q22.1
226584_s_at	Luminal	C20orf55	chromosome 20 open reading frame 55	NM_031424 /// NM_207121	20p13
1561073_at	Luminal		Full length insert cDNA clone YN88G03	NM_014112
223233_s_at	Luminal	CGN	cingulin	NM_020770	1q21
215867_x_at	Luminal	AP1G1	adaptor-related protein complex 1, gamma 1 subunit	NM_001218 /// NM_206925	16q23
201130_s_at	Luminal	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	NM_004360	16q22.1
202847_at	Luminal	PCK2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	NM_004563	14q11.2
210829_s_at	Luminal	SSBP2	single-stranded DNA binding protein 2	NM_012446	5q14.1
212686_at	Luminal	PPM1H	protein phosphatase 1H (PP2C domain containing)	XM_350880	12q14.1
219223_at	Luminal	C9orf7	chromosome 9 open reading frame 7	NM_017586	9q34
225991_at	Luminal	MGC15397	similar to RIKEN cDNA 5730578N08 gene	NM_080652	3q28
203918_at	Luminal	PCDH1	protocadherin 1 (cadherin-like 1)	NM_002587 /// NM_032420	5q32-q33
225951_s_at	Luminal	CHD2	chromodomain helicase DNA binding protein 2	XM_498623	15q26
1552930_at	Luminal	MMEL2	membrane metallo-endopeptidase-like 2	NM_033467	1p36
210046_s_at	Luminal	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	NM_002168	15q26.1
214164_x_at	Luminal	CA12	carbonic anhydrase XII	NM_001218 /// NM_206925	15q22
210096_at	Luminal	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	NM_000779	1p34-p12
215293_s_at	Luminal	FRAG1	FGF receptor activating protein 1	NM_014489	11p15.5
208837_at	Luminal	P24B	integral type I protein	NM_007364	15q24-q25
219919_s_at	Luminal	SSH-3	slingshot 3	NM_017857 /// NM_018276	11q13.1
225327_at	Luminal	FLJ10980	hypothetical protein FLJ10980	NM_019600	15q21.1
225175_s_at	Luminal	CTL2	CTL2 gene	NM_020428	19p13.1
200961_at	Luminal	SEPHS2	selenophosphate synthetase 2	NM_012248	16p12.1
205081_at	Luminal	CRIP1	cysteine-rich protein 1 (intestinal)	NM_001311	7q11.23
214402_s_at	Luminal	KIAA0542	KIAA0542 gene product	NM_001007467 /// NM_014775	22q12.2
214745_at	Luminal	KIAA1069	KIAA1069 protein	NM_014996	3q25.2-q25.31
214290_s_at	Luminal	HIST2H2AA	histone 2, H2aa	NM_003516	1q21.3
209262_s_at	Luminal	NR2F6	nuclear receptor subfamily 2, group F, member 6	NM_005234	19p13.1
218205_s_at	Luminal	MKNK2	MAP kinase-interacting serine/threonine kinase 2	NM_017572 /// NM_199054	19p13.3
202917_s_at	Luminal	S100A8	S100 calcium binding protein A8 (calgranulin A)	NM_002964	1q21
214746_s_at	Luminal	EZI	likely ortholog of mouse zinc finger protein EZI	NM_207336	7q36.1
213185_at	Luminal	KIAA0556	KIAA0556 protein	NM_015202	16p12.2-p12.1
204600_at	Luminal	EPHB3	EphB3	NM_004443	3q21-qter
1553962_s_at	Luminal	RHOB	ras homolog gene family, member B	NM_004040	2p24
219450_at	Luminal	FLJ11017	hypothetical protein FLJ11017	NM_018302	4p14
227994_x_at	Luminal	C20orf149	chromosome 20 open reading frame 149	NM_024299	20q13.33
