Probe Set ID	Cluster Figure 1	Gene Symbol	Gene Name	RefSeq Transcript ID	Chrom . Loc.
211666_x_at	Ribosomal	RPL3	ribosomal protein L3 /// ribosomal protein L3	NM_000967	22q13
215963_x_at	Ribosomal
212039_x_at	Ribosomal	RPL3	ribosomal protein L3	NM_000967	22q13
211073_x_at	Ribosomal	RPL3	ribosomal protein L3 /// ribosomal protein L3	NM_000967	22q13
201217_x_at	Ribosomal	RPL3	ribosomal protein L3	NM_000967	22q13
200651_at	Ribosomal	GNB2L1	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	NM_006098	5q35.3
214167_s_at	Ribosomal	RPLP0	ribosomal protein, large, P0	NM_001002 /// NM_053275	12q24.2
211972_x_at	Ribosomal	RPLP0	ribosomal protein, large, P0	NM_001002 /// NM_053275	12q24.2
208856_x_at	Ribosomal	RPLP0	ribosomal protein, large, P0	NM_001002 /// NM_053275	12q24.2
211720_x_at	Ribosomal	RPLP0	ribosomal protein, large, P0 /// ribosomal protein, large, P0	NM_001002 /// NM_053275	12q24.2
201033_x_at	Ribosomal	RPLP0	ribosomal protein, large, P0	NM_001002 /// NM_053275	12q24.2
208887_at	Ribosomal	EIF3S4	eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa	NM_003755	19p13.2
216380_x_at	Ribosomal
208904_s_at	Ribosomal	RPS28	ribosomal protein S28	NM_001031	19p13.2
202698_x_at	Ribosomal	COX4I1	cytochrome c oxidase subunit IV isoform 1	NM_001861	16q22-qter
200086_s_at	Ribosomal	COX4I1	cytochrome c oxidase subunit IV isoform 1 /// cytochrome c oxidase subunit IV isoform 1	NM_001861	16q22-qter
214351_x_at	Ribosomal	RPL13	ribosomal protein L13	NM_000977 /// NM_033251	16q24.3|17p11.2
212191_x_at	Ribosomal	RPL13	ribosomal protein L13	NM_000977 /// NM_033251	16q24.3|17p11.2
212734_x_at	Ribosomal	RPL13	ribosomal protein L13	NM_000977 /// NM_033251	16q24.3|17p11.2
208929_x_at	Ribosomal	RPL13	ribosomal protein L13	NM_000977 /// NM_033251	16q24.3|17p11.2
212933_x_at	Ribosomal	RPL13	ribosomal protein L13	NM_000977 /// NM_033251	16q24.3|17p11.2
217379_at	Ribosomal
200725_x_at	Ribosomal	RPL10	ribosomal protein L10	NM_006013	Xq28
224719_s_at	Ribosomal	GRCC10	likely ortholog of mouse gene rich cluster, C10 gene	NM_138425	12p13.31
223026_s_at	Ribosomal	VPS29	vacuolar protein sorting 29 (yeast)	NM_016226 /// NM_057180	12q24
209492_x_at	Ribosomal	ATP5I	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e	NM_007100	4p16.3
207335_x_at	Ribosomal	ATP5I	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e	NM_007100	4p16.3
221791_s_at	Ribosomal	HSPC016	hypothetical protein HSPC016	NM_015933	3p21.31
221434_s_at	Ribosomal	C14orf156	chromosome 14 open reading frame 156 /// chromosome 14 open reading frame 156	NM_031210	14q24.3
200043_at	Ribosomal	ERH	enhancer of rudimentary homolog (Drosophila) /// enhancer of rudimentary homolog (Drosophila)	NM_004450	14q24.1|7q34
203034_s_at	Ribosomal	RPL27A /// LOC389435	ribosomal protein L27a /// similar to 60S ribosomal protein L27a	NM_000990 /// XM_371853	11p15 /// 6q25.2
200018_at	Ribosomal	RPS13	ribosomal protein S13 /// ribosomal protein S13	NM_001017	11p15
226243_at	Ribosomal	LOC391356	similar to CG14903-PA	NM_001013663	2p23.3
218117_at	Ribosomal	RBX1	ring-box 1	NM_014248	22q13.2
202001_s_at	Ribosomal	NDUFA6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa	NM_002490	22q13.2-q13.31
223070_at	Ribosomal	SELK	selenoprotein K	NM_021237	3p21.31
223244_s_at	Ribosomal	DAP13	13kDa differentiation-associated protein	NM_018838	12q22
208742_s_at	Ribosomal	SAP18	sin3-associated polypeptide, 18kDa	NM_005870	13q12.11
204386_s_at	Ribosomal	MRP63	mitochondrial ribosomal protein 63	NM_024026
213377_x_at	Ribosomal	RPS12	ribosomal protein S12	NM_001016	6q23.2
215096_s_at	Ribosomal	ESD	esterase D/formylglutathione hydrolase	NM_001984	13q14.1-q14.2
209009_at	Ribosomal	ESD	esterase D/formylglutathione hydrolase	NM_001984	13q14.1-q14.2
211023_at	Ribosomal	PDHB	pyruvate dehydrogenase (lipoamide) beta	NM_000925	3p21.1-p14.2
203538_at	Ribosomal	CAMLG	calcium modulating ligand	NM_001745	5q23
203012_x_at	Ribosomal	RPL23A	ribosomal protein L23a	NM_000984	17q11
208834_x_at	Ribosomal	RPL23A	ribosomal protein L23a	NM_000984	17q11
213084_x_at	Ribosomal	RPL23A	ribosomal protein L23a	NM_000984	17q11
208825_x_at	Ribosomal	RPL23A	ribosomal protein L23a	NM_000984	17q11
210312_s_at	Ribosomal	IFT20	intraflagellar transport protein IFT20	NM_174887	17q11.2
200888_s_at	Ribosomal	RPL23	ribosomal protein L23	NM_000978	17q
206559_x_at	Ribosomal	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	NM_001402	6q14.1
204892_x_at	Ribosomal	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	NM_001402	6q14.1
213614_x_at	Ribosomal	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	NM_001402	6q14.1
213583_x_at	Ribosomal	LOC389223 /// LOC440595	similar to eukaryotic translation elongation factor 1 alpha 1-like 14 /// similar to eukaryotic translation elongation factor 1 alpha 1; eukaryotic translation elongation factor 1 alpha 1-like 14; CTCL tumor antigen; translation elongation factor 1 alpha 1-like 14; prostate tumor-inducing protein 1; EF1a-like protein; gl...	XM_496374 /// XM_496717	4q28.3 /// 1p21.3
213477_x_at	Ribosomal	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	NM_001402	6q14.1
201757_at	Ribosomal	NDUFS5	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)	NM_004552	1p34.2-p33
225541_at	Ribosomal	LOC200916	similar to ribosomal protein L22	XM_114317	3q26.2
222988_s_at	Ribosomal	TMEM9	transmembrane protein 9	NM_016456
222987_s_at	Ribosomal	TMEM9	transmembrane protein 9	NM_016456
223993_s_at	Ribosomal	HSPC163	HSPC163 protein	NM_014184	1q42.12
218407_x_at	Ribosomal	SCIRP10	SCIRP10-related protein	NM_013349	1q32.3
201403_s_at	Ribosomal	MGST3	microsomal glutathione S-transferase 3	NM_004528	1q23
219298_at	Ribosomal	ECHDC3	enoyl Coenzyme A hydratase domain containing 3	NM_024693	10p14
213366_x_at	Ribosomal	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	NM_001001973 /// NM_005174	10p15.1
208870_x_at	Ribosomal	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	NM_001001973 /// NM_005174	10p15.1
205711_x_at	Ribosomal	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	NM_001001973 /// NM_005174	10p15.1
208881_x_at	Ribosomal	IDI1	isopentenyl-diphosphate delta isomerase	NM_004508	10p15.3
204615_x_at	Ribosomal	IDI1	isopentenyl-diphosphate delta isomerase	NM_004508	10p15.3
203335_at	Ribosomal	PHYH	phytanoyl-CoA hydroxylase (Refsum disease)	NM_006214	10pter-p11.2
225908_at	Ribosomal	LOC285148	hypothetical protein LOC285148		2p25.2
201470_at	Ribosomal	GSTO1	glutathione S-transferase omega 1	NM_004832	10q25.1
1557915_s_at	Ribosomal	GSTO1	glutathione S-transferase omega 1	NM_004832	10q25.1
203136_at	Ribosomal	RABAC1	Rab acceptor 1 (prenylated)	NM_006423	19q13.2
224637_at	Ribosomal	LOC400948	similar to RIKEN cDNA 2310016E02	XM_376043	2p23.3
219329_s_at	Ribosomal	C2orf28	chromosome 2 open reading frame 28	NM_016085 /// NM_080592	2p23.3
217977_at	Ribosomal	SEPX1	selenoprotein X, 1	NM_016332	16p13.3
202546_at	Ribosomal
224981_at	Ribosomal	LOC124446	hypothetical protein BC017488	XM_378175	16p11.2
218773_s_at	Ribosomal	MSRB2	methionine sulfoxide reductase B2	NM_012228	10p12
201194_at	Ribosomal	SEPW1	selenoprotein W, 1	NM_003009	19q13.3
1555851_s_at	Ribosomal	SEPW1	selenoprotein W, 1	NM_003009	19q13.3
217949_s_at	Ribosomal	VKORC1	vitamin K epoxide reductase complex, subunit 1	NM_024006 /// NM_206824	16p11.2
217720_at	Ribosomal	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	NM_016139	7p11.2
200703_at	Ribosomal	DNCL1	dynein, cytoplasmic, light polypeptide 1	NM_003746	12q24.23
212600_s_at	Ribosomal	UQCRC2	ubiquinol-cytochrome c reductase core protein II	NM_003366	16p12
200883_at	Ribosomal	UQCRC2	ubiquinol-cytochrome c reductase core protein II	NM_003366	16p12
217868_s_at	Ribosomal	DREV1	DORA reverse strand protein 1	NM_016025	16p13-p12
223306_at	Ribosomal	EBPL	emopamil binding protein-like	NM_032565	13q12-q13
227158_at	Ribosomal	C14orf126	Chromosome 14 open reading frame 126	NM_080664	14q12
214512_s_at	Ribosomal	PC4	activated RNA polymerase II transcription cofactor 4	NM_006713	5p13.3
224586_x_at	Ribosomal	PC4	activated RNA polymerase II transcription cofactor 4	NM_006713	5p13.3
212857_x_at	Ribosomal	PC4	activated RNA polymerase II transcription cofactor 4	NM_006713	5p13.3
224587_at	Ribosomal	PC4	activated RNA polymerase II transcription cofactor 4	NM_006713	5p13.3
221727_at	Ribosomal	PC4 /// LOC441338	activated RNA polymerase II transcription cofactor 4 /// similar to Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4) (PC4) (p14)	NM_006713 /// XM_496965	5p13.3 /// 8p23.1
203983_at	Ribosomal	TSNAX	translin-associated factor X	NM_005999	1q42.1
201472_at	Ribosomal	VBP1	von Hippel-Lindau binding protein 1	NM_003372	Xq28
226165_at	Ribosomal	LOC401466	hypothetical gene supported by BC055092	XM_376783	8q21.2
205335_s_at	Ribosomal	SRP19	signal recognition particle 19kDa	NM_003135	5q21-q22
225049_at	Ribosomal	BLOC1S2	biogenesis of lysosome-related organelles complex-1, subunit 2	NM_001001342 /// NM_173809	10q24.31
217801_at	Ribosomal	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	NM_001001977 /// NM_006886	20q13.32
202673_at	Ribosomal	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	NM_003859	20q13.13
210396_s_at	Ribosomal	LAT1-3TM	LAT1-3TM protein	NM_031211	16p12
201921_at	Ribosomal	GNG10	guanine nucleotide binding protein (G protein), gamma 10	NM_004125	9q31.3
203396_at	Ribosomal	PSMA4	proteasome (prosome, macropain) subunit, alpha type, 4	NM_002789	15q25.1
201532_at	Ribosomal	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3	NM_002788 /// NM_152132	14q23
228019_s_at	Ribosomal	MRPS18C	mitochondrial ribosomal protein S18C	NM_016067	4q21.23
201931_at	Ribosomal	ETFA	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	NM_000126	15q23-q25
217106_x_at	Ribosomal	HSA9761	dimethyladenosine transferase	NM_014473	5q11-q14
204405_x_at	Ribosomal	HSA9761	dimethyladenosine transferase	NM_014473	5q11-q14
220755_s_at	Ribosomal	C6orf48	chromosome 6 open reading frame 48	NM_016947	6p21.3
217988_at	Ribosomal	CCNB1IP1	cyclin B1 interacting protein 1	NM_021178 /// NM_182849 /// NM_182851 /// NM_182852	14q11.2
213762_x_at	Ribosomal	RBMX	RNA binding motif protein, X-linked	NM_002139	Xq26.3
212018_s_at	Ribosomal	RSL1D1	ribosomal L1 domain containing 1	NM_015659	16p13.13
221700_s_at	Ribosomal	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 /// ubiquitin A-52 residue ribosomal protein fusion product 1	NM_003333	19p13.1-p12
200869_at	Ribosomal	RPL18A	ribosomal protein L18a	NM_000980	19p13
208692_at	Ribosomal	RPS3	ribosomal protein S3	NM_001005	11q13.3-q13.5
200030_s_at	Ribosomal	SLC25A3	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3 /// solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3	NM_002635 /// NM_005888 /// NM_213611 /// NM_213612	12q23
217466_x_at	Ribosomal	RPS2	ribosomal protein S2	NM_002952	16p13.3
221798_x_at	Ribosomal	RPS2 /// LOC91561 /// LOC148430 /// LOC286444 /// LOC400963 /// LOC440589	ribosomal protein S2 /// similar to ribosomal protein S2; 40S ribosomal protein S2 /// similar to ribosomal protein S2; 40S ribosomal protein S2 /// similar to ribosomal protein S2; 40S ribosomal protein S2 /// hypothetical gene supported by AB082925; BC019021; NM_002952 /// similar to ribosomal protein S2; 40S ribosomal protein S2	NM_002952 /// XM_039218 /// XM_042500 /// XM_208423 /// XM_496363 /// XM_496555	16p13.3 /// 11p15.1 /// 1q23.3 /// Xp11.4 /// 2p11.2 /// 1p32.3
212433_x_at	Ribosomal	RPS2	ribosomal protein S2	NM_002952	16p13.3
203107_x_at	Ribosomal	RPS2	ribosomal protein S2	NM_002952	16p13.3
211345_x_at	Ribosomal	EEF1G	eukaryotic translation elongation factor 1 gamma	NM_001404	11q12.3
211927_x_at	Ribosomal	EEF1G	eukaryotic translation elongation factor 1 gamma	NM_001404	11q12.3
200689_x_at	Ribosomal	EEF1G	eukaryotic translation elongation factor 1 gamma	NM_001404	11q12.3
228049_x_at	Ribosomal		Transcribed locus, weakly similar to XP_347139.1 LOC363435 [Rattus norvegicus]
205249_at	Early Response	EGR2	early growth response 2 (Krox-20 homolog, Drosophila)	NM_000399	10q21.1
206115_at	Early Response	EGR3	early growth response 3	NM_004430	8p23-p21
201473_at	Early Response	JUNB	jun B proto-oncogene	NM_002229	19p13.2
202340_x_at	Early Response	NR4A1	nuclear receptor subfamily 4, group A, member 1	NM_002135 /// NM_173157 /// NM_173158	12q13
244677_at	Early Response
201531_at	Early Response	ZFP36	zinc finger protein 36, C3H type, homolog (mouse)	NM_003407	19q13.1
202768_at	Early Response	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	NM_006732	19q13.32
209189_at	Early Response	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	NM_005252	14q24.3
201041_s_at	Early Response	DUSP1	dual specificity phosphatase 1	NM_004417	5q34
201694_s_at	Early Response	EGR1	early growth response 1	NM_001964	5q31.1
227404_s_at	Early Response	EGR1	Early growth response 1	NM_001964	5q31.1
201693_s_at	Early Response	EGR1	early growth response 1	NM_001964	5q31.1
202081_at	Early Response	IER2	immediate early response 2	NM_004907	19p13.13
201466_s_at	Early Response	JUN	v-jun sarcoma virus 17 oncogene homolog (avian)	NM_002228	1p32-p31
201464_x_at	Early Response	JUN	v-jun sarcoma virus 17 oncogene homolog (avian)	NM_002228	1p32-p31
202672_s_at	Early Response	ATF3	activating transcription factor 3	NM_001674 /// NM_004024	1q32.3
210764_s_at	Early Response	CYR61	cysteine-rich, angiogenic inducer, 61	NM_001554	1p31-p22
201289_at	Early Response	CYR61	cysteine-rich, angiogenic inducer, 61	NM_001554	1p31-p22
239983_at	17q
224956_at	17q	182-FIP	82-kD FMRP Interacting Protein	NM_020772	17q11.2
211989_at	17q	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	NM_003079	17q21.2
211988_at	17q	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	NM_003079	17q21.2
228980_at	17q	RFFL	rififylin	NM_001017368 /// NM_057178	17q12
226080_at	17q	SSH2	slingshot homolog 2 (Drosophila)	NM_033389	17q11.2
224778_s_at	17q		CDNA clone IMAGE:5263531, partial cds
224769_at	17q		CDNA clone IMAGE:5263531, partial cds
219301_s_at	17q	CNTNAP2	contactin associated protein-like 2	NM_014141	7q35-q36
219300_s_at	17q	CNTNAP2	contactin associated protein-like 2	NM_014141	7q35-q36
215145_s_at	17q	CNTNAP2	contactin associated protein-like 2	NM_014141	7q35-q36
218657_at	17q	RAPGEFL1	Rap guanine nucleotide exchange factor (GEF)-like 1	NM_016339	17q21.1-q21.2
223259_at	17q	ORMDL3	ORM1-like 3 (S. cerevisiae)	NM_139280	17q12-q21.1
224765_at	17q	LOC339287	hypothetical protein LOC339287	XM_496217	17q21.1
207842_s_at	17q	CASC3	cancer susceptibility candidate 3	NM_007359	17q11-q21.3
213043_s_at	17q	THRAP4	thyroid hormone receptor associated protein 4	NM_014815	17q21.1
201388_at	17q	PSMD3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	NM_002809	17q21.1
212051_at	17q	WIRE	WIRE protein	NM_133264	17q21.2
212050_at	17q	WIRE	WIRE protein	NM_133264	17q21.2
212049_at	17q		CDNA clone IMAGE:5243069, partial cds
212708_at	17q	LOC339287	hypothetical protein LOC339287	XM_496217	17q21.1
211899_s_at	17q	TRAF4	TNF receptor-associated factor 4	NM_004295 /// NM_145751	17q11-q12
202871_at	17q	TRAF4	TNF receptor-associated factor 4	NM_004295 /// NM_145751	17q11-q12
218464_s_at	17q	FLJ10700	hypothetical protein FLJ10700	NM_018182	17q11.2
211299_s_at	17q	FLOT2	flotillin 2	NM_004475	17q11-q12
201350_at	17q	FLOT2	flotillin 2	NM_004475	17q11-q12
212279_at	17q	MAC30	hypothetical protein MAC30	NM_014573	17q11.2
212282_at	17q	MAC30	hypothetical protein MAC30	NM_014573	17q11.2
212281_s_at	17q	MAC30	hypothetical protein MAC30	NM_014573	17q11.2
226121_at	17q	MGC23280	hypothetical protein MGC23280	NM_144683	17q11.2
222589_at	17q	NLK	nemo like kinase	NM_016231	17q11.2
235688_s_at	17q	TRAF4	TNF receptor-associated factor 4	NM_004295 /// NM_145751	17q11-q12
201729_s_at	17q	KIAA0100	KIAA0100 gene product	NM_014680	17q11.2
225375_at	17q	C17orf32	chromosome 17 open reading frame 32	NM_152464	17q11.2
225374_at	17q	C17orf32	chromosome 17 open reading frame 32	NM_152464	17q11.2
222425_s_at	17q	POLDIP2	polymerase (DNA-directed), delta interacting protein 2	NM_015584	17q11.2
217806_s_at	17q	POLDIP2	polymerase (DNA-directed), delta interacting protein 2	NM_015584	17q11.2
212087_s_at	17q	ERAL1	Era G-protein-like 1 (E. coli)	NM_005702	17q11.2
223148_at	17q	PIGS	phosphatidylinositol glycan, class S	NM_033198	17p13.2
229182_at	17q	C17orf32	Chromosome 17 open reading frame 32	NM_152464	17q11.2
201207_at	17q	TNFAIP1	tumor necrosis factor, alpha-induced protein 1 (endothelial)	NM_021137	17q22-q23
227804_at	17q	LOC116238	hypothetical protein BC014072	NM_138463	17q11.2
225857_s_at	20q13	RNU71A	Hypothetical LOC388796	XM_373914	20q11.23
213140_s_at	20q13	SS18L1	synovial sarcoma translocation gene on chromosome 18-like 1	NM_015558 /// NM_198935	20q13.3
225376_at	20q13	C20orf11	chromosome 20 open reading frame 11	NM_017896	20q13.33
55872_at	20q13	GM632	KIAA1196 protein	NM_020713	20q13.33
218533_s_at	20q13	UCKL1	uridine-cytidine kinase 1-like 1	NM_017859	20q13.33
208880_s_at	20q13	C20orf14	chromosome 20 open reading frame 14	NM_012469	20q13.33
209222_s_at	20q13	OSBPL2	oxysterol binding protein-like 2	NM_014835 /// NM_144498	20q13.3
221741_s_at	20q13	YTHDF1	YTH domain family, member 1	NM_017798	20q13.33
218448_at	20q13	C20orf11	chromosome 20 open reading frame 11	NM_017896	20q13.33
1555500_s_at	20q13	SLC2A4RG	SLC2A4 regulator	NM_020062	20q13.33
213090_s_at	20q13	TAF4	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa	NM_003185	20q13.33
36499_at	20q13	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	NM_001408	1p21
204029_at	20q13	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	NM_001408	1p21
210150_s_at	20q13	LAMA5	laminin, alpha 5	NM_005560	20q13.2-q13.3
208979_at	20q13	NCOA6	nuclear receptor coactivator 6	NM_014071	20q11
217918_at	20q13	DNCL2A	dynein, cytoplasmic, light polypeptide 2A	NM_014183 /// NM_177953 /// NM_177954	20q11.21
217917_s_at	20q13	DNCL2A	dynein, cytoplasmic, light polypeptide 2A	NM_014183 /// NM_177953 /// NM_177954	20q11.21
225498_at	20q13	CHMP4B	chromatin modifying protein 4B	NM_176812	20q11.22
217770_at	20q13	PIGT	phosphatidylinositol glycan, class T	NM_015937	20q12-q13.12
216032_s_at	20q13	SDBCAG84	serologically defined breast cancer antigen 84	NM_015966 /// NM_198398	20pter-q12
210213_s_at	20q13	ITGB4BP	integrin beta 4 binding protein	NM_002212 /// NM_181466 /// NM_181467 /// NM_181468 /// NM_181469	20q12
211630_s_at	20q13	GSS	glutathione synthetase /// glutathione synthetase	NM_000178	20q11.2
201415_at	20q13	GSS	glutathione synthetase	NM_000178	20q11.2
231059_x_at	20q13	SCAND1	SCAN domain containing 1	NM_016558 /// NM_033630	20q11.1-q11.23
232652_x_at	20q13	SCAND1	SCAN domain containing 1	NM_016558 /// NM_033630	20q11.1-q11.23
218206_x_at	20q13	SCAND1	SCAN domain containing 1	NM_016558 /// NM_033630	20q11.1-q11.23
224972_at	20q13	C20orf52	chromosome 20 open reading frame 52	NM_080748	20q11.22
206918_s_at	20q13	CPNE1	copine I	NM_003915 /// NM_152925 /// NM_152926 /// NM_152927 /// NM_152928 /// NM_152929 /// NM_152930 /// NM_152931	20q11.22
201032_at	20q13	BLCAP	bladder cancer associated protein	NM_006698	20q11.2-q12
78047_s_at	20q13	LOC400843	hypothetical LOC400843	XM_378976	20q11.22
225860_at	20q13	LOC400843	hypothetical LOC400843	XM_378976	20q11.22
221780_s_at	20q13	DDX27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	NM_017895	20q13.13
219108_x_at	20q13	DDX27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	NM_017895	20q13.13
215693_x_at	20q13	DDX27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	NM_017895	20q13.13
223186_at	20q13	Kua	ubiquitin-conjugating enzyme variant Kua	NM_199129	20q13.2
201002_s_at	20q13	UBE2V1 /// Kua-UEV	ubiquitin-conjugating enzyme E2 variant 1 /// ubiquitin-conjugating enzyme E2 variant 1	NM_003349 /// NM_021988 /// NM_022442 /// NM_199144 /// NM_199203	20q13.2
208948_s_at	20q13	STAU	staufen, RNA binding protein (Drosophila)	NM_004602 /// NM_017452 /// NM_017453 /// NM_017454	20q13.1
213037_x_at	20q13	STAU	staufen, RNA binding protein (Drosophila)	NM_004602 /// NM_017452 /// NM_017453 /// NM_017454	20q13.1
207320_x_at	20q13	STAU	staufen, RNA binding protein (Drosophila)	NM_004602 /// NM_017452 /// NM_017453 /// NM_017454	20q13.1
211505_s_at	20q13	STAU	staufen, RNA binding protein (Drosophila)	NM_004602 /// NM_017452 /// NM_017453 /// NM_017454	20q13.1
201111_at	20q13	CSE1L	CSE1 chromosome segregation 1-like (yeast)	NM_001316 /// NM_177436	20q13
210766_s_at	20q13	CSE1L	CSE1 chromosome segregation 1-like (yeast)	NM_001316 /// NM_177436	20q13
201112_s_at	20q13	CSE1L	CSE1 chromosome segregation 1-like (yeast)	NM_001316 /// NM_177436	20q13
226426_at	20q13	ADNP	Activity-dependent neuroprotector	NM_015339 /// NM_181442	20q13.13
218968_s_at	20q13	ZFP64	zinc finger protein 64 homolog (mouse)	NM_018197 /// NM_022088 /// NM_199426 /// NM_199427	20q13.2
216129_at	20q13	ATP9A	ATPase, Class II, type 9A	XM_030577	20q13.11-q13.2
212062_at	20q13	ATP9A	ATPase, Class II, type 9A	XM_030577	20q13.11-q13.2
205286_at	20q13	TFAP2C	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	NM_003222	20q13.2
217673_x_at	20q13	GNAS	GNAS complex locus	NM_000516 /// NM_016592 /// NM_080425 /// NM_080426	20q13.2-q13.3
211858_x_at	20q13	GNAS	GNAS complex locus	NM_000516 /// NM_016592 /// NM_080425 /// NM_080426	20q13.2-q13.3
214548_x_at	20q13	GNAS	GNAS complex locus	NM_000516 /// NM_016592 /// NM_080425 /// NM_080426	20q13.2-q13.3
200981_x_at	20q13	GNAS	GNAS complex locus	NM_000516 /// NM_016592 /// NM_080425 /// NM_080426	20q13.2-q13.3
212273_x_at	20q13	GNAS	GNAS complex locus	NM_000516 /// NM_016592 /// NM_080425 /// NM_080426	20q13.2-q13.3
200780_x_at	20q13	GNAS	GNAS complex locus	NM_000516 /// NM_016592 /// NM_080425 /// NM_080426	20q13.2-q13.3
220607_x_at	20q13	TH1L	TH1-like (Drosophila)	NM_016397 /// NM_198976	20q13
225261_x_at	20q13	TH1L	TH1-like (Drosophila)	NM_016397 /// NM_198976	20q13
225865_x_at	20q13	TH1L	TH1-like (Drosophila)	NM_016397 /// NM_198976	20q13
225006_x_at	20q13	TH1L	TH1-like (Drosophila)	NM_016397 /// NM_198976	20q13
202550_s_at	20q13	VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C	NM_004738	20q13
211318_s_at	20q13	RAE1	RAE1 RNA export 1 homolog (S. pombe)	NM_001015885 /// NM_003610	20q13.32
201558_at	20q13	RAE1	RAE1 RNA export 1 homolog (S. pombe)	NM_001015885 /// NM_003610	20q13.32
218360_at	20q13	RAB22A	RAB22A, member RAS oncogene family	NM_020673	20q13.32
203988_s_at	Luminal / ER	FUT8	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	NM_004480 /// NM_178154 /// NM_178155 /// NM_178156 /// NM_178157	14q24.3
224925_at	Luminal / ER	PREX1	phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1	NM_020820	20q13.13
224909_s_at	Luminal / ER	PREX1	phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1	NM_020820	20q13.13
208056_s_at	Luminal / ER	CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	NM_005187 /// NM_175931	16q24
227811_at	Luminal / ER	FGD3	FGD1 family, member 3	NM_033086
217838_s_at	Luminal / ER	EVL	Enah/Vasp-like	NM_016337	14q32.2
244375_at	Luminal / ER	EVL	Enah/Vasp-like	NM_016337	14q32.2
227232_at	Luminal / ER	EVL	Enah/Vasp-like	NM_016337	14q32.2
225343_at	Luminal / ER	TMED8	transmembrane emp24 domain containing 8	NM_213601	14q24.3
227833_s_at	Luminal / ER	MBD6	methyl-CpG binding domain protein 6	NM_052897
208072_s_at	Luminal / ER	DGKD	diacylglycerol kinase, delta 130kDa	NM_003648 /// NM_152879	2q37.1
46256_at	Luminal / ER	SSB3	SPRY domain-containing SOCS box protein SSB-3	NM_080861	16p13.3
223179_at	Luminal / ER	YPEL3	yippee-like 3 (Drosophila)	NM_031477	16p11.2
233276_at	Luminal / ER	FBXL7	F-box and leucine-rich repeat protein 7	NM_012304	5p15.1
213249_at	Luminal / ER	FBXL7	F-box and leucine-rich repeat protein 7	NM_012304	5p15.1
241457_at	Luminal / ER	FBXL7	F-box and leucine-rich repeat protein 7	NM_012304	5p15.1
1560813_at	Luminal / ER	FBXL7	F-box and leucine-rich repeat protein 7	NM_012304	5p15.1
208866_at	Luminal / ER	CSNK1A1	casein kinase 1, alpha 1	NM_001892	5q32
204020_at	Luminal / ER	PURA	purine-rich element binding protein A	NM_005859	5q31
224838_at	Luminal / ER	FOXP1	forkhead box P1	NM_001012505 /// NM_032682	3p14.1
224837_at	Luminal / ER	FOXP1	forkhead box P1	NM_001012505 /// NM_032682	3p14.1
