SPOT ID	Well ID	Clone IMAGE	Title	Gene	Map
4710	27047	49328	Neuropeptide Y receptor Y1	NPY1R	4q31.3-q32
4719	27473	503119	hFat=homologue of drosophila FAT gene	FAT	4q34-q35
4726	27499	512337	KIAA0233	KIAA0233	16q24
4730	27519	545038	Interferon-induced  guanylate-binding protein 2	GBP2	1pter-p13.2
4732	27523	545502	ornithine decarboxylase 1=odc1	ODC1	2p25
4733	27525	549383	TGF-beta superfamily protein	PLAB	19p13.1-13.2
4735	27541	564019	Adenylosuccinate synthase	ADSS	1cen-q12
474	28859	342181	BCL-2	BCL2	18q21.3
4742	27759	243816	CD36	CD36	7q11.2
4743	27761	754500	IL-6 receptor alpha chain	IL6R	1q21
4752	27791	773766	Id1=Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	ID1	20q11
4755	27809	789158	c-kit=SCF receptor	KIT	4q11-q12
4781	28197	207715	MHC Class II=DP alpha	HLA-DPA1	6p21.3
4800	28655	503617	Mig=Humig=chemokine targeting T cells	MIG	4q21
4822	28939	155806	69 kDa 25 oligoadenylate synthetase (P69 2-5A synthetase)	OAS2	12q24.2
4826	28959	307325	EDG-1=endothelial differentiation protein=putative G-protein-coupled receptor	EDG1	1p21
4827	28961	32493	CD49F=Integrin alpha 6	ITGA6	2p14-q14.3
4868	200884	768497	PARC=DC-CK1=CC chemokine targeting T cells, not monocytes	SCYA18	17q11.2
4871	200902	823691	cyclin G2	CCNG2	4q21.1-q21.3
4897	201482	703581	proteoglycan 1, secretory granule	PRG1	10q22.1
4906	201512	361974	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	PTN	7q33-q34
4916	202612	141845	cysteine-rich motor neuron 1	CRIM1	2p21
4918	202616	141589	homeobox protein from AL590526	LOC84528	X
492	200603	120881	RAB31, member RAS oncogene family	RAB31	18p11.3
4920	202632	310493	fatty-acid-Coenzyme A ligase, long-chain 3	FACL3	2q34-q35
4922	202636	108658	KIAA1025 protein	KIAA1025	12
4923	202638	295781	hypothetical protein MGC9084	MGC9084	1
4952	205540	1048810	DKFZP564B167 protein	DKFZP564B167	1q24
4986	207984	245277	integral membrane protein 2A	ITM2A	Xq13.3-Xq21.2
4989	207990	191904	BUB3 (budding uninhibited by benzimidazoles 3, yeast) homolog	BUB3	10q26
5051	209014	611586	nebulin	NEB	2q22
5075	201910	131867	NET1=guanine nucleotide regulatory protein	NET1	10p15
5081	202414	278808	spi-1=PU.1=ets family transcription factor	SPI1	11p11.2
5086	202424	135083	glucose regulated protein, 58kD	GRP58	15q15
5095	202466	358531	v-jun avian sarcoma virus 17 oncogene homolog	JUN	1p32-p31
5096	202468	627542	biliverdin reductase A	BLVRA	7p14-cen
5097	202470	203132	TRAIL=Apo-2 ligand	TNFSF10	3q26
5103	202494	208413	hepsin (transmembrane protease, serine 1)	HPN	19q11-q13.2
5104	202496	785293	similar to rat HREV107	HREV107	11
5119	209570	82225	secreted frizzled-related protein 1	SFRP1	8p12-p11.1
5182	27192	291660	Adenine nucleotide translocator 2	SLC25A5	Xq24-q26
5195	27254	309482	p38 gamma MAP Kinase	MAPK12	22q13.33
5224	27456		tryptophanyl-tRNA synthetase=WARS=IFN-inducible gamma2=IFP53, M61715	WARS
5225	27662	683191	adenosine deaminase	ADA	20q12-q13.11
5243	27734	727266	TTP=tristetraproline=GOS24=zinc finger transcriptional regulator	ZFP36	19q13.1
5252	28052	1357243	lamin B1	LMNB1	5q23.3-q31.1
5256	28072	1407750	Insulin-like growth factor-binding protein-3=p53-inducible gene
5277	28438	39884	IMP (inosine monophosphate) dehydrogenase 1	IMPDH1	7q31.3-q32
5278	28440	727192	NFAT4=NFATc3=NFATx	NFATC3	16q13-q24
5287	28482		EmptyWell
5288	28484	289337	Immunoglobulin gamma 3 heavy chain constant region	IGHG3	14q32.33
5293	28506	71606	HKG7=cell surface protein in NK and T cells=G-CSF-induced gene	NKG7	19q13.4
5297	28814	287749	Cdc7-related kinase	CDC7L1	1p22
533	201537	79629	CXC chemokine receptor 4= fusin=neuropeptide Y receptor=L3	CXCR4	2q21
5331	200614	45542	Homo sapiens, clone IMAGE:4183312, mRNA, partial cds		2
5334	200620	768562	zinc finger protein homologous to Zfp103 in mouse	ZFP103	2p11.2
5337	200638	341310	frizzled-related protein	FRZB	2qter
537	201545	823779	EST
5373	201550	783696	ornithine aminotransferase (gyrate atrophy)	OAT	10q26
5386	201600	82734	fatty-acid-Coenzyme A ligase, long-chain 2	FACL2	4q34-q35
5388	201604	767202	latent transforming growth factor beta binding protein 2	LTBP2	14q24
5396	201632	784319	Homo sapiens cDNA FLJ11904 fis, clone HEMBB1000048		18
5403	202726	141854	sprouty (Drosophila) homolog 4	SPRY4	5
5408	202736	245585	BANP homolog, SMAR1 homolog	BANP	16q24
542	201567	814615	NAD-dependent methylenetetrahydrofolate dehydrogenase	MTHFD2	2p24.3-p24.1
5421	207310	810224	DKFZP564I1922 protein	DKFZP564I192	Y
543	201569	815542	MxA=interferon-induced cellular resistance mediator protein	MX1	21q22.3
5437	207366	345849	lysyl oxidase	LOX	5q23.3-q31.2
5447	207602	782427	granulin	GRN	17q21.32
545	201585	840942	major histocompatibility complex, class II, DP beta 1	HLA-DPB1	6p21.3
5470	208272	362926	PKA-C-BETA=cAMP-dependent protein kinase, BETA-catalytic subunit	PRKACB	1p36.1
5485	208326	878835	Norrie disease (pseudoglioma)	NDP	Xp11.4
5487	208342	359661	monoamine oxidase A	MAOA	Xp11.4-p11.3
549	201593	809598	major histocompatibility complex, class II, DQ beta 1	HLA-DQB1	6p21.3
5492	208352	590264	matrix Gla protein	MGP	12p13.1-p12.3
551	201609	897567	Lactate dehydrogenase A	LDHA	11p15.4
5531	209186	854338	chitinase 3-like 2	CHI3L2	1p13.3
5532	209188	223350	ceruloplasmin (ferroxidase)	CP	3q23-q25
5537	209210	345957	cystatin A (stefin A)	CSTA	3q21
5539	209214	530185	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)	CD83	6p23
554	201615	592540	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)	KRT5	12q13
5544	202036	841332	LyGDI=Rho GDP-dissociation inhibitor 2=RHO GDI 2	ARHGDIB	12p12.3
5548	202056	825399	TNF receptor-associated factor 3	TRAF3	14
5554	202080	252185	SL1 transcription factor	TAF1C	16q24
5566	202512	788285	endothelin receptor type A	EDNRA	4
5593	200118	135221	S100 calcium-binding protein P	S100P	4p16
5602	200160	132911	protein phosphatase 1, catalytic subunit, beta isoform	PPP1CB	2p23
5662	26992	135738	TSC-22=TGF-beta-induced in mouse	TSC22	13q14
5664	26996	141395	CD49F=Integrin alpha 6	ITGA6	2p14-q14.3
5674	27040	44180	Alpha-2-macroglobulin	A2M	12p13.3-p12.3
5675	27042	46871	c-kit=SCF receptor
5676	27044	47884	MIF=macrophage migration inhibitory factor	MIF	22q11.23
5683	27070	176940	Mal, T-cell differentiation protein	MAL	2cen-q13
5684	27072	179453	GABA-BR1a (hGB1a) receptor	GABBR1	6p21.3
5686	27472	487396	Homo sapiens mRNA; cDNA DKFZp564F053 (from clone DKFZp564F053)		5
5689	27478	504527	MKP-1=CL100=MAP kinase phosphatase 1	DUSP1	5q34
5690	27480	505569	T cell receptor beta chain	TRB	@7q35
5693	27498	510324	SIAH-2=Seven in absentia homolog 2	SIAH2	3q25
5698	27520	545087	beta-2-microglobulin	B2M	15q21-q22.2
5700	27524	545502	ornithine decarboxylase 1=odc1	ODC1	2p25
5702	27528	548736	HDAC1=histone deacetylase 1=homologue of yeast RPD3 transcription factor	HDAC1	1p34
5709	27758	746146	FGFR1=Fibroblast growth factor receptor 1	FGFR1	8p11.2-p11.1
5710	27760		EmptyWell
5712	27764	756030	MHC Class II=DQ beta	HLA-DQB1	6p21.3
5713	27766	756092	MHC Class II=DQ alpha	HLA-DQA1	6p21.3
5718	27788	771755	TIMP-1=Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	TIMP1	Xp11.3-p11.23
5719	27790	773766	Id1=Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	ID1	20q11
5720	27792	774199	FASTK=Fas-activated serine/threonine kinase	FASTK	7q35
5721	27806	786081	pbx-3 = pre-B cell leukemia transcription factor-3	PBX3	9q33-q34
5725	27814	796284	IRS-1=Insulin receptor substrate-1	IRS1	2q36
5732	27840	840451	immunoglobulin kappa light chain	IGKC	2p12
5733	28142	247483	Neutrophil defensins 1  2 AND 3 precursor (HNP)=microbicidal and cytotoxic peptides	DEFA1	8p23.2-p23.1
5748	28196	202074	Integrin beta 5	ITGB5	3p14.3-p14.1
5762	28632	79022	FosB=G0S3	FOSB	19q13.2
5765	28650	840776	sgk=putative serine/threonine protein kinase transcriptionally modified during anisotonic and isotonic alterations of cell volume	SGK	6q23
5785	28918	27544	AC133 antigen=five-transmembrane hematopoietic stem cell antigen	PROML1	4p16.2
5795	28962	340702	Akt2 kinase=RAC-PK-beta=RAC-beta Ser/Thr protein kinase	PEG10	7q21
5796	28964	365681	GATA-3=T-cell specific transcription factor	GATA3	10p15
5802	28988	209066	aurora/IPL1-related kinase	STK15	20q13.2-q13.3
5803	28990	900094	CDC2=Cell division control protein 2 homolog=P34 protein kinase	CDC2	10q21.1
5815	200709	204335	Human brain mRNA homologous to 3UTR of human CD24 gene, partial sequence
5835	201265	770858	CD34	CD34	1q32
5852	201335	26617	activated leucocyte cell adhesion molecule	ALCAM	3q13.1
5875	201717	484535	amine oxidase, copper containing 3 (vascular adhesion protein 1)	AOC3	17q21
5879	201725	416959	nuclear factor I/B	NFIB	9p24.1
5880	201727	823851	AE-binding protein 1	AEBP1	7
5891	202829	246661	DKFZP564A122 protein	DKFZP564A122	17q11.2
5901	202873	108422	hypothetical protein	DKFZP586F131	2
5903	202877	79520	RAB2, member RAS oncogene family	RAB2	8p22-q21.3
5905	202989	179232	pyrophosphatase (inorganic)	PP	10q11.1-q24
5916	203023	246722	CAGH3		2
5939	207725	299664	Homo sapiens cDNA FLJ11131 fis, clone PLACE1006325, highly similar to Homo sapiens mRNA; cDNA DKFZp564J142		14
5954	208367	855547	major histocompatibility complex, class II, DR beta 1	HLA-DRB1	6p21.3
5957	208373	868169	lipoprotein lipase	LPL	8p22
5958	208375	855910	lectin, galactoside-binding, soluble, 3 (galectin 3)	LGALS3	14q21-q22
5966	208415	588915	interferon, alpha-inducible protein 27	IFI27	14q32
5988	208783	725395	ubiquitin-conjugating enzyme E2L 6	UBE2L6	11q12
5999	208829	365326	fructose-1,6-bisphosphatase 2	FBP2	1p36.2-p36.1
6007	209253	50480	arginase, type II	ARG2	14q24.1-q24.3
602	207375	502819	similar to rat nuclear ubiquitous casein kinase 2	NUCKS	1
6032	202151	701532	ESTs		12
6050	205103	172440	RAB6A, member RAS oncogene family	RAB6A	2q14-q21
6059	205133	309864	jun B proto-oncogene	JUNB	19p13.2
6066	205159	155072	ESTs
6085	200253	470393	matrix metalloproteinase 7 (matrilysin, uterine)	MMP7	11q21-q22
6090	200263	243549	v-myb avian myeloblastosis viral oncogene homolog	MYB	6q22-q23
6095	200285	51447	CD16=Fcgamma receptor IIIa	FCGR3A	1q23
6124	157476	2261122	EST
6128	157496	2292406	EST
6140	157544	2293111	EST
6141	157546	2293139	EST
6149	27093	195269	Cytochrome P450, subfamily XXVII (steroid 27-hydroxylase, cerebrotendinous xanthomatosis)	CYP27A1	2q33-qter
6150	27095	195630	Topoisomerase II alpha (170kD)	TOP2A	17q21-q22
6162	27143	250035	Dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	DCT	13q32
6170	27567	590150	metallothionein-II	MT2A	16q13
6172	27571	203527	MHC Class I=HLA-A2	HLA-A	6p21.3
6175	27589	624655	Interferon-induced protein 1-8D	IFITM2	11
6176	27591	624924	MMP-1=Matrix metalloproteinase 1=FIB-CL=Type I collagenase 55 kD	MMP1	11q22.3
6177	27593	625171	MMP-2=Matrix metalloproteinase 2=72 kD type IV collagenase precursor=72 kD gelatinase=gelatinase A=TBE-1	MMP2	16q13-q21
6183	27617	649151	TSG101=tumor susceptiblity protein	TSG101	11p15
6195	27857	882183	CXCR2=IL-8 Receptor beta	IL8RB	2q35
6203	27885	967284	IP-10	SCYB10	4q21
6216	27935	2417513	Signal recognition particle 9kD	SRP9	1q41
6226	28267	686248	BL34=RGS1=regulator of G-protein signaling which inhibits SDF-1 directed B cell migration	RGS1	1q31
6229	28285	470132	A28-RGS14p=G protein signaling regulator	RGS16	1q25-q31
6230	28287	701741	A28-RGS14p=G protein signaling regulator	RGS16	1q25-q31
6231	28289	485729	PPP1CB=Protein phosphatase 1, catalytic subunit, beta isoform	PPP1CB	2p23
6234	28295	485729	PPP1CB=Protein phosphatase 1, catalytic subunit, beta isoform	PPP1CB	2p23
6235	28309	365437	SIP-110=signaling inositol polyphosphate 5 phosphatase	INPP5D	2q36-q37
6243	28784	268778	PKA-R1 alpha=cAMP-dependent protein kinase type I-alpha-catalytic regulatory chain	PRKAR1A	17q23-q24
6250	28758	447509	Major histocompatibility complex, class II, DN alpha	HLA-DOA	6p21.3
6251	28756	788256	Mitotic kinesin-like protein-1	KNSL5	15
6252	28754	293925	MIR-7=monocyte/macrophage Ig-related receptor=HM43 monocyte inhibitory receptor (overlaps with lysozyme)=LIR-1	FLJ23356
6253	28740	742132	Interferon-induced 17 KD protein	ISG15	1pter-p36.31
6270	157672	31143	ribosomal protein, large, P0	RPLP0	12q24.2
6277	157710	42993	paired basic amino acid cleaving enzyme (furin, membrane associated receptor protein)	PACE	15q25-q26
6278	157712	43129	Topoisomerase I	TOP1	20q12-q13.1
6280	157716	43550	lactate dehydrogenase A	LDHA	11p15.4
6281	157718	43622	glutamate receptor, ionotropic, AMPA 2	GRIA2	4q32-q33
6283	157734	51293	aminoacylase 1	ACY1	3p21.1
6297	200789	563598	gamma-aminobutyric acid (GABA) A receptor, pi	GABRP	5q33-q34
6299	200805	771000	hypothetical protein MGC10433	MGC10433	19q13.1
632	208263	361323	regulator of G-protein signalling 1	RGS1	1q31
6321	201365	714106	plasminogen activator, urokinase	PLAU	10q24
6331	201409	210717	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	SDC2	8q22-q23
6335	201429	897906	sialyltransferase 1 (beta-galactoside alpha-2,6-sialytransferase)	SIAT1	3q27-q28
6351	201773	796757	ESTs, Weakly similar to AP17_HUMAN CLATHRIN COAT ASSEMBLY PROTEIN AP17 [H.sapiens]
6433	207865	296495	RAB6A, member RAS oncogene family	RAB6A	2q14-q21
6438	208463	855487	N-acylsphingosine amidohydrolase (acid ceramidase)	ASAH	8p22-p21.3
6450	208511	486591	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	SEMA3C	7q21-q31
646	208315	731029	phosphatidylinositol 4-kinase, catalytic, alpha polypeptide	PIK4CA	22q11.21
6465	208853	263013	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	PLOD2	3q23-q24
6469	208873	773286	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	SLC9A3R1	17
647	208329	773330	glycoprotein (transmembrane) nmb	GPNMB	7p15
6471	208877	725877	clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	CLU	8p21-p12
6490	209335	119671	ESTs, Weakly similar to E41925 hypothetical protein 3 [H.sapiens]	EST	9
6493	209353	50915	hypothetical protein MGC2752	MGC2752	19q13.2
6495	209357	841338	hypothetical protein MGC2683	MGC2683	1p32
6497	209373	757210	sec13-like protein	SEC13L	18
6501	209381	877638	DKFZP586N1922 protein	DKFZP586N192	19q13.1
6505	209401	68894	IgG Fc receptor hFcRn	FCGRT	19q13.3
6508	209407	61008	likely ortholog of mouse coiled coil forming protein 1	KIAA0203	8p22-q21.13
6514	202231	786675	WAP four-disulfide core domain 2	WFDC2	20q12-q13.2
6524	202275	122159	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	COL3A1	2q31
654	208643	854668	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	CDKN1B	12p13.1-p12
655	208645	757222	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	HMGCS2	1p13-p12
657	208649	49567	Human clone 23948 mRNA sequence	EST	15
6570	200351	725680	transcription factor AP-2 gamma (activating enhancer-binding protein 2 gamma)	TFAP2C	20q13.2
6576	200375	813533	syndecan binding protein (syntenin)	SDCBP	8q12
6591	157214	2173969	CSR1 protein	CSR1	8p21
6605	157566	2293389	EST
6609	157574	2334927	ESTs, Moderately similar to putative mitochondrial outer membrane protein import receptor [H.sapiens]
6622	157624	1862253	EST
6630	26895	78039	Ferritin light chain	FTL	19q13.3-q13.4
6633	26901	81466	MHC Class I=HLA-A2	HLA-A	6p21.3
6641	26941		Pleckstrin, X07743	PLEK
6659	27301	328550	APR=immediate-early-response gene=ATL-derived PMA-responsive  peptide	PMAIP1	18q22
6665	27325	346753	CDC37 homolog=subunit of Hsp90	CDC37	19
6667	27329	357239	RPA = replication protein A	RPA3	7p22
6674	27355	376499	PDGF Receptor Alpha	PDGFRA	4q11-q13
6680	27955	1184197	GFI-1=growth factor independent 1=zinc finger transcription factor=near retroviral insertion in mouse B leukemia/lymphoma	GFI1	1p22
6685	27977	1218288	Erythropoietin	EPO	7q22
6708	28359	138661	Aldehyde dehydrogenase 8	ALDH3B2	11q13
6713	28381	712866	HDAC2=histone deacetylase 2=homologue of yeast RPD3 transcription factor	HDAC2	6q21
6717	28389	182288	Receptor protein-tyrosine kinase EDDR1	DDR1	6p21.3
6726	28527	283023	CX3CR1=chemokine (C-X3-C) receptor 1=fractalkine receptor mediating migration and adhesion of NK cells=G protein-coupled receptor V28=CMKBRL1=beta chemokine receptor-like 1	CX3CR1	3p21.3
6728	28531	183337	MHC Class II=DM alpha	HLA-DMA	6p21.3
6729	28533	771258	CD8 alpha chain	CD8A	2p12
6732	28551	897642	abl tyrosine-protein kinase	ABL1	9q34.1
6733	28553	271985	Tyrosinase (oculocutaneous albinism IA)	TYR	11q14-q21
6740	28579		EmptyWell
6741	28581	789182	PCNA=proliferating cell nuclear antigen	PCNA	20pter-p12
6750	150014	2177729	v-jun avian sarcoma virus 17 oncogene homolog	JUN	1p32-p31
6751	150016	2271480	EST
6754	150022	240099	protein tyrosine phosphatase, receptor type, A	PTPRA	20p13
6781	200694	265680	coxsackie virus and adenovirus receptor	CXADR	21q21.1
6782	200696	110467	caveolin 2	CAV2	7q31.1
6784	200712	376516	vesicle trafficking, beach and anchor containing	LRBA	4
6785	200714	667598	PC4 and SFRS1 interacting protein 1	PSIP1	9p22.2
680	209127	725321	Estrogen receptor	ESR1	6q25.1
6802	201264	243816	CD36	CD36	7q11.2
6817	201318	122159	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	COL3A1	2q31
6843	201718	785415	SKIP for skeletal muscle and kidney enriched inositol phosphatase	SKIP	17p13
6885	203038	141623	leucine aminopeptidase	LOC51056	4p16.2
6922	208368	853906	eukaryotic translation elongation factor 1 alpha 1	EEF1A1	6q14
6923	208370	293925	MIR-7=monocyte/macrophage Ig-related receptor=HM43 monocyte inhibitory receptor (overlaps with lysozyme)=LIR-1	FLJ23356
6924	208372	344589	L-plastin=actin-binding protein	LCP1	13q14.3
6935	208418	344134	Immunoglobulin-related 14.1	IGLL1	22q11.23
6954	208780	309893	Nak1=TR3 orphan receptor=homologue of Nur77/NGIF-B/N10 anti-apoptotic gene	NR4A1	12q13
6959	208802	268736	phospholipid scramblase 1	PLSCR1	3q23
696	209195	377461	caveolin 1, caveolae protein, 22kD	CAV1	7q31.1
6967	208830	345626	fatty acid binding protein 7, brain	FABP7	6q22-q23
697	209197	845355	cathepsin C	CTSC	11q14.1-q14.3
6970	209232	740801	branched chain keto acid dehydrogenase E1, alpha polypeptide (maple syrup urine disease)	BCKDHA	19q13.1-q13.2
6986	209288	823982	acid finger protein	ZNF173	6p21.3
6994	202128	727390	presenilin 1 (Alzheimer disease 3)	PSEN1	14q24.3
6997	202134	416803	ESTs		12
6998	202136	840158	Hexokinase 1	HK1	10q22
7001	202154	814508	protein phosphatase 1, regulatory subunit 7	PPP1R7	2q37.3
7049	200234	813387	diaphorase (NADH/NADPH) (cytochrome b-5 reductase)	DIA4	16q22.1
7056	200260	667482	mal, T-cell differentiation protein	MAL	2cen-q13
7064	200288	42558	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	GATM	15q11.2
7077	157135	1996452	EST
7089	157471	2261097	ribosomal protein L12	RPL12	9q34
7092	157477	2261113	EST
7118	27096	196519	CD24
7140	27572	588819	MHC Class I=HLA-A2	HLA-A	6p21.3
7142	27576	594539	PBEF=pre-B cell enhancing factor	PBEF	7q22.1-7q31.33
7144	27592	625016	osteonectin=SPARC=basement membrane protein	SPARC	5q31.3-q32
7147	27598	626301	C-1-Tetrahydrofolate Synthase, cytoplasmic	MTHFD1	14q24
715	202069	814306	tumor protein D52	TPD52	8q21
7166	27864	910018	PKA-RII beta=cAMP-dependent protein kinase type II-beta regulatory chain	PRKAR2B	7q22-q31.1
7180	27928	1071934	protein kinase (zpk)
7192	28264	358214	BTG2=p53 dependent inducible anti-proliferative gene homologous to Pc3/Tis21 immediate early genes	BTG2	1q32
7195	28270	1357360	Cyclin D2/KIAK0002=3’ end of KIAK0002 cDNA	CCND2	12p13
7196	28272	1334900	EGR-1=Early growth response protein 1=zinc finger protein
7197	28286	377708	3 5-cyclic AMP phosphodiesterase=rolipram-sensitive cAMP-specific phosphodiesterase (PDE2)	PDE4B	1p31
7198	28288	470132	A28-RGS14p=G protein signaling regulator	RGS16	1q25-q31
7201	28294	485729	PPP1CB=Protein phosphatase 1, catalytic subunit, beta isoform	PPP1CB	2p23
7202	28296	485729	PPP1CB=Protein phosphatase 1, catalytic subunit, beta isoform	PPP1CB	2p23
7211	28783	366481	keratin 6 isoform K6b=KRT6B	KRT6B	12q13
7216	28761	359661	monoamine oxidase A	MAOA	Xp11.4-p11.3
7219	28755	810142	MHC Class I=HLA-C4	HLA-C	6p21.3
7220	28753	344589	L-plastin=actin-binding protein	LCP1	13q14.3
725	202497	214162	metallothionein	MT1H	16q13
7286	201360	815526	myb-related gene B=B-myb	MYBL2	20q13.1
7287	201362	783729	HER2=neu=c-erb-B-2=tyrosine kinase-type receptor	ERBB2	17q11.2-q12
7292	201384	825470	topoisomerase (DNA) II alpha (170kD)	TOP2A	17q21-q22
7298	201408	504763	Syndecan-4 = amphiglycan = ryudocan core protein	SDC4	20q12
7310	201744	843321	keratin 7	KRT7	12q12-q21
7314	201752	898305	neuroblastoma, suppression of tumorigenicity 1	NBL1	1p36.3-p36.2
733	202525	382773	chromosome 4 open reading frame 5	C4orf5	4q26-q27
7332	201824	815781	heat shock 105kD	HSP105B	13q12.2-q13.3
7343	202926	141959	WW domain-containing protein 1	WWP1	8p22-q21.3
7344	202928	246808	hypothetical protein FLJ20510	FLJ20510	19q13.4
7346	202944	358456	Sec61 gamma	SEC61G	7p12.3-7q31.33
7364	205416	357373	KIAA0008 gene product	KIAA0008	14q22.1-q22.3
7385	207798	345034	small inducible cytokine subfamily B (Cys-X-Cys), member 14 (BRAK)	SCYB14	5q31
7419	208514	878833	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	UCHL1	4p14
7424	208536	277423	doublecortin and CaM kinase-like 1	DCAMKL1	13q13-q14.1
7468	209380	255754	LUNX protein; PLUNC (palate lung and nasal epithelium clone); tracheal epithelium enriched protein	LOC51297	20q11.2
7473	209402	731002	ESTs, Highly similar to A42286 ERD-2-like protein, ELP-1 [H.sapiens]		7
7481	202230	813520	HEK2=tyrosine kinase receptor=large erk kinase	EPHB3	3q21-qter
7483	202246	700527	glutaredoxin (thioltransferase)	GLRX	5q14
7489	202270	139009	Fibronectin 1	FN1	2q34
7494	202280	841698	exostoses (multiple) 1	EXT1	8q24.11-q24.13
75	202597	144740	serologically defined colon cancer antigen 28	SDCCAG28	11q13
750	200099	205633	MIP-1 beta=SCAY2=G-26=HC21=pAT 744=LAG-1=Act-2=H400=SIS-gamma=chemokine	SCYA4	17q21
7503	205202	265694	EST
7508	205224	327220	Homo sapiens, clone IMAGE:3947276, mRNA, partial cds		11
7510	205228	490140	MKP-1 like protein tyrosine phosphatase	MKP-L	17q12
7549	157183	2003102	EST
755	200121	809578	ribosomal protein S5	RPS5	19q13.4
7583	157599	2550009	EST
7597	26894	77978	cytochrome P450-IIB (hIIB3)	CYP2B7	19q13.2
7598	26896	78039	Ferritin light chain	FTL	19q13.3-q13.4
76	202599	358885	IPFK-2=inducible 6-phosphofructo-2-kinase/fructose 2,6-bisphosphatase		6
7618	26972	36215	IkB epsilon	NFKBIE	6pter-p24.1
7624	27284	327289	KIAA0175=putative kinase	KIAA0175	9
7627	27302	341764	EPH-related receptor tyrosine kinase ligand 1	EFNA1	1q21-q22
7639	27350	366192	fatty acid synthase	FBXO9	6p12.3-p11.2
7640	27352	366884	Interferon alpha/beta receptor-2=Interferon-alpha/beta receptor beta chain precursor=IFN-alpha-rec=Type I interferon receptor=IFN-R	IFNAR2	21q22.11
7642	27356	376520	Interferon-induced protein 1-8D	IFITM2	11
7648	27956	840856	Ferritin light chain	FTL	19q13.3-q13.4
7656	27984	1156752	integrin, alpha subunit	ITGA1	5
7677	28362	241268	2-5 oligoadenylate synthetase E	OAS1	12q24.1
7696	28532	727251	CD9	CD9	12p13
7699	28550	815526	myb-related gene B=B-myb	MYBL2	20q13.1
7701	28554	841149	Transforming growth factor, beta receptor II (70-80kD)	TGFBR2	3p22
7702	28556	1696513	plasminogen activator, urokinase	PLAU	10q24
7706	28576	773215	core binding factor alpha1b subunit=CBF alpha1=PEBP2aA1 transcription factor =AML1 Proto-oncogene=translocated in acute myeloid leukemia	RUNX1	21q22.3
806	157392	2220085	EST
822	26979	130613	Syndecan-1	SDC1	2p24.1
826	26987	133909	MKP-1=CL100=MAP kinase phosphatase 1	DUSP1	5q34
844	27059	52489	FHF-3=fibroblast growth factor homologous factor 3=glia activating factor=fgf-9	FGF9	13q11-q12
848	27463	491243	IP-10	SCYB10	4q21
850	27467	501952	Glutaredoxin=catalyzes GSH (reduced glutathione)-dependent disulfide reduction	GLRX	5q14
851	27481	510324	SIAH-2=Seven in absentia homolog 2	SIAH2	3q25
854	27487	510383	Interferon-inducible protein  9-27=interferon-induced 17kDa membrane protein	IFITM1	11
859	27509	526335	MMP-9=Matrix metalloproteinase 9=92 kD Gelatinase B=92 KD type IV collagenase	MMP9	20q11.2-q13.1
866	27535	565039	Cockayne syndrome 1 (classical)	CKN1	5
870	27747	746146	FGFR1=Fibroblast growth factor receptor 1	FGFR1	8p11.2-p11.1
875	27769	727266	TTP=tristetraproline=GOS24=zinc finger transcriptional regulator	ZFP36	19q13.1
877	27773	759142	Integrin beta 6	ITGB6	2p14-q14.3
888	27819	797060	RAR-gamma-1=Retinoic acid receptor
894	28131	730921	Glutathione S-transferase M3 (brain)	GSTM3	1p13.3
902	28159	42062	Protein tyrosine phosphatase, receptor-type, homologue of mouse R-PTP-kappa	PTPRK	6q22.2-23.1
905	28177	147097	EGF Receptor=epidermal growth factor receptor	EGFR	7p12
913	28205	238363	c-jun	JUN	1p32-p31
919	28613	825442	Protein tyrosine phosphatase type IVA member 2=HU-PP-1	PTP4A2	1p35
923	28633	841332	LyGDI=Rho GDP-dissociation inhibitor 2=RHO GDI 2	ARHGDIB	12p12.3
927	28641	897910	OSF-2os=osteoblast-specific factor=putative bone adhesion protein with homology with the insect protein fasciclin I	OSF-2	13
