P	Gene symbol	Map	Description
0.00995	TRA@ ; TRAC	14q11.2 ; 14q11	T cell receptor alpha locus ; T cell receptor alpha locus ; T cell receptor alpha constant ; T cell receptor alpha constant
0.00984	BTN3A2	6p22.1	butyrophilin, subfamily 3, member A2
0.00984	COX15	10q24	COX15 homolog, cytochrome c oxidase assembly protein (yeast)
0.00984	HIST2H2AA	1q21.2	histone 2, H2aa
0.00978	RNF10	12q24.31	ring finger protein 10 ; ring finger protein 10
0.00977	MAP3K9	14q24.3-q31	mitogen-activated protein kinase kinase kinase 9
0.00977	TRAC	14q11	T cell receptor alpha constant ; T cell receptor alpha constant
0.00955	SLC27A3	1q21.3	solute carrier family 27 (fatty acid transporter), member 3
0.00946	CENPJ	13q12.12	centromere protein J
0.0094	TAF4	20q13.33	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa
0.00933	CGI-37	16q22.1	comparative gene identification transcript 37
0.00933	TFB1M	6q25.1-q25.3	transcription factor B1, mitochondrial
0.00923	EAF2	3q13.33	ELL associated factor 2
0.00923	KPNA3	13q14.3	karyopherin alpha 3 (importin alpha 4)
0.00923	TXNL4B	16q22.2	thioredoxin-like 4B
0.00919	KPNA3	13q14.3	karyopherin alpha 3 (importin alpha 4)
0.00919	MCTS1	Xq22-q24	malignant T cell amplified sequence 1
0.00917	FCGR2C	1q23.3	Fc fragment of IgG, low affinity IIc, receptor for (CD32)
0.00917	MEA1	6p21.3-p21.1	male-enhanced antigen 1
0.00894	DGCR14	22q11.21|22q11.2	DiGeorge syndrome critical region gene 14
0.00889	FLJ43654	3p21.31	FLJ43654 protein
0.00889	KIAA1961	5q23.3	KIAA1961 gene
0.00886	C9orf119	9q34.11	chromosome 9 open reading frame 119
0.00886	FLJ37953	2q33.1	Hypothetical protein FLJ37953
0.00886	KIAA0265	7q32.2	KIAA0265 protein
0.00886	PAXIP1L	7q36	PAX interacting (with transcription-activation domain) protein 1
0.00886	TIMM23	10q11.21-q11.23	translocase of inner mitochondrial membrane 23 homolog (yeast)
0.00875	ASXL2	2p24.1	additional sex combs like 2 (Drosophila)
0.00866	CGI-37	16q22.1	comparative gene identification transcript 37
0.00866	NARG1L	13q14.11	NMDA receptor regulated 1-like
0.00863	AYP1	11q13.1	AYP1 protein
0.00863	C10orf104	10q22.1	chromosome 10 open reading frame 104
0.00863	C14orf109	14q32.13	chromosome 14 open reading frame 109
0.00863	HIST1H2BH	6p21.3	histone 1, H2bh
0.00863	LOC389039	2q21.1	similar to CDNA sequence BC043098
0.00863	MCL1	1q21	Myeloid cell leukemia sequence 1 (BCL2-related)
0.00863	STYXL1	7q11.23	serine/threonine/tyrosine interacting-like 1
0.00863	USP38		ubiquitin specific peptidase 38
0.00863	WDR57	1p35.2	WD repeat domain 57 (U5 snRNP specific)
0.0086	CREBL2	12p13	cAMP responsive element binding protein-like 2
0.00856	COX11	17q22	COX11 homolog, cytochrome c oxidase assembly protein (yeast) ; COX11 homolog, cytochrome c oxidase assembly protein (yeast)
0.00856	PSMD12	17q24.2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12
0.00843	ARFRP1	20q13.3	ADP-ribosylation factor related protein 1
0.00843	ICOSLG	21q22.3	inducible T-cell co-stimulator ligand
0.00842	ECHDC1	6q22.33	enoyl Coenzyme A hydratase domain containing 1
0.00842	FLJ20125	5q21.1	hypothetical protein FLJ20125
0.00842	MGC40368	12q23.3	T-complex 11 (mouse) like 2
0.00842	PRR8	7q36.3	proline rich 8
0.00835	C20orf77	20q11.21-q12	chromosome 20 open reading frame 77
0.00835	CREBL2	12p13	cAMP responsive element binding protein-like 2
0.00835	FGF7	15q15-q21.1	Fibroblast growth factor 7 (keratinocyte growth factor)
0.00835	MGC2654	16p13.2	Hypothetical protein MGC2654
0.00835	OAS2	12q24.2	2-5-oligoadenylate synthetase 2, 69/71kDa
0.00835	RB1CC1	8p22-q21.13	RB1-inducible coiled-coil 1
0.00835	TAF5L	1q42.13	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa
0.00828	ANXA6	5q32-q34	annexin A6
0.00828	ATP6V1H	8p22-q22.3	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H
0.00828	EVI2A	17q11.2	ecotropic viral integration site 2A
0.00828	H2BFS	21q22.3	H2B histone family, member S
0.00824	DYRK2	12q15	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
0.00812	GTF2H1	11p15.1-p14	general transcription factor IIH, polypeptide 1, 62kDa
0.00812	PDE6D	2q35-q36	phosphodiesterase 6D, cGMP-specific, rod, delta
0.00799	PPP1R7	2q37.3	protein phosphatase 1, regulatory subunit 7
0.00792	AFF4	5q31	AF4/FMR2 family, member 4
0.00792	EVE1	4q31.3	SH3 domain protein D19
0.00792	IER5	1q25.3	immediate early response 5
0.00792	KLHL5	4p14	kelch-like 5 (Drosophila)
0.00792	OSBP	11q12-q13	oxysterol binding protein
0.00792	USP12	13q12.13	Ubiquitin specific peptidase 12
0.0079	ATP11A	13q34	ATPase, Class VI, type 11A
0.0079	HPCAL1	2p25.1	hippocalcin-like 1
0.0079	RANBP9	6p23	RAN binding protein 9
0.00783	WASPIP	2q31.1	Wiskott-Aldrich syndrome protein interacting protein
0.00774	C20orf7	20p12.1	chromosome 20 open reading frame 7
0.00772	DNAJA3	16p13.3	DnaJ (Hsp40) homolog, subfamily A, member 3
0.00772	SNAG1	5q11.2	sorting nexin associated golgi protein 1
0.00771	ATP11B	3q27	ATPase, Class VI, type 11B
0.00771	MPI	15q22-qter	mannose phosphate isomerase
0.00768	MTMR10	15q13.3	myotubularin related protein 10
0.00765	PAFAH1B2	11q23	platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa
0.00765	PHF20L1	8q24.22	PHD finger protein 20-like 1
0.00765	SFRS8	12q24.33	splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila)
0.00755	DHX8	17q21.31	DEAH (Asp-Glu-Ala-His) box polypeptide 8
0.0075	C10orf46	10q26.11	Chromosome 10 open reading frame 46
0.0075	DNCL1	12q24.23	dynein, cytoplasmic, light polypeptide 1
0.0075	EEF1D	8q24.3	Eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
0.0075	EIF3S9	7p22.3	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa
0.0075	HTATIP	11q13	HIV-1 Tat interacting protein, 60kDa
0.0075	OPA1	3q28-q29|3q28-q29	optic atrophy 1 (autosomal dominant)
0.0075	PRPSAP1	17q24-q25	phosphoribosyl pyrophosphate synthetase-associated protein 1
0.0075	RAD51C	17q22-q23	RAD51 homolog C (S. cerevisiae)
0.0075	RAE1	20q13.32	RAE1 RNA export 1 homolog (S. pombe)
0.0075	SP110	2q37.1	SP110 nuclear body protein
0.0075	UNQ501	19p13.2	MBC3205
0.00713	THY28	11q25	thymocyte protein thy28
0.00712	CD58	1p13	CD58 antigen, (lymphocyte function-associated antigen 3)
0.00712	HIST1H2BD	6p21.3	histone 1, H2bd
0.00712	HIST1H2BK	6p21.33	histone 1, H2bk
0.00712	HSPC138	11q14.2	hypothetical protein HSPC138
0.00712	VTI1A	10q25.2	Vesicle transport through interaction with t-SNAREs homolog 1A (yeast)
0.00704	YKT6	7p15.1	SNARE protein Ykt6
0.00696	LARS	5q32	leucyl-tRNA synthetase
0.00695	ARL2	11q13	ADP-ribosylation factor-like 2
0.00695	CHPT1	12q	Choline phosphotransferase 1
0.00695	CNOT2	12q15	CCR4-NOT transcription complex, subunit 2
0.00695	CRSP3	6q22.33-q24.1	cofactor required for Sp1 transcriptional activation, subunit 3, 130kDa
0.00695	LARS	5q32	leucyl-tRNA synthetase
0.00695	LOC439987 ; LOC439993	10q22.3 ; 10q23.2	LOC439987 ; LOC439993
0.00695	MGC40368	12q23.3	T-complex 11 (mouse) like 2
0.00695	PIN4	Xq13	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)
0.00695	RAB12	18p11.22	RAB12, member RAS oncogene family
0.00695	RHOT1	17q11.2	ras homolog gene family, member T1
0.00695	THEM2	6p22.2	thioesterase superfamily member 2
0.00695	ZNF133	20p11.23-20p11.22	zinc finger protein 133 (clone pHZ-13)
0.00676	CUL3	2q36.3	Cullin 3
0.00676	PPP4R1	18p11.22	protein phosphatase 4, regulatory subunit 1
0.00676	UBE2J2	1p36.33	Ubiquitin-conjugating enzyme E2, J2 (UBC6 homolog, yeast)
0.00661	HDDC3	15q26.1	HD domain containing 3
0.00657	RHOT1	17q11.2	ras homolog gene family, member T1
0.00655	TCEB3	1p36.1	Transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)
0.00645	PDCD2	6q27	programmed cell death 2
0.00634	LOC81558	17q21.33	C/EBP-induced protein ; C/EBP-induced protein
0.00634	RAP80	5q35.2	Receptor associated protein 80
0.00634	SUPV3L1	10q22.1	suppressor of var1, 3-like 1 (S. cerevisiae)
0.00627	LOC339804	2p15	hypothetical gene supported by AK075484; BC014578
0.00627	PRIM1	12q13	primase, polypeptide 1, 49kDa
0.00627	TMF1	3p21-p12	TATA element modulatory factor 1
0.00613	ZNF551	19p13.2	zinc finger protein 551 ; zinc finger protein 551
0.00606	LOC389072	2q33.3	hypothetical protein LOC389072
0.00606	PTENP1	9p21	phosphatase and tensin homolog (mutated in multiple advanced cancers 1), pseudogene 1
0.00601	AVO3	5p13.1	TORC2-specific protein AVO3
0.00601	HP1-BP74	1p36.12	Heterochromatin protein 1, binding protein 3
0.00601	SLC35B3	6p24.3	solute carrier family 35, member B3
0.00593	GRAP	17p11.2	GRB2-related adaptor protein-like
0.00593	METAP2	12q22	methionyl aminopeptidase 2
0.00593	NQO2	6pter-q12	NAD(P)H dehydrogenase, quinone 2
0.0059	CUTL1	7q22.1	Cut-like 1, CCAAT displacement protein (Drosophila)
0.0059	IL24	1q32	interleukin 24
0.0059	KLHL6		kelch-like 6 (Drosophila)
0.0059	RNASEL	1q25	ribonuclease L (2,5-oligoisoadenylate synthetase-dependent)
0.00586	AHI1	6q23.3	Abelson helper integration site
0.00586	PSPC1	13q12.11	Paraspeckle component 1
0.00586	TRIM11	1q42.13	tripartite motif-containing 11
0.00586	ZNF136	19p13.2-p13.12	zinc finger protein 136 (clone pHZ-20)
0.0058	HSPB1	7q11.23	heat shock 27kDa protein 1
0.00571	B4GALT1	9p13	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1
0.00571	CCT5	5p15.2	Chaperonin containing TCP1, subunit 5 (epsilon)
0.00571	GFM1	3q25.1-q26.2	G elongation factor, mitochondrial 1
0.00563	DERL3	22q11.23	Der1-like domain family, member 3
0.00563	DNCI2	2q31.1	dynein, cytoplasmic, intermediate polypeptide 2 ; dynein, cytoplasmic, intermediate polypeptide 2
0.0056	SMURF1	7q21.1-q31.1	SMAD specific E3 ubiquitin protein ligase 1
0.00559	E2F5	8q21.2	E2F transcription factor 5, p130-binding
0.00552	C6orf125	6p21.31	chromosome 6 open reading frame 125 ; chromosome 6 open reading frame 125
0.00552	FLJ10287	1pter-q31.3	hypothetical protein FLJ10287
0.00552	RAB6IP2	12p13.3	RAB6 interacting protein 2
0.00552	TRIM11	1q42.13	tripartite motif-containing 11
0.00549	MRPL24	1q21-q22	mitochondrial ribosomal protein L24
0.00549	NDUFB5	3q26.33	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa
0.00544	TFB1M	6q25.1-q25.3	transcription factor B1, mitochondrial
0.00506	C7orf28B	7p22.1	chromosome 7 open reading frame 28B
0.00502	HEMK1	3p21.3	HemK methyltransferase family member 1
0.00496	API5	11p12-q12	apoptosis inhibitor 5
0.00496	PPHLN1	12q12	periphilin 1
0.00496	TRA1	12q24.2-q24.3	tumor rejection antigen (gp96) 1
0.0049	Cep63	3q22.1	centrosome protein Cep63
0.0049	PNN	14q21.1	pinin, desmosome associated protein
0.00482	BTN3A3 ; BTN3A2	6p21.3 ; 6p22.1	butyrophilin, subfamily 3, member A3 ; butyrophilin, subfamily 3, member A2
0.00464	FLJ20534	4q33	hypothetical protein FLJ20534
0.00464	RFWD3	16q22.3	ring finger and WD repeat domain 3
0.00464	SVH	7q22.1	SVH protein
0.00457	ATP5H	17q25	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d
0.00457	CREBL2	12p13	cAMP responsive element binding protein-like 2
0.00448	RPL14	3p22-p21.2	ribosomal protein L14
0.00446	CARD8	19q13.32	caspase recruitment domain family, member 8
0.00446	CDKAL1	6p22.3	CDK5 regulatory subunit associated protein 1-like 1
0.00446	FLI1	11q24.1-q24.3	Friend leukemia virus integration 1
0.00446	LOC219854	11q24.2	hypothetical protein LOC219854
0.00446	OMA1	1p32.2-p32.1	OMA1 homolog, zinc metallopeptidase (S. cerevisiae)
0.00446	PCMTD1	8q11.23	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
0.00446	RPUSD3	3p25.3	RNA pseudouridylate synthase domain containing 3
0.00446	SFPQ	1p34.3	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)
0.00446	TMEM41A	3q27.2	transmembrane protein 41A
0.00446	UGP2	2p14-p13	UDP-glucose pyrophosphorylase 2
0.00431	C20orf7	20p12.1	chromosome 20 open reading frame 7
0.00431	ENTH	5q23.1-q33.3	enthoprotin
0.00431	NARG1	4q31.1	NMDA receptor regulated 1
0.00421	CIAPIN1	16q13-q21	cytokine induced apoptosis inhibitor 1
0.00421	CTSS	1q21	cathepsin S
0.00421	DDX52	17q21.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52
0.00421	SP110	2q37.1	SP110 nuclear body protein
0.00414	ELF2	4q28	E74-like factor 2 (ets domain transcription factor)
0.00414	FLJ37562	5q31.1	hypothetical protein FLJ37562
0.00414	LOC158301	9q34.2	hypothetical protein LOC158301
0.00414	NDRG3	20q11.21-q11.23	NDRG family member 3
0.00411	PIN4	Xq13	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)
0.00391	AKT2	19q13.1-q13.2	v-akt murine thymoma viral oncogene homolog 2
0.00391	FLJ22794	11q12.1	FLJ22794 protein
0.00389	SFPQ	1p34.3	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)
0.00386	CSRP2BP	20p11.23	CSRP2 binding protein
0.00386	FBXW2	9q34	F-box and WD-40 domain protein 2
0.00386	FLJ37953	2q33.1	hypothetical protein FLJ37953
0.00386	LOC283012	10q23.32	hypothetical protein LOC283012
0.00372	B4GALT1	9p13	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 ; UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1
0.00372	KIAA0256	15q21.1	KIAA0256 gene product
0.00366	FAM96A	15q22.31	family with sequence similarity 96, member A
0.00357	FLI1	11q24.1-q24.3	Friend leukemia virus integration 1
0.00344	UBE1C	3p24.3-p13	Ubiquitin-activating enzyme E1C (UBA3 homolog, yeast)
0.00323	ECHDC1	6q22.33	enoyl Coenzyme A hydratase domain containing 1
0.00322	IREB2	15q25.1	Iron-responsive element binding protein 2
0.00322	RANBP2L1 ; DKFZp686P0288 ; LOC375258	2q13 ; 2q12.3	RAN binding protein 2-like 1 ; similar to Ran-binding protein 2 ; similar to RAN binding protein 2-like
0.00322	RBBP5	1q32	retinoblastoma binding protein 5
0.00315	DDX52	17q21.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52
0.00315	FLJ13611	5q12.3	Hypothetical protein FLJ13611
0.00315	LOC129531	2q11.2	hypothetical protein BC018453
0.00315	NARG1L	13q14.11	NMDA receptor regulated 1-like
0.00315	TXNDC5	6p24.3	thioredoxin domain containing 5 ; thioredoxin domain containing 5
0.00311	FLJ14075	2p25.1	Nucleolar protein 10
0.00303	BRAP	12q24	BRCA1 associated protein
0.00285	EEF1D	8q24.3	Eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
0.00281	C18orf21	18q12.2	Chromosome 18 open reading frame 21
0.00281	KIF5B	10pter-q22.1	kinesin family member 5B
0.00281	PIGF	2p21-p16	phosphatidylinositol glycan, class F
0.00264	HEMK1	3p21.3	HemK methyltransferase family member 1
0.00264	RPL38	17q23-q25	Ribosomal protein L38
0.00264	TBRG1	11q24.2	Transforming growth factor beta regulator 1
0.00248	GGA3	17q25.1	golgi associated, gamma adaptin ear containing, ARF binding protein 3
0.00248	SEC22L3	3p22.1	SEC22 vesicle trafficking protein-like 3 (S. cerevisiae)
0.00248	TACC1	8p11	transforming, acidic coiled-coil containing protein 1
0.00222	MTIF3	13q12.2	mitochondrial translational initiation factor 3
0.00222	PHF20L1	8q24.22	PHD finger protein 20-like 1
0.00215	THY28	11q25	thymocyte protein thy28
0.00205	ATP11B	3q27	ATPase, Class VI, type 11B
0.00199	ZNF133	20p11.23-20p11.22	zinc finger protein 133 (clone pHZ-13)
0.00197	BRAP	12q24	BRCA1 associated protein
0.00194	FLI1	11q24.1-q24.3	Friend leukemia virus integration 1
0.00189	KIAA0133	1q42.13	KIAA0133
0.00183	AUH	9q22.31	AU RNA binding protein/enoyl-Coenzyme A hydratase
0.00183	HRB2	12q21.1	HIV-1 rev binding protein 2
0.00178	APBB1IP	10p12.1	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein
0.00178	BRAP	12q24	BRCA1 associated protein
0.00178	COPE	19p13.11	coatomer protein complex, subunit epsilon
0.00178	FAM76B	11q21	family with sequence similarity 76, member B
0.00178	FLJ37562	5q31.1	hypothetical protein FLJ37562
0.00178	HSDL2	9q32	hydroxysteroid dehydrogenase like 2
0.00178	HSPC138	11q14.2	hypothetical protein HSPC138
0.00178	KIAA0241	7p14.3	KIAA0241 protein
0.00178	LOC552889	12q21	hypothetical LOC552889
0.00178	PAPD1	10p11.23	PAP associated domain containing 1
0.00178	PAPD4	5q14.1	PAP associated domain containing 4
0.00178	PRDM2	1p36	PR domain containing 2, with ZNF domain
0.00178	PRKCB1	16p11.2	Protein kinase C, beta 1
0.00178	SBNO1	12q24.31	Sno, strawberry notch homolog 1 (Drosophila)
0.00178	SLC35A1	6q15	solute carrier family 35 (CMP-sialic acid transporter), member A1
0.00178	TXNDC5	6p24.3	Thioredoxin domain containing 5
0.00178	UBE1C	3p24.3-p13	Ubiquitin-activating enzyme E1C (UBA3 homolog, yeast)
0.00178	UBE2G1	1q42	Ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)
0.00178	WDSOF1	8q22.3	WD repeats and SOF1 domain containing
0.00178			Transcribed locus, moderately similar to XP_517655.1 PREDICTED: similar to KIAA0825 protein [Pan troglodytes]
