AFFY ID	OMIM ID	REFSEQ_MRNA	description	GENE SYMBOL	CHROMOSOME	ENTREZ_GENE_ID	UNIGENE	CYTOBAND
213113_s_at		NM_014096, NM_017611, NM_199329	solute carrier family 43, member 3	SLC43A3	11	29015	Hs.99962	11q11
224724_at, 233555_s_at		NM_018837, NM_198596	sulfatase 2	SULF2	20	55959	Hs.162016	20q12-q13.2
218009_S_AT	603484		protein regulator of cytokinesis 1	PRC1	15	9055	Hs.567385
205656_at		NM_014459	protocadherin 17	PCDH17	13	23253	Hs.106511	13q21.1,
208029_s_at		NM_018407	lysosomal associated protein transmembrane 4 beta	LAPTM4B	8	55353	Hs.492314	8q22.1,
218051_s_at		NM_022908	5-nucleotidase domain containing 2	NT5DC2	3	64943	Hs.84753	3p21.1
210150_s_at	601033	NM_005560	laminin, alpha 5	LAMA5	20	3911	Hs.473256	20q13.2-q13.3
207198_s_at,212687_at	602567	NM_004987	lim and senescent cell antigen-like domains 1	LIMS1	2	3987	Hs.469593	2q12.3-q13
219522_at		NM_014344	four jointed box 1 (drosophila)	FJX1	11	24147	Hs.39384	11p13,
200875_s_at		NM_006392	nucleolar protein 5a (56kda with kke/d repeat)	NOL5A	20	10528	Hs.376064	20p13
209784_s_at, 32137_at	602570	NM_002226, NM_145159	jagged 2	JAG2	14	3714	Hs.433445	14q32
204944_at	176886	NM_002841	protein tyrosine phosphatase, receptor type, g	PTPRG	3	5793	Hs.146050	3p21-p14
224791_at	605953	NM_018482	development and differentiation enhancing factor 1	DDEF1	8	50807	Hs.106015	8q24.1-q24.2
219985_at	604057	NM_006042,	heparan sulfate (glucosamine) 3-o-sulfotransferase 3a1	HS3ST3A1	17	9955	Hs.462270	17p12-p11.2
220750_s_at		NM_022356	leucine proline-enriched proteoglycan (leprecan) 1	LEPRE1	1	64175	Hs.437656	1p34.1
201853_s_at	116949	NM_004358, NM_021872, NM_021873	cell division cycle 25b	CDC25B	20	994	Hs.153752	20p13
222752_s_at		NM_018252	chromosome 1 open reading frame 75	C1orf75	1	55248	Hs.445386	1q32.3,
208636_at, 208637_x_at,211160_x_at	102575	NM_001102	actinin, alpha 1	ACTN1	14	87	Hs.509765	14q24.1-q24.2
225380_at		NM_138370	hypothetical protein bc007901	LOC91461	2	91461	Hs.408542	2p21
202446_s_at	604170	NM_021105	phospholipid scramblase 1	PLSCR1	3	5359	Hs.130759	3q23,
214830_at		NM_153811	solute carrier family 38, member 6	SLC38A6	14	145389	Hs.200738	14q23.1
206550_s_at	606694	NM_004298, NM_153485	nucleoporin 155kda	NUP155	5	9631	Hs.481942	5p13.1
203062_s_at	607593	NM_014641	mediator of dna damage checkpoint 1	MDC1	6	9656	Hs.433653	6pter-p21.31
218618_s_at,222692_s_at		NM_022763	fibronectin type iii domain containing 3b	FNDC3B	3	64778	Hs.159430	3q26.31
1561394_s_at		NM_001029864	kiaa1755 protein		20	85449	Hs.472690	20q11.23,
240440_at		NM_030769	n-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	NPL	1	80896	Hs.496969	1q25,
225687_at		NM_030919	chromosome 20 open reading frame 129	C20orf129	20	81610	Hs.472716	20q11.22-q12,
1554576_a_at	600711	NM_001986	ets variant gene 4 (e1a enhancer binding protein, e1af)	ETV4	17	2118	Hs.434059	17q21
221538_s_at	601055	NM_032242	plexin a1	PLXNA1	3	5361	Hs.432329, Hs.585335	3q21.3
202107_s_at	116945	NM_004526	mcm2 minichromosome maintenance deficient 2, mitotin (s cerevisiae)	MCM2	3	4171	Hs.477481	3q21,
204432_at	601947	NM_006943	sry (sex determining region y)-box 12	SOX12	20	6666	Hs.43627	20p13
211075_s_at,213857_s_at	601028	NM_001025079, NM_001025080, NM_001777, NM_198793	cd47 antigen (rh-related antigen, integrin-associated signal transducer)	CD47	3	961	Hs.446414	3q13.1-q13.2
226035_at		NM_020718	ubiquitin specific peptidase 31	USP31	16	57478	Hs.183817	16p12.1
212619_at		NM_015257	kiaa0286 protein	KIAA0286	12	23306	Hs.533787	12q13.3
201485_s_at	602584	NM_002902	reticulocalbin 2, ef-hand calcium binding domain	RCN2	15	5955	Hs.79088	15q23,
209360_s_at	151385, 601399	NM_001001890, NM_001754	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	RUNX1	21	861	Hs.149261
225646_at	170650, 245000, 245010, 602365	NM_001814, NM_148170.	cathepsin c	CTSC	11	1075	Hs.128065	11q14.1-q14.3
229610_at		NM_152515	hypothetical protein flj40629	FLJ40629	2	150468	Hs.434250	2q13,
219383_at		NM_024841	hypothetical protein flj14213	FLJ14213	11	79899	Hs.19987	11p13-p12
237411_at	605008	NM_197941	adam metallopeptidase with thrombospondin type 1 motif, 6	ADAMTS6	5	11174	Hs.344757, Hs.482291	5q12, 5q12.3
219294_at		NM_018132	chromosome 6 open reading frame 139	C6orf139	6	55166	Hs.88663	6p12.3,
225827_at, 213310_at	606229	NM_012154	eukaryotic translation initiation factor 2c, 2	EIF2C2	8	27161	Hs.449415	8q24
222680_s_at		NM_016448	denticleless homolog (drosophila)	DTL	1	51514	Hs.126774
218355_at	300521	NM_012310	kinesin family member 4a	KIF4A	X	24137	Hs.279766	Xq13.1
209545_s_at	603455	NM_003821	receptor-interacting serine-threonine kinase 2	RIPK2	8	8767	Hs.103755	8q21
219007_at	608141	NM_198887	nucleoporin 43kda	NUP43	6	348995	Hs.510375, Hs.589977	6q24.3, 6q25.1,
228859_at		NM_138698	prematurely terminated mrna decay factor-like	LOC91431	4	91431	Hs.444338	4q25,
220668_s_at	242860, 602900	NM_006892, NM_175848, NM_175849, NM_175850	dna (cytosine-5-)-methyltransferase 3 beta	DNMT3B	20	1789	Hs.251673	20q11.2,
209194_at	300006	NM_004344	centrin, ef-hand protein, 2	CETN2	X	1069	Hs.82794	Xq28
228299_at		NM_173562	chromosome 6 open reading frame 69	C6orf69	6	222658	Hs.188757	6p21.31
209891_at	609395	NM_020675	spindle pole body component 25 homolog (s cerevisiae)	SPBC25	2	57405	Hs.421956	2q24.3,
201444_s_at	300423, 300556	NM_005765	atpase, h+ transporting, lysosomal accessory protein 2	ATP6AP2	X	10159	Hs.495960	Xp11.4
204113_at	601074		cug triplet repeat, rna binding protein 1	CUGBP1	11	10658	Hs.530727
218709_s_at		NM_016004	intraflagellar transport 52 homolog (chlamydomonas)	IFT52	20	51098	Hs.444332
231855_at		NM_020890	kiaa1524	KIAA1524	3	57650	Hs.529553	3q13.13,
219179_at	607861	NM_016651	dapper, antagonist of beta-catenin, homolog 1 (xenopus laevis)	DACT1	14	51339	Hs.48950	14q23.1,
1552277_a_at,1555841_at			chromosome 9 open reading frame 30	C9orf30	9	91283	Hs.530272	9q31.1,
211945_s_at	135630	NM_002211, NM_033666, NM_033667, NM_033668, NM_033669, NM_133376	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen cd29 includes mdf2, msk12)	ITGB1	10	3688	Hs.429052	10p11.2
218594_at, 218595_s_at		NM_018072	heat repeat containing 1	HEATR1	1	55127	Hs.209958, Hs.534970	1q43
202439_s_at	309900	NM_000202, NM_006123	iduronate 2-sulfatase (hunter syndrome)	IDS	X	3423	Hs.460960
230588_s_at		NM_001012626, NM_022780	hypothetical protein flj13910	FLJ13910, LOC285074	2	285074, 64795	Hs.424184, Hs.75277	2p11.2,
1553956_at		NM_152388	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 4	ALS2CR4	2	65062	Hs.584965	2q33.2
203957_at	602944	NM_001952, NM_198256, NM_198257, NM_198258, NM_198325, NM_212540	e2f transcription factor 6	E2F6	2	1876	Hs.135465	2p25.1
218902_at	190198	NM_017617	notch homolog 1, translocation-associated (drosophila)	NOTCH1	9	4851	Hs.495473	9q34.3,
206918_s_at	604205	NM_003915,NM_152925, NM_152926, NM_152927, NM_152928, NM_152929, NM_152930, NM_152931	copine i	CPNE1	20	8904	Hs.246413	20q11.22,
204700_x_at,214193_s_at		NM_014388	chromosome 1 open reading frame 107	C1orf107	1	27042	Hs.194754	1q32.2
241682_at		NM_144711	kelch-like 23 (drosophila)	KLHL23	2	151230		2q31.1
222657_s_at		NM_001001481, NM_001001482, NM_018299	ubiquitin-conjugating enzyme e2w (putative)	UBE2W	8	55284	Hs.492031	8q21.11
219108_x_at		NM_017895	dead (asp-glu-ala-asp) box polypeptide 27	DDX27	20	55661	Hs.65234	20q13.13
213457_at	605352	NM_004225	malignant fibrous histiocytoma amplified sequence 1	MFHAS1	8	9258	Hs.379414	8p23.1,
218724_s_at	607294	NM_021809	hypothetical protein loc57163	TGIF2	20	60436	Hs.292281	20q11.2-q12
203693_s_at	600427	NM_001949	e2f transcription factor 3	E2F3	6	1871	Hs.269408	6p22,
242787_at	604411	NM_020238	inner centromere protein antigens 135/155kda	INCENP	11	3619	Hs.142179	11q12-q13
201558_at	603343	NM_001015885, NM_003610	rae1 rna export 1 homolog (s pombe)	RAE1	20	8480	Hs.371698	20q13.31,
214121_x_at	605903	NM_005451, NM_203352, NM_203353, NM_213636,	pdz and lim domain 7 (enigma)	PDLIM7	5	9260	Hs.533040	5q35.3
210236_at		NM_003626, NM_177423,	protein tyrosine phosphatase, receptor type, f polypeptide (ptprf), interacting protein (liprin), alpha 1	PPFIA1	11	8500	Hs.530749	11q13.3
221203_s_at		NM_018023	yeats domain containing 2	YEATS2	3	55689	Hs.478459	3q27.1,
219065_s_at		NM_015955,	chromosome 2 open reading frame 4	C2orf4	2	51072	Hs.444969	2p22-p21,
212832_s_at		NM_001008938, NM_014756	cytoskeleton associated protein 5	CKAP5	11	9793	Hs.201253	11p11.2,
212200_at		XM_925991, XM_930788, XM_930800, XM_930810, XM_930821, XM_930833, XM_930843, XM_930852, XM_930874, XM_930881, XM_930890, XM_930898, XM_930904, XM_930911, XM_930919, XM_930927, XM_930937	kiaa0692	KIAA0692	12	23141	Hs.524874	12q24.33
1554271_a_at		NM_033319	chromosome 1 open reading frame 155	C1orf155	1	91687	Hs.434498	1q25.1
223451_s_at,235286_at		NM_016326, NM_016951, NM_181640, NM_181641	chemokine-like factor	CKLF	16	51192	Hs.15159	16q21,
211764_s_at	602961	NM_003338	ubiquitin-conjugating enzyme e2d 1 (ubc4/5 homolog, yeast)	UBE2D1	10	7321	Hs.129683	10q11.2-q21
212898_at		NM_014657	kiaa0406 gene product	KIAA0406	20	9675	Hs.370118	20q11.23
201938_at	602198	NM_004642	cdk2-associated protein 1	CDK2AP1	12	8099	Hs.433201	12q24.31,
201681_s_at	604090	NM_004747	discs, large homolog 5 (drosophila)	DLG5	10	9231	Hs.500245	10q23
201379_s_at	603747	NM_003288,NM_199359, NM_199360, NM_199361, NM_199362, NM_199363,	tumor protein d52-like 2	TPD52L2	20	7165	Hs.473296	20q13.2-q13.3,
222654_at		NM_017813	inositol monophosphatase domain containing 1	IMPAD1	8	54928	Hs.438689	8q12.1
206656_s_at		NM_020531	chromosome 20 open reading frame 3	C20orf3	20	57136	Hs.472330	20p11.22-p11.21
216941_s_at	604904		tata box binding protein (tbp)-associated factor, rna polymerase i, b, 63kda	TAF1B	2	9014	Hs.584833
209725_at		NM_014503	utp20, small subunit (ssu) processome component, homolog (yeast)	UTP20	12	27340	Hs.295732	12q23,
214430_at	301500	NM_000169	galactosidase, alpha	GLA	X	2717	Hs.69089	Xq22,
219582_at		NM_024576	opioid growth factor receptor-like 1	OGFRL1	6	79627	Hs.567577	6q13,
221752_at, 221753_at	606778	NM_018984	slingshot homolog 1 (drosophila)	SSH1	12	54434	Hs.199763	12q24.11,
232918_at		NM_052871	hypothetical protein mgc4677	LOC541471, MGC4677	2	112597, 541471	Hs.446688	2p11.2, 2q13
226347_at		NM_173540	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)	FUT11	10	170384	Hs.348319	10q22.2,
213902_at	228000	NM_004315, NM_177924	n-acylsphingosine amidohydrolase (acid ceramidase) 1	ASAH1	8	427	Hs.527412	8p22-p21.3
207268_x_at	606442	NM_005759	abl interactor 2	ABI2	2	10152	Hs.471156	2q33,
219253_at			family with sequence similarity 11, member b	FAM11B	2	79134	Hs.376722	2q14.2
205687_at, 224878_at		NM_019116	ubiquitin-binding protein homolog	UBPH	16	56061		16p12,
203721_s_at		NM_016001	wd repeat domain 50	WDR50	17	51096	Hs.463465	17q21.33
203956_at		NM_014941	morc family cw-type zinc finger 2	MORC2	22	22880	Hs.555918	22q12.2,
217885_at		NM_018085	importin 9	IPO9	1	55705	Hs.497384	1q32.1,
1554414_a_at,204024_at	604598	NM_004337	chromosome 8 open reading frame 1	C8orf1	8	734	Hs.436445	8q21
209127_s_at		NM_014706	squamous cell carcinoma antigen recognised by t cells 3	SART3	12	9733	Hs.584842	12q24.1
200678_x_at	138945	NM_001012479, NM_002087	granulin	GRN	17	2896	Hs.514220	17q21.32
