Name	Accession	Symbol	Linear fold change	p-value
Eukaryotic translation initiation factor 1A, Y-linked	NM_004681	EIF1AY	-1.7	2.61E-04
Ornithine aminotransferase (gyrate atrophy)	NM_000274	OAT	-1.724	8.37E-05
Microtubule-associated protein, RP/EB family, member 1	NM_012325	MAPRE1	-1.731	1.62E-04
H3 histone, family 3B (H3.3B)	NM_005324	H3F3B	-1.738	9.57E-06
Cysteine-rich protein 1 (intestinal)	AK092741	CRIP1	-1.739	7.87E-05
Thioredoxin interacting protein	NM_006472	TXNIP	-1.741	1.30E-04
Enolase 1, (alpha)	NM_001428	ENO1	-1.746	4.47E-05
Leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	AF025529.1	LILRA1	-1.766	1.28E-04
Interferon regulatory factor 4	AA825491	IRF4	-1.781	6.15E-05
Metallothionein 1B (functional)	BG195149	MT1B	-1.787	2.69E-05
Hemopoietic cell kinase	NM_002110	HCK	-1.824	2.34E-04
Pleckstrin	NM_002664	PLEK	-1.839	3.04E-04
Non-metastatic cells 2, protein (NM23B) expressed in	NM_002512	NME2	-1.844	1.88E-04
V-jun sarcoma virus 17 oncogene homolog (avian)	NM_002228	JUN	-1.852	1.01E-04
V-yes-1 Yamaguchi sarcoma viral related oncogene homolog	NM_002350	LYN	-1.867	2.71E-05
Pim-1 oncogene	NM_002648	PIM1	-1.911	2.94E-04
Metallothionein 1G	NM_005950	MT1G	-1.943	1.76E-04
Lysosomal-associated protein transmembrane 4 alpha	NM_014713	LAPTM4A	-1.957	1.73E-04
Peptidylprolyl isomerase F (cyclophilin F)	NM_005729	PPIF	-1.961	5.79E-06
	BC029916		-1.964	2.35E-04
Chemokine (C-X3-C motif) receptor 1	NM_001337	CX3CR1	-1.979	3.01E-05
Transgelin 2	NM_003564	TAGLN2	-2	1.84E-04
Cytochrome c, somatic	NM_018947	CYCS	-2.004	3.64E-05
Glycophorin A (includes MN blood group)	NM_002100	GYPA	-2.026	2.10E-04
Integrin, alpha X (antigen CD11C (p150), alpha polypeptide)	NM_000887	ITGAX	-2.028	1.91E-04
Selenoprotein P, plasma, 1	AL833145	SEPP1	-2.036	2.57E-04
Mannose-binding lectin (protein C) 2, soluble (opsonic defect)	T69359	MBL2	-2.039	2.80E-05
Integrin, alpha X (antigen CD11C (p150), alpha polypeptide)	NM_000887	ITGAX	-2.06	4.56E-05
Chemokine (C-X-C motif) receptor 4	NM_003467	CXCR4	-2.073	3.44E-05
Metallothionein 1E (functional)	AF495759	MT1E	-2.089	2.36E-04
Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	AL832770	MEIS1	-2.116	5.84E-06
Serine protease inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	NM_021114	SPINK2	-2.126	1.07E-04
Spermidine/spermine N1-acetyltransferase	AL050290	SAT	-2.155	4.30E-05
Chemokine (C-X3-C motif) receptor 1	NM_001337	CX3CR1	-2.164	2.59E-04
Cyclin A1	NM_003914	CCNA1	-2.247	2.01E-05
Vimentin	NM_003380	VIM	-2.277	1.75E-05
Metallothionein 1E (functional)	AF495759	MT1E	-2.277	7.80E-05
Cyclin D3	NM_001760	CCND3	-2.284	2.68E-05
B-cell translocation gene 1, anti-proliferative	NM_001731	BTG1	-2.285	6.05E-06
Hypothetical protein LOC161527	BG398838	LOC161527	-2.315	4.68E-05
Cytokeratin type II	NM_004693	K6HF	-2.318	1.71E-04
B-cell translocation gene 1, anti-proliferative	NM_001731	BTG1	-2.334	2.15E-05
TSC22 domain family 3	AY007119	DSIPI	-2.338	6.35E-06
Soares placenta Nb2HP Homo sapiens cDNA clone IMAGE:132176 3, mRNA sequence	R26367		-2.361	5.09E-06
Jun D proto-oncogene	AA418670	JUND	-2.364	1.82E-05
Histone 2, H2be	NM_003528	HIST2H2BE	-2.369	2.73E-06
Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NM_020529	NFKBIA	-2.372	6.43E-05
Pre-B-cell leukemia transcription factor 3	NM_006195	PBX3	-2.439	6.57E-05
acyl-CoA synthetase long-chain family member 1	NM_021122	ACSL1	-2.475	1.01E-04
Spermidine/spermine N1-acetyltransferase	AL050290	SAT	-2.499	1.08E-05
ADP-ribosylation factor-like 4A	NM_005738	ARL4A	-2.514	2.66E-05
Collagen, type IV, alpha 5 (Alport syndrome)	NM_033380	COL4A5	-2.634	3.73E-05
CD163 antigen	NM_004244	CD163	-2.671	6.38E-05
Golgin-67	AL137686	GOLGIN-67	-2.73	1.45E-05
Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	NM_002398	MEIS1	-2.744	1.04E-06
Carbonic anhydrase II	NM_000067	CA2	-2.845	4.76E-05
cDNA clone IMAGE:4045301 5, mRNA sequence	BF185530		-2.887	2.58E-05
Carbonic anhydrase I	M33987	CA1	-2.913	1.74E-04
Transcription factor 2, hepatic; LF-B3; variant hepatic nuclear factor	NM_006481	TCF2	-2.952	7.37E-05
Chondroitin sulfate proteoglycan 2 (versican)	U16306	CSPG2	-3.101	1.79E-05
CD36 antigen (collagen type I receptor, thrombospondin receptor)	NM_000072	CD36	-3.206	7.58E-06
Spermidine/spermine N1-acetyltransferase	NM_002970	SAT	-3.269	3.01E-06
Defensin, alpha 4, corticostatin	NM_001925	DEFA4	-4.248	1.70E-05
Defensin, alpha 4, corticostatin	NM_001925	DEFA4	-4.736	1.33E-05
Hemoglobin, epsilon 1	NM_005330	HBE1	-5.113	6.05E-05
