Gene	Unigene title	Source mRNA	Class	Cluster
ZNF198	Zinc finger protein 198	NM_003453	Class I	Cluster 5
AKT3	V-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	NM_005465	Class I	Cluster 5
KLHL8	Kelch-like 8 (Drosophila)	NM_020803	Class I	Cluster 5
TTF1	Transcription termination factor, RNA polymerase I	NM_007344	Class I	Cluster 5
MGC33648	Hypothetical protein MGC33648	NM_153706	Class I	Cluster 5
FLJ13220	Hypothetical protein FLJ13220	ak025248	Class I	Cluster 5
PCM1	Pericentriolar material 1	NM_006197	Class I	Cluster 5
WDR26	WD repeat domain 26	AK023023	Class I	Cluster 5
PRKCI	Protein kinase C, iota	NM_002740	Class I	Cluster 5
KIAA0746	KIAA0746 protein	NM_015187	Class I	Cluster 5
MCC	Mutated in colorectal cancers	AL359558	Class I	Cluster 5
KIAA1935	KIAA1935 protein	XM_087672	Class I	Cluster 5
SEC10L1	SEC10-like 1 (S. cerevisiae)	NM_006544	Class I	Cluster 5
CXorf53	Chromosome X open reading frame 53	AY438030	Class I	Cluster 5
CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)	AF116681	Class I	Cluster 5
GFM2	G elongation factor, mitochondrial 2	NM_170691	Class I	Cluster 5
GNAQ	Guanine nucleotide binding protein (G protein), q polypeptide	AL832747	Class I	Cluster 5
FLJ10618	Hypothetical protein FLJ10618	AL049246	Class I	Cluster 5
NUMB	Numb homolog (Drosophila)	NM_003744	Class I	Cluster 5
HERC4	Hect domain and RLD 4	AB046813	Class I	Cluster 5
FLJ37927	CDC20-like protein	AB081750	Class I	Cluster 5
CDK6	Cyclin-dependent kinase 6	NM_001259	Class I	Cluster 5
C14orf126	Chromosome 14 open reading frame 126	BC041327	Class I	Cluster 5
TMEM30A	Transmembrane protein 30A	NM_018247	Class I	Cluster 5
MAN1A1	Mannosidase, alpha, class 1A, member 1	NM_005907	Class I	Cluster 5
PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	NM_003913	Class I	Cluster 5
WNT5A	Wingless-type MMTV integration site family, member 5A	NM_003392	Class I	Cluster 5
C7orf31	Chromosome 7 open reading frame 31	NM_138811	Class I	Cluster 5
SLC25A16	Solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16	NM_152707	Class I	Cluster 5
KIAA1287	KIAA1287 protein	NM_020748	Class I	Cluster 5
SCAP2	Src family associated phosphoprotein 2	NM_003930	Class I	Cluster 5
UBXD2	UBX domain containing 2	NM_014607	Class I	Cluster 5
POGK	Pogo transposable element with KRAB domain	NM_017542	Class I	Cluster 5
NFAT5	Nuclear factor of activated T-cells 5, tonicity-responsive	NM_173214	Class I	Cluster 5
ZBTB24	Zinc finger and BTB domain containing 24	NM_014797	Class I	Cluster 5
ATP10D	ATPase, Class V, type 10D	NM_020453	Class I	Cluster 5
AEBP2	AE binding protein 2	NM_153207	Class I	Cluster 5
KIAA1414	KIAA1414 protein	ak001513	Class I	Cluster 5
RPL4	Ribosomal protein L4	NM_004721	Class I	Cluster 5
AKAP13	A kinase (PRKA) anchor protein 13	NM_144767	Class I	Cluster 5
SCRN3	Secernin 3	NM_024583	Class I	Cluster 5
ACSL3	Acyl-CoA synthetase long-chain family member 3	NM_004457	Class I	Cluster 5
MYO5C	Myosin VC	NM_018728	Class I	Cluster 5
RNF14	Ring finger protein 14	NM_004290	Class I	Cluster 5
IL13RA1	Interleukin 13 receptor, alpha 1	NM_001560	Class I	Cluster 5
KIAA1008	KIAA1008	NM_014953	Class I	Cluster 5
KIAA1815	KIAA1815	ak026962	Class I	Cluster 5
STX7	Syntaxin 7	NM_003569	Class I	Cluster 5
KDELC2	KDEL (Lys-Asp-Glu-Leu) containing 2	NM_153705	Class I	Cluster 5
CDON	Cell adhesion molecule-related/down-regulated by oncogenes	NM_016952	Class I	Cluster 5
PPFIA1	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1	NM_003626	Class I	Cluster 5
Ufm1	Ubiquitin-fold modifier 1	NM_016617	Class I	Cluster 5
FLJ13220	Hypothetical protein FLJ13220	ak025248	Class I	Cluster 5
UTX	Ubiquitously transcribed tetratricopeptide repeat, X chromosome	NM_021140	Class I	Cluster 5
MAP3K7	Mitogen-activated protein kinase kinase kinase 7	NM_145331	Class I	Cluster 5
EIF2C2	Eukaryotic translation initiation factor 2C, 2	AK096164	Class I	Cluster 5
USP24	Ubiquitin specific protease 24	XM_371254	Class I	Cluster 5
RICS	Rho GTPase-activating protein	AY194287	Class I	Cluster 5
C10orf46	Chromosome 10 open reading frame 46	BC017894	Class I	Cluster 5
KIAA0974	KIAA0974	AB023191	Class I	Cluster 5
ATAD2	ATPase family, AAA domain containing 2	NM_014109	Class I	Cluster 5
KIAA0564	KIAA0564 protein	AB011136	Class I	Cluster 5
PIK3CB	Phosphoinositide-3-kinase, catalytic, beta polypeptide	BC022049	Class I	Cluster 5
FLJ10618	Hypothetical protein FLJ10618	AL049246	Class I	Cluster 5
SPIRE1	Spire homolog 1 (Drosophila)	AK025433	Class I	Cluster 5
ADRBK2	Adrenergic, beta, receptor kinase 2	AK123767	Class I	Cluster 5
KIF2	Kinesin heavy chain member 2	NM_004520	Class I	Cluster 5
MRPS30	Mitochondrial ribosomal protein S30	BX538300	Class I	Cluster 5
FLJ30596	Hypothetical protein FLJ30596	BX648388	Class I	Cluster 5
BIRC6	Baculoviral IAP repeat-containing 6 (apollon)	ak023848	Class I	Cluster 5
DIXDC1	DIX domain containing 1	ak055899	Class I	Cluster 5
NCOA7	Nuclear receptor coactivator 7	NM_181782	Class I	Cluster 5
PPM2C	Protein phosphatase 2C, magnesium-dependent, catalytic subunit	NM_018444	Class I	Cluster 5
ARL8	ADP-ribosylation factor-like 8	NM_178815	Class I	Cluster 5
HECA	Headcase homolog (Drosophila)	NM_016217	Class I	Cluster 5
HERC1	Hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1	NM_003922	Class I	Cluster 5
PPAT	Phosphoribosyl pyrophosphate amidotransferase	NM_002703	Class I	Cluster 5
ATP11A	ATPase, Class VI, type 11A	ak025511	Class I	Cluster 5
C9orf5	Chromosome 9 open reading frame 5	NM_032012	Class I	Cluster 5
NEK3	NIMA (never in mitosis gene a)-related kinase 3	NM_152720	Class I	Cluster 5
ZBTB1	Zinc finger and BTB domain containing 1	NM_014950	Class I	Cluster 5
PSD3	Pleckstrin and Sec7 domain containing 3	NM_015310	Class I	Cluster 5
C14orf100	Chromosome 14 open reading frame 100	NM_016475	Class I	Cluster 5
PTPN13	Protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	NM_080685	Class I	Cluster 5
SLC11A2	Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	af064484	Class I	Cluster 5
USP33	Ubiquitin specific protease 33	NM_015017	Class I	Cluster 5
KIAA1008	KIAA1008	NM_014953	Class I	Cluster 5
GRPEL2	GrpE-like 2, mitochondrial (E. coli)	NM_152407	Class I	Cluster 5
AKT3	V-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	NM_005465	Class I	Cluster 5
ADAMTS1	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	NM_006988	Class I	Cluster 5
RGS2	Regulator of G-protein signalling 2, 24kDa	NM_002923	Class I	Cluster 5
C13orf7	Chromosome 13 open reading frame 7	NM_024546	Class I	Cluster 5
LHFPL2	Lipoma HMGIC fusion partner-like 2	NM_005779	Class I	Cluster 5
	Hypothetical protein dJ122O8.2	NM_020466	Class I	Cluster 5
WDR26	WD repeat domain 26	AK023023	Class I	Cluster 5
RSBN1	Round spermatid basic protein 1	AL050064	Class I	Cluster 5
CDC27	Cell division cycle 27	BC050604	Class I	Cluster 5
TRAF6	TNF receptor-associated factor 6	AK128396	Class I	Cluster 5
KIAA1935	KIAA1935 protein	XM_087672	Class I	Cluster 5
SERTAD4	SERTA domain containing 4	AK021425	Class I	Cluster 5
PSME4	Proteasome (prosome, macropain) activator subunit 4	NM_014614	Class I	Cluster 5
KBTBD2	Kelch repeat and BTB (POZ) domain containing 2	AB040922	Class I	Cluster 5
SLC26A2	Solute carrier family 26 (sulfate transporter), member 2	NM_000112	Class I	Cluster 5
HNRPU	Heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	AK095525	Class I	Cluster 5
NUCB2	Nucleobindin 2	AK128739	Class I	Cluster 5
LOC94431	Similar to RNA polymerase I transcription factor RRN3	NM_145237	Class I	Cluster 5
FLJ20323	Hypothetical protein FLJ20323	AL136892	Class I	Cluster 5
C18orf25	Chromosome 18 open reading frame 25	AL713661	Class I	Cluster 5
ARL7	ADP-ribosylation factor-like 7	NM_005737	Class I	Cluster 5
NR3C1	Nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	NM_000176	Class I	Cluster 5
TMEM30A	Transmembrane protein 30A	NM_018247	Class I	Cluster 5
CLUAP1	Clusterin associated protein 1	NM_024793	Class I	Cluster 5
WNT5A	Wingless-type MMTV integration site family, member 5A	NM_003392	Class I	Cluster 5
THRAP2	Thyroid hormone receptor associated protein 2	ak023837	Class I	Cluster 5
UVRAG	UV radiation resistance associated gene	NM_003369	Class I	Cluster 5
NME7	Non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase)	NM_013330	Class I	Cluster 5
UBE3A	Ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)	NM_130839	Class I	Cluster 5
RAB11A	RAB11A, member RAS oncogene family	NM_004663	Class I	Cluster 5
FLJ21816	Hypothetical protein FLJ21816	NM_024675	Class I	Cluster 5
C9orf5	Chromosome 9 open reading frame 5	NM_032012	Class I	Cluster 5
ARTS-1	Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	NM_016442	Class I	Cluster 5
KIAA0090	KIAA0090 protein	NM_015047	Class I	Cluster 5
QTRTD1	Queuine tRNA-ribosyltransferase domain containing 1	NM_024638	Class I	Cluster 5
IMPA1	Inositol(myo)-1(or 4)-monophosphatase 1	NM_005536	Class I	Cluster 5
SVIL	Supervillin	NM_021738	Class I	Cluster 5
P15RS	Hypothetical protein FLJ10656	NM_018170	Class I	Cluster 5
USP33	Ubiquitin specific protease 33	NM_015017	Class I	Cluster 5
NUFIP1	Nuclear fragile X mental retardation protein interacting protein 1	NM_012345	Class I	Cluster 5
BAG5	BCL2-associated athanogene 5	NM_004873	Class I	Cluster 5
IL13RA1	Interleukin 13 receptor, alpha 1	NM_001560	Class I	Cluster 5
AMACR	Alpha-methylacyl-CoA racemase	NM_014324	Class I	Cluster 5
PAFAH1B1	Platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	NM_000430	Class I	Cluster 5
SENP5	SUMO1/sentrin specific protease 5	NM_152699	Class I	Cluster 5
KLHL8	Kelch-like 8 (Drosophila)	NM_020803	Class I	Cluster 5
CDC7	CDC7 cell division cycle 7 (S. cerevisiae)	NM_003503	Class I	Cluster 5
C13orf22	Chromosome 13 open reading frame 22	NM_005800	Class I	Cluster 5
TAP2	Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	AL833658	Class I	Cluster 5
PDE8A	Phosphodiesterase 8A	BC017164	Class I	Cluster 5
SLC16A1	Solute carrier family 16 (monocarboxylic acid transporters), member 1	AL162079	Class I	Cluster 5
CDC27	Cell division cycle 27	BC050604	Class I	Cluster 5
KIAA0934	KIAA0934	NM_014974	Class I	Cluster 5
C6orf55	Chromosome 6 open reading frame 55	BC005937	Class I	Cluster 5
SFMBT2	Scm-like with four mbt domains 2	AK057130	Class I	Cluster 5
RAB18	RAB18, member RAS oncogene family	AK090947	Class I	Cluster 5
MTSS1	Metastasis suppressor 1	AB007889	Class I	Cluster 5
TPD52	Tumor protein D52	AK022789	Class I	Cluster 5
PLEKHA1	Pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1	AK095775	Class I	Cluster 5
LPHN2	Latrophilin 2	AB018329	Class I	Cluster 5
MGC52110	Hypothetical protein MGC52110	AK092952	Class I	Cluster 5
C9orf91	Chromosome 9 open reading frame 91	BC010029	Class I	Cluster 5
MOBK1B	MOB1, Mps One Binder kinase activator-like 1B (yeast)	NM_018221	Class I	Cluster 5
UBXD2	UBX domain containing 2	NM_014607	Class I	Cluster 5
DNAJC6	DnaJ (Hsp40) homolog, subfamily C, member 6	NM_014787	Class I	Cluster 5
WDR47	WD repeat domain 47	NM_014969	Class I	Cluster 5
ERO1L	ERO1-like (S. cerevisiae)	NM_014584	Class I	Cluster 5
RAB18	RAB18, member RAS oncogene family	AK090947	Class I	Cluster 5
B3GNT1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	NM_033252	Class I	Cluster 5
TMEM35	Transmembrane protein 35	NM_021637	Class I	Cluster 5
GNE	Glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	NM_005476	Class I	Cluster 5
STK38	Serine/threonine kinase 38	NM_007271	Class I	Cluster 5
CYP51A1	Cytochrome P450, family 51, subfamily A, polypeptide 1	NM_000786	Class I	Cluster 5
PNPT1	Polyribonucleotide nucleotidyltransferase 1	NM_033109	Class I	Cluster 5
CDC40	Cell division cycle 40 homolog (yeast)	NM_015891	Class I	Cluster 5
GCLC	Glutamate-cysteine ligase, catalytic subunit	BC022487	Class I	Cluster 5
SPIRE1	Spire homolog 1 (Drosophila)	AK025433	Class I	Cluster 5
FLJ10292	Mago-nashi homolog	NM_018048	Class I	Cluster 5
SNAP29	Synaptosomal-associated protein, 29kDa	NM_004782	Class I	Cluster 5
SHCBP1	SHC SH2-domain binding protein 1	NM_024745	Class I	Cluster 5
PREI3	Preimplantation protein 3	NM_015387	Class I	Cluster 5
CFL2	Cofilin 2 (muscle)	NM_138638	Class I	Cluster 5
SMARCA3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3	NM_003071	Class I	Cluster 5
AGA	Aspartylglucosaminidase	NM_000027	Class I	Cluster 5
HECTD1	HECT domain containing 1	NM_015382	Class I	Cluster 5
CKLFSF4	Chemokine-like factor super family 4	NM_178818	Class I	Cluster 5
FOXO1A	Forkhead box O1A (rhabdomyosarcoma)	NM_002015	Class I	Cluster 5
MAPK6	Mitogen-activated protein kinase 6	NM_002748	Class I	Cluster 5
C2orf30	Chromosome 2 open reading frame 30	NM_015701	Class I	Cluster 5
RIOK3	RIO kinase 3 (yeast)	NM_145906	Class I	Cluster 5
DKFZP434K1421	Hypothetical protein DKFZp434K1421	NM_032141	Class I	Cluster 5
LOC90268	Hypothetical protein BC007706	NM_138348	Class I	Cluster 5
STAG2	Stromal antigen 2	NM_006603	Class I	Cluster 5
AMACR	Alpha-methylacyl-CoA racemase	NM_014324	Class I	Cluster 5
KIAA1815	KIAA1815	ak026962	Class I	Cluster 5
TOPBP1	Topoisomerase (DNA) II binding protein 1	NM_007027	Class I	Cluster 5
SMBP	SM-11044 binding protein	NM_020123	Class I	Cluster 5
FAM8A1	Family with sequence similarity 8, member A1	NM_016255	Class I	Cluster 5
NDFIP2	Nedd4 family interacting protein 2	ak001723	Class I	Cluster 5
FAM20B	Family with sequence similarity 20, member B	NM_014864	Class I	Cluster 5
UTX	Ubiquitously transcribed tetratricopeptide repeat, X chromosome	NM_021140	Class I	Cluster 5
ADSS	Adenylosuccinate synthase	BC012356	Class I	Cluster 5
SERTAD2	SERTA domain containing 2	XM_376059	Class I	Cluster 5
LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)	BC071572	Class I	Cluster 5
CXorf39	Chromosome X open reading frame 39	BC016683	Class I	Cluster 5
76P	Gamma tubulin ring complex protein (76p gene)	AK127306	Class I	Cluster 5
H2AFV	H2A histone family, member V	AL110212	Class I	Cluster 5
182-FIP	82-kD FMRP Interacting Protein	AB037742	Class I	Cluster 5
PDE4DIP	Phosphodiesterase 4D interacting protein (myomegalin)	AK000835	Class I	Cluster 5
C10orf46	Chromosome 10 open reading frame 46	BC017894	Class I	Cluster 5
DOCK7	Dedicator of cytokinesis 7	BC041813	Class I	Cluster 5
C6orf75	Chromosome 6 open reading frame 75	AF532977	Class I	Cluster 5
FLJ21924	Hypothetical protein FLJ21924	AK055185	Class I	Cluster 5
TPD52	Tumor protein D52	AK022789	Class I	Cluster 5
SLC26A2	Solute carrier family 26 (sulfate transporter), member 2	NM_000112	Class I	Cluster 5
TA-PP2C	T-cell activation protein phosphatase 2C	AK098051	Class I	Cluster 5
TRIO	Triple functional domain (PTPRF interacting)	AB115332	Class I	Cluster 5
KIAA1463	KIAA1463 protein	AB040896	Class I	Cluster 5
UPF3A	UPF3 regulator of nonsense transcripts homolog A (yeast)	AK092586	Class I	Cluster 5
SEPHS1	Selenophosphate synthetase 1	NM_012247	Class I	Cluster 5
KIF1B	Kinesin family member 1B	NM_015074	Class I	Cluster 5
SLC35A5	Solute carrier family 35, member A5	NM_017945	Class I	Cluster 5
CHD7	Chromodomain helicase DNA binding protein 7	ak000368	Class I	Cluster 5
G3BP2	Ras-GTPase activating protein SH3 domain-binding protein 2	NM_012297	Class I	Cluster 5
RYK	RYK receptor-like tyrosine kinase	NM_002958	Class I	Cluster 5
UBE3A	Ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)	NM_130839	Class I	Cluster 5
SAV1	Salvador homolog 1 (Drosophila)	NM_021818	Class I	Cluster 5
EHBP1	EH domain binding protein 1	NM_015252	Class I	Cluster 5
LOC159090	Similar to hypothetical protein MGC17347	ak026660	Class I	Cluster 5
C20orf45	Chromosome 20 open reading frame 45	NM_016045	Class I	Cluster 5
SIMP	Source of immunodominant MHC-associated peptides	ak075380	Class I	Cluster 5
KIAA0090	KIAA0090 protein	NM_015047	Class I	Cluster 5
SLC6A15	Solute carrier family 6 (neurotransmitter transporter), member 15	NM_018057	Class I	Cluster 5
UHRF2	Chromosome 9 open reading frame 38	NM_152896	Class I	Cluster 5
ATP6V1A	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A	NM_001690	Class I	Cluster 5
LMAN1	Lectin, mannose-binding, 1	NM_005570	Class I	Cluster 5
USP14	Ubiquitin specific protease 14 (tRNA-guanine transglycosylase)	NM_005151	Class I	Cluster 5
NUFIP1	Nuclear fragile X mental retardation protein interacting protein 1	NM_012345	Class I	Cluster 5
TLOC1	Translocation protein 1	NM_003262	Class I	Cluster 5
LEMD3	LEM domain containing 3	NM_014319	Class I	Cluster 5
AMACR	Alpha-methylacyl-CoA racemase	NM_014324	Class I	Cluster 5
ERO1L	ERO1-like (S. cerevisiae)	NM_014584	Class I	Cluster 5
GABPB2	GA binding protein transcription factor, beta subunit 2, 47kDa	NM_181427	Class I	Cluster 5
ARHGAP21	Rho GTPase activating protein 21	ak074589	Class I	Cluster 5
KIDINS220	Likely homolog of rat kinase D-interacting substance of 220 kDa	ak023926	Class I	Cluster 5
SERTAD2	SERTA domain containing 2	XM_376059	Class I	Cluster 5
CXorf39	Chromosome X open reading frame 39	BC016683	Class I	Cluster 5
MAP3K7	Mitogen-activated protein kinase kinase kinase 7	NM_145331	Class I	Cluster 5
CSRP2BP	CSRP2 binding protein	NM_020536	Class I	Cluster 5
SMAD2	SMAD, mothers against DPP homolog 2 (Drosophila)	NM_001003652	Class I	Cluster 5
EIF2C2	Eukaryotic translation initiation factor 2C, 2	AK096164	Class I	Cluster 5
SYNCRIP	Synaptotagmin binding, cytoplasmic RNA interacting protein	AK056188	Class I	Cluster 5
FAM33A	Family with sequence similarity 33, member A	AK056473	Class I	Cluster 5
PSME4	Proteasome (prosome, macropain) activator subunit 4	NM_014614	Class I	Cluster 5
KBTBD2	Kelch repeat and BTB (POZ) domain containing 2	AB040922	Class I	Cluster 5
MAK3	Mak3 homolog (S. cerevisiae)	BC012731	Class I	Cluster 5
ARMCX3	Armadillo repeat containing, X-linked 3	BX647802	Class I	Cluster 5
ZSWIM6	Zinc finger, SWIM domain containing 6	AB046797	Class I	Cluster 5
TA-PP2C	T-cell activation protein phosphatase 2C	AK098051	Class I	Cluster 5
BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	NM_004331	Class I	Cluster 5
CAMSAP1	Calmodulin regulated spectrin-associated protein 1	AL834528	Class I	Cluster 5
RANBP5	RAN binding protein 5	BC001497	Class I	Cluster 5
CROP	Cisplatin resistance-associated overexpressed protein	AK090674	Class I	Cluster 5
HSPC128	HSPC128 protein	NM_014167	Class I	Cluster 5
KIF1B	Kinesin family member 1B	NM_015074	Class I	Cluster 5
LEPROTL1	Leptin receptor overlapping transcript-like 1	NM_015344	Class I	Cluster 5
MINPP1	Multiple inositol polyphosphate histidine phosphatase, 1	NM_004897	Class I	Cluster 5
HLC-8	Lung cancer-related protein 8	ak027166	Class I	Cluster 5
ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	NM_002940	Class I	Cluster 5
FLJ10726	Hypothetical protein FLJ10726	NM_018195	Class I	Cluster 5
POU3F2	POU domain, class 3, transcription factor 2	NM_005604	Class I	Cluster 5
CALM1	Calmodulin 1 (phosphorylase kinase, delta)	NM_006888	Class I	Cluster 5
TUBGCP3	Tubulin, gamma complex associated protein 3	NM_006322	Class I	Cluster 5
MASTL	Microtubule associated serine/threonine kinase-like	NM_032844	Class I	Cluster 5
MCM10	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	NM_182751	Class I	Cluster 5
KPNA4	Karyopherin alpha 4 (importin alpha 3)	NM_002268	Class I	Cluster 5
CDYL	Chromodomain protein, Y-like	NM_170752	Class I	Cluster 5
FUSIP1	FUS interacting protein (serine-arginine rich) 1	NM_006625	Class I	Cluster 5
CBX3	Chromobox homolog 3 (HP1 gamma homolog, Drosophila)	NM_016587	Class I	Cluster 5
CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	NM_033331	Class I	Cluster 5
PAN3	PABP1-dependent poly A-specific ribonuclease subunit PAN3	NM_175854	Class I	Cluster 5
C10orf18	Chromosome 10 open reading frame 18	ak027014	Class I	Cluster 5
FANCL	Fanconi anemia, complementation group L	NM_018062	Class I	Cluster 5
SLC11A2	Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	af064484	Class I	Cluster 5
SCAMP1	Secretory carrier membrane protein 1	NM_052822	Class I	Cluster 5
SRP46	Splicing factor, arginine/serine-rich, 46kD	NM_032102	Class I	Cluster 5
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	NM_018361	Class I	Cluster 5
OXSR1	Oxidative-stress responsive 1	NM_005109	Class I	Cluster 5
MCP	Membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)	NM_172361	Class I	Cluster 5
SSR3	Signal sequence receptor, gamma (translocon-associated protein gamma)	NM_007107	Class I	Cluster 5
PAFAH1B1	Platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	NM_000430	Class I	Cluster 5
IDH3A	Isocitrate dehydrogenase 3 (NAD+) alpha	NM_005530	Class I	Cluster 5
RYBP	RING1 and YY1 binding protein	NM_012234	Class I	Cluster 5
HDGFRP3	Hepatoma-derived growth factor, related protein 3	NM_016073	Class I	Cluster 5
PDE8A	Phosphodiesterase 8A	BC017164	Class I	Cluster 5
FBXL5	F-box and leucine-rich repeat protein 5	AK123301	Class I	Cluster 5
CDC27	Cell division cycle 27	BC050604	Class I	Cluster 5
FAM45A	Family with sequence similarity 45, member A	BC022271	Class I	Cluster 5
C6orf55	Chromosome 6 open reading frame 55	BC005937	Class I	Cluster 5
TNKS	Tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	BC023578	Class I	Cluster 5
PPP1R15B	Protein phosphatase 1, regulatory (inhibitor) subunit 15B	AL833746	Class I	Cluster 5
GFM2	G elongation factor, mitochondrial 2	NM_170691	Class I	Cluster 5
ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	NM_015994	Class I	Cluster 5
ARMC1	Armadillo repeat containing 1	AL512767	Class I	Cluster 5
SH3BP5	SH3-domain binding protein 5 (BTK-associated)	AL117422	Class I	Cluster 5
HNRPU	Heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	AK095525	Class I	Cluster 5
C20orf177	Chromosome 20 open reading frame 177	BC020771	Class I	Cluster 5
CDC42SE2	CDC42 small effector 2	AK025620	Class I	Cluster 5
HSPA14	Heat shock 70kDa protein 14	BC026226	Class I	Cluster 5
ARL7	ADP-ribosylation factor-like 7	NM_005737	Class I	Cluster 5
KIF1B	Kinesin family member 1B	NM_015074	Class I	Cluster 5
DLC1	Deleted in liver cancer 1	NM_182643	Class I	Cluster 5
HSF2	Heat shock transcription factor 2	NM_004506	Class I	Cluster 5
KIAA0853	KIAA0853	NM_015070	Class I	Cluster 5
FLJ10726	Hypothetical protein FLJ10726	NM_018195	Class I	Cluster 5
TMEM34	Transmembrane protein 34	NM_018241	Class I	Cluster 5
GOLPH3L	Golgi phosphoprotein 3-like	NM_018178	Class I	Cluster 5
CALM1	Calmodulin 1 (phosphorylase kinase, delta)	NM_006888	Class I	Cluster 5
ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	NM_015313	Class I	Cluster 5
FUSIP1	FUS interacting protein (serine-arginine rich) 1	NM_006625	Class I	Cluster 5
MOSPD1	Motile sperm domain containing 1	NM_019556	Class I	Cluster 5
RIOK3	RIO kinase 3 (yeast)	NM_145906	Class I	Cluster 5
DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	NM_001356	Class I	Cluster 5
CLIC4	Chloride intracellular channel 4	NM_013943	Class I	Cluster 5
EIF4G3	Eukaryotic translation initiation factor 4 gamma, 3	NM_003760	Class I	Cluster 5
ACSL3	Acyl-CoA synthetase long-chain family member 3	NM_004457	Class I	Cluster 5
P15RS	Hypothetical protein FLJ10656	NM_018170	Class I	Cluster 5
SSR3	Signal sequence receptor, gamma (translocon-associated protein gamma)	NM_007107	Class I	Cluster 5
FBN2	Fibrillin 2 (congenital contractural arachnodactyly)	NM_001999	Class I	Cluster 5
RALBP1	RalA binding protein 1	NM_006788	Class I	Cluster 5
HDGFRP3	Hepatoma-derived growth factor, related protein 3	NM_016073	Class I	Cluster 5
FAM20B	Family with sequence similarity 20, member B	NM_014864	Class I	Cluster 5
JARID1A	Jumonji, AT rich interactive domain 1A (RBBP2-like)	AL133026	Class I	Cluster 5
FLJ13910	Hypothetical protein FLJ13910	AL050139	Class I	Cluster 5
	Hypothetical protein dJ122O8.2	NM_020466	Class I	Cluster 5
EXOSC6	Exosome component 6	AF126109	Class I	Cluster 5
SYNCRIP	Synaptotagmin binding, cytoplasmic RNA interacting protein	AK056188	Class I	Cluster 5
E2F7	E2F transcription factor 7	BC016658	Class I	Cluster 5
C6orf55	Chromosome 6 open reading frame 55	BC005937	Class I	Cluster 5
SNAG1	Sorting nexin associated golgi protein 1	AK022059	Class I	Cluster 5
LYAR	Hypothetical protein FLJ20425	AK000432	Class I	Cluster 5
ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	NM_015994	Class I	Cluster 5
MPHOSPH6	M-phase phosphoprotein 6	BC005242	Class I	Cluster 5
FLJ20323	Hypothetical protein FLJ20323	AL136892	Class I	Cluster 5
UPF3A	UPF3 regulator of nonsense transcripts homolog A (yeast)	AK092586	Class I	Cluster 5
CROP	Cisplatin resistance-associated overexpressed protein	AK090674	Class I	Cluster 5
HSPC128	HSPC128 protein	NM_014167	Class I	Cluster 5
RPL37	Ribosomal protein L37	AL137450	Class I	Cluster 5
PTPRK	Protein tyrosine phosphatase, receptor type, K	NM_002844	Class I	Cluster 5
DLC1	Deleted in liver cancer 1	NM_182643	Class I	Cluster 5
