U133A probe set	Gene	MLL-rearranged	MLL-wild type	Fold	t statistic	P	q
214390_s_at	BCAT1	62.3	189.8	-3	-4.1	0.0005	0.0197
219417_s_at	FLJ20014	275.8	189.6	1.5	3.9	0.0005	0.0197
203380_x_at	SFRS5	4207.1	5432.2	-1.3	-4	0.0005	0.0198
204647_at	HOMER3	1518	786.5	1.9	4	0.0005	0.0199
209295_at	TNFRSF10B	765.9	546.1	1.4	3.9	0.0005	0.02
207704_s_at	GAS7	883.1	407.3	2.2	4.1	0.0005	0.0202
210951_x_at	RAB27A	1993	1458.4	1.4	4	0.0005	0.0202
210664_s_at	TFPI	85.8	262.8	-3.1	-4.3	0.0005	0.0202
203460_s_at	PSEN1	1019.6	775.2	1.3	4.1	0.0005	0.0203
206469_x_at	AKR7A3	544.7	325.5	1.7	4.1	0.0005	0.0203
205453_at	HOXB2	191.7	809	-4.2	-4	0.0005	0.0205
205718_at	ITGB7	875.3	390.1	2.2	4.1	0.0005	0.0205
216950_s_at	FCGR1A	2410.6	963.6	2.5	4.2	0.0005	0.0205
215294_s_at	SMARCA1	4.5	25.6	-5.7	-3.8	0.0005	0.0205
202253_s_at	DNM2	660.3	571	1.2	3.6	0.0005	0.0207
209048_s_at	PRKCBP1	994.1	1487.9	-1.5	-4	0.0005	0.0207
202153_s_at	NUP62	1226.9	929.6	1.3	3.9	0.0005	0.0207
202746_at	ITM2A	656.8	2875	-4.4	-4.4	0.0005	0.0207
210463_x_at	FLJ20244	560.6	811.7	-1.4	-4.1	0.0005	0.0207
214181_x_at	LST1	2955.3	2102.8	1.4	3.7	0.0005	0.0207
217931_at	TNRC5	1454.2	1138.9	1.3	4	0.0005	0.0207
204492_at	ARHGAP11A	131.4	97.7	1.3	3.8	0.0005	0.0211
203271_s_at	UNC119	274.8	92.1	3	4.3	0.0005	0.0211
205239_at	AREG	65.4	221.9	-3.4	-3.9	0.0005	0.0211
209040_s_at	PSMB8	1685.4	1342.3	1.3	3.8	0.0005	0.0211
203342_at	TIMM17B	879.6	683.9	1.3	3.8	0.0005	0.0213
203799_at	DCL-1	2758.5	2222.1	1.2	3.7	0.0005	0.0213
218038_at	FLJ10241	558.2	455.7	1.2	3.7	0.0005	0.0213
219506_at	FLJ23221	806.3	445.1	1.8	4.1	0.0005	0.0215
210146_x_at	ILT8 /// LILRB2	553.8	241.3	2.3	3.9	0.0005	0.0219
221519_at	SHFM3	598.9	510.6	1.2	3.6	0.0005	0.022
212295_s_at	SLC7A1	1278.5	1808	-1.4	-4.1	0.0006	0.022
210314_x_at	TNFSF13 /// TNFSF12-TNFSF13	2346.1	1828.5	1.3	3.7	0.0006	0.022
218300_at	MGC4606	485.7	370.6	1.3	3.8	0.0006	0.022
205677_s_at	DLEU1	283.3	447.7	-1.6	-3.9	0.0006	0.022
219220_x_at	MRPS22	909.1	1096	-1.2	-4.2	0.0006	0.0222
203206_at	KIAA0140	1250	1066.9	1.2	3.7	0.0006	0.0228
211752_s_at	NDUFS7	869.8	663.2	1.3	4	0.0006	0.0231
213071_at	DPT	20.9	42.1	-2	-3.6	0.0006	0.0232
209651_at	TGFB1I1	114.5	226.5	-2	-3.7	0.0006	0.0232
211112_at	SLC12A4	52.5	122.5	-2.3	-4.1	0.0006	0.0233
215415_s_at	CHS1	313.7	221.2	1.4	3.7	0.0006	0.0233
209119_x_at	NR2F2	12.3	27.4	-2.2	-3.7	0.0006	0.0233
206934_at	SIRPB1	262.9	128	2.1	4	0.0006	0.0233
209003_at	SLC25A11	1154.4	987.6	1.2	3.8	0.0006	0.0233
217294_s_at	ENO1	7154.5	4880	1.5	3.9	0.0006	0.0233
218505_at	FLJ12270	722.4	984.9	-1.4	-4.1	0.0006	0.0233
206289_at	HOXA4	415.4	188.2	2.2	4	0.0006	0.0235
201243_s_at	ATP1B1	288.9	760.3	-2.6	-4.1	0.0006	0.0236
201206_s_at	RRBP1	364.5	220.5	1.7	3.9	0.0006	0.0237
202838_at	FUCA1	889.8	645.8	1.4	3.8	0.0006	0.0237
206764_x_at	MPPE1	351.8	238.1	1.5	3.9	0.0006	0.0237
212658_at	LHFPL2	485.1	861.8	-1.8	-4.1	0.0006	0.0237
200096_s_at	ATP6V0E	3068.3	2336.4	1.3	4	0.0006	0.0238
208538_at	ANP32C	11	23.9	-2.2	-3.8	0.0006	0.0238
219099_at	C12orf5	408.7	205.9	2	4	0.0006	0.0238
209386_at	TM4SF1	88.5	325.1	-3.7	-4	0.0006	0.0239
211284_s_at	GRN	4065	2112.4	1.9	4	0.0006	0.0239
218633_x_at	FLJ11342	1003.4	1386.4	-1.4	-4.1	0.0006	0.0239
210629_x_at	LST1	2590.4	1763.2	1.5	3.7	0.0006	0.0241
213903_s_at	---	22.9	48	-2.1	-3.9	0.0006	0.0241
212966_at	HIC2	373.5	277.1	1.3	3.7	0.0007	0.026
204493_at	BID	706.1	523.4	1.3	3.7	0.0007	0.0263
210755_at	HGF	203	698.1	-3.4	-3.8	0.0007	0.0263
219807_x_at	RAB4B	973.1	637.2	1.5	3.9	0.0007	0.0263
210038_at	PRKCQ	473.4	951.4	-2	-4.2	0.0007	0.0264
219296_at	ZDHHC13	337	285.5	1.2	3.6	0.0007	0.0264
208370_s_at	DSCR1	489.4	352.2	1.4	3.7	0.0007	0.0265
201061_s_at	STOM	1689.9	2965.2	-1.8	-3.9	0.0007	0.0265
221249_s_at	LOC81558	2041.5	3569.2	-1.7	-4.1	0.0007	0.0267
202257_s_at	CD2BP2	490.1	368.8	1.3	3.7	0.0007	0.0267
203344_s_at	RBBP8	811.5	661.5	1.2	3.8	0.0007	0.0267
57540_at	RBKS	498	268.6	1.9	4	0.0007	0.0268
201227_s_at	NDUFB8	2149.6	1815.2	1.2	3.8	0.0007	0.0268
203583_at	UNC50	765.5	652.7	1.2	3.7	0.0007	0.0268
221847_at	---	678.8	552.6	1.2	3.7	0.0007	0.0268
206034_at	SERPINB8	694	418.4	1.7	3.9	0.0008	0.0269
218700_s_at	RAB7L1	238.5	177.6	1.3	3.8	0.0008	0.0269
221637_s_at	MGC2477	766.5	642.5	1.2	3.8	0.0008	0.0269
222217_s_at	SLC27A3	1313.9	752	1.7	4	0.0008	0.0269
222240_s_at	ISYNA1	362.6	720.4	-2	-4	0.0008	0.0269
45749_at	FLJ13725	1416.8	1777.5	-1.3	-3.9	0.0008	0.0269
220603_s_at	MCTP2	263.9	503.8	-1.9	-4.1	0.0008	0.0269
203153_at	IFIT1	32.6	162.8	-5	-3.8	0.0008	0.0269
220994_s_at	STXBP6	16.4	72.8	-4.4	-3.6	0.0008	0.0269
41037_at	TEAD4	29.1	72.3	-2.5	-4	0.0008	0.027
33307_at	CGI-96	452.4	345.9	1.3	3.9	0.0008	0.0271
202957_at	HCLS1	6039.3	4329	1.4	3.9	0.0008	0.0271
207836_s_at	RBPMS	67.5	201.8	-3	-3.9	0.0008	0.0271
210150_s_at	LAMA5	89.7	237.9	-2.7	-4	0.0008	0.0271
214439_x_at	BIN1	287.5	664.7	-2.3	-3.9	0.0008	0.0271
221831_at	LUZP1	176.7	436.2	-2.5	-4	0.0008	0.0271
200678_x_at	GRN	7975.3	4719.8	1.7	3.9	0.0008	0.0272
217728_at	S100A6	8959.8	3604.3	2.5	4	0.0008	0.0276
204120_s_at	ADK	92.1	147.9	-1.6	-3.7	0.0008	0.0277
205316_at	SLC15A2	696.7	567.4	1.2	3.7	0.0008	0.0277
206517_at	CDH16	21.2	43.9	-2.1	-3.5	0.0008	0.0277
208338_at	P2RX3	14.8	42.6	-2.9	-3.6	0.0008	0.0277
212673_at	METAP1	1068.4	1349	-1.3	-4	0.0008	0.0277
213844_at	HOXA5	2545.2	805.4	3.2	4	0.0008	0.0277
217869_at	HSD17B12	1328.2	1882.1	-1.4	-4	0.0008	0.0277
218749_s_at	SLC24A6	660.5	496.7	1.3	3.6	0.0008	0.0277
216264_s_at	LAMB2	182.1	329.7	-1.8	-3.9	0.0008	0.0278
200884_at	CKB	161.1	360.5	-2.2	-4	0.0008	0.0278
204914_s_at	SOX11	17.4	87.4	-5	-3.6	0.0008	0.0278
211043_s_at	CLTB	633.5	466.6	1.4	3.6	0.0008	0.0278
218501_at	ARHGEF3	886.9	591.9	1.5	3.9	0.0008	0.0278
204165_at	WASF1	170.5	518	-3	-4.2	0.0008	0.0281
201583_s_at	SEC23B	1153.6	827.9	1.4	4	0.0008	0.0281
216100_s_at	LAP1B	395.6	274.2	1.4	3.8	0.0008	0.0282
201490_s_at	PPIF	1290.8	1056.8	1.2	3.6	0.0009	0.0283
205251_at	PER2	595.6	480.2	1.2	3.6	0.0009	0.0283
218890_x_at	MRPL35	549.5	414.4	1.3	3.6	0.0009	0.0283
203171_s_at	KIAA0409	634.9	533.5	1.2	3.6	0.0009	0.0286
213134_x_at	BTG3	404.7	803.4	-2	-3.9	0.0009	0.0286
38340_at	HIP1R	394.8	588.5	-1.5	-3.8	0.0009	0.0289
203769_s_at	STS	285.4	164.8	1.7	3.9	0.0009	0.0289
210608_s_at	FUT2	231.9	322.3	-1.4	-3.9	0.0009	0.0289
211581_x_at	LST1	2125	1563.2	1.4	3.6	0.0009	0.0289
218118_s_at	TIMM23	841.3	647.8	1.3	3.8	0.0009	0.0289
217897_at	FXYD6	372.3	270.9	1.4	3.6	0.0009	0.029
212766_s_at	FLJ12671	510.2	412.1	1.2	3.6	0.0009	0.029
217759_at	TRIM44	1558.4	1225.3	1.3	3.9	0.0009	0.029
203162_s_at	KATNB1	727.2	1039.5	-1.4	-3.8	0.0009	0.029
207023_x_at	KRT10	1093.7	828.2	1.3	3.7	0.0009	0.029
212748_at	MKL1	1096.1	797.9	1.4	4	0.0009	0.029
221823_at	LOC90355	158.7	323.4	-2	-4	0.0009	0.029
202349_at	DYT1	982.3	802.2	1.2	3.7	0.0009	0.0292
212066_s_at	USP34	1706.5	2118.7	-1.2	-3.9	0.0009	0.0292
202522_at	PITPNB	1683.5	1962.3	-1.2	-3.7	0.0009	0.0294
202535_at	FADD	436.6	324.7	1.3	3.6	0.0009	0.0294
203568_s_at	TRIM38	1126.4	841.4	1.3	3.8	0.0009	0.0294
219690_at	FLJ22573	913.3	599.7	1.5	3.9	0.0009	0.0295
57588_at	SLC24A3	69.3	207.3	-3	-3.9	0.0009	0.0296
204526_s_at	TBC1D8	670	461.5	1.5	3.8	0.001	0.03
202856_s_at	SLC16A3	378.7	237.3	1.6	3.7	0.001	0.0302
203518_at	CHS1	2650.7	1801.8	1.5	3.7	0.001	0.0302
219242_at	Cep63	466.2	322.8	1.4	3.8	0.001	0.0303
201119_s_at	COX8A	6229.6	4629.8	1.3	3.8	0.001	0.0305
204513_s_at	ELMO1	962.8	1433.1	-1.5	-3.6	0.001	0.0305
206283_s_at	TAL1	315.4	818.1	-2.6	-3.8	0.001	0.0305
210352_at	BRD8	42.4	98.6	-2.3	-3.9	0.001	0.0305
212519_at	UBE2E1	3098	4404.9	-1.4	-3.8	0.001	0.0305
212935_at	MCF2L	20.7	33.1	-1.6	-3.6	0.001	0.0305
213038_at	IBRDC3	531.5	377.2	1.4	3.6	0.001	0.0305
218026_at	HSPC009	1648.5	1415.7	1.2	3.7	0.001	0.0305
220326_s_at	FLJ10357	911.4	587	1.6	3.7	0.001	0.0305
221506_s_at	TNPO2	583.1	775	-1.3	-3.6	0.001	0.0305
37152_at	PPARD	157.9	67.5	2.3	3.9	0.001	0.0305
200805_at	LMAN2	907.1	677.1	1.3	3.8	0.001	0.0305
201050_at	PLD3	3834.3	678.5	5.7	4.1	0.001	0.0305
203490_at	ELF4	576.1	438.7	1.3	3.5	0.001	0.0305
206441_s_at	COMMD4	583.8	439.1	1.3	3.5	0.001	0.0305
208184_s_at	TMEM1	397.9	335.7	1.2	3.5	0.001	0.0305
208777_s_at	PSMD11	1129.9	903.6	1.3	3.8	0.001	0.0305
209976_s_at	CYP2E1	12.4	52.7	-4.3	-3.6	0.001	0.0305
216559_x_at	HNRPA1	1420.5	1976.4	-1.4	-3.9	0.001	0.0305
221139_s_at	CSAD	153.8	224.7	-1.5	-3.8	0.001	0.0305
221797_at	LOC339229	232.4	183.4	1.3	3.5	0.001	0.0305
207419_s_at	RAC2	2887.8	2088.8	1.4	3.6	0.001	0.0308
217992_s_at	EFHD2	2227.3	1580.1	1.4	3.8	0.001	0.0311
204073_s_at	C11orf9	98.1	253.2	-2.6	-3.8	0.001	0.0312
219233_s_at	GSDML	84.7	242.2	-2.9	-3.9	0.001	0.0313
203285_s_at	HS2ST1	127	200.4	-1.6	-3.9	0.0011	0.0317
208890_s_at	PLXNB2	2622	1840.7	1.4	3.5	0.0011	0.0317
219770_at	GTDC1	291.4	438.2	-1.5	-3.9	0.0011	0.032
205078_at	PIGF	484.8	415.4	1.2	3.5	0.0011	0.0321
212539_at	CHD1L	1982.3	2672.9	-1.3	-4	0.0011	0.0321
211177_s_at	TXNRD2	388.9	306.6	1.3	3.4	0.0011	0.0322
219855_at	NUDT11	30.4	76.4	-2.5	-3.6	0.0011	0.0324
202139_at	AKR7A2	1816.5	918	2	3.9	0.0011	0.0326
214293_at	---	147.4	241.8	-1.6	-3.7	0.0011	0.0326
209774_x_at	CXCL2	106.6	375.2	-3.5	-4	0.0011	0.033
217927_at	SPC12	4156.6	3396.8	1.2	3.7	0.0011	0.033
218074_at	CGI-128	1776.1	1459.4	1.2	3.8	0.0011	0.033
206170_at	ADRB2	1070.2	694	1.5	3.7	0.0011	0.0331
202931_x_at	BIN1	245.3	597.3	-2.4	-3.9	0.0012	0.0334
203610_s_at	TRIM38	790.9	595.5	1.3	3.8	0.0012	0.0334
206471_s_at	PLXNC1	308.6	197.9	1.6	3.7	0.0012	0.0334
216855_s_at	HNRPU	314.6	238.1	1.3	3.5	0.0011	0.0334
213835_x_at	GTPBP3	518.6	662.6	-1.3	-3.7	0.0012	0.0335
208680_at	PRDX1	5902.5	3618.2	1.6	3.9	0.0012	0.0337
210450_at	LOC90925	11.7	40.8	-3.5	-3.5	0.0012	0.034
215201_at	REPS1	151.5	129.8	1.2	3.4	0.0012	0.034
213733_at	MYO1F	4119.8	2652.9	1.6	3.7	0.0012	0.0341
218271_s_at	PSARL	2234.4	1664.6	1.3	3.8	0.0012	0.0343
221763_at	JMJD1C	985.4	634.8	1.6	3.8	0.0012	0.0343
214531_s_at	SNX1	392.9	295.4	1.3	3.5	0.0012	0.0344
211985_s_at	CALM1	857.1	629.6	1.4	3.6	0.0012	0.0345
222131_x_at	RHOT2	575.7	483.2	1.2	3.5	0.0012	0.0347
205824_at	HSPB2	13.2	22.5	-1.7	-3.5	0.0012	0.0348
205431_s_at	BMP5	180.9	136.5	1.3	3.5	0.0012	0.0348
220678_at	FLJ20712	10.5	15	-1.4	-3.4	0.0012	0.0351
202675_at	SDHB	825.8	635.8	1.3	3.6	0.0012	0.0352
222000_at	LOC339448	559.1	668.5	-1.2	-3.5	0.0013	0.0357
202876_s_at	PBX2	361.3	483.7	-1.3	-3.5	0.0013	0.0358
205503_at	PTPN14	73.2	146.6	-2	-3.8	0.0013	0.0358
212315_s_at	NUP210	624.3	483.3	1.3	3.5	0.0013	0.0358
213036_x_at	ATP2A3	1427.1	2337.1	-1.6	-3.8	0.0013	0.0358
211548_s_at	HPGD	60.9	366.2	-6	-3.6	0.0013	0.0361
31845_at	ELF4	1585.7	1172.3	1.4	3.5	0.0013	0.0363
203781_at	MRPL33	4842.3	2161	2.2	3.9	0.0013	0.0363
204057_at	---	2552.3	1674.3	1.5	3.6	0.0013	0.0363
212558_at	SPRY1	245.3	472.1	-1.9	-3.8	0.0013	0.0363
221692_s_at	MRPL34	949.7	631.7	1.5	3.8	0.0013	0.0363
212097_at	CAV1	37	342.5	-9.3	-3.5	0.0013	0.0364
212047_s_at	RNF167	757.2	584.5	1.3	3.6	0.0013	0.0364
220614_s_at	C6orf103	62.4	41.6	1.5	3.6	0.0013	0.0364
215447_at	TFPI	58.2	182.9	-3.1	-3.7	0.0013	0.0365
209830_s_at	SLC9A3R2	9.5	29.3	-3.1	-3.6	0.0014	0.0371
218351_at	COMMD8	1798.5	1357.6	1.3	3.6	0.0014	0.0375
218728_s_at	HSPC163	741.2	398.3	1.9	3.8	0.0014	0.0376
201648_at	JAK1	1851.6	2352.8	-1.3	-3.5	0.0014	0.0378
207134_x_at	TPSB2	810.9	3929.8	-4.8	-3.8	0.0014	0.0378
213321_at	BCKDHB	23.3	51.2	-2.2	-3.5	0.0014	0.0378
214452_at	BCAT1	68.2	192.3	-2.8	-3.9	0.0014	0.0378
209879_at	SELPLG	2713.3	1550.5	1.7	3.7	0.0014	0.0379
218001_at	MRPS2	408.5	534.6	-1.3	-3.7	0.0014	0.0379
202148_s_at	PYCR1	305	421.3	-1.4	-3.7	0.0014	0.038
35974_at	LRMP	1491.2	649.8	2.3	3.9	0.0014	0.0381
52975_at	C9orf28	581.7	268.3	2.2	3.7	0.0014	0.0381
200656_s_at	P4HB	4087.3	2724.1	1.5	3.7	0.0014	0.0381
216026_s_at	POLE	531	863.7	-1.6	-3.6	0.0014	0.0381
202351_at	ITGAV	101.2	298.9	-3	-3.9	0.0014	0.0384
205423_at	AP1B1	527.2	777	-1.5	-3.5	0.0014	0.0385
205760_s_at	OGG1	298.4	220.9	1.4	3.4	0.0015	0.0388
206284_x_at	CLTB	979.8	766.4	1.3	3.5	0.0015	0.0388
212316_at	NUP210	1900.6	1453.1	1.3	3.5	0.0015	0.0388
211495_x_at	TNFSF13 /// TNFSF12-TNFSF13	1209.6	1006	1.2	3.3	0.0015	0.0389
212877_at	KNS2	202.3	157.1	1.3	3.5	0.0015	0.0389
218858_at	DEPDC6	391.3	882.2	-2.3	-3.7	0.0015	0.0389
212582_at	OSBPL8	2488.5	1781.2	1.4	3.7	0.0015	0.0392
204755_x_at	HLF	19.1	49.8	-2.6	-3.5	0.0015	0.0393
206476_s_at	NOVA2	6.9	16.4	-2.4	-3.4	0.0015	0.0393
206563_s_at	OPRL1	117.6	87.9	1.3	3.5	0.0015	0.0393
212358_at	CLIPR-59	74.2	251.2	-3.4	-3.3	0.0015	0.0393
213848_at	DUSP7	695.7	499.8	1.4	3.5	0.0015	0.0393
213888_s_at	T3JAM	1460.4	1098.6	1.3	3.5	0.0015	0.0393
215075_s_at	GRB2	989.9	724.3	1.4	3.6	0.0015	0.0393
217827_s_at	SPG21	3182.5	2159.6	1.5	3.7	0.0015	0.0393
208608_s_at	SNTB1	389.5	278.6	1.4	3.5	0.0015	0.0393
209384_at	PROSC	1598	1226.7	1.3	3.7	0.0015	0.0396
212469_at	NIPBL	696.3	555.1	1.3	3.3	0.0015	0.0397
202242_at	TM4SF2	142.3	455.9	-3.2	-3.6	0.0015	0.04
202811_at	STAMBP	754.8	686	1.1	3.4	0.0016	0.0403
203028_s_at	CYBA	6645.8	4647.7	1.4	3.6	0.0016	0.0403
218411_s_at	MBIP	111.6	208.8	-1.9	-3.7	0.0016	0.0403
219762_s_at	RPL36	7082.9	9934.6	-1.4	-3.8	0.0016	0.0403
210762_s_at	DLC1	248	749.8	-3	-3.7	0.0016	0.0404
91703_at	EHBP1L1	756.6	560	1.4	3.4	0.0016	0.0405
207697_x_at	LILRB2	1636	773.5	2.1	3.6	0.0016	0.0405
204774_at	EVI2A	2196	1736.1	1.3	3.4	0.0016	0.0407
212549_at	STAT5B	1146.6	1481.2	-1.3	-3.7	0.0016	0.0407
204927_at	C11orf13	394.6	298.4	1.3	3.4	0.0016	0.0407
208983_s_at	PECAM1	1875	1278.5	1.5	3.4	0.0016	0.0407
211168_s_at	RENT1	637	522.6	1.2	3.6	0.0016	0.0407
212910_at	THAP11	606.3	498.2	1.2	3.6	0.0016	0.0407
215034_s_at	TM4SF1	46.8	166.8	-3.6	-3.7	0.0016	0.0407
214259_s_at	AKR7A2	1938.1	1131.2	1.7	3.8	0.0016	0.0407
201954_at	ARPC1B	6140.3	4212.1	1.5	3.6	0.0016	0.041
207378_at	TREH	7.5	17.5	-2.3	-3.5	0.0016	0.041
205472_s_at	DACH1	381.3	52.7	7.2	3.8	0.0016	0.0412
203139_at	DAPK1	938.3	1652.7	-1.8	-3.7	0.0016	0.0413
201440_at	DDX23	585.3	427.8	1.4	3.5	0.0017	0.0416
222236_s_at	UPLC1	34.3	72.3	-2.1	-3.5	0.0017	0.0416
200715_x_at	RPL13A	13127.5	17961.1	-1.4	-3.7	0.0017	0.0417
202859_x_at	IL8	853.3	3866.3	-4.5	-3.6	0.0017	0.0417
203407_at	PPL	18.6	43.6	-2.3	-3.4	0.0017	0.0417
203974_at	HDHD1A	882.4	444.9	2	3.8	0.0017	0.0417
204114_at	NID2	63.4	188.2	-3	-3.7	0.0017	0.0417
208679_s_at	ARPC2	8883	6919.6	1.3	3.6	0.0017	0.0417
209490_s_at	PPT2	362.2	564.2	-1.6	-3.7	0.0017	0.0417
210152_at	LILRB4	411.5	251.7	1.6	3.5	0.0017	0.0417
211922_s_at	CAT	7270.4	4473.2	1.6	3.6	0.0017	0.0417
211984_at	CALM1	1425.6	1034.6	1.4	3.7	0.0017	0.0417
215784_at	CD1E	16.8	61	-3.6	-3.5	0.0017	0.0417
217512_at	---	162.1	125.7	1.3	3.4	0.0017	0.0417
221578_at	RASSF4	436.1	209.2	2.1	3.6	0.0017	0.0417
204285_s_at	PMAIP1	530.8	1253.5	-2.4	-3.7	0.0017	0.0418
200991_s_at	SNX17	1244	979.7	1.3	3.5	0.0017	0.0418
201601_x_at	IFITM1	913.5	1761.4	-1.9	-3.6	0.0017	0.0418
203767_s_at	STS	248.1	114.2	2.2	3.7	0.0017	0.0418
216041_x_at	GRN	7063.2	4110.9	1.7	3.6	0.0017	0.0419
203280_at	SAFB2	371	309.4	1.2	3.3	0.0018	0.0423
204548_at	STAR	685.6	274.6	2.5	3.6	0.0018	0.0423
219411_at	ELMO3	143.2	86.1	1.7	3.6	0.0017	0.0423
206208_at	CA4	17.6	44.5	-2.5	-3.6	0.0018	0.0424
203978_at	NUBP1	603.3	520.3	1.2	3.4	0.0018	0.0424
201830_s_at	NET1	240.8	629.4	-2.6	-3.5	0.0018	0.0425
204937_s_at	ZNF274	632.9	911.9	-1.4	-3.6	0.0018	0.0425
201587_s_at	IRAK1	2405.6	1813.4	1.3	3.6	0.0018	0.0428
210950_s_at	FDFT1	2781.8	3663.4	-1.3	-3.6	0.0018	0.0428
213278_at	MTMR9	410.8	319.2	1.3	3.6	0.0018	0.0428
218295_s_at	NUP50	489	370.9	1.3	3.4	0.0018	0.0428
220945_x_at	MANSC1	89.4	169.2	-1.9	-3.5	0.0018	0.0429
221081_s_at	FLJ22457	567.9	407.9	1.4	3.4	0.0018	0.043
203322_at	KIAA0863	327.7	469.7	-1.4	-3.4	0.0018	0.0433
203561_at	FCGR2A	974.3	530.5	1.8	3.5	0.0018	0.0433
221889_at	KCTD13	368.8	297	1.2	3.3	0.0018	0.0433
210419_at	BARX2	37.2	75.4	-2	-3.5	0.0018	0.0434
208796_s_at	CCNG1	1672.3	2677	-1.6	-3.7	0.0018	0.0434
202958_at	PTPN9	799.2	618.1	1.3	3.6	0.0019	0.0436
205606_at	LRP6	61.2	139.7	-2.3	-3.4	0.0019	0.0436
209583_s_at	CD200	279.4	703.7	-2.5	-3.7	0.0019	0.0437
211101_x_at	LILRA2	2300.4	1408.6	1.6	3.5	0.0019	0.0437
218231_at	NAGK	1677.9	1338.4	1.3	3.5	0.0019	0.0437
218459_at	TOR3A	765.3	621.3	1.2	3.4	0.0019	0.0437
219378_at	FLJ22054	465.9	592	-1.3	-3.4	0.0019	0.0437
200774_at	C9orf10	4828.5	3939.7	1.2	3.6	0.0019	0.0438
221737_at	GNA12	352.7	262.2	1.3	3.4	0.0019	0.0438
222218_s_at	PILRA	1029.1	543	1.9	3.5	0.0019	0.0438
205312_at	SPI1	1777.7	1172.9	1.5	3.4	0.0019	0.0439
40016_g_at	KIAA0303	353.1	738.2	-2.1	-3.7	0.0019	0.0439
205200_at	TNA	202.4	83.5	2.4	3.6	0.0019	0.0439
213427_at	RPP40	453.8	621.1	-1.4	-3.6	0.0019	0.0439
205944_s_at	CLTCL1	580.9	298.8	1.9	3.6	0.0019	0.0445
205529_s_at	CBFA2T1	112.8	730.6	-6.5	-3.2	0.0019	0.0445
210340_s_at	CSF2RA	218.2	169.4	1.3	3.3	0.0019	0.0445
210692_s_at	SLC43A3	807.2	648.5	1.2	3.3	0.0019	0.0446
220507_s_at	UPB1	133.4	48.9	2.7	3.7	0.0019	0.0446
201642_at	IFNGR2	3964.8	2337.6	1.7	3.7	0.0019	0.0446
201818_at	FLJ12443	635.1	446.8	1.4	3.4	0.002	0.0446
202633_at	TOPBP1	1052.6	910.2	1.2	3.4	0.002	0.0447
210528_at	MR1	102.9	86.8	1.2	3.3	0.002	0.0452
221267_s_at	C19orf27	2505.9	1815.6	1.4	3.6	0.002	0.0452
214097_at	RPS21	572.8	839.1	-1.5	-3.5	0.002	0.0457
219806_s_at	FN5	839	500.6	1.7	3.5	0.002	0.0457
203906_at	IQSEC1	471.3	367.7	1.3	3.3	0.002	0.0459
219706_at	C20orf29	418.1	511.4	-1.2	-3.4	0.002	0.0461
217023_x_at	TPSAB1	664.5	3471.5	-5.2	-3.6	0.002	0.0462
214735_at	PIP3-E	275.6	179.5	1.5	3.5	0.0021	0.0464
200703_at	DNCL1	4979	4051.4	1.2	3.4	0.0021	0.0466
201151_s_at	MBNL1	1103.2	754.2	1.5	3.5	0.0021	0.0466
208557_at	HOXA6	530.2	229.2	2.3	3.6	0.0021	0.0466
213137_s_at	PTPN2	778.4	588.9	1.3	3.6	0.0021	0.0467
211067_s_at	GAS7	1195.6	623.1	1.9	3.6	0.0021	0.047
215442_s_at	TSHR	7.1	26	-3.7	-3.4	0.0021	0.047
217352_at	---	75.8	56.6	1.3	3.4	0.0021	0.047
213682_at	NUP50	1205.6	1540.5	-1.3	-3.5	0.0021	0.0471
201392_s_at	IGF2R	349	151.2	2.3	3.5	0.0021	0.0473
211368_s_at	CASP1	1102.6	755.1	1.5	3.4	0.0021	0.0473
221593_s_at	RPL31	499.3	696.6	-1.4	-3.5	0.0021	0.0473
58696_at	EXOSC4	758.5	617.2	1.2	3.4	0.0021	0.0475
209571_at	CIR	229.1	304.6	-1.3	-3.2	0.0021	0.0475
212314_at	KIAA0746	1233.1	672.2	1.8	3.5	0.0022	0.0476
219222_at	RBKS	656	398.6	1.6	3.5	0.0022	0.0476
209487_at	RBPMS	56.8	205.3	-3.6	-3.5	0.0022	0.0477
213792_s_at	---	1298.5	530.2	2.4	3.6	0.0022	0.0477
211734_s_at	FCER1A	257	1241.9	-4.8	-3.4	0.0022	0.0477
201566_x_at	ID2	505.4	265.4	1.9	3.5	0.0022	0.0478
217363_x_at	---	390.4	316.8	1.2	3.3	0.0022	0.0478
200800_s_at	HSPA1A /// HSPA1B	1664.1	1228	1.4	3.4	0.0022	0.0479
201028_s_at	CD99	3638	6486.8	-1.8	-3.5	0.0022	0.0479
204186_s_at	PPID	786.5	626.6	1.3	3.3	0.0022	0.0479
206115_at	EGR3	113.4	213.9	-1.9	-3.4	0.0022	0.0479
208073_x_at	TTC3	2716	4189.5	-1.5	-3.7	0.0022	0.0479
219734_at	SIDT1	139.8	252.6	-1.8	-3.5	0.0022	0.0479
203907_s_at	IQSEC1	649.4	489.5	1.3	3.3	0.0022	0.0483
206627_s_at	SSX1	4.3	13.8	-3.2	-3.4	0.0022	0.0483
208801_at	SRP72	2412.6	2905.1	-1.2	-3.5	0.0022	0.0483
210458_s_at	TANK	98.8	70.3	1.4	3.3	0.0022	0.0483
212099_at	RHOB	855.2	2459.8	-2.9	-3.5	0.0022	0.0483
212858_at	PAQR4	602.2	456.5	1.3	3.4	0.0022	0.0483
