Probe Set	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	L1.24h._Signal	L3.24h_Signal	L4.24h_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
215053_at	SRCAP	0.018464	Snf2-related CBP activator protein	regulation of transcription, DNA-dependent	DNA binding	nucleus			-0.13	-0.84	-1.16	0.32	1.05	0.8
215117_at	RAG2	0.044122	recombination activating gene 2	DNA recombination	DNA binding	nucleus			0.07	-0.77	-0.96	0.18	0.56	0.95
215150_at	DKFZp451J1719	0.024181	hypothetical DKFZp451J1719						-1.02	-0.86	0.03	0.88	0.4	0.64
215367_at	KIAA1614	0.038307	KIAA1614 protein						-0.91	-0.74	-0.62	0.52	-0.04	1.54
215433_at	KIAA0877	0.021845	KIAA0877 protein						-0.38	-0.54	-0.55	-0.04	0.74	0.74
215452_x_at	SUMO2	0.021441	SMT3 suppressor of mif two 3 homolog 2 (yeast)						-0.84	-0.09	-0.59	0.24	0.48	0.82
215457_at	---	0.047639	Clone 24438 mRNA sequence						-0.42	-0.91	-1.12	-0.28	1.31	1.23
215578_at	---	0.005122	CDNA FLJ11662 fis, clone HEMBA1004629						-0.95	-1.15	-1.06	0.33	1.08	1.58
215780_s_at	SET	0.022968	SET translocation (myeloid leukemia-associated)	DNA replication	DNA binding	nucleus			-1.62	-0.39	-1.26	1.58	0.11	1.48
215877_at	C14orf56	0.009906	chromosome 14 open reading frame 56						-0.77	-0.19	-0.34	0.37	0.37	0.58
216008_s_at	ARIH2	0.025963	ariadne homolog 2 (Drosophila)	development	nucleic acid binding	nucleus			-1.16	-0.63	-0.85	1.67	0.13	0.57
216067_at	---	0.026757	CDNA FLJ11624 fis, clone HEMBA1004193						-0.99	0.1	-1.26	0.98	0.77	0.54
216211_at	---	0.00253	MRNA; cDNA DKFZp564A023 (from clone DKFZp564A023)						-0.43	-0.4	-0.21	0.49	0.33	0.22
216300_x_at	RARA	0.021689	retinoic acid receptor, alpha	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	Nuclear_Receptors	GENMAPP/KEGG	-0.31	-0.62	-1.07	0.26	0.49	1.21
216626_at	---	0.011938							-0.87	-0.96	-0.73	0.47	0.38	1.53
216901_s_at	ZNFN1A1	0.030464	zinc finger protein, subfamily 1A, 1 (Ikaros)	regulation of transcription, DNA-dependent	DNA binding	nucleus			-0.58	-0.21	-0.94	0.01	0.83	0.87
216902_s_at	RRN3	0.042462	RNA polymerase I transcription factor RRN3	transcription from Pol I promoter	RNA polymerase I transcription factor activity				-0.45	-0.53	-0.32	0.96	0.05	0.21
217124_at	KIAA1023	0.001232	KIAA1023 protein						-0.75	-0.57	-0.44	0.61	0.76	0.38
217208_s_at	DLG1	0.047851	discs, large homolog 1 (Drosophila)	PDZ;intracellular signaling cascade;6e-28	guanylate kinase activity	cytoplasm			-1.04	-0.34	0.03	0.62	0.31	0.48
217460_at	TNP2	0.009209	transition protein 2 (during histone to protamine replacement)	DNA packaging	DNA binding	nucleosome			-0.16	-1.08	-0.78	0.88	0.68	0.52
217576_x_at	SOS2	0.019582	son of sevenless homolog 2 (Drosophila)	small GTPase mediated signal transduction	guanyl-nucleotide exchange factor activity				-0.06	-0.09	-0.03	0.1	0.06	0.02
217656_at	---	0.008156	Transcribed sequences						-0.77	-1.24	-0.19	0.84	0.77	0.69
217672_x_at	SUI1	0.037809	putative translation initiation factor	translational initiation	translation initiation factor activity	cytoplasm	Translation_Factors	GENMAPP/KEGG	-0.75	-0.53	-1.16	1.57	0.71	-0.07
217948_at	CXX1	0.024235	CAAX box 1			membrane			-0.61	-0.48	-0.3	0.28	0.14	0.93
217972_at	CHCHD3	0.039676	coiled-coil-helix-coiled-coil-helix domain containing 3			mitochondrion			-0.53	-0.46	-0.39	0.37	-0.04	0.98
218049_s_at	MRPL13	0.041028	mitochondrial ribosomal protein L13	protein biosynthesis	structural constituent of ribosome	intracellular			-0.41	-0.38	-0.29	-0.03	0.29	0.78
218056_at	BFAR	0.027943	bifunctional apoptosis regulator	anti-apoptosis	structural molecule activity	membrane fraction			-0.45	-0.89	-0.02	0.67	0.36	0.37
218118_s_at	TIMM23	0.047761	translocase of inner mitochondrial membrane 23 homolog (yeast)	protein-mitochondrial targeting	protein translocase activity	mitochondrion			-0.7	-0.99	-0.67	1.28	-0.33	1.19
218135_at	PTX1	0.013812	PTX1 protein						-0.64	-0.47	-1.3	0.98	1.19	0.24
218166_s_at	HBXAP	0.000124	hepatitis B virus x associated protein	regulation of transcription, DNA-dependent	DNA binding				-0.65	-0.45	-0.44	0.49	0.53	0.52
218238_at	GTPBP4	0.014352	GTP binding protein 4		GTP binding	nucleus			-0.45	-0.46	-0.01	0.31	0.3	0.32
218244_at	NOL8	0.013003	nucleolar protein 8						-0.96	-0.16	-0.54	0.47	0.81	0.41
218327_s_at	SNAP29	0.048219	synaptosomal-associated protein, 29kDa	intracellular protein transport	SNAP receptor activity	plasma membrane			-0.91	-0.37	-0.16	0.37	0.09	0.97
218359_at	C20orf98	0.010515	chromosome 20 open reading frame 98			integral to membrane			-0.29	-1.45	-0.67	1.06	0.61	0.88
218516_s_at	FLJ20421	0.00699	hypothetical protein FLJ20421		inositol/phosphatidylinositol phosphatase activity				-0.83	-0.57	-0.34	0.32	0.5	0.92
218748_s_at	SEC10L1	0.013653	SEC10-like 1 (S. cerevisiae)						-0.53	-0.53	-0.85	1.11	0.6	0.14
218786_at	TU12B1-TY	0.015113	TU12B1-TY protein						-0.56	-0.57	-0.18	0.7	0.49	0.11
218791_s_at	FLJ22557	0.014665	hypothetical protein FLJ22557						-0.98	-0.23	-0.41	0.76	0.3	0.59
218802_at	FLJ20647	0.048679	hypothetical protein FLJ20647						-0.25	-0.41	-1.01	1.14	0.05	0.44
218859_s_at	C20orf6	0.006448	chromosome 20 open reading frame 6						-0.92	-0.4	-0.5	0.42	0.45	0.94
218945_at	MGC2654	0.021982	hypothetical protein MGC2654						-0.31	-0.54	-0.83	0.02	0.75	0.87
218947_s_at	PAPD1	0.038901	PAP associated domain containing 1		nucleic acid binding				-0.83	-0.46	-0.05	0.59	0.07	0.69
219207_at	FLJ21128	0.045048	hypothetical protein FLJ21128						-1.56	-0.26	-0.24	0.9	0.28	1.08
219221_at	FLJ35036	0.021782	hypothetical protein FLJ35036		nucleic acid binding	nucleus			-0.56	-0.26	-0.58	0.62	0.75	0
219275_at	PDCD5	0.008716	programmed cell death 5	apoptosis					-0.33	-0.38	-0.2	0.29	0.5	0.11
219420_s_at	FLJ12439	0.011582	hypothetical protein FLJ12439						-1.22	-0.47	-0.85	1.04	1.23	0.22
219473_at	GDAP2	0.001823	ganglioside induced differentiation associated protein 2						-0.81	-0.73	-0.73	0.38	0.77	1.07
219524_s_at	C20orf7	0.026987	chromosome 20 open reading frame 7						-0.21	-0.58	-0.14	0.45	0.07	0.41
219598_s_at	RWDD1	0.042139	RWD domain containing 1						-0.82	-0.57	-0.16	0.55	-0.02	0.98
219650_at	FLJ20105	0.035136	hypothetical protein FLJ20105						-1.02	-0.96	-0.53	0.03	0.55	1.65
219766_at	MGC4093	0.041705	hypothetical protein MGC4093						-0.38	-1.29	-0.93	-0.18	1.47	1.13
219785_s_at	FBXO31	0.044118	F-box protein 31						-1.11	0.29	-1.16	0.65	0.75	0.76
219819_s_at	MRPS28	0.044537	mitochondrial ribosomal protein S28		RNA binding	mitochondrion			-0.52	-0.91	-0.28	0.34	0.08	1.2
219918_s_at	ASPM	0.011422	asp (abnormal spindle)-like, microcephaly associated (Drosophila)						-0.78	-1.28	-0.73	0.16	1.16	1.36
220162_s_at	CARD9	0.047178	caspase recruitment domain family, member 9	regulation of apoptosis	protein binding	intracellular			0.09	-0.54	-0.84	0.42	0.2	0.7
220633_s_at	HP1-BP74	0.046593	HP1-BP74	nucleosome assembly	DNA binding	nucleosome			-1.09	-0.73	-1.36	1.68	1.51	-0.42
220643_s_at	FAIM	0.01408	Fas apoptotic inhibitory molecule	apoptosis					-0.06	-0.74	-0.54	0.6	0.42	0.34
220658_s_at	ARNTL2	0.038471	aryl hydrocarbon receptor nuclear translocator-like 2	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-1.43	-0.3	-0.57	1.29	0.05	0.97
220682_s_at	KLHL5	0.021292	kelch-like 5 (Drosophila)	actin cytoskeleton organization and biogenesis	actin binding	cytoskeleton			-0.28	-1.01	-0.85	1.14	0.09	0.87
220776_at	KCNJ14	0.048836	potassium inwardly-rectifying channel, subfamily J, member 14	potassium ion transport	ion channel activity	voltage-gated potassium channel complex			-0.5	-0.03	-0.23	0.35	0.39	0.02
220865_s_at	TPRT	0.034601	trans-prenyltransferase	isoprenoid biosynthesis	transferase activity				-0.08	-0.52	-0.49	0.04	0.37	0.67
220965_s_at	RSHL1	0.004972	radial spokehead-like 1						-0.33	-0.52	-0.42	0.19	0.39	0.67
221223_x_at	CISH	0.037746	cytokine inducible SH2-containing protein	regulation of cell growth					-1.05	0.06	-0.62	0.69	0.74	0.25
221258_s_at	DKFZP434G2226	0.017865	kinesin family member 18A		motor activity	microtubule associated complex			-0.4	-1.64	-0.45	1.22	0.59	0.88
221264_s_at	TARDBP	0.01331	TAR DNA binding protein	nuclear mRNA splicing, via spliceosome	transcription factor activity	nucleus			-0.04	-0.39	-0.4	0.24	0.21	0.4
221384_at	UCP1	0.038764	uncoupling protein 1 (mitochondrial, proton carrier)	energy pathways	transporter activity	membrane fraction	Electron_Transport_Chain	GENMAPP/KEGG	0.17	-1.26	-1.12	0.5	0.66	1.18
221434_s_at	DC50	0.006942	hypothetical protein DC50		rrm;nucleic acid binding;7.1e-15				-1.28	-0.32	-0.87	0.65	0.7	1.17
221437_s_at	MRPS15	0.042538	mitochondrial ribosomal protein S15	protein biosynthesis	structural constituent of ribosome	intracellular			-0.31	-0.82	-0.87	0.44	1.38	0.03
221647_s_at	RIC-8	0.038359	likely ortholog of mouse synembryn						0	-0.65	-0.25	0.26	0.22	0.44
221685_s_at	FLJ20364	0.002424	hypothetical protein FLJ20364						-0.67	-0.32	-0.82	0.75	0.63	0.42
221692_s_at	MRPL34	0.035997	mitochondrial ribosomal protein L34	protein biosynthesis	structural constituent of ribosome	intracellular			-0.49	-0.37	-0.46	0.97	0.1	0.19
221727_at	PC4	0.008273	activated RNA polymerase II transcription cofactor 4	transcription	single-stranded DNA binding	nucleus			-0.69	-0.32	-0.37	0.65	0.16	0.56
221734_at	LOC133619	0.046313	hypothetical protein MGC12103						-1.28	0.16	-1.24	1.24	0.23	0.99
222077_s_at	RACGAP1	0.033872	Rac GTPase activating protein 1	electron transport	electron transporter activity				-0.47	-0.07	-0.57	0.59	0.5	0.02
222145_at	---	0.006639	CDNA: FLJ23572 fis, clone LNG12403						-0.25	-0.79	-1.11	0.48	0.81	0.91
222180_at	---	0.024337	CDNA FLJ14122 fis, clone MAMMA1002033						-0.98	-0.28	-0.38	0.98	0.35	0.3
222216_s_at	MRPL17	0.022329	mitochondrial ribosomal protein L17	protein biosynthesis	structural constituent of ribosome	intracellular			-1.01	-0.5	-0.4	0.18	1.18	0.51
222227_at	ZNF236	0.007917	zinc finger protein 236	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-0.82	-0.77	-0.6	0.16	1.11	0.85
222263_at	SLC35E1	0.043213	solute carrier family 35, member E1	transport		integral to membrane			-0.33	-0.3	-0.26	0.56	0.42	-0.1
33307_at	CGI-96	0.013118	CGI-96 protein						-0.71	-0.33	-0.42	0.17	0.42	0.85
37512_at	RODH	0.003987	3-hydroxysteroid epimerase	androgen biosynthesis	electron transporter activity				-0.52	-0.25	-0.17	0.34	0.32	0.3
52005_at	WIZ	0.017206	widely-interspaced zinc finger motifs		nucleic acid binding	nucleus			-1.15	-0.09	-0.88	0.42	1.03	0.73
81737_at	---	0.008041	CDNA FLJ43323 fis, clone NT2RI2028213						-0.93	-1.17	-0.23	0.49	1	0.89
1431_at	CYP2E1	0.017191	cytochrome P450, family 2, subfamily E, polypeptide 1	electron transport	monooxygenase activity	endoplasmic reticulum	Fatty acid metabolism	GENMAPP/KEGG	0.31	0.74	0.2	-0.53	-0.58	-0.15
200905_x_at	HLA-E	0.016458	major histocompatibility complex, class I, E	immune response	MHC class I receptor activity	integral to membrane	Proteasome_Degradation	GENMAPP/KEGG	0.31	0.1	0.25	-0.19	-0.08	-0.39
200919_at	PHC2	0.041122	polyhomeotic-like 2 (Drosophila)		protein binding	nucleus			0.53	0.18	0.01	-0.27	-0.14	-0.32
200928_s_at	RAB14	0.038644	RAB14, member RAS oncogene family	small GTPase mediated signal transduction	GTPase activity				0.1	0.69	0.89	-0.22	-0.33	-1.1
201056_at	---	0.047805	MRNA; cDNA DKFZp686F09142 (from clone DKFZp686F09142)						0.03	0.2	0.87	-0.29	-0.51	-0.34
201208_s_at	TNFAIP1	0.018092	tumor necrosis factor, alpha-induced protein 1 (endothelial)	potassium ion transport	voltage-gated potassium channel activity	voltage-gated potassium channel complex			1.35	0.59	0.64	-1.46	-0.86	-0.19
201598_s_at	INPPL1	0.00017	inositol polyphosphate phosphatase-like 1	DNA repair	inositol/phosphatidylinositol phosphatase activity		Inositol phosphate metabolism	GENMAPP/KEGG	0.48	0.33	0.54	-0.41	-0.48	-0.46
201733_at	CLCN3	0.013282	chloride channel 3	chloride transport	voltage-gated chloride channel activity	membrane			0.97	0.66	0.69	-0.9	-0.08	-1.23
201815_s_at	TBC1D5	0.03603	TBC1 domain family, member 5		GTPase activator activity				0.18	1.13	0.21	-0.79	-0.39	-0.43
201982_s_at	PAPPA	0.038443	pregnancy-associated plasma protein A	proteolysis and peptidolysis	metallopeptidase activity	extracellular space			1.64	-0.26	1.27	-1.21	-1.17	-0.57
202023_at	EFNA1	0.045862	ephrin-A1	cell-cell signaling	ephrin receptor binding	integral to plasma membrane			1.02	0.07	0.36	-0.68	-0.71	-0.1
202058_s_at	KPNA1	0.024009	karyopherin alpha 1 (importin alpha 5)	regulation of DNA recombination	protein binding	nucleus			0.19	0.22	0.08	-0.27	-0.01	-0.21
202061_s_at	SEL1L	0.0298	sel-1 suppressor of lin-12-like (C. elegans)			integral to membrane			0.83	0.03	0.59	-0.54	-0.17	-0.76
202098_s_at	HRMT1L1	0.043267	HMT1 hnRNP methyltransferase-like 1 (S. cerevisiae)	protein amino acid methylation	signal transducer activity	nucleus			1.06	0.14	0.18	-0.7	-0.27	-0.48
202293_at	STAG1	0.034653	stromal antigen 1	cell cycle		nucleus			0.83	0.14	0.3	-0.3	-0.21	-0.77
202400_s_at	SRF	0.025327	serum response factor (c-fos serum response element-binding transcription factor)	regulation of transcription from Pol II promoter	transcription factor activity	nucleus			1.3	0.58	0.63	-0.08	-0.8	-1.49
202480_s_at	DEDD	0.034896	death effector domain containing	regulation of transcription, DNA-dependent	DNA binding	nucleolus			0.25	0.71	0.27	-0.79	-0.05	-0.38
202525_at	PRSS8	0.011598	protease, serine, 8 (prostasin)	proteolysis and peptidolysis	chymotrypsin activity	extracellular space			1.59	0.75	0.29	-0.74	-0.82	-1.23
202529_at	PRPSAP1	0.029202	phosphoribosyl pyrophosphate synthetase-associated protein 1	nucleoside metabolism	enzyme inhibitor activity				0.1	0.9	0.22	-0.41	-0.44	-0.41
202575_at	CRABP2	0.049003	cellular retinoic acid binding protein 2		lipocalin;transporter activity;1.1e-29				0.99	-0.07	1.29	-0.34	-0.48	-1.41
202772_at	HMGCL	0.043501	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	energy pathways	hydroxymethylglutaryl-CoA lyase activity	mitochondrial matrix	Synthesis and degradation of ketone bodies	GENMAPP/KEGG	0.5	0.27	0.29	-0.6	0.11	-0.54
202809_s_at	FLJ21919	0.018596	hypothetical protein FLJ21919						0.96	0.03	0.66	-0.44	-0.5	-0.75
202910_s_at	CD97	0.049038	CD97 antigen				GPCRs_Class_B_Secretin-like	GENMAPP/KEGG	0.99	1.09	-0.01	-0.87	-0.02	-1.17
203118_at	PCSK7	0.041547	proprotein convertase subtilisin/kexin type 7	proteolysis and peptidolysis	subtilase activity	integral to Golgi membrane			0.1	0.45	0.98	-0.12	-0.5	-0.92
203227_s_at	SAS	0.029858	sarcoma amplified sequence	positive regulation of cell proliferation		membrane fraction			0.05	0.47	0.73	-0.16	-0.4	-0.69
203286_at	RNF44	0.02293	ring finger protein 44						0.81	0.74	0.24	-1.11	-0.43	-0.2
203330_s_at	STX5A	0.035234	syntaxin 5A	transport	protein transporter activity	Golgi apparatus			0.61	0.25	0.23	-0.48	-0.62	0.02
203408_s_at	SATB1	0.013507	special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)	establishment and/or maintenance of chromatin architecture	double-stranded DNA binding	nucleus			1.02	0.16	0.85	-0.6	-1.04	-0.41
203630_s_at	COG5	0.041791	component of oligomeric golgi complex 5	intracellular protein transport	protein transporter activity	membrane			0.36	0.12	0.35	-0.61	-0.05	-0.17
203648_at	KIAA0218	0.035472	KIAA0218 gene product		nuclease activity				0.25	0.01	0.39	-0.35	-0.24	-0.07
203842_s_at	MAPRE3	0.011028	microtubule-associated protein, RP/EB family, member 3		small GTPase regulatory/interacting protein activity				0.57	0.96	0.24	-0.88	-0.31	-0.6
203861_s_at	ACTN2	0.014507	actinin, alpha 2		actin binding	cytoskeleton			0.83	0.14	0.87	-0.79	-0.81	-0.26
203894_at	TUBG2	0.018047	tubulin, gamma 2						0.84	0.39	0.59	-0.58	-1.07	-0.1
203928_x_at	MAPT	0.016564	microtubule-associated protein tau	apoptosis	structural constituent of cytoskeleton	cytosol			1.07	0.56	0.25	-1.03	-0.31	-0.56
204287_at	SYNGR1	0.035019	synaptogyrin 1			integral to plasma membrane			0.96	0.14	0.42	-0.83	-0.6	-0.1
204346_s_at	RASSF1	0.003659	Ras association (RalGDS/AF-6) domain family 1	neuropeptide signaling pathway					0.73	0.84	0.22	-0.5	-0.64	-0.69
204406_at	FLT1	0.034337	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	angiogenesis	receptor activity	extracellular space			-0.22	0.99	1.91	-1.13	-1.06	-0.97
204557_s_at	DZIP1	0.004808	DAZ interacting protein 1		nucleic acid binding	nucleus			1.05	0.42	1.81	-1.17	-1.17	-1.19
204586_at	BSN	0.029414	bassoon (presynaptic cytomatrix protein)	synaptic transmission	structural constituent of cytoskeleton	nucleus			1.38	1.22	-0.2	-1	-0.75	-0.89
204606_at	CCL21	0.033425	chemokine (C-C motif) ligand 21	chemotaxis	chemokine activity	extracellular			1.01	0.02	0.88	-0.44	-1.14	-0.34
204623_at	TFF3	0.048943	trefoil factor 3 (intestinal)						0.69	0.48	0.37	-1.1	-0.43	0.08
204636_at	COL17A1	0.043777	collagen, type XVII, alpha 1		extracellular matrix structural constituent	extracellular matrix			-0.08	1.4	0.87	-0.92	-0.23	-1.14
204658_at	TRA2A	0.002169	transformer-2 alpha	nuclear mRNA splicing, via spliceosome	RNA binding	nucleus			0.67	0.49	0.52	-0.84	-0.43	-0.37
204732_s_at	ARFD1	0.03405	ADP-ribosylation factor domain protein 1, 64kDa	small GTPase mediated signal transduction	GTPase activity	intracellular			0.43	0.77	0.46	-0.28	-0.13	-1.17
204741_at	BICD1	0.011148	Bicaudal D homolog 1 (Drosophila)			Golgi apparatus			0.63	0.8	1.12	-0.14	-1.05	-1.27
204836_at	GLDC	0.025976	glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P)	glycine catabolism	glycine dehydrogenase (decarboxylating) activity	mitochondrion	Glycine, serine and threonine metabolism	GENMAPP/KEGG	0.38	0.74	0.81	0.03	-1.13	-0.74
204853_at	ORC2L	0.025421	origin recognition complex, subunit 2-like (yeast)	negative regulation of transcription from Pol II promoter	DNA replication origin binding	origin of replication recognition complex	Cell_cycle	GENMAPP/KEGG	0.51	0	0.47	-0.17	-0.51	-0.31
205121_at	SGCB	0.045202	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	cytoskeleton organization and biogenesis		cytoskeleton			1.23	1.57	-0.37	-0.95	-0.79	-1.02
205137_x_at	USH1C	0.037104	Usher syndrome 1C (autosomal recessive, severe)	intracellular signaling cascade	protein binding				0.69	0.05	1.48	-1.29	-0.37	-0.69
205152_at	SLC6A1	0.049869	solute carrier family 6 (neurotransmitter transporter, GABA), member 1	neurotransmitter transport	gamma-aminobutyric acid transporter activity	membrane fraction			1.09	0.21	0.37	-0.03	-0.58	-1.05
205163_at	HUMMLC2B	0.003526	myosin light chain 2		calcium ion binding	muscle myosin			0.54	1.01	1.29	-1.12	-1.2	-0.52
205168_at	DDR2	0.031912	discoidin domain receptor family, member 2	protein amino acid phosphorylation	transmembrane receptor protein tyrosine kinase activity	integral to plasma membrane			0.28	1.01	0.89	-0.06	-0.65	-1.35
205181_at	ZNF193	0.049201	zinc finger protein 193	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.18	0.91	0.47	-0.71	0.08	-0.91
205200_at	TNA	0.012147	tetranectin (plasminogen binding protein)	skeletal development	sugar binding	extracellular matrix			0.42	0.2	0.98	-0.43	-0.71	-0.5
205319_at	PSCA	0.032945	prostate stem cell antigen			plasma membrane			1.28	1.07	-0.1	-0.84	-0.38	-1.14
205374_at	SLN	0.012122	sarcolipin	transport	enzyme regulator activity	smooth endoplasmic reticulum			0.81	0.25	1.23	-0.59	-0.54	-1.19
205444_at	ATP2A1	0.008761	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	transport	magnesium ion binding	smooth endoplasmic reticulum			0.37	0.11	0.36	-0.17	-0.44	-0.24
205581_s_at	NOS3	0.005696	nitric oxide synthase 3 (endothelial cell)		1.14.13.39;nitric-oxide synthase activity;1e-300		Arginine and proline metabolism	GENMAPP/KEGG	1.2	0.84	0.31	-1.06	-0.76	-0.58
205589_at	MYL3	0.0314	myosin, light polypeptide 3, alkali; ventricular, skeletal, slow						1.92	0.44	0.13	-1.05	-0.83	-1.08
205601_s_at	HOXB5	0.009538	homeo box B5	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1	0.45	0.21	-0.68	-0.53	-0.5
205671_s_at	HLA-DOB	0.023099	major histocompatibility complex, class II, DO beta	immune response	MHC class II receptor activity	integral to membrane			1.23	0.77	0.07	-0.89	-0.95	-0.32
205754_at	F2	0.03698	coagulation factor II (thrombin)	regulation of cell cycle	thrombin activity	extracellular space	Blood_Clotting_Cascade	GENMAPP/KEGG	1	0.68	0.09	-1.13	-0.29	-0.34
205765_at	CYP3A5	0.019454	cytochrome P450, family 3, subfamily A, polypeptide 5	electron transport	monooxygenase activity	membrane fraction	Fatty acid metabolism	GENMAPP/KEGG	1.2	1.12	-0.05	-0.69	-0.96	-0.76
205768_s_at	SLC27A2	0.001967	solute carrier family 27 (fatty acid transporter), member 2	very-long-chain fatty acid metabolism	long-chain-fatty-acid-CoA ligase activity	peroxisomal matrix			0.4	0.47	0.18	-0.3	-0.32	-0.43
205818_at	DBC1	0.01245	deleted in bladder cancer 1	cell cycle	protein binding				2.08	0.19	1.04	-1.22	-1.23	-1.33
205832_at	CPA4	0.00285	carboxypeptidase A4	proteolysis and peptidolysis	carboxypeptidase activity				0.23	0.62	0.73	-0.43	-0.53	-0.63
205839_s_at	BZRAP1	0.020126	benzodiazapine receptor (peripheral) associated protein 1		benzodiazepine receptor binding	mitochondrion			1.25	0.19	1.2	-1.46	-0.36	-0.82
205866_at	FCN3	0.016069	ficolin (collagen/fibrinogen domain containing) 3 (Hakata antigen)	heterophilic cell adhesion	sugar binding	extracellular space			0.63	0.23	1.74	-1.06	-0.81	-1.03
205912_at	PNLIP	0.04753	pancreatic lipase	triacylglycerol metabolism	triacylglycerol lipase activity		Glycerolipid metabolism	GENMAPP/KEGG	-0.23	1.24	1.06	-0.7	-1.09	-0.42
205960_at	PDK4	0.010779	pyruvate dehydrogenase kinase, isoenzyme 4	glucose metabolism	protein kinase activity	mitochondrion	Krebs-TCA_Cycle	GENMAPP/KEGG	0.84	0.26	0.79	-0.57	-0.3	-1.01
205962_at	PAK2	0.012939	p21 (CDKN1A)-activated kinase 2	protein amino acid phosphorylation	protein serine/threonine kinase activity		Integrin-mediated_cell_adhesion	GENMAPP/KEGG	0.78	0.5	0.93	-0.16	-1.25	-0.72
205989_s_at	MOG	0.009741	myelin oligodendrocyte glycoprotein	synaptic transmission		integral to plasma membrane			0.74	0.12	0.88	-0.78	-0.55	-0.45
205994_at	ELK4	0.025542	ELK4, ETS-domain protein (SRF accessory protein 1)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.17	0.21	1.03	-0.09	-1.14	-1.14
206006_s_at	C6orf84	0.032583	chromosome 6 open reading frame 84						0.84	0.13	0.23	-0.21	-0.39	-0.62
206027_at	S100A3	0.00688	S100 calcium binding protein A3		calcium ion binding				0.35	0.44	0.59	-0.68	-0.14	-0.54
206054_at	KNG1	0.024204	kininogen 1	smooth muscle contraction	cysteine protease inhibitor activity	extracellular			0.76	1.38	-0.02	-0.65	-0.72	-0.92
206107_at	RGS11	0.002723	regulator of G-protein signalling 11	G-protein coupled receptor protein signaling pathway	signal transducer activity	heterotrimeric G-protein complex			0.73	0.8	1.2	-1.19	-0.44	-1.07
206181_at	SLAMF1	0.029418	signaling lymphocytic activation molecule family member 1	positive regulation of cell proliferation	antigen binding	integral to membrane			0.44	0.39	0.69	-0.07	-0.36	-1.03
206191_at	ENTPD3	0.033147	ectonucleoside triphosphate diphosphohydrolase 3		magnesium ion binding	integral to membrane			0.89	0.03	1.27	-0.95	-0.19	-1.11
206213_at	WNT10B	0.029959	wingless-type MMTV integration site family, member 10B	signal transduction	signal transducer activity	extracellular	Wnt_signaling	GENMAPP/KEGG	0.65	0.37	1.09	-1.38	-0.38	-0.24
206226_at	HRG	0.047343	histidine-rich glycoprotein		cysteine protease inhibitor activity	extracellular			1.67	-0.43	1.52	-0.72	-1.15	-1.31
206254_at	EGF	0.008672	epidermal growth factor (beta-urogastrone)	activation of MAPK	epidermal growth factor receptor activating ligand activity	extracellular	TGF_Beta_Signaling_Pathway	GENMAPP/KEGG	0.56	0.2	1.1	-0.56	-0.71	-0.66
206339_at	CART	0.017243	cocaine- and amphetamine-regulated transcript	signal transduction		extracellular space			0.68	0.1	0.64	-0.36	-0.29	-0.77
206431_x_at	KIAA0676	0.037841	KIAA0676 protein		calcium ion binding				1.3	0.04	0.45	-0.73	-0.85	-0.33
206433_s_at	SPOCK3	0.017056	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3						0.8	0.24	1.19	-1.22	-0.67	-0.34
206483_at	TSLRP	0.012329	testis specific leucine rich repeat protein						0.13	0.84	0.42	-0.35	-0.54	-0.53
206567_s_at	C20orf104	0.015546	chromosome 20 open reading frame 104	regulation of transcription, DNA-dependent	DNA binding	nucleus			1.2	0.36	0.26	-0.51	-0.75	-0.65
206604_at	OVOL1	0.039957	ovo-like 1(Drosophila)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.2	-0.16	1.2	-1.04	-0.32	-1
206672_at	AQP2	0.037178	aquaporin 2 (collecting duct)	transport	transporter activity	integral to plasma membrane			1.47	-0.11	0.9	-0.44	-1.18	-0.81
206675_s_at	SKIL	0.041193	SKI-like	cell growth and/or maintenance		nucleus	TGF_Beta_Signaling_Pathway	GENMAPP/KEGG	1.39	0.87	-0.19	-0.81	-0.48	-0.97
206694_at	PNLIPRP1	0.029788	pancreatic lipase-related protein 1	lipid metabolism	catalytic activity	extracellular	Glycerolipid metabolism	GENMAPP/KEGG	0.13	1.07	0.37	-0.84	-0.45	-0.34
