UNIQID	Affyemtrix probe ID	Signature name	Gene symbol	Gene title consensus	Function	Reference
1500139	218368_s_at	Stromal-1	TNFRSF12 A	tumor necrosis factor receptor superfamily, member 12A		---
1455699	203476_at	Stromal-1	TPBG	trophoblast glycoprotein		---
1496868	210986_s_at	Stromal-1	TPM1	tropomyosin 1 (alpha)		---
1470153	228438_at	Stromal-1	TRPA1	transient receptor potential cation channel, subfamily A, member 1		---
1498775	215111_s_at	Stromal-1	TSC22D1	TSC22 domain family, member 1		---
1495826	209109_s_at	Stromal-1	TSPAN6	tetraspanin 6		---
1502489	223741_s_at	Stromal-1	TTYH2	tweety homolog 2 (Drosophila)		---
1469272	227388_at	Stromal-1	TUSC1	tumor suppressor candidate 1		---
1502300	223279_s_at	Stromal-1	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats		---
1459036	209946_at	Stromal-1	VEGFC	vascular endothelial growth factor C	Regulator of angiogenesis	---
1469280	227399_at	Stromal-1	VGLL3	vestigial like 3 (Drosophila)		---
1456998	205844_at	Stromal-1	VNN1	vanin 1		---
1476297	235821_at	Stromal-1	WISP1	WNT1 inducible signaling pathway protein 1	Modulator of extracellular matrix. Member of CTGF family	---
1456882	205648_at	Stromal-1	WNT2	wingless-type MMTV integration site family member 2		---
1467124	224894_at	Stromal-1	YAP1	Yes-associated protein 1, 65kDa		---
1464330	219778_at	Stromal-1	ZFPM2	zinc finger protein, multitype 2		---
1469108	227195_at	Stromal-1	ZNF503	zinc finger protein 503		---
1468645	226677_at	Stromal-1	ZNF521	zinc finger protein 521		---
1482420	242680_at	Stromal-2		Transcribed locus		---
1486796	1558397_at	Stromal-2		CDNA FLJ34100 fis, clone FCBBF3007597		---
1496095	209612_s_at	Stromal-2	ADH1B	alcohol dehydrogenase IB (class I), beta polypeptide		---
1496096	209613_s_at	Stromal-2	ADH1B	alcohol dehydrogenase IB (class I), beta polypeptide		---
1457838	207175_at	Stromal-2	ADIPOQ	adiponectin, C1Q and collagen domain containing	Adiponectin is an adipocytokine that is produced by adipocytes and can stimulated angiogenesis	---
1496139	209699_x_at	Stromal-2	AKR1C2	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)		---
1454496	200602_at	Stromal-2	APP	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)		---
1458632	209047_at	Stromal-2	AQP1	aquaporin 1 (Colton blood group)		---
1459698	212097_at	Stromal-2	CAV1	caveolin 1, caveolae protein, 22kDa	Caveloin 1 is a constituent of caveolae,  which contribute to vescicular trafficking and signaling in endothelial cells	29
1455626	203323_at	Stromal-2	CAV2	caveolin 2	Caveloin 2 is a constituent of caveolae, which contribute to vescicular trafficking and signaling in endothelial cells.	29
1492858	202878_s_at	Stromal-2	CD93	CD93 molecule	CD93 is a cell surface glycoprotein expressed in endothelial, myeloid cells and platelets	30
1463791	218950_at	Stromal-2	CENTD3	centaurin, delta 3		---
1491422	52255_s_at	Stromal-2	COL5A3	collagen, type V, alpha 3	Component of extracellular matrix	---
1455792	203666_at	Stromal-2	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	SDF-1 is a chemokine that is highly expressed by endothelial cells and fibroblasts and is pro-angiogenic	31
1470345	228665_at	Stromal-2	CYYR1	cysteine/tyrosine-rich 1		---
1460200	212793_at	Stromal-2	DAAM2	dishevelled associated activator of morphogenesis 2		---
1467062	224822_at	Stromal-2	DLC1	deleted in liver cancer 1		---
1469612	227779_at	Stromal-2	ECSM2	endothelial cell-specific molecule 2		---
1463716	218825_at	Stromal-2	EGFL7	EGF-like-domain, multiple 7	EGFL7 encodes VE-statin, a secreted protein selectively expressed in endothelial cells that blocks PDGFBB-induced migration of smooth muscle cells	32
1454273	45297_at	Stromal-2	EHD2	EH-domain containing 2	EHD2 is a constituent of caveolae, which contribute to vescicular trafficking and signaling in endothelial cells	33
1463903	219134_at	Stromal-2	ELTD1	EGF, latrophilin and seven transmembrane domain containing 1	GPCR expressed in vascular smooth muscle cells and cardiomyocyte s	34
1498082	213541_s_at	Stromal-2	ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	Erg is an ETS-family transcription factor required for endothelial tube formation and angiogenesis	35
1455953	203980_at	Stromal-2	FABP4	fatty acid binding protein 4, adipocyte	Regulator of lipid metabolism expressed in adipocytes	36
1476443	235978_at	Stromal-2	FABP4	fatty acid binding protein 4, adipocyte	Regulator of lipid metabolism expressed in adipocytes	36
1456789	205498_at	Stromal-2	GHR	growth hormone receptor		---
1460311	212950_at	Stromal-2	GPR116	G protein-coupled receptor 116		---
1458783	209409_at	Stromal-2	GRB10	growth factor receptor-bound protein 10	GRB10 is an adaptor protein that mediates VEGF signaling through its receptor, KDR	37
1456091	204237_at	Stromal-2	GULP1	GULP, engulfment adaptor PTB domain containing 1		---
1473065	231906_at	Stromal-2	HOXD8	homeobox D8		---
1459625	211959_at	Stromal-2	IGFBP5	insulin-like growth factor binding protein 5	IGFBP-5 is a secreted protein expressed by endothelial cells	38
1454900	201656_at	Stromal-2	ITGA6	integrin, alpha 6	Cell adhesion	---
1469196	227297_at	Stromal-2	ITGA9	integrin, alpha 9	Integrin alpha 9 is expressed on microvascular endothelium and enhances VEGF-A-and thrombospondi n-induced angiogenesis	39, 40
1455929	203934_at	Stromal-2	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	KDR is VEGF receptor-2, which expressed in endothelial cells and controls angiogenesis	41
1454832	201505_at	Stromal-2	LAMB1	laminin, beta 1	Component of the extracellular matrix	---
1498317	214039_s_at	Stromal-2	LAPTM4B	lysosomal associated protein transmembrane 4 beta		---
1459013	209894_at	Stromal-2	LEPR	leptin receptor	The leptin receptor is expression on endothelial cells and its ligand leptin can stimulate angiogenesis	42
1476703	236262_at	Stromal-2	MMRN2	multimerin 2	MMRN2 encodes multimerin 2/EndoGlyx-1, which is a cell surface glycoprotein that is selectively expressed in endothelial cells	43
1500451	219091_s_at	Stromal-2	MMRN2	multimerin 2	MMRN2 encodes multimerin 2/EndoGlyx-1, which is a cell surface glycoprotein that is selectively expressed in endothelial cells	43
1497656	212096_s_at	Stromal-2	MTUS1	mitochondrial tumor suppressor 1		---
1458654	209120_at	Stromal-2	NR2F2	nuclear receptor subfamily 2, group F, member 2		---
1500305	218736_s_at	Stromal-2	PALMD	palmdelphin		---
1468037	225975_at	Stromal-2	PCDH18	protocadherin 18		---
1458611	208981_at	Stromal-2	PECAM1	platelet/endothelial cell adhesion molecule (CD31 antigen)	PECAM1 encodes CD31, an adhesion molecular expressed in endothelial cells and is involved in angiogenesis	44
1493263	203649_s_at	Stromal-2	PLA2G2A	phospholipase A2, group IIA (platelets, synovial fluid)		---
1457046	205913_at	Stromal-2	PLIN	perilipin	Perilipin is expressed in adipocytes and is localized to the surface of lipid stroage droplets and stimulates lipolysis	45, 46
1455785	203650_at	Stromal-2	PROCR	protein C receptor, endothelial (EPCR)	Endothelial cell receptor for coagulation factor VIIa	47
1456864	205618_at	Stromal-2	PRRG1	proline rich Gla (G-carboxyglutamic acid) 1		---
1471668	230250_at	Stromal-2	PTPRB	protein tyrosine phosphatase, receptor type, B	PTPRB encodes a protein tyrosine phosphatase that is expressed in endothelial cells and that is required for VCAM-1-induced transendothelial migration of lymphocytes	48, 49
1463918	219167_at	Stromal-2	RASL12	RAS-like, family 12		---
1500471	219140_s_at	Stromal-2	RBP4	retinol binding protein 4, plasma	Carrier for retinol in blood expressed in adipocytes	50
1483118	243481_at	Stromal-2	RHOJ	ras homolog gene family, member J		---
1468086	226028_at	Stromal-2	ROBO4	roundabout homolog 4, magic roundabout (Drosophila)	ROBO4 is a member of the family of roundabout receptors that are molecular guidance molecules that is required for angiogenesis	51 52 53
1498524	214456_x_at	Stromal-2	SAA1	serum amyloid A1		---
1495492	208607_s_at	Stromal-2	SAA2	serum amyloid A2		---
1454285	46665_at	Stromal-2	SEMA4C	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C		---
1469731	227923_at	Stromal-2	SHANK3	SH3 and multiple ankyrin repeat domains 3		---
1499999	218087_s_at	Stromal-2	SORBS1	sorbin and SH3 domain containing 1		---
1501893	222513_s_at	Stromal-2	SORBS1	sorbin and SH3 domain containing 1		---
1454560	200795_at	Stromal-2	SPARCL1	SPARC-like 1 (mast9, hevin)	Component of the extracellular matrix that regulates endothelial spreading	54
1458794	209436_at	Stromal-2	SPON1	spondin 1, extracellular matrix protein		---
1460951	213993_at	Stromal-2	SPON1	spondin 1, extracellular matrix protein		---
1460035	212558_at	Stromal-2	SPRY1	sprouty homolog 1, antagonist of FGF signaling (Drosophila)	SORT1 encodes Sprouty homology 1, which modifies receptor tyrosine kinase signaling in endothelial cells	55
1455081	202112_at	Stromal-2	VWF	von Willebrand factor	von Willebrand factor is a clotting factor that is specifically expressed in endothelial cells and stored in Weibel-Palade bodies	---
