Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with +11 and normal
203067_at	PDX1	11p13	present at least in one case	present at least in one case
203947_at	CSTF3	11p13	present at least in one case	present at least in one case
218698_at	MMRP19	11p13	present at least in one case	present at least in one case
201063_at	RCN1	11p13	present at least in one case	present at least in one case
217760_at	TRIM44	11p13	present at least in one case	present at least in one case
200984_s_at	CD59	11p13	present at least in one case	present at least in one case
217884_at	FLJ10774	11p13	present at least in one case	present at least in one case
200985_s_at	CD59	11p13	present at least in one case	present at least in one case
217759_at	TRIM44	11p13	present at least in one case	present at least in one case
229221_at	CD44	11p13	present at least in one case	present at least in one case
200722_s_at	M11S1	11p13	present at least in one case	present at least in one case
200983_x_at	CD59	11p13	present at least in one case	present at least in one case
202232_s_at	GA17	11p13	present at least in one case	present at least in one case
204490_s_at	CD44	11p13	present at least in one case	present at least in one case
211922_s_at	CAT	11p13	present at least in one case	present at least in one case
202231_at	GA17	11p13	present at least in one case	present at least in one case
204489_s_at	CD44	11p13	present at least in one case	present at least in one case
225340_s_at	M11S1	11p13	present at least in one case	present at least in one case
204249_s_at	LMO2	11p13	present at least in one case	present at least in one case
212014_x_at	CD44	11p13	present at least in one case	present at least in one case
209835_x_at	CD44	11p13	present at least in one case	present at least in one case
200723_s_at	M11S1	11p13	present at least in one case	present at least in one case
212063_at	CD44	11p13	present at least in one case	present at least in one case
201432_at	CAT	11p13	present at least in one case	present at least in one case
208013_s_at	ACRV1	11p12-q13	present at least in one case	present at least in one case
207973_x_at	ACRV1	11p12-q13	present at least in one case	present at least in one case
206776_x_at	ACRV1	11p12-q13	present at least in one case	present at least in one case
207991_x_at	ACRV1	11p12-q13	present at least in one case	present at least in one case
207990_x_at	ACRV1	11p12-q13	present at least in one case	present at least in one case
207969_x_at	ACRV1	11p12-q13	present at least in one case	present at least in one case
217153_at	ARHGAP1	11p12-q12	absent in all cases	absent in all cases
233078_at	API5	11p12-q12	present at least in one case	present at least in one case
216689_x_at	ARHGAP1	11p12-q12	present at least in one case	present at least in one case
214960_at	API5	11p12-q12	present at least in one case	present at least in one case
214959_s_at	API5	11p12-q12	present at least in one case	present at least in one case
201686_x_at	API5	11p12-q12	present at least in one case	present at least in one case
201687_s_at	API5	11p12-q12	present at least in one case	present at least in one case
202117_at	ARHGAP1	11p12-q12	present at least in one case	present at least in one case
201267_s_at	PSMC3	11p12-p13	present at least in one case	present at least in one case
221357_at	CHRM4	11p12-p11.2	absent in all cases	absent in all cases
213014_at	MAPK8IP1	11p12-p11.2	present at least in one case	present at least in one case
213013_at	MAPK8IP1	11p12-p11.2	present at least in one case	present at least in one case
218744_s_at	PACSIN3	11p12-p11.12	absent in all cases	absent in all cases
226086_at	SYT13	11p12-p11	present at least in one case	present at least in one case
221859_at	SYT13	11p12-p11	present at least in one case	present at least in one case
202013_s_at	EXT2	11p12-p11	present at least in one case	present at least in one case
203409_at	DDB2	11p12-p11	present at least in one case	present at least in one case
202012_s_at	EXT2	11p12-p11	present at least in one case	present at least in one case
224189_x_at	EHF	11p12	absent in all cases	absent in all cases
232360_at	EHF	11p12	absent in all cases	absent in all cases
232361_s_at	EHF	11p12	absent in all cases	absent in all cases
222932_at	EHF	11p12	present at least in one case	present at least in one case
219850_s_at	EHF	11p12	present at least in one case	present at least in one case
232226_at	KIAA1580	11p12	present at least in one case	present at least in one case
205558_at	TRAF6	11p12	present at least in one case	present at least in one case
228249_at	LOC119710	11p12	present at least in one case	present at least in one case
205754_at	F2	11p11-q12	absent in all cases	absent in all cases
212850_s_at	LRP4	11p11.2-p12	absent in all cases	absent in all cases
211975_at	ZNF289	11p11.2-p11.12	present at least in one case	present at least in one case
202767_at	ACP2	11p11.2-p11.11	present at least in one case	present at least in one case
211570_s_at	RAPSN	11p11.2-p11.1	absent in all cases	absent in all cases
205567_at	CHST1	11p11.2-p11.1	present at least in one case	present at least in one case
204394_at	POV1	11p11.2-p11.1	present at least in one case	present at least in one case
205860_x_at	FOLH1	11p11.2	absent in all cases	absent in all cases
208040_s_at	MYBPC3	11p11.2	absent in all cases	absent in all cases
208330_at	ALX4	11p11.2	absent in all cases	absent in all cases
210173_at	PTPRJ	11p11.2	absent in all cases	absent in all cases
212695_at	CRY2	11p11.2	absent in all cases	absent in all cases
214137_at	PTPRJ	11p11.2	absent in all cases	absent in all cases
214667_s_at	PIG11	11p11.2	absent in all cases	absent in all cases
216919_at	PIG11	11p11.2	absent in all cases	absent in all cases
228819_at	LOC90139	11p11.2	absent in all cases	absent in all cases
232646_at	FLJ10890	11p11.2	absent in all cases	absent in all cases
203421_at	PIG11	11p11.2	present at least in one case	absent in all cases
227307_at	LOC90139	11p11.2	present at least in one case	present at least in one case
244416_at	FLJ10890	11p11.2	present at least in one case	present at least in one case
222647_at	FLJ11320	11p11.2	present at least in one case	present at least in one case
217487_x_at	FOLH1	11p11.2	present at least in one case	present at least in one case
218485_s_at	FLJ11320	11p11.2	present at least in one case	present at least in one case
219383_at	FLJ14213	11p11.2	present at least in one case	present at least in one case
209035_at	MDK	11p11.2	present at least in one case	present at least in one case
226127_at	DEPC-1	11p11.2	present at least in one case	present at least in one case
239342_at	DGKZ	11p11.2	present at least in one case	present at least in one case
205312_at	SPI1	11p11.2	present at least in one case	present at least in one case
224852_at	FLJ10890	11p11.2	present at least in one case	present at least in one case
210252_s_at	MADD	11p11.2	present at least in one case	present at least in one case
232323_s_at	FLJ10890	11p11.2	present at least in one case	present at least in one case
203278_s_at	BHC80	11p11.2	present at least in one case	present at least in one case
38398_at	MADD	11p11.2	present at least in one case	present at least in one case
228910_at	KAI1	11p11.2	present at least in one case	present at least in one case
218972_at	FLJ10890	11p11.2	present at least in one case	present at least in one case
203904_x_at	KAI1	11p11.2	present at least in one case	present at least in one case
207556_s_at	DGKZ	11p11.2	present at least in one case	present at least in one case
224849_at	FLJ10890	11p11.2	present at least in one case	present at least in one case
217869_at	HSD17B12	11p11.2	present at least in one case	present at least in one case
221154_at	RNF18	11p11.12-q12	present at least in one case	present at least in one case
213059_at	OASIS	11p11.12	absent in all cases	absent in all cases
222189_at	FLJ20294	11p11.12	absent in all cases	absent in all cases
239789_at	MGC4707	11p11.12	absent in all cases	absent in all cases
213498_at	OASIS	11p11.12	present at least in one case	present at least in one case
229272_at	FNBP4	11p11.12	present at least in one case	present at least in one case
219141_s_at	FLJ20294	11p11.12	present at least in one case	present at least in one case
227829_at	FLJ35207	11p11.12	present at least in one case	present at least in one case
209021_x_at	KIAA0652	11p11.12	present at least in one case	present at least in one case
223765_s_at	FLJ10450	11p11.12	present at least in one case	present at least in one case
220390_at	FLJ23598	11p11.12	present at least in one case	present at least in one case
219224_x_at	ZNF408	11p11.12	present at least in one case	present at least in one case
241498_at	FLJ32675	11p11.12	present at least in one case	present at least in one case
214963_at	NUP160	11p11.12	present at least in one case	present at least in one case
229535_at	FLJ10450	11p11.12	present at least in one case	present at least in one case
52731_at	FLJ20294	11p11.12	present at least in one case	present at least in one case
218569_s_at	FLJ10450	11p11.12	present at least in one case	present at least in one case
212709_at	NUP160	11p11.12	present at least in one case	present at least in one case
225277_at	FLJ25785	11p11.12	present at least in one case	present at least in one case
227090_at	LOC143677	11p11.12	present at least in one case	present at least in one case
214962_s_at	NUP160	11p11.12	present at least in one case	present at least in one case
203920_at	NR1H3	11p11.12	present at least in one case	present at least in one case
203257_s_at	MGC4707	11p11.12	present at least in one case	present at least in one case
225901_at	LOC114971	11p11.12	present at least in one case	present at least in one case
218570_at	FLJ10450	11p11.12	present at least in one case	present at least in one case
212832_s_at	KIAA0097	11p11.12	present at least in one case	present at least in one case
222403_at	MTCH2	11p11.12	present at least in one case	present at least in one case
203363_s_at	KIAA0652	11p11.12	present at least in one case	present at least in one case
203364_s_at	KIAA0652	11p11.12	present at least in one case	present at least in one case
223808_s_at	LOC114971	11p11.12	present at least in one case	present at least in one case
217772_s_at	MTCH2	11p11.12	present at least in one case	present at least in one case
212232_at	FNBP4	11p11.12	present at least in one case	present at least in one case
221603_at	PEX16	11p11.11	absent in all cases	absent in all cases
221604_s_at	PEX16	11p11.11	present at least in one case	present at least in one case
49878_at	PEX16	11p11.11	present at least in one case	present at least in one case
201740_at	NDUFS3	11p11.11	present at least in one case	present at least in one case
220571_at	PRDM11	11p11	absent in all cases	absent in all cases
222005_s_at	GNG3	11p11	present at least in one case	present at least in one case
204113_at	CUGBP1	11p11	present at least in one case	present at least in one case
228264_at	PHACS	11p11	present at least in one case	present at least in one case
209489_at	CUGBP1	11p11	present at least in one case	present at least in one case
233881_s_at	TOLLIP	11p	present at least in one case	absent in all cases
222469_s_at	TOLLIP	11p	present at least in one case	present at least in one case
217930_s_at	TOLLIP	11p	present at least in one case	present at least in one case
219430_at	C11ORF4	11cen-q22.3	absent in all cases	absent in all cases
221966_at	C11ORF4	11cen-q22.3	absent in all cases	absent in all cases
231295_at	ME3	11cen-q22.3	present at least in one case	present at least in one case
43934_at	C11ORF4	11cen-q22.3	present at least in one case	present at least in one case
204663_at	ME3	11cen-q22.3	present at least in one case	present at least in one case
201175_at	CGI-31	11cen-q22.3	present at least in one case	present at least in one case
223579_s_at	PRO1073	11cen-q12.3	absent in all cases	absent in all cases
223578_x_at	PRO1073	11cen-q12.3	present at least in one case	present at least in one case
223577_x_at	PRO1073	11cen-q12.3	present at least in one case	present at least in one case
231735_s_at	PRO1073	11cen-q12.3	present at least in one case	present at least in one case
224568_x_at	PRO1073	11cen-q12.3	present at least in one case	present at least in one case
227510_x_at	PRO1073	11cen-q12.3	present at least in one case	present at least in one case
224558_s_at	PRO1073	11cen-q12.3	present at least in one case	present at least in one case
223940_x_at	PRO1073	11cen-q12.3	present at least in one case	present at least in one case
221032_s_at	TMPRSS5	11q	absent in all cases	absent in all cases
208521_at	OR5I1	11q11	absent in all cases	absent in all cases
221298_s_at	SLC22A8	11q11	absent in all cases	absent in all cases
223975_at	TRIM51	11q11	absent in all cases	absent in all cases
224792_at	TNKS1BP1	11q11	absent in all cases	absent in all cases
231352_at	SLC22A8	11q11	absent in all cases	absent in all cases
220534_at	TRIM48	11q11	present at least in one case	present at least in one case
219188_s_at	LRP16	11q11	present at least in one case	present at least in one case
208862_s_at	CTNND1	11q11	present at least in one case	present at least in one case
210692_s_at	EEG1	11q11	present at least in one case	present at least in one case
211240_x_at	CTNND1	11q11	present at least in one case	present at least in one case
223708_at	C1QTNF4	11q11	present at least in one case	present at least in one case
208407_s_at	CTNND1	11q11	present at least in one case	present at least in one case
208238_x_at	LZLP	11q11	present at least in one case	present at least in one case
213113_s_at	EEG1	11q11	present at least in one case	present at least in one case
205513_at	TCN1	11q11-q12	present at least in one case	present at least in one case
230544_at	RPS6KA4	11q11-q13	absent in all cases	absent in all cases
204632_at	RPS6KA4	11q11-q13	present at least in one case	present at least in one case
207895_at	NAALADASEL	11q12	absent in all cases	absent in all cases
208338_at	P2RX3	11q12	absent in all cases	absent in all cases
213592_at	AGTRL1	11q12	absent in all cases	absent in all cases
220790_s_at	MS4A5	11q12	absent in all cases	absent in all cases
220834_at	MS4A12	11q12	absent in all cases	absent in all cases
229496_at	HEAB	11q12	absent in all cases	absent in all cases
231418_at	MS4A1	11q12	absent in all cases	absent in all cases
226812_at	ZFP91	11q12	present at least in one case	present at least in one case
224357_s_at	MS4A4A	11q12	present at least in one case	present at least in one case
204611_s_at	PPP2R5B	11q12	present at least in one case	present at least in one case
228599_at	MS4A1	11q12	present at least in one case	present at least in one case
224358_s_at	MS4A7	11q12	present at least in one case	present at least in one case
635_s_at	PPP2R5B	11q12	present at least in one case	present at least in one case
220811_at	PRG3	11q12	present at least in one case	present at least in one case
219607_s_at	MS4A4A	11q12	present at least in one case	present at least in one case
217418_x_at	MS4A1	11q12	present at least in one case	present at least in one case
219922_s_at	LTBP3	11q12	present at least in one case	present at least in one case
228592_at	MS4A1	11q12	present at least in one case	present at least in one case
210356_x_at	MS4A1	11q12	present at least in one case	present at least in one case
228424_at	NAALADASEL	11q12	present at least in one case	present at least in one case
204768_s_at	FEN1	11q12	present at least in one case	present at least in one case
200956_s_at	SSRP1	11q12	present at least in one case	present at least in one case
223344_s_at	MS4A7	11q12	present at least in one case	present at least in one case
224631_at	ZFP91	11q12	present at least in one case	present at least in one case
205482_x_at	SNX15	11q12	present at least in one case	present at least in one case
200957_s_at	SSRP1	11q12	present at least in one case	present at least in one case
223343_at	MS4A7	11q12	present at least in one case	present at least in one case
204767_s_at	FEN1	11q12	present at least in one case	present at least in one case
220964_s_at	RAB1B	11q12	present at least in one case	present at least in one case
204370_at	HEAB	11q12	present at least in one case	present at least in one case
201649_at	UBE2L6	11q12	present at least in one case	present at least in one case
211743_s_at	PRG2	11q12	present at least in one case	present at least in one case
224636_at	ZFP91	11q12	present at least in one case	present at least in one case
210254_at	MS4A3	11q12	present at least in one case	present at least in one case
204609_at	DIPA	11q12.1	absent in all cases	absent in all cases
213250_at	DIPA	11q12.1	absent in all cases	absent in all cases
222083_at	GLYAT	11q12.1	absent in all cases	absent in all cases
224355_s_at	MS4A8B	11q12.1	absent in all cases	absent in all cases
227794_at	MGC15937	11q12.1	absent in all cases	absent in all cases
229196_at	FLJ22794	11q12.1	absent in all cases	absent in all cases
229486_s_at	FLJ20539	11q12.1	absent in all cases	absent in all cases
239368_at	FLJ22794	11q12.1	absent in all cases	absent in all cases
218834_s_at	FLJ20539	11q12.1	present at least in one case	present at least in one case
231335_at	MS4A6E	11q12.1	present at least in one case	present at least in one case
244342_at	FLJ36874	11q12.1	present at least in one case	present at least in one case
216985_s_at	STX3A	11q12.1	present at least in one case	present at least in one case
222758_s_at	FLJ20539	11q12.1	present at least in one case	present at least in one case
232724_at	MS4A6A	11q12.1	present at least in one case	present at least in one case
206930_at	GLYAT	11q12.1	present at least in one case	present at least in one case
235235_s_at	FLJ36874	11q12.1	present at least in one case	present at least in one case
232419_at	FLJ20539	11q12.1	present at least in one case	present at least in one case
232725_s_at	MS4A6A	11q12.1	present at least in one case	present at least in one case
227695_at	MGC15937	11q12.1	present at least in one case	present at least in one case
235234_at	FLJ36874	11q12.1	present at least in one case	present at least in one case
229510_at	NYD-SP21	11q12.1	present at least in one case	present at least in one case
224868_at	ZDHHC5	11q12.1	present at least in one case	present at least in one case
209192_x_at	HTATIP	11q12.1	present at least in one case	present at least in one case
235916_at	FLJ30213	11q12.1	present at least in one case	present at least in one case
219053_s_at	FLJ20847	11q12.1	present at least in one case	present at least in one case
214258_x_at	HTATIP	11q12.1	present at least in one case	present at least in one case
204610_s_at	DIPA	11q12.1	present at least in one case	present at least in one case
226293_at	LCMR1	11q12.1	present at least in one case	present at least in one case
230550_at	MS4A6A	11q12.1	present at least in one case	present at least in one case
206689_x_at	HTATIP	11q12.1	present at least in one case	present at least in one case
226300_at	LCMR1	11q12.1	present at least in one case	present at least in one case
219593_at	PHT2	11q12.1	present at least in one case	present at least in one case
209238_at	STX3A	11q12.1	present at least in one case	present at least in one case
212611_at	KIAA0937	11q12.1	present at least in one case	present at least in one case
201361_at	MGC5508	11q12.1	present at least in one case	present at least in one case
218248_at	FLJ22794	11q12.1	present at least in one case	present at least in one case
219666_at	MS4A6A	11q12.1	present at least in one case	present at least in one case
224858_at	ZDHHC5	11q12.1	present at least in one case	present at least in one case
216250_s_at	LPXN	11q12.1	present at least in one case	present at least in one case
226841_at	LOC219972	11q12.1	present at least in one case	present at least in one case
223922_x_at	MS4A6A	11q12.1	present at least in one case	present at least in one case
226818_at	LOC219972	11q12.1	present at least in one case	present at least in one case
224356_x_at	MS4A6A	11q12.1	present at least in one case	present at least in one case
223280_x_at	MS4A6A	11q12.1	present at least in one case	present at least in one case
218408_at	TIMM10	11q12.1-q12.3	present at least in one case	present at least in one case
203452_at	B3GAT3	11q12.2	absent in all cases	absent in all cases
213210_at	TAF6L	11q12.2	absent in all cases	absent in all cases
213961_s_at	TAF6L	11q12.2	absent in all cases	absent in all cases
214128_at	C11orf11	11q12.2	absent in all cases	absent in all cases
218965_s_at	FLJ22347	11q12.2	absent in all cases	absent in all cases
230049_at	TAF6L	11q12.2	absent in all cases	absent in all cases
232025_at	PCANAP7	11q12.2	absent in all cases	absent in all cases
232273_at	FLJ22347	11q12.2	absent in all cases	absent in all cases
234356_at	DKFZP434K028	11q12.2	absent in all cases	absent in all cases
238855_at	MGC5395	11q12.2	absent in all cases	absent in all cases
213211_s_at	TAF6L	11q12.2	present at least in one case	absent in all cases
226167_at	PCANAP7	11q12.2	present at least in one case	present at least in one case
235402_at	FLJ32771	11q12.2	present at least in one case	present at least in one case
228984_at	KIAA1394	11q12.2	present at least in one case	present at least in one case
210623_at	LOC51035	11q12.2	present at least in one case	present at least in one case
222264_at	DKFZp762N1910	11q12.2	present at least in one case	present at least in one case
218278_at	FLJ10439	11q12.2	present at least in one case	present at least in one case
208597_at	CNTF	11q12.2	present at least in one case	present at least in one case
220391_at	FLJ23392	11q12.2	present at least in one case	present at least in one case
242957_at	FLJ32009	11q12.2	present at least in one case	present at least in one case
226175_at	MGC29649	11q12.2	present at least in one case	present at least in one case
66053_at	DKFZp762N1910	11q12.2	present at least in one case	present at least in one case
35179_at	B3GAT3	11q12.2	present at least in one case	present at least in one case
213209_at	TAF6L	11q12.2	present at least in one case	present at least in one case
229099_at	MGC2477	11q12.2	present at least in one case	present at least in one case
218688_at	DKFZP586B1621	11q12.2	present at least in one case	present at least in one case
220016_at	MGC5395	11q12.2	present at least in one case	present at least in one case
238320_at	EEF1G	11q12.2	present at least in one case	present at least in one case
220934_s_at	MGC3196	11q12.2	present at least in one case	present at least in one case
203330_s_at	STX5A	11q12.2	present at least in one case	present at least in one case
221712_s_at	FLJ10439	11q12.2	present at least in one case	present at least in one case
227608_at	DKFZp762N1910	11q12.2	present at least in one case	present at least in one case
222764_at	ASRGL1	11q12.2	present at least in one case	present at least in one case
203119_at	MGC2574	11q12.2	present at least in one case	present at least in one case
221637_s_at	MGC2477	11q12.2	present at least in one case	present at least in one case
223113_at	HSPC196	11q12.2	present at least in one case	present at least in one case
218857_s_at	ASRGL1	11q12.2	present at least in one case	present at least in one case
203442_x_at	FLJ35827	11q12.2	present at least in one case	present at least in one case
212969_x_at	FLJ35827	11q12.2	present at least in one case	present at least in one case
214626_s_at	G2AN	11q12.2	present at least in one case	present at least in one case
201871_s_at	LOC51035	11q12.2	present at least in one case	present at least in one case
223048_at	FLJ20487	11q12.2	present at least in one case	present at least in one case
224735_at	MGC20446	11q12.2	present at least in one case	present at least in one case
211934_x_at	G2AN	11q12.2	present at least in one case	present at least in one case
203103_s_at	NMP200	11q12.2	present at least in one case	present at least in one case
217866_at	FLJ12529	11q12.2	present at least in one case	present at least in one case
225405_at	DKFZp762N1910	11q12.2	present at least in one case	present at least in one case
200689_x_at	EEF1G	11q12.2	present at least in one case	present at least in one case
208963_x_at	FADS1	11q12.2-q13.1	present at least in one case	present at least in one case
208962_s_at	FADS1	11q12.2-q13.1	present at least in one case	present at least in one case
208964_s_at	FADS1	11q12.2-q13.1	present at least in one case	present at least in one case
220100_at	SLC22A11	11q12.3	absent in all cases	absent in all cases
221122_at	HRASLS2	11q12.3	absent in all cases	absent in all cases
231210_at	LOC283129	11q12.3	absent in all cases	absent in all cases
237799_at	SLC22A12	11q12.3	absent in all cases	absent in all cases
232660_at	BAD	11q12.3	present at least in one case	present at least in one case
228439_at	LOC116071	11q12.3	present at least in one case	present at least in one case
229789_at	TIGD3	11q12.3	present at least in one case	present at least in one case
1861_at	BAD	11q12.3	present at least in one case	present at least in one case
209364_at	BAD	11q12.3	present at least in one case	present at least in one case
223663_at	FLJ37970	11q12.3	present at least in one case	present at least in one case
223453_s_at	DKFZP564J0863	11q12.3	present at least in one case	present at least in one case
236030_at	LOC283248	11q12.3	present at least in one case	present at least in one case
221818_at	KIAA1698	11q12.3	present at least in one case	present at least in one case
227292_at	LOC144097	11q12.3	present at least in one case	present at least in one case
201246_s_at	FLJ20113	11q12.3	present at least in one case	present at least in one case
224464_s_at	MGC13045	11q12.3	present at least in one case	present at least in one case
204441_s_at	POLA2	11q12.3	present at least in one case	present at least in one case
209581_at	HRASLS3	11q12.3	present at least in one case	present at least in one case
224753_at	MGC16386	11q12.3	present at least in one case	present at least in one case
205449_at	HSU79266	11q12.3	present at least in one case	present at least in one case
218734_at	FLJ13848	11q12.3	present at least in one case	present at least in one case
223436_s_at	MGC11134	11q12.3	present at least in one case	present at least in one case
223452_s_at	DKFZP564J0863	11q12.3	present at least in one case	present at least in one case
53968_at	KIAA1698	11q12.3	present at least in one case	present at least in one case
201245_s_at	FLJ20113	11q12.3	present at least in one case	present at least in one case
213300_at	KIAA0404	11q12.3	present at least in one case	present at least in one case
224893_at	LOC283241	11q12.3	present at least in one case	present at least in one case
223303_at	URP2SF	11q12.3	present at least in one case	present at least in one case
217774_s_at	HSPC152	11q12.3	present at least in one case	present at least in one case
38710_at	FLJ20113	11q12.3	present at least in one case	present at least in one case
205725_at	SCGB1A1	11q12.3-q13.1	absent in all cases	absent in all cases
211082_x_at	MARK2	11q12-q13	absent in all cases	absent in all cases
219769_at	INCENP	11q12-q13	absent in all cases	absent in all cases
210414_at	FLRT1	11q12-q13	present at least in one case	present at least in one case
203942_s_at	MARK2	11q12-q13	present at least in one case	present at least in one case
201799_s_at	OSBP	11q12-q13	present at least in one case	present at least in one case
201800_s_at	OSBP	11q12-q13	present at least in one case	present at least in one case
208619_at	DDB1	11q12-q13	present at least in one case	present at least in one case
208922_s_at	NXF1	11q12-q13	present at least in one case	present at least in one case
211986_at	AHNAK	11q12-q13	present at least in one case	present at least in one case
201119_s_at	COX8	11q12-q13	present at least in one case	present at least in one case
217462_at	C11orf9	11q12-q13.1	absent in all cases	absent in all cases
217463_s_at	C11orf9	11q12-q13.1	absent in all cases	absent in all cases
243953_at	FADS2	11q12-q13.1	absent in all cases	absent in all cases
203444_s_at	MTA1L1	11q12-q13.1	present at least in one case	present at least in one case
219579_at	RAB3IL1	11q12-q13.1	present at least in one case	present at least in one case
216080_s_at	FADS3	11q12-q13.1	present at least in one case	present at least in one case
204073_s_at	C11orf9	11q12-q13.1	present at least in one case	present at least in one case
204257_at	FADS3	11q12-q13.1	present at least in one case	present at least in one case
202218_s_at	FADS2	11q12-q13.1	present at least in one case	present at least in one case
200986_at	SERPING1	11q12-q13.1	present at least in one case	present at least in one case
218567_x_at	DPP3	11q12-q13.1	present at least in one case	present at least in one case
232510_s_at	DPP3	11q12-q13.1	present at least in one case	present at least in one case
218213_s_at	C11orf10	11q12-q13.1	present at least in one case	present at least in one case
205577_at	PYGM	11q12-q13.2	absent in all cases	absent in all cases
216464_x_at	GPR44	11q12-q13.3	absent in all cases	absent in all cases
206361_at	GPR44	11q12-q13.3	present at least in one case	present at least in one case
208906_at	BSCL2	11q12-q13.5	present at least in one case	present at least in one case
206530_at	RAB30	11q12-q14	absent in all cases	absent in all cases
201402_at	ADRBK1	11q13	absent in all cases	absent in all cases
203472_s_at	SLC21A9	11q13	absent in all cases	absent in all cases
204941_s_at	ALDH3B2	11q13	absent in all cases	absent in all cases
205332_at	RCE1	11q13	absent in all cases	absent in all cases
205979_at	SCGB2A1	11q13	absent in all cases	absent in all cases
206485_at	CD5	11q13	absent in all cases	absent in all cases
206604_at	OVOL1	11q13	absent in all cases	absent in all cases
206799_at	SCGB1D2	11q13	absent in all cases	absent in all cases
207033_at	GIF	11q13	absent in all cases	absent in all cases
207349_s_at	UCP3	11q13	absent in all cases	absent in all cases
208602_x_at	CD6	11q13	absent in all cases	absent in all cases
209850_s_at	CDC42EP2	11q13	absent in all cases	absent in all cases
210043_at	FKSG44	11q13	absent in all cases	absent in all cases
211557_x_at	SLC21A9	11q13	absent in all cases	absent in all cases
213342_at	YAP1	11q13	absent in all cases	absent in all cases
213384_x_at	PLCB3	11q13	absent in all cases	absent in all cases
213740_s_at	ZFPL1	11q13	absent in all cases	absent in all cases
214014_at	CDC42EP2	11q13	absent in all cases	absent in all cases
214250_at	NUMA1	11q13	absent in all cases	absent in all cases
214367_at	RASGRP2	11q13	absent in all cases	absent in all cases
214571_at	FGF3	11q13	absent in all cases	absent in all cases
218299_at	C11orf24	11q13	absent in all cases	absent in all cases
219050_s_at	C11orf5	11q13	absent in all cases	absent in all cases
219323_s_at	IL18BP	11q13	absent in all cases	absent in all cases
220412_x_at	KCNK7	11q13	absent in all cases	absent in all cases
222814_s_at	C11orf5	11q13	absent in all cases	absent in all cases
224008_s_at	KCNK7	11q13	absent in all cases	absent in all cases
224055_x_at	KCNK7	11q13	absent in all cases	absent in all cases
224283_x_at	IL18BP	11q13	absent in all cases	absent in all cases
224552_s_at	KCNK4	11q13	absent in all cases	absent in all cases
226138_s_at	PPP1R14B	11q13	absent in all cases	absent in all cases
227342_s_at	MYEOV	11q13	absent in all cases	absent in all cases
227343_at	MYEOV	11q13	absent in all cases	absent in all cases
227483_s_at	UNC93B1	11q13	absent in all cases	absent in all cases
227734_s_at	C11orf5	11q13	absent in all cases	absent in all cases
227795_at	NDUFV1	11q13	absent in all cases	absent in all cases
230202_at	RELA	11q13	absent in all cases	absent in all cases
230870_at	MUS81	11q13	absent in all cases	absent in all cases
231783_at	CHRM1	11q13	absent in all cases	absent in all cases
235539_at	NUMA1	11q13	absent in all cases	absent in all cases
240794_at	NXF	11q13	absent in all cases	absent in all cases
243965_at	GAL3ST2	11q13	absent in all cases	absent in all cases
244361_at	REQ	11q13	absent in all cases	absent in all cases
244522_at	HRD1	11q13	absent in all cases	absent in all cases
223372_at	DNAJC4	11q13	present at least in one case	absent in all cases
205155_s_at	SPTBN2	11q13	present at least in one case	absent in all cases
203826_s_at	PITPNM	11q13	present at least in one case	absent in all cases
208712_at	CCND1	11q13	present at least in one case	absent in all cases
206378_at	SCGB2A2	11q13	present at least in one case	present at least in one case
219827_at	UCP3	11q13	present at least in one case	present at least in one case
208711_s_at	CCND1	11q13	present at least in one case	present at least in one case
207910_at	SCGB1D1	11q13	present at least in one case	present at least in one case
214311_at	ZFPL1	11q13	present at least in one case	present at least in one case
207497_s_at	MS4A2	11q13	present at least in one case	present at least in one case
203193_at	ESRRA	11q13	present at least in one case	present at least in one case
240514_at	PGA5	11q13	present at least in one case	present at least in one case
206595_at	CST6	11q13	present at least in one case	present at least in one case
232322_x_at	STARD10	11q13	present at least in one case	present at least in one case
204717_s_at	SLC29A2	11q13	present at least in one case	present at least in one case
204942_s_at	ALDH3B2	11q13	present at least in one case	present at least in one case
224894_at	YAP1	11q13	present at least in one case	present at least in one case
214251_s_at	NUMA1	11q13	present at least in one case	present at least in one case
211893_x_at	CD6	11q13	present at least in one case	present at least in one case
211900_x_at	CD6	11q13	present at least in one case	present at least in one case
214073_at	EMS1	11q13	present at least in one case	present at least in one case
214019_at	CCND1	11q13	present at least in one case	present at least in one case
207496_at	MS4A2	11q13	present at least in one case	present at least in one case
205806_at	ROM1	11q13	present at least in one case	present at least in one case
207671_s_at	VMD2	11q13	present at least in one case	present at least in one case
204936_at	MAP4K2	11q13	present at least in one case	present at least in one case
209356_x_at	EFEMP2	11q13	present at least in one case	present at least in one case
232312_at	C11orf23	11q13	present at least in one case	present at least in one case
214074_s_at	EMS1	11q13	present at least in one case	present at least in one case
223103_at	STARD10	11q13	present at least in one case	present at least in one case
203473_at	SLC21A9	11q13	present at least in one case	present at least in one case
218832_x_at	ARRB1	11q13	present at least in one case	present at least in one case
225869_s_at	UNC93B1	11q13	present at least in one case	present at least in one case
209983_s_at	NRXN2	11q13	present at least in one case	present at least in one case
227473_at	EMS1	11q13	present at least in one case	present at least in one case
220998_s_at	UNC93B1	11q13	present at least in one case	present at least in one case
224895_at	YAP1	11q13	present at least in one case	present at least in one case
209982_s_at	NRXN2	11q13	present at least in one case	present at least in one case
