Oligo ID	Gene ID	Accession Number	Gene Symbol	Gene Name	IM-R:M	PD-R:M	IM-R:B	PD-R: B
11372	10153	NM_005760	CEBPZ	CCAAT/enhancer binding protein zeta	-0,01	-0,72	-6,77	1,70
25602	51022	NM_016066	GLRX2	Glutaredoxin 2	-0,22	-0,81	-5,01	1,69
55125	90952	NM_138961	ESAM	Endothelial cell adhesion molecule	0,18	0,97	-5,98	1,68
92946	660	NM_203281;NM_001721	BMX	BMX non-receptor tyrosine kinase	0,90	0,98	0,85	1,67
140	284459	NM_181786	HKR1	GLI-Kruppel family member HKR1	0,83	0,63	1,63	-1,07
159663	732115	XM_001131891	LOC732115	Similar to zinc finger protein 621	0,80	0,28	1,62	-4,95
4119	8869	NM_003896;NM_001042437	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	-0,75	-0,52	1,57	-1,44
76660	139135	NM_173493	PASD1	PAS domain containing 1	0,83	0,15	1,56	-6,19
96862	7881	NM_172160;NM_003471; NM_172159	KCNAB1	Potassium voltage-gated channel, shaker-related subfamily, beta member 1	0,70	0,81	0,22	1,55
13151	6302	NM_005981	TSPAN31	Tetraspanin 31	0,74	0,27	1,49	-4,85
28377	55647	NM_017817	RAB20	RAB20, member RAS oncogene family	-0,96	-0,71	1,48	-1,45
14715	11187	NM_007183	PKP3	Plakophilin 3	-0,83	-0,39	1,45	-3,66
72108	154043	NM_173515	CNKSR3	CNKSR family member 3	-0,79	-0,10	1,43	-6,43
26628	25874	NM_015415	BRP44	Brain protein 44	-0,73	-0,14	1,42	-6,07
87793	2523	NM_000148	FUT1	Fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase)	-0,87	-0,83	1,37	-0,40
132407	79813	NM_024757	EHMT1	Euchromatic histone-lysine N-methyltransferase 1	0,44	0,93	-3,64	1,35
92317	4258	NM_002413	MGST2	Microsomal glutathione S-transferase 2	0,21	1,02	-6,14	1,33
12352	4107	NM_005364	MAGEA8	Melanoma antigen family A, 8	-0,53	-0,77	-1,98	1,33
45696	80270	NM_025193	HSD3B7	Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	-0,88	-0,72	1,32	-0,44
79353		BC031359	BC031359	Clone IMAGE:4778855	0,99	0,70	1,30	-1,48
117798	277;279;27 6; 280;278	NM_001008218;NM_000699;NM_004038;NM_001008221;NM_020978;NM_001008219	AMY1B	Amylase, alpha 1B; salivary	0,31	0,87	-4,83	1,23
115350	27336	NM_014500	HTATSF1	HIV TAT specific factor 1	-0,80	-0,42	1,14	-3,32
85009	57210	NM_001080431	SLC45A4	Solute carrier family 45, member 4	-0,42	-0,72	-2,96	1,13
87542	87	NM_001102	ACTN1	Actinin, alpha 1	0,58	0,70	0,49	1,09
104606	2534	NM_153047;NM_153048; NM_002037	FYN	FYN oncogene related to SRC, FGR, YES	0,73	0,35	1,06	-3,78
26850	26146	NM_015650	TRAF3IP1	TNF receptor-associated factor 3 interacting protein 1	0,75	0,82	1,05	0,76
107847	6383	NM_002998	SDC2	Syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	-0,93	-0,55	1,04	-2,78
59559	143689	NM_152431	PIWIL4	Piwi-like 4 (Drosophila)	0,91	0,94	0,58	1,03
7194	8788	NM_001032997;NM_003836	DLK1	Delta-like 1 homolog (Drosophila)	-1,57	1,15	1,03	-1,79
94856	2067	NM_001983;NM_202001	ERCC1	Excision repair cross-complementing rodent repair deficiency, complementation group 1	0,74	0,82	0,02	1,03
19461	27309	NM_014487	ZNF330	Zinc finger protein 330	-0,26	0,84	-5,61	1,00
