Mouse Gene Identifier	Geometric mean of intensity in class 1: Early	Geometric mean of intensity in class 2: Late	Early/Late Ratio	Parametric p-value	FDR	Mouse 430 2.0 array probe set	Human U133A 2.0 array orthologous probe set	Description	Human Gene Identifier
Lphn1	184.1	112.6	1.635	0.0002433	0.0133229	1452812_at	203488_at	latrophilin 1	LPHN1
							219145_at	latrophilin 1	LPHN1
							47560_at	latrophilin 1	LPHN1
Gstm5	778.8	1402	0.555	0.0002437	0.0133229	1416842_at	202554_s_at	glutathione S-transferase M3 (brain)	GSTM3
Apob	76.4	297.2	0.257	0.0002459	0.0133803	1455593_at	205108_s_at	apolipoprotein B (including Ag(x) antigen)	APOB
Gpld1	42.3	122.5	0.345	0.0002507	0.0133803	1418050_at	206264_at	glycosylphosphatidylinositol specific phospholipase D1	GPLD1
							206265_s_at	glycosylphosphatidylinositol specific phospholipase D1	GPLD1
							206266_at	glycosylphosphatidylinositol specific phospholipase D1	GPLD1
							215554_at	glycosylphosphatidylinositol specific phospholipase D1	GPLD1
Serpinc1	992.7	2461.5	0.403	0.0002533	0.0133803	1417909_at	210049_at	serpin peptidase inhibitor, clade C (antithrombin), member 1	SERPINC1
Rbm14	17.2	27.9	0.616	0.0002552	0.0133803	1452003_at	204178_s_at	RNA binding motif protein 14	RBM14
Pcsk7	263.7	377.3	0.699	0.0002563	0.0133803	1417180_at	203118_at	proprotein convertase subtilisin/kexin type 7	PCSK7
Vtn	984.7	2198.7	0.448	0.0002565	0.0133803	1420484_a_at	204534_at	vitronectin	VTN
Plac8	371.8	650.7	0.571	0.0002585	0.0133803	1451335_at	219014_at	placenta-specific 8	PLAC8
Abcc6	60.8	114.7	0.53	0.0002607	0.0133803	1421212_at	208480_s_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	ABCC6
							215559_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	ABCC6
Aqp9	98.6	144.1	0.684	0.0002612	0.0133803	1424011_at	205568_at	aquaporin 9	AQP9
Hrsp12	338.5	466.3	0.726	0.0002613	0.0133803	1428326_s_at	203790_s_at	heat-responsive protein 12	HRSP12
Ctbp2	313.9	157	1.999	0.0002635	0.0133803	1422887_a_at	201219_at	C-terminal binding protein 2 /// similar to C-terminal binding protein 2 /// similar to C-terminal binding protein 2	CTBP2
							210835_s_at	C-terminal binding protein 2	CTBP2
Zranb1	313.9	157	1.999	0.0002635	0.0133803	1434705_at	201218_at	C-terminal binding protein 2 /// similar to C-terminal binding protein 2 /// similar to C-terminal binding protein 2 /// similar to C-terminal binding protein 2	CTBP2
							210554_s_at	C-terminal binding protein 2	CTBP2
							215377_at	C-terminal binding protein 2	CTBP2
Apof	287.6	898	0.32	0.0002694	0.0135156	1418239_at	207262_at	apolipoprotein F	APOF
Entpd5	75.6	120.9	0.625	0.0002709	0.0135156	1458677_at	205757_at	ectonucleoside triphosphate diphosphohydrolase 5	ENTPD5
Tmem50b	132.6	90	1.473	0.0002733	0.0135156	1423707_at	219600_s_at	transmembrane protein 50B	TMEM50B
Rbm13	497.8	359.8	1.384	0.0002761	0.0135156	1426426_at	211686_s_at	RNA binding motif protein 13 /// RNA binding motif protein 13	RBM13
Slc39a6	223.2	102.9	2.169	0.0002764	0.0135156	1424674_at	202088_at	solute carrier family 39 (zinc transporter), member 6	SLC39A6
							202089_s_at	solute carrier family 39 (zinc transporter), member 6	SLC39A6
Prg2	163.9	354.5	0.462	0.0002765	0.0135156	1422873_at	211743_s_at	proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein) /// proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)	PRG2
Tapbp	109.7	161.6	0.679	0.0002773	0.0135156	1450378_at	208829_at	TAP binding protein (tapasin)	TAPBP
							210294_at	TAP binding protein (tapasin)	TAPBP
A830073O21Rik	101.7	53.4	1.904	0.0002832	0.0135156	1434273_at	221880_s_at	hypothetical gene supported by AK075564; BC060873	LOC400451
							222085_at	Hypothetical gene supported by AK075564; BC060873	LOC400451
							51158_at	hypothetical gene supported by AK075564; BC060873	LOC400451
C8g	81.4	270.8	0.301	0.000284	0.0135156	1451625_a_at	210324_at	complement component 8, gamma polypeptide	C8G
Csrp2	328.7	159.8	2.057	0.0002841	0.0135156	1420731_a_at	207030_s_at	cysteine and glycine-rich protein 2	CSRP2
							211126_s_at	cysteine and glycine-rich protein 2	CSRP2
NM_009864	226.7	434.2	0.522	0.000285	0.0135156	1448261_at	201130_s_at	cadherin 1, type 1, E-cadherin (epithelial)	CDH1
							201131_s_at	cadherin 1, type 1, E-cadherin (epithelial)	CDH1
Tmem47	108.2	48.6	2.226	0.0002862	0.0135156	1420514_at	209655_s_at	transmembrane protein 47	TMEM47
							209656_s_at	transmembrane protein 47	TMEM47
Gpr23	121.3	48.9	2.481	0.0002869	0.0135156	1434186_at	206960_at	G protein-coupled receptor 23	GPR23
Selenbp1	306.1	560.8	0.546	0.0002871	0.0135156	1450699_at	214433_s_at	selenium binding protein 1 /// selenium binding protein 1	SELENBP1
Gpc1	74	32.9	2.249	0.0002937	0.0136267	1417389_at	202755_s_at	glypican 1	GPC1
							202756_s_at	glypican 1	GPC1
							214858_at	Glypican 1	GPC1
Klhl22	348.8	239.4	1.457	0.0002975	0.0136267	1426481_at	221837_at	kelch-like 22 (Drosophila)	KLHL22
							221838_at	kelch-like 22 (Drosophila)	KLHL22
							221948_s_at	Kelch-like 22 (Drosophila)	KLHL22
							222141_at	kelch-like 22 (Drosophila)	KLHL22
							49329_at	kelch-like 22 (Drosophila)	KLHL22
Dpys	12.3	71.6	0.172	0.0003056	0.0139093	1436291_a_at	206065_s_at	dihydropyrimidinase	DPYS
Pno1	631.9	375.9	1.681	0.0003076	0.0139093	1450735_at	203622_s_at	putatative 28 kDa protein	LOC56902
Pink1	81.9	136.1	0.602	0.0003088	0.0139093	1441937_s_at	209018_s_at	PTEN induced putative kinase 1	PINK1
							209019_s_at	PTEN induced putative kinase 1	PINK1
Pogk	75.2	29	2.593	0.0003088	0.0139093	1447864_s_at	218229_s_at	pogo transposable element with KRAB domain	POGK
Bhmt	317.1	1133.3	0.28	0.0003103	0.0139204	1450624_at	206119_at	betaine-homocysteine methyltransferase	BHMT
Maob	280.1	599.6	0.467	0.0003111	0.0139204	1434354_at	204041_at	monoamine oxidase B	MAOB
Pck2	156.7	264.2	0.593	0.0003127	0.013946	1425615_a_at	202847_at	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	PCK2
NM_009217	67.3	128	0.526	0.000316	0.0140011	1422256_at	214597_at	somatostatin receptor 2	SSTR2
							217455_s_at	somatostatin receptor 2	SSTR2
Klkb1	59.5	286.1	0.208	0.0003227	0.0140533	1449034_at	206541_at	kallikrein B, plasma (Fletcher factor) 1	KLKB1
Pkm2	1462.3	638.2	2.291	0.0003231	0.0140533	1417308_at	201251_at	pyruvate kinase, muscle	PKM2
							213700_s_at	Pyruvate kinase, muscle	PKM2
							217581_at	Pyruvate kinase, muscle	PKM2
Slc39a4	26.4	94.9	0.278	0.0003238	0.0140533	1451139_at	219215_s_at	solute carrier family 39 (zinc transporter), member 4	SLC39A4
Ltf	127.2	273.3	0.465	0.0003255	0.0140533	1450009_at	202018_s_at	lactotransferrin /// similar to lactotransferrin	LTF
Rab11fip3	114.3	62.3	1.835	0.0003255	0.0140533	1438022_at	203933_at	RAB11 family interacting protein 3 (class II)	RAB11FIP3
							214999_s_at	RAB11 family interacting protein 3 (class II)	RAB11FIP3
Mst1	72.1	233.7	0.309	0.0003287	0.0140533	1418267_at	213382_at	macrophage stimulating 1 (hepatocyte growth factor-like) /// macrophage stimulating, pseudogene 9	MST1
Smarcd3	139.7	76.7	1.821	0.0003298	0.0140533	1418467_at	204099_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	SMARCD3
Psap	874.2	1259.7	0.694	0.0003315	0.0140533	1415687_a_at	200866_s_at	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy) /// phospholipid scramblase 3	PSAP
							200871_s_at	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy) /// phospholipid scramblase 3	PSAP
Acadm	628.9	882.2	0.713	0.0003323	0.0140533	1415984_at	202502_at	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	ACADM
Smarca1	218.4	135.6	1.611	0.0003348	0.0140533	1460292_a_at	203873_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	SMARCA1
							203874_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	SMARCA1
							203875_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	SMARCA1
							215294_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	SMARCA1
Rhob	407.1	279.1	1.459	0.0003397	0.014215	1449110_at	212099_at	ras homolog gene family, member B	RHOB
NM_008878	2378.5	3784.1	0.629	0.0003456	0.014308	1417498_at	205075_at	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2	SERPINF2
Acaa2	769.2	1204.9	0.638	0.0003462	0.014308	1428146_s_at	202002_at	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	ACAA2
							202003_s_at	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	ACAA2
AI848301	209	316.1	0.661	0.0003472	0.014308	1441225_at	200696_s_at	gelsolin (amyloidosis, Finnish type)	GSN
NM_146120	209	316.1	0.661	0.0003472	0.014308	1415812_at	214040_s_at	gelsolin (amyloidosis, Finnish type)	GSN
Emr1	230.3	347.8	0.662	0.0003501	0.0143339	1451161_a_at	207111_at	egf-like module containing, mucin-like, hormone receptor-like 1	EMR1
Wt1	91	33.3	2.733	0.000351	0.0143339	1425995_s_at	206067_s_at	Wilms tumor 1	WT1
							216953_s_at	Wilms tumor 1	WT1
Man2a1	331.3	500.6	0.662	0.0003574	0.0144686	1448647_at	205105_at	mannosidase, alpha, class 2A, member 1	MAN2A1
Tspan6	282.8	137.9	2.051	0.0003575	0.0144686	1448501_at	209108_at	tetraspanin 6	TSPAN6
							209109_s_at	tetraspanin 6 /// zinc finger protein 444	TSPAN6
Hmgcs1	1259.1	2050.6	0.614	0.0003643	0.0146563	1433443_a_at	205822_s_at	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	HMGCS1
							221750_at	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	HMGCS1
Reck	148.3	76.2	1.946	0.000367	0.0146778	1450784_at	205407_at	reversion-inducing-cysteine-rich protein with kazal motifs	RECK
							216156_at	reversion-inducing-cysteine-rich protein with kazal motifs	RECK
Ctps	678.1	493	1.375	0.0003695	0.0147344	1416563_at	202613_at	CTP synthase	CTPS
Haao	27.2	112.4	0.242	0.0003713	0.0147627	1432492_a_at	205657_at	3-hydroxyanthranilate 3,4-dioxygenase	HAAO
1500003O22Rik	80.4	47.4	1.696	0.0003763	0.0148281	1416559_at	203170_at	KIAA0409	KIAA0409
							203171_s_at	KIAA0409	KIAA0409
Ttc3	535.4	294.3	1.819	0.0003806	0.0148281	1448361_at	208661_s_at	tetratricopeptide repeat domain 3	TTC3
							208662_s_at	tetratricopeptide repeat domain 3	TTC3
							208663_s_at	tetratricopeptide repeat domain 3	TTC3
							208664_s_at	tetratricopeptide repeat domain 3	TTC3
							210645_s_at	tetratricopeptide repeat domain 3	TTC3
Hmgn1	3727.1	2752	1.354	0.000391	0.0151462	1422495_a_at	200943_at	high-mobility group nucleosome binding domain 1	HMGN1
							200944_s_at	high-mobility group nucleosome binding domain 1	HMGN1
Serpind1	705.7	1509	0.468	0.0003924	0.0151571	1418680_at	205576_at	serpin peptidase inhibitor, clade D (heparin cofactor), member 1	SERPIND1
Armcx2	541.2	317.8	1.703	0.0003987	0.0153248	1415780_a_at	203404_at	armadillo repeat containing, X-linked 2	ARMCX2
Map4k1	109.1	79.5	1.372	0.000399	0.0153248	1439323_a_at	214339_s_at	mitogen-activated protein kinase kinase kinase kinase 1	MAP4K1
Itga8	147.3	91	1.619	0.0004039	0.0154051	1454966_at	214265_at	integrin, alpha 8	ITGA8
Hagh	268.8	600.2	0.448	0.0004044	0.0154051	1424172_at	205012_s_at	hydroxyacylglutathione hydrolase	HAGH
Itih2	1968.8	3288.4	0.599	0.0004045	0.0154051	1417618_at	204987_at	inter-alpha (globulin) inhibitor H2	ITIH2
Grik1	13.5	23.5	0.574	0.0004117	0.0155917	1427676_a_at	207242_s_at	glutamate receptor, ionotropic, kainate 1	GRIK1
							214611_at	glutamate receptor, ionotropic, kainate 1	GRIK1
Cyp2f2	46.4	72.7	0.638	0.0004141	0.0156389	1448792_a_at	207913_at	cytochrome P450, family 2, subfamily F, polypeptide 1	CYP2F1
Trfr2	277.8	458.7	0.606	0.0004292	0.0160419	1425381_a_at	207883_s_at	transferrin receptor 2	TFR2
							210215_at	transferrin receptor 2	TFR2
							215863_at	transferrin receptor 2	TFR2
Jak2	335	449.2	0.746	0.0004325	0.0160419	1421066_at	205841_at	Janus kinase 2 (a protein tyrosine kinase)	JAK2
							205842_s_at	Janus kinase 2 (a protein tyrosine kinase)	JAK2
Kng1	408.2	1746.2	0.234	0.0004411	0.0160419	1416676_at	206054_at	kininogen 1	KNG1
Smyd2	342	236.7	1.445	0.0004428	0.0160419	1424760_a_at	212921_at	SET and MYND domain containing 2	SMYD2
							212922_s_at	SET and MYND domain containing 2	SMYD2
Morc4	122.5	250.7	0.489	0.000446	0.0160419	1434436_at	219038_at	MORC family CW-type zinc finger 4	MORC4
Cd68	76.8	124.1	0.619	0.0004473	0.0160419	1449164_at	203507_at	CD68 molecule	CD68
Hc	127.3	425.4	0.299	0.000448	0.0160419	1419407_at	205500_at	complement component 5	C5
Cyld	91.5	124	0.738	0.0004565	0.0160419	1429618_at	213295_at	cylindromatosis (turban tumor syndrome)	CYLD
							214272_at	cylindromatosis (turban tumor syndrome)	CYLD
							221903_s_at	cylindromatosis (turban tumor syndrome)	CYLD
							221905_at	cylindromatosis (turban tumor syndrome)	CYLD
							222142_at	cylindromatosis (turban tumor syndrome)	CYLD
							39582_at	cylindromatosis (turban tumor syndrome)	CYLD
							60084_at	cylindromatosis (turban tumor syndrome)	CYLD
Mycn	200.5	81.9	2.448	0.0004582	0.0160419	1417155_at	209756_s_at	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	MYCN
							209757_s_at	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	MYCN
Gldc	248.7	390.5	0.637	0.0004601	0.0160419	1416049_at	204836_at	glycine dehydrogenase (decarboxylating)	GLDC
Igfbp1	373.7	830.1	0.45	0.0004625	0.0160419	1418918_at	205302_at	insulin-like growth factor binding protein 1	IGFBP1
F11	24.3	165.9	0.146	0.0004629	0.0160419	1451788_at	206610_s_at	coagulation factor XI (plasma thromboplastin antecedent)	F11
Saa4	75	137.8	0.544	0.0004632	0.0160419	1419318_at	207096_at	serum amyloid A4, constitutive	SAA4
Rarb	111.4	56.3	1.979	0.0004635	0.0160419	1454906_at	205080_at	retinoic acid receptor, beta	RARB
							208412_s_at	retinoic acid receptor, beta	RARB
							208413_at	Retinoic acid receptor, beta	RARB
							208530_s_at	retinoic acid receptor, beta	RARB
							217020_at	retinoic acid receptor, beta	RARB
Ncaph2	311.9	421.8	0.739	0.000464	0.0160419	1423698_at	205086_s_at	kleisin beta	hCAP-H2
							209718_at	kleisin beta	hCAP-H2
							221633_at	kleisin beta	hCAP-H2
							40640_at	kleisin beta	hCAP-H2
Cd3g	24	51.7	0.464	0.000465	0.0160419	1419178_at	206804_at	CD3g molecule, gamma (CD3-TCR complex)	CD3G
Slc22a3	114.1	83.8	1.362	0.0004699	0.0161698	1420444_at	205421_at	solute carrier family 22 (extraneuronal monoamine transporter), member 3	SLC22A3
Crlz1	907.5	660.6	1.374	0.0004723	0.0161914	1417583_a_at	209486_at	disrupter of silencing 10	SAS10
Phyh	238.2	494.5	0.482	0.0004735	0.0161914	1460194_at	203335_at	phytanoyl-CoA 2-hydroxylase	PHYH
Gstm1	1004.4	1386.4	0.724	0.0004752	0.0161914	1448330_at	205752_s_at	glutathione S-transferase M5	GSTM5
Gjb1	38.8	233.3	0.166	0.0004764	0.0161914	1448767_s_at	204973_at	gap junction protein, beta 1, 32kDa (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked)	GJB1
Zfp523	171.4	242.7	0.706	0.0004765	0.0161914	1434085_at	207494_s_at	zinc finger protein 76 (expressed in testis)	ZNF76
Lcp1	203.4	278	0.732	0.0004803	0.0162798	1415983_at	208885_at	lymphocyte cytosolic protein 1 (L-plastin)	LCP1
Isg20	117.5	510.9	0.23	0.000487	0.0164247	1419569_a_at	204698_at	interferon stimulated exonuclease gene 20kDa	ISG20
							33304_at	interferon stimulated exonuclease gene 20kDa	ISG20
Uchl4	777	519.8	1.495	0.0004945	0.0164586	1449855_s_at	204616_at	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)	UCHL3
Socs6	104	67.5	1.541	0.0004952	0.0164586	1435492_at	206020_at	suppressor of cytokine signaling 6	SOCS6
							214462_at	suppressor of cytokine signaling 6	SOCS6
Slc37a4	165.4	259.6	0.637	0.0004959	0.0164586	1417042_at	202830_s_at	solute carrier family 37 (glycerol-6-phosphate transporter), member 4	SLC37A4
							217289_s_at	solute carrier family 37 (glycerol-6-phosphate transporter), member 4	SLC37A4
Itih4	23.9	345.8	0.069	0.0004965	0.0164586	1431808_a_at	206287_s_at	inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein)	ITIH4
							37201_at	inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein)	ITIH4
Fryl	139.8	291.9	0.479	0.0005034	0.0166061	1415758_at	212546_s_at	furry homolog-like (Drosophila)	FRYL
							212548_s_at	furry homolog-like (Drosophila)	FRYL
St6gal1	289.1	432.3	0.669	0.0005079	0.0166331	1420927_at	201998_at	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	ST6GAL1
							214970_s_at	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	ST6GAL1
							214971_s_at	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	ST6GAL1
H2-D1	177.3	481.8	0.368	0.0005107	0.0166672	1449556_at	200904_at	major histocompatibility complex, class I, E	HLA-E
Flrt3	71.1	16.5	4.309	0.0005114	0.0166672	1429310_at	219250_s_at	fibronectin leucine rich transmembrane protein 3	FLRT3
Cd302	345.3	624.8	0.553	0.000519	0.0168743	1448919_at	203799_at	CD302 molecule	CD302
Trps1	76.1	29.7	2.562	0.0005269	0.0170902	1434286_at	218502_s_at	trichorhinophalangeal syndrome I	TRPS1
Csad	156.3	263.4	0.593	0.0005371	0.0173795	1427981_a_at	221139_s_at	cysteine sulfinic acid decarboxylase	CSAD
Ovol1	19.2	30.1	0.638	0.0005387	0.0173897	1419051_at	206604_at	ovo-like 1(Drosophila)	OVOL1
Efnb2	70.1	23.2	3.022	0.000544	0.0174655	1419639_at	202668_at	ephrin-B2	EFNB2
							202669_s_at	ephrin-B2	EFNB2
Ifrd1	257.7	179	1.44	0.0005462	0.0174655	1416067_at	202146_at	interferon-related developmental regulator 1	IFRD1
							202147_s_at	interferon-related developmental regulator 1	IFRD1
Gamt	288.3	545	0.529	0.0005554	0.0176602	1422558_at	205354_at	guanidinoacetate N-methyltransferase	GAMT
Nnat	486.5	168	2.896	0.0005554	0.0176602	1423506_a_at	204239_s_at	neuronatin	NNAT
NM_007904	457.9	245.8	1.863	0.0005575	0.0176602	1437347_at	204271_s_at	endothelin receptor type B	EDNRB
							204273_at	endothelin receptor type B	EDNRB
NM_028696	31	44.6	0.695	0.0005609	0.017685	1455679_at	219334_s_at	oligonucleotide/oligosaccharide-binding fold containing 2A	OBFC2A
Car5a	15.7	35.5	0.442	0.0005634	0.017685	1419525_at	207421_at	carbonic anhydrase VA, mitochondrial	CA5A
Ahsg	427	3360.1	0.127	0.0005635	0.017685	1455093_a_at	204551_s_at	alpha-2-HS-glycoprotein	AHSG
							210929_s_at	alpha-2-HS-glycoprotein	AHSG
Gstt2	191.2	327.5	0.584	0.0005741	0.0178257	1417883_at	205439_at	glutathione S-transferase theta 2	GSTT2
Heph	57.5	28	2.054	0.0005752	0.0178257	1448696_at	203902_at	hephaestin	HEPH
							203903_s_at	hephaestin	HEPH
Npas2	68.1	36.9	1.846	0.0005785	0.0178257	1421036_at	205459_s_at	neuronal PAS domain protein 2	NPAS2
							205460_at	neuronal PAS domain protein 2	NPAS2
							213462_at	neuronal PAS domain protein 2	NPAS2
							39548_at	neuronal PAS domain protein 2	NPAS2
							39549_at	neuronal PAS domain protein 2	NPAS2
Bnc1	89.8	40.8	2.201	0.0005817	0.0178836	1424890_at	206581_at	basonuclin 1	BNC1
B4galt2	40.9	17.2	2.378	0.0005854	0.0179567	1418080_at	209413_at	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2	B4GALT2
Aldh1b1	148	321.9	0.46	0.0005885	0.018011	1451260_at	209645_s_at	aldehyde dehydrogenase 1 family, member B1	ALDH1B1
Pipox	101.9	164	0.621	0.0005958	0.0181214	1449374_at	221605_s_at	pipecolic acid oxidase	PIPOX
Ptx3	36.8	14.3	2.573	0.0005989	0.0181214	1456903_at	206157_at	pentraxin-related gene, rapidly induced by IL-1 beta	PTX3
NM_022882	195.4	342.8	0.57	0.0006011	0.0181214	1452836_at	202459_s_at	lipin 2	LPIN2
							202460_s_at	lipin 2	LPIN2
Akt3	54.3	26.7	2.034	0.0006027	0.0181214	1435879_at	212607_at	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	AKT3
							212609_s_at	V-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	AKT3
							219393_s_at	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	AKT3
Evl	191.5	99.6	1.923	0.0006028	0.0181214	1434920_a_at	217838_s_at	Enah/Vasp-like	EVL
Abca7	136.4	239.4	0.57	0.0006109	0.0182454	1419238_at	219577_s_at	ATP-binding cassette, sub-family A (ABC1), member 7	ABCA7
2610206B13Rik	186.9	99.1	1.886	0.0006127	0.0182454	1428498_at	219303_at	chromosome 13 open reading frame 7	C13orf7
Ctns	42.1	67.9	0.62	0.0006131	0.0182454	1456450_at	204925_at	cystinosis, nephropathic	CTNS
Ctns	42.1	67.9	0.62	0.0006131	0.0182454	1416274_at	36566_at	cystinosis, nephropathic	CTNS
Dusp4	63.8	44.2	1.443	0.000615	0.0182454	1428834_at	204014_at	dual specificity phosphatase 4	DUSP4
							204015_s_at	dual specificity phosphatase 4	DUSP4
Gc	207.5	1684.5	0.123	0.0006195	0.0183255	1426547_at	204965_at	group-specific component (vitamin D binding protein)	GC
NM_019775	363.1	783.5	0.463	0.0006204	0.0183255	1418771_a_at	206651_s_at	carboxypeptidase B2 (plasma, carboxypeptidase U)	CPB2
Agt	97.7	520.7	0.188	0.0006219	0.0183298	1423396_at	202834_at	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	AGT
Fkbp11	371.8	558.9	0.665	0.0006264	0.0183812	1417267_s_at	219117_s_at	FK506 binding protein 11, 19 kDa	FKBP11
							219118_at	FK506 binding protein 11, 19 kDa	FKBP11
NM_011013	168.2	239	0.704	0.0006316	0.0183812	1425432_at	207994_s_at	opioid receptor, mu 1	OPRM1
							211359_s_at	opioid receptor, mu 1	OPRM1
XM_131258	123	85.2	1.444	0.0006334	0.0183812	1434111_at	206953_s_at	latrophilin 2	LPHN2
Serping1	201.3	334.9	0.601	0.0006356	0.0183812	1416625_at	200986_at	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	SERPING1
Pdzrn3	114.2	58.8	1.942	0.0006369	0.0183812	1416846_a_at	212915_at	PDZ domain containing RING finger 3	PDZRN3
							216130_at	PDZ domain containing RING finger 3	PDZRN3
							216152_at	PDZ domain containing RING finger 3	PDZRN3
Gdf10	305.6	185.5	1.647	0.0006372	0.0183812	1424007_at	206159_at	growth differentiation factor 10	GDF10
Hsd17b2	125.2	449.6	0.278	0.0006457	0.0184036	1418352_at	204818_at	hydroxysteroid (17-beta) dehydrogenase 2	HSD17B2
Pgk2	97.1	50.8	1.911	0.0006482	0.0184036	1416784_at	217009_at	phosphoglycerate kinase 2	PGK2
Matn2	23.3	47.4	0.492	0.0006491	0.0184036	1419442_at	202350_s_at	matrilin 2	MATN2
Pon3	70.6	133.9	0.527	0.0006506	0.0184036	1419298_at	213695_at	paraoxonase 3	PON3
Cdh16	86.7	53.2	1.63	0.0006516	0.0184036	1448906_at	206517_at	cadherin 16, KSP-cadherin	CDH16
Pde8a	64.1	103.2	0.621	0.0006561	0.0184036	1418406_at	212521_s_at	phosphodiesterase 8A	PDE8A
							212522_at	phosphodiesterase 8A	PDE8A
							215635_at	Phosphodiesterase 8A	PDE8A
							216046_at	Phosphodiesterase 8A	PDE8A
Brca1	257.4	396.4	0.649	0.0006564	0.0184036	1424629_at	204531_s_at	breast cancer 1, early onset	BRCA1
Kif13b	487.4	771.9	0.631	0.0006572	0.0184036	1436056_at	202962_at	kinesin family member 13B	KIF13B
Fdft1	191.8	286	0.671	0.0006575	0.0184036	1459497_at	208647_at	farnesyl-diphosphate farnesyltransferase 1	FDFT1
							210950_s_at	farnesyl-diphosphate farnesyltransferase 1	FDFT1
Tgif1	98	57.1	1.716	0.00066	0.0184036	1422286_a_at	203313_s_at	TGFB-induced factor (TALE family homeobox)	TGIF
Tmem142c	94.8	239.1	0.396	0.0006632	0.0184036	1434064_at	221864_at	transmembrane protein 142C	TMEM142C
Pla1a	85.4	400.4	0.213	0.0006652	0.0184036	1417785_at	219584_at	phospholipase A1 member A	PLA1A
Acsl1	751	1362.6	0.551	0.00067	0.0184036	1423883_at	201963_at	acyl-CoA synthetase long-chain family member 1	ACSL1
							207275_s_at	acyl-CoA synthetase long-chain family member 1	ACSL1
Dhrs7	58.4	78.3	0.746	0.0006725	0.0184036	1426440_at	201789_at	dehydrogenase/reductase (SDR family) member 7	DHRS7
							210788_s_at	dehydrogenase/reductase (SDR family) member 7	DHRS7
							213868_s_at	Dehydrogenase/reductase (SDR family) member 7	DHRS7
Serpina10	501.6	1013.1	0.495	0.0006738	0.0184036	1424758_s_at	220626_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10	SERPINA10
Fgf13	51.8	21.7	2.387	0.0006741	0.0184036	1418498_at	205110_s_at	fibroblast growth factor 13	FGF13
Large	121.2	69.1	1.754	0.0006748	0.0184036	1417435_at	204414_at	like-glycosyltransferase	LARGE
							215538_at	like-glycosyltransferase	LARGE
							215543_s_at	like-glycosyltransferase	LARGE
Grwd1	273.2	181.3	1.507	0.0006754	0.0184036	1452171_at	221549_at	glutamate-rich WD repeat containing 1	GRWD1
Rkhd1	106.5	63.4	1.68	0.0006779	0.0184036	1437627_at	91816_f_at	ring finger and KH domain containing 1	RKHD1
Col18a1	487.3	829.6	0.587	0.0006787	0.0184036	1418237_s_at	209081_s_at	collagen, type XVIII, alpha 1	COL18A1
							209082_s_at	collagen, type XVIII, alpha 1	COL18A1
Odz3	185.5	140.3	1.322	0.0006868	0.018491	1447183_at	219523_s_at	odz, odd Oz/ten-m homolog 3 (Drosophila)	ODZ3
Tbcb	486.7	355.4	1.369	0.0006869	0.018491	1448533_at	216194_s_at	cytoskeleton associated protein 1	CKAP1
Morf4l1	1297.4	940.7	1.379	0.0006957	0.018491	1455077_a_at	221381_s_at	mortality factor 4 like 1 /// mortality factor 4	MORF4L1
