Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with 5q- and normal
222503_s_at	FLJ10904	5q13.2	present at least in one case	present at least in one case
227267_at	FLJ35779	5q13.2	present at least in one case	present at least in one case
203474_at	IQGAP2	5q13.2	present at least in one case	present at least in one case
213954_at	KIAA0888	5q13.2	present at least in one case	present at least in one case
216086_at	KIAA1054	5q13.2	present at least in one case	present at least in one case
228402_at	MGC15435	5q13.2	present at least in one case	present at least in one case
235115_at	PDE8B	5q13.2	absent in all cases	absent in all cases
243590_at	PDE8B	5q13.2	present at least in one case	present at least in one case
213228_at	PDE8B	5q13.2	present at least in one case	present at least in one case
201922_at	YR-29	5q13.2	present at least in one case	present at least in one case
203141_s_at	AP3B1	5q13.3	present at least in one case	present at least in one case
203142_s_at	AP3B1	5q13.3	present at least in one case	present at least in one case
205295_at	CKMT2	5q13.3	present at least in one case	present at least in one case
237981_at	DKFZp451G182	5q13.3	absent in all cases	absent in all cases
233520_s_at	DKFZp451G182	5q13.3	present at least in one case	present at least in one case
231790_at	DMGDH	5q13.3	present at least in one case	present at least in one case
241985_at	FLJ37870	5q13.3	present at least in one case	present at least in one case
238706_at	FLJ38499	5q13.3	present at least in one case	present at least in one case
225761_at	FLJ38499	5q13.3	present at least in one case	present at least in one case
212658_at	LHFPL2	5q13.3	present at least in one case	present at least in one case
224167_at	NYD-TSP1	5q13.3	absent in all cases	absent in all cases
223835_x_at	OTP	5q13.3	present at least in one case	present at least in one case
238243_at	RASA1	5q13.3	absent in all cases	absent in all cases
210621_s_at	RASA1	5q13.3	present at least in one case	present at least in one case
202677_at	RASA1	5q13.3	present at least in one case	present at least in one case
203667_at	TBCA	5q13.3	present at least in one case	present at least in one case
204093_at	CCNH	5q13.3-q14	present at least in one case	present at least in one case
202540_s_at	HMGCR	5q13.3-q14	present at least in one case	present at least in one case
202539_s_at	HMGCR	5q13.3-q14	present at least in one case	present at least in one case
206667_s_at	SCAMP1	5q13.3-q14.1	present at least in one case	present at least in one case
212425_at	SCAMP1	5q13.3-q14.1	present at least in one case	present at least in one case
212417_at	SCAMP1	5q13.3-q14.1	present at least in one case	present at least in one case
206668_s_at	SCAMP1	5q13.3-q14.1	present at least in one case	present at least in one case
212416_at	SCAMP1	5q13.3-q14.1	present at least in one case	present at least in one case
210812_at	XRCC4	5q13-q14	present at least in one case	present at least in one case
205071_x_at	XRCC4	5q13-q14	present at least in one case	present at least in one case
205072_s_at	XRCC4	5q13-q14	present at least in one case	present at least in one case
210813_s_at	XRCC4	5q13-q14	present at least in one case	present at least in one case
213846_at	COX7C	5q14	present at least in one case	present at least in one case
217491_x_at	COX7C	5q14	present at least in one case	present at least in one case
201134_x_at	COX7C	5q14	present at least in one case	present at least in one case
214345_at	EDIL3	5q14	absent in all cases	absent in all cases
207379_at	EDIL3	5q14	present at least in one case	present at least in one case
225275_at	EDIL3	5q14	present at least in one case	present at least in one case
209276_s_at	GLRX	5q14	present at least in one case	present at least in one case
206662_at	GLRX	5q14	present at least in one case	present at least in one case
207968_s_at	MEF2C	5q14	present at least in one case	present at least in one case
209200_at	MEF2C	5q14	present at least in one case	present at least in one case
209199_s_at	MEF2C	5q14	present at least in one case	present at least in one case
209506_s_at	NR2F1	5q14	absent in all cases	absent in all cases
244071_at	NR2F1	5q14	absent in all cases	absent in all cases
209505_at	NR2F1	5q14	present at least in one case	present at least in one case
243477_at	APG10L	5q14.1	absent in all cases	absent in all cases
223677_at	APG10L	5q14.1	present at least in one case	present at least in one case
238160_at	CACH-1	5q14.1	present at least in one case	absent in all cases
225538_at	DKFZp761J139	5q14.1	present at least in one case	present at least in one case
210710_at	HSU84971	5q14.1	present at least in one case	present at least in one case
208042_at	HSU84971	5q14.1	present at least in one case	present at least in one case
224702_at	LOC153339	5q14.1	present at least in one case	present at least in one case
226276_at	LOC153339	5q14.1	present at least in one case	present at least in one case
200926_at	RPS23	5q14.1	present at least in one case	present at least in one case
210829_s_at	SSBP2	5q14.1	present at least in one case	present at least in one case
203787_at	SSBP2	5q14.1	present at least in one case	present at least in one case
213793_s_at	HOMER1	5q14.2	present at least in one case	present at least in one case
207731_at	MGC33214	5q14.2	present at least in one case	present at least in one case
236227_at	MGC33214	5q14.2	present at least in one case	present at least in one case
238783_at	MGC33214	5q14.2	present at least in one case	present at least in one case
227861_at	MGC33214	5q14.2	present at least in one case	present at least in one case
214034_at	ARTS-1	5q14.3	present at least in one case	present at least in one case
214012_at	ARTS-1	5q14.3	present at least in one case	present at least in one case
210385_s_at	ARTS-1	5q14.3	present at least in one case	present at least in one case
209788_s_at	ARTS-1	5q14.3	present at least in one case	present at least in one case
212586_at	ARTS-1	5q14.3	present at least in one case	present at least in one case
209662_at	CETN3	5q14.3	present at least in one case	present at least in one case
205523_at	CRTL1	5q14.3	absent in all cases	absent in all cases
205524_s_at	CRTL1	5q14.3	absent in all cases	absent in all cases
230204_at	CRTL1	5q14.3	present at least in one case	present at least in one case
204619_s_at	CSPG2	5q14.3	present at least in one case	present at least in one case
215646_s_at	CSPG2	5q14.3	present at least in one case	present at least in one case
211571_s_at	CSPG2	5q14.3	present at least in one case	present at least in one case
204620_s_at	CSPG2	5q14.3	present at least in one case	present at least in one case
221731_x_at	CSPG2	5q14.3	present at least in one case	present at least in one case
239147_at	DKFZp313G1735	5q14.3	absent in all cases	absent in all cases
223882_at	DKFZP564D172	5q14.3	present at least in one case	present at least in one case
212936_at	DKFZP564D172	5q14.3	present at least in one case	present at least in one case
223542_at	DKFZp761C121	5q14.3	present at least in one case	present at least in one case
214445_at	ELL2	5q14.3	absent in all cases	absent in all cases
214446_at	ELL2	5q14.3	present at least in one case	present at least in one case
226099_at	ELL2	5q14.3	present at least in one case	present at least in one case
226982_at	ELL2	5q14.3	present at least in one case	present at least in one case
239380_at	FIS	5q14.3	present at least in one case	present at least in one case
220900_at	FLJ12078	5q14.3	absent in all cases	absent in all cases
220122_at	FLJ22344	5q14.3	present at least in one case	present at least in one case
240065_at	FLJ25333	5q14.3	present at least in one case	present at least in one case
236728_at	FLJ39485	5q14.3	present at least in one case	present at least in one case
203048_s_at	KIAA0372	5q14.3	present at least in one case	present at least in one case
203049_s_at	KIAA0372	5q14.3	present at least in one case	present at least in one case
233915_at	KIAA0825	5q14.3	absent in all cases	absent in all cases
224797_at	KIAA1376	5q14.3	present at least in one case	present at least in one case
226321_at	LOC116068	5q14.3	present at least in one case	present at least in one case
216048_s_at	RHOBTB3	5q14.3	present at least in one case	present at least in one case
202976_s_at	RHOBTB3	5q14.3	present at least in one case	present at least in one case
216049_at	RHOBTB3	5q14.3	present at least in one case	present at least in one case
225202_at	RHOBTB3	5q14.3	present at least in one case	present at least in one case
206654_s_at	RPC32	5q14.3	present at least in one case	present at least in one case
214620_x_at	PAM	5q14-q21	present at least in one case	present at least in one case
202336_s_at	PAM	5q14-q21	present at least in one case	present at least in one case
212958_x_at	PAM	5q14-q21	present at least in one case	present at least in one case
222663_at	FLJ11159	5q15	present at least in one case	present at least in one case
218535_s_at	FLJ11159	5q15	present at least in one case	present at least in one case
236163_at	FLJ25534	5q15	absent in all cases	absent in all cases
230865_at	FLJ25534	5q15	present at least in one case	present at least in one case
242450_at	FLJ90406	5q15	present at least in one case	present at least in one case
207904_s_at	LNPEP	5q15	present at least in one case	present at least in one case
227339_at	LOC285705	5q15	absent in all cases	absent in all cases
227340_s_at	LOC285705	5q15	present at least in one case	present at least in one case
226989_at	LOC285705	5q15	present at least in one case	present at least in one case
223840_s_at	NYD-SP16	5q15	absent in all cases	absent in all cases
223841_s_at	NYD-SP16	5q15	absent in all cases	absent in all cases
212580_at	CAST	5q15-q21	present at least in one case	present at least in one case
209701_at	CAST	5q15-q21	present at least in one case	present at least in one case
208908_s_at	CAST	5q15-q21	present at least in one case	present at least in one case
207467_x_at	CAST	5q15-q21	present at least in one case	present at least in one case
235791_x_at	CHD1	5q15-q21	present at least in one case	present at least in one case
204258_at	CHD1	5q15-q21	present at least in one case	present at least in one case
205825_at	PCSK1	5q15-q21	absent in all cases	absent in all cases
207301_at	EFNA5	5q21	present at least in one case	present at least in one case
206412_at	FER	5q21	present at least in one case	present at least in one case
202382_s_at	GNPI	5q21	present at least in one case	present at least in one case
201413_at	HSD17B4	5q21	present at least in one case	present at least in one case
224829_at	KIAA1673	5q21	present at least in one case	present at least in one case
224828_at	KIAA1673	5q21	present at least in one case	present at least in one case
224831_at	KIAA1673	5q21	present at least in one case	present at least in one case
206925_at	SIAT8D	5q21	present at least in one case	present at least in one case
219467_at	FLJ20125	5q21.1	present at least in one case	present at least in one case
203253_s_at	KIAA0433	5q21.1	present at least in one case	present at least in one case
221823_at	LOC90355	5q21.1	present at least in one case	present at least in one case
223535_at	NUDT12	5q21.1	present at least in one case	present at least in one case
207596_at	PRO2176	5q21.1	present at least in one case	present at least in one case
222071_s_at	PRO2176	5q21.1	present at least in one case	present at least in one case
208245_at	RAB9P1	5q21.2	present at least in one case	present at least in one case
210349_at	CAMK4	5q21.3	present at least in one case	present at least in one case
233087_at	FBXO13	5q21.3	present at least in one case	present at least in one case
201133_s_at	KIAA0438	5q21.3	present at least in one case	present at least in one case
226831_at	LOC91137	5q21.3	present at least in one case	present at least in one case
212833_at	LOC91137	5q21.3	present at least in one case	present at least in one case
226390_at	STARD4	5q21.3	present at least in one case	present at least in one case
238677_at	TA-WDRP	5q21.3	present at least in one case	present at least in one case
226180_at	TA-WDRP	5q21.3	present at least in one case	present at least in one case
235737_at	TSLP	5q21.3	present at least in one case	present at least in one case
203527_s_at	APC	5q21-q22	absent in all cases	absent in all cases
203526_s_at	APC	5q21-q22	present at least in one case	present at least in one case
216933_x_at	APC	5q21-q22	present at least in one case	present at least in one case
203525_s_at	APC	5q21-q22	present at least in one case	present at least in one case
204833_at	APG12L	5q21-q22	present at least in one case	present at least in one case
213026_at	APG12L	5q21-q22	present at least in one case	present at least in one case
205105_at	MAN2A1	5q21-q22	present at least in one case	present at least in one case
206132_at	MCC	5q21-q22	present at least in one case	present at least in one case
205335_s_at	SRP19	5q21-q22	present at least in one case	present at least in one case
228256_s_at	TIGA1	5q21-q22	present at least in one case	present at least in one case
228259_s_at	TIGA1	5q21-q22	present at least in one case	present at least in one case
225698_at	TIGA1	5q21-q22	present at least in one case	present at least in one case
202442_at	AP3S1	5q22	present at least in one case	present at least in one case
203791_at	DMXL1	5q22	present at least in one case	present at least in one case
213341_at	FEM1C	5q22	present at least in one case	present at least in one case
206512_at	U2AF1RS1	5q22	absent in all cases	absent in all cases
230424_at	C5orf13	5q22.1	present at least in one case	present at least in one case
201309_x_at	C5orf13	5q22.1	present at least in one case	present at least in one case
201310_s_at	C5orf13	5q22.1	present at least in one case	present at least in one case
238779_at	DCP2	5q22.1	absent in all cases	absent in all cases
220119_at	EPB41L4A	5q22.1	absent in all cases	absent in all cases
220120_s_at	EPB41L4A	5q22.1	absent in all cases	absent in all cases
220364_at	FLJ11235	5q22.1	absent in all cases	absent in all cases
205835_s_at	FLJ21940	5q22.1	present at least in one case	present at least in one case
205836_s_at	FLJ21940	5q22.1	present at least in one case	present at least in one case
213077_at	FLJ21940	5q22.1	present at least in one case	present at least in one case
211694_at	STK22D	5q22.1	absent in all cases	absent in all cases
218170_at	CGI-111	5q22.1-q33.3	present at least in one case	present at least in one case
220116_at	KCNN2	5q22.2	present at least in one case	present at least in one case
235208_at	MGC39633	5q22.2	present at least in one case	present at least in one case
206288_at	PGGT1B	5q22.2	present at least in one case	present at least in one case
235615_at	PGGT1B	5q22.2	present at least in one case	present at least in one case
242844_at	PGGT1B	5q22.2	present at least in one case	present at least in one case
231123_at	TRIM36	5q22.2	absent in all cases	absent in all cases
219736_at	TRIM36	5q22.2	present at least in one case	present at least in one case
214658_at	CGI-109	5q22.3	present at least in one case	present at least in one case
209404_s_at	CGI-109	5q22.3	present at least in one case	present at least in one case
235382_at	FLJ90650	5q22.3	absent in all cases	absent in all cases
218439_s_at	PTD002	5q22.3	present at least in one case	present at least in one case
222637_at	PTD002	5q22.3	present at least in one case	present at least in one case
204154_at	CDO1	5q22-q23	present at least in one case	present at least in one case
243706_at	CDO1	5q22-q23	present at least in one case	present at least in one case
208873_s_at	DP1	5q22-q23	present at least in one case	present at least in one case
208872_s_at	DP1	5q22-q23	present at least in one case	present at least in one case
203538_at	CAMLG	5q23	present at least in one case	present at least in one case
229702_at	CSNK1G3	5q23	present at least in one case	present at least in one case
227767_at	CSNK1G3	5q23	present at least in one case	present at least in one case
220768_s_at	CSNK1G3	5q23	present at least in one case	present at least in one case
222076_at	DTR	5q23	absent in all cases	absent in all cases
38037_at	DTR	5q23	present at least in one case	present at least in one case
203821_at	DTR	5q23	present at least in one case	present at least in one case
214091_s_at	GPX3	5q23	present at least in one case	present at least in one case
201348_at	GPX3	5q23	present at least in one case	present at least in one case
202114_at	SNX2	5q23	present at least in one case	present at least in one case
202113_s_at	SNX2	5q23	present at least in one case	present at least in one case
241734_at	FLJ25286	5q23.1	present at least in one case	present at least in one case
208296_x_at	GG2-1	5q23.1	present at least in one case	present at least in one case
210260_s_at	GG2-1	5q23.1	present at least in one case	present at least in one case
220014_at	LOC51334	5q23.1	present at least in one case	present at least in one case
215028_at	SEMA6A	5q23.1	present at least in one case	present at least in one case
225660_at	SEMA6A	5q23.1	present at least in one case	present at least in one case
223449_at	SEMA6A	5q23.1	present at least in one case	present at least in one case
220454_s_at	SEMA6A	5q23.1	present at least in one case	present at least in one case
233475_at	SNCAIP	5q23.1-q23.3	absent in all cases	absent in all cases
237834_at	SNCAIP	5q23.1-q23.3	present at least in one case	present at least in one case
237833_s_at	SNCAIP	5q23.1-q23.3	present at least in one case	present at least in one case
219511_s_at	SNCAIP	5q23.1-q23.3	present at least in one case	present at least in one case
230609_at	ENTH	5q23.1-q33.3	present at least in one case	present at least in one case
201768_s_at	ENTH	5q23.1-q33.3	present at least in one case	present at least in one case
201769_at	ENTH	5q23.1-q33.3	present at least in one case	present at least in one case
218706_s_at	FLJ21313	5q23.2	present at least in one case	present at least in one case
226449_at	FLJ36090	5q23.2	present at least in one case	present at least in one case
232303_at	KIAA1281	5q23.2	present at least in one case	present at least in one case
229817_at	KIAA1281	5q23.2	present at least in one case	present at least in one case
230385_at	LOC153277	5q23.2	absent in all cases	absent in all cases
213640_s_at	LOX	5q23.2	absent in all cases	absent in all cases
204298_s_at	LOX	5q23.2	present at least in one case	present at least in one case
215446_s_at	LOX	5q23.2	present at least in one case	present at least in one case
234405_s_at	PHAX	5q23.2	present at least in one case	present at least in one case
231812_x_at	PHAX	5q23.2	present at least in one case	present at least in one case
204518_s_at	PPIC	5q23.2	present at least in one case	present at least in one case
204517_at	PPIC	5q23.2	present at least in one case	present at least in one case
230311_s_at	PRDM6	5q23.2	absent in all cases	absent in all cases
232374_s_at	PRDM6	5q23.2	absent in all cases	absent in all cases
222716_s_at	SBBI31	5q23.2	absent in all cases	absent in all cases
233883_at	SBBI31	5q23.2	absent in all cases	absent in all cases
218705_s_at	SBBI31	5q23.2	present at least in one case	present at least in one case
221734_at	LOC133619	5q23.3	present at least in one case	present at least in one case
224643_at	LOC133619	5q23.3	present at least in one case	present at least in one case
204404_at	SLC12A2	5q23.3	present at least in one case	present at least in one case
219932_at	VLCS-H1	5q23.3	present at least in one case	present at least in one case
203276_at	LMNB1	5q23.3-q31.1	present at least in one case	present at least in one case
201824_at	RNF14	5q23.3-q31.1	present at least in one case	present at least in one case
201823_s_at	RNF14	5q23.3-q31.1	present at least in one case	present at least in one case
223565_at	PACAP	5q23-5q31	present at least in one case	present at least in one case
221286_s_at	PACAP	5q23-5q31	present at least in one case	present at least in one case
215717_s_at	FBN2	5q23-q31	present at least in one case	present at least in one case
203184_at	FBN2	5q23-q31	present at least in one case	present at least in one case
205032_at	ITGA2	5q23-q31	present at least in one case	present at least in one case
208497_x_at	NEUROG1	5q23-q31	present at least in one case	present at least in one case
235502_at	PPP2CA	5q23-q31	present at least in one case	present at least in one case
238719_at	PPP2CA	5q23-q31	present at least in one case	present at least in one case
208652_at	PPP2CA	5q23-q31	present at least in one case	present at least in one case
202335_s_at	UBE2B	5q23-q31	present at least in one case	present at least in one case
202334_s_at	UBE2B	5q23-q31	present at least in one case	present at least in one case
211763_s_at	UBE2B	5q23-q31	present at least in one case	present at least in one case
202333_s_at	UBE2B	5q23-q31	present at least in one case	present at least in one case
228588_s_at	UBE2B	5q23-q31	present at least in one case	present at least in one case
207589_at	ADRA1B	5q23-q32	present at least in one case	present at least in one case
208062_s_at	NRG2	5q23-q33	absent in all cases	absent in all cases
206879_s_at	NRG2	5q23-q33	present at least in one case	present at least in one case
210445_at	FABP6	5q23-q35	absent in all cases	absent in all cases
209000_s_at	37872	5q31	present at least in one case	present at least in one case
226627_at	37872	5q31	present at least in one case	present at least in one case
208999_at	37872	5q31	present at least in one case	present at least in one case
232864_s_at	AF5Q31	5q31	present at least in one case	present at least in one case
239439_at	AF5Q31	5q31	present at least in one case	present at least in one case
219199_at	AF5Q31	5q31	present at least in one case	present at least in one case
243487_at	AF5Q31	5q31	present at least in one case	present at least in one case
232865_at	AF5Q31	5q31	present at least in one case	present at least in one case
213591_at	ALDH7A1	5q31	present at least in one case	present at least in one case
208950_s_at	ALDH7A1	5q31	present at least in one case	present at least in one case
208951_at	ALDH7A1	5q31	present at least in one case	present at least in one case
210352_at	BRD8	5q31	present at least in one case	absent in all cases
202227_s_at	BRD8	5q31	present at least in one case	present at least in one case
218518_at	C5orf5	5q31	present at least in one case	present at least in one case
218023_s_at	C5orf6	5q31	present at least in one case	present at least in one case
210878_s_at	C5orf7	5q31	present at least in one case	present at least in one case
201643_x_at	C5orf7	5q31	present at least in one case	present at least in one case
223651_x_at	CDC23	5q31	present at least in one case	present at least in one case
202892_at	CDC23	5q31	present at least in one case	present at least in one case
216914_at	CDC25C	5q31	absent in all cases	absent in all cases
217010_s_at	CDC25C	5q31	present at least in one case	present at least in one case
205167_s_at	CDC25C	5q31	present at least in one case	present at least in one case
241911_at	CDKL3	5q31	present at least in one case	absent in all cases
219831_at	CDKL3	5q31	present at least in one case	present at least in one case
200764_s_at	CTNNA1	5q31	present at least in one case	present at least in one case
200765_x_at	CTNNA1	5q31	present at least in one case	present at least in one case
210844_x_at	CTNNA1	5q31	present at least in one case	present at least in one case
218002_s_at	CXCL14	5q31	absent in all cases	absent in all cases
237038_at	CXCL14	5q31	absent in all cases	absent in all cases
222484_s_at	CXCL14	5q31	present at least in one case	present at least in one case
213514_s_at	DIAPH1	5q31	present at least in one case	present at least in one case
215541_s_at	DIAPH1	5q31	present at least in one case	present at least in one case
209190_s_at	DIAPH1	5q31	present at least in one case	present at least in one case
223918_at	FACL6	5q31	absent in all cases	absent in all cases
213683_at	FACL6	5q31	present at least in one case	present at least in one case
211207_s_at	FACL6	5q31	present at least in one case	present at least in one case
204650_s_at	FE65L2	5q31	present at least in one case	present at least in one case
205117_at	FGF1	5q31	absent in all cases	absent in all cases
215955_x_at	GRAF	5q31	absent in all cases	absent in all cases
205069_s_at	GRAF	5q31	present at least in one case	present at least in one case
205068_s_at	GRAF	5q31	present at least in one case	present at least in one case
216326_s_at	HDAC3	5q31	present at least in one case	present at least in one case
201055_s_at	HNRPA0	5q31	present at least in one case	present at least in one case
201054_at	HNRPA0	5q31	present at least in one case	present at least in one case
207844_at	IL13	5q31	absent in all cases	absent in all cases
218755_at	KIF20A	5q31	present at least in one case	present at least in one case
213623_at	KIF3A	5q31	present at least in one case	present at least in one case
221221_s_at	KLHL3	5q31	present at least in one case	present at least in one case
205331_s_at	LOC51308	5q31	absent in all cases	absent in all cases
205188_s_at	MADH5	5q31	present at least in one case	present at least in one case
205187_at	MADH5	5q31	present at least in one case	present at least in one case
209223_at	NDUFA2	5q31	absent in all cases	absent in all cases
213550_s_at	NDUFA2	5q31	present at least in one case	present at least in one case
209224_s_at	NDUFA2	5q31	present at least in one case	present at least in one case
206197_at	NME5	5q31	present at least in one case	present at least in one case
210444_at	NPY6R	5q31	absent in all cases	absent in all cases
216321_s_at	NR3C1	5q31	present at least in one case	present at least in one case
201866_s_at	NR3C1	5q31	present at least in one case	present at least in one case
211671_s_at	NR3C1	5q31	present at least in one case	present at least in one case
201865_x_at	NR3C1	5q31	present at least in one case	present at least in one case
224166_at	ORNT2	5q31	present at least in one case	present at least in one case
202733_at	P4HA2	5q31	present at least in one case	present at least in one case
219656_at	PCDH12	5q31	absent in all cases	absent in all cases
211867_s_at	PCDHA10	5q31	absent in all cases	absent in all cases
223435_s_at	PCDHA10	5q31	absent in all cases	absent in all cases
224212_s_at	PCDHA10	5q31	absent in all cases	absent in all cases
210674_s_at	PCDHA12	5q31	present at least in one case	present at least in one case
210572_at	PCDHA2	5q31	absent in all cases	absent in all cases
211365_s_at	PCDHA2	5q31	absent in all cases	absent in all cases
211870_s_at	PCDHA3	5q31	absent in all cases	absent in all cases
211838_x_at	PCDHA5	5q31	absent in all cases	absent in all cases
211811_s_at	PCDHA6	5q31	absent in all cases	absent in all cases
208205_at	PCDHA9	5q31	present at least in one case	present at least in one case
224539_s_at	PCDHAC2	5q31	absent in all cases	absent in all cases
221303_at	PCDHB1	5q31	present at least in one case	present at least in one case
223854_at	PCDHB10	5q31	present at least in one case	present at least in one case
208504_x_at	PCDHB11	5q31	absent in all cases	absent in all cases
221408_x_at	PCDHB12	5q31	absent in all cases	absent in all cases
221450_x_at	PCDHB13	5q31	absent in all cases	absent in all cases
232415_at	PCDHB13	5q31	absent in all cases	absent in all cases
231726_at	PCDHB14	5q31	present at least in one case	present at least in one case
231789_at	PCDHB15	5q31	present at least in one case	present at least in one case
232099_at	PCDHB16	5q31	present at least in one case	present at least in one case
216313_at	PCDHB17	5q31	absent in all cases	absent in all cases
216355_at	PCDHB17	5q31	absent in all cases	absent in all cases
234479_at	PCDHB18	5q31	absent in all cases	absent in all cases
234724_x_at	PCDHB18	5q31	absent in all cases	absent in all cases
230957_at	PCDHB19P	5q31	present at least in one case	present at least in one case
231725_at	PCDHB2	5q31	present at least in one case	present at least in one case
221410_x_at	PCDHB3	5q31	absent in all cases	absent in all cases
231394_at	PCDHB3	5q31	absent in all cases	absent in all cases
244183_x_at	PCDHB3	5q31	absent in all cases	absent in all cases
231750_at	PCDHB4	5q31	absent in all cases	absent in all cases
240317_at	PCDHB4	5q31	absent in all cases	absent in all cases
223629_at	PCDHB5	5q31	present at least in one case	present at least in one case
221317_x_at	PCDHB6	5q31	absent in all cases	absent in all cases
239443_at	PCDHB6	5q31	present at least in one case	present at least in one case
231738_at	PCDHB7	5q31	present at least in one case	present at least in one case
221319_at	PCDHB8	5q31	present at least in one case	present at least in one case
223927_at	PCDHB9	5q31	present at least in one case	present at least in one case
211880_x_at	PCDHGA1	5q31	present at least in one case	present at least in one case
209079_x_at	PCDHGA1	5q31	present at least in one case	present at least in one case
211875_x_at	PCDHGA10	5q31	absent in all cases	absent in all cases
211876_x_at	PCDHGA11	5q31	absent in all cases	absent in all cases
211877_s_at	PCDHGA11	5q31	absent in all cases	absent in all cases
211879_x_at	PCDHGA3	5q31	absent in all cases	absent in all cases
216343_at	PCDHGA3	5q31	absent in all cases	absent in all cases
216352_x_at	PCDHGA3	5q31	absent in all cases	absent in all cases
210368_at	PCDHGA8	5q31	absent in all cases	absent in all cases
211873_s_at	PCDHGA9	5q31	absent in all cases	absent in all cases
211807_x_at	PCDHGB5	5q31	absent in all cases	absent in all cases
221682_s_at	PCDHGB6	5q31	present at least in one case	absent in all cases
234029_at	PCDHGB8P	5q31	absent in all cases	absent in all cases
214564_s_at	PCDHGC3	5q31	absent in all cases	absent in all cases
214563_at	PCDHGC3	5q31	present at least in one case	present at least in one case
205717_x_at	PCDHGC3	5q31	present at least in one case	present at least in one case
215836_s_at	PCDHGC3	5q31	present at least in one case	present at least in one case
211066_x_at	PCDHGC3	5q31	present at least in one case	present at least in one case
231753_s_at	PCDHGC4	5q31	absent in all cases	absent in all cases
231754_at	PCDHGC4	5q31	absent in all cases	absent in all cases
224536_s_at	PCDHGC5	5q31	absent in all cases	absent in all cases
224537_at	PCDHGC5	5q31	absent in all cases	absent in all cases
201507_at	PFDN1	5q31	present at least in one case	present at least in one case
209587_at	PITX1	5q31	present at least in one case	present at least in one case
208502_s_at	PITX1	5q31	present at least in one case	present at least in one case
224226_at	PKD2L2	5q31	present at least in one case	present at least in one case
221118_at	PKD2L2	5q31	present at least in one case	present at least in one case
208554_at	POU4F3	5q31	absent in all cases	absent in all cases
213806_at	PURA	5q31	absent in all cases	absent in all cases
204021_s_at	PURA	5q31	present at least in one case	present at least in one case
204020_at	PURA	5q31	present at least in one case	present at least in one case
209349_at	RAD50	5q31	present at least in one case	present at least in one case
238656_at	RAD50	5q31	present at least in one case	present at least in one case
208393_s_at	RAD50	5q31	present at least in one case	present at least in one case
242519_at	SEPP1	5q31	present at least in one case	present at least in one case
229620_at	SEPP1	5q31	present at least in one case	present at least in one case
231669_at	SEPP1	5q31	present at least in one case	present at least in one case
237475_x_at	SEPP1	5q31	present at least in one case	present at least in one case
201427_s_at	SEPP1	5q31	present at least in one case	present at least in one case
218436_at	SIL1	5q31	present at least in one case	present at least in one case
200719_at	SKP1A	5q31	present at least in one case	present at least in one case
200711_s_at	SKP1A	5q31	present at least in one case	present at least in one case
207974_s_at	SKP1A	5q31	present at least in one case	present at least in one case
200718_s_at	SKP1A	5q31	present at least in one case	present at least in one case
205074_at	SLC22A5	5q31	present at least in one case	present at least in one case
224053_s_at	SLC4A9	5q31	absent in all cases	absent in all cases
233183_at	SLC4A9	5q31	absent in all cases	absent in all cases
202363_at	SPOCK	5q31	present at least in one case	present at least in one case
201023_at	TAF7	5q31	present at least in one case	present at least in one case
229706_at	TCERG1	5q31	absent in all cases	absent in all cases
238838_at	TCERG1	5q31	present at least in one case	present at least in one case
202396_at	TCERG1	5q31	present at least in one case	present at least in one case
201506_at	TGFBI	5q31	present at least in one case	present at least in one case
219728_at	TTID	5q31	absent in all cases	absent in all cases
212038_s_at	VDAC1	5q31	present at least in one case	present at least in one case
224259_at	WNT8A	5q31	present at least in one case	present at least in one case
241935_at	APXL2	5q31.1	present at least in one case	present at least in one case
239435_x_at	APXL2	5q31.1	present at least in one case	present at least in one case
201743_at	CD14	5q31.1	present at least in one case	present at least in one case
210229_s_at	CSF2	5q31.1	absent in all cases	absent in all cases
210228_at	CSF2	5q31.1	present at least in one case	present at least in one case
220263_at	DAMS	5q31.1	present at least in one case	present at least in one case
239529_at	DCNP1	5q31.1	present at least in one case	present at least in one case
223712_at	DCOHM	5q31.1	present at least in one case	present at least in one case
216409_at	DKFZp547D104	5q31.1	present at least in one case	present at least in one case
201693_s_at	EGR1	5q31.1	present at least in one case	present at least in one case
201694_s_at	EGR1	5q31.1	present at least in one case	present at least in one case
227404_s_at	EGR1	5q31.1	present at least in one case	present at least in one case
201573_s_at	ETF1	5q31.1	present at least in one case	present at least in one case
201574_at	ETF1	5q31.1	present at least in one case	present at least in one case
221193_s_at	FLJ20094	5q31.1	present at least in one case	present at least in one case
223803_s_at	FLJ20094	5q31.1	present at least in one case	present at least in one case
227873_at	FLJ22625	5q31.1	present at least in one case	present at least in one case
220495_s_at	FLJ22625	5q31.1	present at least in one case	present at least in one case
229098_s_at	FLJ37562	5q31.1	absent in all cases	absent in all cases
221314_at	GDF9	5q31.1	present at least in one case	present at least in one case
211520_s_at	GRIA1	5q31.1	present at least in one case	present at least in one case
200690_at	HSPA9B	5q31.1	present at least in one case	present at least in one case
200692_s_at	HSPA9B	5q31.1	present at least in one case	present at least in one case
200691_s_at	HSPA9B	5q31.1	present at least in one case	present at least in one case
229260_at	HTGN29	5q31.1	absent in all cases	absent in all cases
203024_s_at	HTGN29	5q31.1	present at least in one case	present at least in one case
