probe set	Entrez Gene U133A_2.na21	Gene Symbol	Gene Title	Whitfield cell cycle	GO cell cycle
213361_at	23424	TDRD7	tudor domain containing 7	FALSE	FALSE
213375_s_at	90634	CG018	hypothetical gene CG018	FALSE	FALSE
213391_at	286148	DPY19L4	dpy-19-like 4 (C. elegans)	FALSE	FALSE
213397_x_at	6038	RNASE4	ribonuclease, RNase A family, 4	FALSE	FALSE
213413_at	11037	STON1	stonin 1	FALSE	FALSE
213419_at	323	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	FALSE	FALSE
213455_at	92689	LOC92689	hypothetical protein BC001096	FALSE	FALSE
213463_s_at	317662	KIAA0974	KIAA0974	FALSE	FALSE
213555_at	112611	RWDD2	RWD domain containing 2	FALSE	FALSE
213572_s_at	1992	SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1	FALSE	FALSE
213624_at	10924	SMPDL3A	sphingomyelin phosphodiesterase, acid-like 3A	FALSE	FALSE
213625_at	387032	ZNF307	zinc finger protein 307	FALSE	FALSE
213627_at	10916	MAGED2	melanoma antigen family D, 2	FALSE	FALSE
213694_at	54665	RSBN1	round spermatid basic protein 1	FALSE	FALSE
213698_at	9204	ZMYM6	zinc finger, MYM-type 6	FALSE	FALSE
213712_at	54898	ELOVL2	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	FALSE	FALSE
213762_x_at	27316	RBMX	RNA binding motif protein, X-linked	FALSE	FALSE
213792_s_at	---	---	---	FALSE	FALSE
213836_s_at	55062	WIPI1	WD repeat domain, phosphoinositide interacting 1	FALSE	FALSE
213839_at	57237	KIAA0500	KIAA0500 protein	FALSE	FALSE
213933_at	5733	PTGER3	prostaglandin E receptor 3 (subtype EP3)	FALSE	FALSE
213996_at	29799	YPEL1	yippee-like 1 (Drosophila)	FALSE	FALSE
214022_s_at	8519	IFITM1	interferon induced transmembrane protein 1 (9-27)	FALSE	FALSE
214053_at	2066	ERBB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	FALSE	FALSE
214058_at	4610	MYCL1	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)	FALSE	FALSE
214177_s_at	57326	PBXIP1	pre-B-cell leukemia transcription factor interacting protein 1	FALSE	FALSE
214264_s_at	90141	C14orf143	chromosome 14 open reading frame 143	FALSE	FALSE
214433_s_at	8991	SELENBP1	selenium binding protein 1 /// selenium binding protein 1	FALSE	FALSE
214440_at	9	NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)	FALSE	FALSE
214469_at	3012	HIST1H2AE	histone 1, H2ae	FALSE	FALSE
214519_s_at	6019	RLN2	relaxin 2	FALSE	FALSE
214531_s_at	6642	SNX1	sorting nexin 1	FALSE	FALSE
214624_at	11045	UPK1A	uroplakin 1A	FALSE	FALSE
214633_at	6658	SOX3	SRY (sex determining region Y)-box 3	FALSE	FALSE
214699_x_at	26100	WIPI2	WD repeat domain, phosphoinositide interacting 2	FALSE	FALSE
214714_at	84124	ZNF394	zinc finger protein 394	FALSE	FALSE
214820_at	54014	BRWD1	bromodomain and WD repeat domain containing 1	FALSE	FALSE
214946_x_at	253725 /// 387680 /// 55747 /// 653450	FAM21B /// FAM21C /// RP11-56A21.1 /// LOC653450	family with sequence similarity 21, member B /// family with sequence similarity 21, member C /// similar to KIAA0592 protein /// similar to similar to KIAA0592 protein	FALSE	FALSE
215001_s_at	2752	GLUL	glutamate-ammonia ligase (glutamine synthetase)	FALSE	FALSE
215022_x_at	7582	ZNF33B	zinc finger protein 33B	FALSE	FALSE
215023_s_at	5189	PEX1	peroxisome biogenesis factor 1	FALSE	FALSE
215046_at	151050	FLJ23861	hypothetical protein FLJ23861	FALSE	FALSE
215073_s_at	7026	NR2F2	nuclear receptor subfamily 2, group F, member 2	FALSE	FALSE
215152_at	4602	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	FALSE	FALSE
215306_at	11036	ALF	TFIIA-alpha/beta-like factor	FALSE	FALSE
215440_s_at	56271	BEXL1	brain expressed X-linked-like 1	FALSE	FALSE
215543_s_at	9215	LARGE	like-glycosyltransferase	FALSE	FALSE
215569_at	652753 /// 84163	GTF2IRD2 /// LOC652753	GTF2I repeat domain containing 2 /// similar to GTF2I repeat domain containing 2	FALSE	FALSE
215718_s_at	23469	PHF3	PHD finger protein 3	FALSE	FALSE
215779_s_at	8339	HIST1H2BG	histone 1, H2bg	FALSE	FALSE
215945_s_at	23321	TRIM2	tripartite motif-containing 2	FALSE	FALSE
216041_x_at	2896	GRN	granulin	FALSE	FALSE
217028_at	7852	CXCR4	chemokine (C-X-C motif) receptor 4	FALSE	FALSE
217122_s_at	9906	SLC35E2	solute carrier family 35, member E2	FALSE	FALSE
217197_x_at	90634	CG018	hypothetical gene CG018	FALSE	FALSE
217403_s_at	7770	ZNF227	zinc finger protein 227	FALSE	FALSE
217416_x_at	---	---	---	FALSE	FALSE
217543_s_at	8720	MBTPS1	membrane-bound transcription factor peptidase, site 1	FALSE	FALSE
217604_at	---	---	Transcribed locus	FALSE	FALSE
217731_s_at	9445	ITM2B	integral membrane protein 2B	FALSE	FALSE
217735_s_at	27102	EIF2AK1	eukaryotic translation initiation factor 2-alpha kinase 1	FALSE	FALSE
217736_s_at	27102	EIF2AK1	eukaryotic translation initiation factor 2-alpha kinase 1	FALSE	FALSE
217779_s_at	55629 /// 644047 /// 653105	PNRC2 /// LOC644047 /// LOC653105	proline-rich nuclear receptor coactivator 2 /// similar to Proline-rich nuclear receptor coactivator 2 /// similar to Proline-rich nuclear receptor coactivator 2	FALSE	FALSE
217783_s_at	51646	YPEL5	yippee-like 5 (Drosophila)	FALSE	FALSE
217889_s_at	79901	CYBRD1	cytochrome b reductase 1	FALSE	FALSE
217890_s_at	55742	PARVA	parvin, alpha	FALSE	FALSE
217892_s_at	51474	LIMA1	LIM domain and actin binding 1	FALSE	FALSE
217906_at	23588	KLHDC2	kelch domain containing 2	FALSE	FALSE
217908_s_at	55827	IQWD1	IQ motif and WD repeats 1	FALSE	FALSE
217952_x_at	23469	PHF3	PHD finger protein 3	FALSE	FALSE
217990_at	51292	GMPR2	guanosine monophosphate reductase 2	FALSE	FALSE
218031_s_at	1112	CHES1	checkpoint suppressor 1	FALSE	FALSE
218047_at	114883	OSBPL9	oxysterol binding protein-like 9	FALSE	FALSE
218072_at	29099	COMMD9	COMM domain containing 9	FALSE	FALSE
218146_at	55830	GLT8D1	glycosyltransferase 8 domain containing 1	FALSE	FALSE
218147_s_at	55830	GLT8D1	glycosyltransferase 8 domain containing 1	FALSE	FALSE
218168_s_at	56997	CABC1	chaperone, ABC1 activity of bc1 complex like (S. pombe)	FALSE	FALSE
218171_at	9525	VPS4B	vacuolar protein sorting 4 homolog B (S. cerevisiae)	FALSE	FALSE
218174_s_at	80195	C10orf57	chromosome 10 open reading frame 57	FALSE	FALSE
218191_s_at	55788	LMBRD1	LMBR1 domain containing 1	FALSE	FALSE
218192_at	51447	IHPK2	inositol hexaphosphate kinase 2	FALSE	FALSE
218194_at	25996	REXO2	REX2, RNA exonuclease 2 homolog (S. cerevisiae)	FALSE	FALSE
218204_s_at	79443	FYCO1	FYVE and coiled-coil domain containing 1	FALSE	FALSE
218211_s_at	79083	MLPH	melanophilin	FALSE	FALSE
218243_at	80230	RUFY1	RUN and FYVE domain containing 1	FALSE	FALSE
218248_at	63901	FAM111A	family with sequence similarity 111, member A	FALSE	FALSE
218268_at	64786	TBC1D15	TBC1 domain family, member 15	FALSE	FALSE
218277_s_at	79665	DHX40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	FALSE	FALSE
218280_x_at	653610 /// 723790 /// 8337	HIST2H2AA3 /// LOC653610 /// HIST2H2AA4	histone 2, H2aa3 /// similar to Histone H2A.o (H2A/o) (H2A.2) (H2a-615) /// histone 2, H2aa4	FALSE	FALSE
218285_s_at	56898	BDH2	3-hydroxybutyrate dehydrogenase, type 2	FALSE	FALSE
218303_x_at	51315	KRCC1	lysine-rich coiled-coil 1	FALSE	FALSE
218352_at	55213	RCBTB1	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	FALSE	FALSE
218361_at	55204	GOLPH3L	golgi phosphoprotein 3-like	FALSE	FALSE
218363_at	55218	EXDL2	exonuclease 3-5 domain-like 2	FALSE	FALSE
218379_at	10179	RBM7	RNA binding motif protein 7	FALSE	FALSE
218404_at	29887	SNX10	sorting nexin 10	FALSE	FALSE
218432_at	26273	FBXO3	F-box protein 3	FALSE	FALSE
218440_at	56922	MCCC1	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)	FALSE	FALSE
218490_s_at	55900	ZNF302	zinc finger protein 302	FALSE	FALSE
218532_s_at	54463	FLJ20152	hypothetical protein FLJ20152	FALSE	FALSE
218546_at	79762	C1orf115	chromosome 1 open reading frame 115	FALSE	FALSE
218574_s_at	29995	LMCD1	LIM and cysteine-rich domains 1	FALSE	FALSE
218603_at	51696	HECA	headcase homolog (Drosophila)	FALSE	FALSE
218606_at	55625	ZDHHC7	zinc finger, DHHC-type containing 7	FALSE	FALSE
218609_s_at	318	NUDT2	nudix (nucleoside diphosphate linked moiety X)-type motif 2	FALSE	FALSE
218613_at	653754	LOC653754	similar to pleckstrin and Sec7 domain containing 3	FALSE	FALSE
218614_at	55196	C12orf35	chromosome 12 open reading frame 35	FALSE	FALSE
218627_at	55332	DRAM	damage-regulated autophagy modulator	FALSE	FALSE
218628_at	51019	CCDC53	coiled-coil domain containing 53	FALSE	FALSE
218643_s_at	9419	CRIPT	cysteine-rich PDZ-binding protein	FALSE	FALSE
218645_at	11179	ZNF277	zinc finger protein 277	FALSE	FALSE
218676_s_at	58488	PCTP	phosphatidylcholine transfer protein	FALSE	FALSE
218689_at	2188	FANCF	Fanconi anemia, complementation group F	FALSE	FALSE
218694_at	51309	ARMCX1	armadillo repeat containing, X-linked 1	FALSE	FALSE
218699_at	8934	RAB7L1	RAB7, member RAS oncogene family-like 1	FALSE	FALSE
218713_at	79664	NARG2	NMDA receptor regulated 2	FALSE	FALSE
218736_s_at	54873	PALMD	palmdelphin	FALSE	FALSE
218765_at	51092	SIDT2	SID1 transmembrane family, member 2	FALSE	FALSE
218769_s_at	57763	ANKRA2	ankyrin repeat, family A (RFXANK-like), 2	FALSE	FALSE
218806_s_at	10451	VAV3	vav 3 oncogene	FALSE	FALSE
218807_at	10451	VAV3	vav 3 oncogene	FALSE	FALSE
218846_at	9439	CRSP3	cofactor required for Sp1 transcriptional activation, subunit 3, 130kDa	FALSE	FALSE
218858_at	64798	DEPDC6	DEP domain containing 6	FALSE	FALSE
218878_s_at	23411	SIRT1	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	FALSE	FALSE
218901_at	57088	PLSCR4	phospholipid scramblase 4	FALSE	FALSE
218927_s_at	55501	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12	FALSE	FALSE
218930_s_at	54664	TMEM106B	transmembrane protein 106B	FALSE	FALSE
218991_at	63897	ABC1	amplified in breast cancer 1	FALSE	FALSE
219009_at	60686	C14orf93	chromosome 14 open reading frame 93	FALSE	FALSE
219032_x_at	23596	OPN3	opsin 3 (encephalopsin, panopsin)	FALSE	FALSE
219090_at	57419	SLC24A3	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	FALSE	FALSE
219122_s_at	54974	ICF45	interphase cytoplasmic foci protein 45	FALSE	FALSE
219193_at	55100	WDR70	WD repeat domain 70	FALSE	FALSE
219197_s_at	57758	SCUBE2	signal peptide, CUB domain, EGF-like 2	FALSE	FALSE
219238_at	2674 /// 55650	GFRA1 /// PIGV	GDNF family receptor alpha 1 /// phosphatidylinositol glycan anchor biosynthesis, class V	FALSE	FALSE
219242_at	80254	CEP63	centrosomal protein 63kDa	FALSE	FALSE
219266_at	59348	ZNF350	zinc finger protein 350	FALSE	FALSE
219274_at	23554	TSPAN12	tetraspanin 12	FALSE	FALSE
219283_at	29071	C1GALT1C1	C1GALT1-specific chaperone 1	FALSE	FALSE
219312_s_at	65986	ZBTB10	zinc finger and BTB domain containing 10	FALSE	FALSE
219344_at	55315	SLC29A3	solute carrier family 29 (nucleoside transporters), member 3	FALSE	FALSE
219352_at	55008	HERC6	hect domain and RLD 6	FALSE	FALSE
219421_at	23548	OSRF	osmosis responsive factor	FALSE	FALSE
219440_at	10742	RAI2	retinoic acid induced 2	FALSE	FALSE
219450_at	55286	C4orf19	chromosome 4 open reading frame 19	FALSE	FALSE
219469_at	79659	DYNC2H1	dynein, cytoplasmic 2, heavy chain 1	FALSE	FALSE
219487_at	79738	BBS10	Bardet-Biedl syndrome 10	FALSE	FALSE
219583_s_at	55812	SPATA7	spermatogenesis associated 7	FALSE	FALSE
219616_at	79611	FLJ21963	FLJ21963 protein	FALSE	FALSE
219619_at	54769	DIRAS2	DIRAS family, GTP-binding RAS-like 2	FALSE	FALSE
219659_at	51761	ATP8A2	ATPase, aminophospholipid transporter-like, Class I, type 8A, member 2	FALSE	FALSE
219756_s_at	79983	POF1B	premature ovarian failure, 1B	FALSE	FALSE
219767_s_at	9946	CRYZL1	crystallin, zeta (quinone reductase)-like 1	FALSE	FALSE
219800_s_at	---	---	---	FALSE	FALSE
219825_at	56603	CYP26B1	cytochrome P450, family 26, subfamily B, polypeptide 1	FALSE	FALSE
219838_at	64927	TTC23	tetratricopeptide repeat domain 23	FALSE	FALSE
219880_at	---	---	---	FALSE	FALSE
219889_at	10023	FRAT1	frequently rearranged in advanced T-cell lymphomas	FALSE	FALSE
219905_at	114625	ERMAP	erythroblast membrane-associated protein (Scianna blood group)	FALSE	FALSE
219932_at	28965	SLC27A6	solute carrier family 27 (fatty acid transporter), member 6	FALSE	FALSE
219961_s_at	55857	C20orf19	chromosome 20 open reading frame 19	FALSE	FALSE
219972_s_at	64430	C14orf135	chromosome 14 open reading frame 135	FALSE	FALSE
220004_at	55510	DDX43	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43	FALSE	FALSE
220038_at	23678	SGK3	serum/glucocorticoid regulated kinase family, member 3	FALSE	FALSE
220108_at	9630	GNA14	guanine nucleotide binding protein (G protein), alpha 14	FALSE	FALSE
220116_at	3781	KCNN2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	FALSE	FALSE
220137_at	54621	FLJ20674	hypothetical protein FLJ20674	FALSE	FALSE
220141_at	79864	C11orf63	chromosome 11 open reading frame 63	FALSE	FALSE
220173_at	80127	C14orf45	chromosome 14 open reading frame 45	FALSE	FALSE
220212_s_at	63892	THADA	thyroid adenoma associated	FALSE	FALSE
220260_at	55296	TBC1D19	TBC1 domain family, member 19	FALSE	FALSE
220364_at	54508	FLJ11235	hypothetical protein FLJ11235	FALSE	FALSE
220753_s_at	51084	CRYL1	crystallin, lambda 1	FALSE	FALSE
220770_s_at	63920	LOC63920	transposon-derived Buster3 transposase-like	FALSE	FALSE
220856_x_at	---	---	---	FALSE	FALSE
220915_s_at	---	---	MRNA; cDNA DKFZp686I0814 (from clone DKFZp686I0814)	FALSE	FALSE
220917_s_at	57728	WDR19	WD repeat domain 19	FALSE	FALSE
220992_s_at	81627	C1orf25	chromosome 1 open reading frame 25 /// chromosome 1 open reading frame 25	FALSE	FALSE
221012_s_at	81603	TRIM8	tripartite motif-containing 8 /// tripartite motif-containing 8	FALSE	FALSE
221016_s_at	83439	TCF7L1	transcription factor 7-like 1 (T-cell specific, HMG-box) /// transcription factor 7-like 1 (T-cell specific, HMG-box)	FALSE	FALSE
221024_s_at	81031	SLC2A10	solute carrier family 2 (facilitated glucose transporter), member 10 /// solute carrier family 2 (facilitated glucose transporter), member 10	FALSE	FALSE
221042_s_at	79789	CLMN	calmin (calponin-like, transmembrane)	FALSE	FALSE
221213_s_at	54816	SUHW4	suppressor of hairy wing homolog 4 (Drosophila)	FALSE	FALSE
221218_s_at	27010	TPK1	thiamin pyrophosphokinase 1	FALSE	FALSE
221478_at	665	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like /// BCL2/adenovirus E1B 19kDa interacting protein 3-like	FALSE	FALSE
221479_s_at	665	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like /// BCL2/adenovirus E1B 19kDa interacting protein 3-like	FALSE	FALSE
221511_x_at	9236	CCPG1	cell cycle progression 1	FALSE	FALSE
221564_at	3275	PRMT2	protein arginine methyltransferase 2	FALSE	FALSE
221580_s_at	79101	JOSD3	Josephin domain containing 3	FALSE	FALSE
221584_s_at	3778	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	FALSE	FALSE
221589_s_at	4329	ALDH6A1	aldehyde dehydrogenase 6 family, member A1	FALSE	FALSE
221689_s_at	51227	PIGP	phosphatidylinositol glycan anchor biosynthesis, class P	FALSE	FALSE
221735_at	57599	WDR48	WD repeat domain 48	FALSE	FALSE
221740_x_at	388397	LOC388397	hypothetical LOC388397	FALSE	FALSE
221756_at	113791	MGC17330	HGFL gene /// HGFL gene	FALSE	FALSE
221757_at	113791	MGC17330	HGFL gene /// HGFL gene	FALSE	FALSE
221769_at	90864	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3	FALSE	FALSE
221778_at	80853	KIAA1718	KIAA1718 protein	FALSE	FALSE
221788_at	5238	PGM3	Phosphoglucomutase 3	FALSE	FALSE
221808_at	9367	RAB9A	RAB9A, member RAS oncogene family	FALSE	FALSE
221824_s_at	220972	8-Mar	membrane-associated ring finger (C3HC4) 8	FALSE	FALSE
221856_s_at	55793	FAM63A	family with sequence similarity 63, member A	FALSE	FALSE
221861_at	---	---	MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	FALSE	FALSE
221864_at	93129	TMEM142C	transmembrane protein 142C	FALSE	FALSE
221937_at	---	---	CDNA FLJ34482 fis, clone HLUNG2004067	FALSE	FALSE
221959_at	90362	C8orf72	chromosome 8 open reading frame 72	FALSE	FALSE
221983_at	79137	C2orf17	chromosome 2 open reading frame 17	FALSE	FALSE
221984_s_at	79137	C2orf17	chromosome 2 open reading frame 17	FALSE	FALSE
221985_at	54800	KLHL24	kelch-like 24 (Drosophila)	FALSE	FALSE
221986_s_at	54800	KLHL24	kelch-like 24 (Drosophila)	FALSE	FALSE
221998_s_at	51231	VRK3	vaccinia related kinase 3	FALSE	FALSE
222067_x_at	3017	HIST1H2BD	histone 1, H2bd	FALSE	FALSE
222068_s_at	123872	LRRC50	leucine rich repeat containing 50	FALSE	FALSE
222127_s_at	55763	EXOC1	exocyst complex component 1	FALSE	FALSE
222129_at	79137	C2orf17	Chromosome 2 open reading frame 17	FALSE	FALSE
222150_s_at	54103	LOC54103	hypothetical protein LOC54103	FALSE	FALSE
222156_x_at	9236	CCPG1	cell cycle progression 1	FALSE	FALSE
222157_s_at	57599	WDR48	WD repeat domain 48	FALSE	FALSE
222209_s_at	65084	TMEM135	transmembrane protein 135	FALSE	FALSE
34408_at	6253	RTN2	reticulon 2	FALSE	FALSE
37549_g_at	27241	PTHB1	parathyroid hormone-responsive B1	FALSE	FALSE
39248_at	360	AQP3	aquaporin 3 (Gill blood group)	FALSE	FALSE
43511_s_at	---	---	MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	FALSE	FALSE
46256_at	90864	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3	FALSE	FALSE
48031_r_at	10826	C5orf4	chromosome 5 open reading frame 4	FALSE	FALSE
49111_at	---	---	MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	FALSE	FALSE
51146_at	2674 /// 55650	GFRA1 /// PIGV	GDNF family receptor alpha 1 /// phosphatidylinositol glycan anchor biosynthesis, class V	FALSE	FALSE
54632_at	63892	THADA	thyroid adenoma associated	FALSE	FALSE
56256_at	51092	SIDT2	SID1 transmembrane family, member 2	FALSE	FALSE
56919_at	57599	WDR48	WD repeat domain 48	FALSE	FALSE
57588_at	57419	SLC24A3	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	FALSE	FALSE
65493_at	63897	ABC1	amplified in breast cancer 1	FALSE	FALSE
200911_s_at	6867	TACC1	transforming, acidic coiled-coil containing protein 1	FALSE	TRUE
202214_s_at	8450	CUL4B	cullin 4B	FALSE	TRUE
202531_at	3659	IRF1	interferon regulatory factor 1	FALSE	TRUE
203659_s_at	10206	RFP2	ret finger protein 2	FALSE	TRUE
206546_at	10388	SYCP2	synaptonemal complex protein 2	FALSE	TRUE
209815_at	5727	PTCH	patched homolog (Drosophila)	FALSE	TRUE
212331_at	5934	RBL2	retinoblastoma-like 2 (p130)	FALSE	TRUE
212332_at	5934	RBL2	retinoblastoma-like 2 (p130)	FALSE	TRUE
214720_x_at	151011	10-Sep	septin 10	FALSE	TRUE
217437_s_at	6867	TACC1	transforming, acidic coiled-coil containing protein 1	FALSE	TRUE
218218_at	55198	DIP13B	DIP13 beta	FALSE	TRUE
218234_at	51147	ING4	inhibitor of growth family, member 4	FALSE	TRUE
219542_at	79858	NEK11	NIMA (never in mitosis gene a)- related kinase 11	FALSE	TRUE
48825_at	51147	ING4	inhibitor of growth family, member 4	FALSE	TRUE
201549_x_at	10765	JARID1B	Jumonji, AT rich interactive domain 1B (RBP2-like)	TRUE	FALSE
201637_s_at	8087	FXR1	fragile X mental retardation, autosomal homolog 1	TRUE	FALSE
201758_at	7251	TSG101	tumor susceptibility gene 101	TRUE	FALSE
201865_x_at	2908	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	TRUE	FALSE
201866_s_at	2908	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	TRUE	FALSE
201939_at	10769	PLK2	polo-like kinase 2 (Drosophila)	TRUE	FALSE
202060_at	9646	CTR9	Ctr9, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	TRUE	FALSE
202227_s_at	10902	BRD8	bromodomain containing 8	TRUE	FALSE
202350_s_at	4147	MATN2	matrilin 2	TRUE	FALSE
202708_s_at	8349	HIST2H2BE	histone 2, H2be	TRUE	FALSE
202781_s_at	51763	SKIP	skeletal muscle and kidney enriched inositol phosphatase	TRUE	FALSE
202782_s_at	51763	SKIP	skeletal muscle and kidney enriched inositol phosphatase	TRUE	FALSE
203510_at	4233	MET	met proto-oncogene (hepatocyte growth factor receptor)	TRUE	FALSE
204206_at	4335	MNT	MAX binding protein	TRUE	FALSE
205698_s_at	5608	MAP2K6	mitogen-activated protein kinase kinase 6	TRUE	FALSE
207232_s_at	9666	DZIP3	zinc finger DAZ interacting protein 3	TRUE	FALSE
208407_s_at	1500	CTNND1	catenin (cadherin-associated protein), delta 1	TRUE	FALSE
209020_at	51526	C20orf111	chromosome 20 open reading frame 111	TRUE	FALSE
209031_at	23705	IGSF4	Immunoglobulin superfamily, member 4	TRUE	FALSE
211671_s_at	2908	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) /// nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	TRUE	FALSE
214455_at	8347	HIST1H2BC	histone 1, H2bc	TRUE	FALSE
214481_at	8336	HIST1H2AM	histone 1, H2am	TRUE	FALSE
215071_s_at	8334	HIST1H2AC	histone 1, H2ac	TRUE	FALSE
216321_s_at	2908	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	TRUE	FALSE
217989_at	51170	DHRS8	dehydrogenase/reductase (SDR family) member 8	TRUE	FALSE
218093_s_at	55608	ANKRD10	ankyrin repeat domain 10	TRUE	FALSE
219641_at	55070	DET1	de-etiolated homolog 1 (Arabidopsis)	TRUE	FALSE
219694_at	54491	FAM105A	family with sequence similarity 105, member A	TRUE	FALSE
221582_at	92815	HIST3H2A	histone 3, H2a	TRUE	FALSE
221954_at	51526	C20orf111	Chromosome 20 open reading frame 111	TRUE	FALSE
