ProbeSet	Gene	Abb	RefSeq	UniGene	Entrez	Chromosomal
205053_at	primase, polypeptide 1, 49kDa	PRIM1	NM_000946	Hs.534339	5557	chr12q13
225478_at	CDNA FLJ39185 fis, clone OCBBF2004418	NA	BE783723	Hs.592881	NA	NA
237189_at	---	NA	BF060978	NA	NA	NA
233198_at	hypothetical protein LOC92497	LOC92497	AL359652	Hs.524660	92497	chr12q23.1
230835_at	KIPV467	UNQ467	W69083	Hs.112457	388533	chr19q13.12
218564_at	ring finger and WD repeat domain 3	RFWD3	BC002574	Hs.567525	55159	chr16q22.3
211080_s_at	NIMA (never in mitosis gene a)-related kinase 2 /// NIMA (never in mitosis gene a)-related kinase 2	NEK2	Z25425	Hs.153704	4751	chr1q32.2-q41
241957_x_at	lin-7 homolog B (C. elegans)	LIN7B	AI686521	Hs.221737	64130	chr19q13.3
238250_at	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	DYRK3	AI911318	Hs.164267	8444	chr1q32.1
222259_s_at	SPO11 meiotic protein covalently bound to DSB-like (S. cerevisiae)	SPO11	AL135939	Hs.159737	23626	chr20q13.2-q13.3
204849_at	transcription factor-like 5 (basic helix-loop-helix)	TCFL5	NM_006602	Hs.590867	10732	chr20q13.3-qter
233052_at	dynein, axonemal, heavy polypeptide 8	DNAH8	AW270168	Hs.520106	1769	chr6p21.31-p21.1
203145_at	sperm associated antigen 5	SPAG5	NM_006461	Hs.514033	10615	chr17q11.2
217522_at	potassium channel, subfamily V, member 2	KCNV2	AI206888	Hs.131130	169522	chr9p24.2
211762_s_at	karyopherin alpha 2 (RAG cohort 1, importin alpha 1) /// karyopherin alpha 2 (RAG cohort 1, importin alpha 1) /// similar to Importin alpha-2 subunit (Karyopherin alpha-2 subunit) (SRP1-alpha) (RAG cohort protein 1) /// similar to Importin alpha-2 subunit	KPNA2	BC005978	Hs.632749	3838, 643995	chr17q23.1-q23.3
203397_s_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	GALNT3	BF063271	Hs.170986	2591	chr2q24-q31
210187_at	FK506 binding protein 1A, 12kDa	FKBP1A	BC005147	Hs.471933	2280	chr20p13
229892_at	EP400 N-terminal like	EP400NL	AW628843	NA	347918	chr12q24.33
218683_at	polypyrimidine tract binding protein 2	PTBP2	NM_021190	Hs.591430	58155	chr1p22.1-p21.3
243199_at	---	NA	BF512915	NA	NA	NA
231389_at	chromosome X open reading frame 41	CXorf41	AL136112	Hs.128836	139212	chrXq22.3
222036_s_at	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	MCM4	AI859865	Hs.460184	4173	chr8q11.2
213370_s_at	Scm-like with four mbt domains 1	SFMBT1	BF057298	Hs.343679	51460	chr3p21.1
241895_at	hypothetical protein LOC440905	LOC440905	AL043002	Hs.469918	440905	chr2q21.1
230093_at	testis specific A2 homolog (mouse)	TSGA2	AI683428	Hs.145925	89765	chr21q22.3
242560_at	Fanconi anemia, complementation group D2	FANCD2	AA579890	Hs.208388	2177	chr3p26
223636_at	zinc finger, MYND-type containing 12	ZMYND12	AL136858	Hs.294009	84217	chr1p34.2
219258_at	timeless-interacting protein	FLJ20516	NM_017858	Hs.572318	54962	chr15q22.31
210983_s_at	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	MCM7	AF279900	Hs.438720	4176	chr7q21.3-q22.1
210999_s_at	growth factor receptor-bound protein 10	GRB10	U66065	Hs.164060	2887	chr7p12-p11.2
223158_s_at	NIMA (never in mitosis gene a)-related kinase 6	NEK6	BE616825	Hs.197071	10783	chr9q33.3-q34.11
228776_at	gap junction protein, alpha 7, 45kDa (connexin 45)	GJA7	AA430014	Hs.620482	10052	chr17q21.31
206550_s_at	nucleoporin 155kDa	NUP155	NM_004298	Hs.547696	9631	chr5p13.1
225792_at	hook homolog 1 (Drosophila)	HOOK1	AA618420	Hs.378836	51361	chr1p32.1
206023_at	neuromedin U	NMU	NM_006681	Hs.418367	10874	chr4q12
201088_at	karyopherin alpha 2 (RAG cohort 1, importin alpha 1) /// similar to Importin alpha-2 subunit (Karyopherin alpha-2 subunit) (SRP1-alpha) (RAG cohort protein 1)	KPNA2	NM_002266	Hs.632749	3838, 643995	chr17q23.1-q23.3
229396_at	ovo-like 1(Drosophila)	OVOL1	AA588400	Hs.134434	5017	chr11q13
218479_s_at	exportin 4	XPO4	NM_022459	Hs.507452	64328	chr13q11
206483_at	leucine rich repeat containing 6	LRRC6	NM_012472	Hs.591865	23639	chr8q24.22
1559535_s_at	Homo sapiens, clone IMAGE:5743779, mRNA	NA	BC040901	Hs.610933	NA	NA
209709_s_at	hyaluronan-mediated motility receptor (RHAMM)	HMMR	U29343	Hs.72550	3161	chr5q33.2-qter
218755_at	kinesin family member 20A	KIF20A	NM_005733	Hs.73625	10112	chr5q31
229305_at	MLF1 interacting protein	MLF1IP	AA460299	Hs.575032	79682	chr4q35.1
209773_s_at	ribonucleotide reductase M2 polypeptide	RRM2	BC001886	Hs.226390	6241	chr2p25-p24
218426_s_at	TRIAD3 protein	TRIAD3	NM_019011	Hs.487458	54476	chr7p22.1
204962_s_at	centromere protein A, 17kDa	CENPA	NM_001809	Hs.1594	1058	chr2p24-p21
223556_at	helicase, lymphoid-specific	HELLS	AF155827	Hs.463677	3070	chr10q24.2
226473_at	chromobox homolog 2 (Pc class homolog, Drosophila)	CBX2	BE514414	Hs.368410	84733	chr17q25.3
222606_at	Zwilch, kinetochore associated, homolog (Drosophila)	ZWILCH	AA824298	Hs.21331	55055	chr15q22.31
219372_at	intraflagellar transport 81 homolog (Chlamydomonas)	IFT81	NM_014055	Hs.528382	28981	chr12q24.13
223992_x_at	zinc finger, CW type with PWWP domain 1	ZCWPW1	BC002725	Hs.105191	55063	chr7q22.1
229312_s_at	G kinase anchoring protein 1	GKAP1	BF434321	Hs.522255	80318	chr9q21.32
242807_at	fibronectin type III and SPRY domain containing 1-like	FSD1L	AI970348	Hs.136901	83856	chr9q31
204244_s_at	DBF4 homolog (S. cerevisiae)	DBF4	NM_006716	Hs.485380	10926	chr7q21.3
203221_at	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	TLE1	AI758763	Hs.197320	7088	chr9q21.32
226440_at	Dual specificity phosphatase 22	DUSP22	BE222746	Hs.29106	56940	chr6p25.3
223638_at	neuroblastoma breakpoint family, member 3	NBPF3	AL136890	Hs.325422	84224	chr1p36.12
202900_s_at	nucleoporin 88kDa	NUP88	NM_002532	Hs.584784	4927	chr17p13.2
230834_at	Transcribed locus	NA	BE348656	Hs.561095	NA	NA
203782_s_at	polymerase (RNA) mitochondrial (DNA directed)	POLRMT	NM_005035	Hs.254113	5442	chr19p13.3
204531_s_at	breast cancer 1, early onset	BRCA1	NM_007295	Hs.194143	672	chr17q21
1552286_at	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2	ATP6V1E2	NM_080653	Hs.437691	90423	chr2p21
231517_at	zyg-11 homolog A (C. elegans)	ZYG11A	AW243917	Hs.105268	440590	chr1p32.3
220981_x_at	nuclear RNA export factor 2	NXF2	NM_022053	Hs.530358	56001	chrXq22.1
209259_s_at	chondroitin sulfate proteoglycan 6 (bamacan)	CSPG6	AF020043	Hs.24485	9126	chr10q25
218350_s_at	geminin, DNA replication inhibitor	GMNN	NM_015895	Hs.234896	51053	chr6p22.2
228859_at	prematurely terminated mRNA decay factor-like	LOC91431	BF056790	Hs.444338	91431	chr4q25
221258_s_at	kinesin family member 18A /// kinesin family member 18A	KIF18A	NM_031217	Hs.301052	81930	chr11p14.1
226619_at	SUMO1/sentrin specific peptidase 1	SENP1	AW665440	Hs.371957	29843	chr12q13.1
235520_at	suppressor of hairy wing homolog 3 (Drosophila)	SUHW3	AA805654	Hs.308418	55609	chrXq25
212055_at	chromosome 18 open reading frame 10	C18orf10	BF689173	Hs.558473	25941	chr18q12.2
236695_at	CDNA FLJ32636 fis, clone SYNOV2000193	NA	AI634415	Hs.196065	NA	NA
203222_s_at	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	TLE1	NM_005077	Hs.197320	7088	chr9q21.32
238844_s_at	nephronophthisis 1 (juvenile)	NPHP1	BF216535	Hs.280388	4867	chr2q13
219308_s_at	adenylate kinase 5	AK5	NM_012093	Hs.559718	26289	chr1p31
219638_at	F-box protein 22	FBXO22	NM_012170	Hs.591115	26263	chr15q24.2
209784_s_at	jagged 2	JAG2	AF029778	Hs.433445	3714	chr14q32
218860_at	nucleolar complex associated 4 homolog (S. cerevisiae)	NOC4L	NM_024078	Hs.558536	79050	chr12q24.33
203575_at	casein kinase 2, alpha prime polypeptide	CSNK2A2	NM_001896	Hs.82201	1459	chr16p13.3-p13.2
201192_s_at	phosphatidylinositol transfer protein, alpha	PITPNA	NM_006224	Hs.429819	5306	chr17p13.3
205061_s_at	exosome component 9	EXOSC9	NM_005033	Hs.91728	5393	chr4q27
201614_s_at	RuvB-like 1 (E. coli)	RUVBL1	NM_003707	Hs.272822	8607	chr3q21
204836_at	glycine dehydrogenase (decarboxylating)	GLDC	NM_000170	Hs.584238	2731	chr9p22
212836_at	polymerase (DNA-directed), delta 3, accessory subunit	POLD3	D26018	Hs.82502	10714	chr11q14
226087_at	leucine zipper and CTNNBIP1 domain containing	LZIC	BG180887	Hs.327252	84328	chr1p36.22
202107_s_at	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	MCM2	NM_004526	Hs.477481	4171	chr3q21
201965_s_at	senataxin	SETX	NM_015046	Hs.460317	23064	chr9q34.13
214728_x_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	SMARCA4	AK026573	Hs.327527	6597	chr19p13.2
212280_x_at	ATG4 autophagy related 4 homolog B (S. cerevisiae)	ATG4B	AA532726	Hs.574886	23192	chr2q37.3
212348_s_at	amine oxidase (flavin containing) domain 2	AOF2	AB011173	Hs.591518	23028	chr1p36.12
227220_at	nuclear transcription factor, X-box binding-like 1	NFXL1	AI743731	Hs.518618	152518	chr4p12
205360_at	---	NA	AI718295	NA	NA	NA
204960_at	protein tyrosine phosphatase, receptor type, C-associated protein	PTPRCAP	NM_005608	Hs.155975	5790	chr11q13.3
215432_at	acyl-CoA synthetase medium-chain family member 1	ACSM1	AC_003034	Hs.306812	116285	chr16p12.2
217735_s_at	eukaryotic translation initiation factor 2-alpha kinase 1	EIF2AK1	AW007368	Hs.520205	27102	chr7p22
227893_at	chromosome 9 open reading frame 130	C9orf130	AI337319	Hs.494549	286354	chr9q22.32
227703_s_at	synaptotagmin-like 4 (granuphilin-a)	SYTL4	AL391688	Hs.592224	94121	NA
205317_s_at	solute carrier family 15 (H+/peptide transporter), member 2	SLC15A2	NM_021082	Hs.518089	6565	chr3q13.33
220979_s_at	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 /// ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	ST6GALNAC5	NM_030965	Hs.303609	81849	chr1p31.1
218948_at	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1	QRSL1	AL136679	Hs.406917	55278	chr6q21
220421_at	butyrophilin-like 8 /// similar to butyrophilin 3	BTNL8	NM_024850	Hs.189109	653117, 79908	chr5q35.3
204846_at	ceruloplasmin (ferroxidase)	CP	NM_000096	Hs.558314	1356	chr3q23-q25
226218_at	MRNA; cDNA DKFZp667P0610 (from clone DKFZp667P0610)	NA	BE217880	Hs.362807	NA	NA
