Probe Set	FC(C)	P(C)	Gene	Gene ID	Unigene	Chromosome	Description
213851_at	-2	0.02	MGC52022	375346	Hs.528411	3p21.31	Similar to RIKEN cDNA 1810038N08 gene
214780_s_at	-2	0.02	MYO9B	4650	Hs.123198	19p13.1	myosin IXB
221844_x_at	-2	0.02	ZNF574	64763	Hs.13323	19q13.31	zinc finger protein 574
200675_at	-1	0.02	CD81	975	Hs.54457	11p15.5	CD81 antigen (target of antiproliferative antibody 1)
207124_s_at	-28	0.03	GNB5	10681	Hs.155090	15q21.1	guanine nucleotide binding protein (G protein), beta 5
221911_at	-25	0.03	LOC221810	221810	Hs.22634	7p21.3	hypothetical protein LOC221810
37892_at	-13	0.03	COL11A1	1301	Hs.523446	1p21	collagen, type XI, alpha 1
210335_at	-13	0.03	PAMCI	9182	Hs.527881	12q21.32	peptidylglycine alpha-amidating monooxygenase COOH-terminal interactor
204622_x_at	-12	0.03	NR4A2	4929	Hs.165258	2q22-q23	nuclear receptor subfamily 4, group A, member 2
217995_at	-12	0.03	SQRDL	58472	Hs.511251	15q15	sulfide quinone reductase-like (yeast)
203715_at	-8	0.03	TBCE	6905	Hs.498143	1q42.3	tubulin-specific chaperone e
207010_at	-8	0.03	GABRB1	2560	Hs.27283	4p12	gamma-aminobutyric acid (GABA) A receptor, beta 1
208275_x_at	-8	0.03	UTF1	8433	Hs.458406	10q26	undifferentiated embryonic cell transcription factor 1
215021_s_at	-8	0.03	NRXN3	9369	Hs.368307	14q31	neurexin 3
202150_s_at	-7	0.03	NEDD9	4739	Hs.37982	6p25-p24	neural precursor cell expressed, developmentally down-regulated 9
219640_at	-7	0.03	CLDN15	24146	Hs.38738	7q11.22	claudin 15
220843_s_at	-7	0.03	DKFZP564O0463	25879	Hs.532265	8q22.3	DKFZP564O0463 protein
203930_s_at	-6	0.03	MAPT	4137	Hs.101174	17q21.1	microtubule-associated protein tau
209277_at	-6	0.03	TFPI2	7980	Hs.438231	7q22	tissue factor pathway inhibitor 2
210089_s_at	-6	0.03	LAMA4	3910	Hs.213861	6q21	laminin, alpha 4
210457_x_at	-6	0.03	HMGA1	3159	Hs.518805	6p21	high mobility group AT-hook 1
221015_s_at	-6	0.03	CDADC1	81602	Hs.388220	13q14.12	cytidine and dCMP deaminase domain containing 1
200646_s_at	-5	0.03	NUCB1	4924	Hs.515524	19q13.2-q13.4	nucleobindin 1
202755_s_at	-5	0.03	GPC1	2817	Hs.328232	2q35-q37	glypican 1
202985_s_at	-5	0.03	BAG5	9529	Hs.5443	14q32.33	BCL2-associated athanogene 5
205470_s_at	-5	0.03	KLK11	11012	Hs.57771	19q13.3-q13.4	kallikrein 11
208581_x_at	-5	0.03	MT1X	4501	Hs.374950	16q13	metallothionein 1X
212185_x_at	-5	0.03	MT2A	4502	Hs.418241	16q13	metallothionein 2A
214515_at	-5	0.03	OR1E1	8387	Hs.278485	17p13.3	olfactory receptor, family 1, subfamily E, member 1
215214_at	-5	0.03		3535	Hs.458262	22q11.1-q11.2	immunoglobulin lambda locus
215594_at	-5	0.03	PTR3	399912	Hs.296832	11q13.1	hypothetical gene supported by X15675
216112_at	-5	0.03	ZNF532	55205	Hs.529023	18q21.32	zinc finger protein 532
220665_at	-5	0.03	LUZP4	51213	Hs.242183	Xq24	HOM-TES-85 tumor antigen
222098_s_at	-5	0.03	ZNF42	7593	Hs.399810	19q13.2-q13.4	zinc finger protein 42
202990_at	-4	0.03	PYGL	5836	Hs.282417	14q21-q22	phosphorylase, glycogen; liver
203330_s_at	-4	0.03	STX5A	6811	Hs.524936	11q12.3	syntaxin 5A
203587_at	-4	0.03	ARF4L	379	Hs.183153	17q12-q21	ADP-ribosylation factor 4-like
205683_x_at	-4	0.03	TPSAB1	7177	Hs.405479	16p13.3	tryptase beta 1
211219_s_at	-4	0.03	LHX2	9355	Hs.445265	9q33-q34.1	LIM homeobox 2
211242_x_at	-4	0.03	KIR2DL4	3805	Hs.166085	19q13.4	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4
214393_at	-4	0.03	LOC284062	284062	Hs.436395	17q21.31	hypothetical protein LOC284062
215899_at	-4	0.03	PNAS-4	51029	Hs.498317	1q44	CGI-146 protein
216359_at	-4	0.03	MUC7	4589	Hs.103944	4q13-q21	mucin 7, salivary
216464_x_at	-4	0.03	GPR44	11251	Hs.299567	11q12-q13.3	G protein-coupled receptor 44
216719_s_at	-4	0.03	RAB11FIP4	84440	Hs.406788	17	RAB11 family interacting protein 4 (class II)
216724_at	-4	0.03	DKFZp547D146		Hs.437045	4q31.23	hypothetical protein MGC45428
221020_s_at	-4	0.03	MFTC	81034	Hs.208425	8q22.3	mitochondrial folate transporter/carrier
200784_s_at	-3	0.03	LRP1	4035	Hs.162757	12q13-q14	low density lipoprotein-related protein 1
201820_at	-3	0.03	KRT5	3852	Hs.433845	12q12-q13	keratin 4
202081_at	-3	0.03	IER2	9592	Hs.501629	19p13.13	immediate early response 2
202385_s_at	-3	0.03	TCOF1	6949	Hs.519672	5q32-q33.1	Treacher Collins-Franceschetti syndrome 1
202552_s_at	-3	0.03	CRIM1	51232	Hs.332847	2p21	cysteine-rich motor neuron 1
202704_at	-3	0.03	TOB1	10140	Hs.531550	17q21	transducer of ERBB2, 1
203097_s_at	-3	0.03	RAPGEF2	9693	Hs.113912	4q32.1	Rap guanine nucleotide exchange factor (GEF) 2
203754_s_at	-3	0.03	BRF1	2972	Hs.424484	14q	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB
206944_at	-3	0.03	HTR6	3362	Hs.22180	1p36-p35	5-hydroxytryptamine (serotonin) receptor 6
210152_at	-3	0.03	LILRB4	11006	Hs.67846	19q13.4	leukocyte immunoglobulin-like receptor, subfamily B, member 4
210540_s_at	-3	0.03	B4GALT4	8702	Hs.13225	3q13.3	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4
211907_s_at	-3	0.03	PARD6B	84612	Hs.391828	20q13.13	par-6 partitioning defective 6 homolog beta (C. elegans)
213056_at	-3	0.03	FRMD4B	23150	Hs.371681	3p14.2	GRP1-binding protein GRSP1
214108_at	-3	0.03	MAX	4149	Hs.285354	14q23	MAX protein
214711_at	-3	0.03	SFRS9	8683	Hs.546321	12q24.31	hypothetical protein 15E1.2
214905_at	-3	0.03	LOC145899	145899	Hs.459035	15q24.2	hypothetical protein LOC145899
217252_at	-3	0.03	OSIL	54211			oxidative stress induced like
219864_s_at	-3	0.03	DSCR1L2	11123	Hs.468261	1p35.3-p33	Down syndrome critical region gene 1-like 2
220291_at	-3	0.03	GDPD2	54857	Hs.438712	Xq13.1	glycerophosphodiester phosphodiesterase domain containing 2
200929_at	-2	0.03	TMP21	10972	Hs.74137	14q24.3	transmembrane trafficking protein
201628_s_at	-2	0.03	RRAGA	10670	Hs.432330	9p22.1	Ras-related GTP binding A
201828_x_at	-2	0.03	CXX1	8933	Hs.522789	Xq26	CAAX box 1
201861_s_at	-2	0.03	LRRFIP1	9208	Hs.471779	2q37.3	leucine rich repeat (in FLII) interacting protein 1
202192_s_at	-2	0.03	GAS7	8522	Hs.462214	17p13.1	myeloid/lymphoid or mixed-lineage leukemia
202822_at	-2	0.03	LPP	4026	Hs.444362	3q27-q28	LIM domain containing preferred translocation partner in lipoma
203443_at	-2	0.03	MTA2	9219	Hs.173043	11q12-q13.1	metastais-associated gene family, member 2
204778_x_at	-2	0.03	HOXB7	3217	Hs.436181	17q21.3	homeo box B7
204872_at	-2	0.03	TLE4	7091	Hs.444213	9q21.32	transducin-like enhancer of split 4
204942_s_at	-2	0.03	ALDH3B2	222	Hs.87539	11q13	aldehyde dehydrogenase 3 family, member B2
205233_s_at	-2	0.03	PAFAH2	5051	Hs.477083	1p34.3	platelet-activating factor acetylhydrolase 2, 40kDa
206130_s_at	-2	0.03	ASGR2	433	Hs.16247	17p	asialoglycoprotein receptor 2
206215_at	-2	0.03	OPCML	4978	Hs.4817	11q25	opioid binding protein/cell adhesion molecule-like
206621_s_at	-2	0.03	WBSCR1	7458	Hs.520943	7q11.23	Williams-Beuren syndrome chromosome region 1
206658_at	-2	0.03	UPK3B	80761	Hs.488861	7q11.2	uroplakin 3B
207339_s_at	-2	0.03	LTB	4050	Hs.376208	6p21.3	lymphotoxin beta (TNF superfamily, member 3)
207395_at	-2	0.03	BTN1A1	696	Hs.153058	6p22.1	butyrophilin, subfamily 1, member A1
207900_at	-2	0.03	CCL17	6361	Hs.546294	16q13	chemokine (C-C motif) ligand 17
209008_x_at	-2	0.03	KRT8	3856	Hs.533782	12q13	keratin 8
209535_s_at	-2	0.03	AKAP13	11214	Hs.459211	15q24-q25	A kinase (PRKA) anchor protein 13
210300_at	-2	0.03	REM1	28954	Hs.247729	20q11.21	RAS (RAD and GEM)-like GTP-binding 1
210734_x_at	-2	0.03	MAX	4149	Hs.285354	14q23	MAX protein
210894_s_at	-2	0.03	CEP2	11190	Hs.443976	20q11.22-q12	centrosomal protein 2
212067_s_at	-2	0.03	C1R	715	Hs.524224	12p13	complement component 1, r subcomponent
214103_s_at	-2	0.03	RAP2A	5911	Hs.508480	13q34	RAP2A, member of RAS oncogene family
214213_x_at	-2	0.03	LMNA	4000	Hs.491359	1q21.2-q21.3	lamin A/C
214885_at	-2	0.03	MYST1	84148	Hs.533803	16p11.2	MYST histone acetyltransferase 1
215337_at	-2	0.03	THRAP4	9862	Hs.462983	17q21.2	thyroid hormone receptor associated protein 4
215704_at	-2	0.03	FLG	2312	Hs.531478	1q21	filaggrin
215913_s_at	-2	0.03	GULP1	51454	Hs.470887	2q32.3-q33	GULP, engulfment adaptor PTB domain containing 1
216983_s_at	-2	0.03	ZNF224	7767	Hs.279855	19q13.2	zinc finger protein 224
217991_x_at	-2	0.03	SSBP3	23648	Hs.175551	1p32.3	single stranded DNA binding protein 3
219035_s_at	-2	0.03	RNF34	80196	Hs.292804	12q24.31	ring finger protein 34
219084_at	-2	0.03	NSD1	64324	Hs.208961	5q35.3	nuclear receptor binding SET domain protein 1
220130_x_at	-2	0.03	LTB4R2	56413	Hs.130685	14q11.2-q12	leukotriene B4 receptor 2
220604_x_at	-2	0.03	FTCD	10841	Hs.415846	21q22.3	formiminotransferase cyclodeaminase
221493_at	-2	0.03	TSPYL1	7259	Hs.458358	6q22-q23	TSPY-like 1
200025_s_at	-1	0.03	RPL27	6155	Hs.514196	17q21.1-q21.2	ribosomal protein L27
200753_x_at	-1	0.03	SFRS2	6427	Hs.73965	17q25.3	splicing factor, arginine/serine-rich 2
216438_s_at	-1	0.03	TMSB4X	7114	Hs.522584	Xq21.3-q22	thymosin, beta 4, X-linked
217689_at	-1	0.03	PTPN1	5770	Hs.417549	20q13.1-q13.2	protein tyrosine phosphatase, non-receptor type 1
211549_s_at	-11	0.04	HPGD	3248	Hs.77348	4q34-q35	hydroxyprostaglandin dehydrogenase 15-(NAD)
217403_s_at	-10	0.04	ZNF227	7770	Hs.371335		zinc finger protein 227
222074_at	-10	0.04	UROD	7389	Hs.78601	1p34	uroporphyrinogen decarboxylase
204908_s_at	-9	0.04	BCL3	602	Hs.31210	19q13.1-q13.2	B-cell CLL/lymphoma 3
212822_at	-9	0.04	HEG	57493	Hs.477420	3q21.2	HEG homolog
219414_at	-9	0.04	CLSTN2	64084	Hs.158529	3q23-q24	calsyntenin 2
219601_s_at	-8	0.04	C10orf12	26148	Hs.14555	10q24.2	chromosome 10 open reading frame 12
219773_at	-8	0.04	NOX4	50507	Hs.371036	11q14.2-q21	NADPH oxidase 4
202393_s_at	-7	0.04	KLF10	7071	Hs.435001	8q22.2	TGFB inducible early growth response
218499_at	-7	0.04	MST4	51765	Hs.444247	Xq26.2	Mst3 and SOK1-related kinase
205641_s_at	-6	0.04	TRADD	8717	Hs.460996	16q22	TNFRSF1A-associated via death domain
206461_x_at	-6	0.04	MT1H	4496	Hs.438462	16q13	metallothionein 1H
207227_x_at	-6	0.04	RFPL2	10739	Hs.157427	22q12.3	ret finger protein-like 3
212859_x_at	-6	0.04	MT1E	4493	Hs.534330	16q13	metallothionein 1E (functional)
215879_at	-6	0.04	ITGB1	3688	Hs.429052	10p11.2	integrin, beta 1
202652_at	-5	0.04	APBB1	322	Hs.372840	11p15	amyloid beta precursor protein-binding, family B, member 1
208632_at	-5	0.04	RNF10	9921	Hs.442798	12q24.31	ring finger protein 10
209011_at	-5	0.04	TRIO	7204	Hs.130031	5p15.1-p14	triple functional domain (PTPRF interacting)
210450_at	-5	0.04	LOC90925	90925	Hs.81221	14q32.33	hypothetical protein LOC90925
214270_s_at	-5	0.04	MAPRE3	22924	Hs.515860	2p23.3-p23.1	microtubule-associated protein, RP/EB family, member 3
202129_s_at	-4	0.04	RIOK3	8780	Hs.445511	18q11.2	RIO kinase 3 (yeast)
204073_s_at	-4	0.04	C11orf9	745	Hs.473109	11q12-q13.1	chromosome 11 open reading frame 9
204151_x_at	-4	0.04	AKR1C1	1645	Hs.460260	10p15-p14	aldo-keto reductase family 1, member C1
204746_s_at	-4	0.04	PRKCABP	9463	Hs.180871	22q13.1	protein kinase C, alpha binding protein
209929_s_at	-4	0.04	IKBKG	8517	Hs.43505	Xq28	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma
210404_x_at	-4	0.04	CAMK2B	816	Hs.351887	7p14.3-p14.1	calcium/calmodulin-dependent protein kinase II beta
210932_s_at	-4	0.04	RNF6	6049	Hs.136885	13q12.2	ring finger protein (C3H2C3 type) 6
214853_s_at	-4	0.04	SHC1	6464	Hs.433795	1q21	SHC transforming protein 1
218978_s_at	-4	0.04	MSCP	51312	Hs.122514	8p21.2	mitochondrial solute carrier protein
220160_s_at	-4	0.04	KPTN	11133	Hs.25441	19q13.33	kaptin (actin binding protein)
221389_at	-4	0.04	PLA2G2E	30814	Hs.272372	1p36.13	phospholipase A2, group IIE
222126_at	-4	0.04	IRS3L	3668	Hs.521083	7q22.1	HIV-1 Rev binding protein-like
200914_x_at	-3	0.04	KTN1	3895	Hs.509414	14q22.1	kinectin 1 (kinesin receptor)
201786_s_at	-3	0.04	ADAR	103	Hs.12341	1q21.1-q21.2	adenosine deaminase, RNA-specific
201849_at	-3	0.04	BNIP3	664	Hs.144873	10q26.3	BCL2/adenovirus E1B 19kDa interacting protein 3
202109_at	-3	0.04	ARFIP2	23647	Hs.75139	11p15	ADP-ribosylation factor interacting protein 2 (arfaptin 2)
203394_s_at	-3	0.04	HES1	3280	Hs.250666	3q28-q29	hairy and enhancer of split 1, (Drosophila)
203570_at	-3	0.04	LOXL1	4016	Hs.65436	15q22	lysyl oxidase-like 1
204041_at	-3	0.04	MAOB	4129	Hs.46732	Xp11.23	monoamine oxidase B
204598_at	-3	0.04	UBCE7IP5	22888	Hs.516851	20p13	likely ortholog of mouse ubiquitin conjugating enzyme 7 interacting protein 5
205931_s_at	-3	0.04	CREB5	9586	Hs.437075	7p15	cAMP responsive element binding protein 5
206443_at	-3	0.04	RORB	6096	Hs.494178	9q22	RAR-related orphan receptor B
206932_at	-3	0.04	CH25H	9023	Hs.47357	10q23	cholesterol 25-hydroxylase
210002_at	-3	0.04	GATA6	2627	Hs.514746	18q11.1-q11.2	GATA binding protein 6
211129_x_at	-3	0.04	EDA	1896	Hs.105407	Xq12-q13.1	ectodermal dysplasia 1, anhidrotic
214588_s_at	-3	0.04	MFAP3	4238	Hs.432818	5q32-q33.2	microfibrillar-associated protein 3
214603_at	-3	0.04	MAGEA2	4101	Hs.36980	Xq28	melanoma antigen, family A, 3
214725_at	-3	0.04	RPESP	157869	Hs.439040	8q13.3	RPE-spondin
214995_s_at	-3	0.04	APOBEC3G	60489	Hs.474853	22q13.1-q13.2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G
215271_at	-3	0.04	TNN	63923	Hs.156369	1q23-q24	tenascin N
215816_at	-3	0.04	IGLL2	3544		22q11.2	immunoglobulin lambda-like polypeptide 2
216507_at	-3	0.04	FLJ90013	202018	Hs.479223	4p15.33	hypothetical protein FLJ90013
216577_at	-3	0.04	RPS11P1	128718		20p12.2	ribosomal protein S11, pseudogene 1
219948_x_at	-3	0.04	FLJ21934	79799	Hs.122583	4q13.3	hypothetical protein FLJ21934
220913_at	-3	0.04	MGRN1	23295	Hs.526494	16p13.3	Hypothetical protein FLJ21497
221799_at	-3	0.04	CSGlcA-T	54480	Hs.86392	7q36.1	KIAA1402 protein
201020_at	-2	0.04	YWHAH	7533	Hs.226755	22q12.3	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide
201409_s_at	-2	0.04	PPP1CB	5500	Hs.468018	2p23	protein phosphatase 1, catalytic subunit, beta isoform
201738_at	-2	0.04	GC20	10289	Hs.315230	3p21.33	translation factor sui1 homolog
202378_s_at	-2	0.04	LEPROT	54741	Hs.23581	1p31.3	leptin receptor gene-related protein
202897_at	-2	0.04	PTPNS1	140885	Hs.128846	20p13	protein tyrosine phosphatase, non-receptor type substrate 1
203139_at	-2	0.04	DAPK1	1612	Hs.380277	9q34.1	death-associated protein kinase 1
203365_s_at	-2	0.04	MMP15	4324	Hs.80343	16q13-q21	matrix metalloproteinase 15 (membrane-inserted)
204323_x_at	-2	0.04	NF1	4763	Hs.435956	17q11.2	neurofibromin 1
204934_s_at	-2	0.04	HPN	3249	Hs.182385	19q11-q13.2	hepsin (transmembrane protease, serine 1)
204980_at	-2	0.04	CLOCK	9575	Hs.436975	4q12	clock homolog (mouse)
205845_at	-2	0.04	CACNA1H	8912	Hs.459642	16p13.3	calcium channel, voltage-dependent, alpha 1H subunit
206288_at	-2	0.04	PGGT1B	5229	Hs.254006	5q23.1	protein geranylgeranyltransferase type I, beta subunit
207448_at	-2	0.04	POFUT2	23275	Hs.517345	21q22.3	protein O-fucosyltransferase 2
207585_s_at	-2	0.04	RPL36AL	6166	Hs.444749	11p15.1	ribosomal protein L36a-like
207825_s_at	-2	0.04	GHRHR	2692	Hs.767	7p14	growth hormone releasing hormone receptor
208033_s_at	-2	0.04	ATBF1	463	Hs.461285	16q22.3-q23.1	AT-binding transcription factor 1
208554_at	-2	0.04	POU4F3	5459		5q31	POU domain, class 4, transcription factor 3
209283_at	-2	0.04	CRYAB	1410	Hs.408767	11q22.3-q23.1	crystallin, alpha B
210090_at	-2	0.04	ARC	23237	Hs.40888	8q24.3	activity-regulated cytoskeleton-associated protein
210276_s_at	-2	0.04	HRIHFB2122	11078	Hs.533030	22q13.1	Tara-like protein
210778_s_at	-2	0.04	MXD4	10608	Hs.102402	4p16.3	MAX dimerization protein 4
211445_x_at	-2	0.04	FKSG17	83955	Hs.458400	8q22.3	FKSG17
211610_at	-2	0.04	KLF6	1316	Hs.285313	10p15	Kruppel-like factor 6
211729_x_at	-2	0.04	BLVRA	644	Hs.488143	7p14-CEN	biliverdin reductase A
212071_s_at	-2	0.04	SPTBN1	6711	Hs.503178	2p21	spectrin, beta, non-erythrocytic 1
212081_x_at	-2	0.04	BAT2	7916	Hs.436093	6p21.3	HLA-B associated transcript 2
212515_s_at	-2	0.04	DDX3X	1654	Hs.380774	Xp11.3-p11.23	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked
213946_s_at	-2	0.04	KIAA0657	23363	Hs.526594	2q36.1	KIAA0657 protein
215577_at	-2	0.04	UBE2E1	7324	Hs.164853	3p24.2-p24.1	ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)
216033_s_at	-2	0.04	FYN	2534	Hs.390567	6q21	FYN oncogene related to SRC, FGR, YES
216426_at	-2	0.04	TCEB1	6921	Hs.546305	8q13.3	transcription elongation factor B, polypeptide 1
217029_at	-2	0.04	BAX	581	Hs.159428	19q13.3-q13.4	BCL2-associated X protein
217160_at	-2	0.04	TSPY1	7258	Hs.458252	Yp11.2	testis specific protein, Y-linked 1
217284_x_at	-2	0.04	SERHL	94009	Hs.534041	22q13	serine hydrolase-like
218959_at	-2	0.04	HOXC10	3226	Hs.44276	12q13.3	homeo box C10
219302_s_at	-2	0.04	CNTNAP2	26047	Hs.446192	7q35-q36	contactin associated protein-like 2
219614_s_at	-2	0.04	SLC6A20	54716	Hs.413095	3p21.3	solute carrier family 6, member 20
222022_at	-2	0.04	DTX3	196403	Hs.32374	12q13.2	deltex 3 homolog (Drosophila)
77508_r_at	-1	0.04	RABEP2	79874	Hs.183075	16p12.1	rabaptin, RAB GTPase binding effector protein 2
200945_s_at	-1	0.04	SEC31L1	22872	Hs.370024	4q21.3	SEC31-like 1 (S. cerevisiae)
209018_s_at	-1	0.04	PINK1	65018	Hs.389171	1p36	PTEN induced putative kinase 1
209808_x_at	-1	0.04	ING1	3621	Hs.46700	13q34	inhibitor of growth family, member 1
214091_s_at	-1	0.04	GPX3	2878	Hs.386793	5q23	glutathione peroxidase 3 (plasma)
219807_x_at	-1	0.04	RAB4B	53916	Hs.25367	19q13.2	RAB4B, member RAS oncogene family
222379_at	-12	0.05	KCNE4	23704	Hs.348522	2q36.3	potassium voltage-gated channel, Isk-related family, member 4
217999_s_at	-10	0.05	PHLDA1	22822	Hs.82101	12q15	pleckstrin homology-like domain, family A, member 1
215039_at	-9	0.05	LOC339524	339524	Hs.306423	1p22.3	hypothetical protein LOC339524
221898_at	-8	0.05	T1A-2	10630	Hs.468675	1p36	lung type-I cell membrane-associated glycoprotein
206876_at	-6	0.05	SIM1	6492	Hs.534129	6q16.3-q21	single-minded homolog 1 (Drosophila)
209708_at	-6	0.05	MOXD1	26002	Hs.6909	6q23.1-23.3	monooxygenase, DBH-like 1
216966_at	-6	0.05	ITGA2B	3674	Hs.411312	17q21.32	integrin, alpha 2b
203571_s_at	-5	0.05	C10orf116	10974	Hs.74120	10q23.31	chromosome 10 open reading frame 116
219459_at	-5	0.05	POLR3B	55703	Hs.62696	12q24.11	polymerase (RNA) III (DNA directed) polypeptide B
200799_at	-4	0.05	HSPA1A	3303	Hs.405994	6q14.1	chemokine (C-C motif) receptor 5
207182_at	-4	0.05	GABRA6	2559	Hs.90791	5q34	gamma-aminobutyric acid (GABA) A receptor, alpha 6
208030_s_at	-4	0.05	ADD1	118	Hs.183706	4p16.3	adducin 1 (alpha)
214898_x_at	-4	0.05	MUC3B	57876	Hs.489354	7q22	mucin 3B
217721_at	-4	0.05	CDC10	989	Hs.191346	7p14.3-p14.1	CDC10 cell division cycle 10 homolog (S. cerevisiae)
220648_at	-4	0.05	ADARB2	105	Hs.369716	10p15.3	adenosine deaminase, RNA-specific, B2 (RED2 homolog rat)
220892_s_at	-4	0.05	PSAT1	29968	Hs.494261	9q21.32	phosphoserine aminotransferase 1
206337_at	-3	0.05	CCR7	1236	Hs.370036	17q12-q21.2	chemokine (C-C motif) receptor 7
208942_s_at	-3	0.05	TLOC1	7095	Hs.529591	3q26.2-q27	translocation protein 1
209952_s_at	-3	0.05	MAP2K7	5609	Hs.531754	19p13.3-p13.2	mitogen-activated protein kinase kinase 7
210986_s_at	-3	0.05	TPM1	7168	Hs.133892	15q22.1	tropomyosin 1 (alpha)
211008_s_at	-3	0.05	UBE2I	7329	Hs.302903	16p13.3	ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)
213376_at	-3	0.05	ZBTB1	22890	Hs.400802	14q23.3	zinc finger and BTB domain containing 1
215345_x_at	-3	0.05		442533	Hs.373504	7	Similar to T-cell receptor gamma chain V region PT-gamma-1/2 precursor
221463_at	-3	0.05	CCL24	6369	Hs.247838	7q11.23	chemokine (C-C motif) ligand 24
222050_at	-3	0.05	FXR2	9513	Hs.52788	17p13.1	fragile X mental retardation, autosomal homolog 2
200666_s_at	-2	0.05	DNAJB1	3337	Hs.515210	19p13.2	DnaJ (Hsp40) homolog, subfamily B, member 1
200741_s_at	-2	0.05	RPS27	6232	Hs.504517	1q21	ribosomal protein S27 (metallopanstimulin 1)
200923_at	-2	0.05	LGALS3BP	3959	Hs.514535	17q25	lectin, galactoside-binding, soluble, 3 binding protein
201176_s_at	-2	0.05	ARCN1	372	Hs.33642	11q23.3	archain 1
202265_at	-2	0.05	BMI1	648	Hs.380403	10p11.23	B lymphoma Mo-MLV insertion region (mouse)
205312_at	-2	0.05	SPI1	6688	Hs.502511	11p11.2	spleen focus forming virus proviral integration oncogene spi1
207641_at	-2	0.05	TNFRSF13B	23495	Hs.158341	17p11.2	tumor necrosis factor receptor superfamily, member 13B
209075_s_at	-2	0.05	ISCU	23479	Hs.350702	12q24.1	iron-sulfur cluster assembly enzyme
211028_s_at	-2	0.05	KHK	3795	Hs.159525	2p23.3-p23.2	ketohexokinase (fructokinase)
211139_s_at	-2	0.05	NAB1	4664	Hs.107474	2q32.3-q33	NGFI-A binding protein 1 (EGR1 binding protein 1)
212574_x_at	-2	0.05	C19orf6	91304	Hs.515003	19p13.3	chromosome 19 open reading frame 6
213277_at	-2	0.05	ZFP36L1	677	Hs.85155	14q22-q24	zinc finger protein 36, C3H type-like 1
213991_s_at	-2	0.05	HS3ST1	9957	Hs.507348	4p16	heparan sulfate (glucosamine) 3-O-sulfotransferase 1
215533_s_at	-2	0.05	UBE4B	10277	Hs.386404	1p36.3	ubiquitination factor E4B (UFD2 homolog, yeast)
215994_x_at	-2	0.05	KIAA0676	23061	Hs.155829	5q35.3	KIAA0676 protein
216796_s_at	-2	0.05	FLJ23194		Hs.406863	1	cDNA FLJ23194
217406_at	-2	0.05	IGLVIVOR22-2	84087		22q12.2-q12.3	immunoglobulin lambda variable (IV)/OR22-2
218812_s_at	-2	0.05	C7orf19	80228	Hs.363308	7q22.1	chromosome 7 open reading frame 19
220846_s_at	-2	0.05	FLJ10346	55123	Hs.407181	1p36.33-p36.2	protein kinase C, zeta
221018_s_at	-2	0.05	TDRD1	56165	Hs.333132	10q26.11	tudor domain containing 1
200650_s_at	-1	0.05	LDHA	3939	Hs.2795	11p15.4	lactate dehydrogenase A
202712_s_at	-1	0.05	CKMT1	1159	Hs.425633	15q15	creatine kinase, mitochondrial 1 (ubiquitous)
