Gene symbol	Accession number	Gene description	Gbm/Mm ratio	Selection frequency
RREB1	AI473516	Ras responsive element binding protein 1	0.215	1
FGD6	AI923117	FYVE, RhoGEF and PH domain containing 6	0.082	1
RGS13	AA767465	Regulator of G-protein signalling 13	0.338	1
HOXD13	AI858239	Homeobox D13	3.2	1
VCL	BM671421	Vinculin	0.215	1
PRKCH	BM668363	Protein kinase C, eta	0.181	1
CDC91L1	BU731832	CDC91 cell division cycle 91-like 1 (S. cerevisiae)	1.5	1
PTPRU	BM667857	Protein tyrosine phosphatase, receptor type, U	0.042	1
IGFBP7	BM676247	Insulin-like growth factor binding protein 7	2.7	1
RASA3	BM715990	RAS p21 protein activator 3	2	1
ZNF238	BM677356	Zinc finger protein 238	3.6	1
SP100	BM723015	SP100 nuclear antigen	0.346	1
NUSAP1	BE542067	Nucleolar and spindle associated protein 1	5.2	1
IFITM3	AW675347	Interferon induced transmembrane protein 3 (1-8U)	0.355	1
