Probe Set ID	Gene Title	Symbol	Location	Entrez	Pearson r	P-Value	Spearman r	P-Value	Pearson r	P-Value	Spearman r	P-Value
234184_at	Low density lipoprotein-related protein 1B (deleted in tumors)	LRP1B	2q21.2	53353	-0.29926	0.0279	-0.27549	0.0438	-0.39228	0.0033	-0.4078	0.0022
234192_s_at	G kinase anchoring protein 1	GKAP1	9q21.32	80318	0.29584	0.0299	0.39508	0.0031	0.37814	0.0048	0.39975	0.0027
235053_at	COX11   homolog, cytochrome c oxidase   assembly protein (yeast)	COX11	17q22	1353	0.30676	0.0241	0.45808	0.0005	0.34591	0.0104	0.41709	0.0017
235352_at	CDNA   FLJ31593 fis, clone  NT2RI2002481	---	---	---	0.28982	0.0335	0.3662	0.0065	0.37248	0.0055	0.36457	0.0067
235387_at	glutathione S-transferase, C-terminal  domain containing	GSTCD	4q24	79807	0.27095	0.0475	0.2899	0.0335	0.40906	0.0021	0.43707	0.001
235612_at	Transcribed   locus, moderately similar to  XP_514612.1 PREDICTED:similar to Rnpc2 protein [Pan troglodytes]	---	---	---	0.32392	0.0169	0.42563	0.0013	0.50468	0.0001	0.37936	0.0047
235902_at	Similar to  Neuronal  acetylcholine receptor protein, beta-4 subunit   precursor (Neuronal acetylcholine receptor non-alpha-2 chain) (N-alpha 2)	LOC645172	---	645172	0.33427	0.0135	0.42614	0.0013	0.35204	0.009	0.34795	0.0099
235956_at	KIAA1377	KIAA1377	11q22.1	57562	0.2838	0.0376	0.31331	0.0211	0.35999	0.0075	0.42388	0.0014
235976_at	SLIT and  NTRK-like family, member 6	SLITRK6	13q31.1	84189	0.28651	0.0357	0.3356	0.0131	0.40508	0.0024	0.44515	0.0007
236029_at	FAT tumor suppressor homolog 3 (Drosophila)	FAT3	11q14.3	120114	0.27651	0.043	0.27922	0.0409	0.33771	0.0125	0.28383	0.0375
236325_at	KIAA1377	KIAA1377	11q22.1	57562	0.4263	0.0013	0.47318	0.0003	0.48016	0.0002	0.48197	0.0002
236376_at	Transcribed locus	---	---	---	-0.31325	0.0211	-0.30935	0.0228	-0.41707	0.0017	-0.37871	0.0047
236656_s_at	Full length insert cDNA YI37C01	---	---	---	0.27285	0.0459	0.37598	0.0051	0.30414	0.0254	0.30724	0.0238
236838_at	Homo sapiens, clone IMAGE:494046 7, mRNA	---	---	---	-0.40634	0.0023	-0.3249	0.0165	-0.34204	0.0114	-0.37482	0.0052
237400_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)	ATP5S	14q22.1	27109	0.33679	0.0128	0.36496	0.0067	0.46828	0.0004	0.38126	0.0044
237444_at	Transcribed locus	---	---	---	0.30148	0.0267	0.31086	0.0221	0.30584	0.0245	0.28166	0.0391
237488_at	Heterogeneous nuclear ribonucleoprote in C (C1/C2)	HNRPC	14q11.2	3183	-0.36794	0.0062	-0.32709	0.0158	-0.37731	0.0049	-0.35824	0.0078
237861_at	Zinc finger protein 23 (KOX 16)	ZNF23	16q22	7571	-0.34574	0.0104	-0.27282	0.0459	-0.43717	0.0009	-0.4132	0.0019
238333_s_at	Mitochondrial GTPase 1 homolog (S. cerevisiae)	MTG1	10q26.3	92170	0.40071	0.0027	0.45352	0.0006	0.28726	0.0352	0.31673	0.0196
238497_at	transmembrane protein 136	TMEM136	11q23.3	219902	0.29742	0.029	0.33762	0.0125	0.28515	0.0366	0.31174	0.0217
238601_at	Transcribed locus	---	---	---	0.28523	0.0366	0.31086	0.0221	0.37263	0.0055	0.30956	0.0227
238681_at	glycerophosph odiester phosphodiester ase domain containing 1	GDPD1	17q22	284161	0.32589	0.0162	0.32544	0.0163	0.40417	0.0024	0.37482	0.0052
238712_at	Forkhead box P1	FOXP1	3p14.1	27086	0.31045	0.0223	0.3606	0.0074	0.3575	0.008	0.35271	0.0089
238722_x_at	N-acyl-phosphatidyleth anolamine- hydrolyzing phospholipase D	NAPE-PLD	7q22.1	222236	0.27311	0.0457	0.33526	0.0132	0.37398	0.0053	0.44736	0.0007
238839_at	orthodenticle homolog 1 (Drosophila)	OTX1	2p13	5013	-0.37588	0.0051	-0.3604	0.0074	-0.4135	0.0019	-0.40961	0.0021
239344_at	Cerebellin 1 precursor	CBLN1	16q12.1	869	-0.35254	0.0089	-0.29761	0.0288	-0.33746	0.0126	-0.29493	0.0304
239349_at	C1q and tumor necrosis factor related protein 7	C1QTNF7	4p16-p15	114905	0.36822	0.0062	0.35805	0.0079	0.48778	0.0002	0.41057	0.002
239644_at	Hypothetical protein FLJ37440	FLJ37440	2q13	129804	0.36958	0.006	0.3701	0.0059	0.46225	0.0004	0.42857	0.0012
239717_at	Cholinergic receptor, nicotinic, alpha 10	CHRNA10	11p15.5	57053	-0.38501	0.004	-0.27536	0.0439	-0.39637	0.003	-0.39536	0.0031
239822_at	CDNA clone IMAGE:4816129	---	---	---	0.32662	0.0159	0.33289	0.0139	0.43397	0.001	0.45757	0.0005
239847_at	CDNA clone IMAGE:6186815	---	---	---	0.36497	0.0067	0.3747	0.0052	0.4486	0.0007	0.39346	0.0032
240242_at	Transcribed locus	---	---	---	0.36001	0.0075	0.40509	0.0024	0.4244	0.0014	0.31425	0.0207
240501_at	Transcribed   locus, weakly similar to  NP_689672.2 hypothetical protein MGC45438 [Homo sapiens]	---	---	---	-0.37499	0.0052	-0.32678	0.0159	-0.42252	0.0015	-0.47018	0.0003
240630_at	Retinoic acid   receptor, alpha	RARA	17q21	5914	-0.29049	0.0331	-0.27719	0.0424	-0.44838	0.0007	-0.49784	0.0001
241434_at	Intracisternal A particle-promoted polypeptide	IPP	1p34-p32	3652	0.3372	0.0127	0.33657	0.0128	0.29501	0.0303	0.34059	0.0117
241640_at	B-cell receptor-associated protein 29	BCAP29	7q22-q31	55973	-0.29517	0.0302	-0.32603	0.0161	-0.27924	0.0409	-0.40833	0.0022
242133_s_at	Lymphocyte-specific protein 1	LSP1	2p11.1	654342	0.28701	0.0354	0.28082	0.0397	0.34861	0.0098	0.32016	0.0183
242177_at	Transcribed locus	---	---	---	-0.35982	0.0075	-0.29041	0.0331	-0.36283	0.007	-0.29111	0.0327
242424_at	LETM1 domain containing 1	LETMD1	12q13.13	25875	0.35747	0.008	0.40155	0.0026	0.27153	0.047	0.28429	0.0372
242500_at	---	---	---	---	0.28447	0.0371	0.33229	0.0141	0.3288	0.0152	0.33118	0.0144
242504_at	Lipoprotein, Lp(a)-like 2	LPAL2	6q26-q27	80350	-0.3413	0.0115	-0.28114	0.0395	-0.35535	0.0084	-0.36556	0.0066
242525_at	---	---	---	---	-0.37917	0.0047	-0.30617	0.0243	-0.46588	0.0004	-0.41995	0.0016
242683_at	hypothetical gene supported by AK095347	FLJ38028	18p11.31	400643	-0.30174	0.0266	-0.29351	0.0312	-0.27705	0.0425	-0.34432	0.0108
243100_at	5-nucleotidase, cytosolic IB	NT5C1B	2p24.2	93034	-0.36386	0.0068	-0.3788	0.0047	-0.33169	0.0143	-0.30199	0.0265
244437_at	Chromosome 12 open reading frame 62	C12orf62	12q13.13	84987	-0.28119	0.0394	-0.27051	0.0479	-0.32341	0.0171	-0.33365	0.0137
244473_at	Activating transcription factor 7	ATF7	12q13	11016	0.31053	0.0223	0.3128	0.0213	0.3765	0.005	0.37756	0.0049
244667_at	CDNA FLJ35683 fis, clone SPLEN201913 1	---	---	---	-0.28488	0.0368	-0.27654	0.0429	-0.38393	0.0042	-0.3738	0.0054
244685_at	Angel homolog 1 (Drosophila)	ANGEL1	14q24.3	23357	-0.39578	0.0031	-0.37817	0.0048	-0.34605	0.0104	-0.33053	0.0146
32540_at	Protein   phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform (calcineurin A gamma)	PPP3CC	8p21.3	5533	-0.43466	0.001	-0.38094	0.0045	-0.35243	0.009	-0.39064	0.0035
45288_at	abhydrolase domain containing 6	ABHD6	3p14.3	57406	0.29938	0.0279	0.39673	0.003	0.38973	0.0036	0.42251	0.0015
64432_at	chromosome 12 open reading frame 47	C12orf47	12q24.12	51275	0.28507	0.0367	0.33415	0.0135	0.34575	0.0104	0.37139	0.0057
