Gene ID	Gene Identifier	ANOVA P value	B&H P value	mean 1	mean 2	mean 3	mean 4	SEM 1	SEM 2	SEM 3	SEM 4	Quality 1	Quality 2	Quality 3	Quality 4	Gene Title	Other ID	UG Cluster	LocusLink	Chromosome
HES1	NM_005524	0.00065	0.005401246	9.170	9.795	10.154	10.346	0.242	0.131	0.115	0.032	9.170	9.795	10.154	10.346	Hairy and enhancer of split 1, (Drosophila)	MmugDNA.27189.1.S1_at	Hs.250666	3280	3
HES1	BE973687	0.014142	0.037883212	7.604	7.626	8.007	8.127	0.137	0.104	0.139	0.059	7.604	7.626	8.007	8.127	Hairy and enhancer of split 1, (Drosophila)	MmugDNA.29901.1.S1_at	Hs.250666	3280	3
HHEX	Z21533	0.002494	0.01220002	8.443	7.656	8.155	7.821	0.074	0.087	0.182	0.105	8.443	7.656	8.155	7.821	Hematopoietically expressed homeobox	MmugDNA.23862.1.S1_at	Hs.118651	3087	10
HHIP	AK098525	0.016705	0.042498806	5.048	5.553	5.821	5.367	0.022	0.100	0.265	0.044	5.048	5.553	5.821	5.367	Hedgehog interacting protein	MmugDNA.41392.1.S1_at	Hs.507991	64399	4
HIF1A	NM_001530	0.000063	0.001469638	12.040	12.563	12.470	12.562	0.034	0.031	0.100	0.022	12.040	12.563	12.470	12.562	Hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	MmugDNA.17998.1.S1_at	Hs.654600	3091	14
HSPD1	BE256479	0.007075	0.023815612	11.134	11.826	11.773	11.541	0.129	0.113	0.143	0.103	11.134	11.826	11.773	11.541	Heat shock 60kDa protein 1 (chaperonin)	MmugDNA.36856.1.S1_s_at	Hs.595053	3329	2
HSPD1	BE256479	0.012836	0.035511287	9.503	10.196	10.127	9.974	0.150	0.129	0.154	0.085	9.503	10.196	10.127	9.974	Heat shock 60kDa protein 1 (chaperonin)	MmugDNA.36856.1.S1_at	Hs.595053	3329	2
IFITM1	AA749101	0.01588	0.041095396	12.923	12.618	12.472	12.292	0.042	0.079	0.200	0.084	12.923	12.618	12.472	12.292	Interferon induced transmembrane protein 1 (9-27)	MmugDNA.5697.1.S1_s_at	Hs.458414	8519	11
IGF1	M29644	0.000324	0.003567412	9.260	11.364	11.203	11.007	0.308	0.145	0.231	0.323	9.260	11.364	11.203	11.007	Insulin-like growth factor 1 (somatomedin C)	MmugDNA.7733.1.S1_at	Hs.160562	3479	12
IGF1	M37484	0.000004	0.000405304	8.363	10.178	10.072	9.822	0.072	0.166	0.220	0.062	8.363	10.178	10.072	9.822	Insulin-like growth factor 1 (somatomedin C)	MmugDNA.38092.1.S1_at	Hs.160562	3479	12
IGF1	AU144912	0.000056	0.001379075	12.289	13.626	13.504	13.399	0.154	0.146	0.148	0.093	12.289	13.626	13.504	13.399	Insulin-like growth factor 1 (somatomedin C)	MmugDNA.4061.1.S1_at	Hs.160562	3479	12
IGF1R	AI830698	0.014646	0.038853148	9.211	8.525	8.746	8.850	0.211	0.067	0.048	0.102	9.211	8.525	8.746	8.850	Insulin-like growth factor 1 receptor	MmugDNA.21121.1.S1_at	Hs.643120	3480	15
IGF1R	BF347362	0.006016	0.021295125	8.726	7.940	8.132	8.068	0.227	0.091	0.059	0.085	8.726	7.940	8.132	8.068	Insulin-like growth factor 1 receptor	MmugDNA.19151.1.S1_at	Hs.643120	3480	15
IGF1R	AL044092	0.000032	0.001029415	11.897	10.850	11.240	11.260	0.060	0.132	0.087	0.069	11.897	10.850	11.240	11.260	Insulin-like growth factor 1 receptor	MmugDNA.73.1.S1_s_at	Hs.643120	3480	15
IGF2	M17863	0.007752	0.025392161	10.233	10.709	10.233	9.841	0.231	0.087	0.047	0.125	10.233	10.709	10.233	9.841	Insulin-like growth factor 2 (somatomedin A)	MmugDNA.29840.1.S1_x_at	Hs.523414	3481	11
IGF2	M17863	0.009929	0.029861	10.198	10.652	10.194	9.766	0.251	0.092	0.042	0.121	10.198	10.652	10.194	9.766	Insulin-like growth factor 2 (somatomedin A)	MmugDNA.29840.1.S1_at	Hs.523414	3481	11
IGF2	NM_000612	0.01913	0.046749801	10.798	11.040	10.492	10.175	0.291	0.126	0.057	0.108	10.798	11.040	10.492	10.175	Insulin-like growth factor 2 (somatomedin A)	MmugDNA.23210.1.S1_x_at	Hs.523414	3481	11
IGFBP3	M31159	0.012523	0.034859194	14.468	13.168	13.714	13.681	0.068	0.362	0.237	0.119	14.468	13.168	13.714	13.681	Insulin-like growth factor binding protein 3	MmugDNA.7729.1.S1_at	Hs.450230	3486	7
IGFBP4	NM_001552	0.001388	0.008493054	12.393	12.978	13.160	13.151	0.090	0.186	0.087	0.043	12.393	12.978	13.160	13.151	Insulin-like growth factor binding protein 4	MmugDNA.18189.1.S1_at	Hs.462998	3487	17
IHH	AA628967	0.000014	0.000691017	8.600	10.633	11.280	11.380	0.315	0.291	0.257	0.031	8.600	10.633	11.280	11.380	Indian hedgehog homolog (Drosophila)	MmugDNA.43466.1.S1_at	Hs.654504	3549	2
IL12RB2	NM_001559	0.007028	0.023730226	8.070	6.667	7.620	7.098	0.204	0.205	0.234	0.298	8.070	6.667	7.620	7.098	Interleukin 12 receptor, beta 2	MmugDNA.20333.1.S1_at	Hs.479347	3595	1
IL15	NM_000585	0.000094	0.001788333	9.509	9.105	8.468	7.806	0.117	0.135	0.230	0.195	9.509	9.105	8.468	7.806	Interleukin 15	MmugDNA.19109.1.S1_at	Hs.654378	3600	4
IL1A	M15329	0.000005	0.000449238	5.821	8.801	6.023	5.998	0.197	0.388	0.239	0.091	5.821	8.801	6.023	5.998	Interleukin 1, alpha	MmugDNA.39415.1.S1_at	Hs.1722	3552	2
IL27	NM_145659	0.000056	0.001379075	8.209	7.943	7.877	7.903	0.013	0.041	0.026	0.046	8.209	7.943	7.877	7.903	Interleukin 27	MmugDNA.40047.1.S1_at	Hs.528111	246778	16
IL6ST	AW242916	0.001149	0.007631576	11.330	12.097	11.867	11.899	0.157	0.049	0.114	0.033	11.330	12.097	11.867	11.899	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	MmugDNA.8050.1.S1_at	Hs.532082	3572	5
IL6ST	AW242916	0.000016	0.000741968	9.751	10.522	10.381	10.449	0.084	0.042	0.097	0.034	9.751	10.522	10.381	10.449	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	MmugDNA.8050.1.S1_s_at	Hs.532082	3572	5
ING5	BF592779	0.003206	0.014238503	7.328	7.154	7.300	6.996	0.073	0.010	0.070	0.034	7.328	7.154	7.300	6.996	Inhibitor of growth family, member 5	MmugDNA.21775.1.S1_at	Hs.645460	84289	2
ING5	BC005370	0.000599	0.005156287	7.981	7.636	7.757	7.727	0.052	0.043	0.042	0.028	7.981	7.636	7.757	7.727	Inhibitor of growth family, member 5	MmugDNA.33397.1.S1_at	Hs.645460	84289	2
IRS2	BF700086	0.000494	0.004581688	9.823	8.018	8.770	9.068	0.187	0.347	0.061	0.130	9.823	8.018	8.770	9.068	Insulin receptor substrate 2	MmugDNA.30504.1.S1_at	Hs.442344	8660	13
IRS2	AF073310	0.000251	0.003049789	12.078	10.350	10.910	11.071	0.091	0.342	0.074	0.100	12.078	10.350	10.910	11.071	Insulin receptor substrate 2	MmugDNA.21074.1.S1_at	Hs.442344	8660	13
ISG20	NM_002201	0.001223	0.007899529	8.410	9.370	10.322	10.234	0.212	0.342	0.348	0.162	8.410	9.370	10.322	10.234	Interferon stimulated exonuclease gene 20kDa	MmugDNA.2176.1.S1_at	Hs.459265	3669	15
KIF15	NM_020242	0.000209	0.002780341	5.244	7.180	5.462	5.405	0.169	0.348	0.201	0.161	5.244	7.180	5.462	5.405	Kinesin family member 15	MmugDNA.15585.1.S1_at	Hs.658939	56992	3
KIT	NM_000222	0.019991	0.048147957	9.031	10.154	10.023	10.323	0.146	0.359	0.323	0.160	9.031	10.154	10.023	10.323	V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	MmugDNA.20574.1.S1_at	Hs.479754	3815	4
KLF11	AF028008	0.000672	0.005500595	8.696	8.062	8.299	8.426	0.039	0.122	0.053	0.066	8.696	8.062	8.299	8.426	Kruppel-like factor 11	MmugDNA.42138.1.S1_at	Hs.12229	8462	2
KLK8	NM_144506	0.002535	0.012327174	8.427	8.992	9.063	8.959	0.074	0.092	0.131	0.093	8.427	8.992	9.063	8.959	Kallikrein-related peptidase 8	MmugDNA.35426.1.S1_at	Hs.104570	11202	19
KLK8	NM_007196	0.001255	0.008011728	7.275	8.082	8.228	8.163	0.194	0.102	0.128	0.115	7.275	8.082	8.228	8.163	Kallikrein-related peptidase 8	MmugDNA.2893.1.S1_at	Hs.104570	11202	19
LAMA1	AI990816	0.006425	0.022303264	5.395	7.347	7.007	6.992	0.121	0.328	0.477	0.323	5.395	7.347	7.007	6.992	Laminin, alpha 1	MmugDNA.39626.1.S1_at	Hs.270364	284217	18
LAMC1	J03202	0.006368	0.02217568	7.667	7.941	8.226	8.163	0.117	0.134	0.069	0.037	7.667	7.941	8.226	8.163	Laminin, gamma 1 (formerly LAMB2)	MmugDNA.528.1.S1_at	Hs.609663	3915	1
LIFR	AI680541	0.002587	0.012477162	11.684	10.831	11.315	11.129	0.072	0.184	0.119	0.077	11.684	10.831	11.315	11.129	Leukemia inhibitory factor receptor alpha	MmugDNA.39315.1.S1_at	Hs.133421	3977	5
LIG4	AI829314	0.001923	0.010360956	4.619	5.399	5.081	5.313	0.087	0.036	0.117	0.174	4.619	5.399	5.081	5.313	Ligase IV, DNA, ATP-dependent	MmugDNA.10771.1.S1_at	Hs.166091	3981	13
LRPAP1	NM_002337	0.016487	0.042124222	11.134	11.430	11.430	11.674	0.099	0.143	0.082	0.034	11.134	11.430	11.430	11.674	Low density lipoprotein receptor-related protein associated protein 1	MmugDNA.40333.1.S1_at	Hs.533136	4043	4
MAGED1	AF217963	0.000014	0.000691017	11.409	12.588	12.354	12.335	0.071	0.133	0.134	0.024	11.409	12.588	12.354	12.335	Melanoma antigen family D, 1	MmugDNA.20327.1.S1_s_at	Hs.5258	9500	X
MAGED1	AF217963	0.000044	0.00120625	12.500	13.297	13.112	13.082	0.063	0.100	0.092	0.010	12.500	13.297	13.112	13.082	Melanoma antigen family D, 1	MmugDNA.20327.1.S1_at	Hs.5258	9500	X
MAPRE1	NM_012325	0.008795	0.02761627	10.794	11.423	11.319	11.379	0.032	0.172	0.136	0.080	10.794	11.423	11.319	11.379	Microtubule-associated protein, RP/EB family, member 1	MmugDNA.15359.1.S1_at	Hs.472437	22919	20
MAPRE1	NM_012325	0.001347	0.00832635	10.173	10.957	10.777	10.851	0.075	0.162	0.117	0.061	10.173	10.957	10.777	10.851	Microtubule-associated protein, RP/EB family, member 1	MmugDNA.15359.1.S1_s_at	Hs.472437	22919	20
MAPRE1	AI633566	0.001218	0.007889388	9.653	10.493	10.399	10.348	0.037	0.203	0.110	0.050	9.653	10.493	10.399	10.348	Microtubule-associated protein, RP/EB family, member 1	MmugDNA.7447.1.S1_at	Hs.472437	22919	20
MCTS1	NM_014060	0.000042	0.001185328	9.460	10.284	9.919	9.903	0.087	0.070	0.055	0.075	9.460	10.284	9.919	9.903	Malignant T cell amplified sequence 1	MmugDNA.11610.1.S1_at	Hs.102696	28985	X
MDK	M69148	0.004633	0.017894817	9.312	10.465	10.034	9.788	0.151	0.302	0.091	0.058	9.312	10.465	10.034	9.788	Midkine (neurite growth-promoting factor 2)	MmugDNA.30644.1.S1_at	Hs.82045	4192	11
MDM2	AJ276888	0.012681	0.035157127	6.201	6.538	6.804	6.397	0.110	0.107	0.090	0.121	6.201	6.538	6.804	6.397	Mdm2 p53 binding protein homolog (mouse)	MmugDNA.15767.1.S1_at	Hs.567303	4193	12
MDM2	AI274906	0.020745	0.049371831	6.574	7.229	7.463	7.369	0.290	0.102	0.085	0.184	6.574	7.229	7.463	7.369	Mdm2 p53 binding protein homolog (mouse)	MmugDNA.32207.1.S1_at	Hs.567303	4193	12
MET	BE870509	0.003004	0.013714769	8.031	8.840	8.925	9.128	0.103	0.180	0.234	0.122	8.031	8.840	8.925	9.128	Met proto-oncogene (hepatocyte growth factor receptor)	MmugDNA.34586.1.S1_s_at	Hs.132966	4233	7
MFN2	NM_014874	0.00106	0.007232976	11.271	10.910	11.118	11.339	0.083	0.034	0.070	0.024	11.271	10.910	11.118	11.339	Mitofusin 2	MmugDNA.7748.1.S1_s_at	Hs.709237	9927	1
MIF	NM_002415	0.00008	0.001656238	12.316	13.096	12.921	12.997	0.094	0.101	0.070	0.048	12.316	13.096	12.921	12.997	Macrophage migration inhibitory factor (glycosylation-inhibiting factor)	MmugDNA.41175.1.S1_at	Hs.407995	4282	22
MKI67	AU132185	0.000368	0.003872081	6.204	7.596	6.172	6.396	0.048	0.320	0.171	0.036	6.204	7.596	6.172	6.396	Antigen identified by monoclonal antibody Ki-67	MmugDNA.32729.1.S1_at	Hs.80976	4288	10
MKI67	BF001806	0.009725	0.029482632	5.643	6.189	5.669	5.768	0.060	0.149	0.113	0.067	5.643	6.189	5.669	5.768	Antigen identified by monoclonal antibody Ki-67	MmugDNA.32726.1.S1_at	Hs.80976	4288	10
MORF4L1	NM_006791	0.003441	0.014877151	12.639	13.027	12.959	13.027	0.108	0.028	0.062	0.030	12.639	13.027	12.959	13.027	Mortality factor 4 like 1	MmugDNA.14054.1.S1_at	Hs.374503	10933	15
MORF4L1	BF340288	0.000319	0.003539469	11.511	12.216	12.091	12.169	0.134	0.053	0.077	0.064	11.511	12.216	12.091	12.169	Mortality factor 4 like 1	MmugDNA.37595.1.S1_at	Hs.374503	10933	15
MORF4L1	BF340288	0.000546	0.004862	11.139	11.934	11.848	11.897	0.176	0.065	0.087	0.058	11.139	11.934	11.848	11.897	Mortality factor 4 like 1	MmugDNA.37595.1.S1_s_at	Hs.374503	10933	15
MS4A2	D10583	0.01481	0.03914451	5.755	5.174	5.227	5.102	0.084	0.150	0.132	0.143	5.755	5.174	5.227	5.102	Membrane-spanning 4-domains, subfamily A, member 2 (Fc fragment of IgE, high affinity I, receptor for; beta polypeptide)	MmugDNA.39038.1.S1_at	Hs.386748	2206	11
MSX1	NM_002448	0.003906	0.016120923	9.767	11.119	10.810	10.911	0.155	0.305	0.261	0.062	9.767	11.119	10.810	10.911	Msh homeobox 1	MmugDNA.41821.1.S1_at	Hs.424414	4487	4
MSX2	D89377	0.000029	0.000980925	7.661	10.598	10.401	10.606	0.325	0.430	0.234	0.127	7.661	10.598	10.401	10.606	Msh homeobox 2	MmugDNA.5017.1.S1_at	Hs.89404	4488	5
MSX2	D89377	0.000009	0.000573432	6.961	9.967	9.608	9.823	0.276	0.320	0.282	0.144	6.961	9.967	9.608	9.823	Msh homeobox 2	MmugDNA.5017.1.S1_s_at	Hs.89404	4488	5
MSX2	D31771	0.000115	0.001985822	7.062	9.632	9.405	9.560	0.354	0.369	0.275	0.126	7.062	9.632	9.405	9.560	Msh homeobox 2	MmugDNA.11919.1.S1_at	Hs.89404	4488	5
MTCP1	AA744518	0.009205	0.028480523	7.770	7.179	7.208	7.317	0.156	0.118	0.096	0.043	7.770	7.179	7.208	7.317	Mature T-cell proliferation 1	MmugDNA.7449.1.S1_at	Hs.6917	4515	X
MXD1	AI188653	0.008699	0.027423421	9.659	9.157	9.287	9.299	0.059	0.156	0.034	0.035	9.659	9.157	9.287	9.299	MAX dimerization protein 1	MmugDNA.25102.1.S1_at	Hs.468908	4084	2
MXD4	AA831438	0.001878	0.010211792	8.556	9.215	8.994	9.111	0.101	0.140	0.047	0.065	8.556	9.215	8.994	9.111	MAX dimerization protein 4	MmugDNA.43039.1.S1_at	Hs.655020	10608	4
MXI1	NM_005962	0.004735	0.018187999	12.307	11.675	11.842	11.860	0.072	0.158	0.056	0.080	12.307	11.675	11.842	11.860	MAX interactor 1	MmugDNA.37385.1.S1_at	Hs.501023	4601	10
NAP1L1	AI888672	0.001332	0.008279863	11.523	11.680	11.376	11.234	0.069	0.070	0.046	0.051	11.523	11.680	11.376	11.234	Nucleosome assembly protein 1-like 1	MmugDNA.5580.1.S1_s_at	Hs.524599	4673	12
NAP1L1	BC002387	0.00191	0.010322347	10.314	10.721	10.454	10.221	0.112	0.062	0.042	0.049	10.314	10.721	10.454	10.221	Nucleosome assembly protein 1-like 1	MmugDNA.19134.1.S1_at	Hs.524599	4673	12
NAP1L1	AL162068	0.000281	0.003280853	10.342	10.421	10.035	10.018	0.051	0.076	0.049	0.035	10.342	10.421	10.035	10.018	Nucleosome assembly protein 1-like 1	MmugDNA.21661.1.S1_at	Hs.524599	4673	12
NASP	NM_002482	0.003585	0.01526163	8.474	8.982	8.706	8.621	0.088	0.093	0.058	0.058	8.474	8.982	8.706	8.621	Nuclear autoantigenic sperm protein (histone-binding)	MmugDNA.42457.1.S1_at	Hs.319334	4678	1
NASP	NM_002482	0.00255	0.012371346	8.521	9.066	8.793	8.737	0.094	0.088	0.049	0.067	8.521	9.066	8.793	8.737	Nuclear autoantigenic sperm protein (histone-binding)	MmugDNA.42457.1.S1_x_at	Hs.319334	4678	1
NASP	AW003362	0.002959	0.013592962	9.248	9.914	9.873	9.783	0.066	0.178	0.056	0.084	9.248	9.914	9.873	9.783	Nuclear autoantigenic sperm protein (histone-binding)	MmugDNA.29320.1.S1_at	Hs.319334	4678	1
NBN	NM_002485	0.01867	0.045974914	8.248	8.330	8.683	8.778	0.098	0.113	0.160	0.083	8.248	8.330	8.683	8.778	Nibrin	MmugDNA.36444.1.S1_at	Hs.492208	4683	8
NBN	AK001017	0.013887	0.037419738	6.588	6.918	7.118	7.086	0.071	0.144	0.102	0.086	6.588	6.918	7.118	7.086	Nibrin	MmugDNA.22222.1.S1_at	Hs.492208	4683	8
NBN	AK001017	0.008671	0.027373274	7.541	7.798	8.180	8.091	0.170	0.092	0.093	0.093	7.541	7.798	8.180	8.091	Nibrin	MmugDNA.22222.1.S1_s_at	Hs.492208	4683	8
NBN	AI796269	0.001385	0.008483724	8.259	8.738	9.075	8.864	0.130	0.085	0.135	0.075	8.259	8.738	9.075	8.864	Nibrin	MmugDNA.41043.1.S1_at	Hs.492208	4683	8
NF1	AW293356	0.004979	0.018798749	9.270	9.590	9.589	9.581	0.053	0.052	0.066	0.063	9.270	9.590	9.589	9.581	Neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	MmugDNA.30674.1.S1_at	Hs.113577	4763	17
NF2	NM_000268	0.001258	0.008017237	6.107	6.695	6.512	6.560	0.039	0.082	0.093	0.091	6.107	6.695	6.512	6.560	Neurofibromin 2 (merlin)	MmugDNA.21286.1.S1_at	Hs.187898	4771	22
NFKBIA	AI078167	0.014557	0.038726065	11.542	11.304	11.268	11.173	0.056	0.079	0.076	0.058	11.542	11.304	11.268	11.173	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	MmugDNA.23424.1.S1_at	Hs.81328	4792	14
NME1	NM_000269	0.00001	0.000597429	9.154	10.641	10.032	10.099	0.094	0.196	0.034	0.069	9.154	10.641	10.032	10.099	Non-metastatic cells 1, protein (NM23A) expressed in	MmugDNA.21289.1.S1_at	Hs.463456	4830	17
NME1	NM_002512	0.001408	0.008551732	12.892	13.209	12.964	12.858	0.055	0.025	0.065	0.048	12.892	13.209	12.964	12.858	Non-metastatic cells 1, protein (NM23A) expressed in	MmugDNA.43120.1.S1_at	Hs.463456	4830	17
NOTCH2	AA291203	0.001235	0.00793692	11.701	11.826	11.890	12.101	0.037	0.048	0.069	0.050	11.701	11.826	11.890	12.101	Notch homolog 2 (Drosophila)	MmugDNA.15808.1.S1_s_at	Hs.487360	4853	1
NOTCH2	AU158495	0.002251	0.011399219	11.751	11.862	12.000	12.277	0.030	0.060	0.105	0.087	11.751	11.862	12.000	12.277	Notch homolog 2 (Drosophila)	MmugDNA.2284.1.S1_at	Hs.487360	4853	1
NOTCH2	AF308601	0.000485	0.004529227	10.531	10.889	11.078	11.293	0.133	0.082	0.065	0.065	10.531	10.889	11.078	11.293	Notch homolog 2 (Drosophila)	MmugDNA.15458.1.S1_at	Hs.487360	4853	1
NPM1	AA191576	0.002709	0.012831489	10.870	10.811	10.445	10.345	0.091	0.032	0.130	0.078	10.870	10.811	10.445	10.345	Nucleophosmin (nucleolar phosphoprotein B23, numatrin)	MmugDNA.4269.1.S1_at	Hs.557550	4869	5
NPY	NM_000905	0.000017	0.0007667	6.414	7.024	10.459	11.017	0.328	0.581	0.498	0.413	6.414	7.024	10.459	11.017	Neuropeptide Y	MmugDNA.43201.1.S1_at	Hs.1832	4852	7
NR6A1	NM_001489	0.001574	0.009158506	5.483	5.568	5.333	5.143	0.081	0.020	0.065	0.056	5.483	5.568	5.333	5.143	Nuclear receptor subfamily 6, group A, member 1	MmugDNA.41358.1.S1_at	Hs.586460	2649	9
NRD1	U64898	0.008155	0.026237677	9.836	10.080	9.980	10.145	0.037	0.059	0.019	0.079	9.836	10.080	9.980	10.145	Nardilysin (N-arginine dibasic convertase)	MmugDNA.21534.1.S1_at	Hs.584782	4898	1
NRP1	AF145712	0.020838	0.049539518	7.786	8.348	8.323	8.099	0.080	0.162	0.104	0.116	7.786	8.348	8.323	8.099	Neuropilin 1	MmugDNA.2717.1.S1_at	Hs.131704	8829	10
NTN1	BF591483	0.013181	0.036156969	9.748	9.805	10.207	10.260	0.100	0.172	0.077	0.078	9.748	9.805	10.207	10.260	Netrin 1	MmugDNA.23213.1.S1_at	Hs.660885	9423	17
OSMR	BC010943	0.007852	0.025599412	7.034	6.420	6.049	6.395	0.226	0.170	0.115	0.108	7.034	6.420	6.049	6.395	Oncostatin M receptor	MmugDNA.30883.1.S1_at	Hs.120658	9180	5
PCAF	AV727449	0.00006	0.001431598	10.230	9.533	9.714	9.688	0.090	0.062	0.059	0.056	10.230	9.533	9.714	9.688	P300/CBP-associated factor	MmugDNA.8649.1.S1_at	Hs.533055	8850	3
PCNA	NM_002592	0.000742	0.005838776	10.272	10.804	10.282	10.287	0.028	0.130	0.038	0.067	10.272	10.804	10.282	10.287	Proliferating cell nuclear antigen	MmugDNA.865.1.S1_at	Hs.147433	5111	20
PDAP1	NM_014891	0.001934	0.010396903	9.526	9.804	9.722	9.667	0.033	0.056	0.021	0.036	9.526	9.804	9.722	9.667	PDGFA associated protein 1	MmugDNA.18404.1.S1_at	Hs.632296	11333	7
PDGFA	X03795	0.019048	0.04663364	7.092	6.959	7.021	8.050	0.114	0.266	0.283	0.232	7.092	6.959	7.021	8.050	Platelet-derived growth factor alpha polypeptide	MmugDNA.1867.1.S1_at	Hs.712550	5154	7
PDGFB	NM_002608	0.000972	0.006864284	8.571	7.993	8.020	8.098	0.047	0.065	0.061	0.130	8.571	7.993	8.020	8.098	Platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	MmugDNA.956.1.S1_s_at	Hs.1976	5155	22
PDGFRA	H79306	0.007192	0.024124718	7.516	7.333	7.223	7.252	0.071	0.050	0.029	0.047	7.516	7.333	7.223	7.252	Platelet-derived growth factor receptor, alpha polypeptide	MmugDNA.1720.1.S1_at	Hs.74615	5156	4
PDGFRA	BC015186	0.003503	0.015049029	7.401	6.579	6.767	6.720	0.205	0.084	0.054	0.122	7.401	6.579	6.767	6.720	Platelet-derived growth factor receptor, alpha polypeptide	MmugDNA.12049.1.S1_at	Hs.74615	5156	4
PDGFRB	NM_002609	0.013437	0.036584332	12.346	12.018	12.021	12.028	0.058	0.059	0.108	0.026	12.346	12.018	12.021	12.028	Platelet-derived growth factor receptor, beta polypeptide	MmugDNA.962.1.S1_at	Hs.509067	5159	5
PDPN	NM_006474	0.002581	0.012458674	6.377	7.018	6.941	6.636	0.122	0.095	0.071	0.108	6.377	7.018	6.941	6.636	Podoplanin	MmugDNA.39552.1.S1_at	Hs.468675	10630	1
PDPN	AW590196	0.004252	0.01697921	7.195	7.834	7.846	7.697	0.102	0.060	0.084	0.169	7.195	7.834	7.846	7.697	Podoplanin	MmugDNA.27976.1.S1_at	Hs.468675	10630	1
PEMT	NM_007169	0.000004	0.000405304	9.067	10.493	10.112	10.126	0.026	0.167	0.123	0.033	9.067	10.493	10.112	10.126	Phosphatidylethanolamine N-methyltransferase	MmugDNA.2847.1.S1_at	Hs.287717	10400	17
PGF	BC001422	0.00211	0.010942979	7.348	7.907	7.910	8.078	0.055	0.112	0.148	0.087	7.348	7.907	7.910	8.078	Placental growth factor	MmugDNA.209.1.S1_at	Hs.252820	5228	14
PGR	AL137566	0.000005	0.000449238	13.063	13.721	13.490	13.568	0.049	0.033	0.070	0.037	13.063	13.721	13.490	13.568	Progesterone receptor	MmugDNA.30133.1.S1_at	Hs.32405	5241	11
PHB	NM_002634	0.009821	0.029667212	9.247	9.559	9.555	9.391	0.048	0.076	0.067	0.049	9.247	9.559	9.555	9.391	Prohibitin	MmugDNA.29562.1.S1_at	Hs.514303	5245	17
PPAP2A	AB000888	0.003219	0.014276942	10.419	10.833	10.758	10.742	0.064	0.088	0.037	0.058	10.419	10.833	10.758	10.742	Phosphatidic acid phosphatase type 2A	MmugDNA.5074.1.S1_at	Hs.696231	8611	5
PPM1D	NM_003620	0.00262	0.012591438	10.022	9.703	9.730	9.602	0.064	0.080	0.012	0.068	10.022	9.703	9.730	9.602	Protein phosphatase 1D magnesium-dependent, delta isoform	MmugDNA.3133.1.S1_at	Hs.591184	8493	17
PRDX1	L19184	0.003696	0.015567057	6.656	7.068	6.890	6.919	0.042	0.076	0.084	0.017	6.656	7.068	6.890	6.919	Peroxiredoxin 1	MmugDNA.14583.1.S1_at	Hs.180909	5052	1
PRKCD	NM_006254	0.008236	0.026439112	7.646	7.599	7.441	7.924	0.125	0.068	0.021	0.071	7.646	7.599	7.441	7.924	Protein kinase C, delta	MmugDNA.21656.1.S1_at	Hs.155342	5580	3
PRKCQ	L01087	0.008104	0.02616509	6.229	7.284	6.756	6.630	0.041	0.325	0.079	0.080	6.229	7.284	6.756	6.630	Protein kinase C, theta	MmugDNA.12734.1.S1_at	Hs.498570	5588	10
PRMT5	AK027737	0.017331	0.043599511	10.138	10.551	10.346	10.266	0.086	0.084	0.088	0.041	10.138	10.551	10.346	10.266	Protein arginine methyltransferase 5	MmugDNA.29022.1.S1_at	Hs.367854	10419	14
PRMT5	NM_006109	0.003153	0.014129314	9.772	10.403	10.162	10.052	0.121	0.067	0.097	0.071	9.772	10.403	10.162	10.052	Protein arginine methyltransferase 5	MmugDNA.38050.1.S1_s_at	Hs.367854	10419	14
PROX1	AW451938	0.009016	0.028069439	6.345	6.004	6.163	6.066	0.099	0.019	0.060	0.028	6.345	6.004	6.163	6.066	Prospero homeobox 1	MmugDNA.23479.1.S1_at	Hs.585369	5629	1
PTCH1	BG054916	0.002277	0.011485368	10.381	11.785	11.654	11.736	0.267	0.232	0.269	0.088	10.381	11.785	11.654	11.736	Patched homolog 1 (Drosophila)	MmugDNA.40962.1.S1_at	Hs.494538	5727	9
PTEN	BC005821	0.000033	0.001041198	9.697	10.291	9.815	9.609	0.057	0.056	0.090	0.044	9.697	10.291	9.815	9.609	Phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	MmugDNA.30801.1.S1_at	Hs.500466	5728	10
PTEN	U96180	0.000548	0.004866621	9.443	10.113	9.774	9.570	0.097	0.042	0.111	0.064	9.443	10.113	9.774	9.570	Phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	MmugDNA.172.1.S1_s_at	Hs.500466	5728	10
PTH2R	NM_005048	0.019957	0.048096286	5.129	4.460	4.209	4.315	0.360	0.067	0.081	0.035	5.129	4.460	4.209	4.315	Parathyroid hormone 2 receptor	MmugDNA.18662.1.S1_at	Hs.570296	5746	2
