p-rank 	p-value 	mean: ADL 	mean: NML 	ADL/ NML 	Affy Probe set 	description 	Genbank ID 	 
 206  	 0.003137  	 370.2  	 809.7  	 0.46  	 HG2797-HT2906_s_at  	" Clathrin, Light Polypeptide B, Alt. Splice 2 - Also Represents: X81637, HG2797-HT2905  "	 HG2797-HT2906  	
 207  	 0.0031384  	 87.0  	 194.7  	 0.45  	 U41745_at  	 PDGFA associated protein 1  	 U41745  	
 208  	 0.0031483  	 4129.6  	 12335.1  	 0.34  	 U75272_s_at  	 progastricsin (pepsinogen C)  	 U75272  	
 209  	 0.0032288  	 266.9  	 482.4  	 0.55  	 U72514_at  	 C2f protein  	 U72514  	
 210  	 0.0032473  	 596.6  	 1068.7  	 0.56  	 Z35093_at  	 surfeit 1  	 Z35093  	
 211  	 0.0032519  	 155.3  	 268.6  	 0.58  	 Z97074_at  	 Rab9 effector p40  	 Z97074  	
 212  	 0.0032657  	 280.5  	 450.8  	 0.62  	 D31886_at  	 RAB3 GTPase-ACTIVATING PROTEIN  	 D31886  	
 213  	 0.0032722  	 1836.1  	 2813.4  	 0.65  	 J04611_at  	 thyroid autoantigen 70kDa (Ku antigen)  	 J04611  	
 214  	 0.0033372  	 216.7  	 332.5  	 0.65  	 HG908-HT908_at  	 Mg61 Protein (Gb:L08239)  	 HG908-HT908  	
 215  	 0.0033395  	 312.1  	 477.2  	 0.65  	 M86707_at  	 N-myristoyltransferase 1  	 M86707  	
 216  	 0.0034369  	 416.6  	 544.4  	 0.77  	 U60325_at  	" polymerase (DNA directed), gamma  "	 U60325  	
 217  	 0.0034519  	 1545.8  	 4314.2  	 0.36  	 HG1153-HT1153_at  	 Nucleoside Diphosphate Kinase Nm23-H2s  	 HG1153-HT1153  	
 218  	 0.0035109  	 562.2  	 1064.5  	 0.53  	 X70476_at  	" coatomer protein complex, subunit beta 2 (beta prime)  "	 X70476  	
 219  	 0.0035112  	 936.0  	 2254.4  	 0.42  	 L48513_at  	 paraoxonase 2  	 L48513  	
 220  	 0.0035123  	 1362.1  	 499.0  	 2.73  	 U10550_at  	 GTP binding protein overexpressed in skeletal muscle  	 U10550  	
 221  	 0.0035495  	 273.9  	 374.1  	 0.73  	 U76366_s_at  	 Treacher Collins-Franceschetti syndrome 1  	 U76366  	
 222  	 0.0036295  	 175.6  	 106.4  	 1.65  	 D26069_at  	" centaurin, beta 2  "	 D26069  	
 223  	 0.0036413  	 375.8  	 866.8  	 0.43  	 U24169_at  	 JTV1 gene  	 U24169  	
 224  	 0.0037117  	 272.4  	 181.8  	 1.50  	 U25750_at  	 Human chromosome 17q21 mRNA clone 1046:1-1  	 U25750  	
 225  	 0.0037117  	 408.8  	 134.2  	 3.05  	 L15326_s_at  	 prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)  	 L15326  	
 226  	 0.0037568  	 360.3  	 777.2  	 0.46  	 M14218_at  	 argininosuccinate lyase  	 M14218  	
 227  	 0.0037892  	 1761.2  	 2656.3  	 0.66  	 M75126_at  	 hexokinase 1  	 M75126  	
 228  	 0.0037945  	 510.6  	 1307.6  	 0.39  	 X96719_at  	" C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced)  "	 X96719  	
 229  	 0.0038024  	 873.1  	 1755.1  	 0.50  	 D90086_at  	 none  	 D90086  	
 230  	 0.0038114  	 992.1  	 1403.0  	 0.71  	 D13641_at  	 translocase of outer mitochondrial membrane 20 (yeast) homolog  	 D13641  	
 231  	 0.0038116  	 949.7  	 1915.2  	 0.50  	 L19437_at  	 transaldolase 1  	 L19437  	
 232  	 0.0038249  	 1371.1  	 1927.7  	 0.71  	 Z26491_s_at  	 none  	 Z26491  	
 233  	 0.0038408  	 98.8  	 153.2  	 0.65  	 X93511_s_at  	 telomeric repeat binding factor (NIMA-interacting) 1  	 X93511  	
 234  	 0.0038687  	 346.0  	 604.2  	 0.57  	 U15009_at  	 small nuclear ribonucleoprotein D3 polypeptide 18kDa  	 U15009  	
 235  	 0.0038906  	 71.5  	 164.7  	 0.43  	 J03258_at  	" vitamin D (1,25- dihydroxyvitamin D3) receptor  "	 J03258  	
 236  	 0.0039528  	 140.2  	 70.9  	 1.98  	 U17195_at  	 A kinase (PRKA) anchor protein 6  	 U17195  	
 237  	 0.0039607  	 99.6  	 242.0  	 0.41  	 D82060_at  	 HLA class II region expressed gene KE4  	 D82060  	
 238  	 0.0041085  	 326.5  	 725.7  	 0.45  	 X79865_at  	 mitochondrial ribosomal protein L12  	 X79865  	
 239  	 0.0041088  	 56.1  	 105.2  	 0.53  	 X95384_at  	 translational inhibitor protein p14.5  	 X95384  	
 240  	 0.004131  	 456.3  	 355.6  	 1.28  	 M22490_at  	 bone morphogenetic protein 4  	 M22490  	
 241  	 0.0041383  	 96.4  	 20.1  	 4.79  	 U10886_at  	" protein tyrosine phosphatase, receptor type, J  "	 U10886  	
 242  	 0.0041452  	 1865.7  	 2801.2  	 0.67  	 L33075_at  	 IQ motif containing GTPase activating protein 1  	 L33075  	
