in_house ID	RefSeq ID	annotation
GS15289	NM_024320	Homo sapiens hypothetical protein MGC11242 (MGC11242), mRNA.
GS1714	NM_021960	Homo sapiens myeloid cell leukemia sequence 1 (BCL2-related) (MCL1),mRNA.
GS3048	NM_002295	Homo sapiens laminin receptor 1 (ribosomal protein SA, 67kDa)(LAMR1), mRNA.
GS4403	NM_006870	Homo sapiens destrin (actin depolymerizing factor) (DSTN), mRNA.
GS2790	NM_032376	Homo sapiens hypothetical protein MGC4251 (MGC4251), mRNA.
GS7365	NM_031844	Homo sapiens heterogeneous nuclear ribonucleoprotein U (scaffoldattachment factor A) (HNRPU), transcript variant 1, mRNA.
GS3434	NM_002654	Homo sapiens pyruvate kinase, muscle (PKM2), mRNA.
GS1314	NM_003896	Homo sapiens sialyltransferase 9 (CMP-NeuAc:lactosylceramidealpha-2,3-sialyltransferase; GM3 synthase) (SIAT9), mRNA.
GS3063	NM_014014	Homo sapiens U5 snRNP-specific protein, 200-KD (U5-200KD), mRNA.
GS2084	NM_006196	Homo sapiens poly(rC) binding protein 1 (PCBP1), mRNA.
GS3627	NA	NA
GS876	NM_006280	Homo sapiens signal sequence receptor, delta (translocon-associatedprotein delta) (SSR4), mRNA.
GS941	NM_003792	Homo sapiens endothelial differentiation-related factor 1 (EDF1),transcript variant alpha, mRNA.
GS7956	NM_005530	Homo sapiens isocitrate dehydrogenase 3 (NAD+) alpha (IDH3A), mRNA.
GS1990	NG_000013	Homo sapiens genomic MHC class III complement gene cluster (MCGC@) onchromosome 6.
GS10076	NM_016061	Homo sapiens yippee protein (CGI-127), mRNA.
GS2544	NM_006169	Homo sapiens nicotinamide N-methyltransferase (NNMT), mRNA.
GS3893	NM_003170	Homo sapiens suppressor of Ty 6 homolog (S. cerevisiae) (SUPT6H),mRNA.
GS7832	NM_001344	Homo sapiens defender against cell death 1 (DAD1), mRNA.
GS226	NM_003295	Homo sapiens tumor protein, translationally-controlled 1 (TPT1),mRNA.
GS3648	NM_012228	Homo sapiens pilin-like transcription factor (PILB), mRNA.
GS3660	NM_138501	Homo sapiens glycoprotein, synaptic 2 (GPSN2), mRNA.
GS3692	NM_014017	Homo sapiens HSPC003 protein (HSPC003), mRNA.
GS2700	NM_138992	Homo sapiens beta-site APP-cleaving enzyme 2 (BACE2), transcriptvariant b, mRNA.
GS1954	NM_005410	Homo sapiens selenoprotein P, plasma, 1 (SEPP1), mRNA.
GS10001	NM_002488	Homo sapiens NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2,8kDa (NDUFA2), mRNA.
GS12195	NM_021784	Homo sapiens forkhead box A2 (FOXA2), transcript variant 1, mRNA.
GS4309	NM_005777	Homo sapiens RNA binding motif protein 6 (RBM6), mRNA.
GS3755	NM_002797	Homo sapiens proteasome (prosome, macropain) subunit, beta type, 5(PSMB5), mRNA.
GS5411	NA	NA
GS937	NM_002967	Homo sapiens scaffold attachment factor B (SAFB), mRNA.
LT45	AF015287	serine protease mRNA
GS3636	NM_021227	Homo sapiens DC2 protein (DC2), mRNA.
GS9821	NM_004328	Homo sapiens BCS1-like (yeast) (BCS1L), mRNA.
GS13451	NM_138704	Homo sapiens hepatocellular carcinoma-associated protein HCA4 (HCA4),mRNA.
GS15138	NM_025128	Homo sapiens MUS81 endonuclease (MUS81), mRNA.
GS380	NM_002952	Homo sapiens ribosomal protein S2 (RPS2), mRNA.
GS8344	NM_033281	Homo sapiens mitochondrial ribosomal protein S36 (MRPS36), nucleargene encoding mitochondrial protein, mRNA.
GS3072	NM_016488	Homo sapiens periphilin 1 (PPHLN1), mRNA.
GS4802	NM_007184	Homo sapiens nischarin (NISCH), mRNA.
GS4534	NA	NA
GS3675	NM_001087	Homo sapiens angio-associated, migratory cell protein (AAMP), mRNA.
GS3485	NM_002513	Homo sapiens non-metastatic cells 3, protein expressed in (NME3),mRNA.
GS2266	NM_014220	Homo sapiens transmembrane 4 superfamily member 1 (TM4SF1), mRNA.
GS3542	NM_004231	Homo sapiens ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F(ATP6V1F), mRNA.
GS3718	NM_005801	Homo sapiens putative translation initiation factor (SUI1), mRNA.
GS12072	NM_031311	Homo sapiens carboxypeptidase, vitellogenic-like (CPVL), transcriptvariant 1, mRNA.
GS3560	NM_004639	Homo sapiens HLA-B associated transcript 3 (BAT3), transcript variant1, mRNA.
GS9802	NM_003472	Homo sapiens DEK oncogene (DNA binding) (DEK), mRNA.
GS3483	NM_003461	Homo sapiens zyxin (ZYX), mRNA.
LT157	X03124	tissue inhibitor of metalloproteinases (TIMP)=TIMP1
GS415	NM_000994	Homo sapiens ribosomal protein L32 (RPL32), mRNA.
GS12556	NM_004414	Homo sapiens Down syndrome critical region gene 1 (DSCR1), mRNA.
GS3449	NA	NA
GS12052	NM_018407	Homo sapiens lysosomal associated protein transmembrane 4 beta(LAPTM4B), mRNA.
GS6584	NM_001469	Homo sapiens thyroid autoantigen 70kDa (Ku antigen) (G22P1), mRNA.
GS2002	NA	NA
GS9403	NM_012469	Homo sapiens chromosome 20 open reading frame 14 (C20orf14), mRNA.
GS2677	NM_004546	Homo sapiens NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2,8kDa (NDUFB2), mRNA.
GS4172	NM_007278	Homo sapiens GABA(A) receptor-associated protein (GABARAP), mRNA.
GS754	NM_000967	Homo sapiens ribosomal protein L3 (RPL3), mRNA.
GS15408	NM_001021	Homo sapiens ribosomal protein S17 (RPS17), mRNA.
LT33	M15036	vitamin K-dependent plasma protein S
GS7700	NM_002813	Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase,9 (PSMD9), mRNA.
GS2787	NM_000991	Homo sapiens ribosomal protein L28 (RPL28), mRNA.
GS414	NA	NA
GS4868	NA	NA
GS6642	NM_018509	Homo sapiens hypothetical protein PRO1855 (PRO1855), mRNA.
GS6936	NG_001019	Homo sapiens immunoglobulin heavy locus (IGH.1@) on chromosome 14.
GS5356	NM_018683	Homo sapiens zinc finger protein 313 (ZNF313), mRNA.
GS15500	NA	NA
GS3132	NM_001760	Homo sapiens cyclin D3 (CCND3), mRNA.
GS6513	NM_007022	Homo sapiens putative tumor suppressor 101F6 (101F6), mRNA.
GS436	NM_000980	Homo sapiens ribosomal protein L18a (RPL18A), mRNA.
GS3222	NA	NA
GS291	NM_001101	Homo sapiens actin, beta (ACTB), mRNA.
GS2788	NA	NA
GS3476	NM_014184	Homo sapiens HSPC163 protein (HSPC163), mRNA.
LT57	J02969	thyroid peroxidase mRNA
GS4003	NM_001814	Homo sapiens cathepsin C (CTSC), transcript variant 1, mRNA.
GS12228	NM_138714	Homo sapiens nuclear factor of activated T-cells 5, tonicity-responsive(NFAT5), mRNA.
GS285	NM_000969	Homo sapiens ribosomal protein L5 (RPL5), mRNA.
GS139	NM_000146	Homo sapiens ferritin, light polypeptide (FTL), mRNA.
GS5752	NM_030935	Homo sapiens TSC-22-like (THG-1), mRNA.
GS257	NM_024116	Homo sapiens hypothetical protein MGC5306 (MGC5306), mRNA.
GS5374	NM_004146	Homo sapiens NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7,18kDa (NDUFB7), mRNA.
GS10402	NM_002845	Homo sapiens protein tyrosine phosphatase, receptor type, M (PTPRM),mRNA.
GS7995	NA	NA
GS408	NM_000970	Homo sapiens ribosomal protein L6 (RPL6), mRNA.
GS6442	NM_006851	Homo sapiens GLI pathogenesis-related 1 (glioma) (GLIPR1), mRNA.
GS2775	NM_007108	Homo sapiens transcription elongation factor B (SIII), polypeptide2 (18kDa, elongin B) (TCEB2), mRNA.
GS3423	NM_000968	Homo sapiens ribosomal protein L4 (RPL4), mRNA.
GS4574	NA	NA
GS2223	NA	NA
GS2468	NM_005146	Homo sapiens squamous cell carcinoma antigen recognised by T cells(SART1), mRNA.
GS6038	NM_000118	Homo sapiens endoglin (Osler-Rendu-Weber syndrome 1) (ENG), mRNA.
GS1114	NM_007364	Homo sapiens integral type I protein (P24B), mRNA.
GS3367	NM_002634	Homo sapiens prohibitin (PHB), mRNA.
GS3505	NM_000182	Homo sapiens hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-CoenzymeA thiolase/enoyl-Coenzyme A hydratase (trifunctionalprotein), alpha subunit (HADHA), mRNA.
GS15438	NM_005724	Homo sapiens tetraspan 3 (TSPAN-3), mRNA.
GS2076	NM_000358	Homo sapiens transforming growth factor, beta-induced, 68kDa (TGFBI),mRNA.
GS4143	NM_018209	Homo sapiens ADP-ribosylation factor GTPase activating protein 1(ARFGAP1), mRNA.
GS5595	NM_005928	Homo sapiens milk fat globule-EGF factor 8 protein (MFGE8), mRNA.
GS7306	NA	NA
GS15476	NM_018950	Homo sapiens major histocompatibility complex, class I, F (HLA-F),mRNA.
GS8678	NM_016308	Homo sapiens UMP-CMP kinase (UMP-CMPK), mRNA.
GS8061	NM_021913	Homo sapiens AXL receptor tyrosine kinase (AXL), transcript variant1, mRNA.
GS1208	NM_007273	Homo sapiens repressor of estrogen receptor activity (REA), mRNA.
GS4507	NA	NA
GS3682	NM_021199	Homo sapiens sulfide dehydrogenase like (yeast) (SQRDL), mRNA.
GS12541	NM_017732	Homo sapiens putative proline 4-hydroxylase (PH-4), mRNA.
GS15335	NM_005137	Homo sapiens DiGeorge syndrome critical region gene 2 (DGCR2), mRNA.
GS6629	NM_000362	Homo sapiens tissue inhibitor of metalloproteinase 3 (Sorsby fundusdystrophy, pseudoinflammatory) (TIMP3), mRNA.
GS12887	NM_024682	Homo sapiens hypothetical protein FLJ12168 (FLJ12168), mRNA.
GS2309	NM_005008	Homo sapiens NHP2 non-histone chromosome protein 2-like 1 (S.cerevisiae) (NHP2L1), mRNA.
GS4196	NM_014187	Homo sapiens HSPC171 protein (HSPC171), mRNA.
GS11624	NA	NA
GS195	NM_001418	Homo sapiens eukaryotic translation initiation factor 4 gamma, 2(EIF4G2), mRNA.
GS3885	NM_006098	Homo sapiens guanine nucleotide binding protein (G protein), betapolypeptide 2-like 1 (GNB2L1), mRNA.
GS2158	NM_002415	Homo sapiens macrophage migration inhibitory factor(glycosylation-inhibiting factor) (MIF), mRNA.
GS1197	NM_003903	Homo sapiens CDC16 cell division cycle 16 homolog (S. cerevisiae)(CDC16), mRNA.
GS3244	NM_006356	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0complex, subunit d (ATP5H), mRNA.
LT5	NM_003250	thyroid hormone receptor, alpha (erythroblastic
GS6817	NM_001923	Homo sapiens damage-specific DNA binding protein 1, 127kDa (DDB1),mRNA.
LT35	X60708	dipeptidyl peptidase iv
GS1205	NA	NA
GS7746	NM_017857	Homo sapiens slingshot 3 (SSH-3), mRNA.
GS4065	NM_001441	Homo sapiens fatty acid amide hydrolase (FAAH), mRNA.
GS988	NM_021960	Homo sapiens myeloid cell leukemia sequence 1 (BCL2-related) (MCL1),mRNA.
GS2500	NM_139031	Homo sapiens CD151 antigen (CD151), transcript variant 3, mRNA.
GS15406	NM_145029	Homo sapiens hypothetical protein MGC15854 (MGC15854), mRNA.
GS6603	NM_003186	Homo sapiens transgelin (TAGLN), mRNA.
GS2383	NM_032514	Homo sapiens microtubule-associated protein 1 light chain 3 alpha(MAP1LC3A), mRNA.
GS3708	NM_004792	Homo sapiens peptidyl-prolyl isomerase G (cyclophilin G) (PPIG),mRNA.
GS15460	NM_018270	Homo sapiens chromosome 20 open reading frame 20 (C20orf20), mRNA.
GS6675	NM_001540	Homo sapiens heat shock 27kDa protein 1 (HSPB1), mRNA.
GS6621	NM_003270	Homo sapiens transmembrane 4 superfamily member 6 (TM4SF6), mRNA.
GS5129	NA	NA
GS5331	NM_021943	Homo sapiens testis expressed sequence 27 (TEX27), mRNA.
GS10171	NM_032208	Homo sapiens tumor endothelial marker 8 (TEM8), transcript variant 1,mRNA.
GS3830	NA	NA
GS6311	NM_032508	Homo sapiens family with sequence similarity 11 member A (FAM11A),mRNA.
GS8657	NM_014183	Homo sapiens dynein, cytoplasmic, light polypeptide 2A (DNCL2A),mRNA.
GS846	NM_004355	Homo sapiens CD74 antigen (invariant polypeptide of majorhistocompatibility complex, class II antigen-associated)(CD74), mRNA.
GS3064	NM_001031	Homo sapiens ribosomal protein S28 (RPS28), mRNA.
GS2708	NM_001002	Homo sapiens ribosomal protein, large, P0 (RPLP0), transcript variant1, mRNA.
GS15219	NM_000971	Homo sapiens ribosomal protein L7 (RPL7), mRNA.
GS7667	NM_001560	Homo sapiens interleukin 13 receptor, alpha 1 (IL13RA1), mRNA.
GS12537	NG_000837	Homo sapiens surfeit locus (SURF@) on chromosome 9.
GS4320	NM_019056	Homo sapiens neuronal protein 17.3 (P17.3), mRNA.
GS7776	NA	NA
GS4279	NM_000365	Homo sapiens triosephosphate isomerase 1 (TPI1), mRNA.
GS4210	NM_006432	Homo sapiens Niemann-Pick disease, type C2 (NPC2), mRNA.
GS15866	NM_148178	Homo sapiens chromosome 9 open reading frame 23 (C9orf23),transcript variant 1, mRNA.
GS6346	NM_138300	Homo sapiens pygopus 2 (PYGO2), mRNA.
GS6844	NM_000175	Homo sapiens glucose phosphate isomerase (GPI), mRNA.
GS1850	NM_016286	Homo sapiens dicarbonyl/L-xylulose reductase (DCXR), mRNA.
GS9186	NM_006812	Homo sapiens amplified in osteosarcoma (OS-9), mRNA.
GS541	NM_000985	Homo sapiens ribosomal protein L17 (RPL17), mRNA.
GS419	NM_005514	Homo sapiens major histocompatibility complex, class I, B (HLA-B),mRNA.
GS4098	NM_003681	Homo sapiens pyridoxal (pyridoxine, vitamin B6) kinase (PDXK), mRNA.
GS9994	NM_005435	Homo sapiens Rho guanine nucleotide exchange factor (GEF) 5(ARHGEF5), mRNA.
GS13106	NA	NA
GS1080	NM_005022	Homo sapiens profilin 1 (PFN1), mRNA.
GS2764	NA	NA
GS2032	NM_001660	Homo sapiens ADP-ribosylation factor 4 (ARF4), mRNA.
GS249	NM_001020	Homo sapiens ribosomal protein S16 (RPS16), mRNA.
GS3038	NA	NA
GS2257	NM_021103	Homo sapiens thymosin, beta 10 (TMSB10), mRNA.
LT150	NM_002755	MAP2K1(mitogen-activated protein kinase kinase 1)=?MEK1
GS4794	NM_015607	Homo sapiens DKFZP547E1010 protein (DKFZP547E1010), mRNA.
GS2946	NG_001276	Homo sapiens nuclease sensitive element binding protein 1 pseudogene(NSEP1P).
GS2891	NM_004793	Homo sapiens protease, serine, 15 (PRSS15), nuclear gene encodingmitochondrial protein, mRNA.
GS7080	NM_005034	Homo sapiens polymerase (RNA) II (DNA directed) polypeptide K,7.0kDa (POLR2K), mRNA.
GS7003	NM_001518	Homo sapiens general transcription factor II, i (GTF2I), transcriptvariant 4, mRNA.
GS12321	NM_016454	Homo sapiens hypothetical protein LOC51234 (LOC51234), mRNA.
GS4224	NM_032412	Homo sapiens putative nuclear protein ORF1-FL49 (ORF1-FL49), mRNA.
GS4245	NM_012235	Homo sapiens SREBP CLEAVAGE-ACTIVATING PROTEIN (SCAP), mRNA.
GS4131	NM_000581	Homo sapiens glutathione peroxidase 1 (GPX1), mRNA.
GS2581	NM_024293	Homo sapiens hypothetical protein MGC3035 (MGC3035), mRNA.
GS1934	NA	NA
GS15663	NA	NA
GS15137	NA	NA
GS1890	NM_002305	Homo sapiens lectin, galactoside-binding, soluble, 1 (galectin 1)(LGALS1), mRNA.
GS4459	NM_004859	Homo sapiens clathrin, heavy polypeptide (Hc) (CLTC), mRNA.
GS15236	NM_001970	Homo sapiens eukaryotic translation initiation factor 5A (EIF5A),mRNA.
GS1992	NM_005917	Homo sapiens malate dehydrogenase 1, NAD (soluble) (MDH1), mRNA.
GS15539	NM_018622	Homo sapiens presenilins associated rhomboid-like protein (PARL),mRNA.
GS14858	NM_005119	Homo sapiens thyroid hormone receptor-associated protein, 150 kDasubunit (TRAP150), mRNA.
GS2679	NA	NA
GS2941	NM_002668	Homo sapiens proteolipid protein 2 (colonic epithelium-enriched)(PLP2), mRNA.
GS780	NM_015853	Homo sapiens ORF (LOC51035), mRNA.
GS4531	NM_015622	Homo sapiens CGI-43 protein (LOC51622), mRNA.
GS645	NM_001384	Homo sapiens diptheria toxin resistance protein required fordiphthamide biosynthesis-like 2 (S. cerevisiae) (DPH2L2),mRNA.
GS15676	NM_017920	Homo sapiens up-regulated gene 4 (URG4), mRNA.
GS628	NM_001981	Homo sapiens epidermal growth factor receptor pathway substrate 15(EPS15), mRNA.
GS7058	NM_006022	Homo sapiens transforming growth factor beta-stimulated proteinTSC-22 (TSC22), mRNA.
GS4772	NA	NA
GS15903	NM_004819	Homo sapiens symplekin; Huntingtin interacting protein I (SPK), mRNA.
GS13520	NM_003257	Homo sapiens tight junction protein 1 (zona occludens 1) (TJP1),mRNA.
GS15650	NM_139242	Homo sapiens methionyl-tRNA formyltransferase, mitochondrial (MtFMT),mRNA.
LT82	NM_000222	KIT(v-kit Hardy-Zuckerman 4 feline sarcoma vira)
GS15055	NM_024649	Homo sapiens hypothetical protein FLJ23590 (FLJ23590), mRNA.
GS133	NM_001402	Homo sapiens eukaryotic translation elongation factor 1 alpha 1(EEF1A1), mRNA.
GS1047	NM_000989	Homo sapiens ribosomal protein L30 (RPL30), mRNA.
GS3909	NA	NA
GS3725	NM_007104	Homo sapiens ribosomal protein L10a (RPL10A), mRNA.
GS15865	NM_023078	Homo sapiens hypothetical protein FLJ13852 (FLJ13852), mRNA.
GS14813	NM_015392	Homo sapiens neural proliferation, differentiation and control, 1(NPDC1), mRNA.
GS3751	NM_003091	Homo sapiens small nuclear ribonucleoprotein polypeptides B and B1(SNRPB), mRNA.
GS513	NM_001000	Homo sapiens ribosomal protein L39 (RPL39), mRNA.
GS5816	NM_032864	Homo sapiens hypothetical protein FLJ14936 (FLJ14936), mRNA.
GS9767	NM_014016	Homo sapiens SAC1 suppressor of actin mutations 1-like (yeast)(SACM1L), mRNA.
GS3263	NM_006017	Homo sapiens prominin-like 1 (mouse) (PROML1), mRNA.
GS10491	NM_080388	Homo sapiens hypothetical protein MGC17528 (MGC17528), mRNA.
GS661	NA	NA
GS1153	NM_006263	Homo sapiens proteasome (prosome, macropain) activator subunit 1(PA28 alpha) (PSME1), mRNA.
GS4849	NA	NA
GS3813	NM_003130	Homo sapiens sorcin (SRI), mRNA.
GS10302	NM_003145	Homo sapiens signal sequence receptor, beta (translocon-associatedprotein beta) (SSR2), mRNA.
GS519	NM_001404	Homo sapiens eukaryotic translation elongation factor 1 gamma(EEF1G), mRNA.
GS2249	NM_000019	Homo sapiens acetyl-Coenzyme A acetyltransferase 1 (acetoacetylCoenzyme A thiolase) (ACAT1), nuclear gene encodingmitochondrial protein, mRNA.
GS15094	NM_014376	Homo sapiens cytoplasmic FMR1 interacting protein 2 (CYFIP2), mRNA.
GS11432	NA	NA
GS2883	NM_014302	Homo sapiens Sec61 gamma (SEC61G), mRNA.
GS6932	NM_005662	Homo sapiens voltage-dependent anion channel 3 (VDAC3), mRNA.
GS6572	NM_005072	Homo sapiens solute carrier family 12 (potassium/chloridetransporters), member 4 (SLC12A4), mRNA.
GS4001	NA	NA
GS4520	NM_152294	Homo sapiens likely ortholog of mouse G protein couple-dreceptoralpha 11 (GNA-11), mRNA.
GS4763	NM_020038	Homo sapiens ATP-binding cassette, sub-family C (CFTR/MRP), member 3(ABCC3), transcript variant MRP3B, mRNA.
GS2949	NM_016030	Homo sapiens CGI-87 protein (CGI-87), mRNA.
GS12553	NM_006830	Homo sapiens ubiquinol-cytochrome c reductase (6.4kD) subunit(UQCR), mRNA.
GS15111	NM_024662	Homo sapiens hypothetical protein FLJ10774 (FLJ10774), mRNA.
GS3883	NM_004074	Homo sapiens cytochrome c oxidase subunit VIII (COX8), nuclear geneencoding mitochondrial protein, mRNA.
GS2046	NG_000013	Homo sapiens genomic MHC class III complement gene cluster (MCGC@) onchromosome 6.
GS2726	NM_014236	Homo sapiens glyceronephosphate O-acyltransferase (GNPAT), mRNA.
GS3140	NG_000008	Homo sapiens cytochrome P450, subfamily IIA (phenobarbital-inducible)(CYP2A) on chromosome 19.
GS15106	NM_006170	Homo sapiens nucleolar protein 1, 120kDa (NOL1), mRNA.
GS3412	NM_002862	Homo sapiens phosphorylase, glycogen; brain (PYGB), nuclear geneencoding mitochondrial protein, mRNA.
GS2854	NM_016234	Homo sapiens fatty-acid-Coenzyme A ligase, long-chain 5 (FACL5),mRNA.
GS2599	NM_003390	Homo sapiens WEE1+ homolog (S. pombe) (WEE1), mRNA.
GS3447	NM_006430	Homo sapiens chaperonin containing TCP1, subunit 4 (delta) (CCT4),mRNA.
GS3138	NM_004078	Homo sapiens cysteine and glycine-rich protein 1 (CSRP1), mRNA.
GS2413	NM_000972	Homo sapiens ribosomal protein L7a (RPL7A), mRNA.
GS1950	NM_005004	Homo sapiens NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8,19kDa (NDUFB8), mRNA.
GS7692	NM_003355	Homo sapiens uncoupling protein 2 (mitochondrial, proton carrier)(UCP2), nuclear gene encoding mitochondrial protein,mRNA.
GS9766	NM_001853	Homo sapiens collagen, type IX, alpha 3 (COL9A3), mRNA.
GS1418	NM_147783	Homo sapiens cathepsin B (CTSB), transcript variant 5, mRNA.
GS2139	NM_006010	Homo sapiens arginine-rich, mutated in early stage tumors (ARMET),mRNA.
GS3303	NM_003093	Homo sapiens small nuclear ribonucleoprotein polypeptide C (SNRPC),mRNA.
GS3753	NM_005063	Homo sapiens stearoyl-CoA desaturase (delta-9-desaturase) (SCD),mRNA.
GS1736	NM_052932	Homo sapiens pro-oncosis receptor inducing membrane injury gene(PORIMIN), mRNA.
GS8000	NA	NA
GS3990	NM_016497	Homo sapiens mitochondrial ribosomal protein L51 (MRPL51), nucleargene encoding mitochondrial protein, mRNA.
GS3371	NM_003118	Homo sapiens secreted protein, acidic, cysteine-rich (osteonectin)(SPARC), mRNA.
GS3618	NM_018011	Homo sapiens hypothetical protein FLJ10154 (FLJ10154), mRNA.
GS21	NM_005911	Homo sapiens methionine adenosyltransferase II, alpha (MAT2A), mRNA.
GS9844	NM_006402	Homo sapiens hepatitis B virus x interacting protein (HBXIP), mRNA.
GS3157	NM_006082	Homo sapiens tubulin, alpha, ubiquitous (K-ALPHA-1), mRNA.
GS3210	NG_001206	Homo sapiens tubulin, beta polypeptide pseudogene 1 (TUBBP1) onchromosome 8.
GS4784	NM_139161	Homo sapiens crumbs 3 (CRB3), mRNA.
GS4711	NA	NA
GS4678	NM_018584	Homo sapiens hypothetical protein PRO1489 (PRO1489), mRNA.
GS1032	NM_016622	Homo sapiens mitochondrial ribosomal protein L35 (MRPL35), nucleargene encoding mitochondrial protein, transcript variant1, mRNA.
GS15775	NM_024099	Homo sapiens hypothetical protein MGC2477 (MGC2477), mRNA.
GS2911	NM_006817	Homo sapiens chromosome 12 open reading frame 8 (C12orf8), mRNA.
GS8197	NM_002491	Homo sapiens NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3,12kDa (NDUFB3), mRNA.
GS15160	NA	NA
GS1601	NM_015908	Homo sapiens arsenate resistance protein ARS2 (ARS2), mRNA.
GS4819	NM_052826	Homo sapiens WD repeat domain 6 (WDR6), transcript variant 2, mRNA.
GS7265	NM_012385	Homo sapiens p8 protein (candidate of metastasis 1) (P8), mRNA.
GS4091	NM_005274	Homo sapiens guanine nucleotide binding protein (G protein), gamma5 (GNG5), mRNA.
GS3450	NA	NA
GS7362	NM_002370	Homo sapiens mago-nashi homolog, proliferation-associated(Drosophila) (MAGOH), mRNA.
GS1066	NA	NA
GS3966	NM_012073	Homo sapiens chaperonin containing TCP1, subunit 5 (epsilon) (CCT5),mRNA.
GS295	NM_005888	Homo sapiens solute carrier family 25 (mitochondrial carrier;phosphate carrier), member 3 (SLC25A3), nuclear geneencoding mitochondrial protein, transcript variant 1a,mRNA.
GS2026	NM_002882	Homo sapiens RAN binding protein 1 (RANBP1), mRNA.
GS234	NM_001017	Homo sapiens ribosomal protein S13 (RPS13), mRNA.
GS1857	NM_002038	Homo sapiens interferon, alpha-inducible protein (clone IFI-6-16)(G1P3), transcript variant 1, mRNA.
GS4382	NM_015963	Homo sapiens CGI-36 protein (CGI-36), mRNA.
GS3439	NM_052842	Homo sapiens BCL2-like 12 (proline rich) (BCL2L12), transcriptvariant 2, mRNA.
GS3200	NM_002520	Homo sapiens nucleophosmin (nucleolar phosphoprotein B23, numatrin)(NPM1), mRNA.
GS12101	NM_016496	Homo sapiens hypothetical protein LOC51257 (LOC51257), mRNA.
GS4508	NM_024329	Homo sapiens hypothetical protein MGC4342 (MGC4342), mRNA.
GS3162	NM_006924	Homo sapiens splicing factor, arginine/serine-rich 1 (splicing factor2, alternate splicing factor) (SFRS1), mRNA.
GS2570	NM_003339	Homo sapiens ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog,yeast) (UBE2D2), mRNA.
GS6925	NM_013263	Homo sapiens bromodomain containing 7 (BRD7), mRNA.
GS7385	NM_005148	Homo sapiens unc-119 homolog (C. elegans) (UNC119), transcriptvariant 1, mRNA.
GS6448	NM_024321	Homo sapiens hypothetical protein MGC10433 (MGC10433), mRNA.
GS6851	NM_005088	Homo sapiens DNA segment on chromosome X and Y (unique) 155 expressedsequence (DXYS155E), mRNA.
GS7502	NA	NA
GS3547	NM_033421	Homo sapiens chromosome 20 open reading frame 161 (C20orf161),transcript variant 1, mRNA.
GS6759	NM_006388	Homo sapiens HIV-1 Tat interactive protein, 60kDa (HTATIP), mRNA.
GS15659	NM_152238	Homo sapiens sorting nexin 7 (SNX7), transcript variant 2, mRNA.
GS700	NM_005801	Homo sapiens putative translation initiation factor (SUI1), mRNA.
GS4384	NA	NA
GS309	NM_005507	Homo sapiens cofilin 1 (non-muscle) (CFL1), mRNA.
GS8040	NM_012321	Homo sapiens U6 snRNA-associated Sm-like protein (LSM4), mRNA.
GS15281	NM_016733	Homo sapiens LIM domain kinase 2 (LIMK2), transcript variant 2b,mRNA.
GS724	NM_013234	Homo sapiens muscle specific gene (M9), mRNA.
GS14966	NM_004761	Homo sapiens RAB2, member RAS oncogene family-like (RAB2L), mRNA.
GS3474	NM_001235	Homo sapiens serine (or cysteine) proteinase inhibitor, clade H (heatshock protein 47), member 2 (SERPINH2), mRNA.
GS9453	NM_024520	Homo sapiens hypothetical protein FLJ22555 (FLJ22555), mRNA.
LT97	NM_000434	NEU1(neuraminidase precursor)
GS2682	NA	NA
GS2093	NM_006243	Homo sapiens protein phosphatase 2, regulatory subunit B (B56), alphaisoform (PPP2R5A), mRNA.
GS122	NA	NA
GS2238	NM_020123	Homo sapiens SM-11044 binding protein (SMBP), mRNA.
GS6957	NM_032014	Homo sapiens mitochondrial ribosomal protein S24 (MRPS24), nucleargene encoding mitochondrial protein, mRNA.
GS3605	NM_032993	Homo sapiens nucleolar protein family A, member 1 (H/ACA smallnucleolar RNPs) (NOLA1), transcript variant 2, mRNA.
GS15617	NM_020755	Homo sapiens likely ortholog of mouse tumor differentially expressed1, like (TDE1L), mRNA.
GS4733	NM_014188	Homo sapiens HSPC182 protein (HSPC182), mRNA.
GS501	NM_031990	Homo sapiens polypyrimidine tract binding protein 1 (PTBP1),transcript variant 2, mRNA.
GS2837	NA	NA
GS15735	NM_014313	Homo sapiens small membrane protein 1 (SMP1), mRNA.
GS3002	NG_001333	Homo sapiens T cell receptor beta locus (TRB@) on chromosome 7.
GS1145	NA	NA
GS15558	NM_006347	Homo sapiens peptidyl prolyl isomerase H (cyclophilin H) (PPIH),mRNA.
GS4908	NM_138761	Homo sapiens BCL2-associated X protein (BAX), transcript variantalpha, mRNA.
GS497	NM_005104	Homo sapiens bromodomain containing 2 (BRD2), mRNA.
