Probe SetID	Gene Symbol	Gene Title
208795_s_at	MCM7	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
208804_s_at	SFRS6	minichromosome maintenance complex component 7
208823_s_at	PCTK1	splicing factor, arginine/serine-rich 6
208836_at	ATP1B3	PCTAIRE protein kinase 1
208870_x_at	ATP5C1	ATPase, Na+/K+ transporting, beta 3 polypeptide
208873_s_at	REEP5	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
208905_at	CYCS	receptor accessory protein 5
208945_s_at	BECN1	cytochrome c, somatic
208969_at	NDUFA9	beclin 1, autophagy related
209002_s_at	CALCOCO1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa
209004_s_at	FBXL5	calcium binding and coiled-coil domain 1
209026_x_at	TUBB	F-box and leucine-rich repeat protein 5
209045_at	XPNPEP1	tubulin, beta
209123_at	QDPR	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble
209150_s_at	TM9SF1	quinoid dihydropteridine reductase
209155_s_at	NT5C2	transmembrane 9 superfamily member 1
209172_s_at	CENPF	5-nucleotidase, cytosolic II
209173_at	AGR2	centromere protein F, 350/400ka (mitosin)
209189_at	FOS	anterior gradient homolog 2 (Xenopus laevis)
209195_s_at	ADCY6	v-fos FBJ murine osteosarcoma viral oncogene homolog
209204_at	LMO4	adenylate cyclase 6
209205_s_at	LMO4	LIM domain only 4
209212_s_at	KLF5	LIM domain only 4
209311_at	BCL2L2	Kruppel-like factor 5 (intestinal)
209339_at	SIAH2	BCL2-like 2
209341_s_at	IKBKB	seven in absentia homolog 2 (Drosophila)
209342_s_at	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
209349_at	RAD50	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
209360_s_at	RUNX1	RAD50 homolog (S. cerevisiae)
209366_x_at	CYB5A	runt-related transcription factor 1
209373_at	MALL	cytochrome b5 type A (microsomal)
209375_at	XPC	mal, T-cell differentiation protein-like
209408_at	KIF2C	xeroderma pigmentosum, complementation group C
209443_at	SERPINA5	kinesin family member 2C
209459_s_at	ABAT	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5
209460_at	ABAT	4-aminobutyrate aminotransferase
209464_at	AURKB	4-aminobutyrate aminotransferase
209545_s_at	RIPK2	aurora kinase B
209602_s_at	GATA3	receptor-interacting serine-threonine kinase 2
209603_at	GATA3	GATA binding protein 3
209604_s_at	GATA3	GATA binding protein 3
209623_at	MCCC2	GATA binding protein 3
209624_s_at	MCCC2	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
209626_s_at	OSBPL3	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
209642_at	BUB1	oxysterol binding protein-like 3
209644_x_at	CDKN2A	budding uninhibited by benzimidazoles 1 homolog (yeast)
209680_s_at	KIFC1	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)
209681_at	SLC19A2	kinesin family member C1
209696_at	FBP1	solute carrier family 19 (thiamine transporter), member 2
209714_s_at	CDKN3	fructose-1,6-bisphosphatase 1
209740_s_at	PNPLA4	cyclin-dependent kinase inhibitor 3
209747_at	TGFB3	patatin-like phospholipase domain containing 4
209770_at	BTN3A1	transforming growth factor, beta 3
209773_s_at	RRM2	butyrophilin, subfamily 3, member A1
209791_at	PADI2	ribonucleotide reductase M2 polypeptide
209799_at	PRKAA1	peptidyl arginine deiminase, type II
209800_at	KRT16	protein kinase, AMP-activated, alpha 1 catalytic subunit
209825_s_at	UCK2	keratin 16
209832_s_at	CDT1	uridine-cytidine kinase 2
209870_s_at	APBA2	chromatin licensing and DNA replication factor 1
209871_s_at	APBA2	amyloid beta (A4) precursor protein-binding, family A, member 2
209885_at	RHOD	amyloid beta (A4) precursor protein-binding, family A, member 2
209924_at	CCL18	ras homolog gene family, member D
209934_s_at	ATP2C1	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)
209939_x_at	CFLAR	ATPase, Ca++ transporting, type 2C, member 1
209990_s_at	GABBR2	CASP8 and FADD-like apoptosis regulator
210006_at	ABHD14A	gamma-aminobutyric acid (GABA) B receptor, 2
210024_s_at	UBE2E3	abhydrolase domain containing 14A
210026_s_at	CARD10	ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)
210029_at	IDO1	caspase recruitment domain family, member 10
210052_s_at	TPX2	indoleamine 2,3-dioxygenase 1
210053_at	TAF5	TPX2, microtubule-associated, homolog (Xenopus laevis)
210074_at	CTSL2	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa
210085_s_at	ANXA9	cathepsin L2
210093_s_at	MAGOH	annexin A9
210108_at	CACNA1D	mago-nashi homolog, proliferation-associated (Drosophila)
210139_s_at	PMP22	calcium channel, voltage-dependent, L type, alpha 1D subunit
210142_x_at	FLOT1	peripheral myelin protein 22
210163_at	CXCL11	flotillin 1
210164_at	GZMB	chemokine (C-X-C motif) ligand 11
210239_at	IRX5	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)
210272_at	CYP2B7P1	iroquois homeobox 5
210347_s_at	BCL11A	cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene 1
210354_at	IFNG	B-cell CLL/lymphoma 11A (zinc finger protein)
210357_s_at	SMOX	nterferon, gamma
210466_s_at	SERBP1	spermine oxidase
210546_x_at	CTAG1A	SERPINE1 mRNA binding protein 1
210648_x_at	SNX3	cancer/testis antigen 1A /// cancer/testis antigen 1B
210652_s_at	TTC39A	sorting nexin 3
210735_s_at	CA12	tetratricopeptide repeat domain 39A
210821_x_at	CENPA	carbonic anhydrase XII
210826_x_at	RAD17	centromere protein A
210908_s_at	PFDN5	RAD17 homolog (S. pombe)
210958_s_at	MAST4	prefoldin subunit 5
210959_s_at	SRD5A1	microtubule associated serine/threonine kinase family member 4
210983_s_at	MCM7	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)
210995_s_at	TRIM23	minichromosome maintenance complex component 7
211000_s_at	IL6ST	tripartite motif-containing 23
211013_x_at	PML	interleukin 6 signal transducer (gp130, oncostatin M receptor)
211042_x_at	MCAM	promyelocytic leukemia
211056_s_at	SRD5A1	melanoma cell adhesion molecule
211122_s_at	CXCL11	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)
211248_s_at	CHRD	chemokine (C-X-C motif) ligand 11
211519_s_at	KIF2C	chordin
211596_s_at	LRIG1	kinesin family member 2C
211605_s_at	RARA	leucine-rich repeats and immunoglobulin-like domains 1
211674_x_at	CTAG1A	retinoic acid receptor, alpha
211679_x_at	GABBR2	cancer/testis antigen 1A /// cancer/testis antigen 1B
211712_s_at	ANXA9	gamma-aminobutyric acid (GABA) B receptor, 2
211714_x_at	TUBB	annexin A9
211725_s_at	BID	tubulin, beta
211764_s_at	UBE2D1	BH3 interacting domain death agonist
211938_at	EIF4B	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)
211939_x_at	BTF3	eukaryotic translation initiation factor 4B
211967_at	TMEM123	basic transcription factor 3
211986_at	AHNAK	transmembrane protein 123
212020_s_at	MKI67	AHNAK nucleoprotein
212022_s_at	MKI67	antigen identified by monoclonal antibody Ki-67
212023_s_at	MKI67	antigen identified by monoclonal antibody Ki-67
212099_at	RHOB	antigen identified by monoclonal antibody Ki-67
212141_at	MCM4	ras homolog gene family, member B
212153_at	POGZ	minichromosome maintenance complex component 4
212156_at	VPS39	pogo transposable element with ZNF domain
212195_at	IL6ST	vacuolar protein sorting 39 homolog (S. cerevisiae)
212196_at	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)
212207_at	MED13L	interleukin 6 signal transducer (gp130, oncostatin M receptor)
212208_at	MED13L	mediator complex subunit 13-like
212209_at	MED13L	mediator complex subunit 13-like
212219_at	PSME4	mediator complex subunit 13-like
212220_at	PSME4	proteasome (prosome, macropain) activator subunit 4
212242_at	TUBA4A	proteasome (prosome, macropain) activator subunit 4
212247_at	NUP205	tubulin, alpha 4a
212274_at	LPIN1	nucleoporin 205kDa
212276_at	LPIN1	lipin 1
212294_at	GNG12	lipin 1
212314_at	KIAA0746	guanine nucleotide binding protein (G protein), gamma 12
212360_at	AMPD2	KIAA0746 protein
212378_at	GART	adenosine monophosphate deaminase 2 (isoform L)
212403_at	UBE3B	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase
212416_at	SCAMP1	ubiquitin protein ligase E3B
212419_at	ZCCHC24	secretory carrier membrane protein 1
212423_at	ZCCHC24	zinc finger, CCHC domain containing 24
212426_s_at	YWHAQ	zinc finger, CCHC domain containing 24
212430_at	RBM38	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
212441_at	KIAA0232	RNA binding motif protein 38
212442_s_at	LASS6	KIAA0232
212462_at	MYST4	LAG1 homolog, ceramide synthase 6
212492_s_at	KDM4B	MYST histone acetyltransferase (monocytic leukemia) 4
212494_at	TENC1	lysine (K)-specific demethylase 4B
212495_at	KDM4B	tensin like C1 domain containing phosphatase (tensin 2)
212496_s_at	KDM4B	lysine (K)-specific demethylase 4B
212501_at	CEBPB	lysine (K)-specific demethylase 4B
212508_at	MOAP1	CCAAT/enhancer binding protein (C/EBP), beta
212510_at	GPD1L	modulator of apoptosis 1
212527_at	PPPDE2	glycerol-3-phosphate dehydrogenase 1-like
212551_at	CAP2	PPPDE peptidase domain containing 2
212554_at	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)
212638_s_at	WWP1	CAP, adenylate cyclase-associated protein, 2 (yeast)
212660_at	PHF15	WW domain containing E3 ubiquitin protein ligase 1
212678_at	NF1	PHD finger protein 15
212680_x_at	PPP1R14B	neurofibromin 1
212692_s_at	LRBA	protein phosphatase 1, regulatory (inhibitor) subunit 14B
212697_at	FAM134C	LPS-responsive vesicle trafficking, beach and anchor containing
212715_s_at	MICAL3	family with sequence similarity 134, member C
212744_at	BBS4	microtubule associated monoxygenase, calponin and LIM domain containing 3
212745_s_at	BBS4	Bardet-Biedl syndrome 4
212770_at	TLE3	Bardet-Biedl syndrome 4
212780_at	SOS1	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)
212816_s_at	CBS	son of sevenless homolog 1 (Drosophila)
212846_at	RRP1B	cystathionine-beta-synthase
212885_at	MPHOSPH10	ribosomal RNA processing 1 homolog B (S. cerevisiae)
212908_at	DNAJC16	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)
212911_at	DNAJC16	DnaJ (Hsp40) homolog, subfamily C, member 16
212949_at	NCAPH	DnaJ (Hsp40) homolog, subfamily C, member 16
212956_at	TBC1D9	non-SMC condensin I complex, subunit H
212960_at	TBC1D9	TBC1 domain family, member 9 (with GRAM domain)
212970_at	APBB2	TBC1 domain family, member 9 (with GRAM domain)
212978_at	LRRC8B	amyloid beta (A4) precursor protein-binding, family B, member 2
212995_x_at	FAM128B	leucine rich repeat containing 8 family, member B
213007_at	FANCI	family with sequence similarity 128, member B
213008_at	FANCI	Fanconi anemia, complementation group I
213018_at	GATAD1	Fanconi anemia, complementation group I
213058_at	TTC28	GATA zinc finger domain containing 1
213063_at	ZC3H14	tetratricopeptide repeat domain 28
213064_at	ZC3H14	zinc finger CCCH-type containing 14
213088_s_at	DNAJC9	zinc finger CCCH-type containing 14
213097_s_at	DNAJC2	DnaJ (Hsp40) homolog, subfamily C, member 9
213101_s_at	ACTR3	DnaJ (Hsp40) homolog, subfamily C, member 2
213103_at	STARD13	ARP3 actin-related protein 3 homolog (yeast)
213110_s_at	COL4A5	StAR-related lipid transfer (START) domain containing 13
213113_s_at	SLC43A3	collagen, type IV, alpha 5
213123_at	MFAP3	solute carrier family 43, member 3
213134_x_at	BTG3	microfibrillar-associated protein 3
213136_at	PTPN2	BTG family, member 3
213137_s_at	PTPN2	protein tyrosine phosphatase, non-receptor type 2
213166_x_at	FAM128A	protein tyrosine phosphatase, non-receptor type 2
213185_at	KIAA0556	family with sequence similarity 128, member A
213226_at	CCNA2	KIAA0556
213234_at	KIAA1467	cyclin A2
213245_at	ADCY1	KIAA1467
213260_at	FOXC1	adenylate cyclase 1 (brain)
213279_at	DHRS1	forkhead box C1
213283_s_at	SALL2	dehydrogenase/reductase (SDR family) member 1
213285_at	TMEM30B	sal-like 2 (Drosophila)
213304_at	FAM179B	transmembrane protein 30B
213334_x_at	HAUS7	family with sequence similarity 179, member B
213345_at	NFATC4	HAUS augmin-like complex, subunit 7
213366_x_at	ATP5C1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4
213392_at	IQCK	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
213397_x_at	RNASE4	IQ motif containing K
213419_at	APBB2	ribonuclease, RNase A family, 4
213427_at	RPP40	amyloid beta (A4) precursor protein-binding, family B, member 2
213512_at	C14orf79	ribonuclease P/MRP 40kDa subunit
213523_at	CCNE1	chromosome 14 open reading frame 79
213540_at	HSD17B8	cyclin E1
213564_x_at	LDHB	hydroxysteroid (17-beta) dehydrogenase 8
213571_s_at	EIF4E2	lactate dehydrogenase B
213599_at	OIP5	eukaryotic translation initiation factor 4E family member 2
213627_at	MAGED2	Opa interacting protein 5
213639_s_at	ZNF500	melanoma antigen family D, 2
213647_at	DNA2	zinc finger protein 500
213702_x_at	ASAH1	DNA replication helicase 2 homolog (yeast)
213707_s_at	DLX5	N-acylsphingosine amidohydrolase (acid ceramidase) 1
213712_at	ELOVL2	distal-less homeobox 5
213923_at	RAP2B	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2
213933_at	PTGER3	RAP2B, member of RAS oncogene family
213941_x_at	RPS7	prostaglandin E receptor 3 (subtype EP3)
214049_x_at	CD7	ribosomal protein S7
214051_at	TMSB15B	CD7 molecule
214053_at	ERBB4	thymosin beta 15B
214077_x_at	MEIS3P1	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)
214088_s_at	FUT3	Meis homeobox 3 pseudogene 1
214104_at	GPR161	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)
214106_s_at	GMDS	G protein-coupled receptor 161
214109_at	LRBA	GDP-mannose 4,6-dehydratase
214164_x_at	CA12	LPS-responsive vesicle trafficking, beach and anchor containing
214259_s_at	AKR7A2	carbonic anhydrase XII
214334_x_at	DAZAP2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)
214426_x_at	CHAF1A	DAZ associated protein 2
214428_x_at	C4A	chromatin assembly factor 1, subunit A (p150)
214431_at	GMPS	complement component 4A (Rodgers blood group) /// complement component 4B (Chido blood group)
214433_s_at	SELENBP1	guanine monphosphate synthetase
214440_at	NAT1	selenium binding protein 1
214552_s_at	RABEP1	N-acetyltransferase 1 (arylamine N-acetyltransferase)
214567_s_at	XCL1	rabaptin, RAB GTPase binding effector protein 1
214595_at	KCNG1	chemokine (C motif) ligand 1 /// chemokine (C motif) ligand 2
214617_at	PRF1	potassium voltage-gated channel, subfamily G, member 1
214705_at	INADL	perforin 1 (pore forming protein)
214710_s_at	CCNB1	InaD-like (Drosophila)
214735_at	IPCEF1	cyclin B1
214736_s_at	ADD1	interaction protein for cytohesin exchange factors 1
214745_at	PLCH1	adducin 1 (alpha)
214838_at	SFT2D2	phospholipase C, eta 1
214855_s_at	GARNL1	SFT2 domain containing 2
214919_s_at	ANKHD1-EIF4EBP3	GTPase activating Rap/RanGAP domain-like 1
214924_s_at	TRAK1	ANKHD1-EIF4EBP3 readthrough transcript /// eukaryotic translation initiation factor 4E binding protein 3
215001_s_at	GLUL	trafficking protein, kinesin binding 1
215223_s_at	SOD2	glutamate-ammonia ligase (glutamine synthetase)
215616_s_at	KDM4B	superoxide dismutase 2, mitochondrial
215726_s_at	CYB5A	lysine (K)-specific demethylase 4B
215807_s_at	PLXNB1	cytochrome b5 type A (microsomal)
215867_x_at	CA12	plexin B1
215942_s_at	GTSE1	carbonic anhydrase XII
215947_s_at	FAM136A	G-2 and S-phase expressed 1
215994_x_at	TBC1D9B	family with sequence similarity 136, member A
216010_x_at	FUT3	TBC1 domain family, member 9B (with GRAM domain)
216092_s_at	SLC7A8	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)
216237_s_at	MCM5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
216264_s_at	LAMB2	minichromosome maintenance complex component 5
216267_s_at	TMEM115	laminin, beta 2 (laminin S)
216300_x_at	RARA	transmembrane protein 115
216381_x_at	AKR7A3	retinoic acid receptor, alpha
216560_x_at		aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)
216885_s_at	WDR42A	immunoglobulin lambda locus
216905_s_at	ST14	WD repeat domain 42A
216952_s_at	LMNB2	suppression of tumorigenicity 14 (colon carcinoma)
216977_x_at	SNRPA1	lamin B2
216988_s_at	PTP4A2	small nuclear ribonucleoprotein polypeptide A
217499_x_at	OR7E37P	protein tyrosine phosphatase type IVA, member 2
217770_at	PIGT	olfactory receptor, family 7, subfamily E, member 37 pseudogene
217794_at	PRR13	phosphatidylinositol glycan anchor biosynthesis, class T
217832_at	SYNCRIP	proline rich 13
217834_s_at	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein
217838_s_at	EVL	synaptotagmin binding, cytoplasmic RNA interacting protein
217844_at	CTDSP1	Enah/Vasp-like
217870_s_at	CMPK1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1
217892_s_at	LIMA1	cytidine monophosphate (UMP-CMP) kinase 1, cytosolic
217894_at	KCTD3	LIM domain and actin binding 1
217905_at	C10orf119	potassium channel tetramerisation domain containing 3
217906_at	KLHDC2	chromosome 10 open reading frame 119
217914_at	TPCN1	kelch domain containing 2
217938_s_at	KCMF1	two pore segment channel 1
217972_at	CHCHD3	potassium channel modulatory factor 1
217979_at	TSPAN13	coiled-coil-helix-coiled-coil-helix domain containing 3
217990_at	GMPR2	tetraspanin 13
218002_s_at	CXCL14	guanosine monophosphate reductase 2
218009_s_at	PRC1	chemokine (C-X-C motif) ligand 14
218018_at	PDXK	protein regulator of cytokinesis 1
218035_s_at	RBM47	pyridoxal (pyridoxine, vitamin B6) kinase
218037_at	FAM134A	RNA binding motif protein 47
218039_at	NUSAP1	family with sequence similarity 134, member A
218051_s_at	NT5DC2	nucleolar and spindle associated protein 1
218065_s_at	TMEM9B	5-nucleotidase domain containing 2
218086_at	NPDC1	TMEM9 domain family, member B
218094_s_at	DBNDD2	neural proliferation, differentiation and control, 1
218104_at	TEX10	dysbindin (dystrobrevin binding protein 1) domain containing 2 /// SYS1-DBNDD2 readthrough transcript
218131_s_at	GATAD2A	testis expressed 10
218146_at	GLT8D1	GATA zinc finger domain containing 2A
218193_s_at	GOLT1B	glycosyltransferase 8 domain containing 1
218195_at	C6orf211	golgi transport 1 homolog B (S. cerevisiae)
218211_s_at	MLPH	chromosome 6 open reading frame 211
218223_s_at	PLEKHO1	melanophilin
218230_at	ARFIP1	pleckstrin homology domain containing, family O member 1
218235_s_at	UTP11L	ADP-ribosylation factor interacting protein 1
218243_at	RUFY1	UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)
218259_at	MKL2	RUN and FYVE domain containing 1
218262_at	RMND5B	MKL/myocardin-like 2
218308_at	TACC3	required for meiotic nuclear division 5 homolog B (S. cerevisiae)
218319_at	PELI1	transforming, acidic coiled-coil containing protein 3
218328_at	COQ4	pellino homolog 1 (Drosophila)
218336_at	PFDN2	coenzyme Q4 homolog (S. cerevisiae)
218349_s_at	ZWILCH	prefoldin subunit 2
218353_at	RGS5	Zwilch, kinetochore associated, homolog (Drosophila)
218355_at	KIF4A	regulator of G-protein signaling 5
218374_s_at	C12orf4	kinesin family member 4A
218394_at	ROGDI	chromosome 12 open reading frame 4
218437_s_at	LZTFL1	rogdi homolog (Drosophila)
218440_at	MCCC1	leucine zipper transcription factor-like 1
218445_at	H2AFY2	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)
218447_at	C16orf61	H2A histone family, member Y2
218471_s_at	BBS1	chromosome 16 open reading frame 61
218487_at	ALAD	Bardet-Biedl syndrome 1
218496_at	RNASEH1	aminolevulinate, delta-, dehydratase
218497_s_at	RNASEH1	ribonuclease H1
218499_at		ribonuclease H1
218502_s_at	TRPS1	serine/threonine protein kinase MST4
218510_x_at	FAM134B	trichorhinophalangeal syndrome I
218512_at	WDR12	family with sequence similarity 134, member B
218532_s_at	FAM134B	WD repeat domain 12
218537_at	HCFC1R1	family with sequence similarity 134, member B
218540_at	THTPA	host cell factor C1 regulator 1 (XPO1 dependent)
218542_at	CEP55	thiamine triphosphatase
218552_at	ECHDC2	centrosomal protein 55kDa
218564_at	RFWD3	enoyl Coenzyme A hydratase domain containing 2
218572_at	CHMP4A	ring finger and WD repeat domain 3
218584_at	TCTN1	chromatin modifying protein 4A
218588_s_at	FAM114A2	tectonic family member 1
218593_at	RBM28	family with sequence similarity 114, member A2
218600_at	LIMD2	RNA binding motif protein 28
218617_at	TRIT1	LIM domain containing 2
218620_s_at	HEMK1	tRNA isopentenyltransferase 1
218660_at	DYSF	HemK methyltransferase family member 1
218662_s_at	NCAPG	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)
218663_at	NCAPG	non-SMC condensin I complex, subunit G
218684_at	LRRC8D	non-SMC condensin I complex, subunit G
218686_s_at	RHBDF1	leucine rich repeat containing 8 family, member D
218692_at	GOLSYN	rhomboid 5 homolog 1 (Drosophila)
218726_at	HJURP	Golgi-localized protein
218741_at	CENPM	Holliday junction recognition protein
218755_at	KIF20A	centromere protein M
218757_s_at	UPF3B	kinesin family member 20A
218758_s_at	RRP1	UPF3 regulator of nonsense transcripts homolog B (yeast)
218763_at	STX18	ribosomal RNA processing 1 homolog (S. cerevisiae)
218769_s_at	ANKRA2	syntaxin 18
218774_at	DCPS	ankyrin repeat, family A (RFXANK-like), 2
218806_s_at	VAV3	decapping enzyme, scavenger
218807_at	VAV3	vav 3 guanine nucleotide exchange factor
218813_s_at	SH3GLB2	vav 3 guanine nucleotide exchange factor
218834_s_at	TMEM132A	SH3-domain GRB2-like endophilin B2
218856_at	TNFRSF21	transmembrane protein 132A
218862_at	ASB13	tumor necrosis factor receptor superfamily, member 21
218877_s_at	TRMT11	ankyrin repeat and SOCS box-containing 13
218882_s_at	WDR3	tRNA methyltransferase 11 homolog (S. cerevisiae)
218886_at	PAK1IP1	WD repeat domain 3
218894_s_at	MAGOHB	PAK1 interacting protein 1
218921_at	SIGIRR	mago-nashi homolog B (Drosophila)
218931_at	RAB17	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain
218949_s_at	QRSL1	RAB17, member RAS oncogene family
218966_at	MYO5C	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
218976_at	DNAJC12	myosin VC
218987_at	ATF7IP	DnaJ (Hsp40) homolog, subfamily C, member 12
219000_s_at	DSCC1	activating transcription factor 7 interacting protein
219001_s_at	WDR32	defective in sister chromatid cohesion 1 homolog (S. cerevisiae)
219004_s_at	C21orf45	WD repeat domain 32
219006_at	NDUFAF4	chromosome 21 open reading frame 45
219010_at	C1orf106	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4
219051_x_at	METRN	chromosome 1 open reading frame 106
219065_s_at	MEMO1	meteorin, glial cell differentiation regulator
219083_at	SHQ1	mediator of cell motility 1
219087_at	ASPN	SHQ1 homolog (S. cerevisiae)
219105_x_at	ORC6L	asporin
219114_at	C3orf18	origin recognition complex, subunit 6 like (yeast)
219143_s_at	RPP25	chromosome 3 open reading frame 18
219153_s_at	THSD4	ribonuclease P/MRP 25kDa subunit
219197_s_at	SCUBE2	thrombospondin, type I, domain containing 4
219202_at	RHBDF2	signal peptide, CUB domain, EGF-like 2
219206_x_at	TMBIM4	rhomboid 5 homolog 2 (Drosophila)
219209_at	IFIH1	transmembrane BAX inhibitor motif containing 4
219222_at	RBKS	interferon induced with helicase C domain 1
219241_x_at	SSH3	ribokinase
219286_s_at	RBM15	slingshot homolog 3 (Drosophila)
219306_at	KIF15	RNA binding motif protein 15
219317_at	POLI	kinesin family member 15
219385_at	SLAMF8	polymerase (DNA directed) iota
219386_s_at	SLAMF8	SLAM family member 8
219414_at	CLSTN2	SLAM family member 8
219438_at	NKAIN1	calsyntenin 2
219439_at	C1GALT1	Na+/K+ transporting ATPase interacting 1
219440_at	RAI2	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1
219453_at	KLHL36	retinoic acid induced 2
219454_at	EGFL6	kelch-like 36 (Drosophila)
219455_at	C7orf63	EGF-like-domain, multiple 6
219463_at	C20orf103	chromosome 7 open reading frame 63
219469_at	DYNC2H1	chromosome 20 open reading frame 103
219470_x_at	CCNJ	dynein, cytoplasmic 2, heavy chain 1
219497_s_at	BCL11A	cyclin J
219498_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)
219542_at	NEK11	B-cell CLL/lymphoma 11A (zinc finger protein)
219544_at	C13orf34	NIMA (never in mitosis gene a)- related kinase 11
219555_s_at	CENPN	chromosome 13 open reading frame 34
219570_at	KIF16B	centromere protein N
219588_s_at	NCAPG2	kinesin family member 16B
219609_at	WDR25	non-SMC condensin II complex, subunit G2
219615_s_at	KCNK5	WD repeat domain 25
219634_at	CHST11	potassium channel, subfamily K, member 5
219646_at	DEF8	carbohydrate (chondroitin 4) sulfotransferase 11
219648_at	MREG	differentially expressed in FDCP 8 homolog (mouse)
219682_s_at	TBX3	melanoregulin
219686_at	STK32B	T-box 3
219687_at	HHAT	serine/threonine kinase 32B
219753_at	STAG3	hedgehog acyltransferase
219786_at	MTL5	stromal antigen 3
219787_s_at	ECT2	metallothionein-like 5, testis-specific (tesmin)
219806_s_at	C11orf75	epithelial cell transforming sequence 2 oncogene
219833_s_at	EFHC1	chromosome 11 open reading frame 75
219862_s_at	NARF	EF-hand domain (C-terminal) containing 1
219882_at	TTLL7	nuclear prelamin A recognition factor
219918_s_at	ASPM	tubulin tyrosine ligase-like family, member 7
219919_s_at	SSH3	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)
219922_s_at	LTBP3	slingshot homolog 3 (Drosophila)
219956_at	GALNT6	latent transforming growth factor beta binding protein 3
219978_s_at	NUSAP1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)
219981_x_at	ZNF587	nucleolar and spindle associated protein 1
220094_s_at	CCDC90A	zinc finger protein 587
220134_x_at	FAM176B	coiled-coil domain containing 90A
220147_s_at	FAM60A	family with sequence similarity 176, member B
220173_at	C14orf45	family with sequence similarity 60, member A
220192_x_at	SPDEF	chromosome 14 open reading frame 45
220239_at	KLHL7	SAM pointed domain containing ets transcription factor
220255_at	FANCE	kelch-like 7 (Drosophila)
220260_at	TBC1D19	Fanconi anemia, complementation group E
220559_at	EN1	TBC1 domain family, member 19
220581_at	C6orf97	engrailed homeobox 1
220613_s_at	SYTL2	chromosome 6 open reading frame 97
220624_s_at	ELF5	synaptotagmin-like 2
220625_s_at	ELF5	E74-like factor 5 (ets domain transcription factor)
220651_s_at	MCM10	E74-like factor 5 (ets domain transcription factor)
220658_s_at	ARNTL2	minichromosome maintenance complex component 10
220744_s_at	IFT122	aryl hydrocarbon receptor nuclear translocator-like 2
220865_s_at	PDSS1	intraflagellar transport 122 homolog (Chlamydomonas)
220892_s_at	PSAT1	prenyl (decaprenyl) diphosphate synthase, subunit 1
220917_s_at	WDR19	phosphoserine aminotransferase 1
220956_s_at	EGLN2	WD repeat domain 19
