Affymetrix ID	Symbol	Gene Name	Fold difference	P.Value
1419754_at	Myo5a	myosin Va	4.1	3.82E-06
1443827_x_at	BC004044	cDNA sequence BC004044	4.1	0.000759561
1442988_at	---	---	4.1	0.001040819
1451715_at	Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)	4.0	0.00027089
1421038_a_at	Kcnn4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	4.0	0.010454512
1417933_at	Igfbp6	insulin-like growth factor binding protein 6	4.0	0.000478425
1429830_a_at	Cd59a	CD59a antigen	4.0	0.003515345
1437635_at	---	gene model 1252, (NCBI)	4.0	6.05E-06
1448237_x_at	Ldh2	lactate dehydrogenase 2, B chain	4.0	1.98E-05
1450883_a_at	Cd36	CD36 antigen	4.0	8.39E-07
1435884_at	Itsn1	intersectin 1 (SH3 domain protein 1A)	4.0	0.016925241
1436448_a_at	Ptgs1	prostaglandin-endoperoxide synthase 1	4.0	0.007330484
1451263_a_at	Fabp4	fatty acid binding protein 4, adipocyte	4.0	0.000231941
1435265_at	---	---	4.0	7.88E-05
1455451_at	---	---	4.0	0.013292782
1453003_at	Sorl1	sortilin-related receptor, LDLR class A repeats-containing	4.0	0.002223616
1448303_at	Gpnmb	glycoprotein (transmembrane) nmb	4.0	0.000129756
1434685_at	D3Bwg0562e	DNA segment, Chr 3, Brigham & Womens Genetics 0562 expressed	3.9	3.48E-06
1419530_at	Il12b	interleukin 12b	3.9	0.000923097
1417700_at	Rab38	Rab38, member of RAS oncogene family	3.9	5.08E-09
1455089_at	Gng12	guanine nucleotide binding protein (G protein), gamma 12	3.9	6.62E-05
1420928_at	St6gal1	beta galactoside alpha 2,6 sialyltransferase 1	3.9	6.17E-05
1433695_at	---	similar to chromosome 2 open reading frame 32	3.9	0.026978363
1417611_at	Pr1	protein distantly related to to the gamma subunit family	3.9	0.001008127
1417500_a_at	Tgm2	transglutaminase 2, C polypeptide	3.9	0.009774229
1424011_at	Aqp9	aquaporin 9	3.9	2.68E-06
1425658_at	Cd109	CD109 antigen	3.9	3.68E-06
1450918_s_at	Src	Rous sarcoma oncogene	3.9	1.20E-05
1448573_a_at	Ceacam10	CEA-related cell adhesion molecule 10	3.9	3.79E-06
1449027_at	Rhou	ras homolog gene family, member U	3.9	0.001227566
1456735_x_at	9430094M07Rik	RIKEN cDNA 9430094M07 gene	3.9	1.15E-07
1456442_at	C76746	expressed sequence C76746	3.9	4.71E-06
1450684_at	Etv1	ets variant gene 1	3.8	0.00167642
1438312_s_at	Ltbp3	latent transforming growth factor beta binding protein 3	3.8	0.006527606
1449028_at	Rhou	ras homolog gene family, member U	3.8	0.002510021
1417160_s_at	Expi	extracellular proteinase inhibitor	3.8	1.67E-05
1436937_at	Rbms3	RNA binding motif, single stranded interacting protein	3.8	0.005041124
1457666_s_at	Ifi202b	interferon activated gene 202B	3.8	9.69E-05
1421551_s_at	Ifi202b	interferon activated gene 202B	3.8	0.000392483
1454847_at	Lhfpl2	lipoma HMGIC fusion partner-like 2	3.8	2.20E-05
1417505_s_at	Il11ra1	interleukin 11 receptor, alpha chain 1	3.8	3.76E-05
1430700_a_at	Pla2g7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	3.8	0.000939316
1437689_x_at	Clu	clusterin	3.8	0.010140192
1448251_at	9030425E11Rik	RIKEN cDNA 9030425E11 gene	3.8	0.001108805
1451276_at	---	---	3.8	5.86E-08
1448061_at	Msr1	macrophage scavenger receptor 1	3.8	5.45E-07
1448664_a_at	Apeg1	aortic preferentially expressed gene 1	3.8	0.004303546
1445539_at	Pde7b	phosphodiesterase 7B	3.8	2.86E-05
1426541_a_at	2310067E08Rik	RIKEN cDNA 2310067E08 gene	3.7	0.002110812
1429778_at	Optn	optineurin	3.7	0.000499048
1434530_at	Odz4	odd Oz/ten-m homolog 4 (Drosophila)	3.7	2.03E-07
1450627_at	Ank	progressive ankylosis	3.7	9.41E-06
1422612_at	Hk2	hexokinase 2	3.7	5.39E-06
1436609_a_at	Lrpap1	low density lipoprotein receptor-related protein associated protein 1	3.7	8.06E-07
1417829_a_at	Rab15	RAB15, member RAS oncogene family	3.7	4.64E-06
1454157_a_at	Pla2g2d	phospholipase A2, group IID	3.7	0.000302744
1436836_x_at	Cnn3	calponin 3, acidic	3.7	0.020696937
1450290_at	Pdcd1lg2	programmed cell death 1 ligand 2	3.7	5.61E-05
1415964_at	Scd1	stearoyl-Coenzyme A desaturase 1	3.7	0.003174378
1417389_at	Gpc1	glypican 1	3.7	1.02E-05
1438201_at	---	---	3.6	1.67E-05
AFFX-TransRecMur/X57349_3_at	Tfrc	transferrin receptor	3.6	1.81E-06
1451537_at	Chi3l1	chitinase 3-like 1	3.6	1.94E-06
1438266_at	Thsd6	thrombospondin, type I domain containing 6	3.6	0.000201503
1460283_at	Mefv	Mediterranean fever	3.6	2.18E-05
1451275_at	E030041M21Rik	RIKEN cDNA E030041M21 gene	3.6	1.56E-06
1450510_a_at	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	3.6	0.002546636
1424022_at	1700012B18Rik	RIKEN cDNA 1700012B18 gene	3.6	2.58E-05
1421976_at	Mmp19	matrix metalloproteinase 19	3.6	0.000657952
1424246_a_at	Tes	testis derived transcript	3.6	0.000434165
1460253_at	Cklfsf7	chemokine-like factor super family 7	3.6	3.37E-06
1449049_at	Tlr1	toll-like receptor 1	3.6	0.00577547
1420401_a_at	Ramp3	receptor (calcitonin) activity modifying protein 3	3.6	1.60E-05
1456174_x_at	Ndrg1	N-myc downstream regulated gene 1	3.6	0.00188969
1425155_x_at	Csf1	colony stimulating factor 1 (macrophage)	3.6	0.000728973
1451230_a_at	Wbp5	WW domain binding protein 5	3.6	0.000214993
1453341_a_at	4930425N13Rik	RIKEN cDNA 4930425N13 gene	3.5	0.001582433
1417960_at	Cpeb1	cytoplasmic polyadenylation element binding protein 1	3.5	0.00016299
1460378_a_at	Tes	testis derived transcript	3.5	1.54E-05
1433796_at	2310067E08Rik	RIKEN cDNA 2310067E08 gene	3.5	1.49E-05
1417074_at	Ceacam10	CEA-related cell adhesion molecule 10	3.5	5.01E-05
1452703_at	4631427C17Rik	RIKEN cDNA 4631427C17 gene	3.5	4.77E-07
1415802_at	Slc16a1	solute carrier family 16 (monocarboxylic acid transporters), member 1	3.5	8.20E-06
1422139_at	Plau	plasminogen activator, urokinase	3.5	0.017500009
1455048_at	Igsf3	immunoglobulin superfamily, member 3	3.5	0.000468502
1448898_at	Ccl9	chemokine (C-C motif) ligand 9	3.5	0.013053292
1423917_a_at	Cttn	cortactin	3.5	0.000480455
1425400_a_at	Cited4	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4	3.5	0.001596923
1423341_at	Cspg4	chondroitin sulfate proteoglycan 4	3.5	0.002963923
1417460_at	Ifitm2	interferon induced transmembrane protein 2	3.5	7.74E-08
1424671_at	Plekhf1	pleckstrin homology domain containing, family F (with FYVE domain) member 1	3.4	0.002102096
1430391_a_at	Siat8d	sialyltransferase 8 (alpha-2, 8-sialyltransferase) D	3.4	0.000325383
1451105_at	B130052G07Rik	RIKEN cDNA B130052G07 gene	3.4	6.13E-05
1418248_at	Gla	galactosidase, alpha	3.4	4.38E-06
1432428_at	C030011J08Rik	RIKEN cDNA C030011J08 gene	3.4	0.001388901
1450298_at	Tnfsf14	tumor necrosis factor (ligand) superfamily, member 14	3.4	1.19E-05
1418987_at	Pla2g2d	phospholipase A2, group IID	3.4	0.003521879
1422705_at	Tmepai	transmembrane, prostate androgen induced RNA	3.4	4.30E-05
1450652_at	Ctsk	cathepsin K	3.4	4.98E-06
1423555_a_at	Ifi44	interferon-induced protein 44	3.4	0.041687525
1455235_x_at	Ldh2	lactate dehydrogenase 2, B chain	3.4	0.000665792
1419684_at	Ccl8	chemokine (C-C motif) ligand 8	3.4	0.007043338
1447693_s_at	Neo1	neogenin	3.4	0.012558551
1436322_a_at	2810001A02Rik	RIKEN cDNA 2810001A02 gene	3.4	7.16E-06
1442798_x_at	---	---	3.4	6.92E-06
1436520_at	---	similar to KIAA2019 protein	3.4	8.00E-06
1460436_at	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	3.4	6.12E-07
1424509_at	1190003K14Rik	RIKEN cDNA 1190003K14 gene	3.3	0.000209165
1416130_at	Prnp	prion protein	3.3	1.19E-07
1427996_at	BC028528	cDNA sequence BC028528	3.3	0.000116001
1427481_a_at	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	3.3	0.000437735
1419605_at	Mgl1	macrophage galactose N-acetyl-galactosamine specific lectin 1	3.3	5.25E-05
1431320_a_at	Myo5a	myosin Va	3.3	0.000365414
1435741_at	Pde8b	phosphodiesterase 8B	3.3	0.00224906
1418746_at	Brp17	brain protein 17	3.3	5.62E-06
1458882_at	Serpinb8	serine (or cysteine) proteinase inhibitor, clade B, member 8	3.3	0.000282392
1427351_s_at	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	3.3	0.03580335
1417420_at	Ccnd1	cyclin D1	3.3	0.002571575
1424125_at	Kcnk13	potassium channel, subfamily K, member 13	3.3	5.15E-05
1434848_at	Gpr27	G protein-coupled receptor 27	3.3	0.000108478
1418074_at	Siat7d	sialyltransferase 7 ((alpha-N-acetylneuraminyl 2,3-betagalactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) D	3.3	2.78E-07
1434295_at	Rasgrp1	RAS guanyl releasing protein 1	3.3	0.001219764
1449271_a_at	Hebp2	heme binding protein 2	3.3	0.000108307
1425434_a_at	Msr1	macrophage scavenger receptor 1	3.2	0.00791699
1443822_s_at	D10Ertd214e	DNA segment, Chr 10, ERATO Doi 214, expressed	3.2	0.002069344
1424613_at	Gprc5b	G protein-coupled receptor, family C, group 5, member B	3.2	0.039929388
1426510_at	C330023F11Rik	RIKEN cDNA C330023F11 gene	3.2	1.12E-05
1422607_at	Etv1	ets variant gene 1	3.2	0.000491193
1418907_at	F5	coagulation factor V	3.2	0.000469523
1435226_at	Ibrdc3	IBR domain containing 3	3.2	0.007373174
1421739_a_at	Matk	megakaryocyte-associated tyrosine kinase	3.2	6.77E-05
1417491_at	Ctsb	cathepsin B	3.2	9.40E-06
1450718_at	Aps	adaptor protein with pleckstrin homology and src	3.2	0.000977074
1417045_at	Bid	BH3 interacting domain death agonist	3.2	0.000493854
1418829_a_at	Eno2	enolase 2, gamma neuronal	3.2	0.000616706
1417952_at	Cyp2j6	cytochrome P450, family 2, subfamily j, polypeptide 6	3.2	0.00376289
1439364_a_at	Mmp2	matrix metalloproteinase 2	3.2	0.000167968
1435462_at	---	---	3.2	1.70E-05
1451507_at	Mef2c	myocyte enhancer factor 2C	3.2	3.86E-06
1435679_at	Optn	optineurin	3.2	9.31E-05
1424852_at	Mef2c	myocyte enhancer factor 2C	3.2	2.63E-05
1455324_at	---	---	3.1	0.000108373
1455697_at	---	---	3.1	0.000138205
1420413_at	Slc7a11	solute carrier family 7 (cationic amino acid transporter, y+ system), member 11	3.1	3.46E-06
1428367_at	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	3.1	0.005737377
1426258_at	Sorl1	sortilin-related receptor, LDLR class A repeats-containing	3.1	6.40E-06
1434089_at	Synpo	synaptopodin	3.1	0.002879156
1435663_at	Esr1	estrogen receptor 1 (alpha)	3.1	1.18E-07
1422184_a_at	Ak1	adenylate kinase 1	3.1	0.003145449
1460444_at	Arrb1	arrestin, beta 1	3.1	0.000166971
1440275_at	Runx3	runt related transcription factor 3	3.1	0.008742568
AFFX-MURINE_b1_at	---	---	3.1	4.19E-05
1416572_at	Mmp14	matrix metalloproteinase 14 (membrane-inserted)	3.1	0.001329214
1426858_at	Inhbb	inhibin beta-B	3.1	0.001360333
1454960_at	Smad3	MAD homolog 3 (Drosophila)	3.1	2.86E-06
1429466_s_at	0610008A10Rik	RIKEN cDNA 0610008A10 gene	3.1	5.88E-05
1435207_at	Dixdc1	DIX domain containing 1	3.1	0.000258269
1422259_a_at	Ccr5	chemokine (C-C motif) receptor 5	3.1	0.001407409
1417732_at	Anxa8	annexin A8	3.1	0.001592193
1455104_at	Mad	Max dimerization protein	3.1	9.69E-05
1426600_at	Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1	3.1	5.19E-05
1434424_at	9630055N22Rik	RIKEN cDNA 9630055N22 gene	3.1	2.08E-06
1418317_at	Lhx2	LIM homeobox protein 2	3.1	0.003815514
1452338_s_at	Itsn1	intersectin 1 (SH3 domain protein 1A)	3.1	1.34E-06
1431359_a_at	1110007C09Rik	RIKEN cDNA 1110007C09 gene	3.1	3.53E-06
1448450_at	Ak2	adenylate kinase 2	3.1	5.60E-06
1452445_at	A230035L05Rik	RIKEN cDNA A230035L05 gene	3.1	4.41E-07
1460180_at	Hexb	hexosaminidase B	3.1	4.58E-06
1456778_at	Nrp2	neuropilin 2	3.1	1.69E-05
1436337_at	Dmtf1	cyclin D binding myb-like transcription factor 1	3.1	0.028066882
1451570_a_at	6720467C03Rik	RIKEN cDNA 6720467C03 gene	3.0	0.000117629
1451858_at	Mrgpra2	MAS-related GPR, member A2	3.0	0.004301521
1455318_at	Timd4	T-cell immunoglobulin and mucin domain containing 4	3.0	8.68E-05
1422823_at	Eps8	epidermal growth factor receptor pathway substrate 8	3.0	0.016970319
1449002_at	Phlda3	pleckstrin homology-like domain, family A, member 3	3.0	0.00062428
1435002_at	1810022O10Rik	RIKEN cDNA 1810022O10 gene	3.0	1.36E-05
1422160_at	H2-T24	histocompatibility 2, T region locus 24	3.0	0.011057904
1428572_at	Basp1	brain abundant, membrane attached signal protein 1	3.0	0.000104017
1452148_at	Lrpap1	low density lipoprotein receptor-related protein associated protein 1	3.0	3.36E-07
1436051_at	Myo5a	myosin Va	3.0	0.00050973
1452732_at	2300003P22Rik	RIKEN cDNA 2300003P22 gene	3.0	1.08E-06
1455741_a_at	Ece1	endothelin converting enzyme 1	3.0	1.00E-05
1421217_a_at	Lgals9	lectin, galactose binding, soluble 9	3.0	0.001180304
1438160_x_at	Slco4a1	solute carrier organic anion transporter family, member 4a1	3.0	0.007453772
1454677_at	Timp2	tissue inhibitor of metalloproteinase 2	3.0	8.57E-05
1449124_at	Rgl1	ral guanine nucleotide dissociation stimulator,-like 1	3.0	0.026503497
1435398_at	Stxbp5	syntaxin binding protein 5 (tomosyn)	3.0	3.80E-05
1418075_at	Siat7d	sialyltransferase 7 ((alpha-N-acetylneuraminyl 2,3-betagalactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) D	3.0	1.72E-06
1432329_a_at	Matk	megakaryocyte-associated tyrosine kinase	3.0	0.004677899
1460411_s_at	AW548124	expressed sequence AW548124	3.0	0.000132343
1423064_at	Dnmt3a	DNA methyltransferase 3A	3.0	0.00103144
1451310_a_at	Ctsl	cathepsin L	3.0	3.31E-06
1437404_at	4930420O11Rik	RIKEN cDNA 4930420O11 gene	3.0	0.001810526
1435490_at	Hk3	hexokinase 3	2.9	9.39E-05
1417545_at	Trpv4	transient receptor potential cation channel, subfamily V, member 4	2.9	0.00020286
1426027_a_at	Arhgap10	Rho GTPase activating protein 10	2.9	0.000408079
1418209_a_at	Pfn2	profilin 2	2.9	0.003501168
1417399_at	Gas6	growth arrest specific 6	2.9	0.0112538
1419192_at	Il4i1	interleukin 4 induced 1	2.9	4.78E-07
1422645_at	Hfe	hemochromatosis	2.9	9.13E-06
1448747_at	Fbxo32	F-box only protein 32	2.9	0.002728574
1424393_s_at	Adhfe1	alcohol dehydrogenase, iron containing, 1	2.9	0.000130887
1448499_a_at	Ephx2	epoxide hydrolase 2, cytoplasmic	2.9	0.001238527
1447854_s_at	Hist2h2bb	histone 2, H2bb	2.9	0.006612442
1431688_at	4833407H14Rik	RIKEN cDNA 4833407H14 gene	2.9	4.49E-05
1426697_a_at	Lrpap1	low density lipoprotein receptor-related protein associated protein 1	2.9	0.000606731
1417305_at	Apeg1	aortic preferentially expressed gene 1	2.9	1.61E-06
1448451_at	Ak2	adenylate kinase 2	2.9	0.000234031
1451335_at	Plac8	placenta-specific 8	2.9	0.011186586
1456315_a_at	Ptpla	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a	2.9	2.48E-06
1460330_at	Anxa3	annexin A3	2.9	4.02E-05
1450616_at	Ear5	eosinophil-associated, ribonuclease A family, member 5	2.9	0.000620538
1453244_at	---	hypothetical LOC381232	2.9	0.009104608
1452754_at	5730592L21Rik	RIKEN cDNA 5730592L21 gene	2.8	0.003997111
1452359_at	AA536743	expressed sequence AA536743	2.8	0.001009699
1424408_at	Lims2	LIM and senescent cell antigen like domains 2	2.8	0.001759895
1425525_a_at	P2rx4	purinergic receptor P2X, ligand-gated ion channel 4	2.8	5.09E-05
1437687_x_at	Fkbp9	FK506 binding protein 9	2.8	4.18E-05
1449858_at	Cd86	CD86 antigen	2.8	0.001805099
1454901_at	---	---	2.8	0.012810723
1438636_s_at	---	---	2.8	1.71E-05
1448276_at	Tm4sf7	transmembrane 4 superfamily member 7	2.8	0.000203896
1421053_at	Kif1a	kinesin family member 1A	2.8	5.73E-05
1448468_a_at	Kcnab1	potassium voltage-gated channel, shaker-related subfamily, beta member 1	2.8	0.002412608
1424581_at	Stac2	SH3 and cysteine rich domain 2	2.8	2.48E-05
1423680_at	Fads1	fatty acid desaturase 1	2.8	0.000314633
1419074_at	2510006C20Rik	RIKEN cDNA 2510006C20 gene	2.8	0.000358411
1448883_at	Lgmn	legumain	2.8	0.002048814
1448872_at	Reg3g	regenerating islet-derived 3 gamma	2.8	3.49E-06
1426831_at	Ahcyl1	S-adenosylhomocysteine hydrolase-like 1	2.8	0.000593974
1418402_at	Adam19	a disintegrin and metalloproteinase domain 19 (meltrin beta)	2.8	0.000203937
1448609_at	Tst	thiosulfate sulfurtransferase, mitochondrial	2.8	8.16E-05
1425027_s_at	2010005O13Rik	RIKEN cDNA 2010005O13 gene	2.8	3.33E-06
1417027_at	Trim2	tripartite motif protein 2	2.8	0.000246348
1423414_at	Ptgs1	prostaglandin-endoperoxide synthase 1	2.8	0.038734091
1419455_at	Il10rb	interleukin 10 receptor, beta	2.8	7.57E-06
1422824_s_at	Eps8	epidermal growth factor receptor pathway substrate 8	2.8	0.000828314
1435870_at	Sycp3	synaptonemal complex protein 3	2.7	0.007603918
1453016_at	2900042B11Rik	RIKEN cDNA 2900042B11 gene	2.7	0.006962233
1457434_s_at	Ptpla	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a	2.7	8.32E-06
1428623_at	Plxna1	plexin A1	2.7	0.000604167
1426555_at	Scpep1	serine caroboxypeptidase 1	2.7	0.000126625
1433750_at	Slc31a1	solute carrier family 31, member 1	2.7	5.15E-05
1440938_at	---	---	2.7	0.00065596
1434277_a_at	---	---	2.7	0.008871404
1421861_at	Clstn1	calsyntenin 1	2.7	0.005883747
1456041_at	Snx16	sorting nexin 16	2.7	0.002383321
1452181_at	Ckap4	cytoskeleton-associated protein 4	2.7	1.63E-05
1438942_x_at	Tgm2	transglutaminase 2, C polypeptide	2.7	8.14E-05
1419481_at	Sell	selectin, lymphocyte	2.7	0.000711227
1424760_a_at	Smyd2	SET and MYND domain containing 2	2.7	3.90E-07
1439345_at	---	---	2.7	0.003288693
1427243_at	AA536743	expressed sequence AA536743	2.7	2.56E-05
1416591_at	Rab34	RAB34, member of RAS oncogene family	2.7	0.006568774
1440169_x_at	Ifnar2	interferon (alpha and beta) receptor 2	2.7	0.000242608
1451596_a_at	Sphk1	sphingosine kinase 1	2.7	0.000924292
1437176_at	---	---	2.6	0.000461263
1437122_at	Bcl2	B-cell leukemia/lymphoma 2	2.6	0.000426439
1425899_a_at	Itsn1	intersectin 1 (SH3 domain protein 1A)	2.6	0.018543979
1423602_at	Traf1	Tnf receptor-associated factor 1	2.6	0.002108858
1418346_at	Insl6	insulin-like 6	2.6	7.93E-06
1455037_at	Plxna2	plexin A2	2.6	0.000218448
1426972_at	Sec24d	SEC24 related gene family, member D (S. cerevisiae)	2.6	3.22E-06
1455724_at	---	---	2.6	8.33E-05
1458469_at	---	---	2.6	0.000450791
1438702_at	Flrt2	fibronectin leucine rich transmembrane protein 2	2.6	0.001435662
1417671_at	Scly	selenocysteine lyase	2.6	3.08E-05
1450970_at	Got1	glutamate oxaloacetate transaminase 1, soluble	2.6	0.013335093
1448475_at	Olfml3	olfactomedin-like 3	2.6	0.003549451
1424915_s_at	2310044G17Rik	RIKEN cDNA 2310044G17 gene	2.6	5.11E-05
1453472_a_at	Slamf7	SLAM family member 7	2.6	0.035037856
1433662_s_at	Timp2	tissue inhibitor of metalloproteinase 2	2.6	0.000297185
1429111_at	Tln2	talin 2	2.6	0.041072142
1420726_x_at	Tmlhe	trimethyllysine hydroxylase, epsilon	2.6	0.006805103
1418171_at	3930402F23Rik	RIKEN cDNA 3930402F23 gene	2.6	4.28E-05
1423240_at	Src	Rous sarcoma oncogene	2.6	2.19E-05
1416849_at	D10Ertd214e	DNA segment, Chr 10, ERATO Doi 214, expressed	2.6	0.049482712
1433536_at	Lrp11	low density lipoprotein receptor-related protein 11	2.6	0.000773501
1428074_at	2310037P21Rik	RIKEN cDNA 2310037P21 gene	2.6	0.001603996
1454708_at	Ablim1	actin-binding LIM protein 1	2.6	0.008620206
1455285_at	Slc31a1	solute carrier family 31, member 1	2.6	4.66E-07
1460591_at	Esr1	estrogen receptor 1 (alpha)	2.6	7.26E-05
1417936_at	Ccl9	chemokine (C-C motif) ligand 9	2.6	0.001219689
1435446_a_at	Chpt1	choline phosphotransferase 1	2.6	0.004845278
1448619_at	Dhcr7	7-dehydrocholesterol reductase	2.6	1.89E-05
1456433_at	H2afy3	H2A histone family, member Y3	2.6	3.70E-05
1428394_at	Lrrc8	leucine-rich repeat-containing 8	2.6	3.13E-05
1428427_at	Fbxl2	F-box and leucine-rich repeat protein 2	2.5	9.42E-05
1452295_at	Tmepai	transmembrane, prostate androgen induced RNA	2.5	0.001376931
1417777_at	Ltb4dh	leukotriene B4 12-hydroxydehydrogenase	2.5	0.000102275
1429868_at	1700020N01Rik	RIKEN cDNA 1700020N01 gene	2.5	9.42E-05
1452492_a_at	Slc37a2	solute carrier family 37 (glycerol-3-phosphate transporter), member 2	2.5	5.22E-05
1437046_x_at	Anxa9	annexin A9	2.5	8.92E-05
1428527_at	Snx7	sorting nexin 7	2.5	0.000194275
1423266_at	Mell1	mel transforming oncogene-like 1	2.5	0.000151562
1448449_at	Ripk3	receptor-interacting serine-threonine kinase 3	2.5	0.003621477
1451796_s_at	Hdc	histidine decarboxylase	2.5	0.006831123
1419651_at	2610200G18Rik	RIKEN cDNA 2610200G18 gene	2.5	0.000473036
1426362_at	5730537D05Rik	RIKEN cDNA 5730537D05 gene	2.5	0.000276923
1424807_at	Lama4	laminin, alpha 4	2.5	1.50E-05
1438321_x_at	---	---	2.5	9.89E-05
1434228_at	---	gene model 1024, (NCBI)	2.5	3.42E-06
1452352_at	Tpbpb	trophoblast specific protein beta	2.5	0.010118284
1428967_at	A330103N21Rik	RIKEN cDNA A330103N21 gene	2.5	0.002867477
1420664_s_at	Procr	protein C receptor, endothelial	2.5	0.014874505
1451006_at	Xdh	xanthine dehydrogenase	2.5	0.000115696
1418715_at	Pank1	pantothenate kinase 1	2.5	0.0005037
1438803_s_at	Snx16	sorting nexin 16	2.5	0.009857052
1452714_at	1200003E16Rik	RIKEN cDNA 1200003E16 gene	2.5	0.002957783
1449497_at	Il12b	interleukin 12b	2.5	0.000130494
1428391_at	Rab3il1	RAB3A interacting protein (rabin3)-like 1	2.5	0.000267781
1435463_s_at	Myo1d	myosin ID	2.5	0.008177333
1459868_x_at	---	---	2.5	4.05E-05
1448117_at	Kitl	kit ligand	2.5	2.47E-05
1429244_at	H2-Eb1	histocompatibility 2, class II antigen E beta	2.5	0.000325022
1429809_at	8430438D04Rik	RIKEN cDNA 8430438D04 gene	2.5	0.004831055
1435690_at	9030624J02Rik	RIKEN cDNA 9030624J02 gene	2.5	0.008993889
1416850_s_at	D10Ertd214e	DNA segment, Chr 10, ERATO Doi 214, expressed	2.5	9.31E-05
1420804_s_at	Clecsf8	C-type (calcium dependent, carbohydrate recognition domain) lectin, superfamily member 8	2.5	0.014050452
1457319_at	A130038J17Rik	RIKEN cDNA A130038J17 gene	2.5	0.044991114
1418538_at	Kdelr3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	2.5	4.38E-05
1418989_at	Ctse	cathepsin E	2.5	0.004829374
1426656_at	4930504E06Rik	RIKEN cDNA 4930504E06 gene	2.5	0.000240499
1419206_at	Cd37	CD37 antigen	2.5	0.000258704
1451210_at	Ppap2c	phosphatidic acid phosphatase type 2c	2.4	0.000272274
1457664_x_at	C2	complement component 2 (within H-2S)	2.4	2.71E-05
1423719_at	U46068	cDNA sequence U46068	2.4	0.000410765
1418004_a_at	1810009M01Rik	RIKEN cDNA 1810009M01 gene	2.4	0.023297092
1422631_at	Ahr	aryl-hydrocarbon receptor	2.4	0.003310859
1436541_at	9030624J02Rik	RIKEN cDNA 9030624J02 gene	2.4	0.008757542
1417333_at	Rasa4	RAS p21 protein activator 4	2.4	0.000575587
1452026_a_at	Pla2g12a	phospholipase A2, group XIIA	2.4	0.00202091
1436512_at	Arl7	ADP-ribosylation factor-like 7	2.4	0.018228841
1434709_at	C130076O07Rik	RIKEN cDNA C130076O07 gene	2.4	0.020279495
1448698_at	Ccnd1	cyclin D1	2.4	0.014406695
1455731_at	Slc29a3	solute carrier family 29 (nucleoside transporters), member 3	2.4	1.51E-05
1431611_a_at	Igsf4a	immunoglobulin superfamily, member 4A	2.4	0.001232088
1449553_at	2610200G18Rik	RIKEN cDNA 2610200G18 gene	2.4	1.75E-05
1419747_at	Asgr2	asialoglycoprotein receptor 2	2.4	0.038179835
1431609_a_at	Acp5	acid phosphatase 5, tartrate resistant	2.4	0.000898379
1433605_at	Nkx6-2	NK6 transcription factor related, locus 2 (Drosophila)	2.4	0.000716045
1439189_at	D630023B12Rik	RIKEN cDNA D630023B12 gene	2.4	0.008265549
1457976_at	---	---	2.4	0.000336673
1450129_a_at	Socs6	suppressor of cytokine signaling 6	2.4	0.000315776
1448592_at	Crtap	cartilage associated protein	2.4	5.53E-05
1421456_at	P2ry1	purinergic receptor P2Y, G-protein coupled 1	2.4	0.00200962
1426708_at	Antxr2	anthrax toxin receptor 2	2.4	0.012186032
1421734_at	Il8rb	interleukin 8 receptor, beta	2.4	0.000158444
1451160_s_at	D7Ertd458e	DNA segment, Chr 7, ERATO Doi 458, expressed	2.4	0.010084709
1455793_at	BC035537	cDNA sequence BC035537	2.4	0.000731126
1451340_at	Arid5a	AT rich interactive domain 5A (Mrf1 like)	2.4	0.003648586
1435885_s_at	Itsn1	intersectin 1 (SH3 domain protein 1A)	2.4	3.12E-06
1453076_at	9130211I03Rik	RIKEN cDNA 9130211I03 gene	2.4	0.024212052
1422906_at	Abcg2	ATP-binding cassette, sub-family G (WHITE), member 2	2.4	0.000930857
1448793_a_at	Sdc4	syndecan 4	2.4	0.000244954
1423134_at	BC003324	cDNA sequence BC003324	2.4	0.000616459
1420259_at	Pkp2	plakophilin 2	2.4	8.80E-05
1427247_at	D3Bwg0562e	DNA segment, Chr 3, Brigham & Womens Genetics 0562 expressed	2.4	0.00649821
1420994_at	B3gnt5	UDP-GlcNAc	2.4	0.041826169
1422903_at	Ly86	lymphocyte antigen 86	2.4	0.019429884
1415780_a_at	Armcx2	armadillo repeat containing, X-linked 2	2.4	0.029204657
1417522_at	Fbxo32	F-box only protein 32	2.4	0.027372589
1455091_at	---	---	2.4	0.006631552
