rank	Gene	GB accession	Gene Description
407	FLJ22965	NM_022101	Hypothetical protein FLJ22965
408	TNFRSF1B	NM_001066	Tumor necrosis factor receptor superfamily, member 1B
409	HSPA1A	NM_005345	Heat shock 70kD protein 1A
410	H1F0	BC000145	H1 histone family, member 0
411	GSTTLp28	NM_004832	Glutathione-S-transferase like; glutathione transferase omega
412	HSPC022	NM_014029	HSPC022 protein
413	FLJ11807	NM_024954	Hypothetical protein FLJ11807
414	RNASE1	NM_002933	Ribonuclease, RNase A family, 1 (pancreatic)
415	AL050367	AL050367	Homo sapiens mRNA; cDNA DKFZp564A026 (from clone DKFZp564A026)
416	AK024270	AK024270	Homo sapiens cDNA FLJ14208 fis, clone NT2RP3003264
417	KIAA1677	AB051464	KIAA1677
418	AK026850	AK026850	Homo sapiens cDNA: FLJ23197 fis, clone REC00917
419	CSRP2	NM_001321	Cysteine and glycine-rich protein 2
420	ACTA1	NM_001100	Actin, alpha 1, skeletal muscle
421	HN1	NM_016185	Hematological and neurological expressed 1
422	HRG	NM_000412	Histidine-rich glycoprotein
423	HSPC073	NM_014163	HSPC073 protein
424	YWHAH	NM_003405	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide
425	AK054984	AK054984	Homo sapiens cDNA FLJ30422 fis, clone BRACE2008861
426	AK023269	AK023269	Homo sapiens cDNA FLJ13207 fis, clone NT2RP4000023
427	ITGB4	NM_000213	Integrin, beta 4
428	AK056203	AK056203	Homo sapiens, clone MGC:2867 IMAGE:2988664, mRNA, complete cds
429	SPANXB1	NM_032461	SPANX family, member B1
