rank	accession	p-value	gene description
93	217728_at	0.031	gb:NM_014624.2 /DEF=Homo sapiens S100 calcium-binding protein A6 (calcyclin) (S100A6), mRNA.  /FEA=mRNA /GEN=S100A6 /PROD=S100 calcium-binding protein A6 /DB_XREF=gi:9845517 /UG=Hs.275243 S100 calcium-binding protein A6 (calcyclin) /FL=gb:BC001431.1 gb:NM_014624.2
94	217848_s_at	0.031	gb:NM_021129.1 /DEF=Homo sapiens pyrophosphatase (inorganic) (PP), nuclear gene encoding mitochondrial protein, mRNA.  /FEA=mRNA /GEN=PP /PROD=pyrophosphatase (inorganic) /DB_XREF=gi:11056043 /UG=Hs.184011 pyrophosphatase (inorganic) /FL=gb:NM_021129.1 gb:AF217186.1 gb:BC001022.1 gb:AF154065.1 gb:AB026723.1 gb:AF119665.1
95	220227_at	0.031	gb:NM_024883.1 /DEF=Homo sapiens hypothetical protein FLJ22202 (FLJ22202), mRNA. /FEA=mRNA /GEN=FLJ22202 /PROD=hypothetical protein FLJ22202 /DB_XREF=gi:13376328 /UG=Hs.217754 hypothetical protein FLJ22202 /FL=gb:NM_024883.1
96	212038_s_at	0.031	Consensus includes gb:AL515918 /FEA=EST /DB_XREF=gi:12779411 /DB_XREF=est:AL515918 /CLONE=CS0DA001YJ18 (3 prime) /UG=Hs.149155 voltage-dependent anion channel 1
97	212492_s_at	0.031	Consensus includes gb:AW237172 /FEA=EST /DB_XREF=gi:6569561 /DB_XREF=est:xm66e04.x1 /CLONE=IMAGE:2689182 /UG=Hs.301011 KIAA0876 protein
98	212770_at	0.031	Consensus includes gb:AW873621 /FEA=EST /DB_XREF=gi:8007674 /DB_XREF=est:ho64d03.x1 /CLONE=IMAGE:3042149 /UG=Hs.31305 KIAA1547 protein
99	213947_s_at	0.032	Consensus includes gb:AI867102 /FEA=EST /DB_XREF=gi:5540136 /DB_XREF=est:wd99b10.x1 /CLONE=IMAGE:2339707 /UG=Hs.56966 KIAA0906 protein
100	40225_at	0.032	Cluster Incl. D88435:Homo sapiens mRNA for HsGAK, complete cds /cds=(0,3935) /gb=D88435 /gi=2506079 /ug=Hs.153227 /len=4331
101	201562_s_at	0.032	gb:NM_003104.1 /DEF=Homo sapiens sorbitol dehydrogenase (SORD), mRNA. /FEA=mRNA /GEN=SORD /PROD=sorbitol dehydrogenase /DB_XREF=gi:4507154 /UG=Hs.878 sorbitol dehydrogenase /FL=gb:NM_003104.1 gb:L29008.1 gb:U07361.1
102	220692_at	0.032	gb:NM_014147.1 /DEF=Homo sapiens HSPC047 protein (HSPC047), mRNA. /FEA=mRNA /GEN=HSPC047 /PROD=HSPC047 protein /DB_XREF=gi:7661749 /UG=Hs.278943 HSPC047 protein /FL=gb:AF161532.1 gb:NM_014147.1
103	209099_x_at	0.033	gb:U73936.1 /DEF=Homo sapiens Jagged 1 (HJ1) mRNA, complete cds. /FEA=mRNA /GEN=HJ1 /PROD=Jagged 1 /DB_XREF=gi:1695273 /UG=Hs.91143 jagged 1 (Alagille syndrome) /FL=gb:U61276.1 gb:U73936.1 gb:AF003837.1 gb:AF028593.1 gb:NM_000214.1
104	203035_s_at	0.033	gb:NM_006099.1 /DEF=Homo sapiens protein inhibitor of activated STAT3 (PIAS3), mRNA. /FEA=mRNA /GEN=PIAS3 /PROD=protein inhibitor of activated STAT3 /DB_XREF=gi:5174628 /UG=Hs.76578 protein inhibitor of activated STAT3 /FL=gb:BC001154.1 gb:AB021868.1 gb:NM_006099.1
105	204297_at	0.033	gb:NM_002647.1 /DEF=Homo sapiens phosphoinositide-3-kinase, class 3 (PIK3C3), mRNA. /FEA=mRNA /GEN=PIK3C3 /PROD=phosphoinositide-3-kinase, class 3 /DB_XREF=gi:4505800 /UG=Hs.32971 phosphoinositide-3-kinase, class 3 /FL=gb:NM_002647.1
106	205862_at	0.033	gb:NM_014668.1 /DEF=Homo sapiens KIAA0575 gene product (KIAA0575), mRNA. /FEA=mRNA /GEN=KIAA0575 /PROD=KIAA0575 gene product /DB_XREF=gi:7662187 /UG=Hs.193914 KIAA0575 gene product /FL=gb:AB011147.1 gb:NM_014668.1
107	201563_at	0.034	gb:L29008.1 /DEF=Human L-iditol-2 dehydrogenase mRNA, complete cds. /FEA=mRNA /PROD=L-iditol-2 dehydrogenase /DB_XREF=gi:496077 /UG=Hs.878 sorbitol dehydrogenase /FL=gb:NM_003104.1 gb:L29008.1 gb:U07361.1
108	212787_at	0.034	Consensus includes gb:AI952986 /FEA=EST /DB_XREF=gi:5745296 /DB_XREF=est:wp98b10.x1 /CLONE=IMAGE:2469787 /UG=Hs.159471 ZAP3 protein
109	209568_s_at	0.035	gb:AF186779.1 /DEF=Homo sapiens RGL protein (RGL) mRNA, complete cds. /FEA=mRNA /GEN=RGL /PROD=RGL protein /DB_XREF=gi:7682470 /UG=Hs.79219 RalGDS-like gene; KIAA0959 protein /FL=gb:AF186779.1
110	215054_at	0.035	Consensus includes gb:H16758 /FEA=EST /DB_XREF=gi:882998 /DB_XREF=est:ym34e03.s1 /CLONE=IMAGE:50015 /UG=Hs.89548 erythropoietin receptor
111	200878_at	0.037	Consensus includes gb:AF052094.1 /DEF=Homo sapiens clone 23698 mRNA sequence. /FEA=mRNA /DB_XREF=gi:3360400 /UG=Hs.8136 endothelial PAS domain protein 1 /FL=gb:U51626.1 gb:U81984.1 gb:NM_001430.1
112	219253_at	0.037	gb:NM_024121.1 /DEF=Homo sapiens hypothetical protein FLJ20979 (FLJ20979), mRNA. /FEA=mRNA /GEN=FLJ20979 /PROD=hypothetical protein FLJ20979 /DB_XREF=gi:13129145 /UG=Hs.44680 hypothetical protein FLJ20979 /FL=gb:NM_024121.1
113	201874_at	0.041	Consensus includes gb:BF978611 /FEA=EST /DB_XREF=gi:12345826 /DB_XREF=est:602149061F1 /CLONE=IMAGE:4307822 /UG=Hs.14891 hypothetical protein FLJ21047 /FL=gb:NM_024569.1
114	204792_s_at	0.043	gb:NM_014714.1 /DEF=Homo sapiens KIAA0590 gene product (KIAA0590), mRNA. /FEA=mRNA /GEN=KIAA0590 /PROD=KIAA0590 gene product /DB_XREF=gi:7662193 /UG=Hs.111862 KIAA0590 gene product /FL=gb:AB011162.1 gb:NM_014714.1
115	207610_s_at	0.043	gb:NM_013447.1 /DEF=Homo sapiens egf-like module containing, mucin-like, hormone receptor-like sequence 2 (EMR2), mRNA.  /FEA=mRNA /GEN=EMR2 /PROD=egf-like module containing, mucin-like, hormonereceptor-like sequence 2 /DB_XREF=gi:7305024 /UG=Hs.137354 egf-like module containing, mucin-like, hormone receptor-like sequence 2 /FL=gb:AF114491.1 gb:NM_013447.1
116	212520_s_at	0.043	Consensus includes gb:AI684141 /FEA=EST /DB_XREF=gi:4895435 /DB_XREF=est:tx79f11.x1 /CLONE=IMAGE:2275821 /UG=Hs.78202 SWISNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
117	219471_at	0.043	gb:NM_025113.1 /DEF=Homo sapiens hypothetical protein FLJ21562 (FLJ21562), mRNA. /FEA=mRNA /GEN=FLJ21562 /PROD=hypothetical protein FLJ21562 /DB_XREF=gi:13376686 /UG=Hs.288708 hypothetical protein FLJ21562 /FL=gb:NM_025113.1
118	201319_at	0.045	gb:NM_006471.1 /DEF=Homo sapiens myosin, light polypeptide, regulatory, non-sarcomeric (20kD) (MLCB), mRNA.  /FEA=mRNA /GEN=MLCB /PROD=myosin, light polypeptide, regulatory,non-sarcomeric (20kD) /DB_XREF=gi:5453739 /UG=Hs.233936 myosin, light polypeptide, regulatory, non-sarcomeric (20kD) /FL=gb:NM_006471.1
119	213594_x_at	0.045	Consensus includes gb:AU130523 /FEA=EST /DB_XREF=gi:10990877 /DB_XREF=est:AU130523 /CLONE=NT2RP3000977 /UG=Hs.3530 TLS-associated serine-arginine protein 2
120	203710_at	0.046	gb:NM_002222.1 /DEF=Homo sapiens inositol 1,4,5-triphosphate receptor, type 1 (ITPR1), mRNA.  /FEA=mRNA /GEN=ITPR1 /PROD=inositol 1,4,5-triphosphate receptor, type 1 /DB_XREF=gi:10835022 /UG=Hs.198443 inositol 1,4,5-triphosphate receptor, type 1 /FL=gb:NM_002222.1 gb:D26070.1
121	209962_at	0.046	gb:M34986.1 /DEF=Human erythropoietin receptor mRNA, complete cds. /FEA=mRNA /GEN=EPOR /DB_XREF=gi:182200 /UG=Hs.89548 erythropoietin receptor /FL=gb:M34986.1 gb:M60459.1 gb:NM_000121.2
122	208886_at	0.046	gb:BC000145.1 /DEF=Homo sapiens, H1 histone family, member 0, clone MGC:5241, mRNA, complete cds.  /FEA=mRNA /PROD=H1 histone family, member 0 /DB_XREF=gi:12652786 /UG=Hs.226117 H1 histone family, member 0 /FL=gb:BC000145.1 gb:NM_005318.1
123	210024_s_at	0.048	gb:AB017644.1 /DEF=Homo sapiens mRNA for ubiquitin-conjugating enzyme E2, complete cds.  /FEA=mRNA /GEN=UbcH9 /PROD=ubiquitin-conjugating enzyme E2 /DB_XREF=gi:4586929 /UG=Hs.4890 ubiquitin-conjugating enzyme E2E 3 (homologous to yeast UBC45) /FL=gb:BC003554.1 gb:AB017644.1 gb:AF085362.1 gb:NM_006357.1
124	201338_x_at	0.048	gb:NM_002097.1 /DEF=Homo sapiens general transcription factor IIIA (GTF3A), mRNA. /FEA=mRNA /GEN=GTF3A /PROD=general transcription factor IIIA /DB_XREF=gi:4753158 /UG=Hs.75113 general transcription factor IIIA /FL=gb:D32257.1 gb:NM_002097.1
125	202587_s_at	0.048	gb:BC001116.1 /DEF=Homo sapiens, adenylate kinase 1, clone MGC:1808, mRNA, complete cds.  /FEA=mRNA /PROD=adenylate kinase 1 /DB_XREF=gi:12654562 /UG=Hs.76240 adenylate kinase 1 /FL=gb:BC001116.1 gb:NM_000476.1 gb:AB021871.1
126	208015_at	0.048	gb:NM_015583.1 /DEF=Homo sapiens DKFZP586M0622 protein (DKFZP586M0622), mRNA. /FEA=mRNA /GEN=DKFZP586M0622 /PROD=DKFZP586M0622 protein /DB_XREF=gi:7661687 /UG=Hs.241544 DKFZP586M0622 protein /FL=gb:NM_015583.1
127	208056_s_at	0.048	gb:NM_005187.2 /DEF=Homo sapiens core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (CBFA2T3), mRNA.  /FEA=mRNA /GEN=CBFA2T3 /PROD=core-binding factor, runt domain, alpha subunit2; translocated to, 3 /DB_XREF=gi:7427510 /UG=Hs.110099 core-binding factor, runt domain, alpha subunit 2; translocated to, 3 /FL=gb:NM_005187.2
128	209833_at	0.048	gb:U79115.1 /DEF=Human death adaptor molecule RAIDD (RAIDD) mRNA, complete cds. /FEA=mRNA /GEN=RAIDD /PROD=death adaptor molecule RAIDD /DB_XREF=gi:1785556 /UG=Hs.155566 CASP2 and RIPK1 domain containing adaptor with death domain /FL=gb:U79115.1 gb:U84388.1 gb:NM_003805.1
129	210650_s_at	0.048	gb:BC001304.1 /DEF=Homo sapiens, Similar to aczonin, clone MGC:5486, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to aczonin /DB_XREF=gi:12654916 /UG=Hs.12376 piccolo (presynaptic cytomatrix protein) /FL=gb:BC001304.1
130	212923_s_at	0.048	Consensus includes gb:AK024828.1 /DEF=Homo sapiens cDNA: FLJ21175 fis, clone CAS11071. /FEA=mRNA /DB_XREF=gi:10437233 /UG=Hs.69388 hypothetical protein FLJ20505
131	218444_at	0.048	gb:NM_024105.1 /DEF=Homo sapiens hypothetical protein MGC3136 (MGC3136), mRNA. /FEA=mRNA /GEN=MGC3136 /PROD=hypothetical protein MGC3136 /DB_XREF=gi:13129113 /UG=Hs.77575 hypothetical protein MGC3136 /FL=gb:BC001729.1 gb:NM_024105.1
132	218929_at	0.048	gb:NM_017632.1 /DEF=Homo sapiens hypothetical protein FLJ20036 (FLJ20036), mRNA. /FEA=mRNA /GEN=FLJ20036 /PROD=hypothetical protein FLJ20036 /DB_XREF=gi:8923039 /UG=Hs.32922 hypothetical protein FLJ20036 /FL=gb:NM_017632.1
