Probe Set	Identifier	LocusLink	Name	GeneOntology.txt	ProteinDomain.txt	Cytoband	Description
204485_s_at	NM_005486	10040	target of myb1-like 1 (chicken)	|5768|5737|5622|5623|5764|6886|15031|6810|8151|	|790|3127|	|22|22q|22q13|	gb:NM_005486.1 /DEF=Homo sapiens target of myb1 (chicken) homolog-like 1 (TOM1L1), mRNA.  /FEA=mRNA /GEN=TOM1L1 /PROD=target of myb1 (chicken) homolog-like 1 /DB_XREF=gi:4885638 /UG=Hs.153504 target of myb1 (chicken) homolog-like 1 /FL=gb:NM_005486.1
204503_at	NM_001988	2125	envoplakin	|19815|16327|5886|5622|5623|16020|30054|5198|7398|7397|7345|7275|	|681|	|17|17q|	gb:NM_001988.1 /DEF=Homo sapiens envoplakin (EVPL), mRNA. /FEA=mRNA /GEN=EVPL /PROD=envoplakin /DB_XREF=gi:4503612 /UG=Hs.25482 envoplakin /FL=gb:U53786.1 gb:NM_001988.1
204508_s_at	BC001012	54837	hypothetical protein FLJ20151			|15|15q|15q21|	gb:BC001012.1 /DEF=Homo sapiens, hypothetical protein FLJ20151, clone MGC:1073, mRNA, complete cds.  /FEA=mRNA /PROD=hypothetical protein FLJ20151 /DB_XREF=gi:12654376 /UG=Hs.279916 hypothetical protein FLJ20151 /FL=gb:BC001012.1 gb:NM_017689.1
204509_at	NM_017689	54837	hypothetical protein FLJ20151			|15|15q|15q21|	gb:NM_017689.1 /DEF=Homo sapiens hypothetical protein FLJ20151 (FLJ20151), mRNA. /FEA=mRNA /GEN=FLJ20151 /PROD=hypothetical protein FLJ20151 /DB_XREF=gi:8923149 /UG=Hs.279916 hypothetical protein FLJ20151 /FL=gb:BC001012.1 gb:NM_017689.1
204513_s_at	NM_014800	9844	engulfment and cell motility 1 (ced-12 homolog, C. elegans)			|7|7p|7p14|	gb:NM_014800.1 /DEF=Homo sapiens KIAA0281 gene product (KIAA0281), mRNA. /FEA=mRNA /GEN=KIAA0281 /PROD=KIAA0281 gene product /DB_XREF=gi:7662037 /UG=Hs.31463 KIAA0281 gene product /FL=gb:BC003051.1 gb:D87457.1 gb:NM_014800.1
204528_s_at	NM_004537	4673	nucleosome assembly protein 1-like 1	|6260|67|7049|8151|6259|6139|8152|84|278|5654|5634|5622|5623|8284|8283|	|956|	|12|12q|	gb:NM_004537.1 /DEF=Homo sapiens nucleosome assembly protein 1-like 1 (NAP1L1), mRNA. /FEA=mRNA /GEN=NAP1L1 /PROD=nucleosome assembly protein 1-like 1 /DB_XREF=gi:4758755 /UG=Hs.179662 nucleosome assembly protein 1-like 1 /FL=gb:M86667.1 gb:NM_004537.1
204532_x_at	NM_021027	54600	UDP glycosyltransferase 1 family, polypeptide A9	|8152|8151|16758|16757|16740|3824|	|201|	|2|2q|	gb:NM_021027.1 /DEF=Homo sapiens UDP glycosyltransferase 1 family, polypeptide A9 (UGT1A9), mRNA.  /FEA=mRNA /GEN=UGT1A9 /PROD=UDP glycosyltransferase 1 family, polypeptideA9 /DB_XREF=gi:11276084 /UG=Hs.2056 UDP glycosyltransferase 1 family, polypeptide
204533_at	NM_001565	3627	small inducible cytokine subfamily B (Cys-X-Cys), member 10	|5102|4871|8083|6935|6928|8151|8015|7582|5576|5625|267|5623|7498|7397|7345|7275|7165|7154|7267|6954|6952|9607|9605|9613|6950|9611|8284|8283|4674|4672|16301|3824|16773|16772|16740|19887|19207|30234|7166|	|48|	|4|4q|	gb:NM_001565.1 /DEF=Homo sapiens small inducible cytokine subfamily B (Cys-X-Cys), member 10 (SCYB10), mRNA.  /FEA=mRNA /GEN=SCYB10 /PROD=interferon gamma-induced  precursor /DB_XREF=gi:4504700 /UG=Hs.2248 small inducible cytokine subfamily B (Cys-X-Cys)
204542_at	NM_006456	10610	sialyltransferase		|777|	|17|17q|17q25|	gb:NM_006456.1 /DEF=Homo sapiens sialyltransferase (STHM), mRNA. /FEA=mRNA /GEN=STHM /PROD=sialyltransferase /DB_XREF=gi:5454091 /UG=Hs.288215 sialyltransferase /FL=gb:NM_006456.1 gb:U14550.1
204578_at	NM_014659	9677	KIAA0377 gene product			|15|15q|15q11|	gb:NM_014659.1 /DEF=Homo sapiens KIAA0377 gene product (KIAA0377), mRNA. /FEA=mRNA /GEN=KIAA0377 /PROD=KIAA0377 gene product /DB_XREF=gi:7662083 /UG=Hs.156814 KIAA0377 gene product /FL=gb:AB002375.1 gb:NM_014659.1
204583_x_at	U17040	354	kallikrein 3, (prostate specific antigen)	|8233|16787|3824|	|89|	|19|19q|19q13|	gb:U17040.1 /DEF=Human prostate specific antigen precursor mRNA, complete cds. /FEA=mRNA /PROD=prostate specific antigen precursor /DB_XREF=gi:595945 /UG=Hs.171995 kallikrein 3, (prostate specific antigen) /FL=gb:BC005307.1 gb:NM_001648.1 gb:U17040.1 gb:
204588_s_at	NM_003982	9056	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	|5886|5622|5623|16020|6520|6519|8152|8151|6461|6411|5279|15203|5275|5215|15171|15291|15290|5386|15174|16021|5887|	|324|	|14|14q|14q11|	gb:NM_003982.1 /DEF=Homo sapiens solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 (SLC7A7), mRNA.  /FEA=mRNA /GEN=SLC7A7 /PROD=solute carrier family 7 (cationic amino acidtransporter, y+ system), member 7 /DB_XREF=gi:4507054
204606_at	NM_002989	6366	small inducible cytokine subfamily A (Cys-Cys), member 21	|8083|5102|4871|6935|6928|8151|6955|6952|9607|9605|7154|7267|7165|6954|9613|6950|9611|	|48|	|9|9p|	gb:NM_002989.1 /DEF=Homo sapiens small inducible cytokine subfamily A (Cys-Cys), member 21 (SCYA21), mRNA.  /FEA=mRNA /GEN=SCYA21 /PROD=small inducible cytokine subfamily A (Cys-Cys),member 21 /DB_XREF=gi:4506834 /UG=Hs.57907 small inducible cytokine sub
204608_at	NM_000048	435	argininosuccinate lyase	|5737|5622|5623|50|6807|8152|8151|9063|6520|6519|9056|51|16840|16829|3824|	|206|		gb:NM_000048.1 /DEF=Homo sapiens argininosuccinate lyase (ASL), mRNA. /FEA=mRNA /GEN=ASL /PROD=argininosuccinate lyase /DB_XREF=gi:4502256 /UG=Hs.61258 argininosuccinate lyase /FL=gb:M14218.1 gb:J03058.1 gb:M57638.1 gb:NM_000048.1
204610_s_at	NM_006848	11007	hepatitis delta antigen-interacting protein A	|9406|9405|7582|		|11|	gb:NM_006848.1 /DEF=Homo sapiens hepatitis delta antigen-interacting protein A (DIPA), mRNA.  /FEA=mRNA /GEN=DIPA /PROD=hepatitis delta antigen-interacting protein A /DB_XREF=gi:5803004 /UG=Hs.66713 hepatitis delta antigen-interacting protein A /FL=gb:U6
204620_s_at	NM_004385	1462	chondroitin sulfate proteoglycan 2 (versican)	|7155|7154|8037|5578|5576|7275|5540|5539|5488|	|59|193|84|	|5|5q|5q14|	gb:NM_004385.1 /DEF=Homo sapiens chondroitin sulfate proteoglycan 2 (versican) (CSPG2), mRNA.  /FEA=mRNA /GEN=CSPG2 /PROD=chondroitin sulfate proteoglycan 2 (versican) /DB_XREF=gi:4758081 /UG=Hs.81800 chondroitin sulfate proteoglycan 2 (versican) /FL=gb:
204628_s_at	NM_000212	3690	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	|5887|5886|5622|5623|16020|16021|7155|7154|7596|7599|7582|4895|5194|4888|4872|4871|	|362|	|17|17q|17q21|	gb:NM_000212.1 /DEF=Homo sapiens integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61) (ITGB3), mRNA.  /FEA=mRNA /GEN=ITGB3 /PROD=integrin beta chain, beta 3 precursor /DB_XREF=gi:4557676 /UG=Hs.87149 integrin, beta 3 (platelet glycoprotein IIIa, a
204629_at	NM_013327	29780	parvin, beta			|22|22q|22q13|	gb:NM_013327.1 /DEF=Homo sapiens CGI-56 protein (CGI-56), mRNA. /FEA=mRNA /GEN=CGI-56 /PROD=CGI-56 protein /DB_XREF=gi:7019346 /UG=Hs.8836 beta-parvin /FL=gb:AF237769.1 gb:AF151814.1 gb:NM_013327.1
204639_at	NM_000022	100	adenosine deaminase	|4000|16810|16787|3824|9164|9056|8152|8151|9116|6139|9119|6959|6955|6952|9607|9605|7154|9613|6950|	|962|557|	|20|20q|20q12|	gb:NM_000022.1 /DEF=Homo sapiens adenosine deaminase (ADA), mRNA. /FEA=mRNA /GEN=ADA /PROD=adenosine deaminase /DB_XREF=gi:4557248 /UG=Hs.1217 adenosine deaminase /FL=gb:K02567.1 gb:NM_000022.1
204642_at	NM_001400	1901	endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	|7155|7154|5886|5622|5623|16020|4888|4872|4871|5887|16021|7186|7166|7165|	|1|	|1|1p|	gb:NM_001400.2 /DEF=Homo sapiens endothelial differentiation, sphingolipid G-protein-coupled receptor, 1 (EDG1), mRNA.  /FEA=mRNA /GEN=EDG1 /PROD=endothelial differentiation, sphingolipidG-protein-coupled receptor, 1 /DB_XREF=gi:13027635 /UG=Hs.154210 en
204647_at	NM_004838	9454	Homer, neuronal immediate early gene, 3	|7186|7166|7165|7154|	|568|	|19|19p|19p13|	gb:NM_004838.1 /DEF=Homo sapiens Homer, neuronal immediate early gene, 3 (HOMER-3), mRNA.  /FEA=mRNA /GEN=HOMER-3 /PROD=Homer, neuronal immediate early gene, 3 /DB_XREF=gi:4758549 /UG=Hs.166146 Homer, neuronal immediate early gene, 3 /FL=gb:AF093265.1 gb
204653_at	BF343007	7020	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	|5634|5622|5623|3700|3677|3676|7398|7397|7345|7275|7165|7154|8134|5515|5488|6355|6350|6139|8152|8151|		|6|6p|	Consensus includes gb:BF343007 /FEA=EST /DB_XREF=gi:11290124 /DB_XREF=est:602017119F1 /CLONE=IMAGE:4152580 /UG=Hs.18387 transcription factor AP-2 alpha (activating enhancer-binding protein 2 alpha) /FL=gb:M36711.1 gb:NM_003220.1
204677_at	NM_001795	1003	cadherin 5, type 2, VE-cadherin (vascular epithelium)	|5886|5622|5623|16020|5624|267|7156|16337|7155|7154|8014|5194|	|28|1049|	|16|16q|16q22|	gb:NM_001795.1 /DEF=Homo sapiens cadherin 5, type 2, VE-cadherin (vascular epithelium) (CDH5), mRNA.  /FEA=mRNA /GEN=CDH5 /PROD=cadherin 5, type 2, VE-cadherin (vascularepithelium) /DB_XREF=gi:4502726 /UG=Hs.76206 cadherin 5, type 2, VE-cadherin (vascula
204683_at	NM_000873	3384	intercellular adhesion molecule 2	|5194|5886|5622|5623|16020|5178|5102|4871|5887|16021|		|17|17q|17q23|	gb:NM_000873.2 /DEF=Homo sapiens intercellular adhesion molecule 2 (ICAM2), mRNA. /FEA=mRNA /GEN=ICAM2 /PROD=intercellular adhesion molecule 2 precursor /DB_XREF=gi:12545398 /UG=Hs.83733 intercellular adhesion molecule 2 /FL=gb:NM_000873.2 gb:BC003097.1
204689_at	NM_001529	3087	hematopoietically expressed homeobox	|5634|5622|5623|3677|3676|3700|7275|6959|6955|6952|9607|9605|7154|9613|6950|8151|	|46|	|10|	gb:NM_001529.1 /DEF=Homo sapiens hematopoietically expressed homeobox (HHEX), mRNA. /FEA=mRNA /GEN=HHEX /PROD=hematopoietically expressed homeobox /DB_XREF=gi:10835016 /UG=Hs.118651 hematopoietically expressed homeobox /FL=gb:NM_001529.1 gb:L16499.1 gb:N
204698_at	NM_002201	3669	interferon stimulated gene (20kD)	|5654|5634|5622|5623|8283|8151|	|929|	|15|15q|	gb:NM_002201.2 /DEF=Homo sapiens interferon stimulated gene (20kD) (ISG20), mRNA. /FEA=mRNA /GEN=ISG20 /PROD=interferon stimulated gene (20kD) /DB_XREF=gi:6857799 /UG=Hs.183487 interferon stimulated gene (20kD) /FL=gb:U88964.1 gb:NM_002201.2
204730_at	NM_014747	9783	KIAA0237 gene product			|1|1p|1pter|	gb:NM_014747.1 /DEF=Homo sapiens KIAA0237 gene product (KIAA0237), mRNA. /FEA=mRNA /GEN=KIAA0237 /PROD=KIAA0237 gene product /DB_XREF=gi:7662015 /UG=Hs.78748 KIAA0237 gene product /FL=gb:D87074.1 gb:NM_014747.1
204821_at	NM_006994	10384	butyrophilin, subfamily 3, member A3			|6|6p|6p22|	gb:NM_006994.2 /DEF=Homo sapiens butyrophilin, subfamily 3, member A3 (BTN3A3), mRNA. /FEA=mRNA /GEN=BTN3A3 /PROD=butyrophilin, subfamily 3, member A3 /DB_XREF=gi:6325463 /UG=Hs.167741 butyrophilin, subfamily 3, member A3 /FL=gb:U90548.1 gb:NM_006994.2
204832_s_at	NM_004329	657	bone morphogenetic protein receptor, type IA	|16021|16020|5623|7167|7602|9582|9581|9605|7154|9628|9314|7166|7165|	|69|1064|	|10|10q|10q22|	gb:NM_004329.1 /DEF=Homo sapiens bone morphogenetic protein receptor, type IA (BMPR1A), mRNA.  /FEA=mRNA /GEN=BMPR1A /PROD=bone morphogenetic protein receptor, type IAprecursor /DB_XREF=gi:4757853 /UG=Hs.2534 bone morphogenetic protein receptor, type IA
204834_at	NM_006682	10875	fibrinogen-like 2	|5576|5577|	|147|	|7|7q|7q11|	gb:NM_006682.1 /DEF=Homo sapiens fibrinogen-like 2 (FGL2), mRNA. /FEA=mRNA /GEN=FGL2 /PROD=fibrinogen-like 2 /DB_XREF=gi:5730074 /UG=Hs.2659 fibrinogen-like 2 /FL=gb:NM_006682.1
204864_s_at	NM_002184	3572	interleukin 6 signal transducer (gp130, oncostatin M receptor)	|4888|4872|4871|5062|5057|6955|6952|9607|9605|7154|5886|5622|5623|16020|7165|5887|16021|7166|	|41|	|5|5q|	gb:NM_002184.1 /DEF=Homo sapiens interleukin 6 signal transducer (gp130, oncostatin M receptor) (IL6ST), mRNA.  /FEA=mRNA /GEN=IL6ST /PROD=interleukin 6 signal transducer (gp130,oncostatin M receptor) /DB_XREF=gi:4504674 /UG=Hs.82065 interleukin 6 signal
204870_s_at	NM_002594	5126	proprotein convertase subtilisin/kexin type 2	|4252|8233|16787|3824|5794|5737|5622|5623|5615|5576|7267|7154|6508|30163|9057|9056|8152|8151|6411|	|82|1483|	|20|20p|20p11|	gb:NM_002594.1 /DEF=Homo sapiens proprotein convertase subtilisinkexin type 2 (PCSK2), mRNA.  /FEA=mRNA /GEN=PCSK2 /PROD=proprotein convertase subtilisinkexin type 2 /DB_XREF=gi:4505646 /UG=Hs.93164 proprotein convertase subtilisinkexin type 2 /FL=gb:J05
204871_at	NM_006980	7978	transcription termination factor, mitochondrial	|5739|5737|5622|5623|3690|3677|3676|3700|6350|6139|8152|8151|		|7|7q|7q21|	gb:NM_006980.1 /DEF=Homo sapiens transcription termination factor, mitochondrial (MTERF), mRNA.  /FEA=mRNA /GEN=MTERF /PROD=transcription termination factor, mitochondrial /DB_XREF=gi:5902009 /UG=Hs.97996 transcription termination factor, mitochondrial /
204882_at	NM_014882	9938	KIAA0053 gene product		|169|620|	|2|2p|	gb:NM_014882.1 /DEF=Homo sapiens KIAA0053 gene product (KIAA0053), mRNA. /FEA=mRNA /GEN=KIAA0053 /PROD=KIAA0053 gene product /DB_XREF=gi:7661881 /UG=Hs.1528 KIAA0053 gene product /FL=gb:D29642.1 gb:NM_014882.1
204897_at	AA897516	5734	prostaglandin E receptor 4 (subtype EP4)	|6955|6952|9607|9605|7154|4888|4872|4871|16021|16020|5623|7186|7166|7165|	|1|	|5|5p|5p13|	Consensus includes gb:AA897516 /FEA=EST /DB_XREF=gi:3034136 /DB_XREF=est:aj62c04.s1 /CLONE=IMAGE:1394886 /UG=Hs.199248 prostaglandin E receptor 4 (subtype EP4) /FL=gb:D28472.1 gb:L25124.1 gb:NM_000958.1 gb:L28175.1
204906_at	BC002363	6196	ribosomal protein S6 kinase, 90kD, polypeptide 2	|5634|5622|5623|7165|7154|7243|7242|4674|4672|16301|3824|16773|16772|16740|	|69|433|	|6|6q|	gb:BC002363.1 /DEF=Homo sapiens, ribosomal protein S6 kinase, 90kD, polypeptide 2, clone MGC:8629, mRNA, complete cds.  /FEA=mRNA /PROD=ribosomal protein S6 kinase, 90kD, polypeptide2 /DB_XREF=gi:12803118 /UG=Hs.301664 ribosomal protein S6 kinase, 90kD,
204921_at	NM_001481	2622	growth arrest-specific 11	|8285|8283|8151|		|16|16q|16q24|	gb:NM_001481.1 /DEF=Homo sapiens growth arrest-specific 11 (GAS11), mRNA. /FEA=mRNA /GEN=GAS11 /PROD=growth arrest-specific 11 /DB_XREF=gi:4503916 /UG=Hs.54877 growth arrest-specific 11 /FL=gb:AF050079.1 gb:NM_001481.1
204924_at	NM_003264	7097	toll-like receptor 2	|4872|4871|6955|6952|9607|9605|7154|5886|5622|5623|16020|7165|6917|6915|8219|16265|3797|3795|3793|5887|16021|	|1582|	|4|4q|	gb:NM_003264.1 /DEF=Homo sapiens toll-like receptor 2 (TLR2), mRNA. /FEA=mRNA /GEN=TLR2 /PROD=toll-like receptor2 /DB_XREF=gi:4507528 /UG=Hs.63668 toll-like receptor 2 /FL=gb:U88878.1 gb:AF051152.1 gb:NM_003264.1
204929_s_at	NM_006634	10791	vesicle-associated membrane protein 5 (myobrevin)	|5886|5622|5623|16020|7498|7397|7345|7275|6886|15031|6810|8151|	|957|	|2|2p|2p11|	gb:NM_006634.1 /DEF=Homo sapiens vesicle-associated membrane protein 5 (myobrevin) (VAMP5), mRNA.  /FEA=mRNA /GEN=VAMP5 /PROD=vesicle-associated membrane protein 5(myobrevin) /DB_XREF=gi:5730111 /UG=Hs.74669 vesicle-associated membrane protein 5 (myobrev
204942_s_at	NM_000695	222	aldehyde dehydrogenase 3 family, member B2	|6629|8152|8151|6066|16903|16491|3824|	|171|	|11|11q|	gb:NM_000695.2 /DEF=Homo sapiens aldehyde dehydrogenase 3 family, member B2 (ALDH3B2), mRNA.  /FEA=mRNA /GEN=ALDH3B2 /PROD=aldehyde dehydrogenase 3B2 /DB_XREF=gi:4580414 /UG=Hs.87539 aldehyde dehydrogenase 3 family, member B2 /FL=gb:U37519.1 gb:NM_000695
204943_at	NM_021641	8038	a disintegrin and metalloproteinase domain 12 (meltrin alpha)	|7498|7397|7345|7275|5886|5622|5623|16020|8233|16787|3824|	|200|1562|1421|	|10|10q|10q26|	gb:NM_021641.1 /DEF=Homo sapiens a disintegrin and metalloproteinase domain 12 (meltrin alpha) (ADAM12), transcript variant 2, mRNA.  /FEA=mRNA /GEN=ADAM12 /PROD=a disintegrin and metalloprotease domain 12,isoform 2 preproprotein /DB_XREF=gi:11496999 /UG
204950_at	NM_014959	22900	tumor up-regulated CARD-containing antagonist of caspase nine		|619|	|19|19q|19q13|	gb:NM_014959.1 /DEF=Homo sapiens KIAA0955 protein (KIAA0955), mRNA. /FEA=mRNA /GEN=KIAA0955 /PROD=KIAA0955 protein /DB_XREF=gi:7662403 /UG=Hs.10031 KIAA0955 protein /FL=gb:AF322184.1 gb:AF331519.1 gb:AY026322.1 gb:AB023172.1 gb:NM_014959.1
204966_at	NM_001703	576	brain-specific angiogenesis inhibitor 2		|90|1825|2|1|	|1|1p|	gb:NM_001703.1 /DEF=Homo sapiens brain-specific angiogenesis inhibitor 2 (BAI2), mRNA. /FEA=mRNA /GEN=BAI2 /PROD=brain-specific angiogenesis inhibitor 2 /DB_XREF=gi:4502356 /UG=Hs.200586 brain-specific angiogenesis inhibitor 2 /FL=gb:AB005298.1 gb:NM_001
204986_s_at	NM_016151	51677	prostate derived STE20-like kinase PSK		|69|		gb:NM_016151.1 /DEF=Homo sapiens prostate derived STE20-like kinase PSK (PSK), mRNA. /FEA=mRNA /GEN=PSK /PROD=prostate derived STE20-like kinase PSK /DB_XREF=gi:7706400 /UG=Hs.66141 prostate derived STE20-like kinase PSK /FL=gb:AF061943.1 gb:NM_016151.1
205003_at	NM_014705	9732	KIAA0716 gene product			|7|7q|7q22|	gb:NM_014705.1 /DEF=Homo sapiens KIAA0716 gene product (KIAA0716), mRNA. /FEA=mRNA /GEN=KIAA0716 /PROD=KIAA0716 gene product /DB_XREF=gi:7662263 /UG=Hs.118140 KIAA0716 gene product /FL=gb:AB018259.1 gb:NM_014705.1
205009_at	NM_003225	7031	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	|7586|7582|6952|9607|9605|7154|5975|8152|8151|	|88|	|21|21q|21q22|	gb:NM_003225.1 /DEF=Homo sapiens trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in) (TFF1), mRNA.  /FEA=mRNA /GEN=TFF1 /PROD=trefoil factor 1 (breast cancer,estrogen-inducible sequence expressed in) /DB_XREF=gi:4507450 /UG=Hs.1406
205016_at	NM_003236	7039	transforming growth factor, alpha	|5515|5488|5886|5622|5623|16020|5625|267|8283|8151|4871|5615|5576|7267|7154|4713|4672|16301|3824|16773|16772|16740|5887|16021|8083|5102|		|2|2p|	gb:NM_003236.1 /DEF=Homo sapiens transforming growth factor, alpha (TGFA), mRNA. /FEA=mRNA /GEN=TGFA /PROD=transforming growth factor, alpha /DB_XREF=gi:4507460 /UG=Hs.170009 transforming growth factor, alpha /FL=gb:BC005308.1 gb:M31172.1 gb:K03222.1 gb:
205095_s_at	NM_005177	535	ATPase, H+ transporting, lysosomal (vacuolar proton pump) non-catalytic accessory protein 1A (110/116kD)		|1496|	|17|17q|	gb:NM_005177.1 /DEF=Homo sapiens ATPase, H+ transporting, lysosomal (vacuolar proton pump) non-catalytic accessory protein 1A (110116kD) (ATP6N1A), mRNA.  /FEA=mRNA /GEN=ATP6N1A /PROD=ATPase, H+ transporting, lysosomal (vacuolarproton pump) non-catalytic
205105_at	NM_002372	4124	mannosidase, alpha, class 2A, member 1	|5794|5737|5622|5623|5624|267|9059|9058|8152|8151|9100|6411|19538|4553|16798|16787|3824|	|1074|	|5|5q|5q21|	gb:NM_002372.1 /DEF=Homo sapiens mannosidase, alpha, class 2A, member 1 (MAN2A1), mRNA. /FEA=mRNA /GEN=MAN2A1 /PROD=mannosidase, alpha, class 2A, member 1 /DB_XREF=gi:4758697 /UG=Hs.32965 mannosidase, alpha, class 2A, member 1 /FL=gb:U31520.1 gb:NM_00237
205108_s_at	NM_000384	338	apolipoprotein B (including Ag(x) antigen)	|5102|4871|5792|5624|267|5623|8015|7582|5320|5319|5215|5625|7165|7154|5783|5737|5622|	|1347|	|2|2p|2p24|	gb:NM_000384.1 /DEF=Homo sapiens apolipoprotein B (including Ag(x) antigen) (APOB), mRNA.  /FEA=mRNA /GEN=APOB /PROD=apolipoprotein B precursor /DB_XREF=gi:4502152 /UG=Hs.585 apolipoprotein B (including Ag(x) antigen) /FL=gb:J02610.1 gb:M14162.1 gb:NM_00
205139_s_at	NM_005715	10090	uronyl 2-sulfotransferase	|16782|16740|3824|6464|6411|8152|8151|16021|16020|5623|		|6|6q|6q24|	gb:NM_005715.1 /DEF=Homo sapiens uronyl 2-sulfotransferase (UST), mRNA. /FEA=mRNA /GEN=UST /PROD=uronyl 2-sulfotransferase /DB_XREF=gi:5032218 /UG=Hs.134015 uronyl 2-sulfotransferase /FL=gb:AB020316.1 gb:NM_005715.1
205155_s_at	NM_006946	6712	spectrin, beta, non-erythrocytic 2	|5856|5737|5622|5623|8092|5515|5488|5200|5198|7148|8151|	|169|435|307|	|11|11q|	gb:NM_006946.1 /DEF=Homo sapiens spectrin, beta, non-erythrocytic 2 (SPTBN2), mRNA. /FEA=mRNA /GEN=SPTBN2 /PROD=spectrin, beta, non-erythrocytic 2 /DB_XREF=gi:5902121 /UG=Hs.26915 spectrin, beta, non-erythrocytic 2 /FL=gb:AB008567.1 gb:NM_006946.1
205201_at	NM_000168	2737	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)	|5634|5622|5623|5737|7165|7154|3700|3677|3676|7275|7345|6350|6139|8152|8151|6605|6411|6913|16482|6810|		|7|7p|	gb:NM_000168.2 /DEF=Homo sapiens GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome) (GLI3), mRNA.  /FEA=mRNA /GEN=GLI3 /PROD=GLI-Kruppel family member GLI3 /DB_XREF=gi:13518031 /UG=Hs.72916 GLI-Kruppel family member GLI3 (Greig cephalo
205221_at	NM_000187	3081	homogentisate 1,2-dioxygenase (homogentisate oxidase)	|6570|6805|9410|9628|9605|7154|8152|8151|9072|6520|6519|9063|9056|16701|16491|3824|		|3|3q|3q21|	gb:NM_000187.1 /DEF=Homo sapiens homogentisate 1,2-dioxygenase (homogentisate oxidase) (HGD), mRNA.  /FEA=mRNA /GEN=HGD /PROD=homogentisate 1,2-dioxygenase /DB_XREF=gi:4504380 /UG=Hs.15113 homogentisate 1,2-dioxygenase (homogentisate oxidase) /FL=gb:U630
205240_at	NM_013296	29899	LGN protein	|7186|7166|7165|7154|	|2188|515|	|1|1p|1p13|	gb:NM_013296.1 /DEF=Homo sapiens LGN protein (HSU54999), mRNA. /FEA=mRNA /GEN=HSU54999 /PROD=LGN protein /DB_XREF=gi:9558734 /UG=Hs.278338 LGN protein /FL=gb:U54999.1 gb:NM_013296.1
205248_at	NM_005128	9980	chromosome 21 open reading frame 5			|21|21q|21q22|	gb:NM_005128.1 /DEF=Homo sapiens chromosome 21 open reading frame 5 (C21ORF5), mRNA. /FEA=mRNA /GEN=C21ORF5 /PROD=chromosome 21 open reading frame 5 /DB_XREF=gi:4826652 /UG=Hs.129781 chromosome 21 open reading frame 5 /FL=gb:NM_005128.1
205258_at	NM_002193	3625	inhibin, beta B (activin AB beta polypeptide)	|5102|4871|5179|5576|7267|7154|	|688|19|		gb:NM_002193.1 /DEF=Homo sapiens inhibin, beta B (activin AB beta polypeptide) (INHBB), mRNA.  /FEA=mRNA /GEN=INHBB /PROD=inhibin beta B subunit precursor /DB_XREF=gi:9257224 /UG=Hs.1735 inhibin, beta B (activin AB beta polypeptide) /FL=gb:NM_002193.1
205269_at	AI123251	3937	lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76kD)	|6955|6952|9607|9605|7154|5515|5488|7167|7602|9582|9581|9628|9314|7166|7165|	|17|	|5|5q|5q33|	Consensus includes gb:AI123251 /FEA=EST /DB_XREF=gi:3539017 /DB_XREF=est:qa47g03.x1 /CLONE=IMAGE:1689940 /UG=Hs.2488 lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76kD) /FL=gb:NM_005565.2 gb:U20158.1
205286_at	U85658	7022	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	|7267|7154|3700|3677|3676|6355|6350|6139|8152|8151|		|20|20q|20q13|	gb:U85658.1 /DEF=Human transcription factor ERF-1 mRNA, complete cds. /FEA=mRNA /PROD=ERF-1 /DB_XREF=gi:2058552 /UG=Hs.61796 transcription factor AP-2 gamma (activating enhancer-binding protein 2 gamma) /FL=gb:U85658.1 gb:NM_003222.1
205303_at	BF514158	3764	potassium inwardly-rectifying channel, subfamily J, member 8	|5624|267|5623|6812|6811|6810|8151|5887|5886|5622|16020|16021|15268|15267|5215|	|1007|	|12|12p|12p11|	Consensus includes gb:BF514158 /FEA=EST /DB_XREF=gi:11599337 /DB_XREF=est:UI-H-BW1-anc-e-06-0-UI.s1 /CLONE=IMAGE:3072082 /UG=Hs.102308 potassium inwardly-rectifying channel, subfamily J, member 8 /FL=gb:D50312.1 gb:BC000544.1 gb:NM_004982.1
205304_s_at	NM_004982	3764	potassium inwardly-rectifying channel, subfamily J, member 8	|5624|267|5623|6812|6811|6810|8151|5887|5886|5622|16020|16021|15268|15267|5215|	|1007|	|12|12p|12p11|	gb:NM_004982.1 /DEF=Homo sapiens potassium inwardly-rectifying channel, subfamily J, member 8 (KCNJ8), mRNA.  /FEA=mRNA /GEN=KCNJ8 /PROD=potassium inwardly-rectifying channel, subfamilyJ, member 8 /DB_XREF=gi:4826801 /UG=Hs.102308 potassium inwardly-rect
