Cluster	GeneID	Symbol	Description	Probeset(s)	GO Name
1.Inv3-c5-overlap-GO	ENSMUSG00000024962	Vegfb	vascular endothelial growth factor B	103001_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000026185	Igfbp5	insulin-like growth factor binding protein 5	100566_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000030717	Nupr1	nuclear protein 1	160108_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000004040	Stat3	signal transducer and activator of transcription 3	99099_at|99100_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000050953	Gja1	gap junction membrane channel protein alpha 1	100064_f_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000010095	Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	99133_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000035551	Igfbpl1	insulin-like growth factor binding protein-like 1	162354_f_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000022105	Rb1	retinoblastoma 1	97948_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000017493	Igfbp4	insulin-like growth factor binding protein 4	101571_g_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000002308	Cd320	CD320 antigen	102343_at	growth
1.Inv3-c5-overlap-GO	ENSMUSG00000036390	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha	102292_at	negative regulation of enzyme activity
1.Inv3-c5-overlap-GO	ENSMUSG00000032562	Gnai2	guanine nucleotide binding protein, alpha inhibiting 2	99596_f_at|99597_at|99598_g_at	negative regulation of enzyme activity
1.Inv3-c5-overlap-GO	ENSMUSG00000007564	Ppp2r1a	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	92573_at	negative regulation of enzyme activity
1.Inv3-c5-overlap-GO	ENSMUSG00000023067	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	94881_at	negative regulation of enzyme activity
1.Inv3-c5-overlap-GO	ENSMUSG00000032011	Thy1	thymus cell antigen 1, theta	99057_at	negative regulation of enzyme activity
1.Inv3-c5-overlap-GO	ENSMUSG00000002289	Angptl4	angiopoietin-like 4	96119_s_at	negative regulation of enzyme activity
1.Inv3-c5-overlap-GO	ENSMUSG00000019960	Dusp6	dual specificity phosphatase 6	93285_at	negative regulation of enzyme activity
1.Inv3-c5-overlap-GO	ENSMUSG00000059552	Trp53	transformation related protein 53	104154_at	negative regulation of enzyme activity
1.Inv3-c5-overlap-GO	ENSMUSG00000022105	Rb1	retinoblastoma 1	97948_at	negative regulation of enzyme activity
1.Inv3-c5-overlap-GO	ENSMUSG00000031628	Casp3	caspase 3	98436_s_at	negative regulation of enzyme activity
1.Inv3-c5-overlap-GO	ENSMUSG00000003617	Cp	ceruloplasmin	92851_at	copper ion homeostasis
1.Inv3-c5-overlap-GO	ENSMUSG00000031996	Aplp2	amyloid beta (A4) precursor-like protein 2	93498_s_at	copper ion homeostasis
1.Inv3-c5-overlap-GO	ENSMUSG00000027338	Prnp	prion protein	100606_at	copper ion homeostasis
1.Inv3-c5-overlap-GO	ENSMUSG00000018585	Atox1	ATX1 (antioxidant protein 1) homolog 1 (yeast)	101984_at	copper ion homeostasis
1.Inv3-c5-overlap-GO	ENSMUSG00000022892	App	amyloid beta (A4) precursor protein	93063_at	copper ion homeostasis
1.Inv3-c5-overlap-GO	ENSMUSG00000044252	Osbpl1a	oxysterol binding protein-like 1A	93316_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000010067	Rassf1	Ras association (RalGDS/AF-6) domain family 1	102379_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000021866	Anxa11	annexin A11	102815_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000028646	Rragc	Ras-related GTP binding C	98950_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000018001	Pscd3	pleckstrin homology, Sec7 and coiled-coil domains 3	103433_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000041417	Pik3r1	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	96592_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000032011	Thy1	thymus cell antigen 1, theta	99057_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000018167	Stard3	START domain containing 3	95607_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000002985	Apoe	apolipoprotein E	95356_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000016024	Lbp	lipopolysaccharide binding protein	96123_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000021417	Peci	peroxisomal delta3, delta2-enoyl-Coenzyme A isomerase	94485_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000029994	Anxa4	annexin A4	100584_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000006373	Pgrmc1	progesterone receptor membrane component 1	101585_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000028076	Cd1d1	CD1d1 antigen	101897_g_at|103422_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000046402	Rbp1	retinol binding protein 1, cellular	104716_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000046032	Snx12	sorting nexin 12	102320_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000032231	Anxa2	annexin A2	100569_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000017754	Pltp	phospholipid transfer protein	100927_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000021910	Nisch	nischarin	94236_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000045954	Sdpr	serum deprivation response	160373_i_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000001247	Lsr	lipolysis stimulated lipoprotein receptor	99452_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000024659	Anxa1	annexin A1	161703_f_at|93037_i_at|93038_f_at	lipid binding
1.Inv3-c5-overlap-GO	ENSMUSG00000030302	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2	95324_at	di-\, tri-valent inorganic cation transporter activity
1.Inv3-c5-overlap-GO	ENSMUSG00000030287	Itpr2	inositol 1,4,5-triphosphate receptor 2	101441_i_at	di-\, tri-valent inorganic cation transporter activity
1.Inv3-c5-overlap-GO	ENSMUSG00000003617	Cp	ceruloplasmin	92851_at	di-\, tri-valent inorganic cation transporter activity
1.Inv3-c5-overlap-GO	ENSMUSG00000018585	Atox1	ATX1 (antioxidant protein 1) homolog 1 (yeast)	101984_at	di-\, tri-valent inorganic cation transporter activity
1.Inv3-c5-overlap-GO	ENSMUSG00000022797	Tfrc	transferrin receptor	103957_at	di-\, tri-valent inorganic cation transporter activity
1.Inv3-c5-overlap-GO	ENSMUSG00000005802	Slc30a4	solute carrier family 30 (zinc transporter), member 4	95571_at	di-\, tri-valent inorganic cation transporter activity
1.Inv3-c5-overlap-GO	ENSMUSG00000062908	Acadm	acetyl-Coenzyme A dehydrogenase, medium chain	92581_at	fatty acid beta-oxidation
1.Inv3-c5-overlap-GO	ENSMUSG00000063684	Hadhb	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	96913_at	fatty acid beta-oxidation
1.Inv3-c5-overlap-GO	ENSMUSG00000020777	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl	101515_at	fatty acid beta-oxidation
1.Inv3-c5-overlap-GO	ENSMUSG00000024900	Cpt1a	carnitine palmitoyltransferase 1a, liver	93320_at	fatty acid beta-oxidation
1.Inv3-c5-overlap-GO	ENSMUSG00000053898	Ech1	enoyl coenzyme A hydratase 1, peroxisomal	93754_at	fatty acid beta-oxidation
1.Inv3-c5-overlap-GO	ENSMUSG00000024927	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	97813_at	positive regulation of I-kappaB kinase/NF-kappaB cascade
1.Inv3-c5-overlap-GO	ENSMUSG00000038668	Edg2	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	100435_at	positive regulation of I-kappaB kinase/NF-kappaB cascade
1.Inv3-c5-overlap-GO	ENSMUSG00000030339	Ltbr	lymphotoxin B receptor	97980_at	positive regulation of I-kappaB kinase/NF-kappaB cascade
1.Inv3-c5-overlap-GO	ENSMUSG00000025647	Scotin	scotin gene	95102_at	positive regulation of I-kappaB kinase/NF-kappaB cascade
1.Inv3-c5-overlap-GO	ENSMUSG00000030341	Tnfrsf1a	tumor necrosis factor receptor superfamily, member 1a	92793_at	positive regulation of I-kappaB kinase/NF-kappaB cascade
1.Inv3-c5-overlap-GO	ENSMUSG00000027566	Psma7	proteasome (prosome, macropain) subunit, alpha type 7	93988_at	proteasome complex (sensu Eukaryota)
1.Inv3-c5-overlap-GO	ENSMUSG00000024338	Psmb8	proteosome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)	102791_at	proteasome complex (sensu Eukaryota)
1.Inv3-c5-overlap-GO	ENSMUSG00000002102	Psmc3	proteasome (prosome, macropain) 26S subunit, ATPase 3	93734_i_at	proteasome complex (sensu Eukaryota)
1.Inv3-c5-overlap-GO	ENSMUSG00000021178	Psmc1	protease (prosome, macropain) 26S subunit, ATPase 1	160152_at	proteasome complex (sensu Eukaryota)
1.Inv3-c5-overlap-GO	ENSMUSG00000030751	Psma1	proteasome (prosome, macropain) subunit, alpha type 1	96892_at	proteasome complex (sensu Eukaryota)
1.Inv3-c5-overlap-GO	ENSMUSG00000017428	Psmd11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	160305_at	proteasome complex (sensu Eukaryota)
1.Inv3-c5-overlap-GO	ENSMUSG00000068749	Psma5	proteasome (prosome, macropain) subunit, alpha type 5	94841_at	proteasome complex (sensu Eukaryota)
1.Inv3-c5-overlap-GO	ENSMUSG00000022912	Pros1	protein S (alpha)	104728_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000044258	Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha	96912_s_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000017716	Birc5	baculoviral IAP repeat-containing 5	101521_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000030336	Tnfrsf7	tumor necrosis factor receptor superfamily, member 7	102281_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000006007	Pdc	phosducin	162267_r_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000031996	Aplp2	amyloid beta (A4) precursor-like protein 2	93498_s_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000026864	Hspa5	heat shock 70kD protein 5 (glucose-regulated protein)	101955_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000022892	App	amyloid beta (A4) precursor protein	93063_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000038393	Txnip	thioredoxin interacting protein	160547_s_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000054428	Atpif1	ATPase inhibitory factor 1	93984_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000005054	Cstb	cystatin B	100581_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000023224	Serping1	serine (or cysteine) peptidase inhibitor, clade G, member 1	99081_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000027315	Spint1	serine protease inhibitor, Kunitz type 1	97206_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000045827	Serpinb9	serine (or cysteine) peptidase inhibitor, clade B, member 9	98405_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000017002	Slpi	secretory leukocyte peptidase inhibitor	161650_at|92858_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000000753	Serpinf1	serine (or cysteine) peptidase inhibitor, clade F, member 1	93574_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000067006	Serpinb5	serine (or cysteine) peptidase inhibitor, clade B, member 5	100034_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000029994	Anxa4	annexin A4	100584_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000002289	Angptl4	angiopoietin-like 4	96119_s_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000031628	Casp3	caspase 3	98436_s_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000032231	Anxa2	annexin A2	100569_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000021585	Cast	calpastatin	95062_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000037664	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	95471_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000023067	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	94881_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000038650	Rnh1	ribonuclease/angiogenin inhibitor 1	100621_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000042845	Wfdc12	WAP four-disulfide core domain 12	160914_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GO	ENSMUSG00000024659	Anxa1	annexin A1	161703_f_at|93037_i_at|93038_f_at	enzyme inhibitor activity
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000008855	Hdac5	histone deacetylase 5	104376_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000024927	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	97813_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000030287	Itpr2	inositol 1,4,5-triphosphate receptor 2	101441_i_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000003873	Bax	Bcl2-associated X protein	93536_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000006304	Arpc2	actin related protein 2/3 complex, subunit 2	93288_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000029465	Arpc3	actin related protein 2/3 complex, subunit 3	95434_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000004040	Stat3	signal transducer and activator of transcription 3	99099_at|99100_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000006932	Ctnnb1	catenin (cadherin associated protein), beta 1	160430_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000019960	Dusp6	dual specificity phosphatase 6	93285_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000006728	Cdk4	cyclin-dependent kinase 4	160538_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000016528	Mapkapk2	MAP kinase-activated protein kinase 2	160353_i_at|95721_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000034330	Plcg2	phospholipase C, gamma 2	103503_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000001729	Akt1	thymoma viral proto-oncogene 1	100970_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000031714	Gab1	growth factor receptor bound protein 2-associated protein 1	160714_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000022105	Rb1	retinoblastoma 1	97948_at	Mm_B_Cell_Receptor_NetPath_12
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000001729	Akt1	thymoma viral proto-oncogene 1	100970_at	Mm_IL-7_NetPath_19
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000004040	Stat3	signal transducer and activator of transcription 3	99099_at|99100_at	Mm_IL-7_NetPath_19
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000003873	Bax	Bcl2-associated X protein	93536_at	Mm_IL-7_NetPath_19
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000022105	Rb1	retinoblastoma 1	97948_at	Mm_IL-7_NetPath_19
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000006728	Cdk4	cyclin-dependent kinase 4	160538_at	Mm_IL-7_NetPath_19
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000026003	Acadl	acetyl-Coenzyme A dehydrogenase, long-chain	95425_at	Mm_Fatty_Acid_Beta_Oxidation_Meta_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000031278	Acsl4	acyl-CoA synthetase long-chain family member 4	102381_at|104017_at	Mm_Fatty_Acid_Beta_Oxidation_Meta_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000032602	Slc25a20	solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20	95695_at	Mm_Fatty_Acid_Beta_Oxidation_Meta_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000025059	Gyk	glycerol kinase	97525_at	Mm_Fatty_Acid_Beta_Oxidation_Meta_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000003809	Gcdh	glutaryl-Coenzyme A dehydrogenase	160194_at	Mm_Fatty_Acid_Beta_Oxidation_Meta_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000062908	Acadm	acetyl-Coenzyme A dehydrogenase, medium chain	92581_at	Mm_Fatty_Acid_Beta_Oxidation_Meta_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000003123	Lipe	lipase, hormone sensitive	103083_at	Mm_Fatty_Acid_Beta_Oxidation_Meta_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000063684	Hadhb	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	96913_at	Mm_Fatty_Acid_Beta_Oxidation_Meta_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000024900	Cpt1a	carnitine palmitoyltransferase 1a, liver	93320_at	Mm_Fatty_Acid_Beta_Oxidation_Meta_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000028063	Lmna	lamin A	98059_s_at	Mm_Fas_Pathway_and_Stress_Induction_of_HSP_Regulation_Biocarta
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000022105	Rb1	retinoblastoma 1	97948_at	Mm_Fas_Pathway_and_Stress_Induction_of_HSP_Regulation_Biocarta
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000031628	Casp3	caspase 3	98436_s_at	Mm_Fas_Pathway_and_Stress_Induction_of_HSP_Regulation_Biocarta
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000016528	Mapkapk2	MAP kinase-activated protein kinase 2	160353_i_at|95721_at	Mm_Fas_Pathway_and_Stress_Induction_of_HSP_Regulation_Biocarta
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000026003	Acadl	acetyl-Coenzyme A dehydrogenase, long-chain	95425_at	Mm_Fatty_Acid_Beta_Oxidation_1_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000031278	Acsl4	acyl-CoA synthetase long-chain family member 4	102381_at|104017_at	Mm_Fatty_Acid_Beta_Oxidation_1_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000032602	Slc25a20	solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20	95695_at	Mm_Fatty_Acid_Beta_Oxidation_1_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000025059	Gyk	glycerol kinase	97525_at	Mm_Fatty_Acid_Beta_Oxidation_1_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000003123	Lipe	lipase, hormone sensitive	103083_at	Mm_Fatty_Acid_Beta_Oxidation_1_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000063684	Hadhb	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	96913_at	Mm_Fatty_Acid_Beta_Oxidation_1_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000024900	Cpt1a	carnitine palmitoyltransferase 1a, liver	93320_at	Mm_Fatty_Acid_Beta_Oxidation_1_BiGCaT
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000003873	Bax	Bcl2-associated X protein	93536_at	Mm_IL-3_NetPath_15
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000028163	Nfkb1	nuclear factor of kappa light chain gene enhancer in B-cells 1, p105	98427_s_at	Mm_IL-3_NetPath_15
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000004040	Stat3	signal transducer and activator of transcription 3	99099_at|99100_at	Mm_IL-3_NetPath_15
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000017716	Birc5	baculoviral IAP repeat-containing 5	101521_at	Mm_IL-3_NetPath_15
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000021823	Vcl	vinculin	94963_at	Mm_IL-3_NetPath_15
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000001729	Akt1	thymoma viral proto-oncogene 1	100970_at	Mm_IL-3_NetPath_15
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000016528	Mapkapk2	MAP kinase-activated protein kinase 2	160353_i_at|95721_at	Mm_IL-3_NetPath_15
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000031714	Gab1	growth factor receptor bound protein 2-associated protein 1	160714_at	Mm_IL-3_NetPath_15
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000002147	Stat6	signal transducer and activator of transcription 6	94331_at	Mm_IL-3_NetPath_15
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000027566	Psma7	proteasome (prosome, macropain) subunit, alpha type 7	93988_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000032596	Ube1l	ubiquitin-activating enzyme E1-like	102279_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000032216	Nedd4	neural precursor cell expressed, developmentally down-regulted gene 4	93101_s_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000024338	Psmb8	proteosome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)	102791_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000002102	Psmc3	proteasome (prosome, macropain) 26S subunit, ATPase 3	93734_i_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000019505	Ubb	gene model 1821, (NCBI)	101255_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000044285	Rps27a	gene model 1821, (NCBI)	101255_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000022216	Psme1	proteasome (prosome, macropain) 28 subunit, alpha	101510_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000021178	Psmc1	protease (prosome, macropain) 26S subunit, ATPase 1	160152_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000005625	Psmd4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	94302_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000030751	Psma1	proteasome (prosome, macropain) subunit, alpha type 1	96892_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000049932	H2afx	H2A histone family, member X	93019_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000017428	Psmd11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	160305_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000068749	Psma5	proteasome (prosome, macropain) subunit, alpha type 5	94841_at	Mm_Proteasome_Degradation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000031278	Acsl4	acyl-CoA synthetase long-chain family member 4	102381_at|104017_at	Mm_Mitochondrial_fatty_acid_betaoxidation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000062908	Acadm	acetyl-Coenzyme A dehydrogenase, medium chain	92581_at	Mm_Mitochondrial_fatty_acid_betaoxidation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000026003	Acadl	acetyl-Coenzyme A dehydrogenase, long-chain	95425_at	Mm_Mitochondrial_fatty_acid_betaoxidation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000024900	Cpt1a	carnitine palmitoyltransferase 1a, liver	93320_at	Mm_Mitochondrial_fatty_acid_betaoxidation
1.Inv3-c5-overlap-GenMAPP	ENSMUSG00000032602	Slc25a20	solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20	95695_at	Mm_Mitochondrial_fatty_acid_betaoxidation
1.Inv3-c5-overlap-Panther	ENSMUSG00000024927	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	97813_at	Cell proliferation and differentiation 2
1.Inv3-c5-overlap-Panther	ENSMUSG00000024515	Smad4	MAD homolog 4 (Drosophila)	160440_at	Cell proliferation and differentiation 2
1.Inv3-c5-overlap-Panther	ENSMUSG00000002603	Tgfb1	transforming growth factor, beta 1	101918_at	Cell proliferation and differentiation 2
1.Inv3-c5-overlap-Panther	ENSMUSG00000042312	S100a13	S100 calcium binding protein A13	100960_g_at	Cell proliferation and differentiation 2
1.Inv3-c5-overlap-Panther	ENSMUSG00000021253	Tgfb3	transforming growth factor, beta 3	102751_at	Cell proliferation and differentiation 2
1.Inv3-c5-overlap-Panther	ENSMUSG00000024962	Vegfb	vascular endothelial growth factor B	103001_at	Cell proliferation and differentiation 2
1.Inv3-c5-overlap-Panther	ENSMUSG00000027298	Tyro3	TYRO3 protein tyrosine kinase 3	96766_s_at	Cell proliferation and differentiation 2
1.Inv3-c5-overlap-Panther	ENSMUSG00000002147	Stat6	signal transducer and activator of transcription 6	94331_at	Cell proliferation and differentiation 2
1.Inv3-c5-overlap-Panther	ENSMUSG00000034957	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	98447_at	Hematopoiesis
1.Inv3-c5-overlap-Panther	ENSMUSG00000003873	Bax	Bcl2-associated X protein	93536_at	Hematopoiesis
1.Inv3-c5-overlap-Panther	ENSMUSG00000004040	Stat3	signal transducer and activator of transcription 3	99099_at|99100_at	Hematopoiesis
1.Inv3-c5-overlap-Panther	ENSMUSG00000029832	Nfe2l3	nuclear factor, erythroid derived 2, like 3	99527_at	Hematopoiesis
1.Inv3-c5-overlap-Panther	ENSMUSG00000061944	Igl-V1	immunoglobulin lambda chain, variable 1	93638_s_at	Hematopoiesis
1.Inv3-c5-overlap-Panther	ENSMUSG00000016494	Cd34	CD34 antigen	160358_at	Hematopoiesis
1.Inv3-c5-overlap-Panther	ENSMUSG00000031714	Gab1	growth factor receptor bound protein 2-associated protein 1	160714_at	Hematopoiesis
1.Inv3-c5-overlap-Panther	ENSMUSG00000002147	Stat6	signal transducer and activator of transcription 6	94331_at	Hematopoiesis
