rank	Gene	GB accession	Gene Description
383	AK000989	AK000989	Homo sapiens cDNA FLJ10127 fis, clone HEMBA1002973, moderately similar to CAMP-DEPENDENT 3’,5’-CYCLI
384	FLJ22595	NM_025047	Hypothetical protein FLJ22595
385	BC005220	BC005220	Homo sapiens, Similar to chaperonin containing TCP1, subunit 8 (theta), clone MGC:12240 IMAGE:393033
386	AK025291	AK025291	Homo sapiens cDNA: FLJ21638 fis, clone COL08269
387	GPRK7	NM_017572	G protein-coupled receptor kinase 7
388	FLJ13385	NM_024853	Hypothetical protein FLJ13385
389	G1P3	NM_022873	Interferon, alpha-inducible protein (clone IFI-6-16)
390	ATIP1	AB033114	AT2 receptor-interacting protein 1
391	THBD	NM_000361	Thrombomodulin
392	AK023326	AK023326	Homo sapiens cDNA FLJ13264 fis, clone OVARC1000936, weakly similar to COAT PROTEIN GP37
393	AL157491	AL157491	Homo sapiens mRNA; cDNA DKFZp434K1111 (from clone DKFZp434K1111)
394	FLJ14621	NM_032811	Hypothetical protein FLJ14621
395	KIAA1273	AB033099	KIAA1273 protein
396	PROL4	NM_007244	Proline rich 4 (lacrimal)
