Rank	GO category	GO term	GO description	Unique id	Annotations	Description	GB acc	UG cluster	Gene symbol	Map Location	Parametric p-value	Geom mean of ratios in class 1	Geom mean of ratios in class 2	Ratio of geom means
137	5201	MF	extracellular matrix structural constituent	A_23_P500464	Info	COL2A1; collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	NM_001844	Hs.408182	COL2A1	chr12 (46,652,966-46,684,528)	0.3643498	0.966	0.704	1.372
138	5201	MF	extracellular matrix structural constituent	A_24_P365975	Info	COL8A2; collagen, type VIII, alpha 2	NM_005202	Hs.353001	COL8A2	chr1 (35,988,490-35,993,512)	0.3826913	9.291	6.439	1.443
139	5201	MF	extracellular matrix structural constituent	A_24_P935491	Info		AF130082		COL3A1		0.3902298	36.214	26.094	1.388
140	5201	MF	extracellular matrix structural constituent	A_23_P137665	Info	CHI3L1; chitinase 3-like 1 (cartilage glycoprotein-39)	NM_001276	Hs.382202	CHI3L1	chr1 (200,436,186-200,444,145)	0.4468571	3.158	2.487	1.27
141	5201	MF	extracellular matrix structural constituent	A_23_P1331	Info	COL13A1; collagen, type XIII, alpha 1	NM_005203	Hs.211933	COL13A1	chr10 (70,906,247-71,063,506)	0.4740476	0.968	0.865	1.119
142	5201	MF	extracellular matrix structural constituent	A_23_P143981	Info	FBLN2; fibulin 2	NM_001998	Hs.198862	FBLN2	chr3 (13,565,598-13,654,922)	0.5697148	2.696	2.228	1.21
143	5201	MF	extracellular matrix structural constituent	A_23_P142533	Info		X01742		COL3A1	chr2 (190,041,588-190,080,016)	0.6700631	56.153	49.05	1.145
144	5201	MF	extracellular matrix structural constituent	A_23_P102058	Info	MATN3; matrilin 3	NM_002381	Hs.278461	MATN3	chr2 (20,176,318-20,196,967)	0.7038557	0.485	0.448	1.083
145	5201	MF	extracellular matrix structural constituent	A_23_P11806	Info	COL11A1; collagen, type XI, alpha 1	NM_080629	Hs.439168	COL11A1	chr1 (102,805,918-103,036,975)	0.7508401	5.679	4.528	1.254
146	5201	MF	extracellular matrix structural constituent	A_24_P274111	Info	CHI3L1; chitinase 3-like 1 (cartilage glycoprotein-39)	M80927	Hs.382202	CHI3L1	chr1 (200,436,186-200,444,145)	0.7621525	1.867	1.967	0.949
147	5201	MF	extracellular matrix structural constituent	A_23_P429950	Info	KAL1; Kallmann syndrome 1 sequence	NM_000216	Hs.380850	KAL1	chrX (7,908,249-8,111,645)	0.8257956	1.713	1.801	0.951
148	5201	MF	extracellular matrix structural constituent	A_23_P45365	Info	COL4A5; collagen, type IV, alpha 5 (Alport syndrome)	NM_033380	Hs.169825	COL4A5	chrX (106,455,011-106,712,641)	0.9049948	0.699	0.669	1.045
149	5201	MF	extracellular matrix structural constituent	A_23_P119916	Info	WNT6; wingless-type MMTV integration site family, member 6	NM_006522	Hs.29764	WNT6	chr2 (219,927,035-219,941,505)	0.9664902	1.274	1.289	0.988
150	5201	MF	extracellular matrix structural constituent	A_24_P208513	Info	WNT6; wingless-type MMTV integration site family, member 6	NM_006522	Hs.29764	WNT6	chr2 (219,927,035-219,941,505)	0.9919745	0.873	0.875	0.998
151	30934	CC	anchoring collagen	A_23_P131614	Info	COL6A3; collagen, type VI, alpha 3	NM_004369	Hs.233240	COL6A3	chr2 (238,519,411-238,609,570)	0.002916	3.267	1.821	1.794
152	30934	CC	anchoring collagen	A_32_P32254	Info	COL6A1; collagen, type VI, alpha 1	NM_001848	Hs.415997	COL6A1	chr21 (46,257,853-46,281,164)	0.0379555	1.996	1.07	1.865
153	30934	CC	anchoring collagen	A_23_P160318	Info	COL16A1; collagen, type XVI, alpha 1	NM_001856	Hs.26208	COL16A1	chr1 (31,620,321-31,672,400)	0.1549549	3.343	2.049	1.632
154	30934	CC	anchoring collagen	A_23_P214168	Info	COL12A1; collagen, type XII, alpha 1	NM_004370	Hs.101302	COL12A1	chr6 (75,789,640-75,911,220)	0.1832721	5.991	3.36	1.783
155	30934	CC	anchoring collagen	A_23_P40108	Info	COL9A3; collagen, type IX, alpha 3	NM_001853	Hs.126248	COL9A3	chr20 (62,174,728-62,219,325)	0.5080345	0.201	0.153	1.314
156	15698	BP	inorganic anion transport	A_23_P131614	Info	COL6A3; collagen, type VI, alpha 3	NM_004369	Hs.233240	COL6A3	chr2 (238,519,411-238,609,570)	0.002916	3.267	1.821	1.794
157	15698	BP	inorganic anion transport	A_24_P211565	Info	C1QTNF6; C1q and tumor necrosis factor related protein 6	NM_031910	Hs.22011	C1QTNF6	chr22 (35,819,245-35,827,371)	0.0166647	0.835	0.482	1.732
158	15698	BP	inorganic anion transport	A_23_P211212	Info	COL18A1; collagen, type XVIII, alpha 1	NM_030582	Hs.413175	COL18A1	chr21 (45,731,605-45,789,835)	0.0195094	1.277	0.617	2.07
159	15698	BP	inorganic anion transport	A_32_P32254	Info	COL6A1; collagen, type VI, alpha 1	NM_001848	Hs.415997	COL6A1	chr21 (46,257,853-46,281,164)	0.0379555	1.996	1.07	1.865
160	15698	BP	inorganic anion transport	A_23_P45456	Info	CLIC2; chloride intracellular channel 2	NM_001289	Hs.54570	CLIC2	chrX (152,928,198-152,986,330)	0.0423605	1.527	0.932	1.638
161	15698	BP	inorganic anion transport	A_23_P207520	Info	COL1A1; collagen, type I, alpha 1	NM_000088	Hs.172928	COL1A1	chr17 (48,735,288-48,753,674)	0.0474576	7.234	4.033	1.794
162	15698	BP	inorganic anion transport	A_24_P277934	Info	COL1A2; collagen, type I, alpha 2	NM_000089	Hs.232115	COL1A2	chr7 (93,635,983-93,672,639)	0.0550882	9.795	4.231	2.315
163	15698	BP	inorganic anion transport	A_23_P65240	Info	COL4A1; collagen, type IV, alpha 1	NM_001845	Hs.437173	COL4A1	chr13 (108,499,310-108,657,505)	0.1070614	3.853	2.577	1.495
164	15698	BP	inorganic anion transport	A_23_P111888	Info	CTHRC1; collagen triple helix repeat containing 1	NM_138455	Hs.283713	CTHRC1	chr8 (104,340,301-104,351,819)	0.1104428	4.409	1.842	2.394
165	15698	BP	inorganic anion transport	A_24_P217489	Info	GLRB; glycine receptor, beta	NM_000824	Hs.32973	GLRB	chr4 (158,574,836-158,670,911)	0.1241117	0.85	1.228	0.692
166	15698	BP	inorganic anion transport	A_23_P211233	Info	COL6A2; collagen, type VI, alpha 2	NM_001849	Hs.420269	COL6A2	chr21 (46,374,214-46,408,981)	0.144013	0.869	0.553	1.571
167	15698	BP	inorganic anion transport	A_23_P160318	Info	COL16A1; collagen, type XVI, alpha 1	NM_001856	Hs.26208	COL16A1	chr1 (31,620,321-31,672,400)	0.1549549	3.343	2.049	1.632
168	15698	BP	inorganic anion transport	A_23_P310956	Info	COL6A2; collagen, type VI, alpha 2	NM_058175	Hs.420269	COL6A2	chr21 (46,374,244-46,405,921)	0.1667522	0.88	0.657	1.339
169	15698	BP	inorganic anion transport	A_23_P33196	Info	COL5A2; collagen, type V, alpha 2	NM_000393	Hs.283393	COL5A2	chr2 (190,099,161-190,247,140)	0.1684387	4.635	2.687	1.725
170	15698	BP	inorganic anion transport	A_23_P214168	Info	COL12A1; collagen, type XII, alpha 1	NM_004370	Hs.101302	COL12A1	chr6 (75,789,640-75,911,220)	0.1832721	5.991	3.36	1.783
171	15698	BP	inorganic anion transport	A_23_P112554	Info	COL15A1; collagen, type XV, alpha 1	NM_001855	Hs.409034	COL15A1	chr9 (97,086,028-97,213,309)	0.1952232	2.854	2.199	1.298
172	15698	BP	inorganic anion transport	A_23_P158593	Info	COL5A1; collagen, type V, alpha 1	NM_000093	Hs.528321	COL5A1	chr9 (132,972,977-133,174,868)	0.2193455	1.405	1.012	1.388
173	15698	BP	inorganic anion transport	A_23_P122068	Info	C1QTNF3; C1q and tumor necrosis factor related protein 3	NM_030945	Hs.171929	C1QTNF3	chr5 (34,065,036-34,088,819)	0.2207338	1.589	1.183	1.343
174	15698	BP	inorganic anion transport	A_23_P122067	Info	C1QTNF3; C1q and tumor necrosis factor related protein 3	NM_030945	Hs.171929	C1QTNF3	chr5 (34,065,036-34,088,819)	0.2515906	1.447	1.161	1.246
175	15698	BP	inorganic anion transport	A_23_P165848	Info	EMILIN1; elastin microfibril interfacer 1	NM_007046	Hs.63348	EMILIN1	chr2 (27,276,469-27,283,799)	0.304136	1.149	0.956	1.202
176	15698	BP	inorganic anion transport	A_23_P214144	Info	COL10A1; collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	NM_000493	Hs.179729	COL10A1	chr6 (116,485,643-116,492,866)	0.314874	3.792	2.332	1.626
177	15698	BP	inorganic anion transport	A_23_P10391	Info	COL5A2; collagen, type V, alpha 2	Y14690	Hs.283393	COL5A2	chr2 (190,099,161-190,247,140)	0.3352506	3.363	2.34	1.437
178	15698	BP	inorganic anion transport	A_23_P205031	Info	COL4A2; collagen, type IV, alpha 2	NM_001846	Hs.407912	COL4A2	chr13 (108,657,632-108,863,556)	0.3451776	3.156	2.479	1.273
179	15698	BP	inorganic anion transport	A_23_P132285	Info	MPST; mercaptopyruvate sulfurtransferase	NM_021126	Hs.248267	MPST	chr22 (35,658,747-35,668,923)	0.3593966	0.729	0.84	0.868
180	15698	BP	inorganic anion transport	A_23_P52323	Info	COL17A1; collagen, type XVII, alpha 1	NM_000494	Hs.117938	COL17A1	chr10 (105,455,623-105,510,225)	0.3636983	0.898	0.716	1.254
181	15698	BP	inorganic anion transport	A_23_P500464	Info	COL2A1; collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	NM_001844	Hs.408182	COL2A1	chr12 (46,652,966-46,684,528)	0.3643498	0.966	0.704	1.372
182	15698	BP	inorganic anion transport	A_24_P365975	Info	COL8A2; collagen, type VIII, alpha 2	NM_005202	Hs.353001	COL8A2	chr1 (35,988,490-35,993,512)	0.3826913	9.291	6.439	1.443
183	15698	BP	inorganic anion transport	A_24_P935491	Info		AF130082		COL3A1		0.3902298	36.214	26.094	1.388
184	15698	BP	inorganic anion transport	A_23_P69030	Info	COL8A1; collagen, type VIII, alpha 1	NM_001850	Hs.114599	COL8A1	chr3 (100,678,355-100,836,059)	0.4069178	2.391	1.721	1.389
185	15698	BP	inorganic anion transport	A_23_P254654	Info	CLIC3; chloride intracellular channel 3	NM_004669	Hs.64746	CLIC3	chr9 (135,246,350-135,248,549)	0.4461735	0.927	0.708	1.309
186	15698	BP	inorganic anion transport	A_23_P108216	Info	FXYD1; FXYD domain containing ion transport regulator 1 (phospholemman)	NM_005031	Hs.442498	FXYD1	chr19 (40,322,196-40,325,802)	0.46183	1.343	1.087	1.236
187	15698	BP	inorganic anion transport	A_23_P1331	Info	COL13A1; collagen, type XIII, alpha 1	NM_005203	Hs.211933	COL13A1	chr10 (70,906,247-71,063,506)	0.4740476	0.968	0.865	1.119
188	15698	BP	inorganic anion transport	A_23_P501010	Info	COL17A1; collagen, type XVII, alpha 1	NM_130778	Hs.117938	COL17A1	chr10 (105,455,628-105,510,254)	0.4808001	3.998	7.159	0.558
189	15698	BP	inorganic anion transport	A_24_P293192	Info	FXYD3; FXYD domain containing ion transport regulator 3	NM_005971	Hs.301350	FXYD3	chr19 (40,298,476-40,307,067)	0.4831326	1.415	1.853	0.764
190	15698	BP	inorganic anion transport	A_23_P27306	Info	COLEC12; collectin sub-family member 12	NM_030781	Hs.29423	COLEC12	chr18 (309,568-470,766)	0.5054161	0.483	0.396	1.22
191	15698	BP	inorganic anion transport	A_23_P40108	Info	COL9A3; collagen, type IX, alpha 3	NM_001853	Hs.126248	COL9A3	chr20 (62,174,728-62,219,325)	0.5080345	0.201	0.153	1.314
192	15698	BP	inorganic anion transport	A_23_P385067	Info	CLIC6; chloride intracellular channel 6	NM_053277	Hs.353146	CLIC6	chr21 (34,962,084-35,010,927)	0.5789027	2.717	3.292	0.825
193	15698	BP	inorganic anion transport	A_23_P61688	Info	SLC12A7; solute carrier family 12 (potassium/chloride transporters), member 7	NM_006598	Hs.172613	SLC12A7	chr5 (1,103,229-1,164,869)	0.5830948	1.649	1.84	0.896
194	15698	BP	inorganic anion transport	A_23_P127995	Info	CLNS1A; chloride channel, nucleotide-sensitive, 1A	NM_001293	Hs.417369	CLNS1A	chr11 (77,053,504-77,075,181)	0.6026729	0.712	0.825	0.863
195	15698	BP	inorganic anion transport	A_23_P142533	Info		X01742		COL3A1	chr2 (190,041,588-190,080,016)	0.6700631	56.153	49.05	1.145
196	15698	BP	inorganic anion transport	A_23_P29248	Info	TST; thiosulfate sulfurtransferase (rhodanese)	NM_003312	Hs.351863	TST	chr22 (35,649,946-35,658,611)	0.680314	0.841	0.764	1.101
197	15698	BP	inorganic anion transport	A_23_P137366	Info	C1QB; complement component 1, q subcomponent, beta polypeptide	NM_000491	Hs.8986	C1QB	chr1 (22,448,949-22,457,611)	0.7100311	12.614	11.319	1.114
198	15698	BP	inorganic anion transport	A_24_P222655	Info	C1QA; complement component 1, q subcomponent, alpha polypeptide	NM_015991	Hs.9641	C1QA		0.7444099	9.712	9.095	1.068
199	15698	BP	inorganic anion transport	A_23_P11806	Info	COL11A1; collagen, type XI, alpha 1	NM_080629	Hs.439168	COL11A1	chr1 (102,805,918-103,036,975)	0.7508401	5.679	4.528	1.254
200	15698	BP	inorganic anion transport	A_23_P94921	Info	SLC20A2; solute carrier family 20 (phosphate transporter), member 2	NM_006749	Hs.347527	SLC20A2	chr8 (42,291,350-42,425,295)	0.7787722	1.334	1.431	0.932
201	15698	BP	inorganic anion transport	A_23_P120125	Info	COLEC11; collectin sub-family member 11	NM_024027	Hs.32603	COLEC11	chr2 (3,207,147-3,256,747)	0.8123399	0.984	1.035	0.951
202	15698	BP	inorganic anion transport	A_23_P135494	Info	CLIC4; chloride intracellular channel 4	NM_013943	Hs.25035	CLIC4	chr1 (24,422,972-24,521,983)	0.8393464	1.375	1.304	1.054
203	15698	BP	inorganic anion transport	A_23_P101992	Info	MARCO; macrophage receptor with collagenous structure	NM_006770	Hs.67726	MARCO	chr2 (119,794,886-119,847,390)	0.8691375	3.066	3.248	0.944
204	15698	BP	inorganic anion transport	A_23_P45365	Info	COL4A5; collagen, type IV, alpha 5 (Alport syndrome)	NM_033380	Hs.169825	COL4A5	chrX (106,455,011-106,712,641)	0.9049948	0.699	0.669	1.045
205	15698	BP	inorganic anion transport	A_24_P372223	Info	MSR1; macrophage scavenger receptor 1	NM_138715	Hs.436887	MSR1	chr8 (15,975,756-16,060,590)	0.9312767	5.332	5.196	1.026
206	5819	CC	spindle	A_23_P88083	Info	CDC16; CDC16 cell division cycle 16 homolog (S. cerevisiae)	NM_003903	Hs.1592	CDC16	chr13 (112,918,467-112,956,261)	0.0017066	0.645	1.145	0.563
207	5819	CC	spindle	A_24_P96780	Info	CENPF; centromere protein F, 350/400ka (mitosin)	AF118076	Hs.77204	CENPF		0.0550126	0.401	0.629	0.638
208	5819	CC	spindle	A_23_P344555	Info	NEDD9; neural precursor cell expressed, developmentally down-regulated 9	NM_006403	Hs.388589	NEDD9	chr6 (11,291,509-11,340,914)	0.1181194	0.837	1.012	0.827
209	5819	CC	spindle	A_23_P162120	Info	NUMA1; nuclear mitotic apparatus protein 1	NM_006185	Hs.332115	NUMA1	chr11 (71,441,229-71,473,297)	0.1296593	0.548	0.631	0.868
210	5819	CC	spindle	A_23_P259586	Info	TTK; TTK protein kinase	NM_003318	Hs.169840	TTK	chr6 (80,709,071-80,747,836)	0.1343616	0.284	0.516	0.55
211	5819	CC	spindle	A_23_P206059	Info	PRC1; protein regulator of cytokinesis 1	NM_003981	Hs.344037	PRC1	chr15 (89,239,036-89,267,528)	0.221483	0.41	0.544	0.754
212	5819	CC	spindle	A_23_P401	Info	CENPF; centromere protein F, 350/400ka (mitosin)	NM_016343	Hs.77204	CENPF	chr1 (211,833,324-211,894,429)	0.3320637	0.244	0.378	0.646
213	5819	CC	spindle	A_23_P124417	Info	BUB1; BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	NM_004336	Hs.287472	BUB1	chr2 (111,490,405-111,530,828)	0.3817371	0.202	0.261	0.774
214	5819	CC	spindle	A_23_P52278	Info	KIF11; kinesin family member 11	X85137	Hs.8878	KIF11	chr10 (94,017,378-94,079,733)	0.4197775	0.255	0.337	0.757
215	5819	CC	spindle	A_23_P127150	Info	TUBGCP2; tubulin, gamma complex associated protein 2	NM_006659	Hs.372093	TUBGCP2	chr10 (134,566,424-134,595,963)	0.485422	0.678	0.743	0.913
216	5819	CC	spindle	A_23_P136817	Info	KNTC1; kinetochore associated 1	NM_014708	Hs.300559	KNTC1	chr12 (121,449,335-121,548,472)	0.962444	0.353	0.356	0.992
217	6820	BP	anion transport	A_23_P131614	Info	COL6A3; collagen, type VI, alpha 3	NM_004369	Hs.233240	COL6A3	chr2 (238,519,411-238,609,570)	0.002916	3.267	1.821	1.794
218	6820	BP	anion transport	A_23_P72912	Info	SLC4A8; solute carrier family 4, sodium bicarbonate cotransporter, member 8	NM_004858	Hs.370636	SLC4A8	chr12 (50,105,024-50,177,920)	0.0060581	1.464	1.033	1.417
219	6820	BP	anion transport	A_24_P211565	Info	C1QTNF6; C1q and tumor necrosis factor related protein 6	NM_031910	Hs.22011	C1QTNF6	chr22 (35,819,245-35,827,371)	0.0166647	0.835	0.482	1.732
220	6820	BP	anion transport	A_23_P211212	Info	COL18A1; collagen, type XVIII, alpha 1	NM_030582	Hs.413175	COL18A1	chr21 (45,731,605-45,789,835)	0.0195094	1.277	0.617	2.07
221	6820	BP	anion transport	A_32_P32254	Info	COL6A1; collagen, type VI, alpha 1	NM_001848	Hs.415997	COL6A1	chr21 (46,257,853-46,281,164)	0.0379555	1.996	1.07	1.865
222	6820	BP	anion transport	A_23_P45456	Info	CLIC2; chloride intracellular channel 2	NM_001289	Hs.54570	CLIC2	chrX (152,928,198-152,986,330)	0.0423605	1.527	0.932	1.638
223	6820	BP	anion transport	A_23_P207520	Info	COL1A1; collagen, type I, alpha 1	NM_000088	Hs.172928	COL1A1	chr17 (48,735,288-48,753,674)	0.0474576	7.234	4.033	1.794
224	6820	BP	anion transport	A_24_P277934	Info	COL1A2; collagen, type I, alpha 2	NM_000089	Hs.232115	COL1A2	chr7 (93,635,983-93,672,639)	0.0550882	9.795	4.231	2.315
225	6820	BP	anion transport	A_23_P65240	Info	COL4A1; collagen, type IV, alpha 1	NM_001845	Hs.437173	COL4A1	chr13 (108,499,310-108,657,505)	0.1070614	3.853	2.577	1.495
226	6820	BP	anion transport	A_23_P111888	Info	CTHRC1; collagen triple helix repeat containing 1	NM_138455	Hs.283713	CTHRC1	chr8 (104,340,301-104,351,819)	0.1104428	4.409	1.842	2.394
227	6820	BP	anion transport	A_24_P217489	Info	GLRB; glycine receptor, beta	NM_000824	Hs.32973	GLRB	chr4 (158,574,836-158,670,911)	0.1241117	0.85	1.228	0.692
228	6820	BP	anion transport	A_23_P211233	Info	COL6A2; collagen, type VI, alpha 2	NM_001849	Hs.420269	COL6A2	chr21 (46,374,214-46,408,981)	0.144013	0.869	0.553	1.571
229	6820	BP	anion transport	A_23_P160318	Info	COL16A1; collagen, type XVI, alpha 1	NM_001856	Hs.26208	COL16A1	chr1 (31,620,321-31,672,400)	0.1549549	3.343	2.049	1.632
230	6820	BP	anion transport	A_23_P310956	Info	COL6A2; collagen, type VI, alpha 2	NM_058175	Hs.420269	COL6A2	chr21 (46,374,244-46,405,921)	0.1667522	0.88	0.657	1.339
231	6820	BP	anion transport	A_23_P33196	Info	COL5A2; collagen, type V, alpha 2	NM_000393	Hs.283393	COL5A2	chr2 (190,099,161-190,247,140)	0.1684387	4.635	2.687	1.725
232	6820	BP	anion transport	A_23_P214168	Info	COL12A1; collagen, type XII, alpha 1	NM_004370	Hs.101302	COL12A1	chr6 (75,789,640-75,911,220)	0.1832721	5.991	3.36	1.783
233	6820	BP	anion transport	A_23_P112554	Info	COL15A1; collagen, type XV, alpha 1	NM_001855	Hs.409034	COL15A1	chr9 (97,086,028-97,213,309)	0.1952232	2.854	2.199	1.298
234	6820	BP	anion transport	A_23_P158593	Info	COL5A1; collagen, type V, alpha 1	NM_000093	Hs.528321	COL5A1	chr9 (132,972,977-133,174,868)	0.2193455	1.405	1.012	1.388
235	6820	BP	anion transport	A_23_P122068	Info	C1QTNF3; C1q and tumor necrosis factor related protein 3	NM_030945	Hs.171929	C1QTNF3	chr5 (34,065,036-34,088,819)	0.2207338	1.589	1.183	1.343
236	6820	BP	anion transport	A_23_P122067	Info	C1QTNF3; C1q and tumor necrosis factor related protein 3	NM_030945	Hs.171929	C1QTNF3	chr5 (34,065,036-34,088,819)	0.2515906	1.447	1.161	1.246
237	6820	BP	anion transport	A_23_P165848	Info	EMILIN1; elastin microfibril interfacer 1	NM_007046	Hs.63348	EMILIN1	chr2 (27,276,469-27,283,799)	0.304136	1.149	0.956	1.202
238	6820	BP	anion transport	A_23_P214144	Info	COL10A1; collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	NM_000493	Hs.179729	COL10A1	chr6 (116,485,643-116,492,866)	0.314874	3.792	2.332	1.626
239	6820	BP	anion transport	A_23_P10391	Info	COL5A2; collagen, type V, alpha 2	Y14690	Hs.283393	COL5A2	chr2 (190,099,161-190,247,140)	0.3352506	3.363	2.34	1.437
240	6820	BP	anion transport	A_23_P205031	Info	COL4A2; collagen, type IV, alpha 2	NM_001846	Hs.407912	COL4A2	chr13 (108,657,632-108,863,556)	0.3451776	3.156	2.479	1.273
241	6820	BP	anion transport	A_23_P132285	Info	MPST; mercaptopyruvate sulfurtransferase	NM_021126	Hs.248267	MPST	chr22 (35,658,747-35,668,923)	0.3593966	0.729	0.84	0.868
242	6820	BP	anion transport	A_23_P52323	Info	COL17A1; collagen, type XVII, alpha 1	NM_000494	Hs.117938	COL17A1	chr10 (105,455,623-105,510,225)	0.3636983	0.898	0.716	1.254
243	6820	BP	anion transport	A_23_P500464	Info	COL2A1; collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	NM_001844	Hs.408182	COL2A1	chr12 (46,652,966-46,684,528)	0.3643498	0.966	0.704	1.372
244	6820	BP	anion transport	A_24_P365975	Info	COL8A2; collagen, type VIII, alpha 2	NM_005202	Hs.353001	COL8A2	chr1 (35,988,490-35,993,512)	0.3826913	9.291	6.439	1.443
245	6820	BP	anion transport	A_23_P158725	Info	SLC16A3; solute carrier family 16 (monocarboxylic acid transporters), member 3	NM_004207	Hs.386678	SLC16A3	chr17 (80,865,673-80,876,187)	0.3838158	0.339	0.243	1.395
246	6820	BP	anion transport	A_24_P935491	Info		AF130082		COL3A1		0.3902298	36.214	26.094	1.388
247	6820	BP	anion transport	A_23_P154688	Info	SLC4A11; solute carrier family 4, sodium bicarbonate transporter-like, member 11	NM_032034	Hs.105607	SLC4A11	chr20 (3,202,668-3,213,812)	0.3953132	0.715	0.537	1.331
248	6820	BP	anion transport	A_23_P69030	Info	COL8A1; collagen, type VIII, alpha 1	NM_001850	Hs.114599	COL8A1	chr3 (100,678,355-100,836,059)	0.4069178	2.391	1.721	1.389
249	6820	BP	anion transport	A_23_P159125	Info	SLC16A5; solute carrier family 16 (monocarboxylic acid transporters), member 5	NM_004695	Hs.90911	SLC16A5	chr17 (73,681,159-73,699,372)	0.4332095	1.379	1.065	1.295
250	6820	BP	anion transport	A_23_P254654	Info	CLIC3; chloride intracellular channel 3	NM_004669	Hs.64746	CLIC3	chr9 (135,246,350-135,248,549)	0.4461735	0.927	0.708	1.309
251	6820	BP	anion transport	A_23_P75268	Info	VDAC2; voltage-dependent anion channel 2	NM_003375	Hs.355927	VDAC2	chr10 (76,314,515-76,336,036)	0.4481426	0.766	0.674	1.136
252	6820	BP	anion transport	A_23_P108216	Info	FXYD1; FXYD domain containing ion transport regulator 1 (phospholemman)	NM_005031	Hs.442498	FXYD1	chr19 (40,322,196-40,325,802)	0.46183	1.343	1.087	1.236
253	6820	BP	anion transport	A_23_P1331	Info	COL13A1; collagen, type XIII, alpha 1	NM_005203	Hs.211933	COL13A1	chr10 (70,906,247-71,063,506)	0.4740476	0.968	0.865	1.119
254	6820	BP	anion transport	A_23_P501010	Info	COL17A1; collagen, type XVII, alpha 1	NM_130778	Hs.117938	COL17A1	chr10 (105,455,628-105,510,254)	0.4808001	3.998	7.159	0.558
255	6820	BP	anion transport	A_24_P293192	Info	FXYD3; FXYD domain containing ion transport regulator 3	NM_005971	Hs.301350	FXYD3	chr19 (40,298,476-40,307,067)	0.4831326	1.415	1.853	0.764
256	6820	BP	anion transport	A_23_P27306	Info	COLEC12; collectin sub-family member 12	NM_030781	Hs.29423	COLEC12	chr18 (309,568-470,766)	0.5054161	0.483	0.396	1.22
257	6820	BP	anion transport	A_23_P40108	Info	COL9A3; collagen, type IX, alpha 3	NM_001853	Hs.126248	COL9A3	chr20 (62,174,728-62,219,325)	0.5080345	0.201	0.153	1.314
258	6820	BP	anion transport	A_23_P153266	Info	TOMM40; translocase of outer mitochondrial membrane 40 homolog (yeast)	NM_006114	Hs.310542	TOMM40	chr19 (50,086,322-50,098,776)	0.5284801	0.477	0.427	1.117
259	6820	BP	anion transport	A_23_P385067	Info	CLIC6; chloride intracellular channel 6	NM_053277	Hs.353146	CLIC6	chr21 (34,962,084-35,010,927)	0.5789027	2.717	3.292	0.825
260	6820	BP	anion transport	A_23_P61688	Info	SLC12A7; solute carrier family 12 (potassium/chloride transporters), member 7	NM_006598	Hs.172613	SLC12A7	chr5 (1,103,229-1,164,869)	0.5830948	1.649	1.84	0.896
261	6820	BP	anion transport	A_23_P127995	Info	CLNS1A; chloride channel, nucleotide-sensitive, 1A	NM_001293	Hs.417369	CLNS1A	chr11 (77,053,504-77,075,181)	0.6026729	0.712	0.825	0.863
262	6820	BP	anion transport	A_23_P142533	Info		X01742		COL3A1	chr2 (190,041,588-190,080,016)	0.6700631	56.153	49.05	1.145
263	6820	BP	anion transport	A_23_P117059	Info	SLC16A7; solute carrier family 16 (monocarboxylic acid transporters), member 7	AF058056	Hs.439643	SLC16A7	chr12 (58,369,388-58,462,366)	0.6717864	1.066	0.939	1.135
264	6820	BP	anion transport	A_23_P29248	Info	TST; thiosulfate sulfurtransferase (rhodanese)	NM_003312	Hs.351863	TST	chr22 (35,649,946-35,658,611)	0.680314	0.841	0.764	1.101
265	6820	BP	anion transport	A_23_P137366	Info	C1QB; complement component 1, q subcomponent, beta polypeptide	NM_000491	Hs.8986	C1QB	chr1 (22,448,949-22,457,611)	0.7100311	12.614	11.319	1.114
266	6820	BP	anion transport	A_23_P60069	Info	VDAC3; voltage-dependent anion channel 3	NM_005662	Hs.439253	VDAC3	chr8 (42,266,686-42,280,822)	0.7369099	0.849	0.781	1.087
267	6820	BP	anion transport	A_24_P222655	Info	C1QA; complement component 1, q subcomponent, alpha polypeptide	NM_015991	Hs.9641	C1QA		0.7444099	9.712	9.095	1.068
268	6820	BP	anion transport	A_23_P11806	Info	COL11A1; collagen, type XI, alpha 1	NM_080629	Hs.439168	COL11A1	chr1 (102,805,918-103,036,975)	0.7508401	5.679	4.528	1.254
269	6820	BP	anion transport	A_23_P94921	Info	SLC20A2; solute carrier family 20 (phosphate transporter), member 2	NM_006749	Hs.347527	SLC20A2	chr8 (42,291,350-42,425,295)	0.7787722	1.334	1.431	0.932
270	6820	BP	anion transport	A_23_P120125	Info	COLEC11; collectin sub-family member 11	NM_024027	Hs.32603	COLEC11	chr2 (3,207,147-3,256,747)	0.8123399	0.984	1.035	0.951
271	6820	BP	anion transport	A_23_P135494	Info	CLIC4; chloride intracellular channel 4	NM_013943	Hs.25035	CLIC4	chr1 (24,422,972-24,521,983)	0.8393464	1.375	1.304	1.054
