Probe Set	Identifier	LocusLink	Name	GeneOntology.txt	ProteinDomain.txt	Cytoband	Description
209369_at	M63310	306	annexin A3	|5737|5622|5623|5543|8289|5488|8486|3824|	|191|	|4|4q|4q13|	gb:M63310.1 /DEF=Human 1,2-cyclic-inositol-phosphate phosphodiesterase (ANX3) mRNA, complete cds.  /FEA=mRNA /GEN=ANX3 /PROD=1,2-cyclic-inositol-phosphate phosphodiesterase /DB_XREF=gi:178696 /UG=Hs.1378 annexin A3 /FL=gb:BC000871.1 gb:M63310.1 gb:M20560
209473_at	AV717590	953	ectonucleoside triphosphate diphosphohydrolase 1	|7155|7154|5194|5886|5622|5623|16020|7596|7599|7582|5624|267|7267|4002|16887|16818|16817|16787|3824|17076|166|5488|6959|6955|6952|9607|9605|9613|6950|8151|5887|16021|	|1150|	|10|10q|	Consensus includes gb:AV717590 /FEA=EST /DB_XREF=gi:10814742 /DB_XREF=est:AV717590 /CLONE=DCBCFE01 /UG=Hs.205353 ectonucleoside triphosphate diphosphohydrolase 1 /FL=gb:U87967.1
209474_s_at	U87967	953	ectonucleoside triphosphate diphosphohydrolase 1	|7155|7154|5194|5886|5622|5623|16020|7596|7599|7582|5624|267|7267|4002|16887|16818|16817|16787|3824|17076|166|5488|6959|6955|6952|9607|9605|9613|6950|8151|5887|16021|	|1150|	|10|10q|	gb:U87967.1 /DEF=Human ATP diphosphohydrolase mRNA, complete cds. /FEA=mRNA /PROD=ATP diphosphohydrolase /DB_XREF=gi:1842119 /UG=Hs.205353 ectonucleoside triphosphate diphosphohydrolase 1 /FL=gb:U87967.1
209598_at	AB020690	10687	paraneoplastic antigen MA2			|8|8p|8pter|	gb:AB020690.1 /DEF=Homo sapiens mRNA for KIAA0883 protein, complete cds. /FEA=mRNA /GEN=KIAA0883 /PROD=KIAA0883 protein /DB_XREF=gi:4240254 /UG=Hs.7782 paraneoplastic antigen MA2 /FL=gb:AF286487.1 gb:NM_007257.1 gb:AB020690.1
209871_s_at	AB014719	321	amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)	|7399|7398|7397|7345|7275|9405|7582|5208|5198|5515|5488|	|595|640|	|15|15q|	gb:AB014719.1 /DEF=Homo sapiens mRNA for XllL, complete cds. /FEA=mRNA /GEN=hXllL /PROD=XllL /DB_XREF=gi:3953612 /UG=Hs.26468 amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like) /FL=gb:AF047348.1 gb:AB014719.1 gb:NM_005503.1
210021_s_at	BC004877	10309	uracil-DNA glycosylase 2	|5634|5622|5623|6259|6139|8152|8151|4844|3686|3824|3685|3677|3676|8578|16798|16787|	|134|	|5|5p|5p15|	gb:BC004877.1 /DEF=Homo sapiens, Similar to uracil-DNA glycosylase 2, clone MGC:11071, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to uracil-DNA glycosylase 2 /DB_XREF=gi:13436115 /UG=Hs.3041 uracil-DNA glycosylase 2 /FL=gb:BC004877.1
210142_x_at	AF117234	10211	flotillin 1	|5901|5886|5622|5623|16020|16021|	|1145|	|6|6p|6p21|	gb:AF117234.1 /DEF=Homo sapiens flotillin mRNA, complete cds. /FEA=mRNA /PROD=flotillin /DB_XREF=gi:6563241 /UG=Hs.179986 flotillin 1 /FL=gb:AF117234.1
210145_at	M68874	5321	phospholipase A2, group IVA (cytosolic, calcium-dependent)	|5737|5622|5623|16023|6690|6629|8152|8151|6644|6643|5543|8289|5488|16788|16787|3824|		|1|1q|	gb:M68874.1 /DEF=Homo sapiens phosphatidylcholine 2-acylhydrolase (cPLA2) mRNA, complete cds.  /FEA=mRNA /GEN=cPLA2 /PROD=phosphatidylcholine 2-acylhydrolase /DB_XREF=gi:190003 /UG=Hs.211587 phospholipase A2, group IVA (cytosolic, calcium-dependent) /FL=
210564_x_at	AF009619	8837	CASP8 and FADD-like apoptosis regulator	|6916|6915|8219|16265|8189|16329|6917|	|1335|656|	|2|2q|2q33|	gb:AF009619.1 /DEF=Homo sapiens FLAME-1-delta mRNA, alternatively spliced, complete cds.  /FEA=mRNA /PROD=FLAME-1-delta /DB_XREF=gi:2429159 /UG=Hs.195175 CASP8 and FADD-like apoptosis regulator /FL=gb:AF009619.1
211124_s_at	AF119835	4254	KIT ligand	|8283|8151|7165|7154|7397|7345|7275|8083|5102|4871|		|12|12q|	gb:AF119835.1 /DEF=Homo sapiens stem cell factor precursor, mRNA, complete cds. /FEA=mRNA /PROD=stem cell factor precursor /DB_XREF=gi:4530470 /UG=Hs.1048 KIT ligand /FL=gb:AF119835.1 gb:NM_003994.2
211177_s_at	AB019695	10587	thioredoxin reductase beta	|5739|5737|5622|5623|4791|16209|15933|5489|5488|16654|16651|16491|3824|	|2852|70|	|22|22q|22q11|	gb:AB019695.1 /DEF=Homo sapiens mRNA for thioredoxin reductase II beta, complete cds. /FEA=mRNA /PROD=thioredoxin reductase II beta /DB_XREF=gi:4827178 /UG=Hs.12971 thioredoxin reductase beta /FL=gb:AB019695.1
211197_s_at	AL355690	23308	KIAA0653 protein, B7-like protein			|21|21q|21q22|	Consensus includes gb:AL355690.1 /DEF=Homo sapiens EST from clone 34465, full insert. /FEA=mRNA /DB_XREF=gi:7799138 /UG=Hs.14155 KIAA0653 protein, B7-like protein /FL=gb:AF216749.1 gb:AF289028.1
211502_s_at	AF119833	5218	PFTAIRE protein kinase 1	|5634|5622|5623|5737|	|69|	|7|7q|7q21|	gb:AF119833.1 /DEF=Homo sapiens serinethreonine protein kinase PFTAIRE-1 mRNA, complete cds.  /FEA=mRNA /PROD=serinethreonine protein kinase PFTAIRE-1 /DB_XREF=gi:12002200 /UG=Hs.57856 PFTAIRE protein kinase 1 /FL=gb:AF119833.1
212272_at	AA813260	23175	lipin 1			|2|2p|	Consensus includes gb:AA813260 /FEA=EST /DB_XREF=gi:2883245 /DB_XREF=est:aj44f09.s1 /CLONE=1393193 /UG=Hs.81412 lipin 1
212377_s_at	AU158495	4853	Notch homolog 2 (Drosophila)		|23|66|	|1|1p|1p13|	Consensus includes gb:AU158495 /FEA=EST /DB_XREF=gi:11020016 /DB_XREF=est:AU158495 /CLONE=PLACE3000066 /UG=Hs.8121 Notch (Drosophila) homolog 2
212414_s_at	D50918	23157	septin 6		|735|1103|	|X|Xq|	Consensus includes gb:D50918.1 /DEF=Human mRNA for KIAA0128 gene, partial cds. /FEA=mRNA /GEN=KIAA0128 /DB_XREF=gi:1469178 /UG=Hs.90998 KIAA0128 protein; septin 2
212527_at	BF057059						Consensus includes gb:BF057059 /FEA=EST /DB_XREF=gi:10810955 /DB_XREF=est:7k15c07.x1 /CLONE=IMAGE:3444468 /UG=Hs.12421 hypothetical protein
212602_at	AI806395	23001	KIAA0993 protein			|4|4q|4q21|	Consensus includes gb:AI806395 /FEA=EST /DB_XREF=gi:5392961 /DB_XREF=est:wf27d05.x1 /CLONE=IMAGE:2356809 /UG=Hs.198135 KIAA0993 protein
212613_at	AI991252	11118	butyrophilin, subfamily 3, member A2			|6|6p|6p22|	Consensus includes gb:AI991252 /FEA=EST /DB_XREF=gi:5838157 /DB_XREF=est:wu41e09.x1 /CLONE=IMAGE:2522632 /UG=Hs.87497 butyrophilin, subfamily 3, member A2
212922_s_at	AI809870	56950	HSKM-B protein		|1753|	|1|1q|	Consensus includes gb:AI809870 /FEA=EST /DB_XREF=gi:5396436 /DB_XREF=est:wf59c03.x1 /CLONE=IMAGE:2359876 /UG=Hs.66170 HSKM-B protein
213664_at	AW235061	6505	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	|5624|267|5623|15813|15807|6865|6810|8151|7268|19226|7267|7154|15172|15171|5215|15179|5887|5886|5622|16020|16021|	|375|	|9|9p|	Consensus includes gb:AW235061 /FEA=EST /DB_XREF=gi:6567450 /DB_XREF=est:xn18b08.x1 /CLONE=IMAGE:2694039 /UG=Hs.91139 solute carrier family 1 (neuronalepithelial high affinity glutamate transporter, system Xag), member 1
213666_at	AK026589	23157	septin 6		|735|1103|	|X|Xq|	Consensus includes gb:AK026589.1 /DEF=Homo sapiens cDNA: FLJ22936 fis, clone KAT07936. /FEA=mRNA /DB_XREF=gi:10439473 /UG=Hs.90998 KIAA0128 protein; septin 2
214746_s_at	BE549732						Consensus includes gb:BE549732 /FEA=EST /DB_XREF=gi:9791424 /DB_XREF=est:7b38a04.x1 /CLONE=IMAGE:3230478 /UG=Hs.112158 Homo sapiens PAC clone RP4-751H13 from 7q35-qter
214954_at	BF977837	26032	KIAA0527 protein				Consensus includes gb:BF977837 /FEA=EST /DB_XREF=gi:12345052 /DB_XREF=est:602148677F1 /CLONE=IMAGE:4307442 /UG=Hs.196647 KIAA0527 protein
215318_at	AL049782	116829	hypothetical gene CG012			|13|13q|13q12|	Consensus includes gb:AL049782.1 /DEF=Novel human gene mapping to chomosome 13. /FEA=mRNA /DB_XREF=gi:4902604 /UG=Hs.184938 Novel human gene mapping to chomosome 13
215913_s_at	AK023668	51454	CED-6 protein	|6915|8219|16265|4871|6886|15031|6810|8151|	|1763|640|	|2|2q|2q32|	Consensus includes gb:AK023668.1 /DEF=Homo sapiens cDNA FLJ13606 fis, clone PLACE1010579, highly similar to Homo sapiens CED-6 protein (CED-6) mRNA.  /FEA=mRNA /DB_XREF=gi:10435660 /UG=Hs.107056 CED-6 protein
216080_s_at	AC_004770	745	chromosome 11open reading frame 9			|11|11q|11q12|	Consensus includes gb:AC004770 /DEF=Homo sapiens chromosome 11, BAC CIT-HSP-311e8 (BC269730) containing the hFEN1 gene /FEA=CDS_3 /DB_XREF=gi:3212836 /UG=Hs.21765 fatty acid desaturase 3
216210_x_at	AA046650	11078	putative nuclear protein		|169|	|22|22q|22q13|	Consensus includes gb:AA046650 /FEA=EST /DB_XREF=gi:1524566 /DB_XREF=est:zk72e08.s1 /CLONE=IMAGE:488390 /UG=Hs.40342 putative nuclear protein
216711_s_at	M73444	6872	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250 kD	|5654|5634|5622|5623|4672|16301|3824|16773|16772|16740|6468|16310|6796|8152|8151|6464|6411|6461|8134|5515|5488|80|278|7049|6355|6350|6139|3700|3677|3676|	|439|	|X|Xq|Xq13|	Consensus includes gb:M73444.1 /DEF=Human CCG1p mRNA, 5 flank. /FEA=mRNA /DB_XREF=gi:179989 /UG=Hs.1179 TATA box binding protein (TBP)-associated factor, RNA polymerase II, A, 250kD
216959_x_at	U55258	4897	neuronal cell adhesion molecule	|7155|7154|5194|5887|5886|5622|5623|16020|16021|	|41|	|7|7q|7q31|	Consensus includes gb:U55258 /DEF=Human hBRAVONr-CAM precursor (hBRAVONr-CAM) gene, complete cds /FEA=CDS /DB_XREF=gi:1621282 /UG=Hs.7912 neuronal cell adhesion molecule
217762_s_at	BE789881	11031	RAB31, member RAS oncogene family	|3924|16818|16817|16787|3824|17076|166|5488|6886|15031|6810|8151|	|71|25|	|18|18p|18p11|	Consensus includes gb:BE789881 /FEA=EST /DB_XREF=gi:10211079 /DB_XREF=est:601476750F1 /CLONE=IMAGE:3879493 /UG=Hs.223025 RAB31, member RAS oncogene family /FL=gb:AF234995.1 gb:BC001148.1 gb:U59877.1 gb:U57091.1 gb:NM_006868.1 gb:AF183421.1
217853_at	NM_022748	64759	tumor endothelial marker 6		|17|640|	|7|7p|7p12|	gb:NM_022748.1 /DEF=Homo sapiens hypothetical protein FLJ13732 similar to tensin (FLJ13732), mRNA.  /FEA=mRNA /GEN=FLJ13732 /PROD=hypothetical protein FLJ13732 similar to tensin /DB_XREF=gi:12232408 /UG=Hs.12210 hypothetical protein FLJ13732 similar to t
218094_s_at	NM_018478	55861	uncharacterized hypothalamus protein HSMNP1			|20|20q|20q13|	gb:NM_018478.1 /DEF=Homo sapiens uncharacterized hypothalamus protein HSMNP1 (HSMNP1), mRNA.  /FEA=mRNA /GEN=HSMNP1 /PROD=uncharacterized hypothalamus protein HSMNP1 /DB_XREF=gi:8923782 /UG=Hs.179666 uncharacterized hypothalamus protein HSMNP1 /FL=gb:BC0
218450_at	NM_015987	50865	heme binding protein 1	|7623|7622|7610|5488|		|12|12p|12p13|	gb:NM_015987.1 /DEF=Homo sapiens heme-binding protein (HEBP), mRNA. /FEA=mRNA /GEN=HEBP /PROD=heme-binding protein /DB_XREF=gi:7705404 /UG=Hs.108675 heme-binding protein /FL=gb:AF117615.1 gb:NM_015987.1 gb:AF167473.1
218630_at	NM_017777	54903	hypothetical protein FLJ20345			|17|17q|17q23|	gb:NM_017777.1 /DEF=Homo sapiens hypothetical protein FLJ20345 (FLJ20345), mRNA. /FEA=mRNA /GEN=FLJ20345 /PROD=hypothetical protein FLJ20345 /DB_XREF=gi:8923323 /UG=Hs.20558 hypothetical protein FLJ20345 /FL=gb:NM_017777.1
218805_at	NM_018384	55340	likely homolog of mouse immunity-associated nucleotide 4			|7|7q|	gb:NM_018384.1 /DEF=Homo sapiens hypothetical protein FLJ11296 (FLJ11296), mRNA. /FEA=mRNA /GEN=FLJ11296 /PROD=hypothetical protein FLJ11296 /DB_XREF=gi:8922984 /UG=Hs.26194 hypothetical protein FLJ11296 /FL=gb:NM_018384.1
219201_s_at	NM_020648	57045	twisted gastrulation			|18|18p|18p11|	gb:NM_020648.1 /DEF=Homo sapiens twisted gastrulation (TSG), mRNA. /FEA=mRNA /GEN=TSG /PROD=twisted gastrulation /DB_XREF=gi:10190663 /UG=Hs.247302 twisted gastrulation /FL=gb:NM_020648.1 gb:AF196834.1 gb:AF294628.1
219506_at	NM_024579	79630	hypothetical protein FLJ23221			|1|1q|1q21|	gb:NM_024579.1 /DEF=Homo sapiens hypothetical protein FLJ23221 (FLJ23221), mRNA. /FEA=mRNA /GEN=FLJ23221 /PROD=hypothetical protein FLJ23221 /DB_XREF=gi:13375757 /UG=Hs.18397 hypothetical protein FLJ23221 /FL=gb:NM_024579.1
219685_at	NM_021637	59353	hypothetical protein FLJ14084			|X|Xq|Xq21|	gb:NM_021637.1 /DEF=Homo sapiens hypothetical protein FLJ14084 (FLJ14084), mRNA. /FEA=mRNA /GEN=FLJ14084 /PROD=hypothetical protein FLJ14084 /DB_XREF=gi:11056011 /UG=Hs.45140 hypothetical protein FLJ14084 /FL=gb:NM_021637.1
220954_s_at	NM_013440	29990	paired immunoglobulin-like receptor beta			|7|7q|	gb:NM_013440.1 /DEF=Homo sapiens paired immunoglobulin-like receptor beta (PILR(BETA)), mRNA.  /FEA=mRNA /GEN=PILR(BETA) /PROD=paired immunoglobulin-like receptor beta /DB_XREF=gi:7305386 /UG=Hs.9408 paired immunoglobulin-like receptor beta /FL=gb:AF1610
221085_at	NM_005118	9966	tumor necrosis factor (ligand) superfamily, member 15	|5102|4871|5625|267|5623|74|7049|8151|7165|7154|5887|5886|5622|16020|16021|	|229|	|9|9q|	gb:NM_005118.1 /DEF=Homo sapiens tumor necrosis factor (ligand) superfamily, member 15 (TNFSF15), mRNA.  /FEA=mRNA /GEN=TNFSF15 /PROD=tumor necrosis factor (ligand) superfamily,member 15 /DB_XREF=gi:4827031 /UG=Hs.241382 tumor necrosis factor (ligand) su
221221_s_at	NM_017415	26249	kelch-like 3 (Drosophila)	|5198|	|651|1344|	|5|5q|	gb:NM_017415.1 /DEF=Homo sapiens kelch (Drosophila)-like 3 (KLHL3), mRNA. /FEA=mRNA /GEN=KLHL3 /PROD=kelch (Drosophila)-like 3 /DB_XREF=gi:8393671 /UG=Hs.7388 kelch (Drosophila)-like 3 /FL=gb:AF208068.1 gb:NM_017415.1
221371_at	NM_005092	8995	tumor necrosis factor (ligand) superfamily, member 18	|5102|4871|6916|6915|8219|16265|7165|7154|7267|		|1|1q|	gb:NM_005092.1 /DEF=Homo sapiens tumor necrosis factor (ligand) superfamily, member 18 (TNFSF18), mRNA.  /FEA=CDS /GEN=TNFSF18 /PROD=tumor necrosis factor (ligand) superfamily,member 18 /DB_XREF=gi:4827033 /UG=Hs.248197 tumor necrosis factor (ligand) sup
221840_at	AA775177	5791	protein tyrosine phosphatase, receptor type, E	|5737|5622|5623|5625|267|16311|6796|8152|8151|6464|6411|5887|5886|16020|16021|4725|4721|16791|16788|16787|3824|16302|4888|4872|4871|	|1153|782|102|	|10|10q|	Consensus includes gb:AA775177 /FEA=EST /DB_XREF=gi:2834511 /DB_XREF=est:ac79a06.s1 /CLONE=IMAGE:868786 /UG=Hs.31137 protein tyrosine phosphatase, receptor type, E /FL=gb:NM_006504.1
221898_at	AU154455	10630	lung type-I cell membrane-associated glycoprotein	|5887|5886|5622|5623|16020|16021|		|1|1p|	Consensus includes gb:AU154455 /FEA=EST /DB_XREF=gi:11015976 /DB_XREF=est:AU154455 /CLONE=NT2RP4001145 /UG=Hs.135150 lung type-I cell membrane-associated glycoprotein
222034_at	AA443762	10399	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	|7165|7154|7186|7166|5076|5057|4871|157|5886|5622|5623|16020|	|400|	|5|5q|5q35|	Consensus includes gb:AA443762 /FEA=EST /DB_XREF=gi:2156437 /DB_XREF=est:zw95e04.s1 /CLONE=IMAGE:784734 /UG=Hs.5662 guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1
45572_s_at	AW009695	26088	golgi associated, gamma adaptin ear containing, ARF binding protein 1		|790|3127|2883|	|22|22q|22q13|	Cluster Incl. AW009695:ws86b07.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2504821 /clone_end=3  /gb=AW009695 /gi=5858473 /ug=Hs.238296 /len=491
50277_at	AW001443	26088	golgi associated, gamma adaptin ear containing, ARF binding protein 1		|790|3127|2883|	|22|22q|22q13|	Cluster Incl. AW001443:wu31e12.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-990785 /clone_end=3  /gb=AW001443 /gi=5848359 /ug=Hs.239110 /len=490
64064_at	AI435089	55340	likely homolog of mouse immunity-associated nucleotide 4			|7|7q|	Cluster Incl. AI435089:th95b11.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2126397 /clone_end=3  /gb=AI435089 /gi=4300737 /ug=Hs.26194 /len=891
AFFX-HSAC07/X00351_3_at	X00351	60	actin, beta	|6928|8151|5200|5198|	|22|	|7|7p|7p15|	X00351 Human mRNA for beta-actin (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
