Affymetrix ID	Symbol	Gene Name	Fold difference	P.Value
1454984_at	A230075M04Rik	RIKEN cDNA A230075M04 gene	4.3	0.000420589
1449521_at	C1qr1	complement component 1, q subcomponent, receptor 1	4.3	8.59E-05
1431359_a_at	1110007C09Rik	RIKEN cDNA 1110007C09 gene	4.3	1.25E-07
1437122_at	Bcl2	B-cell leukemia/lymphoma 2	4.3	2.90E-06
1448529_at	Thbd	thrombomodulin	4.3	0.000304051
1435828_at	---	---	4.3	4.21E-06
1449175_at	Gpr65	G-protein coupled receptor 65	4.3	0.002396103
1421037_at	Npas2	neuronal PAS domain protein 2	4.3	0.021702438
1450368_a_at	Ppp3r1	protein phospatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)	4.3	0.002449267
1415943_at	Sdc1	syndecan 1	4.2	0.000522821
1444350_at	Slfn10	schlafen 10	4.2	0.000774491
1424303_at	AV216087	expressed sequence AV216087	4.2	5.13E-07
1420804_s_at	Clecsf8	C-type (calcium dependent, carbohydrate recognition domain) lectin, superfamily member 8	4.2	5.92E-05
1417116_at	Slc6a8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	4.2	2.63E-07
1421989_s_at	Papss2	3-phosphoadenosine 5-phosphosulfate synthase 2	4.1	0.018782343
1428719_at	LOC207685	hypothetical protein LOC207685	4.1	0.010779557
1418829_a_at	Eno2	enolase 2, gamma neuronal	4.1	5.52E-05
1432466_a_at	Apoe	apolipoprotein E	4.1	0.000639822
1419754_at	Myo5a	myosin Va	4.1	3.56E-06
1450494_x_at	Ceacam1	CEA-related cell adhesion molecule 1	4.1	0.000129661
1419334_at	Ctla4	cytotoxic T-lymphocyte-associated protein 4	4.1	3.17E-07
1418749_at	BC003498	cDNA sequence BC00398	4.1	5.17E-05
1428427_at	Fbxl2	F-box and leucine-rich repeat protein 2	4.1	5.74E-07
1417952_at	Cyp2j6	cytochrome P450, family 2, subfamily j, polypeptide 6	4.1	0.000390124
1450648_s_at	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	4.1	0.018937898
1434988_x_at	Aldh2	aldehyde dehydrogenase 2, mitochondrial	4.1	0.001843425
1449056_at	---	---	4.1	2.12E-06
1438321_x_at	---	---	4	5.46E-07
1442542_at	Eya4	eyes absent 4 homolog (Drosophila)	4	3.97E-05
1435679_at	Optn	optineurin	4	8.89E-06
1421977_at	Mmp19	matrix metalloproteinase 19	4	1.66E-05
1434987_at	Aldh2	aldehyde dehydrogenase 2, mitochondrial	4	0.012385878
1451335_at	Plac8	placenta-specific 8	4	0.000414443
1425749_at	Stxbp6	syntaxin binding protein 6 (amisyn)	4	3.29E-05
1418074_at	Siat7d	sialyltransferase 7 ((alpha-N-acetylneuraminyl 2,3-betagalactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) D	4	3.92E-08
1451888_a_at	Odz4	odd Oz/ten-m homolog 4 (Drosophila)	4	0.000280937
1452532_x_at	Ceacam1	CEA-related cell adhesion molecule 1	4	0.001161555
1420924_at	Timp2	tissue inhibitor of metalloproteinase 2	4	0.037622706
1443827_x_at	BC004044	cDNA sequence BC004044	4	0.000941813
1418349_at	Dtr	diphtheria toxin receptor	4	0.001818986
1454699_at	Sesn1	sestrin 1	4	0.000384774
1431705_a_at	Mcoln2	mucolipin 2	4	1.39E-05
1421976_at	Mmp19	matrix metalloproteinase 19	4	0.000286089
1427630_x_at	Ceacam1	CEA-related cell adhesion molecule 1	3.9	0.000427358
1439345_at	---	---	3.9	6.18E-05
1453021_at	Stxbp5	syntaxin binding protein 5 (tomosyn)	3.9	3.34E-06
1417995_at	Ptpn8	protein tyrosine phosphatase, non-receptor type 8	3.9	0.003656073
1451263_a_at	Fabp4	fatty acid binding protein 4, adipocyte	3.9	0.000267584
1438027_at	---	---	3.9	8.03E-05
1436541_at	9030624J02Rik	RIKEN cDNA 9030624J02 gene	3.9	5.35E-05
1454677_at	Timp2	tissue inhibitor of metalloproteinase 2	3.9	5.60E-06
1435879_at	Sdccag8	serologically defined colon cancer antigen 8	3.9	6.31E-05
1435144_at	Fyb	FYN binding protein	3.9	0.000157058
1427351_s_at	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	3.9	0.00789793
1419469_at	Gnb4	guanine nucleotide binding protein, beta 4	3.9	0.012546513
1455468_at	---	---	3.9	0.000197757
1419693_at	Colec12	collectin sub-family member 12	3.9	0.026190343
1422123_s_at	Ceacam1	CEA-related cell adhesion molecule 1	3.9	7.69E-05
1422812_at	Cxcr6	chemokine (C-X-C motif) receptor 6	3.9	0.000330552
1451006_at	Xdh	xanthine dehydrogenase	3.9	9.23E-07
1451626_x_at	---	---	3.9	0.006767107
1455451_at	---	---	3.8	0.017171026
1460245_at	Klrd1	killer cell lectin-like receptor, subfamily D, member 1	3.8	0.000366347
1416697_at	Dpp4	dipeptidylpeptidase 4	3.8	0.000147527
1417399_at	Gas6	growth arrest specific 6	3.8	0.000754005
1439764_s_at	C330012H03Rik	RIKEN cDNA C330012H03 gene	3.8	0.008696746
1460116_s_at	---	---	3.8	0.001601346
1458148_at	D230007K08Rik	RIKEN cDNA D230007K08 gene	3.8	0.00967682
1445399_at	Klrb1b	killer cell lectin-like receptor subfamily B member 1B	3.8	0.005880361
1430391_a_at	Siat8d	sialyltransferase 8 (alpha-2, 8-sialyltransferase) D	3.8	0.000132626
1455019_x_at	Ckap4	cytoskeleton-associated protein 4	3.8	1.06E-05
1426027_a_at	Arhgap10	Rho GTPase activating protein 10	3.8	2.93E-05
1450392_at	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	3.7	5.94E-05
1417491_at	Ctsb	cathepsin B	3.7	2.05E-06
1452942_at	4930438D12Rik	RIKEN cDNA 4930438D12 gene	3.7	1.49E-05
1429520_a_at	Phca	phytoceramidase, alkaline	3.7	0.001361575
1441894_s_at	Grasp	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein	3.7	0.00120787
1422631_at	Ahr	aryl-hydrocarbon receptor	3.7	3.16E-05
1455741_a_at	Ece1	endothelin converting enzyme 1	3.7	1.07E-06
1417813_at	Ikbke	inhibitor of kappaB kinase epsilon	3.7	6.84E-05
1427996_at	BC028528	cDNA sequence BC028528	3.7	4.32E-05
1452426_x_at	Tera	teratocarcinoma expressed, serine rich	3.7	0.025650765
1450344_a_at	Ptger3	prostaglandin E receptor 3 (subtype EP3)	3.7	1.01E-05
1449195_s_at	Cxcl16	chemokine (C-X-C motif) ligand 16	3.7	0.000340475
1449015_at	Retnla	resistin like alpha	3.7	0.002618401
1448747_at	Fbxo32	F-box only protein 32	3.6	0.000260463
1436944_x_at	---	---	3.6	2.52E-05
1436836_x_at	Cnn3	calponin 3, acidic	3.6	0.02422092
1447873_x_at	---	---	3.6	0.008251502
1431320_a_at	Myo5a	myosin Va	3.6	0.000153795
1451655_at	Slfn8-pending	schlafen 8	3.6	0.000187964
1417460_at	Ifitm2	interferon induced transmembrane protein 2	3.6	4.87E-08
1417704_a_at	Arhgap6	Rho GTPase activating protein 6	3.6	0.002443621
1448596_at	Slc6a8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	3.6	4.06E-06
1433905_at	Akap7	A kinase (PRKA) anchor protein 7	3.6	2.31E-07
1456328_at	Bank1	B-cell scaffold protein with ankyrin repeats 1	3.6	0.00020299
1431213_a_at	---	---	3.6	0.008404925
1444426_at	F730031O20Rik	RIKEN cDNA F730031O20 gene	3.6	0.001167885
1429466_s_at	0610008A10Rik	RIKEN cDNA 0610008A10 gene	3.6	1.24E-05
1419480_at	Sell	selectin, lymphocyte	3.6	3.32E-05
1435690_at	9030624J02Rik	RIKEN cDNA 9030624J02 gene	3.6	0.000156707
1426656_at	4930504E06Rik	RIKEN cDNA 4930504E06 gene	3.6	3.23E-06
1418778_at	9030408N13Rik	RIKEN cDNA 9030408N13 gene	3.6	5.70E-05
1435426_s_at	2310047I15Rik	RIKEN cDNA 2310047I15 gene	3.6	0.013537036
1433662_s_at	Timp2	tissue inhibitor of metalloproteinase 2	3.5	9.28E-06
1440275_at	Runx3	runt related transcription factor 3	3.5	0.002428453
1432329_a_at	Matk	megakaryocyte-associated tyrosine kinase	3.5	0.000803539
1419124_at	2210010L05Rik	RIKEN cDNA 2210010L05 gene	3.5	1.54E-06
1418021_at	C4	complement component 4 (within H-2S)	3.5	0.000723322
1420899_at	Rab18	RAB18, member RAS oncogene family	3.5	0.016514207
1437635_at	---	gene model 1252, (NCBI)	3.5	2.02E-05
1424194_at	BC025872	cDNA sequence BC025872	3.5	0.000543924
1451419_at	Ssb4	SPRY domain-containing SOCS box 4	3.5	0.002862673
1448914_a_at	Csf1	colony stimulating factor 1 (macrophage)	3.5	2.10E-05
1435069_at	BC064078	cDNA sequence BC064078	3.5	6.82E-05
1426655_a_at	4930504E06Rik	RIKEN cDNA 4930504E06 gene	3.5	6.88E-07
1418243_at	Fcna	ficolin A	3.5	6.42E-06
1428347_at	Cyfip2	cytoplasmic FMR1 interacting protein 2	3.5	0.002431071
1418884_x_at	Tuba1	tubulin, alpha 1	3.5	0.000926137
1418126_at	Ccl5	chemokine (C-C motif) ligand 5	3.5	0.036575921
1417045_at	Bid	BH3 interacting domain death agonist	3.5	0.000202702
1418402_at	Adam19	a disintegrin and metalloproteinase domain 19 (meltrin beta)	3.5	1.83E-05
1433741_at	Cd38	CD38 antigen	3.5	0.003776089
1425532_a_at	Bin1	bridging integrator 1	3.5	0.000725331
1423064_at	Dnmt3a	DNA methyltransferase 3A	3.4	0.000215057
1452911_at	Spred1	sprouty protein with EVH-1 domain 1, related sequence	3.4	0.000294292
1455089_at	Gng12	guanine nucleotide binding protein (G protein), gamma 12	3.4	0.000232317
1416996_at	Tbc1d8	TBC1 domain family, member 8	3.4	0.000326863
1436337_at	Dmtf1	cyclin D binding myb-like transcription factor 1	3.4	0.009543635
1436324_at	---	---	3.4	1.35E-07
1436912_at	A430018G15Rik	RIKEN cDNA A430018G15 gene	3.4	0.000134727
1459747_at	---	---	3.4	0.033751475
1460330_at	Anxa3	annexin A3	3.4	6.39E-06
1440298_at	---	---	3.4	0.000667456
1449059_a_at	Oxct1	3-oxoacid CoA transferase 1	3.4	1.88E-06
1415857_at	Emb	embigin	3.4	0.000251923
1436512_at	Arl7	ADP-ribosylation factor-like 7	3.4	0.000474943
1447040_at	---	---	3.4	0.014675802
1448562_at	Upp1	uridine phosphorylase 1	3.4	0.024052425
1455869_at	---	---	3.4	0.009272277
1448303_at	Gpnmb	glycoprotein (transmembrane) nmb	3.3	0.000637005
1423161_s_at	Spred1	sprouty protein with EVH-1 domain 1, related sequence	3.3	5.47E-05
1455263_at	9030625A04Rik	RIKEN cDNA 9030625A04 gene	3.3	0.011413998
1429452_x_at	4933439C20Rik	RIKEN cDNA 4933439C20 gene	3.3	0.000225937
1453144_at	4933439C20Rik	RIKEN cDNA 4933439C20 gene	3.3	0.03421789
1418639_at	Sftpc	surfactant associated protein C	3.3	0.046198302
1435029_at	---	---	3.3	8.60E-06
1434177_at	Ece1	endothelin converting enzyme 1	3.3	1.14E-05
1437513_a_at	Tde2	tumor differentially expressed 2	3.3	4.30E-06
1457753_at	---	---	3.3	0.004566335
1435353_a_at	---	---	3.3	0.004127854
1434773_a_at	Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1	3.3	0.003508307
1420404_at	Cd86	CD86 antigen	3.3	0.002142341
1425525_a_at	P2rx4	purinergic receptor P2X, ligand-gated ion channel 4	3.3	9.44E-06
1459032_at	---	---	3.3	6.32E-05
1416498_at	Ppic	peptidylprolyl isomerase C	3.3	0.005083768
1454884_at	Btbd4	BTB (POZ) domain containing 4	3.3	0.010091784
1454788_at	Arl7	ADP-ribosylation factor-like 7	3.3	0.002661015
1449151_at	Pctk3	PCTAIRE-motif protein kinase 3	3.3	0.000163183
1429088_at	Lbh	limb-bud and heart	3.3	0.002094716
1425764_a_at	Bcat2	branched chain aminotransferase 2, mitochondrial	3.3	7.98E-07
1426555_at	Scpep1	serine caroboxypeptidase 1	3.3	1.51E-05
1429830_a_at	Cd59a	CD59a antigen	3.3	0.022990882
1451152_a_at	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	3.3	9.14E-09
1427891_at	Ian6	immune associated nucleotide 6	3.3	0.005901496
1448894_at	Akr1b8	aldo-keto reductase family 1, member B8	3.3	0.000149618
1432073_at	1700113I22Rik	RIKEN cDNA 1700113I22 gene	3.3	8.96E-05
1415856_at	Emb	embigin	3.2	0.001900868
1455095_at	Hist2h2bb	histone 2, H2bb	3.2	2.21E-07
1423726_at	Vat1	vesicle amine transport protein 1 homolog (T californica)	3.2	1.58E-05
1427202_at	AI256744	EST AI256744	3.2	0.000764233
1449383_at	Adssl1	adenylosuccinate synthetase like 1	3.2	3.24E-05
1423269_a_at	Nedd4l	neural precursor cell expressed, developmentally down-regulated gene 4-like	3.2	0.004215862
1417925_at	Ccl22	chemokine (C-C motif) ligand 22	3.2	0.000237759
1417597_at	Cd28	CD28 antigen	3.2	0.000758399
1416239_at	Ass	argininosuccinate synthetase	3.2	0.000135853
1439352_at	Trim7	tripartite motif protein 7	3.2	6.61E-05
1449037_at	Crem	cAMP responsive element modulator	3.2	0.00038129
1438312_s_at	Ltbp3	latent transforming growth factor beta binding protein 3	3.1	0.039615342
1419033_at	---	---	3.1	0.000260439
1429206_at	Rhobtb1	Rho-related BTB domain containing 1	3.1	2.05E-06
1437046_x_at	Anxa9	annexin A9	3.1	7.07E-06
1426831_at	Ahcyl1	S-adenosylhomocysteine hydrolase-like 1	3.1	0.000170288
1420994_at	B3gnt5	UDP-GlcNAc	3.1	0.001841552
1446720_at	---	---	3.1	0.001711696
1450129_a_at	Socs6	suppressor of cytokine signaling 6	3.1	1.42E-05
1452279_at	Pfc	properdin factor, complement	3.1	2.32E-05
1433639_at	5730593F17Rik	RIKEN cDNA 5730593F17 gene	3.1	3.37E-05
1429676_at	2210408O09Rik	RIKEN cDNA 2210408O09 gene	3.1	0.000539324
1428662_a_at	Hod	homeobox only domain	3.1	0.00043337
1427121_at	Fbxo4	F-box only protein 4	3.1	0.000220634
1455007_s_at	Gpt2	glutamic pyruvate transaminase (alanine aminotransferase) 2	3.1	0.003759545
1455452_x_at	---	---	3.1	0.034515379
1424356_a_at	BC019776	cDNA sequence BC019776	3.1	0.000313179
1443136_at	---	---	3.1	0.003366546
1448566_at	Slc40a1	solute carrier family 40 (iron-regulated transporter), member 1	3.1	0.044263848
1419394_s_at	S100a8	S100 calcium binding protein A8 (calgranulin A)	3.1	0.00140584
1421839_at	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	3.1	4.67E-06
1428140_at	Oxct1	3-oxoacid CoA transferase 1	3.1	7.04E-06
1428777_at	Spred1	sprouty protein with EVH-1 domain 1, related sequence	3	8.80E-05
1423160_at	Spred1	sprouty protein with EVH-1 domain 1, related sequence	3	0.00011646
1426763_at	Oaz2	ornithine decarboxylase antizyme 2	3	1.53E-06
1442798_x_at	---	---	3	2.16E-05
1450749_a_at	Nr4a2	nuclear receptor subfamily 4, group A, member 2	3	0.025140891
1435398_at	Stxbp5	syntaxin binding protein 5 (tomosyn)	3	3.17E-05
1450726_at	Asah2	N-acylsphingosine amidohydrolase 2	3	0.000131505
1426172_a_at	Cd209a	CD209a antigen	3	0.006728164
1416022_at	Fabp5	fatty acid binding protein 5, epidermal	3	8.87E-05
1430700_a_at	Pla2g7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	3	0.009090273
1448752_at	Car2	carbonic anhydrase 2	3	0.01796045
1440666_at	4933430I17Rik	RIKEN cDNA 4933430I17 gene	3	0.023757632
1426754_x_at	Ckap4	cytoskeleton-associated protein 4	3	0.000947667
1428394_at	Lrrc8	leucine-rich repeat-containing 8	3	4.35E-06
1422259_a_at	Ccr5	chemokine (C-C motif) receptor 5	3	0.002004238
1436051_at	Myo5a	myosin Va	3	0.000529987
1437176_at	---	---	3	0.000113465
1423904_a_at	Pvr	poliovirus receptor	3	0.020988744
1418248_at	Gla	galactosidase, alpha	3	2.17E-05
1425436_x_at	Klra3	killer cell lectin-like receptor, subfamily A, member 3	3	0.000507403
1453163_at	Ppp1r12a	protein phosphatase 1, regulatory (inhibitor) subunit 12A	3	0.008887013
1436839_at	2010109K11Rik	RIKEN cDNA 2010109K11 gene	3	4.51E-06
1452405_x_at	---	similar to RIKEN cDNA A430107P09 gene	2.9	0.003205009
1418741_at	Itgb7	integrin beta 7	2.9	4.64E-05
1448276_at	Tm4sf7	transmembrane 4 superfamily member 7	2.9	0.000121661
1426543_x_at	2310067E08Rik	RIKEN cDNA 2310067E08 gene	2.9	0.000104252
1424940_s_at	BC022687	cDNA sequence BC022687	2.9	6.43E-05
1419253_at	Mthfd2	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	2.9	0.000504078
1435658_at	Slc27a1	solute carrier family 27 (fatty acid transporter), member 1	2.9	0.001169129
1417671_at	Scly	selenocysteine lyase	2.9	8.09E-06
1435903_at	B230315M08Rik	RIKEN cDNA B230315M08 gene	2.9	2.91E-06
1450298_at	Tnfsf14	tumor necrosis factor (ligand) superfamily, member 14	2.9	7.15E-05
1425863_a_at	Ptpro	protein tyrosine phosphatase, receptor type, O	2.9	0.001332756
1421739_a_at	Matk	megakaryocyte-associated tyrosine kinase	2.9	0.000211639
1425294_at	Slamf8	SLAM family member 8	2.9	0.007992978
1419712_at	Il3ra	interleukin 3 receptor, alpha chain	2.9	5.41E-05
1447852_x_at	2900002H16Rik	RIKEN cDNA 2900002H16 gene	2.9	0.004618885
1426764_at	Oaz2	ornithine decarboxylase antizyme 2	2.9	2.71E-05
1460436_at	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	2.9	3.32E-06
1420375_at	Kif3a	kinesin family member 3A	2.9	0.000862031
1423162_s_at	Spred1	sprouty protein with EVH-1 domain 1, related sequence	2.9	0.001148694
1431530_a_at	Tm4sf9	transmembrane 4 superfamily member 9	2.9	0.04459401
1450040_at	Timp2	tissue inhibitor of metalloproteinase 2	2.9	0.00014638
1425148_a_at	Snx6	sorting nexin 6	2.9	0.018596813
1426599_a_at	Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1	2.9	0.012570422
1433536_at	Lrp11	low density lipoprotein receptor-related protein 11	2.9	0.000205839
1419413_at	Ccl17	chemokine (C-C motif) ligand 17	2.9	0.030770232
1452089_at	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit	2.9	0.006664782
1425832_a_at	Cxcr6	chemokine (C-X-C motif) receptor 6	2.8	0.033289082
1419515_at	Fgd2	FYVE, RhoGEF and PH domain containing 2	2.8	0.000482932
1457648_x_at	BC004044	cDNA sequence BC004044	2.8	0.008815296
1453016_at	2900042B11Rik	RIKEN cDNA 2900042B11 gene	2.8	0.004792719
1444097_at	BC019776	cDNA sequence BC019776	2.8	0.000118655
1425295_at	Ear11	eosinophil-associated, ribonuclease A family, member 11	2.8	0.031350195
1434302_at	---	---	2.8	5.28E-05
1460378_a_at	Tes	testis derived transcript	2.8	0.000184335
1418004_a_at	1810009M01Rik	RIKEN cDNA 1810009M01 gene	2.8	0.00437946
1452342_at	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	2.8	0.011298057
1452731_x_at	2610042L04Rik	RIKEN cDNA 2610042L04 gene	2.8	0.034850347
1457072_at	---	---	2.8	0.003261201
1434499_a_at	Ldh2	lactate dehydrogenase 2, B chain	2.8	0.017889799
1417611_at	Pr1	protein distantly related to to the gamma subunit family	2.8	0.027050412
1455418_at	---	---	2.8	8.02E-05
1423166_at	Cd36	CD36 antigen	2.8	4.90E-05
1417903_at	Dfna5h	deafness, autosomal dominant 5 homolog (human)	2.8	8.91E-05
1441727_s_at	Zfp467	zinc finger protein 467	2.8	0.000738049
1417516_at	Ddit3	DNA-damage inducible transcript 3	2.8	0.000146016
1421492_at	Ptgds2	prostaglandin D2 synthase 2, hematopoietic	2.8	3.61E-05
1428572_at	Basp1	brain abundant, membrane attached signal protein 1	2.8	0.000267041
1418911_s_at	Acsl4	acyl-CoA synthetase long-chain family member 4	2.8	9.56E-07
1425471_x_at	---	---	2.8	0.033177219
1441604_at	Esd	esterase D/formylglutathione hydrolase	2.7	0.008816511
1424254_at	Ifitm1	interferon induced transmembrane protein 1	2.7	0.000183717
1433944_at	Hectd2	HECT domain containing 2	2.7	0.000212644
1427711_a_at	Ceacam1	CEA-related cell adhesion molecule 1	2.7	0.00206335
1451867_x_at	Arhgap6	Rho GTPase activating protein 6	2.7	1.62E-05
1417632_at	Atp6v0a1	ATPase, H+ transporting, lysosomal V0 subunit a isoform 1	2.7	0.000802
1435260_at	Sdccag8	serologically defined colon cancer antigen 8	2.7	0.001041291
1427412_s_at	Rapgef6	Rap guanine nucleotide exchange factor (GEF) 6	2.7	0.002673522
1451310_a_at	Ctsl	cathepsin L	2.7	9.45E-06
1448183_a_at	Hif1a	hypoxia inducible factor 1, alpha subunit	2.7	0.000194139
1423905_at	Pvr	poliovirus receptor	2.7	0.001905507
1448715_x_at	---	---	2.7	1.19E-05
1426851_a_at	Nov	nephroblastoma overexpressed gene	2.7	0.000979414
1438385_s_at	Gpt2	glutamic pyruvate transaminase (alanine aminotransferase) 2	2.7	0.009132688
1421116_a_at	Rtn4	reticulon 4	2.7	0.000179366
1424287_at	Prkx	protein kinase, X-linked	2.7	0.046746975
1427718_a_at	Mdm2	transformed mouse 3T3 cell double minute 2	2.7	0.041386252
1431611_a_at	Igsf4a	immunoglobulin superfamily, member 4A	2.7	0.000344535
1424915_s_at	2310044G17Rik	RIKEN cDNA 2310044G17 gene	2.7	3.76E-05
1421832_at	Twsg1	twisted gastrulation homolog 1 (Drosophila)	2.7	0.000151053
1420760_s_at	Ndrg1	N-myc downstream regulated gene 1	2.7	0.002346809
1423890_x_at	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	2.7	2.41E-07
1452764_at	Socs6	suppressor of cytokine signaling 6	2.7	1.51E-05
1421188_at	Ccr2	chemokine (C-C motif) receptor 2	2.7	0.021951511
1424048_a_at	Nqo3a2	NAD(P)H	2.7	0.000145164
1449222_at	Ebi3	Epstein-Barr virus induced gene 3	2.7	0.000606036
1434790_a_at	Lta4h	leukotriene A4 hydrolase	2.7	0.000564015
1422191_at	Cd200r1	CD200 receptor 1	2.7	4.89E-06
1434130_at	Lhfpl2	lipoma HMGIC fusion partner-like 2	2.7	0.025636439
1448021_at	---	---	2.7	0.032210571
1448162_at	Vcam1	vascular cell adhesion molecule 1	2.6	0.00035858
1419206_at	Cd37	CD37 antigen	2.6	9.50E-05
1428972_at	0610012D17Rik	RIKEN cDNA 0610012D17 gene	2.6	0.00373571
1420679_a_at	Aig1	androgen-induced 1	2.6	0.007416869
1426852_x_at	Nov	nephroblastoma overexpressed gene	2.6	0.043572103
1448361_at	Ttc3	tetratricopeptide repeat domain 3	2.6	7.52E-06
1417414_at	3-Sep	septin 3	2.6	9.23E-05
1434975_x_at	---	---	2.6	0.000879361
1427228_at	2410003B16Rik	RIKEN cDNA 2410003B16 gene	2.6	0.004811784
1416332_at	Cirbp	cold inducible RNA binding protein	2.6	0.024502636
1416343_a_at	Lamp2	lysosomal membrane glycoprotein 2	2.6	0.001738192
1455993_at	Odz4	odd Oz/ten-m homolog 4 (Drosophila)	2.6	0.0001122
1455793_at	BC035537	cDNA sequence BC035537	2.6	0.000229803
1421052_a_at	Sms	spermine synthase	2.6	9.12E-05
1417185_at	Ly6a	lymphocyte antigen 6 complex, locus A	2.6	0.016034919
1431106_a_at	---	---	2.6	0.001822623
1423680_at	Fads1	fatty acid desaturase 1	2.6	0.00081649
1434530_at	Odz4	odd Oz/ten-m homolog 4 (Drosophila)	2.6	1.25E-05
1433711_s_at	Sesn1	sestrin 1	2.6	0.000115953
1444537_at	AI429363	expressed sequence AI429363	2.6	0.002190035
1419455_at	Il10rb	interleukin 10 receptor, beta	2.6	1.78E-05
1416157_at	Vcl	vinculin	2.6	0.007994064
1460600_at	---	hypothetical LOC245350	2.6	0.001016279
1420548_a_at	2310008H09Rik	RIKEN cDNA 2310008H09 gene	2.6	9.85E-05
1423182_at	Tnfrsf13b	tumor necrosis factor receptor superfamily, member 13b	2.6	0.006792794
1425927_a_at	Atf5	activating transcription factor 5	2.6	2.87E-05
1426642_at	Fn1	fibronectin 1	2.6	0.011473808
1433868_at	Btbd3	BTB (POZ) domain containing 3	2.6	0.000511995
1416910_at	Dnajd1	DnaJ (Hsp40) homolog, subfamily D, member 1	2.6	7.25E-05
1449841_at	Kif3a	kinesin family member 3A	2.6	0.008692972
1433859_at	D030070L09Rik	RIKEN cDNA D030070L09 gene	2.6	0.003570231
1420620_a_at	Rnf13	ring finger protein 13	2.6	0.009834301
1420336_at	Thsd6	thrombospondin, type I domain containing 6	2.6	0.048145668
1437052_s_at	Slc2a3	solute carrier family 2 (facilitated glucose transporter), member 3	2.5	0.00033353
1421847_at	Wsb2	WD repeat and SOCS box-containing 2	2.5	6.50E-05
1450883_a_at	Cd36	CD36 antigen	2.5	0.000115328
1450970_at	Got1	glutamate oxaloacetate transaminase 1, soluble	2.5	0.018876053
1418908_at	Pam	peptidylglycine alpha-amidating monooxygenase	2.5	0.043422213
1423296_at	Psmd8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	2.5	0.002566291
1448449_at	Ripk3	receptor-interacting serine-threonine kinase 3	2.5	0.003644506
1438803_s_at	Snx16	sorting nexin 16	2.5	0.008245421
1424408_at	Lims2	LIM and senescent cell antigen like domains 2	2.5	0.006960363
1434260_at	Fchsd2	FCH and double SH3 domains 2	2.5	0.000641612
1418452_at	---	---	2.5	0.001659641
1434542_at	Gpt2	glutamic pyruvate transaminase (alanine aminotransferase) 2	2.5	0.002178137
1429881_at	Arhgap15	Rho GTPase activating protein 15	2.5	0.000110199
1418718_at	Cxcl16	chemokine (C-X-C motif) ligand 16	2.5	0.001002341
1434026_at	Atp8b2	Atpase, class I, type 8B, member 2	2.5	3.96E-05
1451275_at	E030041M21Rik	RIKEN cDNA E030041M21 gene	2.5	9.59E-05
1420544_at	Gcet2	germinal center expressed transcript 2	2.5	0.007259327
1428157_at	---	---	2.5	0.00312012
1438316_a_at	BC027663	cDNA sequence BC027663	2.5	0.032198455
1448831_at	Angpt2	angiopoietin 2	2.5	0.040400978
1428914_at	C230050L11	hypothetical protein C230050L11	2.5	0.030007384
1456288_at	Slfn5	schlafen 5	2.5	0.004704767
1434447_at	Tef	thyrotroph embryonic factor	2.5	0.003795693
1438730_at	Nav1	neuron navigator 1	2.5	0.031278208
1436990_s_at	Ndg2	Nur77 downstream gene 2	2.5	0.000105254
1416344_at	Lamp2	lysosomal membrane glycoprotein 2	2.5	3.03E-05
1451648_a_at	Folr2	folate receptor 2 (fetal)	2.5	0.000149392
1418509_at	Cbr2	carbonyl reductase 2	2.5	0.001944532
1451210_at	Ppap2c	phosphatidic acid phosphatase type 2c	2.5	0.000213095
1439041_at	Slc39a10	solute carrier family 39 (zinc transporter), member 10	2.5	0.000378487
1419652_s_at	2610200G18Rik	RIKEN cDNA 2610200G18 gene	2.5	0.000267939
1452661_at	Tfrc	transferrin receptor	2.5	0.020807205
1418453_a_at	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	2.5	1.58E-05
1438705_at	---	---	2.5	0.001294263
1447766_x_at	0610025L06Rik	RIKEN cDNA 0610025L06 gene	2.5	0.017797174
1448986_x_at	Dnase2a	deoxyribonuclease II alpha	2.5	0.018617498
1426575_at	Tmem23	transmembrane protein 23	2.5	0.001488497
1452967_at	1700006H03Rik	RIKEN cDNA 1700006H03 gene	2.5	0.001762745
