rank	accession	p-value	gene description
92	203739_at	0.002	gb:NM_006526.1 /DEF=Homo sapiens zinc finger protein 217 (ZNF217), mRNA. /FEA=mRNA /GEN=ZNF217 /PROD=zinc finger protein 217 /DB_XREF=gi:5730123 /UG=Hs.155040 zinc finger protein 217 /FL=gb:AF041259.1 gb:NM_006526.1
93	222292_at	0.002	Consensus includes gb:AW298127 /FEA=EST /DB_XREF=gi:6704763 /DB_XREF=est:UI-H-BW0-ajs-e-05-0-UI.s1 /CLONE=IMAGE:2733008 /UG=Hs.118832 ESTs, Highly similar to A60771 B-cell activation protein CD40 precursor H.sapiens
94	208097_s_at	0.002	gb:NM_030755.1 /DEF=Homo sapiens thioredoxin-related transmembrane protein (TMX), mRNA. /FEA=mRNA /GEN=TMX /PROD=thioredoxin-related transmembrane protein /DB_XREF=gi:13559515 /FL=gb:NM_030755.1
95	205259_at	0.002	gb:NM_000901.1 /DEF=Homo sapiens nuclear receptor subfamily 3, group C, member 2 (NR3C2), mRNA.  /FEA=mRNA /GEN=NR3C2 /PROD=nuclear receptor subfamily 3, group C, member 2 /DB_XREF=gi:4505198 /UG=Hs.1790 nuclear receptor subfamily 3, group C, member 2 /FL=gb:M16801.1 gb:NM_000901.1
96	206059_at	0.002	gb:NM_003430.1 /DEF=Homo sapiens zinc finger protein 91 (HPF7, HTF10) (ZNF91), mRNA. /FEA=mRNA /GEN=ZNF91 /PROD=zinc finger protein 91 (HPF7, HTF10) /DB_XREF=gi:4508040 /UG=Hs.8597 zinc finger protein 91 (HPF7, HTF10) /FL=gb:L11672.1 gb:NM_003430.1
97	213537_at	0.002	Consensus includes gb:AI128225 /FEA=EST /DB_XREF=gi:3596739 /DB_XREF=est:qc33e05.x1 /CLONE=IMAGE:1711424 /UG=Hs.914 Human mRNA for SB classII histocompatibility antigen alpha-chain
98	201563_at	0.002	gb:L29008.1 /DEF=Human L-iditol-2 dehydrogenase mRNA, complete cds. /FEA=mRNA /PROD=L-iditol-2 dehydrogenase /DB_XREF=gi:496077 /UG=Hs.878 sorbitol dehydrogenase /FL=gb:NM_003104.1 gb:L29008.1 gb:U07361.1
99	210993_s_at	0.002	gb:U54826.1 /DEF=Human mad-related protein MADR1 mRNA, complete cds. /FEA=mRNA /PROD=mad-related protein MADR1 /DB_XREF=gi:1332713 /UG=Hs.79067 MAD (mothers against decapentaplegic, Drosophila) homolog 1 /FL=gb:U54826.1 gb:U59912.1
100	221620_s_at	0.002	gb:AF061264.1 /DEF=Homo sapiens brain my025 mRNA, complete cds. /FEA=mRNA /PROD=brain my025 /DB_XREF=gi:12001991 /UG=Hs.40065 hypothetical protein MGC4825 /FL=gb:AF061264.1
101	214581_x_at	0.002	Consensus includes gb:BE568134 /FEA=EST /DB_XREF=gi:9811854 /DB_XREF=est:601341661F1 /CLONE=IMAGE:3683823 /UG=Hs.159651 death receptor 6 /FL=gb:AF068868.1 gb:NM_014452.1
102	206687_s_at	0.002	gb:NM_002831.1 /DEF=Homo sapiens protein tyrosine phosphatase, non-receptor type 6 (PTPN6), mRNA.  /FEA=mRNA /GEN=PTPN6 /PROD=protein tyrosine phosphatase, non-receptor type6 /DB_XREF=gi:4506296 /UG=Hs.63489 protein tyrosine phosphatase, non-receptor type 6 /FL=gb:M74903.1 gb:M77273.1 gb:NM_002831.1
103	217728_at	0.002	gb:NM_014624.2 /DEF=Homo sapiens S100 calcium-binding protein A6 (calcyclin) (S100A6), mRNA.  /FEA=mRNA /GEN=S100A6 /PROD=S100 calcium-binding protein A6 /DB_XREF=gi:9845517 /UG=Hs.275243 S100 calcium-binding protein A6 (calcyclin) /FL=gb:BC001431.1 gb:NM_014624.2
104	203405_at	0.002	gb:NM_003720.1 /DEF=Homo sapiens Down syndrome critical region gene 2 (DSCR2), mRNA. /FEA=mRNA /GEN=DSCR2 /PROD=Down syndrome critical region protein 2 /DB_XREF=gi:4505022 /UG=Hs.5198 Down syndrome critical region gene 2 /FL=gb:BC003619.1 gb:NM_003720.1
105	204446_s_at	0.002	gb:NM_000698.1 /DEF=Homo sapiens arachidonate 5-lipoxygenase (ALOX5), mRNA. /FEA=mRNA /GEN=ALOX5 /PROD=arachidonate 5-lipoxygenase /DB_XREF=gi:4502056 /UG=Hs.89499 arachidonate 5-lipoxygenase /FL=gb:J03600.1 gb:J03571.1 gb:NM_000698.1
106	220692_at	0.002	gb:NM_014147.1 /DEF=Homo sapiens HSPC047 protein (HSPC047), mRNA. /FEA=mRNA /GEN=HSPC047 /PROD=HSPC047 protein /DB_XREF=gi:7661749 /UG=Hs.278943 HSPC047 protein /FL=gb:AF161532.1 gb:NM_014147.1
107	201319_at	0.003	gb:NM_006471.1 /DEF=Homo sapiens myosin, light polypeptide, regulatory, non-sarcomeric (20kD) (MLCB), mRNA.  /FEA=mRNA /GEN=MLCB /PROD=myosin, light polypeptide, regulatory,non-sarcomeric (20kD) /DB_XREF=gi:5453739 /UG=Hs.233936 myosin, light polypeptide, regulatory, non-sarcomeric (20kD) /FL=gb:NM_006471.1
108	219798_s_at	0.003	gb:NM_019606.1 /DEF=Homo sapiens hypothetical protein FLJ20257 (FLJ20257), mRNA. /FEA=mRNA /GEN=FLJ20257 /PROD=hypothetical protein FLJ20257 /DB_XREF=gi:9624989 /UG=Hs.178011 hypothetical protein FLJ20257 /FL=gb:NM_019606.1
109	218856_at	0.003	gb:NM_016629.1 /DEF=Homo sapiens hypothetical protein (LOC51323), mRNA. /FEA=mRNA /GEN=LOC51323 /PROD=hypothetical protein /DB_XREF=gi:7706171 /UG=Hs.65403 hypothetical protein /FL=gb:BC005192.1 gb:AF208860.1 gb:NM_016629.1
110	215933_s_at	0.003	Consensus includes gb:Z21533.1 /DEF=H.sapiens HEX gene encoding homeobox related protein. /FEA=mRNA /GEN=HEX /PROD=homeobox related protein /DB_XREF=gi:32068 /UG=Hs.118651 hematopoietically expressed homeobox
111	210027_s_at	0.003	gb:M80261.1 /DEF=Human apurinic endonuclease (APE) mRNA, complete cds. /FEA=mRNA /GEN=APE /PROD=apurinic endonuclease /DB_XREF=gi:178742 /UG=Hs.73722 APEX nuclease (multifunctional DNA repair enzyme) /FL=gb:BC004979.1 gb:M80261.1
112	212602_at	0.003	Consensus includes gb:AI806395 /FEA=EST /DB_XREF=gi:5392961 /DB_XREF=est:wf27d05.x1 /CLONE=IMAGE:2356809 /UG=Hs.198135 KIAA0993 protein
113	203279_at	0.003	gb:NM_014674.1 /DEF=Homo sapiens KIAA0212 gene product (KIAA0212), mRNA. /FEA=mRNA /GEN=KIAA0212 /PROD=KIAA0212 gene product /DB_XREF=gi:7662001 /UG=Hs.154332 KIAA0212 gene product /FL=gb:D86967.1 gb:NM_014674.1
114	209100_at	0.003	gb:BC001327.1 /DEF=Homo sapiens, interferon-related developmental regulator 2, clone MGC:5552, mRNA, complete cds.  /FEA=mRNA /PROD=interferon-related developmental regulator 2 /DB_XREF=gi:12654958 /UG=Hs.315177 interferon-related developmental regulator 2 /FL=gb:BC001327.1 gb:BC001676.1 gb:NM_006764.1
115	201014_s_at	0.003	gb:NM_006452.1 /DEF=Homo sapiens multifunctional polypeptide similar to SAICAR synthetase and AIR carboxylase (ADE2H1), mRNA.  /FEA=mRNA /GEN=ADE2H1 /PROD=multifunctional polypeptide similar to SAICARsynthetase and AIR carboxylase /DB_XREF=gi:5453538 /UG=Hs.117950 multifunctional polypeptide similar to SAICAR synthetase and AIR carboxylase /FL=gb:NM_006452.1
116	212154_at	0.003	Consensus includes gb:AI380298 /FEA=EST /DB_XREF=gi:4190151 /DB_XREF=est:tf99h06.x1 /CLONE=IMAGE:2107451 /UG=Hs.1501 syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)
117	212737_at	0.003	Consensus includes gb:AL513583 /FEA=EST /DB_XREF=gi:12777077 /DB_XREF=est:AL513583 /CLONE=XCL0BA001ZA05 (3 prime) /UG=Hs.278242 tubulin, alpha, ubiquitous
118	210012_s_at	0.003	gb:BC000527.1 /DEF=Homo sapiens, Similar to Ewing sarcoma breakpoint region 1, clone MGC:8607, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to Ewing sarcoma breakpoint region 1 /DB_XREF=gi:12653510 /UG=Hs.129953 Ewing sarcoma breakpoint region 1 /FL=gb:BC000527.1
119	213594_x_at	0.003	Consensus includes gb:AU130523 /FEA=EST /DB_XREF=gi:10990877 /DB_XREF=est:AU130523 /CLONE=NT2RP3000977 /UG=Hs.3530 TLS-associated serine-arginine protein 2
120	204396_s_at	0.003	gb:NM_005308.1 /DEF=Homo sapiens G protein-coupled receptor kinase 5 (GPRK5), mRNA. /FEA=mRNA /GEN=GPRK5 /PROD=G protein-coupled receptor kinase 5 /DB_XREF=gi:4885348 /UG=Hs.211569 G protein-coupled receptor kinase 5 /FL=gb:L15388.1 gb:NM_005308.1
121	204913_s_at	0.003	Consensus includes gb:AI360875 /FEA=EST /DB_XREF=gi:4112496 /DB_XREF=est:qy01c03.x1 /CLONE=IMAGE:2010724 /UG=Hs.32964 SRY (sex determining region Y)-box 11 /FL=gb:NM_003108.1 gb:AB028641.1 gb:U23752.1
122	218608_at	0.003	gb:NM_022089.1 /DEF=Homo sapiens putative ATPase (HSA9947), mRNA. /FEA=mRNA /GEN=HSA9947 /PROD=putative ATPase /DB_XREF=gi:13435128 /UG=Hs.128866 putative ATPase /FL=gb:NM_022089.1
123	213558_at	0.003	Consensus includes gb:AB011131.1 /DEF=Homo sapiens mRNA for KIAA0559 protein, partial cds. /FEA=mRNA /GEN=KIAA0559 /PROD=KIAA0559 protein /DB_XREF=gi:3043641 /UG=Hs.12376 piccolo (presynaptic cytomatrix protein)
124	207957_s_at	0.003	gb:NM_002738.1 /DEF=Homo sapiens protein kinase C, beta 1 (PRKCB1), mRNA. /FEA=mRNA /GEN=PRKCB1 /PROD=protein kinase C, beta 1 /DB_XREF=gi:4506068 /UG=Hs.77202 protein kinase C, beta 1 /FL=gb:NM_002738.1
125	210785_s_at	0.004	gb:AB035482.1 /DEF=Homo sapiens mRNA for ICB-1beta, complete cds. /FEA=mRNA /PROD=ICB-1beta /DB_XREF=gi:8272423 /UG=Hs.10649 basement membrane-induced gene /FL=gb:AB035482.1
126	202254_at	0.004	Consensus includes gb:AB007900.1 /DEF=Homo sapiens KIAA0440 mRNA, partial cds. /FEA=mRNA /GEN=KIAA0440 /DB_XREF=gi:2662160 /UG=Hs.172180 KIAA0440 protein /FL=gb:AF090990.1 gb:NM_015556.1
127	204914_s_at	0.004	Consensus includes gb:AW157202 /FEA=EST /DB_XREF=gi:6228603 /DB_XREF=est:au92g06.x1 /CLONE=IMAGE:2783770 /UG=Hs.32964 SRY (sex determining region Y)-box 11 /FL=gb:NM_003108.1 gb:AB028641.1 gb:U23752.1
128	202724_s_at	0.004	gb:NM_002015.2 /DEF=Homo sapiens forkhead box O1A (rhabdomyosarcoma) (FOXO1A), mRNA. /FEA=mRNA /GEN=FOXO1A /PROD=forkhead box O1A /DB_XREF=gi:9257221 /UG=Hs.170133 forkhead box O1A (rhabdomyosarcoma) /FL=gb:AF032885.1 gb:U02310.1 gb:NM_002015.2
129	204908_s_at	0.004	gb:NM_005178.1 /DEF=Homo sapiens B-cell CLLlymphoma 3 (BCL3), mRNA. /FEA=mRNA /GEN=BCL3 /PROD=B-cell CLLlymphoma 3 /DB_XREF=gi:4885086 /UG=Hs.31210 B-cell CLLlymphoma 3 /FL=gb:M31732.1 gb:NM_005178.1
130	218478_s_at	0.004	gb:NM_017612.1 /DEF=Homo sapiens hypothetical protein DKFZp434E2220 (DKFZp434E2220), mRNA.  /FEA=mRNA /GEN=DKFZp434E2220 /PROD=hypothetical protein DKFZp434E2220 /DB_XREF=gi:8922133 /UG=Hs.37706 hypothetical protein DKFZp434E2220 /FL=gb:NM_017612.1
131	208056_s_at	0.005	gb:NM_005187.2 /DEF=Homo sapiens core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (CBFA2T3), mRNA.  /FEA=mRNA /GEN=CBFA2T3 /PROD=core-binding factor, runt domain, alpha subunit2; translocated to, 3 /DB_XREF=gi:7427510 /UG=Hs.110099 core-binding factor, runt domain, alpha subunit 2; translocated to, 3 /FL=gb:NM_005187.2
132	208109_s_at	0.005	gb:NM_030944.1 /DEF=Homo sapiens chromosome 15 open reading frame 5 (C15ORF5), mRNA. /FEA=mRNA /GEN=C15ORF5 /PROD=chromosome 15 open reading frame 5 /DB_XREF=gi:13569916 /FL=gb:NM_030944.1
133	215717_s_at	0.005	Consensus includes gb:X62009.1 /DEF=Homo sapiens partial mRNA for fibrillin 5. /FEA=mRNA /PROD=fibrillin 5 /DB_XREF=gi:31399 /UG=Hs.79432 fibrillin 2 (congenital contractural arachnodactyly)
134	219686_at	0.005	gb:NM_018401.1 /DEF=Homo sapiens gene for serinethreonine protein kinase (HSA250839), mRNA.  /FEA=mRNA /GEN=HSA250839 /PROD=gene for serinethreonine protein kinase /DB_XREF=gi:8923753 /UG=Hs.58241 gene for serinethreonine protein kinase /FL=gb:NM_018401.1
135	204689_at	0.005	gb:NM_001529.1 /DEF=Homo sapiens hematopoietically expressed homeobox (HHEX), mRNA. /FEA=mRNA /GEN=HHEX /PROD=hematopoietically expressed homeobox /DB_XREF=gi:10835016 /UG=Hs.118651 hematopoietically expressed homeobox /FL=gb:NM_001529.1 gb:L16499.1 gb:NM_002729.1
136	207571_x_at	0.005	gb:NM_004848.1 /DEF=Homo sapiens basement membrane-induced gene (ICB-1), mRNA. /FEA=mRNA /GEN=ICB-1 /PROD=basement membrane-induced gene /DB_XREF=gi:4758579 /UG=Hs.10649 basement membrane-induced gene /FL=gb:AF044896.1 gb:NM_004848.1
137	218105_s_at	0.005	gb:NM_015956.1 /DEF=Homo sapiens CGI-28 protein (LOC51073), mRNA. /FEA=mRNA /GEN=LOC51073 /PROD=CGI-28 protein /DB_XREF=gi:7705721 /UG=Hs.279652 CGI-28 protein /FL=gb:AF132962.1 gb:NM_015956.1
138	204115_at	0.005	gb:NM_004126.1 /DEF=Homo sapiens guanine nucleotide binding protein 11 (GNG11), mRNA. /FEA=mRNA /GEN=GNG11 /PROD=guanine nucleotide binding protein 11 /DB_XREF=gi:4758447 /UG=Hs.83381 guanine nucleotide binding protein 11 /FL=gb:NM_004126.1 gb:U31384.1
139	208504_x_at	0.005	gb:NM_018931.1 /DEF=Homo sapiens protocadherin beta 11 (PCDHB11), mRNA. /FEA=CDS /GEN=PCDHB11 /PROD=protocadherin beta 11 /DB_XREF=gi:9256603 /UG=Hs.283084 protocadherin beta 11 /FL=gb:AF152490.1 gb:NM_018931.1
140	210432_s_at	0.005	gb:AF225986.1 /DEF=Homo sapiens voltage-gated sodium channel alpha subunit splice variant SCN3A-s (SCN3A) mRNA, complete cds, alternatively spliced.  /FEA=mRNA /GEN=SCN3A /PROD=voltage-gated sodium channel alpha subunitsplice variant SCN3A-s /DB_XREF=gi:12642271 /UG=Hs.300717 sodium channel, voltage-gated, type III, alpha polypeptide /FL=gb:AF225986.1
141	218188_s_at	0.005	gb:NM_012458.1 /DEF=Homo sapiens translocase of inner mitochondrial membrane 13 (yeast) homolog B (TIMM13B), mRNA.  /FEA=mRNA /GEN=TIMM13B /PROD=translocase of inner mitochondrial membrane 13(yeast) homolog B /DB_XREF=gi:11024699 /UG=Hs.23410 translocase of inner mitochondrial membrane 13 (yeast) homolog B /FL=gb:NM_012458.1 gb:AF144700.1 gb:AF152352.1
142	201773_at	0.005	gb:NM_015339.1 /DEF=Homo sapiens activity-dependent neuroprotective protein (ADNP), mRNA.  /FEA=mRNA /GEN=ADNP /PROD=activity-dependent neuroprotective protein /DB_XREF=gi:12229216 /UG=Hs.3657 activity-dependent neuroprotective protein /FL=gb:AF250860.1 gb:NM_015339.1
143	215346_at	0.005	Consensus includes gb:BF664114 /FEA=EST /DB_XREF=gi:11938009 /DB_XREF=est:602145911F1 /CLONE=IMAGE:4309610 /UG=Hs.25648 tumor necrosis factor receptor superfamily, member 5
144	203913_s_at	0.005	Consensus includes gb:AL574184 /FEA=EST /DB_XREF=gi:12934146 /DB_XREF=est:AL574184 /CLONE=CS0DI039YJ22 (3 prime) /UG=Hs.77348 hydroxyprostaglandin dehydrogenase 15-(NAD) /FL=gb:L76465.1 gb:NM_000860.1
145	211043_s_at	0.006	gb:BC006332.1 /DEF=Homo sapiens, clathrin, light polypeptide (Lcb), clone MGC:12930, mRNA, complete cds.  /FEA=mRNA /PROD=clathrin, light polypeptide (Lcb) /DB_XREF=gi:13623458 /FL=gb:BC006332.1
146	217788_s_at	0.006	gb:NM_004481.2 /DEF=Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2) (GALNT2), mRNA.  /FEA=mRNA /GEN=GALNT2 /PROD=polypeptide N-acetylgalactosaminyltransferase 2 /DB_XREF=gi:9945385 /UG=Hs.130181 UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2) /FL=gb:NM_004481.2
147	201391_at	0.006	gb:NM_016292.1 /DEF=Homo sapiens heat shock protein 75 (TRAP1), mRNA. /FEA=mRNA /GEN=TRAP1 /PROD=tumor necrosis factor type 1 receptor associatedprotein /DB_XREF=gi:7706484 /UG=Hs.182366 heat shock protein 75 /FL=gb:BC002994.1 gb:AF154108.1 gb:NM_016292.1
148	201674_s_at	0.006	gb:BC000729.1 /DEF=Homo sapiens, A kinase (PRKA) anchor protein 1, clone MGC:1807, mRNA, complete cds.  /FEA=mRNA /PROD=A kinase (PRKA) anchor protein 1 /DB_XREF=gi:12653874 /UG=Hs.78921 A kinase (PRKA) anchor protein 1 /FL=gb:BC000729.1 gb:NM_003488.1
149	215054_at	0.006	Consensus includes gb:H16758 /FEA=EST /DB_XREF=gi:882998 /DB_XREF=est:ym34e03.s1 /CLONE=IMAGE:50015 /UG=Hs.89548 erythropoietin receptor
150	204326_x_at	0.006	gb:NM_002450.1 /DEF=Homo sapiens metallothionein 1L (MT1L), mRNA. /FEA=mRNA /GEN=MT1L /PROD=metallothionein 1L /DB_XREF=gi:4505270 /UG=Hs.94360 metallothionein 1L /FL=gb:NM_002450.1
151	212161_at	0.006	Consensus includes gb:AA994666 /FEA=EST /DB_XREF=gi:3181155 /DB_XREF=est:ou58a05.s1 /CLONE=IMAGE:1631984 /UG=Hs.19121 adaptor-related protein complex 2, alpha 2 subunit
152	217478_s_at	0.006	Consensus includes gb:X76775 /DEF=H.sapiens HLA-DMA gene /FEA=mRNA_1 /DB_XREF=gi:512468 /UG=Hs.77522 major histocompatibility complex, class II, DM alpha
153	212959_s_at	0.006	Consensus includes gb:AK001821.1 /DEF=Homo sapiens cDNA FLJ10959 fis, clone PLACE1000562. /FEA=mRNA /DB_XREF=gi:7023328 /UG=Hs.7041 hypothetical protein DKFZp762B226
154	201831_s_at	0.006	Consensus includes gb:BE875592 /FEA=EST /DB_XREF=gi:10324368 /DB_XREF=est:601487031F1 /CLONE=IMAGE:3889710 /UG=Hs.325948 vesicle docking protein p115 /FL=gb:D86326.1 gb:NM_003715.1
155	209825_s_at	0.006	gb:BC002906.1 /DEF=Homo sapiens, Similar to uridine monophosphate kinase, clone MGC:10318, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to uridine monophosphate kinase /DB_XREF=gi:12804106 /UG=Hs.75939 uridine monophosphate kinase /FL=gb:BC002906.1 gb:AF236637.1
156	203317_at	0.006	gb:NM_012455.1 /DEF=Homo sapiens SEC7 homolog (TIC), mRNA. /FEA=mRNA /GEN=TIC /PROD=SEC7 homolog /DB_XREF=gi:6912705 /UG=Hs.110121 SEC7 homolog /FL=gb:U63127.1 gb:NM_012455.1
157	208771_s_at	0.006	gb:J02959.1 /DEF=Human leukotriene A-4 hydrolase mRNA, complete cds. /FEA=mRNA /DB_XREF=gi:187174 /UG=Hs.81118 leukotriene A4 hydrolase /FL=gb:J03459.1 gb:J02959.1 gb:NM_000895.1
158	218984_at	0.006	gb:NM_019042.1 /DEF=Homo sapiens hypothetical protein (FLJ20485), mRNA. /FEA=mRNA /GEN=FLJ20485 /PROD=hypothetical protein /DB_XREF=gi:9506680 /UG=Hs.98806 hypothetical protein /FL=gb:BC005209.1 gb:NM_019042.1
159	202749_at	0.006	gb:NM_004627.1 /DEF=Homo sapiens tryptophan rich basic protein (WRB), mRNA. /FEA=mRNA /GEN=WRB /PROD=tryptophan rich basic protein /DB_XREF=gi:4759325 /UG=Hs.198308 tryptophan rich basic protein /FL=gb:NM_004627.1
160	202842_s_at	0.006	gb:AL080081.1 /DEF=Homo sapiens mRNA; cDNA DKFZp564F1862 (from clone DKFZp564F1862); complete cds.  /FEA=mRNA /GEN=DKFZp564F1862 /PROD=hypothetical protein /DB_XREF=gi:5262493 /UG=Hs.6790 DnaJ (Hsp40) homolog, subfamily B, member 9 /FL=gb:AF083247.1 gb:AL080081.1 gb:AB026908.1 gb:NM_012328.1
161	202281_at	0.007	gb:NM_005255.1 /DEF=Homo sapiens cyclin G associated kinase (GAK), mRNA. /FEA=mRNA /GEN=GAK /PROD=cyclin G associated kinase /DB_XREF=gi:4885250 /UG=Hs.153227 cyclin G associated kinase /FL=gb:D88435.1 gb:NM_005255.1
162	208015_at	0.007	gb:NM_015583.1 /DEF=Homo sapiens DKFZP586M0622 protein (DKFZP586M0622), mRNA. /FEA=mRNA /GEN=DKFZP586M0622 /PROD=DKFZP586M0622 protein /DB_XREF=gi:7661687 /UG=Hs.241544 DKFZP586M0622 protein /FL=gb:NM_015583.1
163	35666_at	0.007	Cluster Incl. U38276:Human semaphorin III family homolog mRNA, complete cds /cds=(315,2576) /gb=U38276 /gi=1061350 /ug=Hs.32981 /len=3534
164	219253_at	0.007	gb:NM_024121.1 /DEF=Homo sapiens hypothetical protein FLJ20979 (FLJ20979), mRNA. /FEA=mRNA /GEN=FLJ20979 /PROD=hypothetical protein FLJ20979 /DB_XREF=gi:13129145 /UG=Hs.44680 hypothetical protein FLJ20979 /FL=gb:NM_024121.1
165	203611_at	0.007	gb:NM_005652.1 /DEF=Homo sapiens telomeric repeat binding factor 2 (TERF2), mRNA. /FEA=mRNA /GEN=TERF2 /PROD=telomeric repeat binding factor 2 /DB_XREF=gi:5032168 /UG=Hs.100030 telomeric repeat binding factor 2 /FL=gb:AF002999.1 gb:NM_005652.1
166	209388_at	0.007	gb:BC000927.1 /DEF=Homo sapiens, Similar to poly (A) polymerase, clone MGC:5378, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to poly (A) polymerase /DB_XREF=gi:12654216 /UG=Hs.49007 poly(A) polymerase alpha /FL=gb:BC000927.1
167	201562_s_at	0.008	gb:NM_003104.1 /DEF=Homo sapiens sorbitol dehydrogenase (SORD), mRNA. /FEA=mRNA /GEN=SORD /PROD=sorbitol dehydrogenase /DB_XREF=gi:4507154 /UG=Hs.878 sorbitol dehydrogenase /FL=gb:NM_003104.1 gb:L29008.1 gb:U07361.1
168	202447_at	0.008	gb:NM_001359.1 /DEF=Homo sapiens 2,4-dienoyl CoA reductase 1, mitochondrial (DECR1), nuclear gene encoding mitochondrial protein, mRNA.  /FEA=mRNA /GEN=DECR1 /PROD=2,4-dienoyl CoA reductase 1 precursor /DB_XREF=gi:4503300 /UG=Hs.81548 2,4-dienoyl CoA reductase 1, mitochondrial /FL=gb:U49352.1 gb:NM_001359.1 gb:L26050.1
169	202847_at	0.008	gb:NM_004563.1 /DEF=Homo sapiens phosphoenolpyruvate carboxykinase 2 (mitochondrial) (PCK2), mRNA.  /FEA=mRNA /GEN=PCK2 /PROD=phosphoenolpyruvate carboxykinase 2(mitochondrial) /DB_XREF=gi:4758885 /UG=Hs.75812 phosphoenolpyruvate carboxykinase 2 (mitochondrial) /FL=gb:BC001454.1 gb:NM_004563.1
170	204297_at	0.008	gb:NM_002647.1 /DEF=Homo sapiens phosphoinositide-3-kinase, class 3 (PIK3C3), mRNA. /FEA=mRNA /GEN=PIK3C3 /PROD=phosphoinositide-3-kinase, class 3 /DB_XREF=gi:4505800 /UG=Hs.32971 phosphoinositide-3-kinase, class 3 /FL=gb:NM_002647.1
171	204730_at	0.008	gb:NM_014747.1 /DEF=Homo sapiens KIAA0237 gene product (KIAA0237), mRNA. /FEA=mRNA /GEN=KIAA0237 /PROD=KIAA0237 gene product /DB_XREF=gi:7662015 /UG=Hs.78748 KIAA0237 gene product /FL=gb:D87074.1 gb:NM_014747.1
172	206591_at	0.008	gb:NM_000448.1 /DEF=Homo sapiens recombination activating gene 1 (RAG1), mRNA. /FEA=mRNA /GEN=RAG1 /PROD=recombination activating gene 1 /DB_XREF=gi:4557840 /UG=Hs.73958 recombination activating gene 1 /FL=gb:M29474.1 gb:NM_000448.1
173	216273_at	0.008	Consensus includes gb:X78931.1 /DEF=H.sapiens HZF8 mRNA for zinc finger protein. /FEA=mRNA /GEN=HZF8 /PROD=zinc finger protein /DB_XREF=gi:498733 /UG=Hs.99971 zinc finger protein 272
174	217874_at	0.008	gb:NM_003849.1 /DEF=Homo sapiens succinate-CoA ligase, GDP-forming, alpha subunit (SUCLG1), mRNA.  /FEA=mRNA /GEN=SUCLG1 /PROD=succinate-CoA ligase, GDP-forming, alphasubunit /DB_XREF=gi:11321580 /UG=Hs.7043 succinate-CoA ligase, GDP-forming, alpha subunit /FL=gb:NM_003849.1 gb:BC000504.1 gb:AF104921.2
175	222101_s_at	0.008	Consensus includes gb:BF222893 /FEA=EST /DB_XREF=gi:11130070 /DB_XREF=est:7q24f08.x1 /CLONE=IMAGE:3699231 /UG=Hs.9658 hypothetical protein FLJ11790
176	215322_at	0.008	Consensus includes gb:AL080190.1 /DEF=Homo sapiens mRNA; cDNA DKFZp434A202 (from clone DKFZp434A202). /FEA=mRNA /DB_XREF=gi:5262670 /UG=Hs.189242 Homo sapiens mRNA; cDNA DKFZp434A202 (from clone DKFZp434A202)
177	203299_s_at	0.008	gb:AF251295.1 /DEF=Homo sapiens DC22 mRNA, complete cds. /FEA=mRNA /PROD=DC22 /DB_XREF=gi:12005731 /UG=Hs.40368 adaptor-related protein complex 1, sigma 2 subunit /FL=gb:AF251295.1 gb:BC001117.1 gb:AB015320.1 gb:NM_003916.1
178	204299_at	0.008	gb:NM_021993.1 /DEF=Homo sapiens TLS-associated serine-arginine protein 2 (TASR2), mRNA.  /FEA=mRNA /GEN=TASR2 /PROD=TLS-associated serine-arginine protein 2 /DB_XREF=gi:12056475 /UG=Hs.3530 TLS-associated serine-arginine protein 2 /FL=gb:NM_021993.1 gb:BC005039.1 gb:AF067730.1
179	202481_at	0.008	gb:NM_004753.1 /DEF=Homo sapiens short-chain dehydrogenasereductase 1 (SDR1), mRNA. /FEA=mRNA /GEN=SDR1 /PROD=short-chain dehydrogenasereductase 1 /DB_XREF=gi:4759083 /UG=Hs.17144 short-chain dehydrogenasereductase 1 /FL=gb:BC002730.1 gb:AF061741.1 gb:NM_004753.1
180	212399_s_at	0.008	Consensus includes gb:D50911.2 /DEF=Homo sapiens mRNA for KIAA0121 protein, partial cds. /FEA=mRNA /GEN=KIAA0121 /PROD=KIAA0121 protein /DB_XREF=gi:6633996 /UG=Hs.155584 KIAA0121 gene product
181	205372_at	0.009	gb:NM_002655.1 /DEF=Homo sapiens pleiomorphic adenoma gene 1 (PLAG1), mRNA. /FEA=mRNA /GEN=PLAG1 /PROD=pleiomorphic adenoma gene 1 /DB_XREF=gi:4505854 /UG=Hs.14968 pleiomorphic adenoma gene 1 /FL=gb:U65002.1 gb:NM_002655.1
