rank	accession	p-value	gene description
87	208380_at	0.04	gb:NM_006562.3 /DEF=Homo sapiens transcription factor similar to D. melanogaster homeodomain protein lady bird late (LBX1), mRNA.  /FEA=mRNA /GEN=LBX1 /PROD=transcription factor similar to D. melanogasterhomeodomain protein lady bird late /DB_XREF=gi:11184237 /UG=Hs.37128 transcription factor similar to D. melanogaster homeodomain protein lady bird late /FL=gb:NM_006562.3
88	208697_s_at	0.04	gb:BC000734.1 /DEF=Homo sapiens, eukaryotic translation initiation factor 3, subunit 6 (48kD), clone MGC:2060, mRNA, complete cds.  /FEA=mRNA /PROD=eukaryotic translation initiation factor 3,subunit 6 (48kD) /DB_XREF=gi:12653884 /UG=Hs.106673 eukaryotic translation initiation factor 3, subunit 6 (48kD) /FL=gb:BC000734.1 gb:U62962.1 gb:U54562.1 gb:U85947.1 gb:U94175.1 gb:NM_001568.1
89	208754_s_at	0.04	gb:AL162068.1 /DEF=Homo sapiens mRNA; cDNA DKFZp762G106 (from clone DKFZp762G106); complete cds.  /FEA=mRNA /GEN=DKFZp762G106 /PROD=hypothetical protein /DB_XREF=gi:7328143 /UG=Hs.179662 nucleosome assembly protein 1-like 1 /FL=gb:BC002387.1 gb:AL162068.1
90	212498_at	0.04	Consensus includes gb:AF056433.1 /DEF=Homo sapiens clone FBD3 Cri-du-chat critical region mRNA. /FEA=mRNA /DB_XREF=gi:3044151 /UG=Hs.8078 Homo sapiens clone FBD3 Cri-du-chat critical region mRNA
91	212520_s_at	0.04	Consensus includes gb:AI684141 /FEA=EST /DB_XREF=gi:4895435 /DB_XREF=est:tx79f11.x1 /CLONE=IMAGE:2275821 /UG=Hs.78202 SWISNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
92	213414_s_at	0.04	Consensus includes gb:BE259729 /FEA=EST /DB_XREF=gi:9130437 /DB_XREF=est:601145954F1 /CLONE=IMAGE:3161244 /UG=Hs.298262 ribosomal protein S19
93	214003_x_at	0.04	Consensus includes gb:BF184532 /FEA=EST /DB_XREF=gi:11062829 /DB_XREF=est:601842837F1 /CLONE=IMAGE:4063593 /UG=Hs.8102 ribosomal protein S20
94	217704_x_at	0.04	Consensus includes gb:AI820796 /FEA=EST /DB_XREF=gi:5439875 /DB_XREF=est:an35h08.x5 /CLONE=IMAGE:1700703 /UG=Hs.310806 ESTs, Moderately similar to ALU7_HUMAN ALU SUBFAMILY SQ SEQUENCE CONTAMINATION WARNING ENTRY H.sapiens
95	218564_at	0.04	gb:BC002574.1 /DEF=Homo sapiens, hypothetical protein FLJ10520, clone MGC:954, mRNA, complete cds.  /FEA=mRNA /PROD=hypothetical protein FLJ10520 /DB_XREF=gi:12803494 /UG=Hs.209473 hypothetical protein FLJ10520 /FL=gb:BC002574.1 gb:NM_018124.1
96	218029_at	0.041	gb:NM_024519.1 /DEF=Homo sapiens hypothetical protein FLJ13725 (FLJ13725), mRNA. /FEA=mRNA /GEN=FLJ13725 /PROD=hypothetical protein FLJ13725 /DB_XREF=gi:13375657 /UG=Hs.3074 hypothetical protein FLJ13725 /FL=gb:NM_024519.1
97	200013_at	0.041	gb:NM_000986.1 /DEF=Homo sapiens ribosomal protein L24 (RPL24), mRNA. /FEA=mRNA /GEN=RPL24 /PROD=ribosomal protein L24 /DB_XREF=gi:4506618 /UG=Hs.184582 ribosomal protein L24 /FL=gb:BC000690.1 gb:M94314.1 gb:NM_000986.1
98	200971_s_at	0.041	gb:NM_014445.1 /DEF=Homo sapiens stress-associated endoplasmic reticulum protein 1; ribosome associated membrane protein 4 (SERP1), mRNA.  /FEA=mRNA /GEN=SERP1 /PROD=stress-associated endoplasmic reticulum protein1; ribosome associated membrane protein 4 /DB_XREF=gi:7657551 /UG=Hs.76698 stress-associated endoplasmic reticulum protein 1; ribosome associated membrane protein 4 /FL=gb:AL136807.1 gb:AF136975.1 gb:AB022427.1 gb:NM_014445.1
99	205109_s_at	0.041	gb:NM_015320.1 /DEF=Homo sapiens Rho guanine nucleotide exchange factor (GEF) 4 (ARHGEF4), mRNA.  /FEA=mRNA /GEN=ARHGEF4 /PROD=KIAA1112 protein /DB_XREF=gi:9558722 /UG=Hs.6066 Rho guanine nucleotide exchange factor (GEF) 4 /FL=gb:AF249745.1 gb:NM_015320.1
100	215157_x_at	0.041	Consensus includes gb:AI734929 /FEA=EST /DB_XREF=gi:5056453 /DB_XREF=est:at14d04.x1 /CLONE=IMAGE:2355079 /UG=Hs.172182 poly(A)-binding protein, cytoplasmic 1
101	212099_at	0.041	Consensus includes gb:AI263909 /FEA=EST /DB_XREF=gi:3872112 /DB_XREF=est:qi08f09.x1 /CLONE=IMAGE:1855913 /UG=Hs.204354 ras homolog gene family, member B /FL=gb:NM_004040.1
102	200022_at	0.043	gb:NM_000979.1 /DEF=Homo sapiens ribosomal protein L18 (RPL18), mRNA. /FEA=mRNA /GEN=RPL18 /PROD=ribosomal protein L18 /DB_XREF=gi:4506606 /UG=Hs.75458 ribosomal protein L18 /FL=gb:BC000374.1 gb:L11566.1 gb:NM_000979.1
103	221214_s_at	0.043	gb:NM_015537.1 /DEF=Homo sapiens DKFZP586J1624 protein (DKFZP586J1624), mRNA. /FEA=mRNA /GEN=DKFZP586J1624 /PROD=DKFZP586J1624 protein /DB_XREF=gi:7661679 /UG=Hs.4964 DKFZP586J1624 protein /FL=gb:NM_015537.1
104	218654_s_at	0.043	gb:NM_016071.1 /DEF=Homo sapiens CGI-139 protein (LOC51650), mRNA. /FEA=mRNA /GEN=LOC51650 /PROD=CGI-139 protein /DB_XREF=gi:7706348 /UG=Hs.83006 CGI-139 protein /FL=gb:AF151897.1 gb:AF078858.1 gb:NM_016071.1
105	200091_s_at	0.044	Consensus includes gb:AA888388 /FEA=EST /DB_XREF=gi:3004063 /DB_XREF=est:nw79f03.s1 /CLONE=IMAGE:1252829 /UG=Hs.113029 ribosomal protein S25
106	213465_s_at	0.044	Consensus includes gb:BF718769 /FEA=EST /DB_XREF=gi:12019514 /DB_XREF=est:KEST72 /CLONE=S90413.NIH-107-R.ab1 /UG=Hs.36587 protein phosphatase 1, regulatory subunit 7
107	200602_at	0.044	gb:NM_000484.1 /DEF=Homo sapiens amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease) (APP), mRNA.  /FEA=mRNA /GEN=APP /PROD=amyloid beta (A4) precursor protein (proteasenexin-II, Alzheimer disease) /DB_XREF=gi:4502166 /UG=Hs.177486 amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease) /FL=gb:NM_000484.1
108	218642_s_at	0.044	gb:NM_024300.1 /DEF=Homo sapiens hypothetical protein MGC2217 (MGC2217), mRNA. /FEA=mRNA /GEN=MGC2217 /PROD=hypothetical protein MGC2217 /DB_XREF=gi:13236525 /UG=Hs.323164 hypothetical protein MGC2217 /FL=gb:BC002546.1 gb:NM_024300.1
109	200062_s_at	0.045	gb:L05095.1 /DEF=Homo sapiens ribosomal protein L30 mRNA, complete cds. /FEA=mRNA /PROD=ribosomal protein L30 /DB_XREF=gi:388034 /UG=Hs.111222 ribosomal protein L30 /FL=gb:L05095.1 gb:NM_000989.1
110	203600_s_at	0.045	gb:NM_003704.1 /DEF=Homo sapiens gene with multiple splice variants near HD locus on 4p16.3 (RES4-22), mRNA.  /FEA=mRNA /GEN=RES4-22 /PROD=gene with multiple splice variants near HD locuson 4p16.3 /DB_XREF=gi:4506480 /UG=Hs.325987 gene with multiple splice variants near HD locus on 4p16.3 /FL=gb:AB000459.1 gb:NM_003704.1
111	203611_at	0.045	gb:NM_005652.1 /DEF=Homo sapiens telomeric repeat binding factor 2 (TERF2), mRNA. /FEA=mRNA /GEN=TERF2 /PROD=telomeric repeat binding factor 2 /DB_XREF=gi:5032168 /UG=Hs.100030 telomeric repeat binding factor 2 /FL=gb:AF002999.1 gb:NM_005652.1
112	204122_at	0.045	gb:NM_003332.1 /DEF=Homo sapiens TYRO protein tyrosine kinase binding protein (TYROBP), mRNA.  /FEA=mRNA /GEN=TYROBP /PROD=TYRO protein tyrosine kinase binding protein /DB_XREF=gi:4507754 /UG=Hs.9963 TYRO protein tyrosine kinase binding protein /FL=gb:AF019562.1 gb:NM_003332.1
113	208990_s_at	0.045	gb:AF132362.1 /DEF=Homo sapiens hnRNP 2H9B mRNA, complete cds. /FEA=mRNA /PROD=hnRNP 2H9B /DB_XREF=gi:7739444 /UG=Hs.279681 heterogeneous nuclear ribonucleoprotein H3 (2H9) /FL=gb:AF132362.1
114	202231_at	0.045	gb:NM_006360.1 /DEF=Homo sapiens dendritic cell protein (GA17), mRNA. /FEA=mRNA /GEN=GA17 /PROD=dendritic cell protein /DB_XREF=gi:5453653 /UG=Hs.69469 dendritic cell protein /FL=gb:AF277183.1 gb:AF064603.1 gb:NM_006360.1
115	209695_at	0.045	gb:BC003105.1 /DEF=Homo sapiens, Similar to protein tyrosine phosphatase type IVA, member 3, clone MGC:1950, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to protein tyrosine phosphatase typeIVA, member 3 /DB_XREF=gi:13111874 /UG=Hs.43666 protein tyrosine phosphatase type IVA, member 3 /FL=gb:BC003105.1
116	212473_s_at	0.045	Consensus includes gb:BE965029 /FEA=EST /DB_XREF=gi:11768976 /DB_XREF=est:601658812R1 /CLONE=IMAGE:3886131 /UG=Hs.198793 Homo sapiens cDNA: FLJ22463 fis, clone HRC10126
117	213503_x_at	0.045	Consensus includes gb:BE908217 /FEA=EST /DB_XREF=gi:10402569 /DB_XREF=est:601500477F1 /CLONE=IMAGE:3902323 /UG=Hs.217493 annexin A2
118	213671_s_at	0.045	Consensus includes gb:AA621558 /FEA=EST /DB_XREF=gi:2525497 /DB_XREF=est:af53a09.s1 /CLONE=IMAGE:1035352 /UG=Hs.279946 methionine-tRNA synthetase
119	221700_s_at	0.045	gb:AF348700.1 /DEF=Homo sapiens ubiquitin A-52 residue ribosomal protein fusion product 1 (UBA52), mRNA, complete cds.  /FEA=mRNA /GEN=UBA52 /PROD=ubiquitin A-52 residue ribosomal protein fusionproduct 1 /DB_XREF=gi:13569611 /FL=gb:AF348700.1
120	221732_at	0.045	Consensus includes gb:AK026161.1 /DEF=Homo sapiens cDNA: FLJ22508 fis, clone HRC11772. /FEA=mRNA /DB_XREF=gi:10438922 /UG=Hs.8859 Homo sapiens, Similar to RIKEN cDNA 5830420C20 gene, clone IMAGE:3633379, mRNA, partial cds
121	205020_s_at	0.045	gb:NM_005738.1 /DEF=Homo sapiens ADP-ribosylation factor-like 4 (ARL4), mRNA. /FEA=mRNA /GEN=ARL4 /PROD=ADP-ribosylation factor-like 4 /DB_XREF=gi:5031602 /UG=Hs.201672 ADP-ribosylation factor-like 4 /FL=gb:U73960.1 gb:NM_005738.1
122	204341_at	0.045	gb:NM_006470.1 /DEF=Homo sapiens estrogen-responsive B box protein (EBBP), mRNA. /FEA=mRNA /GEN=EBBP /PROD=estrogen-responsive B box protein /DB_XREF=gi:5453643 /UG=Hs.241305 estrogen-responsive B box protein /FL=gb:AF096870.1 gb:NM_006470.1
123	212433_x_at	0.046	Consensus includes gb:AA630314 /FEA=EST /DB_XREF=gi:2552925 /DB_XREF=est:ac08f07.s1 /CLONE=IMAGE:855877 /UG=Hs.182426 ribosomal protein S2
124	221059_s_at	0.049	gb:NM_021615.1 /DEF=Homo sapiens carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6 (CHST6), mRNA.  /FEA=mRNA /GEN=CHST6 /PROD=carbohydrate (N-acetylglucosamine 6-O)sulfotransferase 6 /DB_XREF=gi:11055975 /UG=Hs.157439 carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6 /FL=gb:AF219990.1 gb:NM_021615.1
125	216570_x_at	0.049	Consensus includes gb:AL096829 /DEF=Human DNA sequence from clone RP4-595K12 on chromosome 1p31.2-31.3 Contains a pseudogene similar to 60S RPL29 (ribosomal protein L29 (cell surface heparin binding protein HIP)), a chromosome 1 specific mRNA (KIAA0499), a novel mRNA (KIAA0433), EST... /FEA=CDS /DB_XREF=gi:6634461 /UG=Hs.302120 Human DNA sequence from clone RP4-595K12 on chromosome 1p31.2-31.3 Contains a pseudogene similar to 60S RPL29 (ribosomal protein L29 (cell surface heparin binding protein HIP)), a chromosome 1 specific mRNA (KIAA0499), a novel mRNA (KIAA0433), ESTs, STSs,
