UGCluster	Symbol	Name	GOabr	Genes Overexpressed in
Hs.528384	SLC29A2	solute carrier family 29 (nucleoside transporters), member 2	cell proliferation|integral to plasma membrane|membrane|nucleobase, nucleoside, nucleotide and nucleic acid metabolism|nucleolus|nucleoside transport|nucleoside transporter activity|nucleoside transporter activity|transport	Immortal cell lines
Hs.179565	MCM3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	ATP binding|DNA binding|DNA replication|DNA replication initiation|DNA-dependent ATPase activity|alpha DNA polymerase:primase complex|cell cycle|nucleus|regulation of transcription, DNA-dependent	Immortal cell lines
Hs.2314	MBL2	mannose-binding lectin (protein C) 2, soluble (opsonic defect)	antigen binding|complement activation, classical pathway|extracellular space|heterophilic cell adhesion|immune response|mannose binding|membrane|sugar binding	Immortal cell lines
Hs.448003	LOC200895	hypothetical protein LOC200895	dihydrofolate reductase activity|glycine biosynthesis|nucleotide biosynthesis	Immortal cell lines
Hs.528307	CIT	citron (rho-interacting, serine/threonine kinase 21)	ATP binding|intracellular|intracellular signaling cascade|protein amino acid phosphorylation|protein serine/threonine kinase activity|small GTPase regulatory/interacting protein activity	Immortal cell lines
Hs.77204	CENPF	centromere protein F, 350/400ka (mitosin)	DNA replication and chromosome cycle|kinetochore|nucleus|regulation of mitosis|spindle	Immortal cell lines
Hs.334828	FLJ10719	hypothetical protein FLJ10719		Immortal cell lines
Hs.294088	GAJ	GAJ protein		Immortal cell lines
Hs.78019	24432	hypothetical protein 24432		Immortal cell lines
Hs.8217	STAG2	stromal antigen 2		Immortal cell lines
Hs.133122	ZDHHC12	zinc finger, DHHC domain containing 12	integral to membrane|metal ion binding	Immortal cell lines
Hs.293636	SHMT1	serine hydroxymethyltransferase 1 (soluble)	L-serine catabolism|cytosol|glycine hydroxymethyltransferase activity|glycine metabolism|one-carbon compound metabolism|transferase activity	Immortal cell lines
Hs.49760	ORC6L	origin recognition complex, subunit 6 homolog-like (yeast)	DNA binding|DNA replication|nucleus	Immortal cell lines
Hs.294584	LTB4DH	leukotriene B4 12-hydroxydehydrogenase	alcohol dehydrogenase activity, zinc-dependent|cytoplasm|leukotriene metabolism|oxidoreductase activity|zinc ion binding	Immortal cell lines
Hs.434102	HMGB1	high-mobility group box 1	DNA unwinding|chromatin|nuclear chromosome|regulation of transcription, DNA-dependent|single-stranded DNA binding	Immortal cell lines
Hs.152707	GBAS	glioblastoma amplified sequence	mitochondrion	Immortal cell lines
Hs.118064		CDNA clone IMAGE:4099512, partial cds		Immortal cell lines
Hs.110713	DEK	DEK oncogene (DNA binding)	DNA binding|GTP binding|RNA binding|SRP-dependent cotranslational membrane targeting|cell growth and/or maintenance|histone binding|nucleus|regulation of transcription from Pol II promoter|signal recognition particle|signal transduction|specific RNA polymerase II transcription factor activity|viral genome replication	Immortal cell lines
Hs.183803	TRAP1	heat shock protein 75	ATP binding|chaperone activity|mitochondrion|protein folding|tumor necrosis factor receptor binding	Immortal cell lines
Hs.118725	SEPHS2	selenophosphate synthetase 2	ATP binding|catalytic activity|cellular_component unknown|selenide, water dikinase activity|selenocysteine biosynthesis|transferase activity	Immortal cell lines
Hs.444619	DXS9879E	DNA segment on chromosome X (unique) 9879 expressed sequence	biological_process unknown|cellular_component unknown|molecular_function unknown	Immortal cell lines
Hs.251531	PSMA4	proteasome (prosome, macropain) subunit, alpha type, 4	endopeptidase activity|proteasome core complex (sensu Eukarya)|ubiquitin-dependent protein catabolism	Immortal cell lines
Hs.380118	RBMX	RNA binding motif protein, X-linked	RNA binding|biological_process unknown|heterogeneous nuclear ribonucleoprotein complex	Immortal cell lines
Hs.284170	HIBADH	3-hydroxyisobutyrate dehydrogenase	3-hydroxyisobutyrate dehydrogenase activity|mitochondrion|oxidoreductase activity|pentose-phosphate shunt|phosphogluconate dehydrogenase (decarboxylating) activity|valine metabolism	Immortal cell lines
Hs.430606	CS	citrate synthase	citrate (Si)-synthase activity|mitochondrion|transferase activity|tricarboxylic acid cycle	Immortal cell lines
Hs.288932	MAK3P	likely ortholog of mouse Mak3p homolog (S. cerevisiae)	N-acetyltransferase activity	Immortal cell lines
Hs.350229	CASC3	cancer susceptibility candidate 3	biological_process unknown|molecular_function unknown|nucleus	Immortal cell lines
Hs.75353	PMPCA	peptidase (mitochondrial processing) alpha	hydrolase activity|mitochondrial inner membrane|mitochondrial processing peptidase activity|mitochondrion|protein binding|proteolysis and peptidolysis	Immortal cell lines
Hs.182825	RPL35	ribosomal protein L35		Immortal cell lines
Hs.378103	RPS5	ribosomal protein S5	RNA binding|cytosolic small ribosomal subunit (sensu Eukarya)|intracellular|protein biosynthesis|structural constituent of ribosome	Immortal cell lines
Hs.183556	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5	dicarboxylic acid transport|integral to plasma membrane|membrane fraction|neutral amino acid transport|neutral amino acid transporter activity|receptor activity|sodium:dicarboxylate symporter activity|symporter activity|transport	Immortal cell lines
Hs.119597	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	endoplasmic reticulum|fatty acid biosynthesis|integral to membrane|iron ion binding|oxidoreductase activity|stearoyl-CoA 9-desaturase activity	Immortal cell lines
Hs.178292	POFUT1	protein O-fucosyltransferase 1	Notch signaling pathway|O-glycan processing|cytoplasm|embryonic development|fucose metabolism|integral to Golgi membrane|manganese ion binding|peptide-O-fucosyltransferase activity|regulation of transcription|regulation of translation|transferase activity, transferring glycosyl groups	Immortal cell lines
Hs.434901	SNRPA1	small nuclear ribonucleoprotein polypeptide A	RNA binding|RNA splicing|snRNP U2	Immortal cell lines
Hs.408754	MAPRE1	microtubule-associated protein, RP/EB family, member 1	cell proliferation|microtubule binding|protein C-terminus binding|regulation of cell cycle	Immortal cell lines
Hs.142868		CDNA FLJ11143 fis, clone PLACE1006598		Immortal cell lines
Hs.430666	HSP70-4	likely ortholog of mouse heat shock protein, 70 kDa 4	ATP binding	Immortal cell lines
Hs.250616	IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha	carbohydrate metabolism|isocitrate dehydrogenase (NAD+) activity|mitochondrion|oxidoreductase activity|tricarboxylic acid cycle	Immortal cell lines
Hs.118554	LACTB2	lactamase, beta 2		Immortal cell lines
Hs.411826	UBE2D3	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	ligase activity|protein modification|ubiquitin conjugating enzyme activity|ubiquitin conjugating enzyme activity|ubiquitin cycle|ubiquitin-dependent protein catabolism|ubiquitin-protein ligase activity|ubiquitin-protein ligase activity	Immortal cell lines
Hs.285290	COQ6	coenzyme Q6 homolog (yeast)	aromatic compound metabolism|electron transport|monooxygenase activity|ubiquinone biosynthesis	Immortal cell lines
Hs.85482	USP13	ubiquitin specific protease 13 (isopeptidase T-3)	cysteine-type endopeptidase activity|hydrolase activity|ubiquitin thiolesterase activity|ubiquitin-dependent protein catabolism|ubiquitin-specific protease activity	Immortal cell lines
Hs.23255	NUP155	nucleoporin 155kDa	nuclear pore|nucleocytoplasmic transport|nucleocytoplasmic transporter activity|nucleus|transport|transporter activity	Immortal cell lines
Hs.444439	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase		Immortal cell lines
Hs.79037	HSPD1	heat shock 60kDa protein 1 (chaperonin)	ATP binding|heat shock protein activity|mitochondrial matrix|mitochondrial matrix protein import|protein folding	Immortal cell lines
Hs.8345	MGC4308	hypothetical protein MGC4308		Immortal cell lines
Hs.3945	C20orf45	chromosome 20 open reading frame 45		Immortal cell lines
Hs.3530	FUSIP1	FUS interacting protein (serine-arginine rich) 1	RNA binding|RS domain binding|assembly of spliceosomal tri-snRNP|chaperone activity|cytoplasm|cytoplasm|cytoplasmic transport|mRNA processing|mRNA-nucleus export|negative regulation of nuclear mRNA splicing, via spliceosome|nuclear mRNA 5-splice site recognition|nuclear mRNA splicing, via spliceosome|nucleoplasm|nucleus|pre-mRNA splicing factor activity|pre-mRNA splicing factor activity|protein binding|protein binding|regulation of transcription|spliceosome assembly	Immortal cell lines
Hs.10724	MRPS35	mitochondrial ribosomal protein S35	mitochondrion|structural constituent of ribosome	Immortal cell lines
Hs.436803	VBP1	von Hippel-Lindau binding protein 1	chaperone activity|prefoldin complex|protein folding	Immortal cell lines
Hs.355819	TIMM50	translocase of inner mitochondrial membrane 50 homolog (yeast)		Immortal cell lines
Hs.102558	MGC5352	hypothetical protein MGC5352	catalytic activity|metabolism	Immortal cell lines
Hs.211594	PSMC4	proteasome (prosome, macropain) 26S subunit, ATPase, 4	ATP binding|ATPase activity|hydrolase activity|nucleotide binding|proteasome complex (sensu Eukarya)|proteolysis and peptidolysis	Immortal cell lines
Hs.173162	NOC4	neighbor of COX4	mitochondrion|molecular_function unknown|nucleus	Immortal cell lines
Hs.88977	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	protein biosynthesis	Immortal cell lines
Hs.307544	HNRPK	heterogeneous nuclear ribonucleoprotein K	DNA binding|RNA binding|RNA processing|heterogeneous nuclear ribonucleoprotein complex|nucleoplasm	Immortal cell lines
Hs.82389	MRPL48	mitochondrial ribosomal protein L48	intracellular|protein biosynthesis|ribosome|structural constituent of ribosome	Immortal cell lines
Hs.79769	PCDH1	protocadherin 1 (cadherin-like 1)	calcium ion binding|cell adhesion|cell-cell signaling|homophilic cell adhesion|integral to plasma membrane|intercellular junction|membrane|neurogenesis|protein binding	Immortal cell lines
Hs.408302	C1orf37	chromosome 1 open reading frame 37		Immortal cell lines
Hs.22879	ANC_2H01	zinc finger protein ANC_2H01	nucleic acid binding|nucleus|zinc ion binding	Immortal cell lines
Hs.439387	FOXK2	forkhead box K2	RNA polymerase II transcription factor activity|nucleus|regulation of transcription from Pol II promoter|transcription factor activity	Immortal cell lines
Hs.124027	SEPHS1	selenophosphate synthetase 1	ATP binding|GTP binding|protein modification|selenide, water dikinase activity|transferase activity	Immortal cell lines
Hs.171834	PCTK1	PCTAIRE protein kinase 1	ATP binding|protein amino acid phosphorylation|protein amino acid phosphorylation|protein serine/threonine kinase activity|protein serine/threonine kinase activity|regulation of cell cycle|transferase activity	Immortal cell lines
Hs.169615	FLJ20989	hypothetical protein FLJ20989		Immortal cell lines
Hs.434986	HRI	heme-regulated initiation factor 2-alpha kinase	ATP binding|autophosphorylation|eukaryotic translation initiation factor 2alpha kinase activity|heme binding|negative regulation of hemoglobin biosynthesis|negative regulation of protein biosynthesis|negative regulation of translational initiation by iron|protein homodimerization activity|response to external stimulus|response to stress|transferase activity	Immortal cell lines
Hs.172589	PWP1	nuclear phosphoprotein similar to S. cerevisiae PWP1	nucleus|transcription	Immortal cell lines
Hs.77324	ETF1	eukaryotic translation termination factor 1	RNA binding|cytoplasm|protein biosynthesis|regulation of translational termination|translation release factor activity, codon specific	Immortal cell lines
Hs.462306	UBE2S	ubiquitin-conjugating enzyme E2S		Immortal cell lines
Hs.458313		Transcribed sequence with strong similarity to protein ref:NP_060850.1 (H.sapiens) DEAD/H		Immortal cell lines
Hs.1578	BIRC5	baculoviral IAP repeat-containing 5 (survivin)	G2/M transition of mitotic cell cycle|anti-apoptosis|apoptosis|cysteine protease inhibitor activity|intracellular|spindle microtubule	Immortal cell lines
Hs.144057	GMPS	guanine monphosphate synthetase		Immortal cell lines
Hs.9075	STK17A	serine/threonine kinase 17a (apoptosis-inducing)	ATP binding|apoptosis|induction of apoptosis|nucleus|protein amino acid phosphorylation|protein kinase cascade|protein serine/threonine kinase activity|transferase activity	Immortal cell lines
Hs.420696	MRPL39	mitochondrial ribosomal protein L39	biological_process unknown|mitochondrial ribosome|mitochondrion|structural constituent of ribosome	Immortal cell lines
Hs.517832	DESR1	DESR1 protein		Immortal cell lines
Hs.119251	UQCRC1	ubiquinol-cytochrome c reductase core protein I	aerobic respiration|electron transport|inner membrane|metalloendopeptidase activity|mitochondrial electron transport chain|mitochondrion|oxidative phosphorylation|oxidoreductase activity|proteolysis and peptidolysis|ubiquinol-cytochrome-c reductase activity	Immortal cell lines
Hs.4209	MRPL37	mitochondrial ribosomal protein L37	catalase activity|electron transport|response to oxidative stress|structural constituent of ribosome	Immortal cell lines
Hs.95351	LIPE	lipase, hormone-sensitive		Immortal cell lines
Hs.101014	KIAA0092	translokin		Immortal cell lines
Hs.410205	NUDT5	nudix (nucleoside diphosphate linked moiety X)-type motif 5	ADP-sugar diphosphatase activity|D-ribose catabolism|hydrolase activity|intracellular|magnesium ion binding|protein binding	Immortal cell lines
Hs.79162	SSRP1	structure specific recognition protein 1	DNA binding|chromatin|nucleus|regulation of transcription, DNA-dependent	Immortal cell lines
Hs.107513	DOCK11	dedicator of cytokinesis 11		Immortal cell lines
Hs.140443	LOC134492	similar to RIKEN cDNA 2700047N05		Immortal cell lines
Hs.43597		Data not found		Immortal cell lines
Hs.15265	HNRPR	heterogeneous nuclear ribonucleoprotein R	RNA binding|heterogeneous nuclear ribonucleoprotein complex|mRNA processing	Immortal cell lines
Hs.385913	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	cytoplasmic vesicle|nucleus|phosphatase inhibitor activity	Immortal cell lines
Hs.41706	DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	ATP binding|ATP-dependent helicase activity|RNA binding|RNA helicase activity	Immortal cell lines
Hs.310922	BCL2L13	BCL2-like 13 (apoptosis facilitator)	caspase activation|caspase activator activity|induction of apoptosis|integral to membrane|mitochondrion|regulation of apoptosis	Immortal cell lines
Hs.476302	HNRPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	RNA binding|RNA splicing|heterogeneous nuclear ribonucleoprotein complex	Immortal cell lines
Hs.74047	ETFB	electron-transfer-flavoprotein, beta polypeptide	electron carrier activity|electron transport|mitochondrial matrix	Immortal cell lines
Hs.82327	GSS	glutathione synthetase	ATP binding|amino acid metabolism|glutathione biosynthesis|glutathione synthase activity|ligase activity|neurogenesis|response to oxidative stress	Immortal cell lines
Hs.3439	STOML2	stomatin (EPB72)-like 2	cytoskeleton|membrane|receptor binding	Immortal cell lines
Hs.82508	THAP11	THAP domain containing 11	DNA binding|nucleus	Immortal cell lines
Hs.108371	E2F4	E2F transcription factor 4, p107/p130-binding		Immortal cell lines
Hs.315177	IFRD2	interferon-related developmental regulator 2	cell differentiation|cell proliferation|cellular_component unknown|molecular_function unknown	Immortal cell lines
Hs.310542	TOMM40	translocase of outer mitochondrial membrane 40 homolog (yeast)	anion transport|integral to membrane|intracellular protein transport|mitochondrial outer membrane|mitochondrial transport|mitochondrion|protein transporter activity|protein-mitochondrial targeting|voltage-dependent ion-selective channel activity	Immortal cell lines
Hs.110757	D21S2056E	DNA segment on chromosome 21 (unique) 2056 expressed sequence	nucleus	Immortal cell lines
Hs.182625	VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C	integral to plasma membrane|protein complex assembly|structural molecule activity	Immortal cell lines
Hs.208388	FANCD2	Fanconi anemia, complementation group D2	biological_process unknown|cellular_component unknown|molecular_function unknown	Immortal cell lines
Hs.159557	KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	DNA metabolism|G2 phase of mitotic cell cycle|M phase specific microtubule process|NLS-bearing substrate-nucleus import|cytoplasm|intracellular protein transport|nuclear localization sequence binding|nucleoplasm|protein binding|protein transporter activity|regulation of DNA recombination	Immortal cell lines
Hs.528652	C9orf86	chromosome 9 open reading frame 86		Immortal cell lines
Hs.411925	C9orf87	chromosome 9 open reading frame 87		Immortal cell lines
Hs.326725	FLJ22624	FLJ22624 protein		Immortal cell lines
Hs.2853	PCBP1	poly(rC) binding protein 1	RNA binding|cytoplasm|mRNA metabolism|nucleus|ribonucleoprotein complex|single-stranded DNA binding	Immortal cell lines
Hs.284286	MRPS24	mitochondrial ribosomal protein S24	biological_process unknown|mitochondrial small ribosomal subunit|mitochondrion|structural constituent of ribosome	Immortal cell lines
Hs.73527	CSNK2B	casein kinase 2, beta polypeptide	Wnt receptor signaling pathway|protein kinase CK2 activity|protein kinase CK2 complex|protein kinase CK2 regulator activity|protein serine/threonine kinase activity|signal transduction|transferase activity	Immortal cell lines
Hs.6126	MANBAL	mannosidase, beta A, lysosomal-like	integral to membrane	Immortal cell lines
Hs.226007	RDH11	retinol dehydrogenase 11 (all-trans and 9-cis)	endoplasmic reticulum|integral to membrane|intracellular|metabolism|oxidoreductase activity|photoreceptor maintenance|retinol dehydrogenase activity|retinol metabolism	Immortal cell lines
Hs.412842	C10orf7	chromosome 10 open reading frame 7		Immortal cell lines
Hs.28914	APRT	adenine phosphoribosyltransferase		Immortal cell lines
Hs.111024	SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	binding|citrate transporter activity|integral to membrane|mitochondrial citrate transport|mitochondrial inner membrane|mitochondrion|transport|transporter activity	Immortal cell lines
Hs.158193	TLOC1	translocation protein 1	cotranslational membrane targeting|endoplasmic reticulum|integral to membrane|protein transport|protein transporter activity|receptor activity	Immortal cell lines
Hs.44298	MRPS17	mitochondrial ribosomal protein S17	intracellular|mitochondrial small ribosomal subunit|mitochondrion|nucleic acid binding|protein biosynthesis|ribosome|structural constituent of ribosome	Immortal cell lines
Hs.283532	BM039	uncharacterized bone marrow protein BM039		Immortal cell lines
Hs.9194	UBADC1	ubiquitin associated domain containing 1		Immortal cell lines
Hs.184339	MELK	maternal embryonic leucine zipper kinase	ATP binding|protein amino acid phosphorylation|protein serine/threonine kinase activity|transferase activity	Immortal cell lines
Hs.436687	SET	SET translocation (myeloid leukemia-associated)	DNA binding|DNA replication|cell growth and/or maintenance|nucleosome assembly|nucleus|protein phosphatase inhibitor activity	Immortal cell lines
Hs.28465		Clone IMAGE:5263527, mRNA		Immortal cell lines
Hs.76084	LMNB2	lamin B2	biological_process unknown|intermediate filament|nuclear lamina|nucleus|structural molecule activity	Immortal cell lines
Hs.178576	CTNNBL1	catenin, beta like 1		Immortal cell lines
Hs.397638	WDR5	WD repeat domain 5	G-protein coupled receptor protein signaling pathway|heterotrimeric G-protein complex|signal transducer activity	Immortal cell lines
Hs.151001	CIRH1A	cirrhosis, autosomal recessive 1A (cirhin)	nucleus	Immortal cell lines
Hs.23476	CIZ1	CDKN1A interacting zinc finger protein 1	nucleic acid binding|nucleus|nucleus|regulation of cell cycle|zinc ion binding|zinc ion binding	Immortal cell lines
Hs.6879	DC13	DC13 protein		Immortal cell lines
Hs.4815	NUDT3	nudix (nucleoside diphosphate linked moiety X)-type motif 3	calcium-mediated signaling|cell-cell signaling|cyclic-nucleotide-mediated signaling|diadenosine polyphosphate catabolism|diphosphoinositol-polyphosphate diphosphatase activity|hydrolase activity|intracellular|intracellular signaling cascade|intracellular transport|regulation of RNA-nucleus export	Immortal cell lines
Hs.382044	MRPS2	mitochondrial ribosomal protein S2	intracellular|mitochondrion|protein biosynthesis|small ribosomal subunit|structural constituent of ribosome	Immortal cell lines
Hs.446393	CPSF5	cleavage and polyadenylation specific factor 5, 25 kDa	RNA binding|mRNA processing|nucleus	Immortal cell lines
Hs.119192	H2AFZ	H2A histone family, member Z	DNA binding|chromosome|chromosome organization and biogenesis (sensu Eukarya)|nucleosome|nucleosome assembly|nucleus	Immortal cell lines
Hs.164021	CXCL6	chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	RNA binding|RNA-dependent DNA replication|RNA-directed DNA polymerase activity|cell-cell signaling|chemokine activity|chemotaxis|extracellular|heparin binding|immune response|inflammatory response|signal transduction|transferase activity	Immortal cell lines
Hs.440475	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)		Immortal cell lines
Hs.70704	C20orf129	chromosome 20 open reading frame 129		Immortal cell lines
Hs.62180	ANLN	anillin, actin binding protein (scraps homolog, Drosophila)		Immortal cell lines
Hs.270845	KIF23	kinesin family member 23		Immortal cell lines
Hs.278839	C20orf77	chromosome 20 open reading frame 77		Immortal cell lines
Hs.405958	CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	ATP binding|DNA replication checkpoint|cytokinesis|cytoplasm|negative regulation of DNA replication|negative regulation of cell proliferation|nucleotide binding|nucleotide binding|nucleus|regulation of cyclin dependent protein kinase activity|traversing start control point of mitotic cell cycle	Immortal cell lines
Hs.73072	CCT6B	chaperonin containing TCP1, subunit 6B (zeta 2)		Immortal cell lines
Hs.403914	VASP	vasodilator-stimulated phosphoprotein		Immortal cell lines
Hs.17834	DONSON	downstream neighbor of SON	biological_process unknown|cellular_component unknown|molecular_function unknown	Immortal cell lines
Hs.510847		MRNA; cDNA DKFZp779B0634 (from clone DKFZp779B0634)		Immortal cell lines
Hs.146449	NUP153	nucleoporin 153kDa	DNA binding|nuclear pore|nucleus|transport|transporter activity	Immortal cell lines
Hs.436187	TRIP13	thyroid hormone receptor interactor 13	ATP binding|nucleotide binding|nucleus|nucleus|receptor activity|transcription cofactor activity|transcription from Pol II promoter	Immortal cell lines
Hs.278338	GPSM2	G-protein signalling modulator 2 (AGS3-like, C. elegans)		Immortal cell lines
Hs.21331	FLJ10036	hypothetical protein FLJ10036		Immortal cell lines
Hs.438749		CDNA FLJ40955 fis, clone UTERU2011199		Immortal cell lines
Hs.516796		CDNA: FLJ21923 fis, clone HEP04081		Immortal cell lines
Hs.198271	NDUFA10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa	ATP binding|NADH dehydrogenase (ubiquinone) activity|NADH dehydrogenase activity|energy pathways|membrane fraction|mitochondrion|nucleobase, nucleoside, nucleotide and nucleic acid metabolism|oxidoreductase activity|phosphotransferase activity, alcohol group as acceptor	Immortal cell lines
Hs.435982	FLJ10407	hypothetical protein FLJ10407		Immortal cell lines
Hs.409065	FEN1	flap structure-specific endonuclease 1	DNA replication|UV protection|damaged DNA binding|double-strand break repair|double-stranded DNA binding|double-stranded DNA specific exodeoxyribonuclease activity|endonuclease activity|exonuclease activity|hydrolase activity|nucleus	Immortal cell lines
Hs.7744	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	NADH dehydrogenase (ubiquinone) activity|NADH dehydrogenase activity|energy pathways|membrane fraction|mitochondrial electron transport, NADH to ubiquinone|mitochondrial inner membrane|mitochondrion|oxidoreductase activity	Immortal cell lines
Hs.424099	EPPB9	B9 protein		Immortal cell lines
Hs.109059	MRPL12	mitochondrial ribosomal protein L12	RNA binding|intracellular|mitochondrial large ribosomal subunit|mitochondrion|protein biosynthesis|protein biosynthesis|ribosome|structural constituent of ribosome|structural constituent of ribosome	Immortal cell lines
Hs.389101	RALY	RNA binding protein (autoantigenic, hnRNP-associated with lethal yellow)	RNA binding|nucleus|ribonucleoprotein complex	Immortal cell lines
Hs.418450	MRPL11	mitochondrial ribosomal protein L11	intracellular|mitochondrion|protein biosynthesis|ribosome|structural constituent of ribosome	Immortal cell lines
Hs.405860	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	L-malate dehydrogenase activity|mitochondrial matrix|oxidoreductase activity|tricarboxylic acid cycle	Immortal cell lines
Hs.184877	SLC25A11	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11		Immortal cell lines
Hs.44017	MRPL41	mitochondrial ribosomal protein L41	structural constituent of ribosome	Immortal cell lines
Hs.169919	ETFA	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	electron carrier activity|electron transport|mitochondrial matrix	Immortal cell lines
Hs.430299	PXMP2	peroxisomal membrane protein 2, 22kDa		Immortal cell lines
Hs.109706	HN1	hematological and neurological expressed 1		Immortal cell lines
Hs.234896	GMNN	geminin, DNA replication inhibitor	cell cycle|cell cycle arrest|negative regulation of DNA replication	Immortal cell lines
Hs.521070	ZNF3	zinc finger protein 3 (A8-51)	cell differentiation|immune cell activation|intracellular|nucleic acid binding|nucleus|regulation of transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription factor activity|zinc ion binding	Immortal cell lines
Hs.448753		U93 scaRNA gene, complete sequence		Immortal cell lines
Hs.172052	PLK4	polo-like kinase 4 (Drosophila)	ATP binding|cell cycle|protein amino acid phosphorylation|protein serine/threonine kinase activity|transferase activity	Immortal cell lines
Hs.118666	PP591	FAD-synthetase	Mo-molybdopterin cofactor biosynthesis|metabolism|transferase activity	Immortal cell lines
Hs.145647		Transcribed sequences		Immortal cell lines
Hs.440835	SF1	splicing factor 1	DNA binding|RNA binding|RNA polymerase II transcription factor activity|metal ion binding|nuclear mRNA splicing, via spliceosome|nucleus|regulation of transcription, DNA-dependent|spliceosome complex|transcription corepressor activity	Immortal cell lines
Hs.369523	DKFZp686A17109	hypothetical protein DKFZp686A17109	ATP binding|protein amino acid phosphorylation|protein serine/threonine kinase activity|small GTPase regulatory/interacting protein activity	Immortal cell lines
Hs.21635	TUBG1	tubulin, gamma 1	GTP binding|centrosome|condensed nuclear chromosome|gamma-tubulin complex|meiotic spindle assembly|microtubule|microtubule nucleation|microtubule-based movement|mitotic spindle assembly|polar microtubule|protein binding|regulation of mitosis|spindle pole body|structural constituent of cytoskeleton	Immortal cell lines
Hs.121025	C11orf5	chromosome 11 open reading frame 5		Immortal cell lines
Hs.356630	NUTF2	nuclear transport factor 2	cytosol|intracellular protein transport|nuclear pore|nucleus|protein transporter activity|protein-nucleus import	Immortal cell lines
Hs.388813	ZFP1	zinc finger protein 1 homolog (mouse)	nucleic acid binding|nucleus|zinc ion binding	Immortal cell lines
Hs.47125	FLJ13912	hypothetical protein FLJ13912		Immortal cell lines
Hs.411433	FANCL	Fanconi anemia, complementation group L	DNA repair|ligase activity|nucleus	Immortal cell lines
Hs.250745	RPC62	polymerase (RNA) III (DNA directed) (62kD)	DNA binding|DNA-directed RNA polymerase III complex|DNA-directed RNA polymerase activity|DNA-directed RNA polymerase activity|regulation of transcription from Pol III promoter|transcription	Immortal cell lines
Hs.406510	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	ATP binding|ATP synthesis coupled proton transport|energy pathways|hydrogen-exporting ATPase activity, phosphorylative mechanism|hydrogen-transporting ATP synthase activity, rotational mechanism|hydrogen-transporting ATPase activity, rotational mechanism|hydrolase activity|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|mitochondrion|nucleotide binding|proton transport|proton-transporting ATP synthase complex (sensu Eukarya)|proton-transporting ATP synthase, catalytic core (sensu Eukarya)|transporter activity	Immortal cell lines
Hs.488473		Transcribed sequence with strong similarity to protein prf:2201310A (H.sapiens) 2201310A microsomal protein P58 [Homo sapiens]		Immortal cell lines
Hs.371698	RAE1	RAE1 RNA export 1 homolog (S. pombe)	RNA binding|cytoskeleton|mRNA-nucleus export|nuclear outer membrane|nuclear pore|nucleus	Immortal cell lines
Hs.114360	TSC22	transforming growth factor beta-stimulated protein TSC-22	nucleus|regulation of transcription, DNA-dependent|transcription factor activity|transcription from Pol II promoter	Immortal cell lines
Hs.128791	CGI-09	CGI-09 protein	regulation of translational initiation|translation initiation factor activity	Immortal cell lines
Hs.333786	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2		Immortal cell lines
Hs.18259	XAB1	XPA binding protein 1	ATP binding|GTP binding|nucleotide binding|small GTPase mediated signal transduction	Immortal cell lines
Hs.252457	MVD	mevalonate (diphospho) decarboxylase	ATP binding|cholesterol biosynthesis|diphosphomevalonate decarboxylase activity|isoprenoid biosynthesis|kinase activity|lyase activity|phosphorylation	Immortal cell lines
Hs.75798	C20orf111	chromosome 20 open reading frame 111		Immortal cell lines
Hs.90107	ADRM1	adhesion regulating molecule 1	cell adhesion|integral to plasma membrane|membrane fraction|protein binding	Immortal cell lines
Hs.75682	RCD-8	autoantigen	biological_process unknown|molecular_function unknown|nucleus	Immortal cell lines
Hs.1063	SNRPC	small nuclear ribonucleoprotein polypeptide C	RNA binding|RNA splicing|snRNP U1|zinc ion binding	Immortal cell lines
Hs.82426	KIAA0247	KIAA0247	integral to membrane	Immortal cell lines
