Mouse Probe Set ID	Gene Title	Gene Symbol	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Human Probe Set ID	Gene Symbol
1434282_at	inhibitor of Bruton agammaglobulinemia tyrosine kinase	Ibtk	1933 // negative regulation of protein amino acid phosphorylation // inferred from sequence or structural similarity /// 51209 // release of sequestered calcium ion into cytoplasm // inferred from sequence or structural similarity	5737 // cytoplasm // inferred from sequence or structural similarity	19901 // protein kinase binding // inferred from sequence or structural similarity /// 30292 // protein tyrosine kinase inhibitor activity // inferred from sequence or structural similarity	215086_at	IBTK
1448862_at	intercellular adhesion molecule 2	Icam2	7155 // cell adhesion // inferred from electronic annotation /// 16337 // cell-cell adhesion // inferred from electronic annotation	1931 // uropod // inferred from direct assay /// 5887 // integral to plasma membrane // inferred from direct assay /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	5515 // protein binding // inferred from physical interaction	213620_s_at	ICAM2
1423555_a_at	interferon-induced protein 44	Ifi44	---	---	---	214059_at	IFI44
1440169_x_at	interferon (alpha and beta) receptor 2	Ifnar2	6357 // regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 8283 // cell proliferation // inferred from direct assay	5615 // extracellular space // inferred from direct assay /// 5615 // extracellular space // traceable author statement /// 16020 // membrane // inferred from sequence or structural similarity /// 16021 // integral to membrane // traceable author statement	4872 // receptor activity // inferred from electronic annotation /// 4896 // hematopoietin/interferon-class (D200-domain) cytokine receptor activity // inferred from sequence or structural similarity /// 4905 // interferon-alpha/beta receptor activity // inferred from direct assay	204786_s_at	IFNAR2
1422317_a_at	interleukin 1 receptor-like 1	Il1rl1	6306 // DNA methylation // inferred from sequence or structural similarity /// 6952 // defense response // inferred from electronic annotation	5615 // extracellular space // traceable author statement /// 5886 // plasma membrane // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	3677 // DNA binding // inferred from sequence or structural similarity /// 4872 // receptor activity // inferred from electronic annotation /// 4888 // transmembrane receptor activity // inferred from electronic annotation /// 4908 // interleukin-1 receptor activity // inferred from electronic annotation /// 8170 // N-methyltransferase activity // inferred from sequence or structural similarity	207526_s_at	IL1RL1
1423267_s_at	integrin alpha 5 (fibronectin receptor alpha)	Itga5	7044 // cell-substrate junction assembly // inferred from direct assay /// 7155 // cell adhesion // inferred from electronic annotation /// 7160 // cell-matrix adhesion // inferred from electronic annotation /// 7229 // integrin-mediated signaling pathway // inferred from electronic annotation /// 7613 // memory // inferred from mutant phenotype	5615 // extracellular space // traceable author statement /// 8305 // integrin complex // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement /// 19717 // synaptosome // inferred from direct assay	4872 // receptor activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction	201389_at	ITGA5
1455404_at	junctophilin 2	Jph2	7204 // positive regulation of cytosolic calcium ion concentration // inferred from mutant phenotype /// 7275 // development // inferred from electronic annotation	5624 // membrane fraction // inferred from direct assay /// 5783 // endoplasmic reticulum // inferred from electronic annotation /// 5792 // microsome // inferred from direct assay /// 16021 // integral to membrane // traceable author statement /// 16529 // sarcoplasmic reticulum // inferred from direct assay /// 16529 // sarcoplasmic reticulum // traceable author statement /// 30018 // Z disc // inferred from direct assay	5515 // protein binding // inferred from physical interaction	229578_at	JPH2
1435465_at	RIKEN cDNA 4930465M17 gene	4930465M17Rik	---	---	---	204301_at	KBTBD11
1421852_at	potassium channel, subfamily K, member 5	Kcnk5	6810 // transport // inferred from electronic annotation /// 6811 // ion transport // inferred from sequence or structural similarity /// 6812 // cation transport // inferred from sequence or structural similarity /// 6813 // potassium ion transport // inferred from electronic annotation /// 7588 // excretion // inferred from sequence or structural similarity	5615 // extracellular space // traceable author statement /// 5624 // membrane fraction // inferred from sequence or structural similarity /// 5887 // integral to plasma membrane // inferred from electronic annotation /// 16020 // membrane // inferred from sequence or structural similarity /// 16021 // integral to membrane // traceable author statement	5216 // ion channel activity // inferred from electronic annotation /// 5244 // voltage-gated ion channel activity // inferred from electronic annotation /// 5261 // cation channel activity // inferred from sequence or structural similarity /// 5267 // potassium channel activity // inferred from electronic annotation	219615_s_at	KCNK5
1435945_a_at	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	Kcnn4	6810 // transport // inferred from electronic annotation /// 6811 // ion transport // inferred from electronic annotation /// 6813 // potassium ion transport // inferred from electronic annotation /// 50714 // positive regulation of protein secretion // inferred from direct assay	5887 // integral to plasma membrane // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	5216 // ion channel activity // inferred from electronic annotation /// 5267 // potassium channel activity // inferred from electronic annotation /// 5516 // calmodulin binding // inferred from electronic annotation /// 15269 // calcium-activated potassium channel activity // inferred from direct assay /// 16286 // small conductance calcium-activated potassium channel activity // inferred from electronic annotation	204401_at	KCNN4
1456120_at	RIKEN cDNA 3110001I20 gene	3110001I20Rik	---	---	---	212451_at	KIAA0256
1433993_at	RIKEN cDNA 4931406P16 gene	4931406P16Rik	---	---	---	203288_at	KIAA0355
1427907_at	RIKEN cDNA 1110037F02 gene	1110037F02Rik	---	---	---	243927_x_at	KIAA1429
1420630_at	RIKEN cDNA 8430419L09 gene	8430419L09Rik	---	16021 // integral to membrane // traceable author statement	---	213232_at	KIAA1467
1455429_at	expressed sequence AI450540	AI450540	---	---	---	226155_at	KIAA1600
1439018_at	RIKEN cDNA 6330505N24 gene	6330505N24Rik	---	---	---	226599_at	KIAA1727
1431299_a_at	RIKEN cDNA 2310014H01 gene	2310014H01Rik	---	---	---	224927_at	KIAA1949
1449877_s_at	kinesin family member C1	Kifc1	7017 // microtubule-based process // inferred from electronic annotation	5871 // kinesin complex // inferred from electronic annotation	3774 // motor activity // inferred from electronic annotation /// 3777 // microtubule motor activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation	209680_s_at	KIFC1
1458389_at	Kruppel-like factor 7 (ubiquitous)	Klf7	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5634 // nucleus // inferred from electronic annotation	3676 // nucleic acid binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation	238482_at	KLF7
1417156_at	keratin complex 1, acidic, gene 19	Krt1-19	7010 // cytoskeleton organization and biogenesis // inferred from electronic annotation	5882 // intermediate filament // inferred from electronic annotation /// 30018 // Z disc // inferred from direct assay /// 42383 // sarcolemma // inferred from direct assay	5198 // structural molecule activity // inferred from electronic annotation /// 5200 // structural constituent of cytoskeleton // inferred from electronic annotation	201650_at	KRT19
1436905_x_at	lysosomal-associated protein transmembrane 5	Laptm5	---	5764 // lysosome // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	---	201720_s_at	LAPTM5
1421101_a_at	LIM domain binding 2	Ldb2	7275 // development // inferred from sequence or structural similarity	5634 // nucleus // inferred from electronic annotation	3712 // transcription cofactor activity // inferred from sequence or structural similarity	206481_s_at	LDB2
1421217_a_at	lectin, galactose binding, soluble 9	Lgals9	---	---	5529 // sugar binding // inferred from electronic annotation	203236_s_at	LGALS9
1435691_at	ES cells cDNA, RIKEN full-length enriched library, clone:C330021I02 product:unknown EST, full insert sequence	---	---	---	---	236150_at	LOC123688
1435571_at	RIKEN cDNA A530065I17 gene	A530065I17Rik	---	---	---	227747_at	LOC196264
1439560_x_at	hypothetical gene supported by BC047216	LOC436333	---	---	---	229599_at	LOC440335
1450009_at	lactotransferrin	Ltf	6810 // transport // inferred from electronic annotation /// 6826 // iron ion transport // inferred from electronic annotation /// 6879 // iron ion homeostasis // inferred from electronic annotation	5576 // extracellular region // inferred from electronic annotation /// 5615 // extracellular space // traceable author statement	8199 // ferric iron binding // inferred from electronic annotation	202018_s_at	LOC728320 /// LTF
1459150_at	RIKEN cDNA 4732417M03 gene	Lrch1	---	---	---	214936_at	LRCH1
1427998_at	RIKEN cDNA 2600001B17 gene	2600001B17Rik	---	---	---	212529_at	LSM12
1423284_at	MANSC domain containing 1	Mansc1	---	5615 // extracellular space // traceable author statement /// 16021 // integral to membrane // traceable author statement	---	220945_x_at	MANSC1
1425029_a_at	O-acyltransferase (membrane bound) domain containing 2	Oact2	---	16021 // integral to membrane // traceable author statement	8415 // acyltransferase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	226726_at	MBOAT2
1415897_a_at	microsomal glutathione S-transferase 1	Mgst1	6749 // glutathione metabolism // inferred from direct assay	5739 // mitochondrion // inferred from direct assay /// 5739 // mitochondrion // inferred from sequence or structural similarity /// 5792 // microsome // inferred from direct assay /// 5792 // microsome // inferred from sequence or structural similarity /// 16020 // membrane // inferred from sequence or structural similarity	4364 // glutathione transferase activity // inferred from direct assay /// 4364 // glutathione transferase activity // inferred from sequence or structural similarity /// 16740 // transferase activity // inferred from electronic annotation	239001_at	MGST1
1449896_at	melanophilin	Mlph	6886 // intracellular protein transport // inferred from electronic annotation /// 30318 // melanocyte differentiation // inferred from mutant phenotype	15629 // actin cytoskeleton // inferred from direct assay /// 42470 // melanosome // traceable author statement	3779 // actin binding // inferred from direct assay /// 5515 // protein binding // inferred from physical interaction /// 17022 // myosin binding // inferred from direct assay /// 17137 // Rab GTPase binding // inferred from direct assay	218211_s_at	MLPH
1423253_at	myelin protein zero	Mpz	45217 // intercellular junction maintenance // inferred from mutant phenotype	5615 // extracellular space // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	5198 // structural molecule activity // inferred from electronic annotation	210280_at	MPZ
1420488_at	mitochondrial ribosomal protein S14	Mrps14	6412 // protein biosynthesis // inferred from sequence or structural similarity	5615 // extracellular space // traceable author statement /// 5622 // intracellular // inferred from sequence or structural similarity /// 5739 // mitochondrion // inferred from direct assay /// 5763 // mitochondrial small ribosomal subunit // inferred from sequence or structural similarity /// 5840 // ribosome // inferred from sequence or structural similarity /// 30529 // ribonucleoprotein complex // inferred from electronic annotation	3735 // structural constituent of ribosome // inferred from sequence or structural similarity	203801_at	MRPS14
1434279_at	RIKEN cDNA E430003D02 gene	E430003D02Rik	---	---	---	204101_at	MTM1
1424933_at	myosin VC	Myo5c	---	16459 // myosin // inferred from electronic annotation	3774 // motor activity // inferred from electronic annotation /// 3779 // actin binding // inferred from electronic annotation /// 5516 // calmodulin binding // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation	218966_at	MYO5C
1457374_at	Neural precursor cell expressed, developmentally down-regulated gene 4-like	Nedd4l	6464 // protein modification // inferred from sequence or structural similarity /// 6512 // ubiquitin cycle // inferred from sequence or structural similarity	5622 // intracellular // inferred from sequence or structural similarity	4842 // ubiquitin-protein ligase activity // inferred from sequence or structural similarity /// 16874 // ligase activity // inferred from electronic annotation	212448_at	NEDD4L
1440789_at	neogenin	Neo1	6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7155 // cell adhesion // inferred from electronic annotation	16021 // integral to membrane // inferred from electronic annotation	5021 // vascular endothelial growth factor receptor activity // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation	229877_at	NEO1
1421163_a_at	nuclear factor I/A	Nfia	6260 // DNA replication // inferred from electronic annotation /// 6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // inferred from direct assay /// 3700 // transcription factor activity // inferred from electronic annotation	224970_at	NFIA
1418217_at	non-metastatic cells 7, protein expressed in	Nme7	6183 // GTP biosynthesis // inferred from electronic annotation /// 6228 // UTP biosynthesis // inferred from electronic annotation /// 6241 // CTP biosynthesis // inferred from electronic annotation /// 9117 // nucleotide metabolism // inferred from electronic annotation	---	166 // nucleotide binding // inferred from electronic annotation /// 287 // magnesium ion binding // inferred from electronic annotation /// 4550 // nucleoside-diphosphate kinase activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	227556_at	NME7
1456263_at	Notch gene homolog 4 (Drosophila)	Notch4	6118 // electron transport // inferred from sequence or structural similarity /// 6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from sequence or structural similarity /// 7275 // development // inferred from electronic annotation /// 7399 // neurogenesis // inferred from sequence or structural similarity /// 30154 // cell differentiation // inferred from sequence or structural similarity /// 50793 // regulation of development // inferred from electronic annotation /// 50875 // cellular physiological process // inferred from sequence or structural similarity	5615 // extracellular space // traceable author statement /// 16020 // membrane // inferred from sequence or structural similarity /// 16021 // integral to membrane // inferred from sequence or structural similarity /// 45285 // ubiquinol-cytochrome-c reductase complex // inferred from sequence or structural similarity	3677 // DNA binding // inferred from sequence or structural similarity /// 3700 // transcription factor activity // inferred from sequence or structural similarity /// 4872 // receptor activity // inferred from electronic annotation /// 5509 // calcium ion binding // inferred from sequence or structural similarity	205247_at	NOTCH4
1452107_s_at	nephronectin	Npnt	7160 // cell-matrix adhesion // inferred from direct assay /// 7160 // cell-matrix adhesion // inferred from physical interaction	5578 // extracellular matrix (sensu Metazoa) // inferred from direct assay /// 5578 // extracellular matrix (sensu Metazoa) // inferred from physical interaction /// 5615 // extracellular space // traceable author statement /// 16020 // membrane // inferred from sequence or structural similarity	5178 // integrin binding // inferred from direct assay /// 5509 // calcium ion binding // inferred from sequence or structural similarity	244747_at	NPNT
1427191_at	natriuretic peptide receptor 2	Npr2	6182 // cGMP biosynthesis // inferred from direct assay	5886 // plasma membrane // traceable author statement /// 16021 // integral to membrane // inferred from electronic annotation	4383 // guanylate cyclase activity // inferred from direct assay /// 4872 // receptor activity // inferred from electronic annotation /// 16941 // natriuretic peptide receptor activity // inferred from direct assay /// 42802 // protein self binding // inferred from physical interaction	204310_s_at	NPR2
1450750_a_at	nuclear receptor subfamily 4, group A, member 2	Nr4a2	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 7399 // neurogenesis // inferred from mutant phenotype /// 30182 // neuron cell differentiation // inferred from mutant phenotype /// 42053 // regulation of dopamine metabolism // inferred from direct assay	5634 // nucleus // inferred from direct assay	3677 // DNA binding // inferred from direct assay /// 3700 // transcription factor activity // inferred from electronic annotation /// 3707 // steroid hormone receptor activity // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation /// 4879 // ligand-dependent nuclear receptor activity // traceable author statement /// 5515 // protein binding // inferred from physical interaction	204621_s_at	NR4A2
1418745_at	osteomodulin	Omd	7155 // cell adhesion // inferred from electronic annotation	5578 // extracellular matrix (sensu Metazoa) // inferred from electronic annotation /// 5615 // extracellular space // traceable author statement	5201 // extracellular matrix structural constituent // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation	205908_s_at	OMD
1423174_a_at	par-6 (partitioning defective 6) homolog beta (C. elegans)	Pard6b	910 // cytokinesis // inferred from electronic annotation /// 7049 // cell cycle // inferred from electronic annotation /// 7242 // intracellular signaling cascade // inferred from sequence or structural similarity	5923 // tight junction // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation	5515 // protein binding // inferred from electronic annotation	235165_at	PARD6B
1432548_at	poly (ADP-ribose) polymerase family, member 14	Parp14	---	---	---	224701_at	PARP14
1420429_at	protocadherin beta 3	Pcdhb3	7155 // cell adhesion // inferred from electronic annotation /// 7156 // homophilic cell adhesion // inferred from sequence or structural similarity	5615 // extracellular space // traceable author statement /// 16020 // membrane // inferred from sequence or structural similarity /// 16021 // integral to membrane // traceable author statement	5509 // calcium ion binding // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation	244183_x_at	PCDHB3
1432108_at	ring finger protein 134	Rnf134	122 // negative regulation of transcription from RNA polymerase II promoter // inferred from sequence or structural similarity	5634 // nucleus // inferred from direct assay	5515 // protein binding // inferred from sequence or structural similarity /// 16564 // transcriptional repressor activity // inferred from sequence or structural similarity /// 19904 // protein domain specific binding // inferred from sequence or structural similarity	224326_s_at	PCGF6
1448528_at	programmed cell death 10	Pdcd10	---	---	---	210907_s_at	PDCD10
1452202_at	phosphodiesterase 2A, cGMP-stimulated	Pde2a	7165 // signal transduction // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation	4114 // 3,5-cyclic-nucleotide phosphodiesterase activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation	204134_at	PDE2A
1449442_at	peroxisomal biogenesis factor 11a	Pex11a	7031 // peroxisome organization and biogenesis // inferred from electronic annotation	16021 // integral to membrane // traceable author statement	---	205161_s_at	PEX11A
1429183_at	plakophilin 2	Pkp2	7507 // heart development // inferred from mutant phenotype /// 16337 // cell-cell adhesion // inferred from mutant phenotype	5912 // adherens junction // inferred from mutant phenotype	---	214154_s_at	PKP2
1416289_at	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	Plod1	19538 // protein metabolism // inferred from electronic annotation	5615 // extracellular space // traceable author statement /// 5783 // endoplasmic reticulum // inferred from sequence or structural similarity /// 16020 // membrane // inferred from sequence or structural similarity	8475 // procollagen-lysine 5-dioxygenase activity // inferred from sequence or structural similarity /// 16491 // oxidoreductase activity // inferred from sequence or structural similarity /// 16702 // oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen // inferred from sequence or structural similarity /// 16706 // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors // inferred from electronic annotation	200827_at	PLOD1
1456424_s_at	phospholipid transfer protein	Pltp	6810 // transport // inferred from electronic annotation /// 6869 // lipid transport // inferred from electronic annotation	5615 // extracellular space // traceable author statement	8289 // lipid binding // inferred from electronic annotation	202075_s_at	PLTP
1426382_at	protein phosphatase 1B, magnesium dependent, beta isoform	Ppm1b	6470 // protein amino acid dephosphorylation // inferred from electronic annotation	8287 // protein serine/threonine phosphatase complex // inferred from electronic annotation	287 // magnesium ion binding // inferred from electronic annotation /// 3824 // catalytic activity // inferred from electronic annotation /// 4721 // phosphoprotein phosphatase activity // inferred from electronic annotation /// 4722 // protein serine/threonine phosphatase activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 30145 // manganese ion binding // inferred from electronic annotation	213225_at	PPM1B
1426205_at	protein phosphatase 1, catalytic subunit, beta isoform	Ppp1cb	910 // cytokinesis // inferred from sequence or structural similarity /// 5975 // carbohydrate metabolism // inferred from electronic annotation /// 5977 // glycogen metabolism // inferred from sequence or structural similarity /// 6470 // protein amino acid dephosphorylation // inferred from direct assay /// 7049 // cell cycle // inferred from electronic annotation	8287 // protein serine/threonine phosphatase complex // inferred from electronic annotation	158 // protein phosphatase type 2A activity // inferred from sequence or structural similarity /// 163 // protein phosphatase type 1 activity // inferred from direct assay /// 163 // protein phosphatase type 1 activity // inferred from sequence or structural similarity /// 4721 // phosphoprotein phosphatase activity // inferred from electronic annotation /// 4722 // protein serine/threonine phosphatase activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 8420 // CTD phosphatase activity // inferred from sequence or structural similarity /// 15071 // protein phosphatase type 2C activity // inferred from sequence or structural similarity /// 16787 // hydrolase activity // inferred from sequence or structural similarity /// 17018 // myosin phosphatase activity // inferred from sequence or structural similarity /// 30145 // manganese ion binding // inferred from electronic annotation	228222_at	PPP1CB
1416321_s_at	proline arginine-rich end leucine-rich repeat	Prelp	1501 // skeletal development // inferred from sequence or structural similarity	5578 // extracellular matrix (sensu Metazoa) // inferred from electronic annotation /// 5615 // extracellular space // traceable author statement	5201 // extracellular matrix structural constituent // inferred from sequence or structural similarity	204223_at	PRELP
1434069_at	cDNA sequence BC067047	BC067047	---	---	---	224925_at	PREX1
1451140_s_at	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	Prkag2	6633 // fatty acid biosynthesis // inferred from sequence or structural similarity /// 6695 // cholesterol biosynthesis // inferred from sequence or structural similarity /// 6950 // response to stress // traceable author statement /// 8610 // lipid biosynthesis // inferred from electronic annotation	---	4679 // AMP-activated protein kinase activity // traceable author statement /// 16301 // kinase activity // inferred from electronic annotation	215231_at	PRKAG2
1460419_a_at	protein kinase C, beta 1	Prkcb1	6468 // protein amino acid phosphorylation // inferred from direct assay /// 6468 // protein amino acid phosphorylation // inferred from sequence or structural similarity /// 6816 // calcium ion transport // inferred from direct assay /// 6874 // calcium ion homeostasis // inferred from direct assay /// 7242 // intracellular signaling cascade // inferred from sequence or structural similarity	5634 // nucleus // inferred from direct assay /// 5737 // cytoplasm // inferred from direct assay /// 16020 // membrane // inferred from electronic annotation	4672 // protein kinase activity // inferred from sequence or structural similarity /// 4674 // protein serine/threonine kinase activity // inferred from sequence or structural similarity /// 4697 // protein kinase C activity // inferred from direct assay /// 4713 // protein-tyrosine kinase activity // inferred from sequence or structural similarity /// 5246 // calcium channel regulator activity // inferred from direct assay /// 5509 // calcium ion binding // inferred from sequence or structural similarity /// 5515 // protein binding // inferred from physical interaction /// 5524 // ATP binding // inferred from sequence or structural similarity /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from sequence or structural similarity /// 19992 // diacylglycerol binding // inferred from electronic annotation	207957_s_at	PRKCB1
1423771_at	protein kinase C, delta binding protein	Prkcdbp	---	---	16301 // kinase activity // inferred from electronic annotation	213010_at	PRKCDBP
1448556_at	prolactin receptor	Prlr	7595 // lactation // inferred from mutant phenotype /// 30155 // regulation of cell adhesion // inferred from mutant phenotype /// 30856 // regulation of epithelial cell differentiation // inferred from mutant phenotype	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	4872 // receptor activity // inferred from electronic annotation /// 4896 // hematopoietin/interferon-class (D200-domain) cytokine receptor activity // inferred from electronic annotation /// 4925 // prolactin receptor activity // inferred from mutant phenotype	210476_s_at	PRLR
1420664_s_at	protein C receptor, endothelial	Procr	7596 // blood coagulation // inferred from electronic annotation /// 50819 // negative regulation of coagulation // traceable author statement	5615 // extracellular space // traceable author statement /// 5813 // centrosome // inferred from direct assay /// 16021 // integral to membrane // traceable author statement	4872 // receptor activity // inferred from electronic annotation /// 8022 // protein C-terminus binding // inferred from sequence or structural similarity	203650_at	PROCR
1417323_at	RIKEN cDNA 5430413I02 gene	5430413I02Rik	50875 // cellular physiological process // inferred from direct assay	5737 // cytoplasm // inferred from direct assay	---	201896_s_at	PSRC1
1427486_at	protein tyrosine phosphatase, receptor type, B	Ptprb	6470 // protein amino acid dephosphorylation // inferred from sequence or structural similarity /// 7185 // transmembrane receptor protein tyrosine phosphatase signaling pathway // inferred from electronic annotation	5886 // plasma membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	4721 // phosphoprotein phosphatase activity // inferred from sequence or structural similarity /// 4725 // protein tyrosine phosphatase activity // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation /// 5529 // sugar binding // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation	205846_at	PTPRB
1447264_at	RAB11 family interacting protein 1 (class I)	Rab11fip1	---	---	---	219681_s_at	RAB11FIP1
1418187_at	receptor (calcitonin) activity modifying protein 2	Ramp2	6810 // transport // inferred from electronic annotation /// 6886 // intracellular protein transport // inferred from electronic annotation /// 7186 // G-protein coupled receptor protein signaling pathway // inferred from physical interaction /// 8277 // regulation of G-protein coupled receptor protein signaling pathway // inferred from electronic annotation	5615 // extracellular space // traceable author statement /// 16021 // integral to membrane // traceable author statement	4872 // receptor activity // inferred from electronic annotation /// 8565 // protein transporter activity // inferred from electronic annotation /// 15027 // coreceptor, soluble ligand activity // inferred from direct assay	205779_at	RAMP2
1428538_s_at	retinoic acid receptor responder (tazarotene induced) 2	Rarres2	---	5615 // extracellular space // traceable author statement	4872 // receptor activity // inferred from electronic annotation	209496_at	RARRES2
1438031_at	RAS, guanyl releasing protein 3	Rasgrp3	---	---	5509 // calcium ion binding // inferred from electronic annotation /// 19992 // diacylglycerol binding // inferred from electronic annotation	205801_s_at	RASGRP3
1450107_a_at	renin binding protein	Renbp	6013 // mannose metabolism // inferred from electronic annotation /// 6044 // N-acetylglucosamine metabolism // inferred from mutant phenotype	---	4476 // mannose-6-phosphate isomerase activity // inferred from electronic annotation /// 5515 // protein binding // traceable author statement /// 16853 // isomerase activity // inferred from electronic annotation /// 50121 // N-acylglucosamine 2-epimerase activity // inferred from mutant phenotype	206617_s_at	RENBP
1447781_s_at	RNA (guanine-9-) methyltransferase domain containing 2	Rg9mtd2	---	---	---	242442_x_at	RG9MTD2
1437461_s_at	RNA-binding region (RNP1, RRM) containing 3	Rnpc3	---	---	3676 // nucleic acid binding // inferred from sequence or structural similarity	226999_at	RNPC3
1426206_at	roundabout homolog 4 (Drosophila)	Robo4	1525 // angiogenesis // inferred from electronic annotation /// 30154 // cell differentiation // inferred from electronic annotation /// 30336 // negative regulation of cell migration // inferred from direct assay	9897 // external side of plasma membrane // inferred from direct assay /// 16021 // integral to membrane // traceable author statement	4872 // receptor activity // inferred from direct assay /// 5515 // protein binding // inferred from physical interaction	226028_at	ROBO4
1436521_at	solute carrier family 36 (proton/amino acid symporter), member 2	Slc36a2	6810 // transport // inferred from electronic annotation /// 6865 // amino acid transport // inferred from sequence or structural similarity /// 15808 // L-alanine transport // inferred from direct assay /// 15816 // glycine transport // inferred from direct assay /// 15824 // L-proline transport // inferred from direct assay /// 15992 // proton transport // inferred from direct assay	5886 // plasma membrane // inferred from direct assay /// 16020 // membrane // inferred from sequence or structural similarity /// 16021 // integral to membrane // traceable author statement	5279 // amino acid-polyamine transporter activity // inferred from sequence or structural similarity /// 5280 // hydrogen:amino acid symporter activity // inferred from direct assay /// 5302 // L-tyrosine transporter activity // inferred from direct assay /// 15180 // L-alanine transporter activity // inferred from direct assay /// 15187 // glycine transporter activity // inferred from direct assay /// 15193 // L-proline transporter activity // inferred from direct assay	214143_x_at	RPL24 /// SLC36A2
1434740_at	scavenger receptor class F, member 2	Scarf2	7155 // cell adhesion // inferred from electronic annotation /// 7157 // heterophilic cell adhesion // inferred from direct assay	16021 // integral to membrane // inferred from electronic annotation	4872 // receptor activity // inferred from electronic annotation /// 5044 // scavenger receptor activity // inferred from direct assay /// 5198 // structural molecule activity // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation	239454_at	SCARF2
1441238_at	RIKEN cDNA C030017G13 gene	9030416H16Rik	---	---	---	213983_s_at	SCC-112
1458992_at	SUMO/sentrin specific protease 5	Senp5	---	---	8233 // peptidase activity // inferred from sequence or structural similarity	57703_at	SENP5
1422601_at	serine (or cysteine) proteinase inhibitor, clade B, member 9	Serpinb9	---	---	4866 // endopeptidase inhibitor activity // inferred from electronic annotation /// 4867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation /// 8233 // peptidase activity // inferred from electronic annotation	209722_s_at	SERPINB9
1425179_at	serine hydroxymethyl transferase 1 (soluble)	Shmt1	6544 // glycine metabolism // inferred from electronic annotation /// 6563 // L-serine metabolism // inferred from electronic annotation /// 6730 // one-carbon compound metabolism // inferred from electronic annotation	5739 // mitochondrion // inferred from direct assay	4372 // glycine hydroxymethyltransferase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	209980_s_at	SHMT1
1457465_at	RIKEN cDNA D430043L16 gene	D430043L16Rik	---	---	---	244825_at	SHROOM4
1416548_at	solute carrier family 35, member B4	Slc35b4	---	5615 // extracellular space // traceable author statement /// 16021 // integral to membrane // traceable author statement	---	238418_at	SLC35B4
