probe	UGCluster	EntrezGene.ID	NAME	LumB	LumA	Normal	Basal	Her2
AGI_HUM1_OLIGO_A_23_P31503	Hs.390667	3731	glutathione S-transferase subunit 13 homolog	-0.189	0.012	0.136	0.01	-0.218
AGI_HUM1_OLIGO_A_23_P147388	Hs.15711	NA	kinesin family member 13B	0.194	0.496	0.3	-0.369	-0.168
AGI_HUM1_OLIGO_A_23_P256455	Hs.1608	6119	replication protein A3, 14kDa	0.115	-0.005	-0.495	-0.174	0.092
AGI_HUM1_OLIGO_A_23_P109143	Hs.438582	5621	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	-0.509	-0.441	0.862	0.677	-0.224
AGI_HUM1_OLIGO_A_23_P3402	Hs.169919	2108	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	-0.567	0.19	0.088	0.192	0.664
AGI_HUM1_OLIGO_A_23_P12523	Hs.44585	7159	tumor protein p53 binding protein, 2	-0.495	0.036	-0.224	0.339	-0.257
AGI_HUM1_OLIGO_A_23_P87899	Hs.439530	8798	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4	-0.143	-0.046	0.104	0.197	-0.209
AGI_HUM1_OLIGO_A_23_P134935	Hs.417962	NA	dual specificity phosphatase 4	0.135	0.395	-0.045	-0.486	0.695
AGI_HUM1_OLIGO_A_23_P201459	Hs.287721	2537	interferon, alpha-inducible protein (clone IFI-6-16)	0.542	-0.799	-0.882	0.314	0.225
AGI_HUM1_OLIGO_A_23_P139134	Hs.82240	6809	syntaxin 3A	-0.113	-0.024	0.242	-0.095	0.191
AGI_HUM1_OLIGO_A_23_P51397	Hs.446693	5574	enabled homolog (Drosophila)	-0.138	0.118	-0.166	-0.169	0.054
AGI_HUM1_OLIGO_A_23_P119943	Hs.433326	3485	insulin-like growth factor binding protein 2, 36kDa	0.537	0.098	-0.046	-0.6	-0.323
AGI_HUM1_OLIGO_A_23_P137672	Hs.382202	1116	chitinase 3-like 1 (cartilage glycoprotein-39)	-0.415	-0.364	0.867	1.241	0.131
AGI_HUM1_OLIGO_A_23_P401	Hs.77204	1063	centromere protein F, 350/400ka (mitosin)	0.077	-0.681	-0.994	0.498	0.176
AGI_HUM1_OLIGO_A_23_P104116	Hs.10283	9939	RNA binding motif protein 8A	0.114	-0.089	-0.073	0.049	-0.008
AGI_HUM1_OLIGO_A_23_P47226	Hs.446445	10897	Yip1 interacting factor homolog (S. cerevisiae)	0.138	-0.199	-0.055	-0.076	-0.015
AGI_HUM1_OLIGO_A_23_P27490	Hs.202672	1786	DNA (cytosine-5-)-methyltransferase 1	-0.201	-0.001	-0.127	0.143	0.154
AGI_HUM1_OLIGO_A_23_P152020	Hs.77793	1445	c-src tyrosine kinase	-0.026	0.106	0.264	0.025	0.034
AGI_HUM1_OLIGO_A_23_P42800	Hs.93659	9601	protein disulfide isomerase related protein (calcium-binding protein, intestinal-related)	-0.149	0.087	0.333	-0.023	-0.257
AGI_HUM1_OLIGO_A_23_P161399	Hs.118630	4601	MAX interacting protein 1	-0.441	0.081	0.599	-0.135	-0.276
AGI_HUM1_OLIGO_A_23_P40309	Hs.280378	6629	small nuclear ribonucleoprotein polypeptide B	0.008	-0.13	-0.261	-0.104	-0.071
AGI_HUM1_OLIGO_A_23_P56630	Hs.21486	6772	signal transducer and activator of transcription 1, 91kDa	-0.264	-0.205	-0.888	0.269	0.206
AGI_HUM1_OLIGO_A_23_P137057	Hs.79172	4422	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	-0.17	-0.32	-0.119	0.047	0.137
AGI_HUM1_OLIGO_A_23_P49499	Hs.288215	10610	sialyltransferase	0.158	0.43	-0.294	-0.471	0.399
AGI_HUM1_OLIGO_A_23_P79842	Hs.437388	51604	phosphatidyl inositol glycan class T	0.261	0.246	-0.001	-0.589	-0.397
AGI_HUM1_OLIGO_A_23_P150807	Hs.12953	8495	PTPRF interacting protein, binding protein 2 (liprin beta 2)	-0.478	0.244	0.364	-0.024	0.063
AGI_HUM1_OLIGO_A_23_P71241	Hs.9950	2348	Sec61 gamma	0.163	-0.437	-0.24	0.545	0.172
AGI_HUM1_OLIGO_A_23_P20683	Hs.443866	9933	minor histocompatibility antigen HA-8	-0.272	-0.13	0.012	0.371	-0.323
AGI_HUM1_OLIGO_A_23_P145904	Hs.301005	94239	histone H2A.F/Z variant	-0.192	0.17	0.24	-0.208	-0.07
AGI_HUM1_OLIGO_A_23_P112756	Hs.239370	2608	activator of G-protein signaling 3	0.046	-0.027	0.286	0.032	-0.256
AGI_HUM1_OLIGO_A_23_P138985	Hs.95327	915	CD3D antigen, delta polypeptide (TiT3 complex)	-0.243	-0.252	0.087	0.358	-0.086
AGI_HUM1_OLIGO_A_23_P50608	Hs.443831	9141	programmed cell death 5	0.004	-0.268	-0.166	0.055	-0.242
AGI_HUM1_OLIGO_A_23_P124417	Hs.287472	699	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	0.103	-0.677	-0.374	0.605	0.062
AGI_HUM1_OLIGO_A_23_P42279	Hs.150833	721	complement component 4A	-0.344	1.285	0.663	-1.523	-0.076
AGI_HUM1_OLIGO_A_23_P32384	Hs.289271	NA	cytochrome c-1	0.319	-0.143	-0.23	-0.02	0.003
AGI_HUM1_OLIGO_A_23_P254441	Hs.407782	NA	hypothetical protein LOC155060	0.145	0.072	0.326	-0.07	-0.012
AGI_HUM1_OLIGO_A_23_P70938	Hs.13467	8393	STARD3 N-terminal like	0.019	-0.065	-0.198	-0.064	0.038
AGI_HUM1_OLIGO_A_23_P128174	Hs.103267	1171	RAB3A interacting protein (rabin3)	0.137	-0.04	-0.117	-0.041	-0.034
AGI_HUM1_OLIGO_A_23_P7636	Hs.350966	2625	pituitary tumor-transforming 1	0.325	-0.548	-0.85	0.529	0.134
AGI_HUM1_OLIGO_A_23_P65442	Hs.1706	1037	interferon-stimulated transcription factor 3, gamma 48kDa	0.083	-0.087	-0.772	-0.091	-0.128
AGI_HUM1_OLIGO_A_23_P18325	Hs.424619	1123	programmed cell death 10	-0.122	-0.093	-0.401	0.161	-0.205
AGI_HUM1_OLIGO_A_23_P154235	Hs.54483	9111	N-myc (and STAT) interactor	-0.559	-0.146	-0.018	0.462	0.041
AGI_HUM1_OLIGO_A_23_P211528	Hs.414343	9145	synaptogyrin 1	0.591	-0.178	0.436	-0.165	0.219
AGI_HUM1_OLIGO_A_23_P48585	Hs.416358	6297	sal-like 2 (Drosophila)	0.023	0.231	0.395	-0.524	-0.116
AGI_HUM1_OLIGO_A_23_P92842	Hs.279582	5112	GTP-binding protein Sara	0.045	0.208	-0.41	-0.401	0.154
AGI_HUM1_OLIGO_A_23_P121095	Hs.282346	7155	topoisomerase (DNA) II beta 180kDa	-0.336	0.211	-0.098	-0.181	-0.268
AGI_HUM1_OLIGO_A_23_P12082	Hs.154138	1117	chitinase 3-like 2	-0.379	0.216	0.037	1.107	-0.414
AGI_HUM1_OLIGO_A_23_P45917	Hs.374378	NA	CDC28 protein kinase regulatory subunit 1B	0.056	-0.475	-0.611	0.543	0.079
AGI_HUM1_OLIGO_A_23_P152804	Hs.118638	4830	non-metastatic cells 1, protein (NM23A) expressed in	0.627	-0.291	-0.499	0.184	0.916
AGI_HUM1_OLIGO_A_23_P259413	Hs.283690	55573	hypothetical protein H41	-0.178	-0.011	0.196	-0.065	-0.161
AGI_HUM1_OLIGO_A_23_P252118	Hs.180107	5423	polymerase (DNA directed), beta	0.287	-0.022	-0.335	-0.122	-0.166
AGI_HUM1_OLIGO_A_23_P213458	Hs.446567	689	basic transcription factor 3	0.058	0.772	0.193	-0.71	-0.23
AGI_HUM1_OLIGO_A_23_P120845	Hs.437638	7494	X-box binding protein 1	0.27	1.178	-0.583	-2.826	-0.046
AGI_HUM1_OLIGO_A_23_P80098	Hs.82285	2618	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	-0.179	-0.156	-0.181	0.295	0.1
AGI_HUM1_OLIGO_A_23_P251095	Hs.1023	5160	pyruvate dehydrogenase (lipoamide) alpha 1	-0.085	-0.333	-0.007	0.3	-0.187
AGI_HUM1_OLIGO_A_23_P161446	Hs.56845	NA	GDP dissociation inhibitor 2	-0.295	-0.132	-0.053	0.253	0.065
AGI_HUM1_OLIGO_A_23_P82950	Hs.348501	5108	pericentriolar material 1	-0.202	0.544	0.141	-0.402	-0.206
AGI_HUM1_OLIGO_A_23_P202104	Hs.381072	1010	peptidylprolyl isomerase F (cyclophilin F)	-0.202	0.003	0.017	0.103	-0.087
AGI_HUM1_OLIGO_A_23_P163697	Hs.258326	51760	B/K protein	-0.051	0.314	-0.179	-0.305	0.226
AGI_HUM1_OLIGO_A_23_P18559	Hs.153687	8821	inositol polyphosphate-4-phosphatase, type II, 105kDa	-0.092	0.405	0.385	-0.662	0.344
AGI_HUM1_OLIGO_A_23_P139704	Hs.298654	NA	dual specificity phosphatase 6	-0.632	0.049	1.215	-0.105	0.953
AGI_HUM1_OLIGO_A_23_P141005	Hs.295137	267	autocrine motility factor receptor	0.523	0.133	-0.005	-0.325	0.285
AGI_HUM1_OLIGO_A_23_P147647	Hs.131380	6444	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	-0.143	0.304	0.779	-0.331	-0.15
AGI_HUM1_OLIGO_A_23_P132718	Hs.82222	7869	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	0.3	0.015	0.057	-0.163	-0.027
AGI_HUM1_OLIGO_A_23_P29257	Hs.226117	300	H1 histone family, member 0	0.045	0.241	0.128	-0.297	0.303
AGI_HUM1_OLIGO_A_23_P208049	Hs.173911	NA	zinc finger protein 24 (KOX 17)	0.01	0.325	0.189	-0.211	-0.112
AGI_HUM1_OLIGO_A_23_P69084	Hs.282557	8434	ceruloplasmin (ferroxidase)	0.106	-0.921	-0.062	2.164	0.043
AGI_HUM1_OLIGO_A_23_P20384	Hs.425311	NA	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)	1.104	0.015	0.152	0.035	-0.491
AGI_HUM1_OLIGO_A_23_P138308	Hs.75626	965	CD58 antigen, (lymphocyte function-associated antigen 3)	-0.183	-0.05	-0.135	0.117	-0.088
AGI_HUM1_OLIGO_A_23_P140817	Hs.112933	50855	par-6 partitioning defective 6 homolog alpha (C.elegans)	0.196	-0.107	-0.245	-0.121	0.288
AGI_HUM1_OLIGO_A_23_P252371	Hs.437224	5932	retinoblastoma binding protein 8	0.009	0.386	0	-0.021	-0.592
AGI_HUM1_OLIGO_A_23_P15937	Hs.110741	4087	MAD, mothers against decapentaplegic homolog 2 (Drosophila)	-0.204	-0.006	0.218	0.018	-0.189
AGI_HUM1_OLIGO_A_23_P146946	Hs.139389	1474	cystatin E/M	0.05	-0.099	0.709	-0.055	-0.033
AGI_HUM1_OLIGO_A_23_P8834	Hs.212088	2053	epoxide hydrolase 2, cytoplasmic	-0.011	0.745	0.836	-0.379	-0.539
AGI_HUM1_OLIGO_A_23_P256432	Hs.155079	5525	protein phosphatase 2, regulatory subunit B (B56), alpha isoform	-0.127	0.269	-0.091	-0.405	-0.276
AGI_HUM1_OLIGO_A_23_P206510	Hs.78979	2734	golgi apparatus protein 1	-0.241	-0.196	0.336	0.07	-0.132
AGI_HUM1_OLIGO_A_23_P206441	Hs.284153	2175	Fanconi anemia, complementation group A	0.047	-0.319	-0.475	0.447	-0.147
AGI_HUM1_OLIGO_A_23_P110122	Hs.13291	901	cyclin G2	-0.333	1.083	0.256	-0.812	0.24
AGI_HUM1_OLIGO_A_23_P58647	Hs.254321	NA	catenin (cadherin-associated protein), alpha 1, 102kDa	-0.053	0.197	0.028	-0.477	0.113
AGI_HUM1_OLIGO_A_23_P103328	Hs.27860	NA	prostaglandin E receptor 3 (subtype EP3)	0.166	0.83	0.914	-0.366	-0.231
AGI_HUM1_OLIGO_A_23_P15653	Hs.8375	9618	TNF receptor-associated factor 4	0.026	-0.125	-0.385	0.129	0.939
AGI_HUM1_OLIGO_A_23_P208961	Hs.454758	84939	melanoma ubiquitous mutated protein	0.432	0.126	-0.188	-0.024	-0.254
AGI_HUM1_OLIGO_A_23_P93629	Hs.183858	880	transcriptional intermediary factor 1	-0.168	-0.142	-0.333	0.119	-0.095
AGI_HUM1_OLIGO_A_23_P208801	Hs.2227	1054	CCAAT/enhancer binding protein (C/EBP), gamma	-0.024	-0.229	-0.016	0.09	-0.046
AGI_HUM1_OLIGO_A_23_P407628	Hs.93231	NA	MYST histone acetyltransferase (monocytic leukemia) 3	0.34	0.097	0.319	-0.239	-0.373
AGI_HUM1_OLIGO_A_23_P78158	Hs.390163	9135	rabaptin, RAB GTPase binding effector protein 1	0.256	1.245	0.396	-0.861	-0.464
AGI_HUM1_OLIGO_A_23_P129786	Hs.426528	6720	sterol regulatory element binding transcription factor 1	0.405	0.188	0.338	-0.631	-0.073
AGI_HUM1_OLIGO_A_23_P84259	Hs.401903	NA	cytochrome c oxidase subunit Va	0.033	-0.271	-0.263	-0.024	0.03
AGI_HUM1_OLIGO_A_23_P166246	Hs.282326	1827	Down syndrome critical region gene 1	-0.125	-0.217	0.33	0.555	-0.113
AGI_HUM1_OLIGO_A_23_P78888	Hs.99853	209	fibrillarin	-0.196	-0.243	0.203	0.173	-0.294
AGI_HUM1_OLIGO_A_23_P151970	Hs.362733	1011	fem-1 homolog b (C. elegans)	-0.173	0.232	-0.033	-0.355	0.004
AGI_HUM1_OLIGO_A_23_P152415	Hs.222171	23199	KIAA0182 protein	0.033	-0.08	-0.125	-0.339	0.29
AGI_HUM1_OLIGO_A_23_P253177	Hs.168913	8428	serine/threonine kinase 24 (STE20 homolog, yeast)	-0.317	-0.015	0.328	0.215	-0.121
AGI_HUM1_OLIGO_A_23_P127014	Hs.214039	6934	transcription factor 7-like 2 (T-cell specific, HMG-box)	-0.623	-0.102	0.665	0.161	-0.038
AGI_HUM1_OLIGO_A_23_P66347	Hs.85266	3691	integrin, beta 4	-0.315	-0.175	0.529	0.342	0.361
AGI_HUM1_OLIGO_A_23_P144249	Hs.16297	10063	popeye domain containing 2	0.47	-0.011	-0.272	-0.283	-0.314
AGI_HUM1_OLIGO_A_23_P258862	Hs.257697	27250	programmed cell death 4 (neoplastic transformation inhibitor)	0.026	1.012	0.355	-0.634	-0.355
AGI_HUM1_OLIGO_A_23_P30338	Hs.514	902	cyclin H	-0.053	0.156	0.04	-0.272	-0.142
AGI_HUM1_OLIGO_A_23_P255952	Hs.118483	4646	myosin VI	-0.094	0.299	-0.39	-0.518	-0.452
AGI_HUM1_OLIGO_A_23_P67708	Hs.371282	6929	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	-0.166	-0.247	0.032	0.14	-0.219
AGI_HUM1_OLIGO_A_23_P207400	Hs.194143	672	breast cancer 1, early onset	0.288	-0.31	-0.449	-0.119	-0.282
AGI_HUM1_OLIGO_A_23_P18452	Hs.77367	NA	chemokine (C-X-C motif) ligand 9	-0.543	-0.463	-0.354	1.331	0.836
AGI_HUM1_OLIGO_A_23_P13183	Hs.75334	2132	exostoses (multiple) 2	-0.07	-0.115	0.183	0.005	-0.121
AGI_HUM1_OLIGO_A_23_P256473	Hs.171921	1051	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	-0.566	0.712	1.045	-0.9	-0.208
AGI_HUM1_OLIGO_A_23_P212617	Hs.185726	7037	transferrin receptor (p90, CD71)	-0.108	-0.16	-0.234	0.088	0.136
AGI_HUM1_OLIGO_A_23_P163929	Hs.78921	81	A kinase (PRKA) anchor protein 1	0.022	-0.075	0.18	0.066	-0.185
AGI_HUM1_OLIGO_A_23_P37727	Hs.80420	NA	chemokine (C-X3-C motif) ligand 1	-1.118	-0.459	1.681	1.237	0.548
AGI_HUM1_OLIGO_A_23_P116371	Hs.438040	931	membrane-spanning 4-domains, subfamily A, member 1	-0.095	-0.149	-0.116	0.204	0.103
AGI_HUM1_OLIGO_A_23_P151075	Hs.292738	397	Rho GDP dissociation inhibitor (GDI) beta	-0.273	0.484	0.138	-0.256	0.048
AGI_HUM1_OLIGO_A_23_P166269	Hs.20415	5409	family with sequence similarity 3, member B	0.848	-0.072	0.469	0.138	-0.226
AGI_HUM1_OLIGO_A_23_P115919	Hs.172887	5264	phytanoyl-CoA hydroxylase (Refsum disease)	-0.022	-0.182	-0.147	0.195	-0.071
AGI_HUM1_OLIGO_A_23_P45699	Hs.118962	8880	far upstream element (FUSE) binding protein 1	-0.146	0.118	-0.186	-0.019	-0.041
AGI_HUM1_OLIGO_A_23_P131866	Hs.250822	6790	serine/threonine kinase 6	0.618	-0.815	-1.18	0.412	0.37
AGI_HUM1_OLIGO_A_23_P143748	Hs.82563	NA	KIAA0153 protein	-0.117	-0.03	-0.107	-0.047	0.124
AGI_HUM1_OLIGO_A_23_P202316	Hs.418533	9184	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	-0.155	0.421	-0.297	-0.354	-0.211
AGI_HUM1_OLIGO_A_23_P141405	Hs.433416	4831	non-metastatic cells 2, protein (NM23B) expressed in	0.224	-0.096	-0.097	-0.024	0.323
AGI_HUM1_OLIGO_A_23_P130347	Hs.436348	2842	hypothetical protein MGC2628	-0.114	-0.194	0.205	-0.094	0.13
AGI_HUM1_OLIGO_A_23_P62605	Hs.388664	6135	ribosomal protein L11	-0.469	0.167	0.313	-0.26	-0.234
AGI_HUM1_OLIGO_A_23_P216448	Hs.302690	4781	nuclear factor I/B	-0.77	-0.856	0.985	1.229	-0.008
AGI_HUM1_OLIGO_A_23_P82361	Hs.293885	2617	glycyl-tRNA synthetase	-0.097	-0.422	-0.136	0.341	0.18
AGI_HUM1_OLIGO_A_23_P16944	Hs.82109	6382	syndecan 1	-0.342	-0.616	-0.006	0.008	0.737
