t-value	Parametric p-value	% CV support	Average ratios in the High-risk group	Average ratios in the Low-risk group	Unique id	Description	Clone	UG cluster	Gene symbol	Map
-4.41	0.000048	100	0.593	0.906	167629	N-acetyltransferase 1 (arylamine N-acetyltransferase)	2613155	Hs.155956	NAT1	8p23.1-p21.3
-4.14	0.000116	100	0.59	1.176	164863	solute carrier family 2 (facilitated glucose transporter), member 2	2923154	Hs.167584	SLC2A2	3q26.1-q26.2
-4	0.000185	100	0.589	0.913	165590	translocation protein 1	1402260	Hs.8146	TLOC1	3q26.2-q27
-4.01	0.000177	100	0.586	0.97	169253	paraoxonase 3	1605789	Hs.335322	PON3	7q21.3
-3.77	0.000391	100	0.583	0.822	160051	lymphocyte cytosolic protein 1 (L-plastin)	1363074	Hs.381099	LCP1	13q14.3
-4.22	0.000088	100	0.577	0.78	166820	KIAA0212 gene product	1662039	Hs.154332	KIAA0212	3p26.1
-4.87	0.00001	100	0.576	0.923	162307	protein-L-isoaspartate (D-aspartate) O-methyltransferase	68611	Hs.79137	PCMT1	6q24-q25
-4.28	0.000074	100	0.567	0.815	167750	adenosine kinase	2840195	Hs.432422	ADK	10cen-q24
-4.05	0.000155	100	0.565	1.142	162666	kininogen	279249	Hs.77741	KNG	3q27
-3.79	0.000367	100	0.554	1.088	165457	solute carrier family 27 (fatty acid transporter), member 2	2658782	Hs.11729	SLC27A2	15q21.2
-3.79	0.000361	100	0.553	0.886	167991	hydroxysteroid (17-beta) dehydrogenase 4	1673780	Hs.75441	HSD17B4	5q21
-5.46	0.000001	100	0.544	1.003	166192	ESTs, Highly similar to MT1B_HUMAN METALLOTHIONEIN-IB (MT-1B) [H.sapiens]	2048551	Hs.36102		16
-4.33	0.000061	100	0.541	0.906	165666	ribonuclease, RNase A family, 4	1858905	Hs.283749	RNASE4	14q11.1
-4.6	0.000024	100	0.536	0.805	163500	coagulation factor XI (plasma thromboplastin antecedent)	2772903	Hs.1430	F11	4q35
-5.11	0.000004	100	0.534	0.919	167159	steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)	2189593	Hs.1989	SRD5A2	2p23
-6.01	p < 0.000001	100	0.534	1.141	162538	Unknown [Homo sapiens], mRNA sequence	1213932	Hs.367982		16
-4.57	0.000027	100	0.529	1.031	166497	histidine ammonia-lyase	3380034	Hs.276590	HAL	12q22-q24.1
-4.18	0.000103	100	0.523	0.963	160720	sorbitol dehydrogenase	1685528	Hs.878	SORD	15q15.3
-3.68	0.000532	95	0.523	0.732	165011	tyrosylprotein sulfotransferase 1	2180014	Hs.421194	TPST1	7q11.21
-4.99	0.000006	100	0.52	0.846	169399	pregnancy-zone protein	279949	Hs.74094	PZP	12p13-p12.2
-5.16	0.000003	100	0.515	0.932	166426	protein S (alpha)	2592991	Hs.64016	PROS1	3p11-q11.2
-4.46	0.000039	100	0.51	0.865	168256	B-factor, properdin	167371	Hs.69771	BF	6p21.3
-4.19	0.000099	100	0.507	1.102	169375	cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 9	195142	Hs.167529	CYP2C9	10q24
-5.02	0.000005	100	0.506	1.137	162311	serine (or cysteine) proteinase inhibitor, clade C (antithrombin), member 1	480059	Hs.75599	SERPINC1	1q23-q25.1
-5.6	p < 0.000001	100	0.506	0.703	167718	ATP-binding cassette, sub-family A (ABC1), member 1	1467253	Hs.211562	ABCA1	9q31.1
-3.93	0.00023	100	0.504	0.902	169449	arginase, liver	166337
-3.93	0.000235	100	0.491	0.61	163368	CDw92 antigen	1484773	Hs.179902	CDW92	9q31.2
-5.94	p < 0.000001	100	0.491	0.714	168634	chromosome 20 open reading frame 3	1967339	Hs.22391	C20orf3	20p11.22-p11.21
-3.59	0.000679	66	0.487	0.924	166057	POU domain, class 1, transcription factor 1 (Pit1, growth hormone factor 1)	400429	Hs.89394	POU1F1	3p11
-4.39	0.00005	100	0.484	0.965	166017	REMOVED_FROM_DATABASE	85246
-4.24	0.000084	100	0.483	0.867	161146	3-hydroxysteroid epimerase	2799664	Hs.11958	RODH	12q13
-4.33	0.000062	100	0.482	0.939	167394	butyrylcholinesterase	1599272	Hs.1327	BCHE	3q26.1-q26.2
-4.27	0.000078	100	0.479	0.766	165890	fibrinogen, B beta polypeptide	280932	Hs.7645	FGB	4q28
-4.23	0.000091	100	0.476	0.846	161986	tumor rejection antigen (gp96) 1	3624631	Hs.82689	TRA1	12q24.2-q24.3
-5.04	0.000005	100	0.474	0.9	167129	metallothionein 1L	2513883	Hs.380778	MT1L	16q13
-6.16	p < 0.000001	100	0.473	1.161	169417	ceruloplasmin (ferroxidase)	1982416	Hs.296634	CP	3q23-q25
-5.35	0.000002	100	0.464	0.875	160280	carboxypeptidase B2 (plasma, carboxypeptidase U)	480483	Hs.75572	CPB2	13q14.11
-5.46	0.000001	100	0.46	0.832	164779	N-acetyltransferase 2 (arylamine N-acetyltransferase)	86365	Hs.2	NAT2	8p22
-3.47	0.000997	24	0.457	0.74	168320	lactate dehydrogenase A	1335140	Hs.2795	LDHA	11p15.4
-4.39	0.00005	100	0.448	0.831	159972	pre-B-cell colony-enhancing factor	1641590	Hs.239138	PBEF	7q22.1
-4.06	0.000149	100	0.447	0.743	168811	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	3425159	Hs.37	ACAT1	11q22.3-q23.1
-3.83	0.000322	100	0.423	0.652	166674	paired basic amino acid cleaving system 4	1672574	Hs.170414	PACE4	15q26
-4.57	0.000036	100	0.421	0.88	161748	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	3888832	Hs.37	ACAT1	11q22.3-q23.1
-3.97	0.000205	100	0.418	0.896	166007	tyrosine aminotransferase	606122	Hs.161640	TAT	16q22.1
-4.21	0.000091	100	0.407	0.592	163893	fibrinogen-like 1	885134	Hs.107	FGL1	8p22-p21.3
-4.26	0.000077	100	0.406	0.89	161362	tryptophan 2,3-dioxygenase	2769155	Hs.183671	TDO2	4q31-q32
-3.91	0.000245	100	0.406	0.687	165009	orosomucoid 1	1861971	Hs.572	ORM1	9q31-q32
-4.07	0.000149	100	0.405	0.709	162561	RNA helicase-related protein [Homo sapiens], mRNA sequence	2757583	Hs.381097		16
-4.67	0.000019	100	0.392	0.742	167158	complement component 5	1712663	Hs.1281	C5	9q32-q34
-5.2	0.000003	100	0.371	0.725	160366	ubiquitin specific protease 10	260090	Hs.78829	USP10	16q24.1
-3.89	0.000264	100	0.37	0.662	162162	complement component 8, alpha polypeptide	5035985	Hs.93210	C8A	1p32
-4.59	0.000025	100	0.359	0.544	159810	C-type lectin BIMLEC precursor	1435027	Hs.2441	BIMLEC	2q24.2
-4.99	0.000006	100	0.357	0.608	168690	corticotropin releasing hormone binding protein	1833078	Hs.115617	CRHBP	5q11.2-q13.3
-4.7	0.000018	100	0.355	0.917	162617	FK506 binding protein 5	758192	Hs.7557	FKBP5	6p21.3-21.2
-4.05	0.000156	100	0.353	0.729	168282	group-specific component (vitamin D binding protein)	167409	Hs.198246	GC	4q12-q13
-5.38	0.000001	100	0.352	0.745	160174	complement component 6	166909	Hs.1282	C6	5p13
-3.94	0.000223	100	0.334	0.522	167542	KIAA0062 protein	3138128	Hs.89868	KIAA0062	8p21.2
-5.61	p < 0.000001	100	0.314	0.798	161944	complement component 9	4287351	Hs.1290	C9	5p14-p12
-4.9	0.000008	100	0.307	0.676	167252	hydroxyprostaglandin dehydrogenase 15-(NAD)	1578941	Hs.77348	HPGD	4q34-q35
-5.15	0.000003	100	0.255	0.547	167279	REMOVED_FROM_DATABASE	87309
