Gene name	HU133plus2.0 probe ID	logFC	adj. p-value (FDR<0.01)	Descriptions
LILRB1	229937_x_at	0.746737654	0.00668284	gb:AI681260 /DB_XREF=gi:4891442 /DB_XREF=tx45c07.x1 /CLONE=IMAGE:2272524 /FEA=EST /CNT=17 /TID=Hs.149924.0 /TIER=Stack /STK=17 /UG=Hs.149924 /UG_TITLE=ESTs
cDNA zd27g05	204122_at	1.016228074	0.000274492	gb:NM_003332.1 /DB_XREF=gi:4507754 /GEN=TYROBP /FEA=FLmRNA /CNT=104 /TID=Hs.9963.0 /TIER=FL /STK=0 /UG=Hs.9963 /LL=7305 /DEF=Homo sapiens TYRO protein tyrosine kinase binding protein (TYROBP), mRNA. /PROD=TYRO protein tyrosine kinase binding protein /FL=gb:NM_003332.1 gb:AF019562.1
RNASE3	206851_at	2.042179384	1.474E-06	gb:NM_002935.1 /DB_XREF=gi:4506550 /GEN=RNASE3 /FEA=FLmRNA /CNT=19 /TID=Hs.73839.0 /TIER=FL /STK=2 /UG=Hs.73839 /LL=6037 /DEF=Homo sapiens ribonuclease, RNase A family, 3 (eosinophil cationic protein) (RNASE3), mRNA. /PROD=ribonuclease, RNase A family, 3 (eosinophilcationic protein) /FL=gb:M28128.1 gb:NM_002935.1
SERPINB1	212268_at	1.19416208	1.72519E-07	gb:NM_030666.1 /DB_XREF=gi:13489086 /GEN=SERPINB1 /FEA=FLmRNA /CNT=170 /TID=Hs.183583.0 /TIER=FL+Stack /STK=55 /UG=Hs.183583 /LL=1992 /DEF=Homo sapiens serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1 (SERPINB1), mRNA. /PROD=serine (or cysteine) proteinase inhibitor, cladeB (ovalbumin), member 1 /FL=gb:NM_030666.1
PROML1	204304_s_at	3.376316363	2.40472E-10	gb:NM_006017.1 /DB_XREF=gi:5174386 /GEN=PROML1 /FEA=FLmRNA /CNT=64 /TID=Hs.112360.0 /TIER=FL+Stack /STK=27 /UG=Hs.112360 /LL=8842 /DEF=Homo sapiens prominin (mouse)-like 1 (PROML1), mRNA. /PROD=prominin (mouse)-like 1 /FL=gb:NM_006017.1 gb:AF027208.1
Chromosome 22 sequence	201105_at	3.410195625	3.56649E-16	gb:NM_002305.2 /DB_XREF=gi:6006015 /GEN=LGALS1 /FEA=FLmRNA /CNT=487 /TID=Hs.227751.0 /TIER=FL+Stack /STK=226 /UG=Hs.227751 /LL=3956 /DEF=Homo sapiens lectin, galactoside-binding, soluble, 1 (galectin 1) (LGALS1), mRNA. /PROD=beta-galactosidase binding lectin precursor /FL=gb:NM_002305.2 gb:BC001693.1 gb:J04456.1
DKFZp586K1720	214752_x_at	0.779126429	4.25244E-06	gb:AI625550 /DB_XREF=gi:4650481 /DB_XREF=ty57d06.x1 /CLONE=IMAGE:2283179 /FEA=mRNA /CNT=18 /TID=Hs.195464.3 /TIER=ConsEnd /STK=0 /UG=Hs.195464 /LL=2316 /UG_GENE=FLNA /UG_TITLE=filamin A, alpha (actin-binding protein-280)
cDNA oq40b07	209610_s_at	0.701223072	0.000133648	gb:BF340083 /DB_XREF=gi:11286545 /DB_XREF=602037236F1 /CLONE=IMAGE:4185248 /FEA=FLmRNA /CNT=59 /TID=Hs.323878.0 /TIER=ConsEnd /STK=0 /UG=Hs.323878 /LL=6509 /UG_GENE=SLC1A4 /UG_TITLE=solute carrier family 1 (glutamateneutral amino acid transporter), member 4 /FL=gb:L14595.1 gb:L19444.1 gb:AB026689.1 gb:NM_003038.1
KIAA0120	210978_s_at	0.644645153	5.16678E-06	gb:BC002616.1 /DB_XREF=gi:12803566 /FEA=FLmRNA /CNT=2 /TID=Hs.75725.1 /TIER=FL /STK=0 /UG=Hs.75725 /LL=8407 /UG_GENE=TAGLN2 /DEF=Homo sapiens, transgelin 2, clone MGC:2989, mRNA, complete cds. /PROD=transgelin 2 /FL=gb:BC002616.1
EBI2	205419_at	1.427619106	0.000940803	gb:NM_004951.1 /DB_XREF=gi:4826705 /GEN=EBI2 /FEA=FLmRNA /CNT=43 /TID=Hs.784.0 /TIER=FL+Stack /STK=10 /UG=Hs.784 /LL=1880 /DEF=Homo sapiens Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor) (EBI2), mRNA. /PROD=Epstein-Barr virus induced gene 2(lymphocyte-specific G protein-coupled receptor) /FL=gb:L08177.1 gb:NM_004951.1
IGFBP7	201162_at	3.351628887	4.3246E-14	gb:NM_001553.1 /DB_XREF=gi:4504618 /GEN=IGFBP7 /FEA=FLmRNA /CNT=409 /TID=Hs.119206.0 /TIER=FL+Stack /STK=157 /UG=Hs.119206 /LL=3490 /DEF=Homo sapiens insulin-like growth factor binding protein 7 (IGFBP7), mRNA. /PROD=insulin-like growth factor binding protein 7 /FL=gb:NM_001553.1 gb:L19182.1
ANXA2	208816_x_at	1.012687353	2.84418E-12	gb:M62898.1 /DB_XREF=gi:187147 /FEA=FLmRNA /CNT=446 /TID=Hs.217493.1 /TIER=FL /STK=2 /UG=Hs.217493 /LL=302 /UG_GENE=ANXA2 /UG_TITLE=annexin A2 /DEF=Human lipocortin (LIP) 2 pseudogene mRNA, complete cds-like region. /FL=gb:M62898.1
DAD1	200046_at	1.674454551	2.19767E-08	gb:NM_001344.1 /DB_XREF=gi:4503252 /GEN=DAD1 /FEA=FLmRNA /CNT=195 /TID=Hs.82890.0 /TIER=FL+Stack /STK=44 /UG=Hs.82890 /LL=1603 /DEF=Homo sapiens defender against cell death 1 (DAD1), mRNA. /PROD=defender against cell death 1 /FL=gb:NM_001344.1 gb:D15057.1
SCGF	211709_s_at	1.640905062	2.11289E-07	gb:BC005810.1 /DB_XREF=gi:13543291 /FEA=FLmRNA /CNT=1 /TID=HsAffx.900692.678 /TIER=FL /STK=0 /DEF=Homo sapiens, stem cell growth factor; lymphocyte secreted C-type lectin, clone MGC:10378, mRNA, complete cds. /PROD=stem cell growth factor; lymphocyte secretedC-type lectin /FL=gb:BC005810.1
cDNA qe04b02	203837_at	1.040053258	8.31941E-08	gb:NM_005923.2 /DB_XREF=gi:6031181 /GEN=MAP3K5 /FEA=FLmRNA /CNT=78 /TID=Hs.151988.0 /TIER=FL+Stack /STK=20 /UG=Hs.151988 /LL=4217 /DEF=Homo sapiens mitogen-activated protein kinase kinase kinase 5 (MAP3K5), mRNA. /PROD=MAPERK kinase kinase 5 /FL=gb:U67156.1 gb:NM_005923.2 gb:D84476.1
MAP7	202890_at	2.553879677	2.07311E-08	gb:AW242297 /DB_XREF=gi:6576051 /DB_XREF=xm96b11.x1 /CLONE=IMAGE:2692029 /FEA=FLmRNA /CNT=114 /TID=Hs.146388.0 /TIER=Stack /STK=30 /UG=Hs.146388 /LL=9053 /UG_GENE=MAP7 /UG_TITLE=microtubule-associated protein 7 /FL=gb:NM_003980.1
ITPA	209171_at	0.618454837	0.000170319	gb:AF219116.1 /DB_XREF=gi:13398327 /GEN=ITPA /FEA=FLmRNA /CNT=184 /TID=Hs.6817.0 /TIER=FL+Stack /STK=99 /UG=Hs.6817 /LL=80300 /DEF=Homo sapiens inosine triphosphate pyrophosphatase (ITPA) mRNA, complete cds. /PROD=inosine triphosphate pyrophosphatase /FL=gb:NM_025200.1 gb:AF026816.2 gb:AF063607.1 gb:AF219116.1
PRG1	213496_at	0.017212618	0.949528842	gb:AW592563 /DB_XREF=gi:7279747 /DB_XREF=hf44d09.x1 /CLONE=IMAGE:2934737 /FEA=mRNA /CNT=73 /TID=Hs.13245.0 /TIER=Stack /STK=28 /UG=Hs.13245 /LL=9890 /UG_GENE=KIAA0455 /UG_TITLE=KIAA0455 gene product
GLUD1	200947_s_at	0.631157423	3.04036E-08	gb:NM_005271.1 /DB_XREF=gi:4885280 /GEN=GLUD1 /FEA=FLmRNA /CNT=311 /TID=Hs.77508.0 /TIER=FL+Stack /STK=84 /UG=Hs.77508 /LL=2746 /DEF=Homo sapiens glutamate dehydrogenase 1 (GLUD1), mRNA. /PROD=glutamate dehydrogenase 1 /FL=gb:NM_005271.1 gb:M20867.1 gb:J03248.1 gb:M37154.1
FEZ1	203562_at	1.155457883	7.96016E-05	gb:NM_005103.2 /DB_XREF=gi:12025681 /GEN=FEZ1 /FEA=FLmRNA /CNT=101 /TID=Hs.79226.1 /TIER=FL+Stack /STK=49 /UG=Hs.79226 /LL=9638 /DEF=Homo sapiens fasciculation and elongation protein zeta 1 (zygin I) (FEZ1), transcript variant 1, mRNA. /PROD=zygin 1, isoform 1 /FL=gb:U60060.1 gb:U69139.1 gb:NM_005103.2
LILRA1	207872_s_at	0.545991574	0.009583201	gb:NM_006863.1 /DB_XREF=gi:5803065 /GEN=LILRA1 /FEA=FLmRNA /CNT=2 /TID=Hs.166156.0 /TIER=FL /STK=0 /UG=Hs.166156 /LL=11024 /DEF=Homo sapiens leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1 (LILRA1), mRNA. /PROD=leukocyte immunoglobulin-like receptor,subfamily A (with TM domain), member 1 /FL=gb:NM_006863.1 gb:AF025530.1
KIAA0428	201153_s_at	1.281490965	7.30321E-19	gb:NM_021038.1 /DB_XREF=gi:10518339 /GEN=MBNL /FEA=FLmRNA /CNT=345 /TID=Hs.28578.0 /TIER=FL+Stack /STK=88 /UG=Hs.28578 /LL=4154 /DEF=Homo sapiens muscleblind (Drosophila)-like (MBNL), mRNA. /PROD=muscleblind (Drosophila)-like /FL=gb:NM_021038.1 gb:AB007888.1
MT1B	217165_x_at	1.683759081	1.18345E-07	gb:M10943 /DB_XREF=gi:187540 /FEA=DNA /CNT=1 /TID=Hs.203936.0 /TIER=ConsEnd /STK=0 /UG=Hs.203936 /LL=4494 /UG_GENE=MT1F /UG_TITLE=metallothionein 1F (functional) /DEF=Human metallothionein-If gene (hMT-If)
HOXA5	213844_at	3.198684048	4.27415E-07	gb:NM_019102.1 /DB_XREF=gi:9506790 /GEN=HOXA5 /FEA=FLmRNA /CNT=39 /TID=Hs.37034.0 /TIER=FL+Stack /STK=18 /UG=Hs.37034 /LL=3202 /DEF=Homo sapiens homeo box A5 (HOXA5), mRNA. /PROD=homeobox protein (HOX-1.3) /FL=gb:NM_019102.1
DKFZp564A032	204502_at	1.666619079	1.34879E-09	gb:NM_015474.1 /DB_XREF=gi:7661593 /GEN=DKFZP564A032 /FEA=FLmRNA /CNT=73 /TID=Hs.23889.0 /TIER=FL+Stack /STK=19 /UG=Hs.23889 /LL=25939 /DEF=Homo sapiens DKFZP564A032 protein (DKFZP564A032), mRNA. /PROD=DKFZP564A032 protein /FL=gb:AF228421.1 gb:AL050267.1 gb:AB013847.1 gb:NM_015474.1
cDNA 03h03	212859_x_at	0.635986354	0.06471336	gb:BF217861 /DB_XREF=gi:11111447 /DB_XREF=601885414F1 /CLONE=IMAGE:4103955 /FEA=DNA /CNT=149 /TID=Hs.74170.0 /TIER=Stack /STK=84 /UG=Hs.74170 /LL=4493 /UG_GENE=MT1E /UG_TITLE=metallothionein 1E (functional)
DKFZp586B2022	202720_at	1.664820633	1.30217E-09	gb:NM_015641.1 /DB_XREF=gi:7661665 /GEN=DKFZP586B2022 /FEA=FLmRNA /CNT=149 /TID=Hs.165986.0 /TIER=FL+Stack /STK=30 /UG=Hs.165986 /LL=26136 /DEF=Homo sapiens testin (DKFZP586B2022), mRNA. /PROD=testin /FL=gb:BC001451.1 gb:AF245357.1 gb:AF245356.1 gb:NM_015641.1
cDNA ou23f10	205081_at	2.276259988	6.9191E-12	gb:NM_001311.1 /DB_XREF=gi:4503046 /GEN=CRIP1 /FEA=FLmRNA /CNT=42 /TID=Hs.17409.0 /TIER=FL /STK=0 /UG=Hs.17409 /LL=1396 /DEF=Homo sapiens cysteine-rich protein 1 (intestinal) (CRIP1), mRNA. /PROD=cysteine-rich protein 1 (intestinal) /FL=gb:U58630.1 gb:BC002738.1 gb:NM_001311.1 gb:U09770.1
ANXA2P2	211241_at	0.828735334	1.97318E-05	gb:M62895.1 /DB_XREF=gi:187145 /FEA=FLmRNA /CNT=1 /TID=Hs.166072.0 /TIER=FL /STK=0 /UG=Hs.166072 /LL=304 /UG_GENE=ANXA2P2 /UG_TITLE=annexin A2 pseudogene 2 /DEF=Human lipocortin (LIP) 2 pseudogene mRNA, complete cds-like region. /FL=gb:M62895.1
DKFZp586C1619	232624_at	-0.37852693	0.004537581	gb:AL035079 /DB_XREF=gi:4775614 /FEA=DNA_1 /CNT=6 /TID=Hs.221018.0 /TIER=ConsEnd /STK=0 /UG=Hs.221018 /UG_TITLE=Human DNA sequence from clone 53C18 on chromosome 11p12-13. Contains the CAT gene for Catalase, the first coding exon of the ortholog of rat Ankyrin repeat protein CCA3, a Recepin partial pseudogene, and a pseudogene similar to part of DNAJ proteins (HIRIP4, DNJ3, CPR3). Contains ESTs, STSs, GSSs and two putative CpG islands /DEF=Human DNA sequence from clone 53C18 on chromosome 11p12-13. Contains the CAT gene for Catalase, the first coding exon of the ortholog of rat Ankyrin repeat protein CCA3, a Recepin partial pseudogene, and a pseudogene similar to part of DNAJ protei...
