UGCluster	Symbol	Name	GOabr
Hs.251531	PSMA4	proteasome (prosome, macropain) subunit, alpha type, 4	endopeptidase activity|proteasome core complex (sensu Eukarya)|ubiquitin-dependent protein catabolism
Hs.380118	RBMX	RNA binding motif protein, X-linked	RNA binding|biological_process unknown|heterogeneous nuclear ribonucleoprotein complex
Hs.284170	HIBADH	3-hydroxyisobutyrate dehydrogenase	3-hydroxyisobutyrate dehydrogenase activity|mitochondrion|oxidoreductase activity|pentose-phosphate shunt|phosphogluconate dehydrogenase (decarboxylating) activity|valine metabolism
Hs.430606	CS	citrate synthase	citrate (Si)-synthase activity|mitochondrion|transferase activity|tricarboxylic acid cycle
Hs.288932	MAK3P	likely ortholog of mouse Mak3p homolog (S. cerevisiae)	N-acetyltransferase activity
Hs.350229	CASC3	cancer susceptibility candidate 3	biological_process unknown|molecular_function unknown|nucleus
Hs.75353	PMPCA	peptidase (mitochondrial processing) alpha	hydrolase activity|mitochondrial inner membrane|mitochondrial processing peptidase activity|mitochondrion|protein binding|proteolysis and peptidolysis
Hs.182825	RPL35	ribosomal protein L35	NA
Hs.378103	RPS5	ribosomal protein S5	RNA binding|cytosolic small ribosomal subunit (sensu Eukarya)|intracellular|protein biosynthesis|structural constituent of ribosome
Hs.183556	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5	dicarboxylic acid transport|integral to plasma membrane|membrane fraction|neutral amino acid transport|neutral amino acid transporter activity|receptor activity|sodium:dicarboxylate symporter activity|symporter activity|transport
Hs.119597	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	endoplasmic reticulum|fatty acid biosynthesis|integral to membrane|iron ion binding|oxidoreductase activity|stearoyl-CoA 9-desaturase activity
Hs.178292	POFUT1	protein O-fucosyltransferase 1	Notch signaling pathway|O-glycan processing|cytoplasm|embryonic development|fucose metabolism|integral to Golgi membrane|manganese ion binding|peptide-O-fucosyltransferase activity|regulation of transcription|regulation of translation|transferase activity, transferring glycosyl groups
Hs.434901	SNRPA1	small nuclear ribonucleoprotein polypeptide A	RNA binding|RNA splicing|snRNP U2
Hs.408754	MAPRE1	microtubule-associated protein, RP/EB family, member 1	cell proliferation|microtubule binding|protein C-terminus binding|regulation of cell cycle
Hs.142868		CDNA FLJ11143 fis, clone PLACE1006598	NA
Hs.430666	HSP70-4	likely ortholog of mouse heat shock protein, 70 kDa 4	ATP binding
Hs.250616	IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha	carbohydrate metabolism|isocitrate dehydrogenase (NAD+) activity|mitochondrion|oxidoreductase activity|tricarboxylic acid cycle
Hs.118554	LACTB2	lactamase, beta 2	NA
Hs.411826	UBE2D3	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	ligase activity|protein modification|ubiquitin conjugating enzyme activity|ubiquitin conjugating enzyme activity|ubiquitin cycle|ubiquitin-dependent protein catabolism|ubiquitin-protein ligase activity|ubiquitin-protein ligase activity
Hs.285290	COQ6	coenzyme Q6 homolog (yeast)	aromatic compound metabolism|electron transport|monooxygenase activity|ubiquinone biosynthesis
Hs.85482	USP13	ubiquitin specific protease 13 (isopeptidase T-3)	cysteine-type endopeptidase activity|hydrolase activity|ubiquitin thiolesterase activity|ubiquitin-dependent protein catabolism|ubiquitin-specific protease activity
Hs.23255	NUP155	nucleoporin 155kDa	nuclear pore|nucleocytoplasmic transport|nucleocytoplasmic transporter activity|nucleus|transport|transporter activity
Hs.444439	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	NA
Hs.79037	HSPD1	heat shock 60kDa protein 1 (chaperonin)	ATP binding|heat shock protein activity|mitochondrial matrix|mitochondrial matrix protein import|protein folding
Hs.8345	MGC4308	hypothetical protein MGC4308	NA
Hs.3945	C20orf45	chromosome 20 open reading frame 45	NA
Hs.3530	FUSIP1	FUS interacting protein (serine-arginine rich) 1	RNA binding|RS domain binding|assembly of spliceosomal tri-snRNP|chaperone activity|cytoplasm|cytoplasm|cytoplasmic transport|mRNA processing|mRNA-nucleus export|negative regulation of nuclear mRNA splicing, via spliceosome|nuclear mRNA 5-splice site recognition|nuclear mRNA splicing, via spliceosome|nucleoplasm|nucleus|pre-mRNA splicing factor activity|pre-mRNA splicing factor activity|protein binding|protein binding|regulation of transcription|spliceosome assembly
Hs.10724	MRPS35	mitochondrial ribosomal protein S35	mitochondrion|structural constituent of ribosome
Hs.436803	VBP1	von Hippel-Lindau binding protein 1	chaperone activity|prefoldin complex|protein folding
Hs.355819	TIMM50	translocase of inner mitochondrial membrane 50 homolog (yeast)	NA
Hs.102558	MGC5352	hypothetical protein MGC5352	catalytic activity|metabolism
Hs.211594	PSMC4	proteasome (prosome, macropain) 26S subunit, ATPase, 4	ATP binding|ATPase activity|hydrolase activity|nucleotide binding|proteasome complex (sensu Eukarya)|proteolysis and peptidolysis
Hs.173162	NOC4	neighbor of COX4	mitochondrion|molecular_function unknown|nucleus
Hs.88977	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	protein biosynthesis
Hs.307544	HNRPK	heterogeneous nuclear ribonucleoprotein K	DNA binding|RNA binding|RNA processing|heterogeneous nuclear ribonucleoprotein complex|nucleoplasm
Hs.82389	MRPL48	mitochondrial ribosomal protein L48	intracellular|protein biosynthesis|ribosome|structural constituent of ribosome
Hs.79769	PCDH1	protocadherin 1 (cadherin-like 1)	calcium ion binding|cell adhesion|cell-cell signaling|homophilic cell adhesion|integral to plasma membrane|intercellular junction|membrane|neurogenesis|protein binding
Hs.408302	C1orf37	chromosome 1 open reading frame 37	NA
Hs.22879	ANC_2H01	zinc finger protein ANC_2H01	nucleic acid binding|nucleus|zinc ion binding
Hs.439387	FOXK2	forkhead box K2	RNA polymerase II transcription factor activity|nucleus|regulation of transcription from Pol II promoter|transcription factor activity
Hs.124027	SEPHS1	selenophosphate synthetase 1	ATP binding|GTP binding|protein modification|selenide, water dikinase activity|transferase activity
Hs.171834	PCTK1	PCTAIRE protein kinase 1	ATP binding|protein amino acid phosphorylation|protein amino acid phosphorylation|protein serine/threonine kinase activity|protein serine/threonine kinase activity|regulation of cell cycle|transferase activity
Hs.169615	FLJ20989	hypothetical protein FLJ20989	NA
Hs.434986	HRI	heme-regulated initiation factor 2-alpha kinase	ATP binding|autophosphorylation|eukaryotic translation initiation factor 2alpha kinase activity|heme binding|negative regulation of hemoglobin biosynthesis|negative regulation of protein biosynthesis|negative regulation of translational initiation by iron|protein homodimerization activity|response to external stimulus|response to stress|transferase activity
Hs.172589	PWP1	nuclear phosphoprotein similar to S. cerevisiae PWP1	nucleus|transcription
Hs.77324	ETF1	eukaryotic translation termination factor 1	RNA binding|cytoplasm|protein biosynthesis|regulation of translational termination|translation release factor activity, codon specific
Hs.462306	UBE2S	ubiquitin-conjugating enzyme E2S	NA
Hs.458313	NA	Transcribed sequence with strong similarity to protein ref:NP_060850.1 (H.sapiens) DEAD/H	NA
Hs.1578	BIRC5	baculoviral IAP repeat-containing 5 (survivin)	G2/M transition of mitotic cell cycle|anti-apoptosis|apoptosis|cysteine protease inhibitor activity|intracellular|spindle microtubule
Hs.144057	GMPS	guanine monphosphate synthetase	NA
Hs.9075	STK17A	serine/threonine kinase 17a (apoptosis-inducing)	ATP binding|apoptosis|induction of apoptosis|nucleus|protein amino acid phosphorylation|protein kinase cascade|protein serine/threonine kinase activity|transferase activity
Hs.420696	MRPL39	mitochondrial ribosomal protein L39	biological_process unknown|mitochondrial ribosome|mitochondrion|structural constituent of ribosome
Hs.517832	DESR1	DESR1 protein	NA
Hs.119251	UQCRC1	ubiquinol-cytochrome c reductase core protein I	aerobic respiration|electron transport|inner membrane|metalloendopeptidase activity|mitochondrial electron transport chain|mitochondrion|oxidative phosphorylation|oxidoreductase activity|proteolysis and peptidolysis|ubiquinol-cytochrome-c reductase activity
Hs.4209	MRPL37	mitochondrial ribosomal protein L37	catalase activity|electron transport|response to oxidative stress|structural constituent of ribosome
Hs.95351	LIPE	lipase, hormone-sensitive	NA
Hs.101014	KIAA0092	translokin	NA
Hs.410205	NUDT5	nudix (nucleoside diphosphate linked moiety X)-type motif 5	ADP-sugar diphosphatase activity|D-ribose catabolism|hydrolase activity|intracellular|magnesium ion binding|protein binding
Hs.79162	SSRP1	structure specific recognition protein 1	DNA binding|chromatin|nucleus|regulation of transcription, DNA-dependent
Hs.107513	DOCK11	dedicator of cytokinesis 11	NA
Hs.140443	LOC134492	similar to RIKEN cDNA 2700047N05	NA
Hs.43597	NA	Data not found	NA
Hs.15265	HNRPR	heterogeneous nuclear ribonucleoprotein R	RNA binding|heterogeneous nuclear ribonucleoprotein complex|mRNA processing
Hs.385913	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	cytoplasmic vesicle|nucleus|phosphatase inhibitor activity
Hs.41706	DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	ATP binding|ATP-dependent helicase activity|RNA binding|RNA helicase activity
Hs.310922	BCL2L13	BCL2-like 13 (apoptosis facilitator)	caspase activation|caspase activator activity|induction of apoptosis|integral to membrane|mitochondrion|regulation of apoptosis
Hs.476302	HNRPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	RNA binding|RNA splicing|heterogeneous nuclear ribonucleoprotein complex
Hs.74047	ETFB	electron-transfer-flavoprotein, beta polypeptide	electron carrier activity|electron transport|mitochondrial matrix
Hs.82327	GSS	glutathione synthetase	ATP binding|amino acid metabolism|glutathione biosynthesis|glutathione synthase activity|ligase activity|neurogenesis|response to oxidative stress
Hs.3439	STOML2	stomatin (EPB72)-like 2	cytoskeleton|membrane|receptor binding
Hs.82508	THAP11	THAP domain containing 11	DNA binding|nucleus
Hs.108371	E2F4	E2F transcription factor 4, p107/p130-binding	NA
Hs.315177	IFRD2	interferon-related developmental regulator 2	cell differentiation|cell proliferation|cellular_component unknown|molecular_function unknown
Hs.310542	TOMM40	translocase of outer mitochondrial membrane 40 homolog (yeast)	anion transport|integral to membrane|intracellular protein transport|mitochondrial outer membrane|mitochondrial transport|mitochondrion|protein transporter activity|protein-mitochondrial targeting|voltage-dependent ion-selective channel activity
Hs.110757	D21S2056E	DNA segment on chromosome 21 (unique) 2056 expressed sequence	nucleus
Hs.182625	VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C	integral to plasma membrane|protein complex assembly|structural molecule activity
Hs.208388	FANCD2	Fanconi anemia, complementation group D2	biological_process unknown|cellular_component unknown|molecular_function unknown
Hs.159557	KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	DNA metabolism|G2 phase of mitotic cell cycle|M phase specific microtubule process|NLS-bearing substrate-nucleus import|cytoplasm|intracellular protein transport|nuclear localization sequence binding|nucleoplasm|protein binding|protein transporter activity|regulation of DNA recombination
Hs.528652	C9orf86	chromosome 9 open reading frame 86	NA
Hs.411925	C9orf87	chromosome 9 open reading frame 87	NA
Hs.326725	FLJ22624	FLJ22624 protein	NA
Hs.2853	PCBP1	poly(rC) binding protein 1	RNA binding|cytoplasm|mRNA metabolism|nucleus|ribonucleoprotein complex|single-stranded DNA binding
Hs.284286	MRPS24	mitochondrial ribosomal protein S24	biological_process unknown|mitochondrial small ribosomal subunit|mitochondrion|structural constituent of ribosome
Hs.73527	CSNK2B	casein kinase 2, beta polypeptide	Wnt receptor signaling pathway|protein kinase CK2 activity|protein kinase CK2 complex|protein kinase CK2 regulator activity|protein serine/threonine kinase activity|signal transduction|transferase activity
Hs.6126	MANBAL	mannosidase, beta A, lysosomal-like	integral to membrane
Hs.226007	RDH11	retinol dehydrogenase 11 (all-trans and 9-cis)	endoplasmic reticulum|integral to membrane|intracellular|metabolism|oxidoreductase activity|photoreceptor maintenance|retinol dehydrogenase activity|retinol metabolism
Hs.412842	C10orf7	chromosome 10 open reading frame 7	NA
Hs.28914	APRT	adenine phosphoribosyltransferase	NA
Hs.111024	SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	binding|citrate transporter activity|integral to membrane|mitochondrial citrate transport|mitochondrial inner membrane|mitochondrion|transport|transporter activity
Hs.158193	TLOC1	translocation protein 1	cotranslational membrane targeting|endoplasmic reticulum|integral to membrane|protein transport|protein transporter activity|receptor activity
Hs.44298	MRPS17	mitochondrial ribosomal protein S17	intracellular|mitochondrial small ribosomal subunit|mitochondrion|nucleic acid binding|protein biosynthesis|ribosome|structural constituent of ribosome
Hs.283532	BM039	uncharacterized bone marrow protein BM039	NA
Hs.9194	UBADC1	ubiquitin associated domain containing 1	NA
Hs.184339	MELK	maternal embryonic leucine zipper kinase	ATP binding|protein amino acid phosphorylation|protein serine/threonine kinase activity|transferase activity
Hs.436687	SET	SET translocation (myeloid leukemia-associated)	DNA binding|DNA replication|cell growth and/or maintenance|nucleosome assembly|nucleus|protein phosphatase inhibitor activity
Hs.28465	NA	Clone IMAGE:5263527, mRNA	NA
Hs.76084	LMNB2	lamin B2	biological_process unknown|intermediate filament|nuclear lamina|nucleus|structural molecule activity
Hs.178576	CTNNBL1	catenin, beta like 1	NA
Hs.397638	WDR5	WD repeat domain 5	G-protein coupled receptor protein signaling pathway|heterotrimeric G-protein complex|signal transducer activity
Hs.151001	CIRH1A	cirrhosis, autosomal recessive 1A (cirhin)	nucleus
Hs.23476	CIZ1	CDKN1A interacting zinc finger protein 1	nucleic acid binding|nucleus|nucleus|regulation of cell cycle|zinc ion binding|zinc ion binding
Hs.6879	DC13	DC13 protein	NA
Hs.4815	NUDT3	nudix (nucleoside diphosphate linked moiety X)-type motif 3	calcium-mediated signaling|cell-cell signaling|cyclic-nucleotide-mediated signaling|diadenosine polyphosphate catabolism|diphosphoinositol-polyphosphate diphosphatase activity|hydrolase activity|intracellular|intracellular signaling cascade|intracellular transport|regulation of RNA-nucleus export
Hs.382044	MRPS2	mitochondrial ribosomal protein S2	intracellular|mitochondrion|protein biosynthesis|small ribosomal subunit|structural constituent of ribosome
Hs.446393	CPSF5	cleavage and polyadenylation specific factor 5, 25 kDa	RNA binding|mRNA processing|nucleus
Hs.119192	H2AFZ	H2A histone family, member Z	DNA binding|chromosome|chromosome organization and biogenesis (sensu Eukarya)|nucleosome|nucleosome assembly|nucleus
Hs.164021	CXCL6	chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	RNA binding|RNA-dependent DNA replication|RNA-directed DNA polymerase activity|cell-cell signaling|chemokine activity|chemotaxis|extracellular|heparin binding|immune response|inflammatory response|signal transduction|transferase activity
Hs.440475	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	NA
Hs.70704	C20orf129	chromosome 20 open reading frame 129	NA
Hs.62180	ANLN	anillin, actin binding protein (scraps homolog, Drosophila)	NA
Hs.270845	KIF23	kinesin family member 23	NA
Hs.278839	C20orf77	chromosome 20 open reading frame 77	NA
Hs.405958	CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	ATP binding|DNA replication checkpoint|cytokinesis|cytoplasm|negative regulation of DNA replication|negative regulation of cell proliferation|nucleotide binding|nucleotide binding|nucleus|regulation of cyclin dependent protein kinase activity|traversing start control point of mitotic cell cycle
Hs.73072	CCT6B	chaperonin containing TCP1, subunit 6B (zeta 2)	NA
Hs.403914	VASP	vasodilator-stimulated phosphoprotein	NA
Hs.17834	DONSON	downstream neighbor of SON	biological_process unknown|cellular_component unknown|molecular_function unknown
Hs.510847	NA	MRNA; cDNA DKFZp779B0634 (from clone DKFZp779B0634)	NA
Hs.146449	NUP153	nucleoporin 153kDa	DNA binding|nuclear pore|nucleus|transport|transporter activity
Hs.436187	TRIP13	thyroid hormone receptor interactor 13	ATP binding|nucleotide binding|nucleus|nucleus|receptor activity|transcription cofactor activity|transcription from Pol II promoter
Hs.278338	GPSM2	G-protein signalling modulator 2 (AGS3-like, C. elegans)	NA
Hs.21331	FLJ10036	hypothetical protein FLJ10036	NA
Hs.438749	NA	CDNA FLJ40955 fis, clone UTERU2011199	NA
Hs.516796	NA	CDNA: FLJ21923 fis, clone HEP04081	NA
Hs.198271	NDUFA10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa	ATP binding|NADH dehydrogenase (ubiquinone) activity|NADH dehydrogenase activity|energy pathways|membrane fraction|mitochondrion|nucleobase, nucleoside, nucleotide and nucleic acid metabolism|oxidoreductase activity|phosphotransferase activity, alcohol group as acceptor
Hs.435982	FLJ10407	hypothetical protein FLJ10407	NA
Hs.409065	FEN1	flap structure-specific endonuclease 1	DNA replication|UV protection|damaged DNA binding|double-strand break repair|double-stranded DNA binding|double-stranded DNA specific exodeoxyribonuclease activity|endonuclease activity|exonuclease activity|hydrolase activity|nucleus
Hs.7744	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	NADH dehydrogenase (ubiquinone) activity|NADH dehydrogenase activity|energy pathways|membrane fraction|mitochondrial electron transport, NADH to ubiquinone|mitochondrial inner membrane|mitochondrion|oxidoreductase activity
Hs.424099	EPPB9	B9 protein	NA
Hs.109059	MRPL12	mitochondrial ribosomal protein L12	RNA binding|intracellular|mitochondrial large ribosomal subunit|mitochondrion|protein biosynthesis|protein biosynthesis|ribosome|structural constituent of ribosome|structural constituent of ribosome
Hs.389101	RALY	RNA binding protein (autoantigenic, hnRNP-associated with lethal yellow)	RNA binding|nucleus|ribonucleoprotein complex
Hs.418450	MRPL11	mitochondrial ribosomal protein L11	intracellular|mitochondrion|protein biosynthesis|ribosome|structural constituent of ribosome
Hs.405860	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	L-malate dehydrogenase activity|mitochondrial matrix|oxidoreductase activity|tricarboxylic acid cycle
Hs.184877	SLC25A11	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11	NA
Hs.44017	MRPL41	mitochondrial ribosomal protein L41	structural constituent of ribosome
Hs.169919	ETFA	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	electron carrier activity|electron transport|mitochondrial matrix
Hs.430299	PXMP2	peroxisomal membrane protein 2, 22kDa	NA
Hs.109706	HN1	hematological and neurological expressed 1	NA
Hs.234896	GMNN	geminin, DNA replication inhibitor	cell cycle|cell cycle arrest|negative regulation of DNA replication
Hs.521070	ZNF3	zinc finger protein 3 (A8-51)	cell differentiation|immune cell activation|intracellular|nucleic acid binding|nucleus|regulation of transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription factor activity|zinc ion binding
Hs.448753	NA	U93 scaRNA gene, complete sequence	NA
Hs.172052	PLK4	polo-like kinase 4 (Drosophila)	ATP binding|cell cycle|protein amino acid phosphorylation|protein serine/threonine kinase activity|transferase activity
Hs.118666	PP591	FAD-synthetase	Mo-molybdopterin cofactor biosynthesis|metabolism|transferase activity
Hs.145647	NA	Transcribed sequences	NA
Hs.440835	SF1	splicing factor 1	DNA binding|RNA binding|RNA polymerase II transcription factor activity|metal ion binding|nuclear mRNA splicing, via spliceosome|nucleus|regulation of transcription, DNA-dependent|spliceosome complex|transcription corepressor activity
Hs.369523	DKFZp686A17109	hypothetical protein DKFZp686A17109	ATP binding|protein amino acid phosphorylation|protein serine/threonine kinase activity|small GTPase regulatory/interacting protein activity
Hs.21635	TUBG1	tubulin, gamma 1	GTP binding|centrosome|condensed nuclear chromosome|gamma-tubulin complex|meiotic spindle assembly|microtubule|microtubule nucleation|microtubule-based movement|mitotic spindle assembly|polar microtubule|protein binding|regulation of mitosis|spindle pole body|structural constituent of cytoskeleton
Hs.121025	C11orf5	chromosome 11 open reading frame 5	NA
Hs.356630	NUTF2	nuclear transport factor 2	cytosol|intracellular protein transport|nuclear pore|nucleus|protein transporter activity|protein-nucleus import
Hs.388813	ZFP1	zinc finger protein 1 homolog (mouse)	nucleic acid binding|nucleus|zinc ion binding
Hs.47125	FLJ13912	hypothetical protein FLJ13912	NA
Hs.411433	FANCL	Fanconi anemia, complementation group L	DNA repair|ligase activity|nucleus
Hs.250745	RPC62	polymerase (RNA) III (DNA directed) (62kD)	DNA binding|DNA-directed RNA polymerase III complex|DNA-directed RNA polymerase activity|DNA-directed RNA polymerase activity|regulation of transcription from Pol III promoter|transcription
Hs.406510	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	ATP binding|ATP synthesis coupled proton transport|energy pathways|hydrogen-exporting ATPase activity, phosphorylative mechanism|hydrogen-transporting ATP synthase activity, rotational mechanism|hydrogen-transporting ATPase activity, rotational mechanism|hydrolase activity|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|mitochondrion|nucleotide binding|proton transport|proton-transporting ATP synthase complex (sensu Eukarya)|proton-transporting ATP synthase, catalytic core (sensu Eukarya)|transporter activity
Hs.488473	NA	Transcribed sequence with strong similarity to protein prf:2201310A (H.sapiens) 2201310A microsomal protein P58 [Homo sapiens]	NA
Hs.371698	RAE1	RAE1 RNA export 1 homolog (S. pombe)	RNA binding|cytoskeleton|mRNA-nucleus export|nuclear outer membrane|nuclear pore|nucleus
Hs.114360	TSC22	transforming growth factor beta-stimulated protein TSC-22	nucleus|regulation of transcription, DNA-dependent|transcription factor activity|transcription from Pol II promoter
Hs.128791	CGI-09	CGI-09 protein	regulation of translational initiation|translation initiation factor activity
Hs.333786	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2	NA
Hs.18259	XAB1	XPA binding protein 1	ATP binding|GTP binding|nucleotide binding|small GTPase mediated signal transduction
Hs.252457	MVD	mevalonate (diphospho) decarboxylase	ATP binding|cholesterol biosynthesis|diphosphomevalonate decarboxylase activity|isoprenoid biosynthesis|kinase activity|lyase activity|phosphorylation
Hs.75798	C20orf111	chromosome 20 open reading frame 111	NA
Hs.90107	ADRM1	adhesion regulating molecule 1	cell adhesion|integral to plasma membrane|membrane fraction|protein binding
Hs.75682	RCD-8	autoantigen	biological_process unknown|molecular_function unknown|nucleus
Hs.1063	SNRPC	small nuclear ribonucleoprotein polypeptide C	RNA binding|RNA splicing|snRNP U1|zinc ion binding
Hs.82426	KIAA0247	KIAA0247	integral to membrane
Hs.356739	PPP6C	protein phosphatase 6, catalytic subunit	G1/S transition of mitotic cell cycle|hydrolase activity|manganese ion binding|protein amino acid dephosphorylation|protein serine/threonine phosphatase activity
Hs.95577	CDK4	cyclin-dependent kinase 4	ATP binding|G1/S transition of mitotic cell cycle|cyclin-dependent protein kinase activity|cytokinesis|protein amino acid phosphorylation|protein kinase activity|regulation of cell cycle|transferase activity
Hs.150555	HSU79274	protein predicted by clone 23733	NA
Hs.154672	MTHFD2	methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	electron transporter activity|folic acid and derivative biosynthesis|hydrolase activity|magnesium ion binding|methenyltetrahydrofolate cyclohydrolase activity|methylenetetrahydrofolate dehydrogenase (NAD+) activity|mitochondrion|one-carbon compound metabolism|oxidoreductase activity
Hs.34045	CDCA4	cell division cycle associated 4	NA
Hs.75850	WASF1	WAS protein family, member 1	actin binding|actin cytoskeleton|actin filament polymerization|cell motility|protein complex assembly
Hs.58488	CTNNAL1	catenin (cadherin-associated protein), alpha-like 1	apoptosis
Hs.99987	ERCC2	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)	ATP binding|ATP-dependent DNA helicase activity|DNA binding|hydrolase activity|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides|magnesium ion binding|nucleotide-excision repair|nucleus|perception of sound|regulation of transcription, DNA-dependent
Hs.425427	LYAR	hypothetical protein FLJ20425	NA
Hs.367821	DTYMK	deoxythymidylate kinase (thymidylate kinase)	ATP binding|DNA metabolism|cell cycle|dTDP biosynthesis|dTTP biosynthesis|kinase activity|nucleotide biosynthesis|thymidylate kinase activity|transferase activity
Hs.87491	TYMS	thymidylate synthetase	NA
Hs.141347	MGC33864	ADP-ribosylation-like factor 6-interacting protein 6	NA
Hs.119960	NA	Data not found	NA
Hs.318526	FLJ12661	hypothetical protein FLJ12661	NA
Hs.446311	MGC10911	hypothetical protein MGC10911	NA
Hs.13340	HAT1	histone acetyltransferase 1	DNA packaging|acyltransferase activity|histone acetyltransferase activity|internal protein amino acid acetylation|nucleus|protein binding|transferase activity
Hs.146161	MGC2408	hypothetical protein MGC2408	S-adenosylmethionine-dependent methyltransferase activity
Hs.291898	MRPL16	mitochondrial ribosomal protein L16	intracellular|protein biosynthesis|ribosome|structural constituent of ribosome
Hs.94308	RAB35	RAB35, member RAS oncogene family	NA
Hs.408355	LRP11	low density lipoprotein receptor-related protein 11	NA
Hs.18528	SSNA1	Sjogrens syndrome nuclear autoantigen 1	nucleus
Hs.374491	PA2G4	proliferation-associated 2G4, 38kDa	cell cycle arrest|cell proliferation|hydrolase activity|methionyl aminopeptidase activity|nucleus|proteolysis and peptidolysis
Hs.172865	CSTF1	cleavage stimulation factor, 3 pre-RNA, subunit 1, 50kDa	RNA binding|RNA processing|mRNA cleavage|mRNA polyadenylation|nucleus
Hs.442609	MRPL38	mitochondrial ribosomal protein L38	NA
Hs.433208	MGC11257	hypothetical protein MGC11257	NA
Hs.401703	C20orf52	chromosome 20 open reading frame 52	integral to membrane
Hs.29874	RNF135	ring finger protein 135	NA
Hs.103834	MGC5576	hypothetical protein MGC5576	NA
Hs.306122	GPSN2	glycoprotein, synaptic 2	integral to membrane
Hs.19236	NDUFB5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa	NADH dehydrogenase (ubiquinone) activity|NADH dehydrogenase activity|mitochondrial electron transport, NADH to ubiquinone|mitochondrion|oxidoreductase activity
Hs.444536	SLC5A8	solute carrier family 5 (iodide transporter), member 8	membrane|transport|transporter activity
Hs.339697	GRINA	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)	receptor activity
Hs.296422	COASY	Coenzyme A synthase	ATP binding|cellular_component unknown|coenzyme A biosynthesis|dephospho-CoA kinase activity|nucleotide binding|pantetheine-phosphate adenylyltransferase activity|transferase activity
Hs.12106	MMAB	methylmalonic aciduria (cobalamin deficiency) type B	NA
Hs.130607	MVK	mevalonate kinase (mevalonic aciduria)	ATP binding|biosynthesis|cholesterol biosynthesis|cytoplasm|isoprenoid biosynthesis|mevalonate kinase activity|peroxisome|protein amino acid phosphorylation|transferase activity
Hs.348495	HIST3H2A	histone 3, H2a	DNA binding|chromosome organization and biogenesis (sensu Eukarya)|nucleosome|nucleosome assembly|nucleus
Hs.513334	NA	Transcribed sequence with weak similarity to protein ref:NP_055131.1 (H.sapiens) calcium-regulated heat-stable protein	NA
Hs.95583	NET-7	transmembrane 4 superfamily member tetraspan NET-7	integral to plasma membrane|membrane fraction
Hs.144949	ZNF313	zinc finger protein 313	nucleic acid binding|nucleus|zinc ion binding
Hs.399981	C20orf178	chromosome 20 open reading frame 178	molecular_function unknown
Hs.443292	CPS1	carbamoyl-phosphate synthetase 1, mitochondrial	ATP binding|arginine biosynthesis|carbamoyl-phosphate synthase (ammonia) activity|ligase activity|mitochondrion|pyrimidine base biosynthesis|urea cycle
Hs.137594	HIST1H2BL	histone 1, H2bl	DNA binding|chromosome|chromosome organization and biogenesis (sensu Eukarya)|nucleosome|nucleosome assembly|nucleus
Hs.2178	HIST2H2BE	histone 2, H2be	DNA binding|chromosome|chromosome organization and biogenesis (sensu Eukarya)|nucleosome|nucleosome assembly|nucleus
Hs.519945	HIST1H2BJ	histone 1, H2bj	DNA binding|chromosome|chromosome organization and biogenesis (sensu Eukarya)|nucleosome|nucleosome assembly|nucleus
Hs.301636	PEX6	peroxisomal biogenesis factor 6	ATP binding|ATPase activity, coupled|cytoplasm|nucleic acid binding|nucleotide binding|peroxisome|peroxisome organization and biogenesis
