CloneID	UnigeneID	AccessionNo.	Gene	TranscriptName	Locus	LocusID
471835	Hs.411865	AA035137	IPO4	importin4	14,q11.2	79711
1323704	Hs.47313	AA856600	KIAA0258	KIAA0258	9,p13.3	9827
1628850	Hs.350507	AA993932	DMRTC2	DMRT-likefamilyC2	19,q13.2	63946
782170	Hs.122115	AA431201	FLJ33915	hypotheticalproteinFLJ33915	12,q24.33	347918
359457	Hs.512705	AA010664	TAGLN	transgelin	11,q23.3	NA
740888	Hs.356123	AA477481	KRT8	keratin8	NA	3856
1622783	Hs.353519	AA993156	MGC26963	hypotheticalproteinMGC26963	4,q25	166929
740416	Hs.98367	AA477828	SOX17	SRY(sexdeterminingregionY)-box17	8,q11.23	64321
31350	Hs.348361	R42041	KCNMB4	potassiumlargeconductancecalcium-activatedchannelsubfamilyM	12,q15	27345
44292	Hs.101651	H06273	LOC90133	hypotheticalproteinLOC90133	3,q25.33	90133
1942274	Hs.148647	AI203235	NA	transcribedsequence	4,q26	NA
2028711	Hs.256067	AI262125	PRKAA2	proteinkinaseAMP-activated	1,p32.2	5563
1518666	Hs.130757	AA903644	NA	Protocadherin-beta(PCDHpsi-5)pseudogenemRNAsequence	5,q31.3	NA
308238	Hs.172928	N92415	COL1A1	collagentypeI	NA	1277
344589	Hs.381099	W73144	LCP1	lymphocytecytosolicprotein1(L-plastin)	13,q14.13	3936
1891516	Hs.149473	AI279666	PRSS7	proteaseserine	21,q21.1	5651
813265	Hs.302690	AA455935	NFIB	nuclearfactorI/B	9,p23	4781
880630	Hs.284135	AA468630	MGC3036	LOC442643	NA	401432
1627937	Hs.184245	AI017101	SHARP	SMART/HDAC1associatedrepressorprotein	1,p36.13	23013
261256	Hs.190086	H98113	MRCL3	myosinregulatorylightchainMRCL3	18,p11.31	NA
1588791	Hs.164140	AA978354	MGMT	O-6-methylguanine-DNAmethyltransferase	10,q26.3	4255
491644	Hs.371003	AA150254	PLAC8	placenta-specific8	4,q21.22	51316
788524	Hs.99291	AA452801	STXBP6	syntaxinbindingprotein6(amisyn)	14,q12	29091
271144	Hs.381167	N30414	SERPINB1	serine(orcysteine)proteinaseinhibitorcladeB(ovalbumin)	NA	1992
1685363	Hs.32973	AI003205	GLRB	glycinereceptorbeta	4,q32.1	2743
49354	Hs.409783	H15098	ANK2	ankyrin2neuronal	4	287
1070346	Hs.107382	AA780809	DHX37	DEAH(Asp-Glu-Ala-His)boxpolypeptide37	NA	57647
1983884	NA	AI251416	NA	NA	19,q13.2	NA
182627	Hs.370422	AI668627	VLDLR	verylowdensitylipoproteinreceptor	9,p24.2	7436
1049250	Hs.129794	AA620849	SPATA12	spermatogenesisassociated12	3,p14.3	353324
1651831	NA	AI022958	NA	NA	1,p22.3	NA
509980	Hs.356123	AA052978	KRT8	keratin8	12,q13.13	3856
52616	Hs.122708	H29301	LMTK2	lemurtyrosinekinase2	7,q21.3	22853
