rank according to univariate p value	p value	FoldChange (>1 in mt)	Probe set	Description	Gene symbol	Entrez Gene ID	Coeffic	Cytoband
291	0.0039	1.62	202688_at	tumor necrosis factor (ligand) superfamily, member 10 /// tumor necrosis factor (ligand) superfamily, member 10	TNFSF10	8743	1	3q26
22	0.0002	1.43	213109_at	TRAF2 and NCK interacting kinase	TNIK	23043	1	3q26.2-q26.31
613	0.01	1.49	213107_at	TRAF2 and NCK interacting kinase	TNIK	23043	1	3q26.2-q26.31
46	0.0004	1.67	211828_s_at	TRAF2 and NCK interacting kinase	TNIK	23043	1	3q26.2-q26.31
1475	0.03	1.62	214774_x_at	trinucleotide repeat containing 9	TNRC9	27324	1	16q12.1
1549	0.03	1.51	210372_s_at	tumor protein D52-like 1	TPD52L1	7164	1	6q22-q23
817	0.01	1.56	203786_s_at	tumor protein D52-like 1	TPD52L1	7164	1	6q22-q23
249	0.0033	1.47	204352_at	TNF receptor-associated factor 5	TRAF5	7188	1	1q32
968	0.02	-1.35	202342_s_at	tripartite motif-containing 2	TRIM2	23321	-1	4q31.3
251	0.0033	-1.37	210389_x_at	tubulin, delta 1	TUBD1	51174	-1	17q23.1
228	0.0030	-1.33	221326_s_at	tubulin, delta 1	TUBD1	51174	-1	17q23.1
41	0.0004	-1.39	216609_at	Thioredoxin	TXN	7295	-1	9q31
416	0.01	1.42	208997_s_at	uncoupling protein 2 (mitochondrial, proton carrier)	UCP2	7351	1	11q13
126	0.0015	1.55	208998_at	uncoupling protein 2 (mitochondrial, proton carrier)	UCP2	7351	1	11q13
454	0.01	-1.47	204042_at	WAS protein family, member 3	WASF3	10810	-1	13q12
662	0.01	-1.35	217975_at	WW domain binding protein 5	WBP5	51186	-1	Xq22.2
776	0.01	1.57	205990_s_at	wingless-type MMTV integration site family, member 5A	WNT5A	7474	1	3p21-p14
994	0.02	-1.41	219312_s_at	zinc finger and BTB domain containing 10	ZBTB10	65986	-1	8q13-q21.1
610	0.01	1.40	211965_at	zinc finger protein 36, C3H type-like 1	ZFP36L1	677	1	14q22-q24
403	0.01	1.34	201367_s_at	zinc finger protein 36, C3H type-like 2	ZFP36L2	678	1	2p22.3-p21
999	0.02	1.37	201369_s_at	zinc finger protein 36, C3H type-like 2	ZFP36L2	678	1	2p22.3-p21
23	0.0002	-1.37	202028_s_at			6169	-1	17q23-q25
