Probeset ID	RefSeq Transcript ID(GeneBank Accession)	Gene Symbol	Gene Title	Signal Log Ratio	control siRNA_signal	nm23-H1 siRNA_Signal
219066_at	NM_021823	PPCDC	phosphopantothenoylcysteine decarboxylase	-1.1	697.5	306.1
219238_at	NM_017837	PIGV	phosphatidylinositol glycan anchor biosynthesis, class V	-1.1	1207	610.3
219633_at	NM_001039199 /// NM_024331	C20orf121	chromosome 20 open reading frame 121	-1.1	1668.9	814.2
219843_at	NM_005897	IPP	intracisternal A particle-promoted polypeptide	-1.1	923.6	484.2
220668_s_at	NM_006892 /// NM_175848 /// NM_175849 /// NM_175850	DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta	-1.1	1878.6	915.7
221483_s_at	NM_006628	ARPP-19	cyclic AMP phosphoprotein, 19 kD	-1.1	5059.7	1937.7
221586_s_at	NM_001083588 /// NM_001083589 /// NM_001951	E2F5	E2F transcription factor 5, p130-binding	-1.1	1079.3	495.8
222605_at	NM_018254	RCOR3	REST corepressor 3	-1.1	1201.9	494.7
222632_s_at	NM_020347	LZTFL1	leucine zipper transcription factor-like 1	-1.1	796.9	401.3
222787_s_at	NM_018374	TMEM106B	transmembrane protein 106B	-1.1	5900.5	3057
223254_s_at	NM_017769	KIAA1333	KIAA1333	-1.1	1770.5	878.6
223257_at	NM_017769	KIAA1333	KIAA1333	-1.1	595.1	277.8
224653_at	NM_004096	EIF4EBP2	Eukaryotic translation initiation factor 4E binding protein 2	-1.1	1326	574.3
224939_at	---	---	CDNA FLJ10976 fis, clone PLACE1001399	-1.1	5036.3	2583
224998_at	NM_178818 /// NM_181521	CMTM4	CKLF-like MARVEL transmembrane domain containing 4	-1.1	603.6	304.3
225112_at	NM_005759 /// XM_001126750	ABI2	abl interactor 2	-1.1	4226.9	1748.6
225160_x_at	---	MGC5370	hypothetical protein MGC5370	-1.1	837.6	257.6
225269_s_at	NM_002897 /// NM_016836 /// NM_016839	RBMS1	RNA binding motif, single stranded interacting protein 1	-1.1	9739.9	4140.8
225355_at	---	DKFZP761M1511	hypothetical protein DKFZP761M1511	-1.1	740	273.5
225396_at	---	---	CDNA FLJ30297 fis, clone BRACE2003168	-1.1	2425.1	1130.5
225937_at	---	---	CDNA clone IMAGE:4816860	-1.1	798	341.3
226106_at	NM_016422	RNF141	ring finger protein 141	-1.1	906.1	478.7
226119_at	NM_052937	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	-1.1	1349.1	575.6
226309_at	NM_031427	DNAL1	dynein, axonemal, light chain 1	-1.1	967.4	513.1
227040_at	NM_001012754 /// NM_001017370		similar to RIKEN cDNA 8030451K01	-1.1	660.6	386.4
227046_at	NM_139177	SLC39A11	solute carrier family 39 (metal ion transporter), member 11	-1.1	799.4	448.3
227280_s_at	NM_152523	CCNYL1	Cyclin Y-like 1	-1.1	1983.7	922.5
227395_at	---	---	CDNA FLJ38498 fis, clone FELNG2000241	-1.1	1262.6	561.3
227934_at	---	---	Transcribed locus	-1.1	3476.3	1389.9
228106_at	NM_017741	C4orf30	chromosome 4 open reading frame 30	-1.1	1156.3	572.5
236400_at	---	---	---	-1.1	509.6	259.9
241727_x_at	NM_176815	DHFRL1	dihydrofolate reductase-like 1	-1.1	926.5	349.8
244881_at	NM_033029	LMLN	leishmanolysin-like (metallopeptidase M8 family)	-1.1	3337.1	1331.7
34764_at	NM_015340	LARS2	leucyl-tRNA synthetase 2, mitochondrial	-1.1	2319.2	1120.3
35820_at	NM_000405	GM2A	GM2 ganglioside activator	-1.1	964.7	382.2
200832_s_at	NM_005063	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	-1	6960.6	3562.6
200901_s_at	NM_002355	M6PR	mannose-6-phosphate receptor (cation dependent)	-1	8020.8	4233.2
201089_at	NM_001693	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	-1	3511.4	1642.4
201690_s_at	NM_001025252 /// NM_001025253 /// NM_005079	TPD52	tumor protein D52	-1	6881.1	4101.1
201777_s_at	NM_014774	KIAA0494	KIAA0494	-1	677.2	399.1
201778_s_at	NM_014774	KIAA0494	KIAA0494	-1	5010.1	2537.4
201869_s_at	NM_005647	TBL1X	transducin (beta)-like 1X-linked	-1	941.9	483.4
202031_s_at	NM_001033518 /// NM_001033519 /// NM_001033520 /// NM_015610 /// NM_016003	WIPI2	WD repeat domain, phosphoinositide interacting 2	-1	2062	953.5
202165_at	NM_006241	PPP1R2	protein phosphatase 1, regulatory (inhibitor) subunit 2	-1	1752.9	880.5
202371_at	NM_001006935 /// NM_001006936 /// NM_001006937 /// NM_024863	TCEAL4	transcription elongation factor A (SII)-like 4	-1	6608.8	3169.8
202382_s_at	NM_005471	GNPDA1	glucosamine-6-phosphate deaminase 1	-1	10966.9	5672.2
202417_at	NM_012289 /// NM_203500	KEAP1	kelch-like ECH-associated protein 1	-1	1535.6	733.7
202421_at	NM_001007237 /// NM_001542	IGSF3	immunoglobulin superfamily, member 3	-1	954	392.1
202538_s_at	NM_014043	CHMP2B	chromatin modifying protein 2B	-1	2096.7	907.8
202540_s_at	NM_000859	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	-1	4021.8	1833.8
202772_at	NM_000191	HMGCL	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	-1	1522.6	845.1
202925_s_at	NM_002657	PLAGL2	pleiomorphic adenoma gene-like 2	-1	1923.1	891.4
202959_at	NM_000255	MUT	methylmalonyl Coenzyme A mutase	-1	954	435.1
203327_at	NM_004969	IDE	insulin-degrading enzyme	-1	1380.6	676.1
204263_s_at	NM_000098	CPT2	carnitine palmitoyltransferase II	-1	1809	620.3
204565_at	NM_018473	THEM2	thioesterase superfamily member 2	-1	7079.8	3367.8
204731_at	NM_003243	TGFBR3	transforming growth factor, beta receptor III	-1	2132.3	1260.9
204980_at	NM_004898	CLOCK	clock homolog (mouse)	-1	1610.5	645.5
209093_s_at	NM_000157 /// NM_001005741 /// NM_001005742 /// NM_001005749 /// NM_001005750 /// NR_002188	GBA /// GBAP	glucosidase, beta; acid (includes glucosylceramidase) /// glucosidase, beta; acid, pseudogene	-1	501.4	313.1
209112_at	NM_004064	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	-1	2713	1401
209868_s_at	NM_002897 /// NM_016836 /// NM_016839	RBMS1	RNA binding motif, single stranded interacting protein 1	-1	5258.7	2623.4
209946_at	NM_005429	VEGFC	vascular endothelial growth factor C	-1	914.6	449.1
210529_s_at	NM_014719 /// XM_001127110 /// XM_935633 /// XM_936710	KIAA0738 /// LOC653199	KIAA0738 gene product /// hypothetical LOC653199	-1	785.7	471.1
212061_at	NM_001080415 /// XM_031553 /// XM_940802	SR140	U2-associated SR140 protein	-1	4046.7	1960.1
212216_at	NM_001042385 /// NM_001042386 /// NM_006036	PREPL	prolyl endopeptidase-like	-1	1284.7	587
212733_at	NM_014687 /// XM_032901 /// XM_936700	KIAA0226	KIAA0226	-1	1645	806.7
212747_at	NM_015245	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A	-1	1226.5	782.7
213016_at	---	---	ARTC1 mRNA, complete sequence	-1	8513.3	4302.9
213089_at	NM_207331 /// NR_003656 /// XM_001125975	GUSBP1	glucuronidase, beta pseudogene 1	-1	1370.6	657.4
213123_at	NM_005927	MFAP3	Microfibrillar-associated protein 3	-1	1555.3	825.3
213127_s_at	NM_001001651 /// NM_001001653 /// NM_001001654 /// NM_052877 /// NM_201542	MED8	mediator of RNA polymerase II transcription, subunit 8 homolog (S. cerevisiae)	-1	1418	673
214501_s_at	NM_001040158 /// NM_004893 /// NM_138609 /// NM_138610	H2AFY	H2A histone family, member Y	-1	3307.1	1844.6
214739_at	NM_032773 /// XM_001127761	LRCH3	leucine-rich repeats and calponin homology (CH) domain containing 3	-1	902.7	443.8
214743_at	NM_001913 /// NM_181500 /// NM_181552	CUTL1	cut-like 1, CCAAT displacement protein (Drosophila)	-1	2747.6	1314.6
214927_at	NM_004791	ITGBL1	Integrin, beta-like 1 (with EGF-like repeat domains)	-1	605.6	437
216215_s_at	NM_001031695 /// NM_001082576 /// NM_001082577 /// NM_001082578 /// NM_001082579 /// NM_014309	RBM9	RNA binding motif protein 9	-1	2866.3	1031.8
216321_s_at	NM_000176 /// NM_001018074 /// NM_001018075 /// NM_001018076 /// NM_001018077 /// NM_001020825 /// NM_001024094	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	-1	2164.9	934
217735_s_at	NM_014413	EIF2AK1	eukaryotic translation initiation factor 2-alpha kinase 1	-1	706.5	323.5
217759_at	NM_017583	TRIM44	tripartite motif-containing 44	-1	3348.9	1878.6
217851_s_at	NM_016045	SLMO2	slowmo homolog 2 (Drosophila)	-1	1681.2	994.1
218332_at	NM_018476	BEX1	brain expressed, X-linked 1	-1	2401.1	1443.2
218577_at	NM_017768	LRRC40	leucine rich repeat containing 40	-1	4814.9	2354.3
218637_at	NM_018439	IMPACT	Impact homolog (mouse)	-1	662.8	345.4
219242_at	NM_001042383 /// NM_001042384 /// NM_001042400 /// NM_025180	CEP63	centrosomal protein 63kDa	-1	1451.1	595.1
219405_at	NM_018073	TRIM68	tripartite motif-containing 68	-1	583.5	277.6
219547_at	NM_004376 /// NM_078470	COX15	COX15 homolog, cytochrome c oxidase assembly protein (yeast)	-1	1013.7	432.1
219680_at	NM_024618 /// NM_170722	NLRX1	NLR family member X1	-1	735.4	361.4
220261_s_at	NM_018106	ZDHHC4	zinc finger, DHHC-type containing 4	-1	2377.6	1233.6
222682_s_at	NM_018691	C5orf3	chromosome 5 open reading frame 3	-1	1545.5	770.2
223000_s_at	NM_016946 /// NM_144502 /// NM_144503 /// NM_144504	F11R	F11 receptor	-1	1391.5	710.7
223006_s_at	NM_001099734 /// NM_032012	C9orf5	chromosome 9 open reading frame 5	-1	4886.9	2532.9
223135_s_at	NM_020235	BBX	bobby sox homolog (Drosophila)	-1	3739.3	1810.2
224045_x_at	NM_031416	C18orf2	chromosome 18 open reading frame 2	-1	656.9	251.8
224318_s_at	NM_017991	FLJ10081	hypothetical protein FLJ10081	-1	2742.8	1343.6
224444_s_at	NM_032705	C1orf97	chromosome 1 open reading frame 97	-1	618.2	306.4
224458_at	NM_032342	C9orf125	chromosome 9 open reading frame 125	-1	627.8	288.1
224728_at	NM_001042546 /// NM_022745	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	-1	1404.3	612.1
224900_at	NM_016376 /// NM_020740	ANKFY1	ankyrin repeat and FYVE domain containing 1	-1	3024.3	1834.2
225318_at	---	---	CDNA: FLJ22049 fis, clone HEP09444	-1	1264.1	949.2
225666_at	NM_001079669 /// NM_032813	TMTC4	transmembrane and tetratricopeptide repeat containing 4	-1	657.9	334.3
225677_at	NM_001008405 /// NM_001008406 /// NM_001008407 /// NM_018844	BCAP29	B-cell receptor-associated protein 29	-1	3711.5	2143.4
225806_at	NM_032876 /// NM_198086	JUB	jub, ajuba homolog (Xenopus laevis)	-1	3004.4	1451.7
225825_at	NM_001009984 /// XM_045421 /// XM_944675 /// XM_944678 /// XM_944681 /// XM_944684	C20orf194	chromosome 20 open reading frame 194	-1	828	397.2
225856_at	---	---	CDNA clone IMAGE:5267398	-1	1297.5	666
226003_at	NM_017641	KIF21A	kinesin family member 21A	-1	1504.3	783.3
226076_s_at	NM_052897	MBD6	methyl-CpG binding domain protein 6	-1	534.5	290.2
226195_at	NM_052873	C14orf179	chromosome 14 open reading frame 179	-1	1056.1	634.4
226575_at	NM_021224	ZNF462	zinc finger protein 462	-1	573.8	275.7
226625_at	---	---	---	-1	1922.5	934.8
226816_s_at	NM_020696	KIAA1143	KIAA1143	-1	5020	2704.3
226965_at	NM_152678 /// XM_001132771	FAM116A	family with sequence similarity 116, member A	-1	3759.6	1906.1
227074_at	---	---	MRNA; cDNA DKFZp667D2123 (from clone DKFZp667D2123)	-1	1498.6	781.7
227234_at	---	---	CDNA FLJ32177 fis, clone PLACE6001294	-1	574.6	359.5
227247_at	---	---	MRNA; cDNA DKFZp313M1034 (from clone DKFZp313M1034)	-1	1900	933.1
227815_at	---	---	Transcribed locus	-1	1351.4	624.5
228442_at	---	---	Transcribed locus	-1	519.7	390.9
228993_s_at	---	LOC92482	hypothetical protein LOC92482	-1	833	582.6
229694_at	NM_018117	BRWD2	bromodomain and WD repeat domain containing 2	-1	625.8	334
229715_at	---	---	CDNA FLJ41663 fis, clone FEBRA2027297	-1	683	292
231618_s_at	NM_001030019 /// NM_152782	SUNC1	Sad1 and UNC84 domain containing 1	-1	1398.8	752.4
232008_s_at	NM_020235	BBX	bobby sox homolog (Drosophila)	-1	4210.8	2150.2
232130_at	---	---	CDNA FLJ13050 fis, clone NT2RP3001432	-1	692.6	360.7
236302_at	NM_014906	PPM1E	protein phosphatase 1E (PP2C domain containing)	-1	780.8	324
236655_at	NM_001025252 /// NM_001025253 /// NM_005079	TPD52	tumor protein D52	-1	684.2	392.5
238662_at	NM_080650	ATPBD4	ATP binding domain 4	-1	862.5	413.4
241968_at	---	---	Transcribed locus	-1	458.8	254.8
34858_at	NM_015353 /// XM_940854	KCTD2	potassium channel tetramerisation domain containing 2	-1	1387.3	557.2
45714_at	NM_001002017 /// NM_001002018 /// NM_017885	HCFC1R1	host cell factor C1 regulator 1 (XPO1 dependent)	-1	1386.3	646.5
64418_at	---	---	CDNA FLJ34482 fis, clone HLUNG2004067	-1	1756.3	707.5
64883_at	NM_152581	MOSPD2	motile sperm domain containing 2	-1	578.3	397.5
