probeset	GeneSymbol	Gene Title	UniGene ID	Entrez Gene	cluster group
218532_s_at	FLJ20152	hypothetical protein FLJ20152	Hs.481704	54463	c
218625_at	NRN1	neuritin 1	Hs.103291	51299	c
219271_at	GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)	Hs.468058	79623	c
219304_s_at	PDGFD	platelet derived growth factor D	Hs.352298	80310	c
219355_at	FLJ10178	hypothetical protein FLJ10178	Hs.274267	55086	c
219700_at	PLXDC1	plexin domain containing 1	Hs.125036	57125	c
220230_s_at	CYB5R2	cytochrome b5 reductase 2	Hs.414362	51700	c
220051_at	PRSS21	protease, serine, 21 (testisin)	Hs.72026	10942	c
220068_at	VPREB3	pre-B lymphocyte gene 3	Hs.136713	29802	c
220565_at	CCR10	chemokine (C-C motif) receptor 10	Hs.278446	2826	c
220952_s_at	PLEKHA5	pleckstrin homology domain containing, family A member 5	Hs.188614	54477	c
221239_s_at	FCRL2	Fc receptor-like 2 /// Fc receptor-like 2	Hs.437393	79368	c
221271_at	IL21	interleukin 21	Hs.439487	59067	c
221690_s_at	NALP2	NACHT, leucine rich repeat and PYD containing 2	Hs.369279	55655	c
221796_at	NTRK2	neurotrophic tyrosine kinase, receptor, type 2	Hs.494312	4915	c
222915_s_at	BANK1	B-cell scaffold protein with ankyrin repeats 1	Hs.480400	55024	c
223645_s_at	CYorf15B	chromosome Y open reading frame 15B	Hs.145010	84663	c
223646_s_at	CYorf15B	chromosome Y open reading frame 15B	Hs.145010	84663	c
223805_at	OSBPL6	oxysterol binding protein-like 6	Hs.318775	114880	c
224406_s_at	FCRL5	Fc receptor-like 5 /// Fc receptor-like 5	Hs.415950	83416	c
224367_at	BEX2	brain expressed X-linked 2 /// brain expressed X-linked 2	Hs.398989	84707	c
224952_at	DKFZP564D166	putative ankyrin-repeat containing protein	Hs.410889	26115	c
227439_at	EB1	E2a-Pbx1-associated protein	Hs.506458	56899	c
226433_at	RNF157	ring finger protein 157	Hs.500643	114804	c
226610_at	PRR6	proline rich 6	Hs.433422	201161	c
226611_s_at	PRR6	proline rich 6	Hs.433422	201161	c
227034_at	C2orf26	chromosome 2 open reading frame 26	Hs.355455	65124	c
227177_at	CORO2A	Coronin, actin binding protein, 2A	Hs.113094	7464	c
227462_at	LRAP	Leukocyte-derived arginine aminopeptidase	Hs.482910	64167	c
227711_at	FLJ32942	hypothetical protein FLJ32942	Hs.562429	121355	c
227966_s_at	LOC90557;DKFZp434E2321	hypothetical protein BC016861 /// hypothetical protein DKFZp434E2321	Hs.351461	90557 /// 91409	c
228067_at	MGC42367	similar to 2010300C02Rik protein	Hs.469398	343990	c
228033_at	E2F7	E2F transcription factor 7	Hs.416375	144455	c
228266_s_at	HDGFRP3	hepatoma-derived growth factor, related protein 3	Hs.513954	50810	c
228492_at	USP9Y	ubiquitin specific peptidase 9, Y-linked (fat facets-like, Drosophila)	Hs.165856	8287	c
228599_at	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	Hs.438040	931	c
228654_at	LOC139886	hypothetical protein LOC139886	Hs.111496	139886	c
228854_at		Transcribed locus	Hs.536218	---	c
229513_at	STRBP	Spermatid perinuclear RNA binding protein	Hs.287659	55342	c
229603_at	FLJ35630	hypothetical protein FLJ35630	Hs.400698	166379	c
230137_at	FLJ30834	hypothetical protein FLJ30834	Hs.27524	132332	c
230877_at	IGHD	immunoglobulin heavy constant delta	Hs.558340	3495	c
230896_at	CCDC4	coiled-coil domain containing 4	Hs.120591	389206	c
230983_at	BCNP1	B-cell novel protein 1	Hs.434133	199786	c
231418_at	MS4A1	Membrane-spanning 4-domains, subfamily A, member 1	Hs.438040	931	c
231484_at	ATP8A1	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1	Hs.435052	10396	c
235201_at		---	---	---	c
235400_at	FCRLM1	Fc receptor-like and mucin-like 1	Hs.266331	84824	c
238021_s_at	LOC388279	hypothetical gene supported by AF275804	Hs.237396	388279	c
238022_at		Hypothetical gene supported by AF275804	Hs.237396	388279	c
238365_s_at	MGC33556	hypothetical LOC339541	Hs.173679	339541	c
239975_at	HLADPB2	major histocompatibility complex, class II, DP beta 2 (pseudogene)	Hs.199142	3116	c
242520_s_at	MGC33556	hypothetical LOC339541	Hs.173679	339541	c
39318_at	TCL1A	T-cell leukemia/lymphoma 1A	Hs.2484	8115	c
1555778_a_at	POSTN	periostin, osteoblast specific factor	Hs.136348	10631	d
201525_at	APOD	apolipoprotein D	Hs.522555	347	d
201843_s_at	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	Hs.76224	2202	d
202311_s_at	COL1A1	collagen, type I, alpha 1	Hs.172928	1277	d
202409_at	LOC492304	putative insulin-like growth factor II associated protein	Hs.556244	492304	d
202620_s_at	PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	Hs.477866	5352	d
202995_s_at	FBLN1	fibulin 1	Hs.24601	2192	d
203180_at	ALDH1A3	aldehyde dehydrogenase 1 family, member A3	Hs.459538	220	d
203305_at	F13A1	coagulation factor XIII, A1 polypeptide	Hs.335513	2162	d
203435_s_at	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	Hs.307734	4311	d
203548_s_at	LPL	lipoprotein lipase	Hs.180878	4023	d
203549_s_at	LPL	lipoprotein lipase	Hs.180878	4023	d
203649_s_at	PLA2G2A	phospholipase A2, group IIA (platelets, synovial fluid)	Hs.466804	5320	d
203980_at	FABP4	fatty acid binding protein 4, adipocyte	Hs.391561	2167	d
204051_s_at	SFRP4	secreted frizzled-related protein 4	Hs.105700	6424	d
204955_at	SRPX	sushi-repeat-containing protein, X-linked	Hs.15154	8406	d
205542_at	STEAP1	six transmembrane epithelial antigen of the prostate 1	Hs.61635	26872	d
205713_s_at	COMP	cartilage oligomeric matrix protein	Hs.1584	1311	d
205863_at	S100A12	S100 calcium binding protein A12 (calgranulin C) /// S100 calcium binding protein A12 (calgranulin C)	Hs.19413	6283	d
205913_at	PLIN	perilipin	Hs.103253	5346	d
206227_at	CILP	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	Hs.442180	8483	d
206407_s_at	CCL13	chemokine (C-C motif) ligand 13	Hs.414629	6357	d
206488_s_at	CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)	Hs.120949	948	d
207277_at	CD209	CD209 antigen	Hs.278694	30835	d
208131_s_at	PTGIS	prostaglandin I2 (prostacyclin) synthase /// prostaglandin I2 (prostacyclin) synthase	Hs.302085	5740	d
209101_at	CTGF	connective tissue growth factor	Hs.410037	1490	d
209160_at	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	Hs.78183	8644	d
209335_at	DCN	decorin	Hs.156316	1634	d
209541_at	IGF1	insulin-like growth factor 1 (somatomedin C)	Hs.160562	3479	d
209555_s_at	CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)	Hs.120949	948	d
209612_s_at	ADH1B	alcohol dehydrogenase IB (class I), beta polypeptide	Hs.4	125	d
209613_s_at	ADH1B	alcohol dehydrogenase IB (class I), beta polypeptide	Hs.4	125	d
209728_at	HLADRB4	major histocompatibility complex, class II, DR beta 4 /// major histocompatibility complex, class II, DR beta 4	Hs.534321	3126	d
209758_s_at	MFAP5	microfibrillar associated protein 5	Hs.512842	8076	d
210809_s_at	POSTN	periostin, osteoblast specific factor	Hs.136348	10631	d
211896_s_at	DCN	decorin	Hs.156316	1634	d
212977_at	CMKOR1	chemokine orphan receptor 1	Hs.471751	57007	d
213068_at	DPT	dermatopontin	Hs.80552	1805	d
213909_at	LRRC15	leucine rich repeat containing 15	Hs.288467	131578	d
214370_at	S100A8	S100 calcium binding protein A8 (calgranulin A)	Hs.416073	6279	d
219059_s_at	XLKD1	extracellular link domain containing 1	Hs.246769	10894	d
219087_at	ASPN	asporin (LRR class 1)	Hs.435655	54829	d
220037_s_at	XLKD1	extracellular link domain containing 1	Hs.246769	10894	d
221841_s_at	KLF4	Kruppel-like factor 4 (gut)	Hs.376206	9314	d
221898_at	PDPN	podoplanin	Hs.468675	10630	d
223121_s_at	SFRP2	secreted frizzled-related protein 2	Hs.481022	6423	d
223122_s_at	SFRP2	secreted frizzled-related protein 2	Hs.481022	6423	d
225987_at	STEAP4	STEAP family member 4	Hs.521008	79689	d
226777_at	ADAM12	ADAM metallopeptidase domain 12 (meltrin alpha)	Hs.386283	8038	d
227061_at		CDNA FLJ44429 fis, clone UTERU2015653	Hs.86538	---	d
228766_at	CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)	Hs.120949	948	d
229839_at	MGC45780	Scavenger receptor class A, member 5 (putative)	Hs.146246	286133	d
235849_at	SCARA5	scavenger receptor class A, member 5 (putative)	Hs.146246	286133	d
1553706_at		---	---	---	e
1554508_at	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	Hs.310456	118788	e
1554624_a_at	SIRPB1	signal-regulatory protein beta 1	Hs.134565	10326	e
1555600_s_at	APOL4	apolipoprotein L, 4	Hs.115099	80832	e
1558034_s_at	CP	ceruloplasmin (ferroxidase)	Hs.554736	1356	e
201242_s_at	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	Hs.291196	481	e
202686_s_at	AXL	AXL receptor tyrosine kinase	Hs.466791	558	e
203153_at	IFIT1	interferon-induced protein with tetratricopeptide repeats 1 /// interferon-induced protein with tetratricopeptide repeats 1	Hs.20315	3434	e
203184_at	FBN2	fibrillin 2 (congenital contractural arachnodactyly)	Hs.519294	2201	e
203645_s_at	CD163	CD163 antigen	Hs.504641	9332	e
204006_s_at	FCGR3A;FCGR3B	Fc fragment of IgG, low affinity IIIa, receptor (CD16a) /// Fc fragment of IgG, low affinity IIIb, receptor (CD16b)	Hs.372679	2214 /// 2215	e
204059_s_at	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	Hs.21160	4199	e
204439_at	IFI44L	interferon-induced protein 44-like	Hs.389724	10964	e
204787_at	VSIG4	V-set and immunoglobulin domain containing 4	Hs.8904	11326	e
205067_at	IL1B	interleukin 1, beta	Hs.126256	3553	e
205568_at	AQP9	aquaporin 9	Hs.104624	366	e
206025_s_at	TNFAIP6	tumor necrosis factor, alpha-induced protein 6	Hs.437322	7130	e
206680_at	CD5L	CD5 antigen-like (scavenger receptor cysteine rich family)	Hs.134035	922	e
206765_at	KCNJ2	potassium inwardly-rectifying channel, subfamily J, member 2	Hs.1547	3759	e
207111_at	EMR1	egf-like module containing, mucin-like, hormone receptor-like 1	Hs.2375	2015	e
207500_at	CASP5	caspase 5, apoptosis-related cysteine peptidase	Hs.213327	838	e
209617_s_at	CTNND2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	Hs.314543	1501	e
209763_at	CHRDL1	chordin-like 1	Hs.496587	91851	e
210163_at	CXCL11	chemokine (C-X-C motif) ligand 11	Hs.518814	6373	e
210773_s_at	FPRL1	formyl peptide receptor-like 1 /// formyl peptide receptor-like 1	Hs.99855	2358	e
211122_s_at	CXCL11	chemokine (C-X-C motif) ligand 11	Hs.518814	6373	e
212657_s_at	IL1RN	interleukin 1 receptor antagonist	Hs.81134	3557	e
212681_at	EPB41L3	erythrocyte membrane protein band 4.1-like 3	Hs.213394	23136	e
213797_at	RSAD2	radical S-adenosyl methionine domain containing 2	Hs.17518	91543	e
213817_at		MRNA; cDNA DKFZp586B0220 (from clone DKFZp586B0220)	Hs.407903	---	e
214038_at	CCL8	chemokine (C-C motif) ligand 8	Hs.271387	6355	e
215646_s_at	CSPG2	chondroitin sulfate proteoglycan 2 (versican) /// chondroitin sulfate proteoglycan 2 (versican)	Hs.443681	1462	e
215891_s_at	GM2A	GM2 ganglioside activator	Hs.483873	2760	e
216243_s_at	IL1RN	interleukin 1 receptor antagonist	Hs.81134	3557	e
216504_s_at	SLC39A8	Solute carrier family 39 (zinc transporter), member 8	Hs.288034	64116	e
216950_s_at	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)	Hs.77424	2209	e
217502_at	IFIT2	interferon-induced protein with tetratricopeptide repeats 2	Hs.437609	3433	e
217546_at	MT1M	metallothionein 1M	Hs.188518	4499	e
218468_s_at	GREM1	gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	Hs.40098	26585	e
218469_at	GREM1	gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	Hs.40098	26585	e
219181_at	LIPG	lipase, endothelial	Hs.465102	9388	e
219519_s_at	SN	Sialoadhesin /// Sialoadhesin	Hs.31869	6614	e
219788_at	PILRA	paired immunoglobin-like type 2 receptor alpha	Hs.444407	29992	e
220122_at	MCTP1	multiple C2-domains with two transmembrane regions 1	Hs.127412	79772	e
220832_at	TLR8	toll-like receptor 8	Hs.272410	51311	e
221241_s_at	BCL2L14	BCL2-like 14 (apoptosis facilitator) /// BCL2-like 14 (apoptosis facilitator)	Hs.558539	79370	e
223343_at	MS4A7	membrane-spanning 4-domains, subfamily A, member 7	Hs.530735	58475	e
223344_s_at	MS4A7	membrane-spanning 4-domains, subfamily A, member 7	Hs.530735	58475	e
223767_at	GPR84	G protein-coupled receptor 84	Hs.306199	53831	e
223939_at	SUCNR1	succinate receptor 1	Hs.279575	56670	e
224358_s_at	MS4A7	membrane-spanning 4-domains, subfamily A, member 7 /// membrane-spanning 4-domains, subfamily A, member 7	Hs.530735	58475	e
227055_at	MGC17301	hypothetical protein MGC17301	Hs.51483	196410	e
229242_at		Transcribed locus	Hs.23349	---	e
229584_at	LRRK2	leucine-rich repeat kinase 2	Hs.187636	120892	e
229915_at	LOC441168	hypothetical protein LOC441168	Hs.381220	441168	e
230360_at	GLDN	gliomedin	Hs.526441	342035	e
230645_at	FRMD3	FERM domain containing 3	Hs.127535	257019	e
231578_at	GBP1;LOC400759	guanylate binding protein 1, interferon-inducible, 67kDa /// similar to Interferon-induced guanylate-binding protein 1 (GTP-binding protein 1) (Guanine nucleotide-binding protein 1) (HuGBP-1)	Hs.62661	2633 /// 400759	e
235385_at	MARCHI	Membrane-associated ring finger (C3HC4) 1	Hs.136900	55016	e
235549_at	IBRDC2	IBR domain containing 2	Hs.148741	255488	e
235574_at	GBP4	guanylate binding protein 4	Hs.409925	115361	e
236901_at	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif, 2	Hs.120330	9509	e
238439_at	ANKRD22	ankyrin repeat domain 22	Hs.217484	118932	e
239012_at	IBRDC2	IBR domain containing 2	Hs.148741	255488	e
239196_at	ANKRD22	ankyrin repeat domain 22	Hs.217484	118932	e
240287_at	LOC341720	similar to immune-responsive gene 1	Hs.160789	341720	e
242625_at	RSAD2	radical S-adenosyl methionine domain containing 2	Hs.17518	91543	e
39402_at	IL1B	interleukin 1, beta	Hs.126256	3553	e
1552507_at	KCNE4	potassium voltage-gated channel, Isk-related family, member 4	Hs.348522	23704	f
1555594_a_at	MBNL1	muscleblind-like (Drosophila)	Hs.478000	4154	f
1552378_s_at	RDH10	retinol dehydrogenase 10 (all-trans)	Hs.244940	157506	f
1553177_at	SH2D1B	SH2 domain containing 1B	Hs.350581	117157	f
1554018_at	GPNMB	glycoprotein (transmembrane) nmb	Hs.190495	10457	f
1555120_at	CD96	CD96 antigen	Hs.142023	10225	f
1555214_a_at	CLEC7A	C-type lectin domain family 7, member A	Hs.143929	64581	f
1555416_a_at	ALOX15B	arachidonate 15-lipoxygenase, second type	Hs.111256	247	f
1555639_a_at	RBM14	RNA binding motif protein 14	Hs.11170	10432	f
1555830_s_at	FAM62B	family with sequence similarity 62 (C2 domain containing) member B	Hs.490795	57488	f
1555745_a_at	LYZ	lysozyme (renal amyloidosis)	Hs.524579	4069	f
1555756_a_at	CLEC7A	C-type lectin domain family 7, member A	Hs.143929	64581	f
1555765_a_at	GNG4	guanine nucleotide binding protein (G protein), gamma 4	Hs.159711	2786	f
1555989_at	DAAM1	Dishevelled associated activator of morphogenesis 1	Hs.19156	23002	f
1556472_s_at	SCML4	sex comb on midleg-like 4 (Drosophila)	Hs.486109	256380	f
1557227_s_at	TPR	translocated promoter region (to activated MET oncogene)	Hs.279640	7175	f
1558214_s_at	CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa	Hs.445981	1495	f
1559883_s_at	SAMHD1	SAM domain and HD domain 1	Hs.472630	25939	f
1560762_at	LOC285972	hypothetical protein LOC285972	Hs.268647	285972	f
1569225_a_at	SCML4	sex comb on midleg-like 4 (Drosophila)	Hs.486109	256380	f
201942_s_at	CPD	carboxypeptidase D	Hs.446079	1362	f
202016_at	MEST	mesoderm specific transcript homolog (mouse)	Hs.270978	4232	f
202971_s_at	DYRK2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	Hs.173135	8445	f
202444_s_at	SPFH1	SPFH domain family, member 1	Hs.150087	10613	f
203290_at	HLADQA1	major histocompatibility complex, class II, DQ alpha 1 /// major histocompatibility complex, class II, DQ alpha 1	Hs.387679	3117	f
203413_at	NELL2	NEL-like 2 (chicken) /// NEL-like 2 (chicken)	Hs.505326	4753	f
203619_s_at	FAIM2	Fas apoptotic inhibitory molecule 2	Hs.182859	23017	f
203716_s_at	DPP4	dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)	Hs.368912	1803	f
203717_at	DPP4	dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)	Hs.368912	1803	f
203948_s_at	MPO	myeloperoxidase	Hs.458272	4353	f
203949_at	MPO	myeloperoxidase	Hs.458272	4353	f
204337_at	RGS4	regulator of G-protein signalling 4	Hs.386726	5999	f
204475_at	MMP1	matrix metallopeptidase 1 (interstitial collagenase)	Hs.83169	4312	f
203815_at	GSTT1	glutathione S-transferase theta 1	Hs.558335	2952	f
204580_at	MMP12	matrix metallopeptidase 12 (macrophage elastase)	Hs.1695	4321	f
204678_s_at	KCNK1	potassium channel, subfamily K, member 1	Hs.208544	3775	f
204679_at	KCNK1	potassium channel, subfamily K, member 1	Hs.208544	3775	f
204864_s_at	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	Hs.532082	3572	f
204933_s_at	TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	Hs.81791	4982	f
205033_s_at	DEFA1;DEFA3	defensin, alpha 1 /// defensin, alpha 3, neutrophil-specific	Hs.294176	1667 /// 1668	f
205040_at	ORM1	orosomucoid 1	Hs.522356	5004	f
205220_at	GPR109B	G protein-coupled receptor 109B /// G protein-coupled receptor 109B	Hs.458425	8843	f
205174_s_at	QPCT	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	Hs.79033	25797	f
205184_at	GNG4	guanine nucleotide binding protein (G protein), gamma 4	Hs.159711	2786	f
205342_s_at	SULT1C1	sulfotransferase family, cytosolic, 1C, member 1	Hs.436123	6819	f
205403_at	IL1R2	interleukin 1 receptor, type II	Hs.25333	7850	f
205632_s_at	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase, type I, beta	Hs.534371	8395	f
205729_at	OSMR	oncostatin M receptor	Hs.120658	9180	f
205934_at	PLCL1	phospholipase C-like 1	Hs.153322	5334	f
205844_at	VNN1	vanin 1 /// vanin 1	Hs.12114	8876	f
207072_at	IL18RAP	interleukin 18 receptor accessory protein	Hs.158315	8807	f
206207_at	CLC	Charcot-Leyden crystal protein /// Charcot-Leyden crystal protein	Hs.889	1178	f
206424_at	CYP26A1	cytochrome P450, family 26, subfamily A, polypeptide 1	Hs.150595	1592	f
206618_at	IL18R1	interleukin 18 receptor 1	Hs.469521	8809	f
206714_at	ALOX15B	arachidonate 15-lipoxygenase, second type	Hs.111256	247	f
206726_at	PGDS	prostaglandin D2 synthase, hematopoietic	Hs.128433	27306	f
206749_at	CD1B	CD1b antigen /// CD1b antigen	Hs.1310	910	f
206785_s_at	KLRC1;KLRC2	killer cell lectin-like receptor subfamily C, member 1 /// killer cell lectin-like receptor subfamily C, member 2	Hs.512576	3821 /// 3822	f
206828_at	TXK	TXK tyrosine kinase	Hs.479669	7294	f
206917_at	GNA13	guanine nucleotide binding protein (G protein), alpha 13	Hs.515018	10672	f
206978_at	CCR2	chemokine (C-C motif) receptor 2 /// chemokine (C-C motif) receptor 2	Hs.511794	1231	f
206999_at	IL12RB2	interleukin 12 receptor, beta 2	Hs.479347	3595	f
207315_at	CD226	CD226 antigen	Hs.369661	10666	f
207794_at	CCR2	chemokine (C-C motif) receptor 2 /// chemokine (C-C motif) receptor 2	Hs.511794	1231	f
207795_s_at	KLRD1	killer cell lectin-like receptor subfamily D, member 1	Hs.524251	3824	f
208168_s_at	CHIT1	chitinase 1 (chitotriosidase)	Hs.201688	1118	f
209480_at	HLADQB1	Major histocompatibility complex, class II, DQ beta 1 /// Major histocompatibility complex, class II, DQ beta 1	Hs.409934	3119	f
209257_s_at	CSPG6	chondroitin sulfate proteoglycan 6 (bamacan)	Hs.24485	9126	f
209291_at	ID4	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	Hs.519601	3400	f
209301_at	CA2	carbonic anhydrase II	Hs.155097	760	f
209616_s_at	CES1	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	Hs.535486	1066	f
209686_at	S100B	S100 calcium binding protein, beta (neural)	Hs.422181	6285	f
209875_s_at	SPP1	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	Hs.313	6696	f
209993_at	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	Hs.489033	5243	f
210948_s_at	LEF1	lymphoid enhancer-binding factor 1	Hs.555947	51176	f
211192_s_at	CD84	CD84 antigen (leukocyte antigen)	Hs.398093	8832	f
211372_s_at	IL1R2	interleukin 1 receptor, type II	Hs.25333	7850	f
211470_s_at	SULT1C1	sulfotransferase family, cytosolic, 1C, member 1	Hs.436123	6819	f
211478_s_at	DPP4	dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)	Hs.368912	1803	f
211708_s_at	SCD	stearoyl-CoA desaturase (delta-9-desaturase) /// stearoyl-CoA desaturase (delta-9-desaturase)	Hs.558396	6319	f
211726_s_at	FMO2	flavin containing monooxygenase 2 /// flavin containing monooxygenase 2	Hs.144912	2327	f
212105_s_at	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	Hs.191518	1660	f
213385_at	CHN2	Chimerin (chimaerin) 2	Hs.203663	1124	f
214007_s_at	PTK9	PTK9 protein tyrosine kinase 9	Hs.189075	5756	f
213830_at	TRD@	T cell receptor delta locus	Hs.558481	6964	f
213831_at	HLADQA1	major histocompatibility complex, class II, DQ alpha 1	Hs.555872	3117	f
213849_s_at	PPP2R2B	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform	Hs.193825	5521	f
214218_s_at	XIST	X (inactive)-specific transcript	Hs.529901	7503	f
214336_s_at	COPA	coatomer protein complex, subunit alpha	---	1314	f
214470_at	KLRB1	killer cell lectin-like receptor subfamily B, member 1 /// killer cell lectin-like receptor subfamily B, member 1	Hs.169824	3820	f
214560_at	FPRL2	formyl peptide receptor-like 2	Hs.445466	2359	f
214567_s_at	XCL1;XCL2	chemokine (C motif) ligand 1 /// chemokine (C motif) ligand 2	Hs.546295	6375 /// 6846	f
216191_s_at	TRA@;TRD@	T cell receptor alpha locus /// T cell receptor delta locus	Hs.508880	6955 /// 6964	f
215784_at	CD1E	CD1E antigen, e polypeptide	Hs.249217	913	f
216133_at		T cell receptor V alpha gene segment V-alpha-w23, clone IGRa01	Hs.495041	---	f
217143_s_at	TRA@;TRD@	T cell receptor alpha locus /// T cell receptor delta locus	Hs.508880	6955 /// 6964	f
216901_s_at	ZNFN1A1	zinc finger protein, subfamily 1A, 1 (Ikaros)	Hs.435949	10320	f
216915_s_at	PTPN12	protein tyrosine phosphatase, non-receptor type 12	Hs.61812	5782	f
217394_at	TRA@	T cell receptor alpha locus	Hs.508883	6955	f
217412_at		Rearranged T-cell receptor alpha chain mRNA, variable region	Hs.494972	---	f
217504_at	ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6	Hs.195395	23460	f
219525_at	FLJ10847	hypothetical protein FLJ10847	Hs.232054	55244	f
219225_at	PGBD5	piggyBac transposable element derived 5	Hs.520463	79605	f
219454_at	EGFL6	EGF-like-domain, multiple 6	Hs.12844	25975	f
219697_at	HS3ST2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2	Hs.115830	9956	f
219927_at	C14orf111	chromosome 14 open reading frame 111	Hs.343173	51077	f
220049_s_at	PDCD1LG2	programmed cell death 1 ligand 2	Hs.532279	80380	f
220112_at	FLJ11795	FLJ11795 protein	Hs.436214	79722	f
221220_s_at	SCYL2	SCY1-like 2 (S. cerevisiae)	Hs.506481	55681	f
221463_at	CCL24	chemokine (C-C motif) ligand 24	Hs.247838	6369	f
221618_s_at	TAF9L	TAF9-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa	Hs.546635	51616	f
221911_at	ETV1	ets variant gene 1	Hs.22634	2115	f
221960_s_at	RAB2	RAB2, member RAS oncogene family	Hs.369017	5862	f
222027_at	NUCKS	Nuclear casein kinase and cyclin-dependent kinase substrate 1	Hs.213061	64710	f
223836_at	KSP37	Ksp37 protein	Hs.98785	83888	f
223484_at	NMES1	normal mucosa of esophagus specific 1	Hs.112242	84419	f
223661_at		---	---	---	f
224102_at	P2RY12	purinergic receptor P2Y, G-protein coupled, 12	Hs.558534	64805	f
224148_at		---	---	---	f
224285_at	GPR174	G protein-coupled receptor 174	Hs.326713	84636	f
224588_at	XIST	X (inactive)-specific transcript	Hs.529901	7503	f
224589_at	XIST	X (inactive)-specific transcript	Hs.529901	7503	f
224590_at	XIST	X (inactive)-specific transcript	Hs.529901	7503	f
225612_s_at	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	Hs.208267	84002	f
227671_at	XIST	X (inactive)-specific transcript	Hs.529901	7503	f
228268_at	FMO2	flavin containing monooxygenase 2	Hs.144912	2327	f
228338_at	LOC120376	hypothetical protein LOC120376	Hs.31409	120376	f
228570_at	BTBD11	BTB (POZ) domain containing 11	Hs.271272	121551	f
228697_at		---	---	---	f
229045_at	SLIC1	selectin ligand interactor cytoplasmic-1	Hs.460777	124460	f
229256_at	PGM2L1	phosphoglucomutase 2-like 1	Hs.26612	283209	f
229327_s_at	MAF	V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	Hs.134859	4094	f
229695_at	C10orf45	Chromosome 10 open reading frame 45	Hs.446315	83641	f
229764_at	FAM79B	family with sequence similarity 79, member B	Hs.338851	285386	f
230422_at	FPRL2	formyl peptide receptor-like 2	Hs.445466	2359	f
230425_at	EPHB1	EPH receptor B1	Hs.116092	2047	f
230718_at	FLJ40311	hypothetical protein FLJ40311	Hs.380061	124535	f
231259_s_at	CCND2	Cyclin D2	Hs.376071	894	f
231576_at		MRNA; cDNA DKFZp566C034 (from clone DKFZp566C034)	Hs.29464	---	f
233814_at		CDNA: FLJ22256 fis, clone HRC02860	Hs.288741	---	f
234013_at	TRDV2;TRA@	T-cell receptor active alpha-chain V-region (V-J-C) mRNA, partial cds, clone AA25 /// T cell receptor delta variable 2 /// T cell receptor alpha locus	Hs.508878 /// Hs.512112 /// Hs.534443	28517 /// 6955	f
234427_at		T cell receptor alpha chain (TRCAV2S1-N-AJ41-C) mRNA, anti-melanoma cytotoxic T lymphocyte clone MU-45, -63, -79	Hs.546374	---	f
234964_at	TRA@	T-cell receptor rearranged alpha-chain V-region (V-D-J) /// T cell receptor alpha locus /// T cell receptor alpha locus /// TCRA PS7 mRNA /// T cell receptor alpha locus	Hs.508880 /// Hs.508893 /// Hs.534433 /// Hs.534436 /// Hs.553532	6955	f
