t-value	Parametric p-value	% CV support	Average ratios in the High-risk group	Average ratios in the Low-risk group	Unique id	Description	Clone	UG cluster	Gene symbol	Map
-3.87	0.000282	100	0.738	0.936	161207	Rab geranylgeranyltransferase, beta subunit	2373804	Hs.78948	RABGGTB	1p31
-4.21	0.000093	100	0.735	1.023	160422	propionyl Coenzyme A carboxylase, beta polypeptide	465957	Hs.63788	PCCB	3q21-q22
-3.84	0.000306	100	0.735	0.899	166972	peroxisomal farnesylated protein	1819287	Hs.168670	PXF	1q22
-3.57	0.000762	68	0.734	1.072	164416	protein phosphatase 2, regulatory subunit B (B56), alpha isoform	1857808	Hs.155079	PPP2R5A	1q41
-3.91	0.000249	100	0.731	0.87	168346	far upstream element (FUSE) binding protein 3	1998357	Hs.153636	FUBP3	9q34.2
-3.8	0.000356	100	0.726	0.999	162160	mitochondrial ribosomal protein L3	1834502	Hs.79086	MRPL3	3q21-q23
-3.51	0.000881	47	0.725	0.92	167893	Williams-Beuren syndrome chromosome region 1	1616534	Hs.180900	WBSCR1	7q11.23
-3.73	0.000443	100	0.722	0.841	168355	Homo sapiens mRNA for KIAA1326 protein, partial cds	2285276
-3.57	0.000731	71	0.719	0.919	159763	neuroepithelial cell transforming gene 1	1335936	Hs.25155	NET1	10p15
-4.08	0.000145	100	0.718	0.888	164155	endoplasmic reticulum oxidoreductin 1-Lbeta	2073339	Hs.150763		1q42.2-q43
-4.16	0.000107	100	0.717	1.108	169385	nuclear receptor coactivator 4	115889	Hs.99908	NCOA4	10q11.2
-3.67	0.00053	90	0.717	0.868	161222	golgi autoantigen, golgin subfamily a, 5	2068966	Hs.241572	GOLGA5	14q
-3.85	0.000302	100	0.713	0.913	160451	S-adenosylhomocysteine hydrolase	2061241	Hs.172673	AHCY	20cen-q13.1
-4.14	0.000117	100	0.708	0.884	160219	branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)	1759220	Hs.1265	BCKDHB	6p21-p22
-4.11	0.000127	100	0.708	1.014	167361	cytochrome P450, subfamily XIB (steroid 11-beta-hydroxylase), polypeptide 1	2961526
-3.59	0.000704	64	0.708	0.906	160052	rTS beta protein	1808980	Hs.180433	HSRTSBET A	18p11.32
-3.87	0.000278	100	0.707	1.003	162259	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	30751	Hs.84981	XRCC5	2q35
-3.69	0.000498	98	0.704	0.959	167492	solute carrier family 25, member 13 (citrin)	1723433	Hs.9599	SLC25A13	7q21.3
-3.58	0.000747	64	0.701	0.835	162331	CASP2 and RIPK1 domain containing adaptor with death domain	747345	Hs.155566	CRADD	12q21.33-q23.1
-3.52	0.000939	46	0.7	1.15	164251	Fc fragment of IgG, low affinity IIIa, receptor for (CD16)	2220025	Hs.176663	FCGR3A	1q23
-3.53	0.000844	47	0.697	1.017	167789	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	1782172	Hs.1501	SDC2	8q22-q23
-3.5	0.000911	39	0.697	0.865	168128	DKFZP564B167 protein	1629705	Hs.76285	DKFZP564B 167	1q24
-3.97	0.000206	100	0.694	0.797	167285	PAX transcription activation domain interacting protein 1 like	2258143	Hs.173854	PAXIP1L	7q36
-3.94	0.000222	100	0.692	0.869	166006	DNA cross-link repair 1A (PSO2 homolog, S. cerevisiae)	1487965	Hs.1560	DCLRE1A	10q25.1
-3.78	0.000376	100	0.691	1.025	162131	KIAA0143 protein	517085	Hs.84087	KIAA0143	8q24.22
-4.58	0.000027	100	0.683	0.852	167324	selenophosphate synthetase	1922523	Hs.124027	SPS	10p14
-3.97	0.000202	100	0.676	0.86	163840	Cdc42 guanine nucleotide exchange factor (GEF) 9	1479612	Hs.54697	ARHGEF9	Xq11.1
-4.25	0.00008	100	0.67	0.892	166879	interleukin 6 receptor	2113618	Hs.193400	IL6R	1q21
-3.56	0.000751	61	0.668	0.875	169107	IQ motif containing GTPase activating protein 2	1877913	Hs.78993	IQGAP2	5q13.2
-3.86	0.000301	100	0.662	0.942	164957	opioid binding protein/cell adhesion molecule-like	3599458	Hs.99902	OPCML	11q25
-3.54	0.00081	44	0.659	0.839	160556	interleukin 13 receptor, alpha 1	1556648	Hs.285115	IL13RA1	Xq24
-3.64	0.00058	95	0.651	0.748	163915	hypothetical protein MGC15875	1620917	Hs.315054	MGC15875	5q35.3
-4.06	0.000166	100	0.649	0.906	161752	excision repair cross-complementing rodent repair deficiency, complementation group 6	4253460	Hs.99924	ERCC6	10q11
-3.7	0.000481	97	0.646	0.932	167003	peroxiredoxin 3	2527879	Hs.75454	PRDX3	10q25-q26
-4.16	0.000112	100	0.644	0.824	168285	DC6 protein	151118	Hs.283740	DC6	8q23.2
-3.68	0.000516	97	0.64	0.801	160449	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	2060396	Hs.78888	DBI	2q12-q21
-4.43	0.000044	100	0.639	0.885	168314	macrophage receptor with collagenous structure	2720467	Hs.67726	MARCO	2q12-q13
-3.72	0.000454	100	0.631	0.852	167979	eukaryotic translation initiation factor 5	1650256	Hs.334810	EIF5	14q32.33
-4.18	0.000102	100	0.629	0.819	167131	dystrophin (muscular dystrophy, Duchenne and Becker types)	1424630	Hs.169470	DMD	Xp21.2
-3.7	0.000491	97	0.629	0.895	168987	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)	2888814	Hs.20521	HRMT1L2	19q13.3
-4.15	0.000111	100	0.628	1.032	168791	eukaryotic translation initiation factor 4 gamma, 1	1965695	Hs.433750	EIF4G1	3q27-qter
-3.92	0.000241	100	0.625	0.862	161468	nuclear transcription factor, X-box binding 1	2989547	Hs.3187	NFX1	9p13.2
-3.66	0.00055	90	0.621	0.776	168808	glucose-6-phosphatase, transport (glucose-6-phosphate) protein 1	1552730	Hs.132760	G6PT1	11q23.3
-4.07	0.000154	100	0.609	0.844	167611	2-5-oligoadenylate synthetase 2, 69/71kDa	3214930	Hs.264981	OAS2	12q24.2
-3.98	0.000198	100	0.609	0.81	168803	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	119068	Hs.8248	NDUFS1	2q33-q34
-3.57	0.000744	64	0.602	0.763	163533	hypothetical protein FLJ10948	1930954	Hs.34579	FLJ10948	1p32.3
-3.58	0.000718	69	0.595	0.864	161140	paraoxonase 2	2134968	Hs.169857	PON2	7q21.3
-4.35	0.000056	100	0.59	0.762	168067	protein kinase, cAMP-dependent, regulatory, type II, alpha	1649731	Hs.365523	PRKAR2A	3p21.3-p21.2
-3.5	0.000912	34	0.585	0.836	167491	methylmalonyl Coenzyme A mutase	1984915	Hs.155212	MUT	6p21
-3.99	0.00019	100	0.573	0.77	166016	hepatocyte nuclear factor 4, alpha	1456194	Hs.54424	HNF4A	20q12-q13.1
-3.63	0.000608	88	0.565	0.824	162758	RAB6C, member RAS oncogene family	2259037	Hs.333139	RAB6C	2q31
-3.95	0.000236	100	0.558	1.026	161478	aquaporin 9	3752047	Hs.104624	AQP9	15q22.1-22.2
-3.65	0.000571	88	0.553	0.768	169282	Incyte EST	88935
-3.63	0.00061	90	0.543	0.988	162256	Human DNA sequence from clone 742C19 on chromosome 22q12.3-13.1. Contains a pseudogene similar to Cytochrome C Oxidase Polypeptide VB and (parts of) up to four novel genes, two with homology to Phorbolin genes and one a novel Chro	1841459
-4.41	0.000047	100	0.54	0.795	167515	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)	2204225	Hs.185923	SLC4A1	17q21-q22
-4.04	0.000159	100	0.54	0.749	166022	for protein disulfide isomerase-related	2481012	Hs.76901	PDIR	3q21.1
-3.71	0.00048	98	0.499	0.782	159783	coagulation factor II (thrombin)	2514916	Hs.76530	F2	11p11-q12
-3.59	0.000699	75	0.499	0.844	162407	calpain 6	64394	Hs.169172	CAPN6	Xq23
-3.85	0.0003	100	0.498	0.69	168416	angiopoietin 2	2174441	Hs.115181	ANGPT2	8p23.1
-3.88	0.000278	100	0.445	0.687	168310	H factor 1 (complement)	1729543	Hs.250651	HF1	1q32
-3.58	0.00072	71	0.421	0.833	163726	complement component 3	1513989	Hs.284394	C3	19p13.3-p13.2
-3.57	0.000727	54	0.402	0.613	162341	mannosidase, alpha, class 1A, member 1	887868	Hs.432931	MAN1A1	6q22
-4.08	0.000141	100	0.375	0.595	167415	sialyltransferase 1 (beta-galactoside alpha-2,6-sialytransferase)	3211926	Hs.2554	SIAT1	3q27-q28
-3.66	0.000549	90	0.248	0.488	165036	apolipoprotein B (including Ag(x) antigen)	4179338	Hs.585	APOB	2p24-p23
