ID	GenBank ID	UniGene ID	Description
32663	U12597	Hs.200526	TNF receptor-associated factor 2
32796	U66616	Hs.236030	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2
32955	NM_005343	Hs.37003	v-Ha-ras Harvey rat sarcoma viral oncogene homolog
33101		Hs.343870	ESTs
33166	AB007866	Hs.158249	KIAA0406 gene product
33196
33263
33549	S57501	Hs.183994	protein phosphatase 1, catalytic subunit, alpha isoform
33571	X53505	Hs.339696	ribosomal protein S12
34439			LC_34439
34510	NM_017670	Hs.108504	hypothetical protein FLJ20113
34546	X70649	Hs.78580	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 1
34590	M10036	Hs.83848	triosephosphate isomerase 1
34619	X59357	Hs.326249	ribosomal protein L22
34651	U11861	Hs.330310	maternal G10 transcript
34655	AF201950	Hs.9774	synovial sarcoma translocation gene on chromosome 18-like 2
34662	AL050171	Hs.5306	axotrophin
34672	Z21507	Hs.223241	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
34680	AF000560	Hs.79531	Homo sapiens TTF-I interacting peptide 20 mRNA, partial cds
34682	Y08915	Hs.3631	immunoglobulin (CD79A) binding protein 1
34684	AB018266	Hs.78825	matrin 3
34697	BC008314	Hs.89545	proteasome (prosome, macropain) subunit, beta type, 4
34727	M86400	Hs.75103	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide
34739			LC_34739
34763	AF186382	Hs.264190	vacuolar protein sorting 35 (yeast)
34770	M58458	Hs.108124	ribosomal protein S4, X-linked
34774	M63573	Hs.699	peptidylprolyl isomerase B (cyclophilin B)
34780		Hs.351680	Homo sapiens, clone IMAGE:4103364, mRNA
34790			LC_34790
34804	M58458	Hs.108124	ribosomal protein S4, X-linked
34834	AF208536	Hs.296422	nucleotide binding protein
34860	BC004531	Hs.6455	RuvB-like 2 (E. coli)
34867	M13194	Hs.59544	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)
34906			LC_34906
15841	V00568	Hs.79070	v-myc myelocytomatosis viral oncogene homolog (avian)
15883	U28918	Hs.119222	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
15886	U21090	Hs.74598	polymerase (DNA directed), delta 2, regulatory subunit (50kD)
15891	U57342	Hs.79026	myeloid leukemia factor 2
15893	D66904	Hs.20521	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)
15894	D84109	Hs.80248	RNA-binding protein gene with multiple splicing
15895	D16431	Hs.89525	hepatoma-derived growth factor (high-mobility group protein 1-like)
15936			LC_15936
15945	M94556	Hs.923	single-stranded DNA binding protein
15949	U28918	Hs.119222	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
15954	M93651	Hs.145279	SET translocation (myeloid leukemia-associated)
15964	X91247	Hs.13046	thioredoxin reductase 1
15993	X54941	Hs.348669	CDC28 protein kinase 1
16003	D15057	Hs.82890	defender against cell death 1
16009	L16991	Hs.79006	deoxythymidylate kinase (thymidylate kinase)
16020	U34683	Hs.82327	glutathione synthetase
16031	AF069765	Hs.237825	signal recognition particle 72kD
16120	J03250	Hs.317	topoisomerase (DNA) I
16282	AF097996	Hs.2903	protein phosphatase 4 (formerly X), catalytic subunit
16303	M34065	Hs.656	cell division cycle 25C
16309	U10860	Hs.5398	guanine monphosphate synthetase
16311	J00140	Hs.83765	dihydrofolate reductase
16357	AJ271408	Hs.25821	Fas (TNFRSF6) associated factor 1
16382	X59543	Hs.2934	ribonucleotide reductase M1 polypeptide
16424	D26181	Hs.2499	protein kinase C-like 1
16439			LC_16439
16448	AF037439	Hs.75456	A kinase (PRKA) anchor protein 10
16449	M31642	Hs.82314	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)
16460	U66199	Hs.31339	fibroblast growth factor 11
16463	U83117	Hs.81424	ubiquitin-like 1 (sentrin)
16476			LC_16476
16480	X17620	Hs.118638	non-metastatic cells 1, protein (NM23A) expressed in
16482	M33374	Hs.661	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7 (18kD, B18)
16504	J04088	Hs.156346	topoisomerase (DNA) II alpha (170kD)
16511	X78686	Hs.89714	small inducible cytokine subfamily B (Cys-X-Cys), member 5 (epithelial-derived neutrophil-activating peptide 78)
16528	NM_003600	Hs.333116	serine/threonine kinase 6
16529	D15057	Hs.82890	defender against cell death 1
16531	NM_004300	Hs.75393	acid phosphatase 1, soluble
16543	S78873	Hs.90875	RAB interacting factor
16561	AF008552	Hs.180655	serine/threonine kinase 12
16566	X89416	Hs.75180	protein phosphatase 5, catalytic subunit
16568	U48736	Hs.198891	serine/threonine-protein kinase PRP4 homolog
16575	L14812	Hs.87	retinoblastoma-like 1 (p107)
16587			LC_16587
16599	U20972	Hs.79474	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide
16600	U92971	Hs.194351	coagulation factor II (thrombin) receptor-like 2
16605	NM_005412	Hs.75069	serine hydroxymethyltransferase 2 (mitochondrial)
16613	U02309	Hs.198	paired box gene 3 (Waardenburg syndrome 1)
16621	L07548	Hs.334707	aminoacylase 1
16622	L19527	Hs.111611	ribosomal protein L27
16623	X53793	Hs.117950	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
16633	U42391	Hs.159629	myosin IXB
16635	Z50853	Hs.74362	ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog (E. coli)
16643	S50223	Hs.108642	zinc finger protein 22 (KOX 15)
16663	NM_001152	Hs.79172	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5
16664	NM_000884	Hs.75432	IMP (inosine monophosphate) dehydrogenase 2
16670	X00737	Hs.75514	nucleoside phosphorylase
16672	U33286	Hs.90073	CSE1 chromosome segregation 1-like (yeast)
16697	U05040	Hs.118962	far upstream element (FUSE) binding protein 1
16698	Y15227	Hs.20149	deleted in lymphocytic leukemia, 1
16700	AF007871	Hs.19261	dystonia 1, torsion (autosomal dominant; torsin A)
16711	U65410	Hs.79078	MAD2 mitotic arrest deficient-like 1 (yeast)
16721	AF118649	Hs.42644	thioredoxin-like 2
16730	Y17394	Hs.198307	von Hippel-Lindau binding protein 1
16731	M87339	Hs.35120	replication factor C (activator 1) 4 (37kD)
16740	U72511	Hs.7771	repressor of estrogen receptor activity
16749	NM_004300	Hs.75393	acid phosphatase 1, soluble
16752	X52142	Hs.251871	CTP synthase
16770		Hs.179661	FK506 binding protein 1A (12kD)
16772	D79997	Hs.184339	likely ortholog of maternal embryonic leucine zipper kinase
16775	D29641	Hs.278608	KIAA0052 protein
16787	X62534	Hs.80684	high-mobility group (nonhistone chromosomal) protein 2
16804			LC_16804
16805	NM_005412	Hs.75069	serine hydroxymethyltransferase 2 (mitochondrial)
16849	D89667	Hs.288856	prefoldin 5
16852	M94046	Hs.7647	MYC-associated zinc finger protein (purine-binding transcription factor)
16855	NM_002629	Hs.181013	phosphoglycerate mutase 1 (brain)
16862	Z34289	Hs.75337	nucleolar and coiled-body phosphprotein 1
16874	U37122	Hs.324470	adducin 3 (gamma)
16876	NM_002629	Hs.181013	phosphoglycerate mutase 1 (brain)
16878	D38551	Hs.81848	RAD21 homolog (S. pombe)
16887	J03824	Hs.75593	uroporphyrinogen III synthase (congenital erythropoietic porphyria)
16894			LC_16894
16897	L76702	Hs.118244	protein phosphatase 2, regulatory subunit B (B56), delta isoform
16915	NM_005517	Hs.181163	high-mobility group (nonhistone chromosomal) protein 17
16942	AF017789	Hs.13063	transcription elongation regulator 1 (CA150)
16971	U30255	Hs.75888	phosphogluconate dehydrogenase
16991	NM_000026	Hs.75527	adenylosuccinate lyase
16996	X54199	Hs.82285	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
17010	NM_005348	Hs.289088	heat shock 90kD protein 1, alpha
17012	M60854	Hs.80617	ribosomal protein S16
17043	NM_002539	Hs.75212	ornithine decarboxylase 1
17046	M15353	Hs.79306	eukaryotic translation initiation factor 4E
17050	D50405	Hs.88556	histone deacetylase 1
17055	D45887	Hs.182278	calmodulin 2 (phosphorylase kinase, delta)
17069	NM_002715	Hs.91773	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform
17075	AF011792	Hs.347349	cell cycle progression 2 protein
17109	X74794	Hs.154443	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
17111	U54645	Hs.171811	adenylate kinase 2
17112			LC_17112
17115	L07515	Hs.89232	chromobox homolog 5 (HP1 alpha homolog, Drosophila)
17123	X59618	Hs.75319	ribonucleotide reductase M2 polypeptide
17126	U82130	Hs.118910	tumor susceptibility gene 101
17149	X97795	Hs.66718	RAD54-like (S. cerevisiae)
17176	M96577	Hs.96055	E2F transcription factor 1
17200	L07541	Hs.115474	replication factor C (activator 1) 3 (38kD)
17209	NM_006342	Hs.104019	transforming, acidic coiled-coil containing protein 3
17216	U15173	Hs.155596	BCL2/adenovirus E1B 19kD interacting protein 2
17236	M27364	Hs.181165	eukaryotic translation elongation factor 1 alpha 1
17256	AF014118	Hs.77783	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
17258	NM_000075	Hs.95577	cyclin-dependent kinase 4
17312	X02751	Hs.260523	neuroblastoma RAS viral (v-ras) oncogene homolog
17313	AF043294	Hs.98658	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
17316	L04483	Hs.1948	ribosomal protein S21
17326	X67155	Hs.270845	kinesin-like 5 (mitotic kinesin-like protein 1)
17340	AB017507	Hs.264482	APG12 autophagy 12-like (S. cerevisiae)
17366	S52784	Hs.19904	cystathionase (cystathionine gamma-lyase)
17381	AF010313	Hs.343911	etoposide-induced mRNA
17396	U79718	Hs.66196	nth endonuclease III-like 1 (E. coli)
17399	AF022385	Hs.28866	programmed cell death 10
17439	U39487	Hs.250	xanthene dehydrogenase
17442	J02853	Hs.155140	casein kinase 2, alpha 1 polypeptide
17444	U14971	Hs.180920	ribosomal protein S9
17482	U66589	Hs.180946	ribosomal protein L5
17497	Y12473	Hs.29463	centrin, EF-hand protein, 3 (CDC31 homolog, yeast)
17526	NM_005573	Hs.89497	lamin B1
17545	U11050	Hs.153704	NIMA (never in mitosis gene a)-related kinase 2
17548	NM_017443	Hs.108112	polymerase (DNA directed), epsilon 3 (p17 subunit)
17625	Y15227	Hs.20149	deleted in lymphocytic leukemia, 1
17627	AF007871	Hs.19261	dystonia 1, torsion (autosomal dominant; torsin A)
17634	S78085	Hs.41639	programmed cell death 2
17636	U72511	Hs.7771	repressor of estrogen receptor activity
17637	X52142	Hs.251871	CTP synthase
17641			LC_17641
17654	NM_005412	Hs.75069	serine hydroxymethyltransferase 2 (mitochondrial)
17669			LC_17669
17672	J03824	Hs.75593	uroporphyrinogen III synthase (congenital erythropoietic porphyria)
17678			LC_17678
17681	L76702	Hs.118244	protein phosphatase 2, regulatory subunit B (B56), delta isoform
17702	AF009225	Hs.198998	conserved helix-loop-helix ubiquitous kinase
17707	AF098269	Hs.8944	procollagen C-endopeptidase enhancer 2
17714	NM_000026	Hs.75527	adenylosuccinate lyase
17720	M74091	Hs.118442	cyclin C
17722	D21235	Hs.180455	RAD23 homolog A (S. cerevisiae)
17730	X17644	Hs.2707	G1 to S phase transition 1
17795	NM_002715	Hs.91773	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform
17801	M64929	Hs.179574	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform
17803	J04031	Hs.172665	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
17805	Y13115	Hs.172052	serine/threonine kinase 18
17807	S75174	Hs.108371	E2F transcription factor 4, p107/p130-binding
17820			LC_17820
17821			LC_17821
17824	U60062	Hs.79226	fasciculation and elongation protein zeta 1 (zygin I)
17825	U07418	Hs.57301	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)
17826			LC_17826
17831			LC_17831
17833	X90858	Hs.77573	uridine phosphorylase
17844	D15057	Hs.82890	defender against cell death 1
17849	U89896	Hs.181390	casein kinase 1, gamma 2
17850			LC_17850
17853	AF069765	Hs.237825	signal recognition particle 72kD
17861			LC_17861
17872			LC_17872
17873	M60854	Hs.80617	ribosomal protein S16
17874	M14328	Hs.254105	enolase 1, (alpha)
17897	NM_000538	Hs.24422	regulatory factor X-associated protein
17902	U34683	Hs.82327	glutathione synthetase
17906	M61764	Hs.21635	tubulin, gamma 1
17909	S57501	Hs.183994	protein phosphatase 1, catalytic subunit, alpha isoform
17911	U05340	Hs.82906	CDC20 cell division cycle 20 homolog (S. cerevisiae)
17919	U01038	Hs.77597	polo-like kinase (Drosophila)
17929	U58917	Hs.129751	interleukin 17 receptor
19325	M95775	Hs.73798	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
19377	M29474	Hs.73958	recombination activating gene 1
19381	V00568	Hs.79070	v-myc myelocytomatosis viral oncogene homolog (avian)
22151	AB020623	Hs.22960	breast carcinoma amplified sequence 2
23815			LC_23815
23825	X73459	Hs.180394	signal recognition particle 14kD (homologous Alu RNA binding protein)
23845			LC_23845
23852			LC_23852
23858	BC004531	Hs.6455	RuvB-like 2 (E. coli)
23869			LC_23869
23872	NM_022551	Hs.275865	ribosomal protein S18
23881	AB018313	Hs.9452	Vam6/Vps39-like
23882	X64707	Hs.180842	ribosomal protein L13
23910			LC_23910
23916	D90209	Hs.181243	activating transcription factor 4 (tax-responsive enhancer element B67)
23929	M64716	Hs.113029	ribosomal protein S25
23930	M17885	Hs.350108	ribosomal protein, large, P0
23944	AF131837	Hs.226440	Homo sapiens clone 24881 mRNA sequence
23946
23954			LC_23954
23978
23992			LC_23992
24014	M23613	Hs.9614	nucleophosmin (nucleolar phosphoprotein B23, numatrin)
24015			LC_24015
24027			LC_24027
24049	L06498	Hs.8102	ribosomal protein S20
24068			LC_24068
24079	M14328	Hs.254105	enolase 1, (alpha)
24197	U32986	Hs.108327	damage-specific DNA binding protein 1 (127kD)
24201	M33197	Hs.169476	glyceraldehyde-3-phosphate dehydrogenase
24207			LC_24207
24210			LC_24210
24258
24286	L38995	Hs.12084	Tu translation elongation factor, mitochondrial
24301	L25931	Hs.152931	lamin B receptor
24319	J04088	Hs.156346	topoisomerase (DNA) II alpha (170kD)
24342		Hs.22635	ESTs
24362	U14518	Hs.1594	centromere protein A (17kD)
24374	U50523	Hs.83583	actin related protein 2/3 complex, subunit 2 (34 kD)
24382	X63692	Hs.77462	DNA (cytosine-5-)-methyltransferase 1
24404	X97795	Hs.66718	RAD54-like (S. cerevisiae)
24410	D38551	Hs.81848	RAD21 homolog (S. pombe)
24413	X77584	Hs.76136	thioredoxin
24420	X66899	Hs.129953	Ewing sarcoma breakpoint region 1
24481	J02853	Hs.155140	casein kinase 2, alpha 1 polypeptide
24488	M27364	Hs.181165	eukaryotic translation elongation factor 1 alpha 1
24490	U11292	Hs.152978	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)
24532			LC_24532
24542	AF044953	Hs.31547	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8 (19kD, PGIV)
24562	J03198	Hs.73799	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3
24584	AK001402	Hs.14559	hypothetical protein FLJ10540
24610	X62534	Hs.80684	high-mobility group (nonhistone chromosomal) protein 2
24636	M37197	Hs.184760	CCAAT-box-binding transcription factor
24651	AF022815	Hs.233952	proteasome (prosome, macropain) subunit, alpha type, 7
24656	M91670	Hs.174070	ubiquitin carrier protein
24689	AB011139	Hs.147946	optic atrophy 1 (autosomal dominant)
24703	U14970	Hs.76194	ribosomal protein S5
24711	X12654	Hs.84746	chromosome condensation 1
24715	M68520	Hs.19192	cyclin-dependent kinase 2
24719	K00558	Hs.334842	tubulin, alpha, ubiquitous
24723	X62534	Hs.80684	high-mobility group (nonhistone chromosomal) protein 2
24730	NM_005412	Hs.75069	serine hydroxymethyltransferase 2 (mitochondrial)
24734	M31642	Hs.82314	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)
24735	M86699	Hs.169840	TTK protein kinase
24737	U72511	Hs.7771	repressor of estrogen receptor activity
24739	S59184	Hs.79350	RYK receptor-like tyrosine kinase
24749	L42856	Hs.172772	transcription elongation factor B (SIII), polypeptide 2 (18kD, elongin B)
24756	U59435	Hs.374491	proliferation-associated 2G4, 38kD
24758	D79997	Hs.184339	likely ortholog of maternal embryonic leucine zipper kinase
24769	NM_002539	Hs.75212	ornithine decarboxylase 1
24774	X59543	Hs.2934	ribonucleotide reductase M1 polypeptide
24775	U51004	Hs.256697	histidine triad nucleotide binding protein 1
24776	U01038	Hs.77597	polo-like kinase (Drosophila)
24785	X74008	Hs.79081	protein phosphatase 1, catalytic subunit, gamma isoform
24786			LC_24786
24795	D21235	Hs.180455	RAD23 homolog A (S. cerevisiae)
24798	X16105	Hs.106061	RD RNA-binding protein
24805			LC_24805
24816	D16431	Hs.89525	hepatoma-derived growth factor (high-mobility group protein 1-like)
24817	X91247	Hs.13046	thioredoxin reductase 1
24832	M87339	Hs.35120	replication factor C (activator 1) 4 (37kD)
24835	AL050028	Hs.226770	DKFZP566C0424 protein
24848	AB020636	Hs.184786	TBP-interacting protein
24851	AF107840	Hs.367697	nucleoporin 50kD
24855	L18960	Hs.4310	eukaryotic translation initiation factor 1A
24907		Hs.179661	FK506 binding protein 1A (12kD)
24913	D13630	Hs.155291	basic leucine-zipper protein BZAP45
24933	BC004373	Hs.79103	cytochrome b5 outer mitochondrial membrane precursor
24940	AF304378	Hs.250618	UL16 binding protein 2
24949	U11292	Hs.152978	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)
24959		Hs.356166	ESTs
24968	BC007644	Hs.334725	similar to putative transmembrane protein; homolog of yeast Golgi membrane protein Yif1p (Yip1p-interacting factor)
24978	AF070552	Hs.122908	DNA replication factor
25009	L07493	Hs.1608	replication protein A3 (14kD)
25042	X66699	Hs.296290	ribosomal protein L37a
25055	U94586	Hs.50098	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4 (9kD, MLRQ)
25057	M95775	Hs.73798	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
25062	BC001309	Hs.13662	hypothetical protein MGC5508
25075	X64707	Hs.180842	ribosomal protein L13
25092		Hs.143964	ESTs
25099			LC_25099
25105	BC001420	Hs.109706	hematological and neurological expressed 1
25120	AF134159	Hs.15106	chromosome 14 open reading frame 1
25147	BC000386	Hs.58189	eukaryotic translation initiation factor 3, subunit 3 (gamma, 40kD)
25921	NM_003362	Hs.78853	uracil-DNA glycosylase
25926			LC_25926
25928	D14694	Hs.77329	phosphatidylserine synthase 1
25967	U59309	Hs.75653	fumarate hydratase
25975	J03490	Hs.74635	dihydrolipoamide dehydrogenase (E3 component of pyruvate dehydrogenase complex, 2-oxo-glutarate complex, branched chain keto acid dehydrogenase complex)
25986			LC_25986
25992	X16396	Hs.154672	methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase
26022	AF014955	Hs.166468	programmed cell death 5
26069	AF047042	Hs.239760	citrate synthase
26090	M22348	Hs.131255	ubiquinol-cytochrome c reductase binding protein
26124	U49436	Hs.334810	eukaryotic translation initiation factor 5
26149	U35832	Hs.4311	SUMO-1 activating enzyme subunit 2
26191			LC_26191
26204			LC_26204
26221	L16842	Hs.119251	ubiquinol-cytochrome c reductase core protein I
26370			LC_26370
26502	AF097996	Hs.2903	protein phosphatase 4 (formerly X), catalytic subunit
26570	X00737	Hs.75514	nucleoside phosphorylase
26587	S38729	Hs.197345	thyroid autoantigen 70kD (Ku antigen)
26597	M33197	Hs.169476	glyceraldehyde-3-phosphate dehydrogenase
26598	M30938	Hs.84981	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kD)
26601			LC_26601
26602	AF058392	Hs.7179	RAD1 homolog (S. pombe)
26603	AF058392	Hs.7179	RAD1 homolog (S. pombe)
26608	X89984	Hs.211563	B-cell CLL/lymphoma 7A
26609	NM_006342	Hs.104019	transforming, acidic coiled-coil containing protein 3
26623	D55716	Hs.77152	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)
26635	AF041474	Hs.274350	BAF53
26636	M30938	Hs.84981	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kD)
26637	M30938	Hs.84981	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kD)
26884	M27364	Hs.181165	eukaryotic translation elongation factor 1 alpha 1
26888	AB033011	Hs.268488	KIAA1185 protein
26948	U10860	Hs.5398	guanine monphosphate synthetase
26949	U15172	Hs.77572	BCL2/adenovirus E1B 19kD interacting protein 1
26963	S75174	Hs.108371	E2F transcription factor 4, p107/p130-binding
26964	S75174	Hs.108371	E2F transcription factor 4, p107/p130-binding
26980	NM_001320	Hs.165843	casein kinase 2, beta polypeptide
26981	D21090	Hs.178658	RAD23 homolog B (S. cerevisiae)
26998	NM_002715	Hs.91773	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform
27004	M64929	Hs.179574	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform
27008	U00238	Hs.311	phosphoribosyl pyrophosphate amidotransferase
27016	M64929	Hs.179574	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform
27020	D26181	Hs.2499	protein kinase C-like 1
27030	X95648	Hs.78592	eukaryotic translation initiation factor 2B, subunit 1 (alpha, 26kD)
27046	Y13115	Hs.172052	serine/threonine kinase 18
27049	L37374	Hs.4756	flap structure-specific endonuclease 1
27050	U83117	Hs.81424	ubiquitin-like 1 (sentrin)
27067	U09564	Hs.75761	SFRS protein kinase 1
27069	X17620	Hs.118638	non-metastatic cells 1, protein (NM23A) expressed in
27083	U20972	Hs.79474	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide
27095	J04088	Hs.156346	topoisomerase (DNA) II alpha (170kD)
27105	D15057	Hs.82890	defender against cell death 1
27106	NM_004300	Hs.75393	acid phosphatase 1, soluble
27109	X95648	Hs.78592	eukaryotic translation initiation factor 2B, subunit 1 (alpha, 26kD)
27135	U48736	Hs.198891	serine/threonine-protein kinase PRP4 homolog
27137	D15057	Hs.82890	defender against cell death 1
27142	L14812	Hs.87	retinoblastoma-like 1 (p107)
27154	NM_001152	Hs.79172	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5
27160			LC_27160
27162			LC_27162
27171	U07418	Hs.57301	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)
27176	M68520	Hs.19192	cyclin-dependent kinase 2
27178	U02309	Hs.198	paired box gene 3 (Waardenburg syndrome 1)
27182	L19527	Hs.111611	ribosomal protein L27
27189	Z50853	Hs.74362	ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog (E. coli)
27192	NM_001152	Hs.79172	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5
27196	L19527	Hs.111611	ribosomal protein L27
27203	NM_001152	Hs.79172	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5
27205	NM_000884	Hs.75432	IMP (inosine monophosphate) dehydrogenase 2
27218	X90858	Hs.77573	uridine phosphorylase
27231	X74008	Hs.79081	protein phosphatase 1, catalytic subunit, gamma isoform
27235	U48736	Hs.198891	serine/threonine-protein kinase PRP4 homolog
27246	S78085	Hs.41639	programmed cell death 2
27260	X08004	Hs.156764	RAP1B, member of RAS oncogene family
27278	U72511	Hs.7771	repressor of estrogen receptor activity
27280		Hs.179661	FK506 binding protein 1A (12kD)
27283	NM_001065	Hs.159	tumor necrosis factor receptor superfamily, member 1A
27284	D79997	Hs.184339	likely ortholog of maternal embryonic leucine zipper kinase
27300	D15057	Hs.82890	defender against cell death 1
27310	NM_002131	Hs.139800	high-mobility group (nonhistone chromosomal) protein isoforms I and Y
27313	AK023090	Hs.288932	hypothetical protein FLJ13194
27314	L04483	Hs.1948	ribosomal protein S21
27317	L07493	Hs.1608	replication protein A3 (14kD)
27325	U43077	Hs.160958	CDC37 cell division cycle 37 homolog (S. cerevisiae)
27329	L07493	Hs.1608	replication protein A3 (14kD)
27331	AF069765	Hs.237825	signal recognition particle 72kD
27335	D15057	Hs.82890	defender against cell death 1
27347	M94046	Hs.7647	MYC-associated zinc finger protein (purine-binding transcription factor)
27348	NM_002629	Hs.181013	phosphoglycerate mutase 1 (brain)
27351	L40027	Hs.118890	glycogen synthase kinase 3 alpha
27361			LC_27361
27363	L09159	Hs.77273	ras homolog gene family, member A
27387			LC_27387
27395	M22348	Hs.131255	ubiquinol-cytochrome c reductase binding protein
27418	AF106966	Hs.75922	brain protein I3
27433	NM_002629	Hs.181013	phosphoglycerate mutase 1 (brain)
27439	AF031385	Hs.8867	cysteine-rich, angiogenic inducer, 61
27448	U30255	Hs.75888	phosphogluconate dehydrogenase
27465	NM_000026	Hs.75527	adenylosuccinate lyase
27476			LC_27476
27496	U01038	Hs.77597	polo-like kinase (Drosophila)
27506	U14970	Hs.76194	ribosomal protein S5
27523	NM_002539	Hs.75212	ornithine decarboxylase 1
27526	D21090	Hs.178658	RAD23 homolog B (S. cerevisiae)
27537	J05032	Hs.80758	aspartyl-tRNA synthetase
27542	NM_001126	Hs.90011	adenylosuccinate synthase
27549	NM_002715	Hs.91773	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform
27555	AF011792	Hs.347349	cell cycle progression 2 protein
27556	AF011792	Hs.347349	cell cycle progression 2 protein
27584	U82130	Hs.118910	tumor susceptibility gene 101
27602	U54645	Hs.171811	adenylate kinase 2
27617	U82130	Hs.118910	tumor susceptibility gene 101
27641	NM_000538	Hs.24422	regulatory factor X-associated protein
27701	L07541	Hs.115474	replication factor C (activator 1) 3 (38kD)
27712	U15173	Hs.155596	BCL2/adenovirus E1B 19kD interacting protein 2
27718	U34683	Hs.82327	glutathione synthetase
27727	M27364	Hs.181165	eukaryotic translation elongation factor 1 alpha 1
27737	M61764	Hs.21635	tubulin, gamma 1
27743	M86699	Hs.169840	TTK protein kinase
27762	U05340	Hs.82906	CDC20 cell division cycle 20 homolog (S. cerevisiae)
27807	U29343	Hs.72550	hyaluronan-mediated motility receptor (RHAMM)
27810	M95775	Hs.73798	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
27816	AB017507	Hs.264482	APG12 autophagy 12-like (S. cerevisiae)
27825	AB032470	Hs.10071	seven transmembrane protein TM7SF3
27856	U69126	Hs.91142	KH-type splicing regulatory protein (FUSE binding protein 2)
27866			LC_27866
27872	U79718	Hs.66196	nth endonuclease III-like 1 (E. coli)
27884	D16431	Hs.89525	hepatoma-derived growth factor (high-mobility group protein 1-like)
27924	U20998	Hs.75975	signal recognition particle 9kD
27928			LC_27928
27929			LC_27929
27930	M25269	Hs.181128	ELK1, member of ETS oncogene family
27935	U20998	Hs.75975	signal recognition particle 9kD
27940	J02853	Hs.155140	casein kinase 2, alpha 1 polypeptide
27945	M84711	Hs.77039	ribosomal protein S3A
27997	U66589	Hs.180946	ribosomal protein L5
28015	Y12473	Hs.29463	centrin, EF-hand protein, 3 (CDC31 homolog, yeast)
28046			LC_28046
28058	NM_002715	Hs.91773	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform
28158	AJ271408	Hs.25821	Fas (TNFRSF6) associated factor 1
28167	X59543	Hs.2934	ribonucleotide reductase M1 polypeptide
28185	X63692	Hs.77462	DNA (cytosine-5-)-methyltransferase 1
28323	NM_000485	Hs.28914	adenine phosphoribosyltransferase
