Gene Name	Gene Description	Gene Symbol	Chromosomal Location	Tumor Group	P-value	Fold Change
1460218_at	CD52 antigen	Cd52	chr4 D3	D	4.051E-10	-18.78
1419711_at	CD7 antigen	Cd7	chr11 E2	C and D	1.009E-05	-44.76
1426170_a_at	CD8 antigen, beta chain 1	Cd8b1	chr6 C1	C and D	0.002088	-36.39
1416066_at	CD9 antigen	Cd9	chr6 F3	C and D	6.206E-07	-46.34
1445681_at	Cell division cycle associated 7	Cdca7	chr2 C3	D	0.002883	12.31
1418815_at	Cadherin 2	Cdh2	chr18 A1	C and D	0.001379	-30.54
1421679_a_at	Cyclin-dependent kinase inhibitor 1A (P21)	Cdkn1a	chr17 A3.3	C and D	0.000243	15.71
1457039_at	Cat eye syndrome chromosome region, candidate 2 homolog (human)	Cecr2	chr6 F1	C and D	0.002031	10.33
1441669_at	Centaurin, beta 2	Centb2	chr16 B2	C and D	0.00442	9.16
1452291_at	centaurin, delta 1	Centd1	chr5 C3.1	D	0.002402	-8.02
1421512_at	centrosomal protein 250kDa	Cep250	chr2 H1	C and D	1.053E-05	-5.82
1438659_x_at	coiled-coil-helix-coiled-coil-helix domain containing 6	Chchd6	chr6 D2	C and D	0.001875	10.59
1436343_at	chromodomain helicase DNA binding protein 4	Chd4	chr6 F3	D	0.003456	6.76
1425451_s_at	chitinase 3-like 3	Chi3l3 /// Chi3l4	chr3 F2.3	C and D	0.000234	-57.11
1449147_at	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	Chst1	chr2 E1	C and D	7.407E-07	-42.17
1449402_at	carbohydrate (N-acetylglucosamino) sulfotransferase 7	Chst7	chrX A3.1-A3.2	D	0.003062	8.07
1455106_a_at	creatine kinase, brain	Ckb	chr12 F1	C	1.47E-04	-3.48
1456911_at	CLIP associating protein 2	Clasp2	chr9 F2	C and D	2.373E-06	8.32
1448393_at	claudin 7	Cldn7	chr11 B4	C and D	8.294E-08	-44.04
1422166_at	C-type lectin 1	Clec2i	chr6 F3	D	0.001777	3.99
1420330_at	C-type (calcium dependent, carbohydrate recognition domain) lectin, superfamily member 9	Clec4e	chr6 F3	C and D	3.522E-06	-53.74
1425321_a_at	Calmin	Clmn	chr12 E	D	3.432E-05	9.88
1421014_a_at	citrate lyase beta like	Clybl	chr14 E5	D	0.0005006	3.88
1436836_x_at	calponin 3, acidic	Cnn3	chr3 G1	C and D	1.827E-05	3.66
1434326_x_at	coronin, actin binding protein, 2B	Coro2b	chr9 B	C and D	2.575E-06	-16.97
1417607_at	Cytochrome c oxidase, subunit VI a, polypeptide 2	Cox6a2	chr7 F3	D	0.0005945	8.59
1417494_a_at	ceruloplasmin	Cp	chr3 D	C and D	0.002149	-20.18
1415949_at	Carboxypeptidase E	Cpe	chr8 B3.1	C and D	0.0006413	-64.89
1455372_at	cytoplasmic polyadenylation element binding protein 3	Cpeb3	chr19 C2	C and D	9.519E-07	-43.15
1429413_at	carboxypeptidase M	Cpm	chr10 D2	D	0.003533	3.62
1440576_at	carboxypeptidase N, polypeptide 1	Cpn1	chr19 D2	D	0.001481	5.63
1420937_at	cleavage and polyadenylation specific factor 2	Cpsf2	chr12 F1	C and D	7.957E-06	4.51
1455966_s_at	Transcribed sequence with moderate similarity to protein ref:NP_008937.1 (H.sapiens)  cleavage and polyadenylation specific factor 5, 25 kD subunit; pre-mRNA cleavage factor Im	Cpsf5	chr8 C5	C and D	0.0001347	15.69
1437372_at	Cleavage and polyadenylation specific factor 6	Cpsf6	chr10 D2	C	3.13E-03	2.75
1454931_at	CREBBP/EP300 inhibitory protein 2	Cri2	chr7 A3	C	8.48E-04	-11.85
1449838_at	cysteine-rich secretory protein 3	Crisp3	chr17 B1	C and D	0.0001404	-44.41
1427338_at	Rootletin	Crocc	chr4 D3	C and D	0.0002847	8.81
1420686_at	crystallin, beta A4	Cryba4	chr13 C3	C and D	3.175E-08	-29.57
1440045_at	crystallin, zeta (quinone reductase)-like 1	Cryzl1	chr16 C4	C and D	3.984E-05	12.91
1425811_a_at	cysteine and glycine-rich protein 1	Csrp1	chr1 E4	D	0.0001048	-3.49
1417117_at	cleavage stimulation factor, 3 pre-RNA, subunit 1	Cstf1	chr2 H3	C	4.92E-03	5.49
1415920_at	Cleavage stimulation factor, 3 pre-RNA subunit 2, tau	Cstf2t	chr19 C1	D	0.0001534	-34.41
1422510_at	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	Ctdspl	chr9 F4	D	0.0007658	-5.32
1426243_at	cystathionase (cystathionine gamma-lyase)	Cth	chr3 H4	C and D	0.004297	10.64
1448471_a_at	Cytotoxic T lymphocyte-associated protein 2 beta	Ctla2a	chr13 B3	C and D	0.001411	-35.45
1448149_at	Catenin alpha 1	Ctnna1	chr18 B2	D	0.003221	-3.33
1419594_at	cathepsin G	Ctsg	chr14 C2	C and D	1.749E-09	-624.00
1451310_a_at	cathepsin L	Ctsl	chr13 B3	C	6.38E-04	-45.65
1422632_at	cathepsin W	Ctsw	chr19 A	C and D	1.094E-07	-80.35
1433908_a_at	cortactin	Cttn	chr7 F5	C and D	0.0002444	-28.47
1458263_at	RIKEN cDNA D230046B21 gene	Cugbp2	chr2 A2-A3	D	0.001503	-4.09
1425832_a_at	chemokine (C-X-C motif) receptor 6	Cxcr6	chr9 F	C and D	6.661E-05	-35.90
1436778_at	cytochrome b-245, beta polypeptide	Cybb	chrX A1.1	D	6.396E-05	-9.87
1455794_at	RIKEN cDNA D130058I21 gene	D130058I21Rik	chr11 B4	C	3.80E-03	7.57
1449770_x_at	DNA segment, Chr 16, Brigham & Womens Genetics 1494 expressed	D16Bwg1494e	chr16 A2	C	6.69E-04	-5.53
1417821_at	DNA segment, Chr 17, human D6S56E 5	D17H6S56E-5	chr17 B1	D	4.637E-05	-5.13
1441115_at	Mus musculus 0 day neonate thymus cDNA, RIKEN full-length enriched library, clone:A430063G02 product:unknown EST, full insert sequence	D18Ertd232e	chr18	C	1.42E-05	-45.20
1434428_at	RIKEN cDNA D330028D13 gene	D330028D13Rik	chr6 B2.3	D	5.681E-06	17.65
1457470_at	RIKEN cDNA 1600019O04 gene	D3Ertd452e	chr3	C and D	0.0001516	-21.83
1456611_at	RIKEN cDNA D430015B01 gene	D430015B01Rik	chr6 B3	C	3.92E-03	2.43
1438265_at	Transcribed locus	D8Ertd594e	---	C and D	0.004468	5.75
1448520_at	DNA cross-link repair 1B, PSO2 homolog	Dclre1b	chr3 F2.2	C and D	0.0002375	-4.54
1459725_s_at	cDNA sequence BC005655	Dcpp /// BC005655	chr17 A3.3	C and D	0.0002016	-176.60
1417516_at	DNA-damage inducible transcript 3	Ddit3	chr10 D3	D	0.002156	3.41
1425205_at	RIKEN cDNA 2810457M08 gene	Ddx19b	chr8 E1	C and D	0.0002206	8.84
1426438_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	Ddx3y	chrY A1	D	0.0002119	-140.40
1421534_at	deafness, autosomal dominant 5 homolog	Dfna5h	chr6 B2.3	C and D	8.583E-06	4.97
1418129_at	24-dehydrocholesterol reductase	Dhcr24	chr4 C7	D	0.0009949	43.56
1448390_a_at	dehydrogenase/reductase (SDR family) member 3	Dhrs3	chr4 E1	C and D	0.0022	-18.04
1434642_at	dehydrogenase/reductase (SDR family) member 8	Dhrs8	chr5 E4	D	0.004917	-3.20
1453751_at	DEAH (Asp-Glu-Ala-His) box polypeptide 38	Dhx38	chr8 D3	C	2.89E-05	4.23
1443445_at	diaphanous homolog 3	Diap3	chr14 D3	C and D	4.814E-05	7.65
1425748_at	DIRAS family, GTP-binding RAS-like 1	Diras1	chr10 C1	C and D	1.481E-05	4.24
1431734_a_at	DnaJ (Hsp40) homolog, subfamily B, member 4	Dnajb4	chr3 H3	C and D	3.16E-06	25.55
1416697_at	dipeptidylpeptidase 4	Dpp4	chr2 C2-D	C	1.92E-03	3.49
1439476_at	desmoglein 2	Dsg2	chr18 A2	C and D	0.004808	-3.44
1435494_s_at	Desmoplakin	Dsp	chr13 A3.3	C and D	6.309E-06	-7.30
1458643_at	deltex 1 homolog	Dtx1	chr5 F	D	7.542E-05	10.45
1428637_at	RIKEN cDNA 1810038L18 gene	Dyrk2	chr10 D2	C and D	0.0001296	2.78
1427318_s_at	dysferlin	Dysf	chr6 C3	C	2.72E-03	-5.17
1435926_at	Opsin (encephalopsin)	E030003F13Rik	chr1 H4	C and D	0.0002052	6.01
1436515_at	Mus musculus 0 day neonate lung cDNA, RIKEN full-length enriched library, clone:E030004N02 product:unknown EST, full insert sequence	E030004N02Rik	chr4 A5	C and D	0.000277	6.47
1435777_at	RIKEN cDNA E030018N11 gene	E030018N11Rik	chr7 F1	C and D	4.493E-06	-34.22
1445717_at	LUC7-like 2 (S. cerevisiae)	E130108L08Rik	---	C and D	0.0003696	14.07
1439531_at	Hypothetical protein E130311K13	E130311K13	chr3 E1	C	3.86E-03	-6.44
1453202_at	RIKEN cDNA E330016A19 gene	E330016A19Rik	chr9 E1	D	0.004502	-3.13
1422120_at	ELL associated factor 2	Eaf2	chr16 B3	C and D	2.628E-05	-9.66
1422411_s_at	Eosinophil-associated, ribonuclease A family, member 1	Ear1 /// Ear2 /// Ear3 /// Ear12	chr14 B	C and D	2.865E-06	-195.30
1448293_at	Early B-cell factor 1	Ebf1	chr11 B1.1	C	2.37E-03	3.92
1428349_s_at	Early B-cell factor 3	Ebf3	chr7 F3-F4	D	0.002972	11.87
1437356_at	Epstein-Barr virus induced gene 2	Ebi2	chr14 E5	C and D	9.625E-06	-53.01
1437800_at	EDAR (ectodysplasin-A receptor)-associated death domain	Edaradd	chr13 A1	C and D	0.0005023	7.62
1424065_at	ER degradation enhancer, mannosidase alpha-like 1	Edem1	chr6 E1	C and D	1.972E-10	-21.36
1433968_a_at	EGF-like-domain, multiple 5	Egfl5	chr4 C	C and D	0.0002329	-49.17
1419332_at	EGF-like-domain, multiple 6	Egfl6	chrX F5	C and D	0.001748	14.88
1418649_at	EGL nine homolog 3	Egln3	chr12 C1	C	1.06E-05	-6.90
1448382_at	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	Ehhadh	chr16 B1	D	2.96E-05	-34.35
1417210_at	eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked	Eif2s3y	chrY A1	D	0.0004249	-62.39
1456256_at	Eukaryotic translation initiation factor 5	Eif5	chr12 F1	D	0.0008048	3.13
1422928_at	Neutrophil elastase	Ela2	chr10 C1	C and D	8.626E-09	-100.60
1450744_at	elongation factor RNA polymerase II 2	Ell2	chr13 C1	C and D	5.93E-05	-183.40
1441891_x_at	ELOVL family member 7, elongation of long chain fatty acids	Elovl7	chr13 D2.1	C and D	0.0007536	-8.54
1449581_at	EMI domain containing 1	Emid1	chr11 A1	C	1.48E-04	6.54
1416414_at	elastin microfibril interfacer 1	Emilin1	chr5 B1	C and D	2.02E-09	-25.11
1424800_at	enabled homolog	Enah	chr1 H5	C	4.23E-03	-21.32
1419276_at	ectonucleotide pyrophosphatase/phosphodiesterase 1	Enpp1	chr10 A4	C and D	9.228E-08	-24.41
1450939_at	ectonucleoside triphosphate diphosphohydrolase 1	Entpd1	chr19 C3	C and D	3.66E-06	-19.03
1426001_at	eomesodermin homolog (Xenopus laevis)	Eomes	chr9 F3	C and D	1.279E-09	-35.11
1443675_at	Enhancer of polycomb homolog 1	Epc1	chr18 A1	D	5.06E-10	10.66
1418164_at	epimorphin	Epim	chr5 G1.3	C	1.48E-03	2.16
1439677_at	epilepsy, progressive myoclonic epilepsy, type 2 gene alpha	Epm2a	chr10 A	D	2.128E-05	4.93
1430370_at	glutamyl-prolyl-tRNA synthetase	Eprs	chr1 H4-H6	C and D	0.001394	8.77
1425733_a_at	epidermal growth factor receptor pathway substrate 8	Eps8	chr6 G1	C and D	5.221E-05	3.41
1428304_at	RIKEN cDNA 2410004I17 gene	Esco2	chr14 D1	C and D	0.0008992	4.24
1436926_at	estrogen related receptor, beta	Esrrb	chr12 D2	C and D	0.003719	6.40
1422028_a_at	E26 avian leukemia oncogene 1, 5 domain	Ets1	chr9 A4	C	5.09E-03	8.84
1435544_at	exosome component 6	Exosc6	chr8 E1	D	0.002433	8.34
1440011_at	Exostoses (multiple) 1	Ext1	chr15C	C and D	0.0007568	-11.88
1429629_at	enhancer of zeste homolog 1	Ezh1	chr11 C-D	D	0.001259	-4.27
1448929_at	coagulation factor XIII, A1 subunit	F13a1	chr13 A3.3	C and D	6.824E-09	-35.01
1437308_s_at	coagulation factor II (thrombin) receptor	F2r	chr13 D1	C and D	4.147E-05	-134.40
1448931_at	coagulation factor II (thrombin) receptor-like 1	F2rl1	chr13 D1	C and D	2.572E-06	-55.35
1441637_at	RIKEN cDNA F730047E07 gene	F730047E07Rik	chr4 A3	D	0.004378	11.26
1416021_a_at	fatty acid binding protein 5, epidermal	Fabp5	chr3 A1-3	D	0.001021	3.74
1418773_at	fatty acid desaturase 3	Fads3	chr19 B	C and D	4.849E-10	-98.48
1452513_a_at	Fanconi anemia, complementation group A	Fanca	chr8 E2	C and D	0.0003569	9.31
1440799_s_at	FERM, RhoGEF and pleckstrin domain protein 2	Farp2	chr1 D	C and D	1.872E-05	-18.04
1430986_at	Phenylalanine-tRNA synthetase-like, beta subunit	Farslb	chr1 C4	C and D	0.001767	8.65
1421855_at	fibrinogen-like protein 2	Fgl2	chr5 A3	C and D	0.0001593	-119.80
1416859_at	RIKEN cDNA C730036B14 gene	Fkbp3	chr12 C3	C	4.51E-03	4.89
1438164_x_at	Flotillin 2	Flot2	chr11 B5	D	7.686E-06	-62.41
1433833_at	RIKEN cDNA 1600019O04 gene	Fndc3b	chr3 A3	C and D	3.802E-07	-27.33
1423100_at	FBJ osteosarcoma related oncogene	Fos	chr12 D2	C and D	0.002468	-40.55
1437247_at	fos-like antigen 2	Fosl2	chr5 B1	C and D	1.381E-05	-18.68
1431088_at	forkhead box P4	Foxp4	chr17 C	C	1.07E-03	9.38
1450808_at	formyl peptide receptor 1	Fpr1	chr17 A2	C and D	4.32E-05	-38.18
1417592_at	FK506 binding protein 12-rapamycin associated protein 1	Frap1	chr4 E1	C	1.51E-05	5.82
1416514_a_at	fascin homolog 1, actin bundling protein	Fscn1	chr5 G2	C and D	2.014E-06	-433.20
1448259_at	follistatin-like 1	Fstl1	chr16 B3	D	0.002556	48.57
1442109_at	far upstream element (FUSE) binding protein 1	Fubp1	chr3 H3	C and D	2.739E-05	4.02
1455831_at	fusion, derived from t(12;16) malignant liposarcoma	Fus	chr7 F3	C and D	6.161E-05	5.43
1431066_at	fucosyltransferase 11	Fut11	chr14 B	D	0.003652	11.37
1452117_a_at	FYN binding protein	Fyb	chr15 A1	C and D	1.843E-08	-76.19
1417301_at	frizzled homolog 6	Fzd6	chr15 B3.1	C	1.38E-04	-8.66
1428245_at	glucose 6 phosphatase, catalytic, 3	G6pc3	chr11 D	C	2.37E-03	-3.45
1440868_at	GA repeat binding protein, beta 2	Gabpb2	chr3 F2	C and D	6.609E-05	7.45
1433707_at	gamma-aminobutyric acid (GABA-A) receptor, subunit alpha 4	Gabra4	chr5 C3.1	C and D	1.92E-06	-17.34
1424435_a_at	phosphoribosylglycinamide formyltransferase	Gart	chr16 C3-C4	D	0.001799	6.69
1419291_x_at	growth arrest specific 5	Gas5	chr1 H2.1	C	3.81E-03	6.48
1423569_at	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	Gatm	chr2 E5	C and D	3.464E-06	-37.96
1424698_s_at	grancalcin	Gca	chr2 C1.3	C and D	0.0004478	-19.77
1420499_at	GTP cyclohydrolase 1	Gch1	chr14 C2-3	C and D	1.126E-05	3.70
1446543_at	GCN1 general control of amino-acid synthesis 1-like 1	Gcn1l1	chr5 F	C and D	6.004E-05	9.37
1435749_at	Guanine deaminase	Gda	chr19 B	C and D	0.001168	-40.24
1449526_a_at	RIKEN cDNA 1110015E22 gene	Gdpd3	chr7 F4	C and D	6.576E-05	15.62
1419595_a_at	gamma-glutamyl hydrolase	Ggh	chr4 A3-A5	C and D	5.453E-07	-19.25
1424375_s_at	GTPase, IMAP family member 4	Gimap4	chr6 B2.3	C and D	2.621E-08	-54.52
1456061_at	GTPase, IMAP family member 8	Gimap8	chr6 B2.3	C and D	5.824E-10	-55.55
1442411_at	Glucocorticoid induced transcript 1	Glcci1	chr6 A1	D	0.001045	-5.19
1457211_at	Glutaminase	Gls	chr1 C1.1	C and D	1.471E-06	9.39
1426201_at	gene model 1499, (NCBI)	Gm1499	chr14 B	C and D	2.126E-10	-2331.00
1458506_at	gene model 1582, (NCBI)	Gm1582	chr14 B	C and D	8.97E-05	-14.64
1439935_at	gene model 99, (NCBI)	Gm99	chr19 A	C and D	7.699E-05	-15.74
1426517_at	guanine nucleotide binding protein, alpha z subunit	Gnaz	chr10 C1	C and D	5.187E-05	-13.39
1441391_at	G protein, beta polypeptide 1-like	Gnb1l	16 A3	C and D	4.316E-06	6.00
1420394_s_at	leukocyte immunoglobulin-like receptor, subfamily B, member 4	Gp49a /// Lilrb4	chr10 B3	C and D	6.745E-09	-145.90
1417389_at	glypican 1	Gpc1	chr1 D	C and D	2.308E-07	-21.50
1426463_at	Gephyrin	Gphn	chr12 D2	D	0.001167	2.17
1456741_s_at	Glycoprotein m6a	Gpm6a	chr8 B3.2	C and D	4.614E-08	-90.11
1453072_at	G protein-coupled receptor 160	Gpr160	chr3 B	C and D	7.165E-08	-184.90
1447792_x_at	G protein-coupled receptor 174	Gpr174	chrX D	C and D	3.154E-05	-56.21
1439665_at	G protein-coupled receptor 23	Gpr23	chrX D	C and D	5.032E-05	-61.12
1415812_at	gelsolin	Gsn	chr2 B	D	0.0009199	-7.25
1456036_x_at	glutathione S-transferase omega 1	Gsto1	chr19 D1	D	1.316E-05	3.27
1429184_at	RIKEN cDNA 9130002C22 gene	Gvin1	chr7 E3	C and D	2.165E-05	-25.81
1417898_a_at	granzyme A	Gzma	chr13 D	C and D	8.229E-07	-52.52
1427651_x_at	Histocompatibility 2, D region locus 1	H2-D1	chr17 B1	D	0.0004892	8.48
1452757_s_at	Hemoglobin alpha, adult chain 1	Hba-a1	chr11 A4	C and D	1.26E-07	-68.55
1454713_s_at	histidine decarboxylase	Hdc	chr2 E5-G	C and D	6.453E-05	-124.40
1434875_a_at	RIKEN cDNA 6330514M13 gene	Hmgn3	chr9 E3.1	C and D	0.002662	-12.80
1427144_at	RIKEN cDNA 2810036L13 gene	Hnrpll	chr17 E3	D	9.273E-06	-20.26
1438018_at	hook homolog 1	Hook1	chr4 C5	C and D	5.206E-08	-167.00
1439196_at	hook homolog 3	Hook3	chr8 A2	C and D	0.002767	5.26
1448881_at	haptoglobin	Hp	chr8 D3	C and D	4.96E-10	-414.70
1445597_s_at	HRAS like suppressor 3	Hrasls3	chr19 A	C and D	4.297E-05	-26.85
1449038_at	hydroxysteroid 11-beta dehydrogenase 1	Hsd11b1	chr1 H6	C and D	5.523E-08	-49.29
1425964_x_at	heat shock protein 1	Hspb1	chr5 G2	D	0.001626	8.66
1421931_at	inducible T-cell co-stimulator	Icos	chr1 C2	C and D	4.67E-06	-28.15
1422537_a_at	inhibitor of DNA binding 2	Id2	chr12 B	C and D	1.409E-07	-42.68
1416630_at	inhibitor of DNA binding 3	Id3	chr4 D3	C and D	0.00266	4.87
1423804_a_at	isopentenyl-diphosphate delta isomerase	Idi1	chr13 A1	C and D	7.012E-06	6.47
1457666_s_at	interferon activated gene 202B	Ifi202b	chr1 H3	C and D	4.154E-08	-206.10
1419603_at	interferon, gamma-inducible protein 16	Ifi204 /// Mnda	chr1 H3	C and D	1.355E-07	-114.70
1426278_at	interferon, alpha-inducible protein 27	Ifi27	chr12 E	D	0.00298	-4.37
1423754_at	interferon induced transmembrane protein 3	Ifitm3	chr7 F5	C and D	1.335E-08	-68.07
1440865_at	interferon induced transmembrane protein 6	Ifitm6	chr7 F5	C and D	4.152E-10	-121.00
1421408_at	immunoglobulin superfamily, member 6	Igsf6	chr7 F2-F3	C and D	1.741E-08	-176.90
1427165_at	interleukin 13 receptor, alpha 1	Il13ra1	chrX A3.1	C and D	4.872E-09	-34.67
1421628_at	interleukin 18 receptor 1	Il18r1	chr1 B	C and D	1.274E-08	-128.40
1456545_at	interleukin 18 receptor accessory protein	Il18rap	chr1 B	C and D	1.072E-08	-57.65
1425145_at	interleukin 1 receptor-like 1	Il1rl1	chr1 B	C and D	2.064E-07	-35.74
1420692_at	interleukin 2 receptor, alpha chain	Il2ra	chr2 A2-A3	D	7.143E-05	-5.00
1443937_at	Interleukin 2 receptor, beta chain	Il2rb	chr15 E	C and D	1.826E-07	-33.93
1448575_at	interleukin 7 receptor	Il7r	chr15 A1|	D	6.027E-06	-26.96
1439252_at	inner centromere protein	Incenp	chr19 A	C and D	0.0001509	11.36
1445724_at	IQ motif containing GTPase activating protein 1	Iqgap1	chr7 D3	C and D	2.538E-05	9.91
1433634_at	interferon regulatory factor 2 binding protein 2	Irf2bp2	chr8 E2	D	2.437E-05	2.92
1418301_at	interferon regulatory factor 6	Irf6	chr1 H6	C and D	4.822E-07	-12.28
1443969_at	Similar to Insulin receptor substrate-2 (IRS-2) (4PS)	Irs2	chr8 A1.1	C	4.78E-07	-27.68
1419569_a_at	interferon-stimulated protein	Isg20	chr7 D1	C and D	3.288E-08	-48.15
1450723_at	ISL1 transcription factor, LIM/homeodomain (islet 1)	Isl1	chr13 D2.3	D	0.0001694	20.32
1422444_at	integrin alpha 6	Itga6	chr2 C2	D	1.387E-05	3.77
1435560_at	integrin alpha L	Itgal	chr7 F3	C and D	6.315E-08	-82.95
1422046_at	integrin alpha M	Itgam	chr7 F4	D	4.41E-06	-5.28
1417534_at	integrin beta 5	Itgb5	chr16 B3	C and D	0.0002626	-13.74
1417171_at	IL2-inducible T-cell kinase	Itk	chr11 B1.1	C and D	1.683E-09	-228.00
1435884_at	Intersectin 1 (SH3 domain protein 1A)	Itsn1	chr16 C4	C and D	3.808E-06	6.45
1417409_at	Jun oncogene	Jun	chr4 C5-C7	C	7.87E-04	-31.59
1435945_a_at	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	Kcnn4	chr7 A3	C	4.09E-03	-10.20
1442029_at	Transcribed sequences	Kcnq1	chr7 F5	C	5.03E-03	-25.90
1418538_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	Kdelr3	chr15 E1	C and D	1.551E-06	-16.24
1455746_at	Kinesin family member 13A	Kif13a	chr13 B1	C	3.05E-04	-8.90
1439637_at	kinesin family member 7	Kif7	chr7 D2	C and D	0.00232	6.01
1452514_a_at	kit oncogene	Kit	chr5 C3.3	C and D	1.25E-05	-28.43
1427742_a_at	Kruppel-like factor 6	Klf6	chr13 A1	C	1.74E-03	-14.49
1419356_at	Kruppel-like factor 7	Klf7	chr1 C1-C3	C	2.10E-04	-4.22
1428289_at	Kruppel-like factor 9	Klf9	chr19 C1	C and D	0.002176	24.64
1426127_x_at	Killer cell lectin-like receptor, subfamily A, member 4	Klra18	chr6 F3	C and D	0.0009128	-4.01
1425005_at	killer cell lectin-like receptor subfamily C, member 1	Klrc1 /// Klrc2	chr6 G1-2 /// chr6 F3	C and D	4.186E-07	-125.50
1460245_at	killer cell lectin-like receptor, subfamily D, member 1	Klrd1	chr6 F3	C and D	1.918E-09	-33.19
1450495_a_at	killer cell lectin-like receptor subfamily K, member 1	Klrk1	chr6 F3	C and D	1.718E-06	-23.04
1448541_at	kinesin 2	Kns2	chr12 F1	C and D	0.0001925	13.90
1448169_at	keratin complex 1, acidic, gene 18	Krt1-18	chr15 F3	D	0.00184	-2.13
1419823_s_at	Kinase suppressor of ras	Ksr	chr11 B5	D	0.001692	-4.13
1434246_at	L(3)mbt-like 3	L3mbtl3	chr10 A4	D	0.003719	4.27
1436915_x_at	lysosomal-associated protein transmembrane 4B	Laptm4b	chr15 B3.1	C	5.93E-08	-33.30
1417780_at	longevity assurance homolog 4	Lass4	chr8 A1.2	C and D	0.0002034	-6.75
1434418_at	Longevity assurance homolog 6	Lass6	chr2 C2	C	3.51E-05	-87.16
1438687_at	RIKEN cDNA E430019B13 gene	Lax1	chr1 E4	C and D	2.422E-07	-16.54
1427747_a_at	lipocalin 2	Lcn2	chr2 A3	C and D	1.619E-09	-736.80
1434499_a_at	lactate dehydrogenase 2, B chain	Ldh2	chr6 G2	C and D	0.0005157	-43.48
1455439_a_at	lectin, galactose binding, soluble 1	Lgals1	chr15 E	D	6.183E-06	-3.13
1450988_at	G protein-coupled receptor 49	Lgr5	chr10 D2	C	4.42E-05	4.35
1436218_at	leucine-rich repeat-containing G protein-coupled receptor 6	Lgr6	chr1 E4	C and D	0.001162	4.17
1448531_at	lamin B2	Lmnb2	chr10 C|	D	0.004222	10.06
1435665_at	tripartite motif protein 30-like	LOC209387	chr7 E2	C and D	0.003113	-8.36
1456838_at	Similar to hypothetical protein FLJ31810	LOC237403	chr10 C1	C and D	0.0002134	10.48
1439295_x_at	Similar to zinc finger protein 14; gonadotropin inducible transcription repressor-4; zinc finger protein KOX6	LOC434179	chr7 B3	D	0.003867	-6.64
1460359_at	armadillo repeat containing, X-linked 3	LOC434247	chr7 F3	C and D	1.729E-06	-80.72
1457728_at	Similar to B-cell novel protein isoform 1; BCNP1	LOC434326	chr8 B3.3	C and D	0.0007163	6.00
1455436_at	DIRAS family, GTP-binding RAS-like 2	LOC544932	chr13 B1	C and D	3.161E-05	11.51
1433885_at	expressed sequence AI788777	LOC544963	chr13 D1	C and D	5.729E-05	-22.49
1441238_at	Transcribed sequence with moderate similarity to protein ref:NP_055847.1  KIAA0979 protein	LOC545754	chr5 C3.1	C and D	0.002174	4.38
1440808_x_at	RIKEN cDNA E430002D04 gene	LOC546014	chr7 F4	C and D	0.0005195	-139.40
1436740_at	Transcribed sequences	LOC546041	chr8 A1.3	C and D	2.7E-05	5.40
1442213_at	Similar to 3110007F17Rik protein	LOC552908	---	C	2.14E-04	-8.06
1434111_at	Latrophilin 2	Lphn2	chr3 H3	D	8.642E-06	4.36
1417290_at	leucine-rich alpha-2-glycoprotein 1	Lrg1	chr17 D	C and D	4.421E-09	-374.40
1434210_s_at	leucine-rich repeats and immunoglobulin-like domains 1	Lrig1	chr6 D2	C	2.67E-04	8.34
1430554_at	leucine-rich repeats and immunoglobulin-like domains 3	Lrig3	chr10 D3	D	0.0001696	11.24
1448409_at	lymphoid-restricted membrane protein	Lrmp	chr6 G3	C and D	2.71E-09	8.78
1433864_at	low density lipoprotein-related protein 12	Lrp12	chr15 B3.1	C and D	0.003147	-8.39
1436538_at	RIKEN cDNA 2310006J04 gene	Lrp2bp	chr8 B2	C and D	6.042E-06	8.53
1451804_a_at	Leucine rich repeat containing 16	Lrrc16	chr13 A3.2	C	1.84E-05	4.39
1419135_at	lymphotoxin B	Ltb	chr17 B1	C and D	8.388E-06	-169.10
1417777_at	leukotriene B4 12-hydroxydehydrogenase	Ltb4dh	chr4 C1	C	1.90E-03	9.05
1420407_at	leukotriene B4 receptor 1	Ltb4r1	chr14 C2	C and D	3.011E-12	-241.80
1450009_at	lactotransferrin	Ltf	chr9 F	C and D	1.448E-07	-104.10
1417185_at	lymphocyte antigen 6 complex, locus A	Ly6a	chr15 D3	C and D	4.916E-05	-35.12
1421571_a_at	lymphocyte antigen 6 complex, locus C	Ly6c	chr15 D3|	C and D	3.993E-09	-39.37
1423547_at	lysozyme	Lyzs	chr10 D2	C and D	5.509E-10	-61.37
1416424_at	mannose-6-phosphate receptor binding protein 1	M6prbp1	chr17 D	C and D	6.609E-07	-36.35
1456060_at	RIKEN cDNA 6030439D06 gene	Maf	chr8 E1	C and D	2.184E-06	-48.67
1450062_a_at	melanoma antigen, family D, 1	Maged1	chrX C3	D	6.572E-09	-73.58
