HGNC Identifier	Description	Foldchange EB/ MK	Ensembl ID
TCF3	Transcription factor E2-alpha (Immunoglobulin enhancer binding factor E12/E47) (Transcription factor-3) (TCF-3) (Immunoglobulin transcription factor-1) (Transcription factor ITF-1) (Kappa-E2-binding factor). [Source:SWISSPROT;Acc:P15923]	2.869107412	ENSG00000071564
ANKRD25	ankyrin repeat domain 25. [Source:RefSeq;Acc:NM_015493]	2.862458453	ENSG00000197256
TMOD1	Tropomodulin-1 (Erythrocyte tropomodulin) (E-Tmod).	2.859215089	ENSG00000136842
DDIT3	Growth arrest and DNA-damage-inducible protein GADD153 (DNA-damage inducible transcript 3) (DDIT3) (C/EBP-homologous protein) (CHOP). [Source:SWISSPROT;Acc:P35638]	2.84169453	ENSG00000175197
PDXK	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase). [Source:SWISSPROT;Acc:O00764]	2.841404748	ENSG00000160209
NFIX	Nuclear factor 1 X-type (Nuclear factor 1/X) (NF1-X) (NFI-X) (NF-I/X) (CCAAT-box binding transcription factor) (CTF) (TGGCA-binding protein). [Source:SWISSPROT;Acc:Q14938]	2.816622522	ENSG00000008441
HAGH	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (GLX II). [Source:SWISSPROT;Acc:Q16775]	2.799140845	ENSG00000063854
NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4 isoform alpha; diphosphoinositol polyphosphate phosphohydrolase type 2. [Source:RefSeq;Acc:NM_019094]	2.796506798	ENSG00000173598
FBXO6	F-box only protein 6 (F-box/G-domain protein 2). [Source:SWISSPROT;Acc:Q9NRD1]	2.795110711	ENSG00000116663
KEL	Kell blood group glycoprotein (EC 3.4.24.-) (CD238 antigen). [Source:SWISSPROT;Acc:P23276]	2.790144544	ENSG00000197993
ARRDC2	arrestin domain containing 2. [Source:RefSeq;Acc:NM_015683]	2.782764341	ENSG00000105643
TP53BP2	Apoptosis stimulating of p53 protein 2 (Tumor suppressor p53-binding protein 2) (p53-binding protein 2) (53BP2) (Bcl2-binding protein) (Bbp). [Source:SWISSPROT;Acc:Q13625]	2.775368408	ENSG00000143514
MARCH3	Blasts to: MARCH-3	2.767627862	ENSG00000173926
C9orf5	Protein C9orf5 (Protein CG-2)	2.762031983	ENSG00000106771
TOB1	Tob1 protein (Transducer of erbB-2 1). [Source:SWISSPROT;Acc:P50616]	2.749616519	ENSG00000141232
HSD3B7	3 beta-hydroxy-delta 5-C27-steroid oxidoreductase; C(27)-3BETA-HSD. [Source:RefSeq;Acc:NM_025193]	2.74087416	ENSG00000099377
KIF2	Kinesin-like protein KIF2 (Kinesin-2) (HK2)	2.739173532	ENSG00000068796
HDAC6	Histone deacetylase 6 (HD6). [Source:SWISSPROT;Acc:Q9UBN7]	2.737225324	ENSG00000094631
HRBL	HIV-1 Rev-binding protein-like protein; Rev/Rex activation domain binding protein-related. [Source:RefSeq;Acc:NM_006076]	2.733749779	ENSG00000106351
ZNF165	Zinc finger protein 165 (LD65). [Source:SWISSPROT;Acc:P49910]	2.723253206	ENSG00000137362
MOSPD1	motile sperm domain containing 1. [Source:RefSeq;Acc:NM_019556]	2.703040633	ENSG00000101928
STRBP	spermatid perinuclear RNA-binding protein. [Source:RefSeq;Acc:NM_018387]	2.69499563	ENSG00000165209
CYB5	Cytochrome b5. [Source:SWISSPROT;Acc:P00167]	2.682888428	ENSG00000166347
SLC11A2	Natural resistance-associated macrophage protein 2 (NRAMP 2) (Divalent metal transporter 1) (DMT1). [Source:SWISSPROT;Acc:P49281]	2.658676959	ENSG00000110911
FKBPL	FK506 binding protein like. [Source:RefSeq;Acc:NM_022110]	2.641585793	ENSG00000177906
NP_055857.1	zinc finger protein 609 [Source:RefSeq_peptide;Acc:NP_055857]	2.637654373	ENSG00000180357
TBC1D4	TBC1 domain family member 4 (Akt substrate of 160 kDa) (AS160)	2.629958023	ENSG00000136111
HSDL2	hydroxysteroid dehydrogenase like 2 [Source:RefSeq_peptide;Acc:NP_115679]	2.621712122	ENSG00000119471
C3orf37	DC12 protein. [Source:RefSeq;Acc:NM_020187]	2.60337387	ENSG00000183624
LDB1	LIM domain binding 1; carboxy terminal LIM domain protein 2; LIM domain-binding factor-1. [Source:RefSeq;Acc:NM_003893]	2.599042495	ENSG00000198728
UTP18	WD-repeat protein CGI-48. [Source:SWISSPROT;Acc:Q9Y5J1]	2.584028498	ENSG00000011260
PRKAB1	5-AMP-activated protein kinase, beta-1 subunit (AMPK beta-1 chain) (AMPKb). [Source:SWISSPROT;Acc:Q9Y478]	2.567674901	ENSG00000111725
TYW1	radical S-adenosyl methionine and flavodoxin domains 1	2.567125285	ENSG00000198874
VEGF	Vascular endothelial growth factor A precursor (VEGF-A) (Vascular permeability factor) (VPF)	2.565686593	ENSG00000112715
C21orf124	C21orf124	2.555164081	ENSG00000160209
MELK	maternal embryonic leucine zipper kinase. [Source:RefSeq;Acc:NM_014791]	2.5494196	ENSG00000165304
BTRC	F-box/WD-repeat protein 1A (F-box and WD-repeats protein beta-TrCP) (E3RSIkappaB) (pIkappaBalpha-E3 receptor subunit). [Source:SWISSPROT;Acc:Q9Y297]	2.546682649	ENSG00000166167
GAD1	Glutamate decarboxylase, 67 kDa isoform (EC 4.1.1.15) (GAD-67) (67 kDa glutamic acid decarboxylase). [Source:SWISSPROT;Acc:Q99259]	2.538033944	ENSG00000128683
ALS2	Alsin (Amyotrophic lateral sclerosis protein 2). [Source:SWISSPROT;Acc:Q96Q42]	2.53663345	ENSG00000003393
PPME1	Protein phosphatase methylesterase 1	2.530635317	ENSG00000189311
BSDC1	BSD domain containing 1 [Source:RefSeq_peptide;Acc:NP_060515]	2.530621436	ENSG00000160058
SCMH1	sex comb on midleg homolog 1. [Source:RefSeq;Acc:NM_012236]	2.524951758	ENSG00000010803
ASB1	Ankyrin repeat and SOCS box containing protein 1 (ASB-1). [Source:SWISSPROT;Acc:Q9Y576]	2.514129112	ENSG00000065802
TNS	tensin. [Source:RefSeq;Acc:NM_022648]	2.510134414	ENSG00000079308
EPHB4	Ephrin type-B receptor 4 precursor (EC 2.7.1.112) (Tyrosine-protein kinase receptor HTK). [Source:SWISSPROT;Acc:P54760]	2.509582378	ENSG00000196411
TSC22D1	Regulatory protein TSC-22 (TGFB stimulated clone 22 homolog). [Source:SWISSPROT;Acc:Q15714]	2.500597249	ENSG00000102804
HOXB2	Homeobox protein Hox-B2 (Hox-2H) (Hox-2.8) (K8). [Source:SWISSPROT;Acc:P14652]	2.497414809	ENSG00000173917
MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2 (EC 2.7.1.-) (MAP kinase kinase 2) (MAPKK 2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK2). [Source:SWISSPROT;Acc:P36507]	2.497396743	ENSG00000126934
PGPEP1	Pyroglutamyl-peptidase I (EC 3.4.19.3) (Pyrrolidone-carboxylate peptidase) (5-oxoprolyl-peptidase) (PGP-I). [Source:SWISSPROT;Acc:Q9NXJ5]	2.491166935	ENSG00000130517
TMEM14B	Transmembrane protein 14B. [Source:SWISSPROT;Acc:Q9NUH8]	2.48479659	ENSG00000137210
TNFRSF12A	Tumor necrosis factor receptor superfamily member Fn14 precursor (Fibroblast growth factor-inducible immediate-early response protein 14) (FGF-inducible 14) (Tweak-receptor) (TweakR). [Source:SWISSPROT;Acc:Q9NP84]	2.483653016	ENSG00000006327
E2F4	Transcription factor E2F4 (E2F-4). [Source:SWISSPROT;Acc:Q16254]	2.470741044	ENSG00000007968
ISG20L1	Interferon stimulated exonuclease gene 20kDa-like 1 [Source:RefSeq_peptide;Acc:NP_073604]	2.457442155	ENSG00000181026
MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3 (EC 2.7.1.-) (MAP kinase kinase 3) (MAPKK 3) (MAPK/ERK kinase 3). [Source:SWISSPROT;Acc:P46734]	2.447937038	ENSG00000034152
KEL	Kell blood group glycoprotein	2.440301025	ENSG00000197993
CFLAR	CASP8 and FADD-like apoptosis regulator precursor (Cellular FLICE-like inhibitory protein) (c-FLIP) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (MACH-related inducer of toxicity) (MRIT) (Caspase homolog) (CASH) (Inhibitor of FLICE) (I-FLICE) (FADD-like antiapoptotic molecule 1) (Flame-1) (Usurpin). [Source:SWISSPROT;Acc:O15519]	2.435598337	ENSG00000003402
PDE4DIP	Similar to rat myomegalin. [Source:SPTREMBL;Acc:Q8TAY9]	2.419795352	ENSG00000178104
AMHR2	Anti-Muellerian hormone type II receptor precursor (EC 2.7.1.37) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII). [Source:SWISSPROT;Acc:Q16671]	2.419384327	ENSG00000135409
E2F2	Transcription factor E2F2 (E2F-2). [Source:SWISSPROT;Acc:Q14209]	2.415161737	ENSG00000007968
TTC12	Tetratricopeptide repeat protein 12 (TPR repeat protein 12). [Source:SWISSPROT;Acc:Q9H892]	2.413345926	ENSG00000149292
NCOA1	nuclear receptor coactivator 1 isoform 1. [Source:RefSeq;Acc:NM_003743]	2.4093301	ENSG00000084676
ADCK1	aarF domain containing kinase 1. [Source:RefSeq;Acc:NM_020421]	2.408724784	ENSG00000063761
LLGL2	lethal giant larvae homolog 2. [Source:RefSeq;Acc:NM_004524]	2.408712528	ENSG00000073350
EPB41	Protein 4.1 (Band 4.1) (P4.1) (EPB4.1) (4.1R). [Source:SWISSPROT;Acc:P11171]	2.407391731	ENSG00000159023
SFT2D3	Vesicle transport protein SFT2C (SFT2 domain-containing protein 3)	2.393737378	ENSG00000173349
C8orf70	C8orf70	2.390328904	ENSG00000104427
HBS1L	HBS1-like. [Source:RefSeq;Acc:NM_006620]	2.374173786	ENSG00000112339
IMPG1	interphotoreceptor matrix proteoglycan 1. [Source:RefSeq;Acc:NM_001563]	2.372985872	ENSG00000112706
ASB4	Ankyrin repeat and SOCS box containing protein 4 (ASB-4). [Source:SWISSPROT;Acc:Q9Y574]	2.365520604	ENSG00000005981
RP11-517D11.3	apoptosis inhibitor 5 (API5) pseudogene	2.365052096	OTTHUMG00000022242
APG4A	autophagy-related cysteine endopeptidase 2 isoform a; autophagy-related cysteine endopeptidase 2; AUT-like 2, cysteine endopeptidase (S. cerevisiae); autophagin 2. [Source:RefSeq;Acc:NM_052936]	2.361283715	ENSG00000101844
DUSP2	Dual specificity protein phosphatase 2 (EC 3.1.3.48) (EC 3.1.3.16) (Dual specificity protein phosphatase PAC-1). [Source:SWISSPROT;Acc:Q05923]	2.357443348	ENSG00000158050
C2orf18	Centromere protein A (CENP-A) (Centromere autoantigen A). [Source:SWISSPROT;Acc:P49450]	2.354542957	ENSG00000115163
PTPN4	Protein tyrosine phosphatase, non-receptor type 4 (EC 3.1.3.48) (Protein-tyrosine phosphatase MEG1) (PTPase-MEG1) (MEG). [Source:SWISSPROT;Acc:P29074]	2.352844537	ENSG00000088179
KIAA1641	CLL-associated antigen KW-1 splice variant 2 (Fragment). [Source:SPTREMBL;Acc:Q8TDH5]	2.343074628	ENSG00000174501
NAB2	NGFI-A binding protein 2 (EGR-1 binding protein 2) (Melanoma- associated delayed early response protein) (MADER protein). [Source:SWISSPROT;Acc:Q15742]	2.332341184	ENSG00000166886
NP_060345.1	No description	2.327944053	ENSG00000144659
AP3S2	Adapter-related protein complex 3 sigma 2 subunit (Sigma-adaptin 3b) (AP-3 complex sigma-3B subunit) (Sigma-3B-adaptin). [Source:SWISSPROT;Acc:P59780]	2.318341241	ENSG00000157823
MGST3	Microsomal glutathione S-transferase 3 (EC 2.5.1.18) (Microsomal GST- 3) (Microsomal GST-III). [Source:SWISSPROT;Acc:O14880]	2.305424605	ENSG00000143198
MRPS17	28S ribosomal protein S17, mitochondrial precursor (MRP-S17) (HSPC011). [Source:SWISSPROT;Acc:Q9Y2R5]	2.286394588	ENSG00000154999
APLP2	Amyloid-like protein 2 precursor (Amyloid protein homolog) (APPH) (CDEI box-binding protein) (CDEBP)	2.271454012	ENSG00000084234
CAT	Catalase (EC 1.11.1.6). [Source:SWISSPROT;Acc:P04040]	2.263622814	ENSG00000121691
C6orf197	TBC1 domain family protein C6orf197 (Fragment). [Source:SWISSPROT;Acc:Q9NU19]	2.260049644	ENSG00000065491
FBXO7	F-box only protein 7. [Source:SWISSPROT;Acc:Q9Y3I1]	2.25877204	ENSG00000100225
PLEKHH3	No description	2.256889142	ENSG00000068137
IPO11	Ran binding protein 11. [Source:RefSeq;Acc:NM_016338]	2.254700533	ENSG00000086200
CEBPB	CCAAT/enhancer binding protein beta (C/EBP beta) (Nuclear factor NF-IL6) (Transcription factor 5). [Source:SWISSPROT;Acc:P17676]	2.241999188	ENSG00000172216
CBX8	Chromobox protein homolog 8 (Polycomb 3 homolog) (Pc3) (HPC3) (Rectachrome 1). [Source:SWISSPROT;Acc:Q9HC52]	2.234797765	ENSG00000141570
MPZL1	myelin protein zero-like 1; protein zero related. [Source:RefSeq;Acc:NM_003953]	2.230259881	ENSG00000197965
GEMIN4	Component of gems 4 (Gemin4) (p97). [Source:SWISSPROT;Acc:P57678]	2.229034357	ENSG00000179409
PQLC1	PQ loop repeat containing 1. [Source:RefSeq;Acc:NM_025078]	2.220063554	ENSG00000122490
CLCN3	Chloride channel protein 3 (ClC-3). [Source:SWISSPROT;Acc:P51790]	2.218014858	ENSG00000109572
SLC25A4	ADP,ATP carrier protein, heart/skeletal muscle isoform T1 (ADP/ATP translocase 1) (Adenine nucleotide translocator 1) (ANT 1). [Source:SWISSPROT;Acc:P12235]	2.208571314	ENSG00000151729
SLC38A5	amino acid transport system N2. [Source:RefSeq;Acc:NM_033518]	2.203592185	ENSG00000017483
Q8TEB0_HUMAN	No description	2.203382182	ENSG00000197801
LMLN	leishmanolysin-like (metallopeptidase M8 family); leishmanolysin-2. [Source:RefSeq;Acc:NM_033029]	2.201318156	ENSG00000185621
PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase, type I, beta. [Source:RefSeq;Acc:NM_003558]	2.201071782	ENSG00000107242
NP_060342.2	interphase cyctoplasmic foci protein 45. [Source:RefSeq;Acc:NM_017872]	2.197474077	ENSG00000113272
ANXA4	Annexin A4 (Annexin IV) (Lipocortin IV) (Endonexin I) (Chromobindin 4) (Protein II) (P32.5) (Placental anticoagulant protein II) (PAP-II) (PP4-X) (35-beta calcimedin) (Carbohydrate-binding protein P33/P41) (P33/41). [Source:SWISSPROT;Acc:P09525]	2.192579293	ENSG00000196975
GBGT1	Forssman glycolipid synthetase; globoside alpha-1,3-N-acetylgalactosaminyltransferase. [Source:RefSeq;Acc:NM_021996]	2.192536491	ENSG00000148288
SLC27A6	solute carrier family 27 (fatty acid transporter), member 6; very long-chain acyl-CoA synthetase homolog 1. [Source:RefSeq;Acc:NM_014031]	2.171591207	ENSG00000113396
TUBG2	Tubulin gamma-2 chain (Gamma-2 tubulin). [Source:SWISSPROT;Acc:Q9NRH3]	2.170342504	ENSG00000037042
SNX9	Sorting nexin 9 (SH3 and PX domain-containing protein 1) (SDP1 protein). [Source:SWISSPROT;Acc:Q9Y5X1]	2.16525878	ENSG00000130340
RNH	Placental ribonuclease inhibitor (Ribonuclease/angiogenin inhibitor) (RAI) (RNase inhibitor) (RI). [Source:SWISSPROT;Acc:P13489]	2.163115462	ENSG00000023191
MED25	ARC/mediator transcriptional coactivator subunit; prostate-derived protein 78 kDa; activator interaction domain 1 protein. [Source:RefSeq;Acc:NM_030973]	2.15942406	ENSG00000104973
FGF3	INT-2 proto-oncogene protein precursor (Fibroblast growth factor-3) (FGF-3) (HBGF-3). [Source:SWISSPROT;Acc:P11487]	2.156829977	ENSG00000186895
Q6ZWC0_HUMAN	CDNA FLJ41343 fis, clone BRAWH2001973	2.148962238	ENSG00000186543
SULT1A4	Monoamine-sulfating phenol sulfotransferase (EC 2.8.2.1) (Sulfotransferase, monoamine-preferring) (M-PST) (Thermolabile phenol sulfotransferase) (TL-PST) (Placental estrogen sulfotransferase) (Catecholamine-sulfating phenol sulfotransferase) (HAST3). [Source:SWISSPROT;Acc:P50224]	2.141443675	ENSG00000181625
MYLIP	myosin regulatory light chain interacting protein; band 4.1 superfamily member BZF1. [Source:RefSeq;Acc:NM_013262]	2.135741442	ENSG00000007944
FAM83H	No description	2.13464254	ENSG00000180921
SMARCA3	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin a3; SNF2-like 3; helicase-like transcription factor; DNA-binding protein/plasminogen activator inhibitor-1 regulator; sucrose nonfermenting-like 3. [Source:RefSeq;Acc:NM_003071]	2.131799855	ENSG00000071794
C20orf20	C20orf20	2.127343925	ENSG00000101189
TM2D3	BBP-like protein 2 isoform b. [Source:RefSeq;Acc:NM_025141]	2.114991965	ENSG00000184277
MAGEF1	Melanoma-associated antigen F1 (MAGE-F1 antigen). [Source:SWISSPROT;Acc:Q9HAY2]	2.112376149	ENSG00000177383
LMO2	Rhombotin-2 (Cysteine-rich protein TTG-2) (T-cell translocation protein 2) (LIM-only protein 2). [Source:SWISSPROT;Acc:P25791]	2.105998159	ENSG00000135363
RNF5_HUMAN	Ubiquitin-protein ligase RMA1 (EC 6.3.2.-) (HsRma1) (RING finger protein 5) (Protein G16)	2.099675612	ENSG00000204308
ATPIF1	ATPase inhibitor, mitochondrial precursor. [Source:SWISSPROT;Acc:Q9UII2]	2.095979166	ENSG00000130770
STAR	Steroidogenic acute regulatory protein, mitochondrial precursor (StAR) (StARD1). [Source:SWISSPROT;Acc:P49675]	2.088712826	ENSG00000147465
MTF1	Metal-regulatory transcription factor 1 (Transcription factor MTF-1) (MRE-binding transcription factor)	2.087290014	ENSG00000188786
MC1R	Tubulin beta-4 chain (Tubulin beta-III). [Source:SWISSPROT;Acc:Q13509]	2.087203306	ENSG00000159247
WDR10	WD-repeat protein 10. [Source:SWISSPROT;Acc:Q9HBG6]	2.08664036	ENSG00000163913
WDR59	WD repeat domain 59	2.076525944	ENSG00000103091
RPL23AP7	Similar to ribosomal protein L23a. [Source:SPTREMBL;Acc:Q9BW69]	2.064581307	ENSG00000184319
MRPS2	Mitochondrial 28S ribosomal protein S2 (MRP-S2) (CGI-91). [Source:SWISSPROT;Acc:Q9Y399]	2.063201864	ENSG00000122140
RFP2	Ret finger protein 2 (Leukemia associated protein 5) (B-cell chronic lymphocytic leukemia tumor suppressor Leu5) (Putative tumor suppressor RFP2) (Tripartite motif protein 13). [Source:SWISSPROT;Acc:O60858]	2.061333793	ENSG00000204977
BAIAP2	BAI1-associated protein 2 isoform 3. [Source:RefSeq;Acc:NM_006340]	2.052780861	ENSG00000175866
ASCC3L1	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.1.-) (U5 snRNP-specific 200 kDa protein) (U5-200KD) (Fragment). [Source:SWISSPROT;Acc:O75643]	2.047422685	ENSG00000144028
RCL1	RNA 3-terminal phosphate cyclase-like protein (HSPC338). [Source:SWISSPROT;Acc:Q9Y2P8]	2.047247486	ENSG00000120158
ALDH3B1	Aldehyde dehydrogenase 7 (EC 1.2.1.5). [Source:SWISSPROT;Acc:P43353]	2.046896204	ENSG00000006534
GFOD2	No description	2.022435123	ENSG00000141098
NRIP3	Nuclear receptor interacting protein 3 (Sarcoma antigen NY-SAR-105). [Source:SWISSPROT;Acc:Q9NQ35]	2.0089908	ENSG00000175352
NP_060151.1	No description	2.006523487	ENSG00000198088
FGFR1OP	FGFR1 oncogene partner isoform a; fibroblast growth factor receptor 1 oncogene partner. [Source:RefSeq;Acc:NM_007045]	2.006112997	ENSG00000112486
PEO1	twinkle; gp4-like protein with intramitochondrial nucleoid localization. [Source:RefSeq;Acc:NM_021830]	2.005973339	ENSG00000107815
BEX1	brain expressed, X-linked 1; uncharacterized hypothalamus protein HBEX2. [Source:RefSeq;Acc:NM_018476]	2.005535002	ENSG00000133169
PLOD3	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 precursor (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3). [Source:SWISSPROT;Acc:O60568]	2.004514827	ENSG00000106397
THBS3	Thrombospondin 3 precursor. [Source:SWISSPROT;Acc:P49746]	2.004133965	ENSG00000169231
