Gene symbol	Chromosomal location	Gene name	Cell line	Fold change
RAN	12q24.3	RAN, member RAS oncogene family	NCI-H929	-5.6
RASGRP3	2p25.1-p24.1	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	U266	-6.8
RHOH	4p13	ras homolog gene family, member H	U266	-5.2
RORA	15q21-q22	RAR-related orphan receptor A	U266	-5.2
RPS19	19q13.2	ribosomal protein S19	NCI-H929	-10.1
RRS1	8q13.1	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)	NCI-H929	-7.2
S100A11	1q21	S100 calcium binding protein A11 (calgizzarin)	NCI-H929	-8.5
SDC1	2p24.1	syndecan 1	U266	-6.9
SEC24D	4q26	SEC24 related gene family, member D (S. cerevisiae)	MM1	-8.9
SELPLG	12q24	selectin P ligand	U266, NCI-H929	-25.8, -6.6
SERP1	3q25.1	stress-associated endoplasmic reticulum protein 1	MM1	-4.2
SERPINH1	11q13.5	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	MM1	-98.9
SET	9q34	SET translocation (myeloid leukemia-associated)	NCI-H929	-4.7
SETBP1	18q21.1	SET binding protein 1	NCI-H929	-4.7
SFPQ	1p34.3	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)	NCI-H929	-7.3
SFRS7	2p22.1	splicing factor, arginine/serine-rich 7, 35kDa	NCI-H929	-5.1
SH2D1A	Xq25-q26	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	U266	-20.7
SHMT2	12q12-q14	serine hydroxymethyltransferase 2 (mitochondrial)	MM1	-5.1
SLA	8q22.3-qter|8q24	Src-like-adaptor	U266	-5.8
SLC16A6	17q24.2	solute carrier family 16 (monocarboxylic acid transporters), member 6	MM1, U266	-11.8, -10.5
SLC19A1	21q22.3	solute carrier family 19 (folate transporter), member 1	MM1	-4.6
SLC1A4	2p15-p13	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	MM1	-5.1
SLC33A1	3q25.31	solute carrier family 33 (acetyl-CoA transporter), member 1	MM1	-6.1
SLC38A1	12q13.11	solute carrier family 38, member 1	MM1, NCI-H929	-8.7, -11.3
SLC3A2	11q13	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	MM1	-10.4
SLC6A15	12q21.3	solute carrier family 6, member 15	NCI-H929	-7.4
SLC7A11	4q28-q32	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	MM1	-10.6
SLC7A5	16q24.3	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	MM1, NCI-H929	-10.1, -5.3
SLICK	1q31.3	Potassium channel, subfamily T, member 2	U266	-8.6
SMYD5	2p13.2	SMYD family member 5	NCI-H929	-9.7
SNF1LK	21q22.3	SNF1-like kinase	NCI-H929	-5.0
SNTB1	8q23-q24	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)	U266	-7.1
SORD	15q15.3	sorbitol dehydrogenase	NCI-H929	-6.3
SOX11	2p25	SRY (sex determining region Y)-box 11	U266	-10.0
SSX4	Xp11.23	synovial sarcoma, X breakpoint 4	U266	-4.7
ST3GAL6	3q12.1	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	NCI-H929	-7.8
ST6GAL1	3q27-q28	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	U266	-13.4
ST7	7q31.1-q31.3	suppression of tumorigenicity 7	NCI-H929	-8.0
STAG2	Xq25	stromal antigen 2	NCI-H929	-5.6
SULF1	8q13.2-q13.3	sulfatase 1	MM1	-5.8
SUMO3	21q22.3	SMT3 suppressor of mif two 3 homolog 3 (yeast)	NCI-H929	-6.7
TAPBPL	12p13.31	TAP binding protein-like	NCI-H929	-6.3
TCF4	18q21.1	Transcription factor 4	NCI-H929	-6.1
TENS1	7p13-p12.3	Tensin 3	NCI-H929	-19.6
THEDC1	10p13	thioesterase domain containing 1	MM1	-6.9
TIMM44	19p13.3-p13.2	translocase of inner mitochondrial membrane 44 homolog (yeast)	MM1	-19.1
TLK1	2q31.1	tousled-like kinase 1	NCI-H929	-5.9
TMED1	19p13.2	transmembrane emp24 protein transport domain containing 1	U266	-5.7
TMPRSS3	21q22.3	transmembrane protease, serine 3	U266	-4.4
TNFRSF10D	8p21	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain	MM1	-13.3
TNFRSF17	16p13.1	tumor necrosis factor receptor superfamily, member 17	U266, NCI-H929	-21.9, -1115.3
TPP1	11p15	tripeptidyl peptidase I	MM1	-31.3
TRA1	12q24.2-q24.3	tumor rejection antigen (gp96) 1	MM1	-29.4
TRAF3IP3	1q32.3-q41	TRAF3 interacting protein 3	U266, NCI-H929	-7.6, -24.7
TRBV21-1	7q34	T cell receptor beta variable 21-1	U266	-6.6
TRIB3	20p13-p12.2	tribbles homolog 3 (Drosophila)	MM1	-13.0
TSHR	14q31	thyroid stimulating hormone receptor	NCI-H929	-23.9
TYMS	18p11.32	thymidylate synthetase	NCI-H929	-5.5
UBE2E1	3p24.2	ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)	NCI-H929	-7.0
UBE2J1	6q15	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	NCI-H929	-7.0
UCK2	1q23	uridine-cytidine kinase 2	NCI-H929	-5.7
VARS	6p21.3	valyl-tRNA synthetase	U266	-9.5
WASPIP	2q31.1	Wiskott-Aldrich syndrome protein interacting protein	NCI-H929	-7.8
WHSC1	4p16.3	Wolf-Hirschhorn syndrome candidate 1	U266, NCI-H929	-7.7, -4.6
WISP1	8q24.1-q24.3	WNT1 inducible signaling pathway protein 1	U266	-5.1
WNT5B	12p13.3	wingless-type MMTV integration site family, member 5B	NCI-H929	-16.1
XBP1	22q12.1|22q12	X-box binding protein 1	U266, NCI-H929	-5.4, -7.2
ZBTB38	3q23	zinc finger and BTB domain containing 38	U266, NCI-H929	-7.4, -21.7
ZFHX1B	2q22	zinc finger homeobox 1b	NCI-H929	-7.3
ZHX2	8q24.13	zinc fingers and homeoboxes 2	MM1, NCI-H929	-6.7, -13.1
ZNF278	22q12.2	zinc finger protein 278	NCI-H929	-16.1
ZNF532	18q21.32	zinc finger protein 532	NCI-H929	-32.5
ZRF1	7q22-q32	zuotin related factor 1	NCI-H929	-5.5
214836_x_at		Immunoglobulin kappa light chain VJ region (ID POM010)	U266	-5.6
222001_x_at	1q21.1	LOC440669	MM1	-14.2
81737_at	16p13.11	Similar to Group X secretory phospholipase A2 precursor	MM1	-8.2
ALDH3B1	11q13	aldehyde dehydrogenase 3 family, member B1	MM1	-11.5
ALG8	11q14.1	asparagine-linked glycosylation 8 homolog (yeast, alpha-1,3-glucosyltransferase)	NCI-H929	-4.7
ANK3	10q21	Ankyrin 3, node of Ranvier (ankyrin G)	MM1, NCI-H929	-8.0, -30.9
ANP32B	9q22.32	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	MM1, NCI-H929	-5.3, -10.2
ATF3	1q32.3	activating transcription factor 3	MM1	-6.9
ATF4	22q13.1	activating transcription factor 4 (tax-responsive enhancer element B67)	MM1	-6.8
ATF5	19q13.3	activating transcription factor 5	MM1	-7.7
AUTS2	7q11.22	autism susceptibility candidate 2	NCI-H929	-4.6
AVEN	15q13.1	apoptosis, caspase activation inhibitor	NCI-H929	-5.5
BAG3	10q25.2-q26.2	BCL2-associated athanogene 3	MM1	-7.5
BCL2	18q21.33|18q21.3	B-cell CLL/lymphoma 2	MM1, NCI-H929	-5.2, -7.7
BCL2L1	20q11.21	BCL2-like 1	U266	-13.6
BCL3	19q13.1-q13.2	B-cell CLL/lymphoma 3	NCI-H929	-5.4
BHLHB2	3p26	basic helix-loop-helix domain containing, class B, 2	NCI-H929	-9.0
BLNK	10q23.2-q23.33	B-cell linker	U266	-5.2
BTN3A2	6p22.1	butyrophilin, subfamily 3, member A2	U266, NCI-H929	-10.2, -14.0
C11orf41	11p13	chromosome 11 open reading frame 41	NCI-H929	-9.1
C14orf139	14q32.13	chromosome 14 open reading frame 139	NCI-H929	-6.2
C1orf121	1q44	chromosome 1 open reading frame 121	NCI-H929	-5.8
C1orf24	1q25	chromosome 1 open reading frame 24	MM1	-7.5
C20orf19	20pter-q11.23	chromosome 20 open reading frame 19	MM1	-6.5
C20orf42	20p12.3	chromosome 20 open reading frame 42	NCI-H929	-15.0
C2orf10	2q32.1	chromosome 2 open reading frame 10	MM1	-6.4
C5orf14	5q31.1	chromosome 5 open reading frame 14	MM1	-6.4
C6orf48	6p21.3	chromosome 6 open reading frame 48	MM1	-5.8
CAPN2	1q41-q42	calpain 2, (m/II) large subunit	NCI-H929	-5.1
CASP1	11q23	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	MM1	-20.7
CBR3	21q22.2	carbonyl reductase 3	MM1	-5.3
CBS	21q22.3	cystathionine-beta-synthase	MM1	-5.0
CCND1	11q13	cyclin D1	U266	-11.0
CCND2	12p13	cyclin D2	MM1, U266, NCI-H929	-4.6, -5.6, -6.0
CCPG1	15q21.1	cell cycle progression 1	MM1	-5.0
CCR1	3p21	chemokine (C-C motif) receptor 1	U266, NCI-H929	-6.5, -7.0
CCR2	3p21	chemokine (C-C motif) receptor 2	U266	-8.2
CD180	5q12	CD180 antigen	U266	-10.5
CD28	2q33	CD28 antigen (Tp44)	MM1, U266, NCI-H929	-28.9, -9.2, -16.7
CD48	1q21.3-q22	CD48 antigen (B-cell membrane protein)	MM1	-12.4
CD58	1p13	CD58 antigen, (lymphocyte function-associated antigen 3)	MM1	-5.7
CD79B	17q23	CD79B antigen (immunoglobulin-associated beta)	U266	-7.6
CDKN1B	12p13.1-p12	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	NCI-H929	-9.9
CDKN2A	9p21	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	MM1	-6.4
CDKN2C	1p32	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	NCI-H929	-9.3
CEACAM1	19q13.2	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	U266	-9.1
CEBPB	20q13.1	CCAAT/enhancer binding protein (C/EBP), beta	MM1	-11.1
CEBPG	19q13.11	CCAAT/enhancer binding protein (C/EBP), gamma	MM1	-5.9
CFLAR	2q33-q34	CASP8 and FADD-like apoptosis regulator	MM1, U266, NCI-H929	-5.7, -4.8, -6.5
CLEC2B	12p13-p12	C-type lectin domain family 2, member B	NCI-H929	-8.2
CLEC7A	12p13.2-p12.3	C-type lectin domain family 7, member A	U266	-9.6
CLIC2	Xq28	chloride intracellular channel 2	MM1, NCI-H929	-19.2, -7.4
CLK1	2q33	CDC-like kinase 1	MM1	-15.5
COPZ2	17q21.32	coatomer protein complex, subunit zeta 2	MM1	-14.0
CUGBP2	10p13	CUG triplet repeat, RNA binding protein 2	U266, NCI-H929	-6.8, -5.6
CYC1	8q24.3	cytochrome c-1	NCI-H929	-5.0
DCPS	11q24.2	decapping enzyme, scavenger	U266	-9.1
DDIT3	12q13.1-q13.2	DNA-damage-inducible transcript 3	MM1	-7.8
DDIT4	10pter-q26.12	DNA-damage-inducible transcript 4	MM1	-17.4
DEPDC6	8q24.12	DEP domain containing 6	MM1, NCI-H929	-5.9, -8.5
DKFZP434C171	5q33.1	DKFZP434C171 protein	NCI-H929	-6.1
DKFZP564J102	4q35.1	DKFZP564J102 protein	MM1	-8.1
DNAJB1	19p13.2	DnaJ (Hsp40) homolog, subfamily B, member 1	MM1	-12.5
DNAJB12	10q22.1	DnaJ (Hsp40) homolog, subfamily B, member 12	NCI-H929	-6.1
DNAJB4	1p31.1	DnaJ (Hsp40) homolog, subfamily B, member 4	MM1	-8.8
DNAJB9	7q31|14q24.2-q24.3	DnaJ (Hsp40) homolog, subfamily B, member 9	MM1	-15.1
DNAJC15	13q14.1	DnaJ (Hsp40) homolog, subfamily C, member 15	U266	-21.4
DOCK10	2q36.3	dedicator of cytokinesis 10	MM1, NCI-H929	-19.7, -11.1
DST	6p12-p11	dystonin	MM1, NCI-H929	-11.1, -5.8
DUSP6	12q22-q23	dual specificity phosphatase 6	MM1, NCI-H929	-5.7, -5.7
E2F2	1p36	E2F transcription factor 2	U266	-10.5
EHD3	2p21	EH-domain containing 3	U266	-7.0
EIF5	14q32.32	eukaryotic translation initiation factor 5	MM1	-4.4
ELF1	13q13	E74-like factor 1 (ets domain transcription factor)	NCI-H929	-13.4
EYA2	20q13.1	eyes absent homolog 2 (Drosophila)	U266	-6.9
FAIM	3q22.3	Fas apoptotic inhibitory molecule	NCI-H929	-6.1
FARP1	13q32.2	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	NCI-H929	-5.1
FAS	10q24.1	Fas (TNF receptor superfamily, member 6)	MM1, NCI-H929	-6.5, -5.3
FGFR3	4p16.3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	MM1, NCI-H929	-12.6, -37.1
FKBP11	12q13.12	FK506 binding protein 11, 19 kDa	MM1	-5.5
FLI1	11q24.1-q24.3	Friend leukemia virus integration 1	U266	-5.9
FLJ10847	17p11.2	hypothetical protein FLJ10847	MM1, U266	-15.2, -8.1
FLJ20449	13q13.3	hypothetical protein FLJ20449	U266	-7.1
FMNL1	17q21	formin-like 1	MM1, U266, NCI-H929	-7.8, -7.8, -16.2
FNDC3A	13q14.2	fibronectin type III domain containing 3A	MM1	-5.8
FXYD5	19q12-q13.1	FXYD domain containing ion transport regulator 5	MM1	-8.7
GADD45A	1p31.2-p31.1	growth arrest and DNA-damage-inducible, alpha	MM1	-5.2
GALNAC4S-6ST	10q26	B cell RAG associated protein	NCI-H929	-4.4
GALNT14	2p23.1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14	U266, NCI-H929	-9.8, -6.0
GAS2	11p14.3-p15.2	growth arrest-specific 2	MM1, NCI-H929	-8.4, -11.9
GDF15	19p13.1-13.2	growth differentiation factor 15	MM1	-7.5
GGT1	22q11.23	gamma-glutamyltransferase 1	MM1	-4.7
GJA1	6q21-q23.2	gap junction protein, alpha 1, 43kDa (connexin 43)	NCI-H929	-6.6
GSDML	17q21.1	Gasdermin-like	MM1	-7.7
GSTO1	10q25.1	glutathione S-transferase omega 1	NCI-H929	-5.3
GUCY1A3	4q31.3-q33|4q31.1-q31.2	guanylate cyclase 1, soluble, alpha 3	MM1, NCI-H929	-6.4, -7.6
HBB	11p15.5	hemoglobin, beta	U266	-22.8
HBD	11p15.5	hemoglobin, delta	U266	-5.5
HBG1	11p15.5	hemoglobin, gamma A	U266	-21.1
HDGF	1q21-q23	Hepatoma-derived growth factor (high-mobility group protein 1-like)	U266, NCI-H929	-5.5, -8.1
HERC4	10q21.3	hect domain and RLD 4	MM1	-12.7
HERPUD1	16q12.2-q13	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	MM1	-11.1
HGF	7q21.1	hepatocyte growth factor (hepapoietin A; scatter factor)	MM1, NCI-H929	-4.6, -17.2
HMOX1	22q12|22q13.1	heme oxygenase (decycling) 1	MM1	-38.1
HNRPUL1	19q13.2	heterogeneous nuclear ribonucleoprotein U-like 1	NCI-H929	-5.9
HOMER3	19p13.11	homer homolog 3 (Drosophila)	U266	-8.8
HSPA1A	6p21.3	heat shock 70kDa protein 1A	MM1	-23.3
HSPA1B	6p21.3	heat shock 70kDa protein 1B	MM1	-9.3
HSPA6	1q23	heat shock 70kDa protein 6 (HSP70B)	MM1	-300.7
HSPA9B	5q31.1	heat shock 70kDa protein 9B (mortalin-2)	MM1	-5.3
HSPB1	7q11.23	heat shock 27kDa protein 1	MM1	-6.4
HSPD1	2q33.1	heat shock 60kDa protein 1 (chaperonin)	MM1	-6.7
HSPE1	2q33.1	heat shock 10kDa protein 1 (chaperonin 10)	MM1	-6.9
HSPH1	13q12.3	heat shock 105kDa/110kDa protein 1	MM1	-33.1
ICK	6p12.3-p11.2	intestinal cell (MAK-like) kinase	NCI-H929	-5.3
IFI16	1q22	interferon, gamma-inducible protein 16	MM1	-8.3
IFNAR2	21q22.1|21q22.11	interferon (alpha, beta and omega) receptor 2	U266	-5.1
IFRD1	7q22-q31	interferon-related developmental regulator 1	MM1	-5.2
IGJ	4q21	Immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	NCI-H929	-8.8
IGKC	2p12	Immunoglobulin kappa variable 1-5	MM1, U266, NCI-H929	-18.7, -13.1, -11.7
IGSF4	11q23.2	immunoglobulin superfamily, member 4	U266	-9.9
IL21R	16p11	interleukin 21 receptor	MM1, U266	-6.7, -7.4
IL27RA	19p13.11	interleukin 27 receptor, alpha	NCI-H929	-8.4
IL6R	1q21	interleukin 6 receptor	U266	-9.1
ILF3	19p13.2	interleukin enhancer binding factor 3, 90kDa	MM1	-7.8
IMP-3	7p11	IGF-II mRNA-binding protein 3	NCI-H929	-4.9
INHBE	12q13.3	inhibin, beta E	MM1, U266	-80.2, -6.9
IQGAP2	5q13.3	IQ motif containing GTPase activating protein 2	NCI-H929	-5.6
IRAK1	Xq28	interleukin-1 receptor-associated kinase 1	MM1, NCI-H929	-6.1, -23.6
IRF4	6p25-p23	interferon regulatory factor 4	MM1	-4.8
IRF8	16q24.1	interferon regulatory factor 8	MM1	-8.3
ISG20	15q26	interferon stimulated exonuclease gene 20kDa	MM1	-9.2
ITGA4	2q31.3	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	U266	-7.6
ITGB5	3q21.2	Integrin, beta 5	NCI-H929	-32.2
ITGB7	12q13.13	integrin, beta 7	MM1, NCI-H929	-4.7, -9.3
JMJD1C	10q21.3	jumonji domain containing 1C	MM1	-6.8
KCNK1	1q42-q43	potassium channel, subfamily K, member 1	MM1, NCI-H929	-36.5, -6.1
KCNN3	1q21.3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	U266	-22.8
KIAA0368	9q31.3	KIAA0368	MM1, NCI-H929	-4.9, -9.3
KIAA1466	7q33	KIAA1466 gene	MM1	-11.5
KLHL21	1p36.31	kelch-like 21 (Drosophila)	MM1	-8.1
LAPTM5	1p34	lysosomal associated multispanning membrane protein 5	U266	-15.2
LASS2	1q21.2	LAG1 longevity assurance homolog 2 (S. cerevisiae)	NCI-H929	-6.5
LOC391427	2q13	similar to Ig kappa chain precursor V region (orphon V108) - human  (fragment)	MM1, NCI-H929	-12.2, -32.5
LOC441468	9q34.11	hypothetical gene supported by AK024177	MM1	-40.4
LRMP	12p12.1	lymphoid-restricted membrane protein	U266	-8.2
LRP2BP	4q35.1	LRP2 binding protein	MM1	-17.4
LRP8	1p34	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	NCI-H929	-4.8
LRRC41	1p34.1	leucine rich repeat containing 41	NCI-H929	-5.8
LSAMP	3q13.2-q21	limbic system-associated membrane protein	U266	-35.8
LY9	1q21.3-q22	lymphocyte antigen 9	MM1, NCI-H929	-76.2, -16.0
LY96	8q21.11	lymphocyte antigen 96	MM1	-6.7
MAF	16q22-q23	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	MM1, U266, NCI-H929	-8.4, -32.9, -15.0
MAFF	22q13.1	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	MM1	-20.3
MAFG	17q25.3	v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	MM1	-4.5
MAGEH1	Xp11.22	melanoma antigen family H, 1	MM1	-4.8
MAP4K1	19q13.1-q13.4	mitogen-activated protein kinase kinase kinase kinase 1	MM1, NCI-H929	-6.3, -48.0
MAPK13	6p21.31	mitogen-activated protein kinase 13	NCI-H929	-9.1
MARCH6	5p15.2	membrane-associated ring finger (C3HC4) 6	MM1	-13.6
MBNL1	3q25	muscleblind-like (Drosophila)	NCI-H929	-9.6
MCART1	9p13.3-p12	Mitochondrial carrier triple repeat 1	NCI-H929	-8.2
MFNG	22q12	manic fringe homolog (Drosophila)	NCI-H929	-7.4
MGC10986	17q23.3	hypothetical protein MGC10986	NCI-H929	-7.8
MGC3731	22q13.1	hypothetical protein MGC3731	MM1, NCI-H929	-8.1, -12.2
MGC4504	15q15.1	hypothetical protein MGC4504	MM1	-9.9
MRPS15	1p35-p34.1	mitochondrial ribosomal protein S15	NCI-H929	-6.0
MYB	6q22-q23	v-myb myeloblastosis viral oncogene homolog (avian)	NCI-H929	-7.3
MYBL2	20q13.1	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	U266	-6.3
MYC	8q24.12-q24.13	v-myc myelocytomatosis viral oncogene homolog (avian)	MM1, NCI-H929	-19.5, -23.4
MYCL1	1p34.2	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)	U266	-11.0
MYCN	2p24.1	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	NCI-H929	-9.4
MYOM2	8p23.3	myomesin (M-protein) 2, 165kDa	NCI-H929	-5.6
NFE2L1	17q21.3	nuclear factor (erythroid-derived 2)-like 1	MM1	-4.5
NFIC	19p13.3	nuclear factor I/C (CCAAT-binding transcription factor)	NCI-H929	-6.3
NR3C1	5q31.3	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	NCI-H929	-5.2
NSMAF	8q12-q13	neutral sphingomyelinase (N-SMase) activation associated factor	NCI-H929	-8.4
NUAK1	12q23.3	NUAK family, SNF1-like kinase, 1	NCI-H929	-6.7
NUP210	3p25.2-p25.1	nucleoporin 210kDa	U266	-6.1
OAS1	12q24.1	2,5-oligoadenylate synthetase 1, 40/46kDa	U266	-7.8
OAS2	12q24.2	2-5-oligoadenylate synthetase 2, 69/71kDa	U266	-5.5
OGT	Xq13	O-linked N-acetylglucosamine (GlcNAc) transferase	MM1	-6.9
OLR1	12p13.2-p12.3	oxidised low density lipoprotein (lectin-like) receptor 1	U266	-6.5
P2RX5	17p13.3	purinergic receptor P2X, ligand-gated ion channel, 5	U266, NCI-H929	-8.4, -13.9
PACAP	5q23-5q31	proapoptotic caspase adaptor protein	MM1, NCI-H929	-279.7, -56.1
PDE3B	11p15.1	Phosphodiesterase 3B, cGMP-inhibited	NCI-H929	-6.7
PDE4D	5q12	Phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	NCI-H929	-6.7
PDIA6	2p25.1	protein disulfide isomerase family A, member 6	MM1	-4.4
PDK1	2q31.1	pyruvate dehydrogenase kinase, isoenzyme 1	MM1	-15.9
PFAS	17p13.1	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)	NCI-H929	-4.6
PFTK1	7q21-q22	PFTAIRE protein kinase 1	NCI-H929	-6.5
PHACTR2	6q24.2	phosphatase and actin regulator 2	NCI-H929	-8.4
PHF11	13q14.2	PHD finger protein 11	NCI-H929	-6.0
PIM2	Xp11.23	pim-2 oncogene	NCI-H929	-5.8
PITPNC1	17q24.2	phosphatidylinositol transfer protein, cytoplasmic 1	NCI-H929	-6.0
PITX1	5q31	paired-like homeodomain transcription factor 1	NCI-H929	-10.3
PKD1	16p13.3	Hypothetical protein LOC339047	MM1	-29.5
PLCL2	3p24.3	phospholipase C-like 2	U266	-7.3
PMF1	1q12	polyamine-modulated factor 1	NCI-H929	-5.0
PMM2	16p13.3-p13.2	phosphomannomutase 2	MM1	-5.4
POLR3E	16p12.1	polymerase (RNA) III (DNA directed) polypeptide E (80kD)	NCI-H929	-4.5
POU2AF1	11q23.1	POU domain, class 2, associating factor 1	MM1, U266, NCI-H929	-21.9, -13.3, -23.5
PPP1R15A	19q13.2	protein phosphatase 1, regulatory (inhibitor) subunit 15A	MM1	-7.7
PPP1R16B	20q11.23	protein phosphatase 1, regulatory (inhibitor) subunit 16B	U266	-5.4
PPRC1	10q24.32	peroxisome proliferative activated receptor, gamma, coactivator-related 1	NCI-H929	-12.2
PRKCBP1	20q13.12	protein kinase C binding protein 1	NCI-H929	-6.1
PRSS15	19p13.2	protease, serine, 15	MM1	-6.4
PRSS7	21q21|21q21.1	protease, serine, 7 (enterokinase)	U266	-9.3
PRTN3	19p13.3	proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)	MM1, NCI-H929	-6.1, -15.8
PSAT1	9q21.2	phosphoserine aminotransferase 1	MM1	-5.5
PSCDBP	2q11.2	pleckstrin homology, Sec7 and coiled-coil domains, binding protein	MM1, U266, NCI-H929	-16.1, -11.7, -20.0
PSMB10	16q22.1	proteasome (prosome, macropain) subunit, beta type, 10	MM1, NCI-H929	-7.5, -23.3
PTPRC	1q31-q32	protein tyrosine phosphatase, receptor type, C	U266	-19.1
PXDN	2p25	peroxidasin homolog (Drosophila)	U266	-6.8
QPCT	2p22.2	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	MM1, NCI-H929	-28.3, -13.0
RAB15	14q23.3	RAB15, member RAS onocogene family	NCI-H929	-6.4
RAI17	10q22.3	retinoic acid induced 17	NCI-H929	-8.0
RASGRP3	2p25.1-p24.1	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	MM1, U266	-12.9, -9.2
RBM3	Xp11.2	RNA binding motif (RNP1, RRM) protein 3	MM1	-5.7
RHOBTB1	10q21.2	Rho-related BTB domain containing 1	NCI-H929	-6.7
RPL10	Xq28	ribosomal protein L10	MM1	-5.0
S100A11	1q21	S100 calcium binding protein A11 (calgizzarin)	MM1, NCI-H929	-6.7, -9.1
SCD	10q23-q24	stearoyl-CoA desaturase (delta-9-desaturase)	NCI-H929	-6.0
SDC1	2p24.1	syndecan 1	U266	-7.4
SEC24D	4q26	SEC24 related gene family, member D (S. cerevisiae)	MM1	-5.3
SELPLG	12q24	selectin P ligand	MM1, U266, NCI-H929	-6.9, -9.7, -23.4
SERPINH1	11q13.5	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	MM1	-137.7
SETBP1	18q21.1	SET binding protein 1	NCI-H929	-7.8
SFRS7	2p22.1	splicing factor, arginine/serine-rich 7, 35kDa	NCI-H929	-4.5
SH2D1A	Xq25-q26	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	U266	-9.5
SHMT2	12q12-q14	serine hydroxymethyltransferase 2 (mitochondrial)	MM1, U266	-6.3, -8.1
SLA	8q22.3-qter|8q24	Src-like-adaptor	U266	-8.1
SLC1A4	2p15-p13	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	MM1	-4.7
SLC25A15	13q14	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	NCI-H929	-5.6
SLC38A1	12q13.11	solute carrier family 38, member 1	MM1, NCI-H929	-15.4, -12.5
SLC3A2	11q13	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	MM1	-14.2
SLC7A11	4q28-q32	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	MM1	-10.7
SLC7A5	16q24.3	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	MM1	-5.3
SMYD5	2p13.2	SMYD family member 5	NCI-H929	-15.6
SNTB1	8q23-q24	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)	U266	-48.5
SPCS2	11q13.4	signal peptidase complex subunit 2 homolog (S. cerevisiae)	MM1	-4.8
SRM	1p36-p22	spermidine synthase	NCI-H929	-5.4
SRP46	11q22	Splicing factor, arginine/serine-rich, 46kD	MM1	-5.9
ST14	11q24-q25	suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)	NCI-H929	-9.1
ST3GAL6	3q12.1	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	NCI-H929	-7.0
ST6GAL1	3q27-q28	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	U266	-13.7
ST7	7q31.1-q31.3	suppression of tumorigenicity 7	NCI-H929	-11.0
STAG2	Xq25	stromal antigen 2	NCI-H929	-5.7
