Fold change	Acession number	gene symbol	gene
2.203810232	---	---	---
2.203810232	XM_001056908	Med14	mediator complex subunit 14
2.211461307	NM_001108146	Zc3h12c	zinc finger CCCH type containing 12C
2.211461307	ENSRNOT00000031530	Wdr36	WD repeat domain 36
2.211461307	NM_001014793	Kpna4	karyopherin (importin) alpha 4
2.211461307	NM_031330	Hnrnpab	heterogeneous nuclear ribonucleoprotein A/B
2.211461307	NM_001004207	Dhps	deoxyhypusine synthase
2.211461307	---	---	---
2.211461307	NM_198726	Kpna1	karyopherin (importin) alpha 1
2.211461307	NM_001008380	Dis3l	DIS3 mitotic control homolog (S. cerevisiae)-like
2.211461307	NM_031121	Ssrp1	structure specific recognition protein 1
2.211461307	NM_001014022	Btbd10	BTB (POZ) domain containing 10
2.211461307	ENSRNOT00000017043	RGD1565385	similar to mKIAA1604 protein
2.211461307	NM_001008519	Lrpprc	leucine-rich PPR-motif containing
2.211461307	NM_001009619	Nubp1	nucleotide binding protein 1
2.211461307	XM_001065431	LOC365723	similar to zinc finger protein 458
2.211461307	NM_031772	Rpo1-4	RNA polymerase 1-4
2.211461307	NM_152935	Tomm20	translocase of outer mitochondrial membrane 20 homolog (yeast)
2.211461307	NM_001108796	Slc39a10_predicted	solute carrier family 39 (zinc transporter), member 10 (predicted)
2.211461307	ENSRNOT00000024272	Apbb1ip	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein
2.211461307	NM_001110141	Eif5b	eukaryotic translation initiation factor 5B
2.219138944	NM_001044232	Rg9mtd2	RNA (guanine-9-) methyltransferase domain containing 2
2.219138944	ENSRNOT00000004097	RGD1311526	similar to RIKEN cDNA 5630401D24
2.219138944	NM_001025736	Gnl2	guanine nucleotide binding protein-like 2 (nucleolar)
2.219138944	ENSRNOT00000019634	RGD1560300	similar to chromosome 10 open reading frame 6
2.219138944	NM_173101	Myo1e	myosin IE
2.219138944	ENSRNOT00000042031	RGD1562426	similar to UDP-glucose:glycoprotein glucosyltransferase 2
2.219138944	BC098704	LOC361128	similar to TR4 orphan receptor associated protein TRA16
2.219138944	NM_134415	Cdk105	CDK105 protein
2.219138944	NM_001014792	Kpna3	karyopherin (importin) alpha 3
2.219138944	NM_199401	Cyp20a1	cytochrome P450, family 20, subfamily A, polypeptide 1
2.219138944	NM_145788	Tank	TRAF family member-associated Nf-kappa B activator
2.219138944	XM_001057408	RGD1561004	similar to AMME syndrome candidate gene 1 protein homolog
2.219138944	NM_001037183	Mrpl47	mitochondrial ribosomal protein L47
2.219138944	ENSRNOT00000060096	LOC680767	similar to transcription elongation factor B (SIII), polypeptide 1
2.226843236	NM_001108090	Ccdc59	coiled-coil domain containing 59
2.226843236	ENSRNOT00000021228	Prkrir	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)
2.226843236	ENSRNOT00000047120	Wdr62	WD repeat domain 62
2.226843236	NM_022531	Des	desmin
2.226843236	NM_021262	Acp1	acid phosphatase 1, soluble
2.226843236	NM_057119	Sfrs10	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)
2.226843236	NM_001109321	Mum1l1	melanoma associated antigen (mutated) 1-like 1
2.226843236	ENSRNOT00000034950	Fam98b	family with sequence similarity 98, member B
2.226843236	NM_033298	Yes1	Yamaguchi sarcoma viral (v-yes) oncogene homolog 1
2.226843236	XR_008033	LOC364661	similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) (HDP)
2.234574276	NM_001014263	Sypl	synaptophysin-like protein
2.234574276	NM_001047871	Ifrd2	interferon-related developmental regulator 2
2.234574276	NM_031668	Mybbp1a	MYB binding protein (P160) 1a
2.234574276	NM_001108631	Herc3	hect domain and RLD 3
2.234574276	NM_001009542	Pdcd10	programmed cell death 10
2.234574276	---	---	---
2.234574276	NM_001108147	Npat	nuclear protein in the AT region
2.234574276	NM_001014064	Pars2	prolyl-tRNA synthetase (mitochondrial)(putative)
2.234574276	NM_001105908	Pms2	postmeiotic segregation increased 2 (S. cerevisiae)
2.242332156	NM_053798	Sacm1l	SAC1 (suppressor of actin mutations 1, homolog)-like (S. cerevisiae)
2.242332156	NM_031068	Actr3	ARP3 actin-related protein 3 homolog (yeast)
2.242332156	BC158619	RGD1311269	similar to hypothetical protein FLJ37953
2.242332156	NM_198789	Bzw1	basic leucine zipper and W2 domains 1
2.242332156	ENSRNOT00000056808	Qser1	glutamine and serine rich 1
2.242332156	NM_001004211	Ddx56	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56
2.242332156	XM_001074661	LOC690517	similar to Ornithine decarboxylase (ODC)
2.242332156	NM_013063	Parp1	poly (ADP-ribose) polymerase family, member 1
2.242332156	NM_001108716	Wdr21	WD repeat domain 21
2.242332156	NM_001013860	Ptrh2	peptidyl-tRNA hydrolase 2
2.242332156	NM_153628	Sec11c	SEC11 homolog C (S. cerevisiae)
2.250116969	ENSRNOT00000040778	LOC301455	similar to amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 19 isoform b
2.250116969	NM_001025689	Psmd14	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14
2.250116969	NM_001012504	Set	SET translocation
2.250116969	NM_144746	Ppp2r2d	protein phosphatase 2, regulatory subunit B, delta isoform
2.250116969	---	---	---
2.250116969	BC158559	LOC691966	similar to Sulfide:quinone oxidoreductase, mitochondrial precursor
2.25792881	NM_181386	Sgms1	sphingomyelin synthase 1
2.25792881	ENSRNOT00000037100	Nav1	neuron navigator 1
2.25792881	NM_001109339	Eif2a	eukaryotic translation initiation factor 2A
2.25792881	BC161960	RGD1309543	similar to 2310014H01Rik protein
2.25792881	NM_017201	Ahcy	S-adenosylhomocysteine hydrolase
2.25792881	NM_001024800	Txndc1	thioredoxin domain containing 1
2.25792881	NM_001005875	Psmd12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12
2.25792881	ENSRNOT00000002173	Usp16	ubiquitin specific peptidase 16
2.25792881	NM_138509	Mapre1	microtubule-associated protein, RP/EB family, member 1
2.25792881	NM_001106518	Snx5	sorting nexin 5
2.25792881	---	---	---
2.25792881	ENSRNOT00000036442	Ccdc18	coiled-coil domain containing 18
2.25792881	NM_001014158	Zfp52	zinc finger protein 52
2.265767771	NM_031675	Actn4	actinin alpha 4
2.265767771	NM_001004257	Hspa14	heat shock protein 14
2.265767771	NM_080787	Dgka	diacylglycerol kinase, alpha
2.265767771	NM_001008301	Usp14	ubiquitin specific peptidase 14
2.265767771	NM_001004094	Psma3l	proteasome subunit alpha type 3-like
2.265767771	NM_022684	Bid	BH3 interacting domain death agonist
2.265767771	NM_001127494	Stk24	serine/threonine kinase 24 (STE20 homolog, yeast)
2.265767771	NM_131911	Anp32b	acidic nuclear phosphoprotein 32 family, member B
2.265767771	---	---	---
2.265767771	XR_009317	RGD1563850	similar to Aldo-keto reductase family 1, member B8
2.265767771	ENSRNOT00000061569	RGD1309085	similar to F23N19.9
2.265767771	NM_001106991	Tmem8	transmembrane protein 8 (five membrane-spanning domains)
2.265767771	NM_001107096	Cep97	centrosomal protein 97
2.265767771	ENSRNOT00000005388	Ccdc88a	coiled coil domain containing 88A
2.265767771	NM_001108389	Rnf219	ring finger protein 219
2.273633946	NM_001108179	Stag1	stromal antigen 1
2.273633946	NM_031137	Tpp2	tripeptidyl peptidase II
2.273633946	NM_001012073	Rrp1	ribosomal RNA processing 1 homolog (S. cerevisiae)
2.273633946	NM_173117	Dpy30	dpy-30 homolog (C. elegans)
2.273633946	NM_001012742	Wee1	wee 1 homolog (S. pombe)
2.273633946	NM_024144	Pigm	phosphatidylinositol glycan anchor biosynthesis, class M
2.273633946	NM_173102	Tubb5	tubulin, beta 5
2.273633946	NM_001109114	LOC498685	similar to UPF0308 protein C9orf21
2.273633946	NM_053525	Ddx52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52
2.273633946	---	---	---
2.273633946	---	---	---
2.273633946	XR_008644	RGD1564416	similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein (Topoisomerase-inhibitor suppressed)
2.281527432	NM_199091	Cct3	chaperonin subunit 3 (gamma)
2.281527432	NM_001105777	Rars	arginyl-tRNA synthetase
2.281527432	NM_001108627	Cul1	cullin 1
2.281527432	ENSRNOT00000013535	Nol9	nucleolar protein 9
2.281527432	ENSRNOT00000022987	RGD1307983	similar to HSPC043 protein
2.281527432	NM_001109648	LOC691750	hypothetical protein LOC691750
2.281527432	NM_030995	Mtap1a	microtubule-associated protein 1 A
2.289448321	NM_001024761	Lrrfip2	leucine rich repeat (in FLII) interacting protein 2
2.289448321	NM_001014129	Noc4l	nucleolar complex associated 4 homolog (S. cerevisiae)
2.289448321	NM_013026	Sdc1	syndecan 1
2.289448321	NM_001009180	Capza2	capping protein (actin filament) muscle Z-line, alpha 2
2.289448321	NM_001108495	Relt	RELT tumor necrosis factor receptor
2.289448321	NM_001107306	Armc6	armadillo repeat containing 6
2.289448321	NM_133398	Mtdh	metadherin
2.289448321	NM_172074	Timm10	translocase of inner mitochondrial membrane 10 homolog (yeast)
2.289448321	ENSRNOT00000061944  //  ENSRNOT00000061944	LOC288419  // LOC288419	similar to chromobox homolog 3  // similar to chromobox homolog 3
2.289448321	NM_001007684	Klf2	Kruppel-like factor 2 (lung)
2.289448321	ENSRNOT00000058172	Gng5	guanine nucleotide binding protein (G protein), gamma 5
2.289448321	NM_001107639	Prdm1	PR domain containing 1, with ZNF domain
2.29739671	NM_001100470	Nup153	nucleoporin 153
2.29739671	NM_012987	Nes	nestin
2.29739671	---	---	---
2.29739671	EU517502	Prkci	protein kinase C, iota
2.29739671	NM_001106092	Vps36	vacuolar protein sorting 36 (yeast)
2.29739671	NM_012801	Pdgfa	platelet derived growth factor, alpha
2.29739671	ENSRNOT00000001605	Pwp2	PWP2 periodic tryptophan protein homolog (yeast)
2.29739671	NM_172066	Slc30a4	solute carrier family 30 (zinc transporter), member 4
2.29739671	BC060592	RGD1309326	similar to RIKEN cDNA 2410002F23
2.29739671	BC160885	Ddx27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27
2.29739671	ENSRNOT00000061664	Thoc2	THO complex 2
2.29739671	ENSRNOT00000058100	Spin4	spindlin family, member 4
2.29739671	ENSRNOT00000007581	RGD1562284	similar to Glutaminyl-peptide cyclotransferase precursor (QC)
2.305372694	NM_020075	Eif5	eukaryotic translation initiation factor 5
2.305372694	NM_001109602	Thoc4	THO complex 4
2.305372694	ENSRNOT00000003568	Ptpn4	protein tyrosine phosphatase, non-receptor type 4
2.305372694	ENSRNOT00000044240	Stag2	stromal antigen 2
2.305372694	NM_013145	Gnai1	guanine nucleotide binding protein (G protein), alpha inhibiting 1
2.305372694	XM_001065804	RGD1565289	similar to RIKEN cDNA 0610008C08
2.305372694	NM_021741	Cep78	centrosomal protein 78
2.313376368	NM_001106300	Ate1	arginine-tRNA-protein transferase 1
2.313376368	---	---	---
2.313376368	NM_001106143	Tcof1	Treacher Collins Franceschetti syndrome 1, homolog
2.313376368	ENSRNOT00000017043	RGD1565385	similar to mKIAA1604 protein
2.313376368	NM_001011913	Fignl1	fidgetin-like 1
2.313376368	NM_019277	Exoc6	exocyst complex component 6
2.313376368	---	---	---
2.313376368	NM_001108259	Htatsf1	HIV TAT specific factor 1
2.313376368	NM_012919	Cacna2d1	calcium channel, voltage-dependent, alpha2/delta subunit 1
2.313376368	NM_001037768	Nagk	N-acetylglucosamine kinase
2.313376368	NM_001025006	Dohh	deoxyhypusine hydroxylase/monooxygenase
2.313376368	ENSRNOT00000055252	RGD1311634	similar to RIKEN cDNA 3200002M19
2.313376368	ENSRNOT00000017043	RGD1565385	similar to mKIAA1604 protein
2.313376368	ENSRNOT00000049626	Hist1h2bp	histone cluster 1, H2bp
2.313376368	EF688602	Chac1	ChaC, cation transport regulator-like 1 (E. coli)
2.321407829	NM_001005908	Ghitm	growth hormone inducible transmembrane protein
2.321407829	NM_001008344	Etf1	eukaryotic translation termination factor 1
2.321407829	NM_001042561	Wsb1	WD repeat and SOCS box-containing 1
2.321407829	---	---	---
2.321407829	BC098814	RGD1311739	similar to RIKEN cDNA 1700037H04
2.321407829	NM_001025416	Dok1	docking protein 1
2.321407829	NM_022509	Smn1	survival motor neuron 1
2.321407829	NM_001109202	Tcp11l1	t-complex 11 like 1
2.321407829	NM_001083898	Ccdc92	coiled-coil domain containing 92
2.321407829	NM_001108417	Cul2	cullin 2
2.329467173	ENSRNOT00000014063	Pus7	pseudouridylate synthase 7 homolog (S. cerevisiae)
2.329467173	NM_022598	Cnbp	cellular nucleic acid binding protein
2.329467173	NM_173314	Zfp455	zinc finger protein 455
2.329467173	XM_001077426	LOC691261	similar to reduced expression 2
2.329467173	NM_031118	Soat1	sterol O-acyltransferase 1
2.329467173	NM_001107261	Supt16h	suppressor of Ty 16 homolog (S. cerevisiae)
2.329467173	NM_053714	Ank	progressive ankylosis
2.329467173	BC167066	LOC691431	similar to mitochondrial carrier protein MGC4399
2.329467173	NM_022511	Pfn1	profilin 1
2.337554497	BC161951	LOC691543	hypothetical protein LOC691543
2.337554497	NM_001107999	Centb5	centaurin, beta 5
2.337554497	NM_001025670	Agpat9	1-acylglycerol-3-phosphate O-acyltransferase 9
2.337554497	ENSRNOT00000006913	Sgpp1	sphingosine-1-phosphate phosphatase 1
2.337554497	---	---	---
2.337554497	---	---	---
2.337554497	NM_001009696	Dcun1d5	DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)
2.337554497	XM_001067157	Itsn2	intersectin 2
2.337554497	NM_130779	Adcy3	adenylate cyclase 3
2.337554497	NM_001007758	Nufip1	nuclear fragile X mental retardation protein interacting protein 1
2.345669898	ENSRNOT00000058172	Gng5	guanine nucleotide binding protein (G protein), gamma 5
2.345669898	NM_053638	Idh3a	isocitrate dehydrogenase 3 (NAD+) alpha
2.345669898	NM_001010963	Zc3h15	zinc finger CCCH-type containing 15
2.345669898	NM_001011925	Nup93	nucleoporin 93
2.345669898	NM_001105814	Abr	active BCR-related gene
2.345669898	ENSRNOT00000032620	Slc45a4	solute carrier family 45, member 4
2.345669898	NM_134415	Cdk105	CDK105 protein
2.345669898	NM_001014078	Wdr89	WD repeat domain 89
2.345669898	NM_001014268	Lrrc1	leucine rich repeat containing 1
2.345669898	---	---	---
2.345669898	NM_001079711	Rad51ap1	RAD51 associated protein 1
2.345669898	XR_007720	RGD1566244	similar to TatD DNase domain containing 1
2.345669898	---	---	---
2.353813474	NM_017207	Trpv2	transient receptor potential cation channel, subfamily V, member 2
2.353813474	NM_173126	Nid67	putative small membrane protein NID67
2.353813474	ENSRNOT00000019073	Larp7	La ribonucleoprotein domain family, member 7
2.353813474	NM_031739	Kcnd3	potassium voltage gated channel, Shal-related family, member 3
2.353813474	---	---	---
2.353813474	---	---	---
2.353813474	NM_001108505	Bccip	BRCA2 and CDKN1A interacting protein
2.353813474	---	---	---
2.361985323	ENSRNOT00000038641	Glce	glucuronyl C5-epimerase
2.361985323	ENSRNOT00000008910	Flna	filamin, alpha
2.361985323	NM_013174	Tgfb3	transforming growth factor, beta 3
2.361985323	XR_005880	LOC502229	similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) (HDP)
2.361985323	NM_001106038	Ipo4	importin 4
2.361985323	NM_031119	Ssb	Sjogren syndrome antigen B
2.361985323	ENSRNOT00000049985	Mphosph9	M-phase phosphoprotein 9
2.361985323	XM_001064337	LOC683071	similar to La-related protein 4 (La ribonucleoprotein domain family member 4)
2.370185542	NM_022947	Clpb	ClpB caseinolytic peptidase B homolog (E. coli)
2.370185542	NM_001106040	RGD1308396	similar to chromosome 14 open reading frame 21
2.370185542	ENSRNOT00000009746	Polr3b	polymerase (RNA) III (DNA directed) polypeptide B
2.370185542	---	---	---
2.370185542	---	---	---
2.370185542	ENSRNOT00000003350	RGD1560464	similar to hypothetical protein FLJ38426
2.370185542	NM_001107498	Samd4b	sterile alpha motif domain containing 4B
2.370185542	ENSRNOT00000033258	RGD1564400	similar to Eukaryotic translation initiation factor 5 (eIF-5)
2.370185542	NM_001109121	Stam	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1
2.370185542	NM_022276	Gcnt1	glucosaminyl (N-acetyl) transferase 1, core 2
2.370185542	NM_001108653	Bicd1	bicaudal D homolog 1 (Drosophila)
2.370185542	NM_001109420	Rbm41	RNA binding motif protein 41
2.37841423	ENSRNOT00000022203	RGD1306058	similar to RIKEN cDNA 1110007C09
2.37841423	NM_001108549	Spata5	spermatogenesis associated 5
2.37841423	NM_138548	Nme1	non-metastatic cells 1, protein (NM23A) expressed in
2.37841423	NM_001108487	Isg20l1	interferon stimulated exonuclease gene 20-like 1
2.37841423	ENSRNOT00000016042	Las1l	LAS1-like (S. cerevisiae)
2.37841423	BC086371	Nedd4l	neural precursor cell expressed, developmentally down-regulated gene 4-like
2.386671486	ENSRNOT00000016494	Gcap14	granule cell antiserum positive 14
2.386671486	ENSRNOT00000034139	Ccnyl1	cyclin Y-like 1
2.386671486	NM_001013066	Sipa1l3	signal-induced proliferation-associated 1 like 3
2.386671486	NM_001107110	Cbr3	carbonyl reductase 3
2.386671486	NM_001008280	Lrrc59	leucine rich repeat containing 59
2.386671486	NM_019186	Arl4a	ADP-ribosylation factor-like 4A
2.386671486	NM_001106822	Slc35f2	solute carrier family 35, member F2
2.386671486	NM_138708	Rabggtb	RAB geranylgeranyl transferase, b subunit
2.394957409	NM_080582	Abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6
2.394957409	XM_234572	RGD1309696	similar to KIAA2019 protein
2.394957409	NM_001011980	Ppan	peter pan homolog (Drosophila)
2.394957409	NM_001107862	Nt5c3	5-nucleotidase, cytosolic III
2.394957409	NM_001107978	RGD1559610	similar to CGI-94 protein
2.394957409	ENSRNOT00000005064	Rnft1	ring finger protein, transmembrane 1
2.394957409	NM_001106138	Psmg2	proteasome (prosome, macropain) assembly chaperone 2
2.394957409	NM_001109471	S100a7a	S100 calcium binding protein A7A
2.403272099	NM_001107293	Eaf1	ELL associated factor 1
2.403272099	NM_139091	Nupl1	nucleoporin like 1
2.403272099	NM_001047107	Cadm4	cell adhesion molecule 4
2.403272099	AF177478	Cdk5rap2	CDK5 regulatory subunit associated protein 2
2.411615655	NM_001105718	Vps35	vacuolar protein sorting 35
2.411615655	ENSRNOT00000010871	Timm9	translocase of inner mitochondrial membrane 9 homolog (yeast)
2.411615655	NM_001105875	Ccdc58	coiled-coil domain containing 58
2.411615655	NM_031036	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
2.411615655	NM_001077672	Cstf3	cleavage stimulation factor, 3 pre-RNA, subunit 3
2.411615655	NM_001107725	Gstcd	glutathione S-transferase, C-terminal domain containing
2.411615655	XR_007477	RGD1565692	similar to Su(var)3-9 homolog
2.419988178	NM_001106073	Lsm4	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)
2.419988178	NM_001108118	Itga5	integrin alpha 5 (fibronectin receptor alpha)
2.419988178	NM_001108867	Prmt5	protein arginine N-methyltransferase 5
2.419988178	NM_001004098	Cenpc1	centromere protein C 1
2.428389769	---	---	---
2.428389769	NM_001106004	Commd8	COMM domain containing 8
2.428389769	NM_001108057	Bcl11b	B-cell leukemia/lymphoma 11B
2.428389769	NM_130740	Pacsin2	protein kinase C and casein kinase substrate in neurons 2
2.428389769	NM_001100982	Siva1	SIVA1, apoptosis-inducing factor
2.428389769	NM_031979	Csda	cold shock domain protein A
2.428389769	NM_001012067	Grwd1	glutamate-rich WD repeat containing 1
2.428389769	NM_001034922	Atad3a	ATPase family, AAA domain containing 3A
2.436820527	BC087644	Gart	phosphoribosylglycinamide formyltransferase
2.436820527	NM_024148	Apex1	apurinic/apyrimidinic endonuclease 1
2.436820527	ENSRNOT00000026583	Pcyox1l	prenylcysteine oxidase 1 like
2.436820527	NM_001106821	Atm	ataxia telangiectasia mutated homolog (human)
2.436820527	NM_031098	Rock1	Rho-associated coiled-coil containing protein kinase 1
2.445280555	ENSRNOT00000038168  //  ENSRNOT00000038168	RGD1560617  // RGD1560617	hypothetical gene supported by NM_053561; AF062594  // hypothetical gene supported by NM_053561; AF062594
2.445280555	NM_001025123	Kdelc2	KDEL (Lys-Asp-Glu-Leu) containing 2
2.445280555	ENSRNOT00000003685	Ccdc43	coiled-coil domain containing 43
2.445280555	NM_053857	Eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1
2.445280555	ENSRNOT00000003536	Larp1	La ribonucleoprotein domain family, member 1
2.445280555	NM_031541	Scarb1	scavenger receptor class B, member 1
2.445280555	NM_001107668	Dcun1d1	DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)
2.445280555	NM_001105963	Mrps14	mitochondrial ribosomal protein S14
2.445280555	NM_001005536	Srfbp1	serum response factor binding protein 1
2.445280555	NM_001014107	Mospd1	motile sperm domain containing 1
2.445280555	NM_001107295	Oxnad1	oxidoreductase NAD-binding domain containing 1
2.445280555	NM_001001511	Gcnt2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme
2.453769955	NM_139324	Ehd4	EH-domain containing 4
2.453769955	NM_001108902	Rab32	RAB32, member RAS oncogene family
2.453769955	ENSRNOT00000051917	Hist2h2ac	histone cluster 2, H2ac
2.453769955	NM_012504	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide
2.453769955	NM_001008372	Papd4	PAP associated domain containing 4
2.453769955	NM_031811	Taldo1	transaldolase 1
2.453769955	NM_184047	Il18rap	interleukin 18 receptor accessory protein
2.453769955	NM_001033967	Ak2	adenylate kinase 2
2.453769955	NM_001126091	Snrpf	small nuclear ribonucleoprotein polypeptide F
2.453769955	NM_145674	Ggta1	glycoprotein galactosyltransferase alpha 1, 3
2.462288827	NM_001033897	RGD1309387	similar to cDNA sequence AF155546
2.462288827	NM_024152	Arf6	ADP-ribosylation factor 6
2.462288827	NM_147207	Vof16	ischemia related factor vof-16
2.462288827	BC093390	RGD1359158	similar to RIKEN cDNA 1110059E24
2.462288827	ENSRNOT00000001461	Hip1r	huntingtin interacting protein 1 related
2.462288827	NM_001108883	Suv39h2	suppressor of variegation 3-9 homolog 2 (Drosophila)
2.462288827	NM_001106903	Mrpl30	mitochondrial ribosomal protein L30
2.462288827	ENSRNOT00000015596	Zbtb41	zinc finger and BTB domain containing 41 homolog
2.462288827	---	---	---
2.462288827	NM_001106163	Snrpd1	small nuclear ribonucleoprotein D1
2.470837274	NM_001107774	Itpa	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)
2.470837274	NM_031356	Aifm1	apoptosis-inducing factor, mitochondrion-associated 1
2.470837274	NM_194461	Pigw	phosphatidylinositol glycan anchor biosynthesis, class W
2.470837274	NM_001107640	Ascc3	activating signal cointegrator 1 complex subunit 3
2.470837274	NM_181475	Cd2ap	CD2-associated protein
2.470837274	NM_199385	Dld	dihydrolipoamide dehydrogenase
2.470837274	NM_001109291	H2afx	H2A histone family, member X
2.470837274	NM_080766	Nras	neuroblastoma ras oncogene
2.470837274	BC167077	RGD1561797	RGD1561797
2.470837274	---	---	---
2.4794154	---	---	---
2.4794154	NM_001037095	Cpox	coproporphyrinogen oxidase
2.4794154	NM_024403	Atf4	activating transcription factor 4
2.4794154	X76996	Gzmb	granzyme B
2.4794154	NM_001108873	Tnfrsf10b	tumor necrosis factor receptor superfamily, member 10b
2.4794154	NM_001109376	LOC679692	similar to lysophosphatidylglycerol acyltransferase 1
2.4794154	NM_001109537	Sssca1	Sjogrens syndrome/scleroderma autoantigen 1 homolog (human)
2.4794154	---	---	---
2.4794154	ENSRNOT00000019359	RGD1307234	similar to RIKEN cDNA 4931400A14
2.488023307	NM_053799	Dars	aspartyl-tRNA synthetase
2.488023307	NM_001107775	Slc4a11	solute carrier family 4, sodium bicarbonate transporter-like, member 11
2.488023307	NM_001013966	Thg1l	tRNA-histidine guanylyltransferase 1-like (S. cerevisiae)
2.488023307	NM_031833	Nme2	non-metastatic cells 2, protein (NM23B) expressed in
2.488023307	NM_001012504	Set	SET translocation
2.488023307	NM_001004279	Ppid	peptidylprolyl isomerase D (cyclophilin D)
2.488023307	ENSRNOT00000048933	RGD1564456	similar to chromosome 10 open reading frame 18
2.488023307	NM_021851	Lin7c	lin-7 homolog C (C. elegans)
2.488023307	ENSRNOT00000019754	Nfkbil2	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 2
2.496661098	NM_001107446	Pdzd8	PDZ domain containing 8
2.496661098	BC089217	Fam98a	family with sequence similarity 98, member A
2.496661098	NM_001008363	Zfand2a	zinc finger, AN1-type domain 2A
2.496661098	NM_001114181	Mettl5	methyltransferase like 5
2.496661098	NM_001108403	Nsun2	NOL1/NOP2/Sun domain family, member 2
2.496661098	---	---	---
2.496661098	ENSRNOT00000002745	Tmprss11f	transmembrane protease, serine 11f
2.496661098	NM_053707	Hdgf	hepatoma-derived growth factor
2.496661098	NM_001014107	Mospd1	motile sperm domain containing 1
2.496661098	ENSRNOT00000015142	Lonrf1	LON peptidase N-terminal domain and ring finger 1
2.496661098	---	---	---
2.496661098	BC083613	RGD1311517	similar to RIKEN cDNA 9430015G10
2.505328877	BC166823	Odf2l	outer dense fiber of sperm tails 2-like
2.505328877	ENSRNOT00000024924	Otud4	OTU domain containing 4
2.505328877	NM_001108742	Slc41a2	solute carrier family 41, member 2
2.505328877	NM_139089	Cxcl10	chemokine (C-X-C motif) ligand 10
2.505328877	NM_001012227	Xk	Kell blood group precursor (McLeod phenotype) homolog
2.505328877	---	---	---
2.514026749	NM_053811	Slc9a3r2	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2
2.514026749	NM_001004274	Igfbp4	insulin-like growth factor binding protein 4
2.514026749	BC161957	RGD1308723	similar to hypothetical protein FLJ20729
2.514026749	NM_001109911	Hnrpm	heterogeneous nuclear ribonucleoprotein M
2.514026749	BC093390	RGD1359158	similar to RIKEN cDNA 1110059E24
2.522754818	NM_001033684	Cct6a	chaperonin subunit 6a (zeta)
2.522754818	NM_145778	Tubg1	tubulin, gamma 1
2.522754818	NM_001105897	Cct8	chaperonin subunit 8 (theta)
2.522754818	NM_001108009	Rasgrp3	RAS, guanyl releasing protein 3
2.522754818	ENSRNOT00000032156	Cep135	centrosomal protein 135
2.522754818	NM_001127531	Ap1s2	adaptor-related protein complex 1, sigma 2 subunit
2.522754818	NM_001128195	Bag2	Bcl2-associated athanogene 2
2.522754818	NM_133595	Gchfr	GTP cyclohydrolase I feedback regulator
2.522754818	NM_001106346	Ubl4	ubiquitin-like 4
2.531513188	NM_001106247	Pdcd5	programmed cell death 5
2.531513188	ENSRNOT00000004333	Trim16	tripartite motif protein 16
2.531513188	NM_001102408	Uck2	uridine-cytidine kinase 2
2.531513188	NM_052804	Fmr1	fragile X mental retardation syndrome 1 homolog
2.531513188	NM_001105668	Mdfic	MyoD family inhibitor domain containing
2.531513188	NM_001107903	Tmem68	transmembrane protein 68
2.531513188	---	---	---
2.540301965	NM_001108485	Gtf2h1	general transcription factor II H, polypeptide 1
2.540301965	ENSRNOT00000046529	Nav2	neuron navigator 2
2.540301965	NM_001106577	Phtf2	putative homeodomain transcription factor 2
2.540301965	NM_212534	Mrps18b	mitochondrial ribosomal protein S18B
2.540301965	---	---	---
2.540301965	---	---	---
2.549121255	NM_001107962	Mmachc	methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria
2.549121255	BC098789	MGC112830	similar to transcription factor
2.549121255	NM_012812	Cox6a2	cytochrome c oxidase, subunit VIa, polypeptide 2
2.549121255	NM_001110165	RGD1561196_predicted	similar to ubiqutin carboxyl-terminal hydrolase l3 (predicted)
