Gene Symbol	Fold Change	Gene Title	Chromosomal Location	Affymetrix Probeset ID
ACY1L2	1.81	aminoacylase 1-like 2	6q16.1	225421_at
RASSF4	1.8	Ras association (RalGDS/AF-6) domain family 4	10q11.21	226436_at
TDG	1.8	thymine-DNA glycosylase	12q24.1	203743_s_at
NA	1.8	Homo sapiens cDNA FLJ33237 fis, clone ASTRO2002632, weakly similar to NAM7 PROTEIN.	NA	228859_at
3HEXO	1.79	3 exoribonuclease	8p23.1	226416_at
M96	1.79	likely ortholog of mouse metal response element binding transcription factor 2	1p22.1	203347_s_at
TNFRSF6	1.79	tumor necrosis factor receptor superfamily, member 6	10q24.1	204780_s_at
NFKBIA	1.79	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	14q13	201502_s_at
XPO1	1.78	exportin 1 (CRM1 homolog, yeast)	2p16	235927_at
GART	1.78	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	21q22.1	230097_at
TMPO	1.78	thymopoietin	12q22	224944_at
DUT	1.77	dUTP pyrophosphatase	15q15-q21.1	208956_x_at
NA	1.77	NA	NA	AFFX-HUMISGF3A/M97935_3_at
TNFRSF6	1.77	tumor necrosis factor receptor superfamily, member 6	10q24.1	204781_s_at
RRM1	1.76	ribonucleotide reductase M1 polypeptide	11p15.5	201477_s_at
NBS1	1.76	Nijmegen breakage syndrome 1 (nibrin)	8q21	202906_s_at
RBBP9	1.76	retinoblastoma binding protein 9	20p11.2	226696_at
NA	1.76	Homo sapiens transcribed sequences	NA	237246_at
RBM9	1.74	RNA binding motif protein 9	22q13.1	212104_s_at
SLC39A6	1.74	solute carrier family 39 (zinc transporter), member 6	18q12.2	202088_at
KIAA0877	1.73	KIAA0877 protein	7p14.3-p14.2	212792_at
ZNF131	1.72	zinc finger protein 131 (clone pHZ-10)	5p12-p11	221842_s_at
DDEF1	1.72	development and differentiation enhancing factor 1	8q24.1-q24.2	224791_at
FCGR1A	1.72	Fc fragment of IgG, high affinity Ia, receptor for (CD64)	1q21.2-q21.3	216950_s_at
RAP2B	1.72	RAP2B, member of RAS oncogene family	3q25.2	227897_at
HELIC1	1.71	helicase, ATP binding 1	6q16	212815_at
HAVCR2	1.7	hepatitis A virus cellular receptor 2	5q33.3	235458_at
FLJ31051	1.69	hypothetical protein FLJ31051	12q23.1	227295_at
PHCA	1.69	phytoceramidase, alkaline	11q13.3	222688_at
SOCS5	1.69	suppressor of cytokine signaling 5	2p21	209648_x_at
HMGB2	1.68	high-mobility group box 2	4q31	208808_s_at
FLJ13081	1.68	hypothetical protein FLJ13081	10q26.13	222464_s_at
FLJ36874	1.68	hypothetical protein FLJ36874	11q12.2	225466_at
NA	1.67	Homo sapiens, clone IMAGE:5263020, mRNA	NA	229635_at
NA	1.67	Homo sapiens transcribed sequence with weak similarity to protein pir:S23650 (H.sapiens) S23650 retrovirus-related hypothetical protein II - human retrotransposon LINE-1	NA	241815_at
G3BP	1.66	Ras-GTPase-activating protein SH3-domain-binding protein	5q33.1	201503_at
NA	1.66	Homo sapiens transcribed sequences	NA	239227_at
WDHD1	1.65	WD repeat and HMG-box DNA binding protein 1	14q22.2	204728_s_at
STAT1	1.65	signal transducer and activator of transcription 1, 91kDa	2q32.2	200887_s_at
HIWI2	1.65	piwi-like 2 (Drosophila)	11q21	230480_at
NBS1	1.65	Nijmegen breakage syndrome 1 (nibrin)	8q21	202907_s_at
SFRS3	1.65	splicing factor, arginine/serine-rich 3	6p21	208673_s_at
CGI-72	1.64	CGI-72 protein	8q24.22	230098_at
M96	1.64	likely ortholog of mouse metal response element binding transcription factor 2	1p22.1	209704_at
EIF2C2	1.64	eukaryotic translation initiation factor 2C, 2	8q24	225569_at
HNRPA2B1	1.63	heterogeneous nuclear ribonucleoprotein A2/B1	7p15	225932_s_at
OSBPL1A	1.62	oxysterol binding protein-like 1A /// oxysterol binding protein-like 1A	18q11.1 /// 18q11.1	208158_s_at
TNFRSF9	1.62	tumor necrosis factor receptor superfamily, member 9	1p36	207536_s_at
THY1	1.6	Thy-1 cell surface antigen	11q22.3-q23	213869_x_at
EMILIN2	1.57	elastin microfibril interfacer 2 /// elastin microfibril interfacer 2	18p11.3 /// 18p11.3	224374_s_at
NA	1.57	Homo sapiens transcribed sequences	NA	231449_at
PRNP	1.55	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	20pter-p12	201300_s_at
KLIP1	1.54	KSHV latent nuclear antigen interacting protein 1	4q35.1	229304_s_at
ZNF180	1.54	zinc finger protein 180 (HHZ168)	19q13.2	219495_s_at
