Fold Change	Primary Name	Accession code	Description	P-value
-1.52	4632404N19Rik	AK014551	PREDICTED: Mus musculus RIKEN cDNA 4930467M19 gene (4930467M19Rik), mRNA	4.16E-05
-1.52	Pmm2	NM_016881	Phosphomannomutase 2 (Pmm2), mRNA	1.24E-04
-1.52	Zfp707	AK076900	RIKEN cDNA 1500031N24 gene, mRNA (cDNA clone IMAGE:4210825)	1.86E-06
-1.52	Rab28	BC004580	RAB28, member RAS oncogene family, mRNA (cDNA clone MGC:8039 IMAGE:3587008)	1.13E-06
-1.52	Wars2	NM_027462	Tryptophanyl tRNA synthetase 2 (mitochondrial) (Wars2), mRNA	2.93E-04
-1.52	Cebpg	BC011319	CCAAT/enhancer binding protein (C/EBP), gamma, mRNA (cDNA clone MGC:11669 IMAGE:3709074)	2.85E-06
-1.52	Atg4c	NM_175029	Autophagy-related 4C-like (yeast), mRNA (cDNA clone MGC:67363 IMAGE:6827140)	1.72E-04
-1.52	Eps8	NM_007945	Epidermal growth factor receptor pathway substrate 8, mRNA (cDNA clone MGC:18488 IMAGE:4240899)	1.11E-04
-1.52	St3gal4	NM_009178	ST3 beta-galactoside alpha-2,3-sialyltransferase 4, mRNA (cDNA clone MGC:6096 IMAGE:3497996)	7.07E-10
-1.52	Srp9	NM_012058	Signal recognition particle 9, mRNA (cDNA clone MGC:49477 IMAGE:5353755)	2.55E-04
-1.52	Bclaf1	NM_153787	BCL2-associated transcription factor 1 (Bclaf1), transcript variant 2, mRNA	1.42E-04
-1.52	1810008A14Rik	NM_025457	RIKEN cDNA 1810008A14 gene, mRNA (cDNA clone MGC:35756 IMAGE:4925089)	2.76E-05
-1.52	Cbx3	AK002910	Chromobox homolog 3 (Drosophila HP1 gamma), mRNA (cDNA clone MGC:25433 IMAGE:3990224)	4.43E-05
-1.52	Tax1bp1	NM_025816	Tax1 (human T-cell leukemia virus type I) binding protein 1, mRNA (cDNA clone MGC:11692 IMAGE:3962810)	5.45E-04
-1.53	Csda	NM_011733	Cold shock domain protein A (Csda), mRNA	7.24E-05
-1.53	Vcpip1	AK031819	Valosin containing protein (p97)/p47 complex interacting protein 1, mRNA (cDNA clone MGC:66512 IMAGE:6406239)	5.51E-06
-1.53	Exoc6	NM_175353	SEC15-like 1 (S. cerevisiae), mRNA (cDNA clone IMAGE:5253301)	5.49E-05
-1.53	Tram1	NM_028173	Translocating chain-associating membrane protein 1, mRNA (cDNA clone MGC:11724 IMAGE:3967323)	1.26E-05
-1.53	Cecr2	AK048095	PREDICTED: Mus musculus cat eye syndrome chromosome region, candidate 2 homolog (human) (Cecr2), mRNA	3.62E-04
-1.53	Chuk	NM_007700	Conserved helix-loop-helix ubiquitous kinase, mRNA (cDNA clone MGC:25325 IMAGE:4511275)	1.32E-05
-1.53	Mrpl19	NM_026490	Mitochondrial ribosomal protein L19, mRNA (cDNA clone IMAGE:5029482)	1.07E-08
-1.53	Cetn3	NM_007684	Centrin 3, mRNA (cDNA clone MGC:7312 IMAGE:3485864)	1.53E-05
-1.53	Sfrs2	NM_011358	Splicing factor Sc35 (Pr264) mRNA, partial cds, alternatively spliced	1.36E-06
-1.53	BB530856	BB530856	BB530856 RIKEN full-length enriched, 0 day neonate lung Mus musculus cDNA clone E030012C13 3, mRNA sequence.	4.81E-06
-1.53	Bet1	NM_009748	Blocked early in transport 1 homolog (S. cerevisiae), mRNA (cDNA clone MGC:11601 IMAGE:3967968)	5.43E-08
-1.53	Suv39h2	NM_022724	Suppressor of variegation 3-9 homolog 2 (Drosophila), mRNA (cDNA clone MGC:41074 IMAGE:1330053)	2.54E-04
-1.54	Sox2	NM_011443	SRY-box containing gene 2 (Sox2), mRNA	4.37E-05
-1.54	Hspa4	NM_008300	Heat shock protein 4, mRNA (cDNA clone MGC:5961 IMAGE:3494648)	3.90E-10
-1.54	4930535B03Rik	AK129150	PREDICTED: hypothetical protein LOC75137 [Mus musculus], mRNA sequence	8.14E-05
-1.54	Limd1	NM_013860	LIM domains containing 1 (Limd1), mRNA	5.74E-07
-1.54	C330027C09Rik	NM_172616	MKIAA1524 protein	1.42E-04
-1.54	Krtap6-3	D89901	High-glycine tyrosine keratin type II.3	8.42E-07
-1.54	1700029I01Rik	NM_027285	RIKEN cDNA 1700029I01 gene, mRNA (cDNA clone MGC:19361 IMAGE:4242170)	2.07E-04
-1.54	AK078008	AK078008	11 days embryo head cDNA, RIKEN full-length enriched library, clone:6230408M08 product:unclassifiable, full insert sequence	1.18E-08
-1.54	Id1	NM_010495	Inhibitor of DNA binding 1, mRNA (cDNA clone MGC:36214 IMAGE:4206508)	1.26E-07
-1.54	Gnl2	NM_145552	Guanine nucleotide binding protein-like 2 (nucleolar) (Gnl2), mRNA	5.90E-05
-1.54	AV121721	AV121721	AV121721 Mus musculus C57BL/6J 10-day embryo Mus musculus cDNA clone 2610509G11, mRNA sequence.	1.15E-05
-1.54	B130019G13Rik	AK045015	9.5 days embryo parthenogenote cDNA, RIKEN full-length enriched library, clone:B130019G13 product:similar to protein-tyrosine kinase (EC 2.7.1.112) JAK3 [Mus musculus], full insert sequence	1.54E-08
-1.54	9930013L23Rik	AK018112	RIKEN cDNA 9930013L23 gene (9930013L23Rik), mRNA	5.43E-07
-1.54	9330159F19Rik	AK034141	PREDICTED: hypothetical protein XP_137017 [Mus musculus], mRNA sequence	8.41E-08
-1.54	C030025P15Rik	NM_177287	Mus musculus RIKEN cDNA C030025P15 gene (C030025P15Rik), mRNA [NM_177287]	1.32E-11
-1.55	1110034C04Rik	NM_211355	Premature mRNA for mKIAA2010 protein	6.53E-09
-1.55	Angel2	NM_021421	Angel homolog 2 (Drosophila), mRNA (cDNA clone MGC:27768 IMAGE:2812124)	1.33E-11
-1.55	0610040D20Rik	NM_023153	RIKEN cDNA 0610040D20 gene, mRNA (cDNA clone MGC:7896 IMAGE:3582653)	1.10E-05
-1.55	Pnrc2	NM_026383	Proline-rich nuclear receptor coactivator 2, mRNA (cDNA clone MGC:11707 IMAGE:3965195)	3.67E-12
-1.55	1810008A14Rik	NM_025457	RIKEN cDNA 1810008A14 gene, mRNA (cDNA clone MGC:35756 IMAGE:4925089)	1.36E-06
-1.55	Mobk1b	BC011285	MOB1, Mps One Binder kinase activator-like 1B (yeast), mRNA (cDNA clone MGC:19450 IMAGE:3500664)	4.89E-06
-1.55	Crb3	NM_177638	Crumbs homolog 3 (Drosophila), mRNA (cDNA clone MGC:37326 IMAGE:4975562)	1.33E-05
-1.55	Sox21	NM_145464	SRY-box containing gene 21 (Sox21), mRNA	4.84E-04
-1.56	2200001I15Rik	NM_183278	RIKEN cDNA 2200001I15 gene (2200001I15Rik), mRNA	8.83E-05
-1.56	Mrps21	NM_078479	Mitochondrial ribosomal protein S21, mRNA (cDNA clone MGC:41294 IMAGE:1515797)	7.14E-07
-1.56	Gramd1b	AK122465	RIKEN cDNA A930008A22 gene, mRNA (cDNA clone MGC:99432 IMAGE:30616509)	1.17E-04
-1.56	Hbxap	XM_133622	Mus musculus hypothetical protein Hbxap (Hbxap), mRNA [XM_133622]	1.54E-04
-1.56	Rdh13	AK089458	Retinol dehydrogenase 13 (all-trans and 9-cis), mRNA (cDNA clone MGC:105205 IMAGE:30613493)	6.11E-04
-1.56	Mphosph10	NM_026483	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein), mRNA (cDNA clone IMAGE:4504841)	1.19E-05
-1.56	Fbxo5	NM_025995	F-box only protein 5 (Fbxo5), mRNA	4.02E-08
-1.56	Khdrbs1	NM_011317	KH domain containing, RNA binding, signal transduction associated 1, mRNA (cDNA clone MGC:6063 IMAGE:3490667)	7.48E-08
-1.56	TC983940	null	D49387 NADP dependent leukotriene b4 12-hydroxydehydrogenase {Homo sapiens}, partial (14%) [TC983940]	4.82E-12
-1.56	Usp14	NM_021522	Ubiquitin specific peptidase 14, mRNA (cDNA clone MGC:7106 IMAGE:3157723)	9.58E-05
-1.56	Mia1	NM_019394	Melanoma inhibitory activity 1, mRNA (cDNA clone MGC:13906 IMAGE:3987973)	6.29E-09
-1.56	Atp5h	NM_027862	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d (Atp5h), mRNA	4.84E-08
-1.56	Pyy	NM_145435	Peptide YY (Pyy), mRNA	1.95E-04
-1.56	Dusp8	NM_008748	Dual specificity phosphatase 8 (Dusp8), mRNA	1.04E-07
-1.56	Josd3	NM_029248	RIKEN cDNA 4930553M18 gene (4930553M18Rik), transcript variant 2, mRNA	2.70E-10
-1.56	Ndufa8	NM_026703	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8 (Ndufa8), mRNA	6.04E-04
-1.57	Plcb4	NM_013829	Phospholipase C, beta 4, mRNA (cDNA clone IMAGE:30249776)	3.74E-04
-1.57	BY667523	BY667523	Transcribed locus	1.05E-04
-1.57	Yeats4	NM_026570	YEATS domain containing 4, mRNA (cDNA clone MGC:28311 IMAGE:4013548)	1.39E-15
-1.57	Lnp	NM_027133	MKIAA1715 protein	3.85E-04
-1.57	Ugcgl1	AK044321	UDP-glucose ceramide glucosyltransferase-like 1, mRNA (cDNA clone MGC:61018	2.32E-04
			30022247
-1.57	1110017O22Rik	NM_183250	RIKEN cDNA 1110017O22 gene (1110017O22Rik), mRNA	2.06E-05
-1.57	Nap1l1	NM_015781	Nucleosome assembly protein 1-like 1 (Nap1l1), mRNA	3.57E-04
-1.57	Kctd12b	NM_175429	Potassium channel tetramerisation domain containing 12b, mRNA (cDNA clone MGC:69858 IMAGE:6821736)	1.62E-05
-1.57	Sfrs8	BC058689	Splicing factor, arginine/serine-rich 8, mRNA (cDNA clone MGC:31019 IMAGE:5006904)	1.87E-08
-1.57	Ddx26	NM_008715	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26 (Ddx26), mRNA	4.42E-06
-1.57	2310044G17Rik	AK076398	RIKEN cDNA 2310044G17 gene, mRNA (cDNA clone MGC:31149 IMAGE:4168224)	1.67E-15
-1.57	Hmgb1	NM_010439	High mobility group box 1, mRNA (cDNA clone MGC:8044 IMAGE:3587109)	1.65E-12
-1.58	Tbn	NM_022015	Taube nuss (Tbn), mRNA	1.19E-04
-1.58	Hhex	NM_008245	Hematopoietically expressed homeobox (Hhex), mRNA	3.49E-09
-1.58	Tacc3	NM_011524	Transforming, acidic coiled-coil containing protein 3, mRNA (cDNA clone MGC:5637 IMAGE:3500413)	7.37E-13
-1.58	Golph3	AK014644	Mus musculus 10 days neonate skin cDNA, RIKEN full-length enriched library, clone:4733401N08 product:golgi phosphoprotein 3, full insert sequence.	1.08E-05
-1.58	TC1012118	null	CUL3_MOUSE Cullin homolog 3 (CUL-3). [Mouse] {Mus musculus}, complete [TC1012118]	1.96E-04
-1.58	AA987161	null	ZINC FINGER PROTEIN 72; KRAB ZINC FINGER PROTEIN (MZF22). [Source:RefSeq;Acc:NM_133228] [ENSMUST00000062939]	3.21E-09
-1.58	Sbf2	AK029035	Myotubularin related protein 13, mRNA (cDNA clone IMAGE:3668035)	1.15E-08
-1.58	Ppp1r2	NM_025800	Protein phosphatase 1, regulatory (inhibitor) subunit 2 (Ppp1r2), mRNA	1.25E-08
-1.58	Senp2	AK009212	SUMO/sentrin specific peptidase 2, mRNA (cDNA clone MGC:35618 IMAGE:3483046)	2.49E-06
-1.58	Ndufa6	NM_025987	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6 (B14) (Ndufa6), mRNA	2.38E-07
-1.59	AA407452	BC066073	PREDICTED: hypothetical protein LOC57867 [Mus musculus], mRNA sequence	5.03E-04
-1.59	Commd1	NM_144514	COMM domain containing 1 (Commd1), mRNA	4.90E-08
-1.59	1810064L21Rik	AK007954	PREDICTED: Mus musculus RIKEN cDNA 1810064L21 gene (1810064L21Rik), mRNA	6.27E-06
-1.59	Rps24	NM_207634	Ribosomal protein S24 (Rps24), transcript variant 1, mRNA	4.41E-04
-1.59	6430598A04Rik	NM_175521	RIKEN cDNA 6430598A04 gene, mRNA (cDNA clone MGC:67304 IMAGE:5686602)	3.66E-04
-1.59	Hnrpa2b1	NM_016806	Heterogeneous nuclear ribonucleoprotein A2/B1 (Hnrpa2b1)	5.99E-07
-1.59	NAP028864-1	null	Unknown	3.91E-14
-1.59	1810022C23Rik	NM_026947	RIKEN cDNA 1810022C23 gene (1810022C23Rik), mRNA	1.75E-04
-1.59	Ireb2	BC044665	Iron responsive element binding protein 2 (Ireb2), mRNA	3.88E-05
-1.6	Refbp2	NM_019484	RNA and export factor binding protein 2 (Refbp2), mRNA	2.19E-05
-1.6	2010107H07Rik	AK007443	PREDICTED: Mus musculus RIKEN cDNA 2010107H07 gene (2010107H07Rik), mRNA	1.87E-05
-1.6	Wdr32	AK076417	WD repeat domain 32 (Wdr32), mRNA	2.93E-10
-1.6	Spire1	NM_194355	Spire homolog 1 (Drosophila), mRNA (cDNA clone MGC:106458 IMAGE:30535423)	1.21E-06
-1.6	A930035J23Rik	AK080746	PREDICTED: Mus musculus RIKEN cDNA A930035J23 gene (A930035J23Rik), mRNA	7.95E-05
-1.6	Aebp2	NM_009637	AE binding protein 2, mRNA (cDNA clone MGC:36099 IMAGE:5356616)	1.05E-07
-1.6	BB311275	BB311275	Transcribed locus	5.17E-05
-1.6	BC057627	NM_198631	CDNA sequence BC057627 (BC057627), mRNA	6.70E-04
-1.6	Hoxc9	NM_008272	Homeo box C9 (Hoxc9), mRNA	1.42E-04
-1.6	Pcnx	NM_018814	Pecanex homolog (Drosophila) (Pcnx), mRNA	1.64E-04
-1.6	Sox11	BC062095	SRY-box containing gene 11 (Sox11), mRNA	7.61E-04
-1.6	4930461P20Rik	XM_127961	PREDICTED: RIKEN cDNA 4930461P20 [Mus musculus], mRNA sequence	2.06E-04
-1.6	9130023F12Rik	NM_181411	RIKEN cDNA 9130023F12 gene, mRNA (cDNA clone IMAGE:3586021)	9.19E-13
-1.6	Tspyl4	NM_133745	Mus musculus TSPY-like 4 (Tspyl4), mRNA.	1.91E-07
-1.6	Soat1	BC025091	Sterol O-acyltransferase 1, mRNA (cDNA clone IMAGE:4007277)	2.14E-14
-1.61	Rdx	NM_009041	Radixin (Rdx), mRNA	8.03E-04
-1.61	Dscr2	NM_019537	Down syndrome critical region homolog 2 (human), mRNA (cDNA clone MGC:41332 IMAGE:1196077)	9.66E-08
-1.61	Pdcl3	NM_026850	Phosducin-like 3, mRNA (cDNA clone MGC:7220 IMAGE:3483084)	7.76E-06
-1.61	TC1020264	null	AB091123 PEM-3 {Halocynthia roretzi}, partial (29%) [TC1020264]	1.57E-06
-1.61	Thap2	NM_025780	RIKEN cDNA 9030625G08 gene, mRNA (cDNA clone MGC:41034 IMAGE:1515752)	3.42E-11
-1.61	Plaa	AK085027	Mus musculus 13 days embryo lung cDNA, RIKEN full-length enriched library, clone:D430026H23 product:phospholipase A2, activating protein, full insert sequence.	3.54E-05
-1.61	Slc25a16	NM_175194	Solute carrier family 25 (mitochondrial carrier, Graves disease autoantigen), member 16, mRNA (cDNA clone IMAGE:30133798)	8.57E-04
-1.61	TC975450	null	Unknown	1.37E-04
-1.61	4631422C13Rik	AK014527	PREDICTED: Mus musculus RIKEN cDNA 4631422C13 gene (4631422C13Rik), mRNA	3.82E-07
-1.61	BC012278	NM_146231	Mus musculus cDNA sequence BC012278 (BC012278), mRNA.	2.81E-10
-1.61	5830417C01Rik	AK089161	RIKEN cDNA 5830417C01 gene (5830417C01Rik), mRNA	1.66E-06
-1.61	8430426H19Rik	NM_178875	Mus musculus RIKEN cDNA 8430426H19 gene (8430426H19Rik), mRNA.	5.29E-05
-1.62	2310003F16Rik	NM_026318	RIKEN cDNA 2310003F16 gene, mRNA (cDNA clone MGC:35660 IMAGE:5116361)	4.62E-04
-1.62	Edd1	AK122398	Hyperplastic discs protein (Edd)	4.87E-05
-1.62	Wdr76	AK031592	WD repeat domain 76, mRNA (cDNA clone MGC:102269 IMAGE:30615673)	6.02E-14
-1.62	mszf81	AB010340	Mus musculus mRNA for mszf81, partial cds.	1.44E-12
-1.62	4921505C17Rik	NM_030168	RIKEN cDNA 4921505C17 gene, mRNA (cDNA clone IMAGE:4012732)	1.66E-06
-1.62	Klf15	NM_023184	Kruppel-like factor 15, mRNA (cDNA clone MGC:19125 IMAGE:4211067)	3.21E-04
-1.62	2010110K16Rik	AK002667	RIKEN cDNA 2010110K16 gene (2010110K16Rik), mRNA	6.09E-04
-1.62	Pcaf	NM_020005	P300/CBP-associated factor (Pcaf), mRNA	1.02E-04
-1.62	Tcfcp2l1	AK086294	Transcription factor CP2-like 1 (Tcfcp2l1), mRNA	9.11E-09
-1.62	Lats1	AF104414	Large tumor suppressor 1 (Lats1)	3.74E-07
-1.62	3100002J23Rik	AK013920	13 days embryo head cDNA, RIKEN full-length enriched library, clone:3100002J23 product:hypothetical protein, full insert sequence	7.75E-05
-1.62	Bcas2	NM_026602	Breast carcinoma amplified sequence 2, mRNA (cDNA clone MGC:46764 IMAGE:4984289)	8.93E-04
-1.62	Kif23	NM_024245	Kinesin family member 23 (Kif23), mRNA	8.08E-10
-1.63	Gfm1	AK018125	G elongation factor 1, mRNA (cDNA clone MGC:25967 IMAGE:4239980)	4.41E-07
-1.63	1110059P08Rik	NM_025418	RIKEN cDNA 1110059P08 gene (1110059P08Rik), mRNA	4.75E-11
-1.63	BC063263	BC063263	PREDICTED: similar to Zinc finger protein 267 (Zinc finger protein HZF2) [Mus musculus], mRNA sequence	1.08E-05
-1.63	2610042L04Rik	AK084071	PREDICTED: Mus musculus similar to Discs, large homolog 5 (Placenta and prostate DLG) (Discs large protein P-dlg) (LOC546597), mRNA	2.89E-05
-1.63	TC1048676	null	BC003770 heat shock protein, 110 kDa {Mus musculus}, complete [TC1048676]	9.88E-06
-1.63	Sfrs8	BC057314	Splicing factor, arginine/serine-rich 8, mRNA (cDNA clone MGC:31019 IMAGE:5006904)	7.27E-05
-1.63	1700029F09Rik	XM_355303	RIKEN cDNA 1700029F09 gene, mRNA (cDNA clone MGC:118304 IMAGE:30916402)	2.84E-07
-1.63	Eif3s6	NM_008388	Eukaryotic translation initiation factor 3, subunit 6, mRNA (cDNA clone MGC:36795 IMAGE:3988386)	1.32E-05
-1.63	Amfr	NM_011787	Autocrine motility factor receptor, mRNA (cDNA clone MGC:19116 IMAGE:4209258)	3.71E-04
-1.63	Brwd1	NM_145125	Bromodomain and WD repeat domain containing 1 (Brwd1), mRNA	1.89E-04
-1.63	Slc30a1	AK048209	Solute carrier family 30 (zinc transporter), member 1 (Slc30a1), mRNA	4.53E-15
-1.64	Zfp367	NM_175494	Zinc finger protein 367 (Zfp367), mRNA	8.29E-07
-1.64	0610007P22Rik	NM_026676	RIKEN cDNA 0610007P22 gene, mRNA (cDNA clone MGC:48205 IMAGE:1516275)	1.09E-04
-1.64	Fgfr1op2	NM_026218	FGFR1 oncogene partner 2, mRNA (cDNA clone MGC:25495 IMAGE:4504364)	1.20E-17
-1.64	TC950369	null	Unknown	1.75E-04
-1.64	AI851076	AK046155	Expressed sequence AI851076 (AI851076), mRNA	8.97E-07
-1.64	Hmgb2l1	NM_178017	High mobility group box 2-like 1, mRNA (cDNA clone IMAGE:4948318)	7.53E-21
-1.64	Fdx1	NM_007996	Ferredoxin 1 (Fdx1), mRNA	4.74E-05
-1.64	Hnrpdl	BC048412	Mus musculus mRNA similar to hypothetical protein LOC201175 (cDNA clone MGC:57088 IMAGE:6488438), complete cds. [BC048412]	7.31E-06
-1.64	8430416G17Rik	AK018420	16 days embryo lung cDNA, RIKEN full-length enriched library, clone:8430416G17 product:unclassifiable, full insert sequence	4.87E-06
-1.65	C1d	NM_020558	nuclear DNA binding protein	3.83E-09
-1.65	BC017133	NM_146169	CDNA sequence BC017133, mRNA (cDNA clone MGC:31490 IMAGE:4486457)	1.32E-09
-1.65	1810034M08Rik	NM_176842	RIKEN cDNA 1810034M08 gene, mRNA (cDNA clone MGC:38694 IMAGE:5357332)	1.10E-08
-1.65	BB206048	BB206048	0 day neonate thymus cDNA, RIKEN full-length enriched library, clone:A430071M17 product:unclassifiable, full insert sequence	1.44E-04
-1.65	Osbp	BC003443	Mus musculus oxysterol binding protein, mRNA (cDNA clone IMAGE:2651122), partial cds.	6.86E-16
-1.65	TC1042816	null	AB065580 seven transmembrane helix receptor {Homo sapiens}, partial (12%) [TC1042816]	4.87E-04
-1.65	Zfp426	NM_146221	Zinc finger protein 426, mRNA (cDNA clone MGC:38255 IMAGE:5324400)	1.47E-07
-1.65	Fxr1h	AK049231	Fragile X mental retardation gene 1, autosomal homolog (Fxr1h), mRNA	6.95E-09
-1.65	Cd274	NM_021893	CD274 antigen (Cd274), mRNA	1.20E-04
-1.66	TC1049010	null	AJ223076 TRIP protein {Cricetulus griseus}, partial (74%) [TC1049010]	5.94E-09
-1.66	E130014J05Rik	AK129389	RIKEN cDNA E130014J05 gene, mRNA (cDNA clone MGC:37385 IMAGE:4977050)	7.04E-04
-1.66	Hdac4	NM_207225	Histone deacetylase 4 (Hdac4), mRNA	1.26E-04
-1.66	Rpe	NM_025683	Ribulose-5-phosphate-3-epimerase, mRNA (cDNA clone MGC:29410 IMAGE:5008075)	2.29E-08
-1.66	Add3	NM_013758	Adducin 3 (gamma), mRNA (cDNA clone MGC:46880 IMAGE:4506748)	7.72E-08
-1.66	Gng3	NM_010316	Guanine nucleotide binding protein (G protein), gamma 3 subunit, mRNA (cDNA clone MGC:36069 IMAGE:5365311)	3.45E-04
-1.66	Fzd7	NM_008057	Frizzled homolog 7 (Drosophila) (Fzd7), mRNA	7.91E-10
-1.66	TC1002961	null	Unknown	6.82E-09
-1.66	1810033B17Rik	AK087121	PREDICTED: hypothetical protein LOC69189 [Mus musculus], mRNA sequence	3.07E-05
-1.66	AK038983	AK038983	CDNA clone IMAGE:5252333	7.68E-04
-1.66	Syf2	NM_026780	SYF2 homolog, RNA splicing factor (S. cerevisiae) (Syf2), mRNA	2.23E-09
-1.66	Mrpl1	BC028774	Mitochondrial ribosomal protein L1, mRNA (cDNA clone IMAGE:964045)	9.65E-04
-1.66	Sema6a	AK034123	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A (Sema6a), mRNA	5.92E-06
-1.66	1810063B05Rik	NM_174987	RIKEN cDNA 1810063B05 gene (1810063B05Rik), mRNA	8.83E-04
-1.66	Dpy19l1	NM_172920	Dpy-19-like 1 (C. elegans) (Dpy19l1), mRNA	2.34E-07
-1.67	A430031N04	BC068245	hypothetical protein A430031N04	1.10E-10
-1.67	Alx4	NM_007442	Aristaless 4 (Alx4), mRNA	2.05E-04
-1.67	Clpb	AK032421	Suppressor of K+ transport defect 3 (Skd3), mRNA	5.22E-07
-1.67	Mlf1	NM_010801	Myeloid leukemia factor 1, mRNA (cDNA clone MGC:41163 IMAGE:1495721)	2.70E-06
-1.67	A230042K10Rik	NM_177622	RIKEN cDNA A230042K10 gene (A230042K10Rik), mRNA	2.95E-06
-1.67	Ptprk	NM_008983	Protein tyrosine phosphatase, receptor type, K, mRNA (cDNA clone IMAGE:3492261)	4.04E-06
-1.67	Prkar1a	NM_021880	Protein kinase, cAMP dependent regulatory, type I, alpha, mRNA (cDNA clone MGC:11864 IMAGE:3597765)	2.77E-13
-1.67	TC1011210	null	BC017247 far upstream element (FUSE) binding protein 1 {Homo sapiens}, complete [TC1011210]	1.70E-06
-1.67	2510049I19Rik	NM_026455	RIKEN cDNA 2510049I19 gene, mRNA (cDNA clone MGC:8227 IMAGE:3591395)	2.90E-14
-1.67	Rapgef6	BC019702	Rap guanine nucleotide exchange factor (GEF) 6, mRNA (cDNA clone IMAGE:5321951)	7.05E-05
-1.68	Birc4	AK041844	Baculoviral IAP repeat-containing 4 (Birc4), mRNA	1.09E-05
-1.68	Atp6ap2	NM_027439	ATPase, H+ transporting, lysosomal accessory protein 2 (Atp6ap2), mRNA	7.67E-07
-1.68	Klhl24	AK054351	Kelch-like 24 (Drosophila) (Klhl24), mRNA	9.43E-08
-1.68	Cask	NM_009806	Calcium/calmodulin-dependent serine protein kinase (MAGUK family) (Cask), transcript variant 2, mRNA	7.41E-08
-1.68	Glt28d1	NM_026247	Glycosyltransferase 28 domain containing 1 (Glt28d1), mRNA	3.08E-13
-1.68	8430406M14Rik	AK033366	16 days embryo lung cDNA, RIKEN full-length enriched library, clone:8430406M14 product:unclassifiable, full insert sequence	1.12E-07
-1.68	6720475J19Rik	AK020103	CDNA, clone:Y2G0133L07, strand:plus, reference:ENSEMBL:Mouse-Transcript-ENST:ENSMUST00000070391, based on BLAT search	8.40E-09
-1.68	2610207P08Rik	AK082752	RIKEN cDNA 2610207P08 gene (2610207P08Rik), mRNA	1.97E-05
-1.68	Lmyc1	NM_008506	Lung carcinoma myc related oncogene 1 (Lmyc1), mRNA	3.26E-05
-1.68	B230206N24Rik	NM_172487	RIKEN cDNA B230206N24 gene (B230206N24Rik), mRNA	2.38E-08
-1.68	Zfr	NM_011767	Zinc finger RNA binding protein, mRNA (cDNA clone IMAGE:3154019)	1.33E-06
-1.68	Ctla2a	NM_007796	Cytotoxic T lymphocyte-associated protein 2 alpha, mRNA (cDNA clone MGC:41186 IMAGE:1244311)	1.18E-07
-1.69	XM_137113	XM_137113	Mus musculus similar to Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2 / hnRNP B1) (LOC211870), mRNA [XM_137113]	5.76E-07
-1.69	Zfp191	NM_021559	Zinc finger protein 191, mRNA (cDNA clone MGC:19271 IMAGE:3992743)	9.78E-04
-1.69	Efna2	NM_007909	Ephrin A2 (Efna2), mRNA	2.41E-05
-1.69	Id1	NM_010495	Inhibitor of DNA binding 1, mRNA (cDNA clone MGC:36214 IMAGE:4206508)	2.37E-10
-1.69	TC1024234	null	AY221172 p67-like superoxide-generating NADPH oxidase {Dictyostelium discoideum}, partial (5%) [TC1024234]	1.87E-10
-1.69	Dtx4	NM_172442	Deltex 4 homolog (Drosophila), mRNA (cDNA clone IMAGE:6334599)	7.39E-10
-1.69	Matr3	NM_010771	Matrin 3, mRNA (cDNA clone MGC:28206 IMAGE:3989914)	1.38E-16
-1.69	Ndufb3	NM_025597	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3, mRNA (cDNA clone MGC:46791 IMAGE:4989233)	2.24E-12
-1.69	AK078537	AK078537	Mus musculus 12 days embryo female mullerian duct includes surrounding region cDNA, RIKEN full-length enriched library, clone:6820439G08 product:syntaxin 3, full insert sequence.	1.17E-04
-1.7	Klra15	NM_013793	MHC class I receptor (Klra1)	9.76E-04
-1.7	Ccdc16	NM_025884	Coiled-coil domain containing 16, mRNA (cDNA clone MGC:35697 IMAGE:4981533)	1.28E-10
-1.7	Them4	XM_131022	RIKEN cDNA 4921507I02 gene, mRNA (cDNA clone IMAGE:4167216)	1.61E-05
-1.7	BC049806	NM_172513	CDNA sequence BC049806, mRNA (cDNA clone MGC:76460 IMAGE:30431671)	5.64E-04
-1.7	Gramd1b	AK122465	RIKEN cDNA A930008A22 gene, mRNA (cDNA clone MGC:99432 IMAGE:30616509)	1.94E-05
-1.7	Epc1	BC060145	Enhancer of polycomb homolog 1 (Drosophila) (Epc1), transcript variant 1, mRNA	4.16E-14
-1.7	Lsm6	BC030427	LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae), mRNA (cDNA clone MGC:40879 IMAGE:5370660)	9.36E-11
-1.71	Flt1	NM_010228	FMS-like tyrosine kinase 1, mRNA (cDNA clone MGC:36074 IMAGE:5368921)	1.79E-05
-1.71	Serbp1	NM_025814	RIKEN cDNA 1200009K13 gene, mRNA (cDNA clone MGC:40621 IMAGE:5401573)	4.27E-11
-1.71	3110001I20Rik	BC052489	RIKEN cDNA 3110001I20 gene, mRNA (cDNA clone MGC:106403 IMAGE:4023466)	9.20E-05
