GenBank no.	Gene Symbol	Gene name	Fold change	P-val
NM_003195	TCEA2	Homo sapiens transcription elongation factor A (SII), 2, transcript variant 1	2.1	1.67E-03
NM_007112	THBS3	Homo sapiens thrombospondin 3	2.1	1.29E-04
NM_003380	VIM	Homo sapiens vimentin	2.1	4.46E-04
NM_012287	CENTB2	Homo sapiens centaurin, beta 2	2.1	3.42E-03
NM_003098	SNTA1	Homo sapiens syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)	2.1	2.25E-03
NM_014046	MRPS18B	Homo sapiens mitochondrial ribosomal protein S18B, nuclear gene encoding mitochondrial protein	2.1	1.07E-03
NM_001040653	ZXDC	Homo sapiens ZXD family zinc finger C, transcript variant 2	2.1	1.04E-03
NM_017548	CDV3	Homo sapiens CDV3 homolog (mouse)	2.1	2.63E-03
NM_144635	FAM131A	Homo sapiens family with sequence similarity 131, member A	2.1	1.58E-03
NM_018650	MARK1	Homo sapiens MAP/microtubule affinity-regulating kinase 1	2.1	2.57E-03
NM_021964	ZNF148	Homo sapiens zinc finger protein 148	2.1	1.74E-03
NM_001897	CSPG4	Homo sapiens chondroitin sulfate proteoglycan 4	2.1	2.28E-03
NM_001935	DPP4	Homo sapiens dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)	2.1	2.04E-04
NM_182943	PLOD2	Homo sapiens procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2, transcript variant 1	2.1	4.17E-03
NM_014765	TOMM20	Homo sapiens translocase of outer mitochondrial membrane 20 homolog (yeast)	2.1	1.74E-03
NM_198321	GALNT10	Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)	2	3.28E-05
NM_018622	PARL	Homo sapiens presenilin associated, rhomboid-like, nuclear gene encoding mitochondrial protein, transcript variant 1	2	4.66E-04
NM_033224	PURB	Homo sapiens purine-rich element binding protein B	2	2.49E-03
NM_014820	TOMM70A	Homo sapiens translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae), nuclear gene encoding mitochondrial protein	2	3.78E-03
NM_152395	NUDT16	Homo sapiens nudix (nucleoside diphosphate linked moiety X)-type motif 16	2	1.75E-03
NM_213674	TPM2	Homo sapiens tropomyosin 2 (beta), transcript variant 2	2	1.41E-04
NM_020443	NAV1	Homo sapiens neuron navigator 1	2	3.07E-03
NM_001636	SLC25A6	Homo sapiens solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	2	2.10E-03
NM_000313	PROS1	Homo sapiens protein S (alpha)	2	3.49E-03
NM_001049	SSTR1	Homo sapiens somatostatin receptor 1	2	3.67E-03
NM_020166	MCCC1	Homo sapiens methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)	2	2.62E-03
NM_004462	FDFT1	Homo sapiens farnesyl-diphosphate farnesyltransferase 1	2	1.51E-05
NM_001003793	RBMS3	Homo sapiens RNA binding motif, single stranded interacting protein, transcript variant 1	2	1.67E-04
NM_016306	DNAJB11	Homo sapiens DnaJ (Hsp40) homolog, subfamily B, member 11	2	1.95E-04
NM_130837	OPA1	Homo sapiens optic atrophy 1, nuclear gene encoding mitochondrial protein, transcript variant 8	2	2.18E-04
NM_024638	QTRTD1	Homo sapiens queuine tRNA-ribosyltransferase domain containing 1	2	1.43E-03
NM_004423	DVL3	Homo sapiens dishevelled, dsh homolog 3 (Drosophila)	2	3.81E-03
NM_003262	TLOC1	Homo sapiens translocation protein 1	2	2.20E-03
NM_000599	IGFBP5	Homo sapiens insulin-like growth factor binding protein 5	2	8.28E-04
