Fisher score	Gene symbol	Gene name	Reporter	Accession number
0.941220812	FLJ32955	Hypothetical protein FLJ32955	H200020667	AK057517
0.939792482	LOC155435	Hypothetical protein LOC155435	H200002635	AK055460
0.938107109	WBSCR20A	Williams Beuren syndrome chromosome region 20A	H200016964	NM_018044
0.937690292	ZNF382	Zinc finger protein 382	H200013280	NM_032825
0.937245733	LOC201617	Hypothetical protein LOC201617	H200017574	AK055831
0.93717676	GRK6	G protein-coupled receptor kinase 6	H200006279	NM_002082
0.936294218	CCPG1	Phosphatidylinositol glycan, class B	H200020108	AK022459
0.936229334	KLHL3	Kelch-like 3 (Drosophila)	H200001427	NM_017415
0.936182947	GBP5	Guanylate binding protein 5	H200015603	NM_052942
0.93564289	DEPDC2	DEP domain containing 2	H200009790	NM_025170
0.933953339	LOC256273	Hypothetical protein LOC256273	H200010982	AK000908
0.933516942	MGC4728	Similar to hypothetical protein FLJ23233	H200018815	AK057209
0.931875795	FGFR2	Fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	H200017313	NM_023028
0.931810466	PCTK2	PCTAIRE protein kinase 2	H200008658	NM_002595
0.931302624	ARHGEF3	Rho guanine nucleotide exchange factor (GEF) 3	H200003578	NM_019555
0.929746453	VAMP4	Vesicle-associated membrane protein 4	H200001274	AK056124
0.928358037	HAK	Heart alpha-kinase	H200005196	NM_052947
0.92722783	Cep72	Centrosomal protein 72 kDa	H200021217	BC016872
0.925651058	UCN	Urocortin	H200013135	NM_003353
0.92553858	LOC134285	Hypothetical protein LOC134285	H200007542	BC018083
0.924996097	MGC3207	Hypothetical protein MGC3207	H200002226	AK026666
0.924738878	NFKBIA	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	H200006833	NM_020529
0.92405425	ASGR1	Asialoglycoprotein receptor 1	H200002058	NM_001671
0.920861378	SESN2	Sestrin 2	H200001568	NM_031459
0.9194074	DUSP3	Dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	H200008500	AK055834
0.917096798	EGR3	Early growth response 3	H200005916	NM_004430
0.916158869	PIGQ	Phosphatidylinositol glycan, class Q	H200019749	BC010094
0.915919497	SSB3	SPRY domain-containing SOCS box protein SSB-3	H300018135	NM_080861
0.915699673	PVRL3	Poliovirus receptor-related 3	H200009605	AK021836
0.915530285	MGC10485	Hypothetical protein MGC10485	H200019644	NM_052875
0.91476292	C9orf54	Chromosome 9 open reading frame 54	H200019132	BC009114
0.913984434	MPL	Myeloproliferative leukemia virus oncogene	H200007097	NM_005373
0.913481358	C19orf13	Chromosome 19 open reading frame 13	H200001627	AK027643
0.913214881	WNT6	Wingless-type MMTV integration site family, member 6	H200003953	NM_006522
0.912540527	SPG20	Spastic paraplegia 20, spartin (Troyer syndrome)	H200012082	AB011182
0.912371913	APOL3	Apolipoprotein L, 3	H200015760	AY014906
0.912096643	PCDH1	Protocadherin 1 (cadherin-like 1)	H200006720	NM_032420
0.911111924	HSPC105	D(P) dependent steroid dehydrogenase-like	H200010253	AK026740
0.910691689	LOC153222	Adult retina protein	H300005599	NM_153607
0.910278692	ISCU	Iron-sulfur cluster assembly enzyme	H200020709	AK057251
0.908801941	AMPD1	Adenosine monophosphate deaminase 1 (isoform M)	H200010353	NM_000036
0.908507131	TMOD4	Tropomodulin 4 (muscle)	H200016253	NM_013353
0.907511981	PIGA	Phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria)	H200000016	NM_002641
0.906168587	SF3A1	Splicing factor 3a, subunit 1, 120kDa	H200019649	NM_005877
0.903264171	GPT	Glutamic-pyruvate transaminase (alanine aminotransferase)	H200011245	NM_005309
0.90295336	LOC339290	Hypothetical protein LOC339290	H200021075	U79248
0.901896844	PRKG1	Protein kinase, cGMP-dependent, type I	H200000658	NM_006258
0.901108225	PANK3	Pantothenate kinase 3	H200003317	NM_024594
0.899983392	CMA1	Chymase 1, mast cell	H200013182	NM_001836
0.89887114	MYCT1	Myc target 1	H200002710	AK021612
0.897634297	SOCS3	Suppressor of cytokine signaling 3	H200020082	NM_003955
0.896285	TIMP2	Tissue inhibitor of metalloproteinase 2	H200019139	NM_003255
0.896187161	AMY1A	Amylase, alpha 1A; salivary	H300004253	NM_004038
0.894862892	KIAA0892	KIAA0892	H200011839	AB020699
0.894680185	ZNF595	Zinc finger protein 595	H200008763	AK056302
0.893366269	GSTA2	Glutathione S-transferase A2	H200010348	NM_000846
0.8916674	SITPEC	Likely ortholog of mouse signaling intermediate in Toll pathway-evolutionarily conserved	H200003123	NM_016581
0.891606739	DKFZp434D0	SH3 domain protein D19	H200003432	AL133047
0.890534956	ORAOV1	Oral cancer overexpressed 1	H200005505	AK054816
0.890336113	GEMIN7	Gem (nuclear organelle) associated protein 7	H200011215	NM_024707
0.889711479	FOXC2	Forkhead box C2 (MFH-1, mesenchyme forkhead 1)	H200015669	NM_005251
0.88937477	OSBPL10	Oxysterol binding protein-like 10	H200018977	NM_017784
0.888540433	SSTK	Serine/threonine protein kinase SSTK	H200013487	NM_032037
0.88757799	PHEMX	Pan-hematopoietic expression	H200016769	NM_005705
0.885319635	DACT1	Dapper homolog 1, antagonist of beta-catenin (xenopus)	H200004911	NM_016651
0.885090515	NF1	Neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	H200010569	NM_000267
0.884328676	ALOX5AP	Arachidonate 5-lipoxygenase-activating protein	H200011059	NM_001629
0.884052713	TNFAIP2	Tumor necrosis factor, alpha-induced protein 2	H200011121	NM_006291
0.883935223	FAM40A	Family with sequence similarity 40, member A	H200007838	AB051548
0.883214949	FBXW11	F-box and WD-40 domain protein 11	H200002990	NM_012300
0.881560032	C20orf141	Chromosome 20 open reading frame 141	H200012478	BC014591
0.881397751	C18orf49	Chromosome 18 open reading frame 49	H200010849	AK000229
0.880366942	KRT19	Keratin 19	H200008573	NM_002276
0.87982641	CHD6	Chromodomain helicase D binding protein 6	H200004749	AB037756
0.878478699	SFTPB	Surfactant, pulmonary-associated protein B	H200006280	NM_000542
0.877954204	GABARAPL1	GABA(A) receptor-associated protein like 1	H200019777	NM_031412
0.87756613	RNF19	Ring finger protein 19	H200004867	AB029316
0.877546709	STK29	Serine/threonine kinase 29	H200007950	AF020089
0.876892972	RRBP1	Ribosome binding protein 1 homolog 180kDa (dog)	H200010903	AB037819
0.876782352	SPPL2B	SPPL2b	H200008738	AB040965
0.875998687	SMAD6	SMAD, mothers against DPP homolog 6 (Drosophila)	H200013912	AF035528
0.874343056	LUZP1	Leucine zipper protein 1	H200019640	BC002428
0.873847951	FLJ20156	Hypothetical protein FLJ20156	H200002167	NM_017691
0.87378009	FOXP4	Forkhead box P4	H200014854	BC013030
0.873659067	OBP2B	Odorant binding protein 2B	H300018987	NM_014581
0.872726663	DKFZP586D0	Hepatocellularcarcinoma-associated antigen HCA557a	H200004932	AL050100
0.871926423	BAI1	Brain-specific angiogenesis inhibitor 1	H200014637	NM_001702
0.870840627	ANXA3	Annexin A3	H200000361	NM_005139
0.870383532	USF2	Upstream transcription factor 2, c-fos interacting	H200010593	NM_003367
0.870259428	RHBDF1	Rhomboid family 1 (Drosophila)	H200020763	AK056708
0.870243598	LRFN3	Leucine rich repeat and fibronectin type III domain containing 3	H200013424	NM_024509
0.868805677	SLC6A14	Solute carrier family 6 (neurotransmitter transporter), member 14	H200007541	NM_007231
0.865822347	LOC90246	Hypothetical protein LOC90246	H200009055	AK023635
0.865524506	RPL23	Ribosomal protein L23	H200019011	AK025200
0.863492088	RBMS2	R binding motif, single stranded interacting protein 2	H200002945	NM_002898
0.86206526	FLJ20605	Hypothetical protein FLJ20605	H200000954	NM_017898
0.860678644	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	H200001141	NM_016938
0.858976732	LRP10	Low density lipoprotein receptor-related protein 10	H200000836	NM_014045
0.85650335	PCDHB2	Protocadherin beta 2	H200016569	NM_018936
0.854007418	MGC33887	Hypothetical protein MGC33887	H300022254	NM_145036
0.852621457	APOC4	Apolipoprotein C-IV	H200011704	NM_001646
0.852157141	KIAA1671	KIAA1671 protein	H200001519	AB051458
0.850734478	GIMAP6	GTPase, IMAP family member 6	H200011375	NM_024711
0.850258912	ZNF443	Zinc finger protein 443	H200013348	NM_005815
0.848683351	ETS2	V-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	H200007140	NM_005239
0.848604523	COL15A1	Collagen, type XV, alpha 1	H200007010	NM_001855
0.846682199	FGF9	Fibroblast growth factor 9 (glia-activating factor)	H200000035	NM_002010
0.84636261	PHF1	PHD finger protein 1	H200007674	NM_024165
0.845520789	COPEB	Core promoter element binding protein	H200008824	NM_001300
0.844927944	FOLR1	Folate receptor 1 (adult)	H200005861	NM_016730
0.841938368	DMRTC2	DMRT-like family C2	H200015188	AK057404
0.841446555	PTGFR	Prostaglandin F receptor (FP)	H200010318	NM_000959
0.841074171	SEC14L1	SEC14-like 1 (S. cerevisiae)	H200006038	NM_003003
0.840752653	FUCA1	Fucosidase, alpha-L- 1, tissue	H200000147	NM_000147
0.838308061	TP53TG3	TP53TG3 protein	H200017298	NM_015369
0.836586871	TRIM16	Tripartite motif-containing 16	H200015716	NM_006470
0.836059389	MGC4171	Hypothetical protein MGC4171	H200009446	NM_024307
0.835423982	MGC13102	Hypothetical protein MGC13102	H200020130	NM_032323
0.834484499	ZNF585A	Zinc finger protein 585A	H200005323	AK056389
0.833071833	AREG	Amphiregulin (schwannoma-derived growth factor)	H200016719	NM_001657
0.832900054	HLA-E	Major histocompatibility complex, class I, E	H200008541	NM_005516
0.832795943	PALM2-AKAP	PALM2-AKAP2 protein	H200004569	AJ303079
0.832692565	AIM1L	Absent in melanoma 1-like	H200012766	NM_017977
0.83215541	WBSCR19	Williams Beuren syndrome chromosome region 19	H200019331	AL137266
0.83175455	NELF	Nasal embryonic LHRH factor	H200000959	NM_015537
0.829099609	GI1	Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	H200014968	NM_002069
0.828327753	C16orf44	Chromosome 16 open reading frame 44	H200011988	NM_024731
0.828195262	HCN2	Hyperpolarization activated cyclic nucleotide-gated potassium channel 2	H200012492	NM_001194
0.82773437	AKR1A1	Aldo-keto reductase family 1, member A1 (aldehyde reductase)	H200010341	NM_006066
0.827665194	DH3	Dynein, axonemal, heavy polypeptide 3	H200013478	AL096732
0.827660965	PLS3	Plastin 3 (T isoform)	H200000877	NM_005032
0.82552083	NHSL1	NHS-like 1	H200007912	AB037778
0.819347221	KIAA0515	KIAA0515	H200011612	AB011087
0.817843678	C20orf194	Chromosome 20 open reading frame 194	H200012180	AL110249
0.817364395	BARX1	BarH-like homeobox 1	H200007610	NM_021570
0.816457416	NESG1	Nasopharyngeal epithelium specific protein 1	H200007362	NM_012337
0.816318547	DDX3Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	H200010943	NM_004660
0.81624128	DYRK1B	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B	H200012935	NM_004714
0.814525044	C20orf149	Chromosome 20 open reading frame 149	H200006708	NM_024299
0.814357878	GSTK1	Glutathione S-transferase kappa 1	H200017569	NM_015917
0.813078186	KIAA0773	KIAA0773 gene product	H200013172	NM_014690
0.8129324	KIAA1223	KIAA1223 protein	H200003864	AB033049
0.811967492	OIT3	Oncoprotein induced transcript 3	H300008153	NM_152635
0.80800337	MGC15912	Hypothetical protein MGC15912	H200002623	NM_032886
0.807909755	NDST3	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3	H200002866	NM_004784
0.80765248	LOC92154	Hypothetical protein BC002770	H200018937	BC002770
0.80755601	ELOVL4	Elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4	H200011151	NM_022726
0.807470016	C20orf13	Chromosome 20 open reading frame 13	H200010276	NM_017714
0.807468276	ZNF606	Zinc finger protein 606	H200009088	AB058755
0.807308686	PIP5K1C	Phosphatidylinositol-4-phosphate 5-kinase, type I, gamma	H200017195	AB011161
0.805994527	PTCHD1	Patched domain containing 1	H200018932	AK054858
0.805631049	REC8L1	REC8-like 1 (yeast)	H200000922	NM_005132
0.805268473	PARP10	Poly (ADP-ribose) polymerase family, member 10	H200020305	NM_032789
0.804431818	TRHDE	Thyrotropin-releasing hormone degrading ectoenzyme	H200001243	NM_013381
0.804044782	PTHLH	Parathyroid hormone-like hormone	H200010365	NM_002820
0.802829405	PIK3AP1	Phosphoinositide-3-kinase adaptor protein 1	H300020593	NM_152309
0.802405223	FBN1	Fibrillin 1 (Marfan syndrome)	H200000189	NM_000138
0.801902901	C5orf5	Chromosome 5 open reading frame 5	H200006876	NM_016603
0.801422551	GATS	Opposite strand transcription unit to STAG3	H200021162	AK055399
0.801168849	RPL39	Ribosomal protein L39	H200009899	NM_001000
0.800704442	CAMK1	Calcium/calmodulin-dependent protein kinase I	H200014281	NM_003656
0.799033952	NLGN3	Neuroligin 3	H200004838	NM_018977
0.798724233	KIAA1713	KIAA1713 protein	H200013475	AL133050
0.798274012	SSTR4	Somatostatin receptor 4	H200015335	NM_001052
0.797155915	COL5A2	Collagen, type V, alpha 2	H200006995	NM_000393
0.796046488	DKFZP564K1	DKFZP564K1964 protein	H200000789	NM_015544
0.795154511	C6orf139	Chromosome 6 open reading frame 139	H200010289	NM_018132
0.79472981	RHPN1	Rhophilin, Rho GTPase binding protein 1	H200013649	AB067516
0.794459395	RAB3IL1	RAB3A interacting protein (rabin3)-like 1	H200002317	NM_013401
0.793820414	IGSF9	Immunoglobulin superfamily, member 9	H200010152	AB037776
0.793385576	CCR9	Chemokine (C-C motif) receptor 9	H200015303	NM_031200
0.790939665	BTG1	B-cell translocation gene 1, anti-proliferative	H200006354	NM_001731
0.790893281	COL4A5	Collagen, type IV, alpha 5 (Alport syndrome)	H200007863	NM_033380
0.788894083	DAP	Death-associated protein	H200006025	NM_004394
0.787560101	DFNB31	Deafness, autosomal recessive 31	H200010610	AB040959
0.786407853	A1BG	Alpha-1-B glycoprotein	H200020343	AK055885
0.785769462	BPY2IP1	BPY2 interacting protein 1	H200005595	NM_018174
0.785339672	LDHC	Lactate dehydrogenase C	H200011008	NM_002301
0.784908554	BACE1	Beta-site APP-cleaving enzyme 1	H200004929	NM_012104
0.784736167	NINJ1	Ninjurin 1	H200001991	NM_004148
0.784533287	DKFZP586A0	DKFZP586A0522 protein	H200009355	NM_014033
0.784221414	ERF	Ets2 repressor factor	H200019345	NM_006494
0.783873996	THBS2	Thrombospondin 2	H200011582	NM_003247
0.781562141	YPEL5	Yippee-like 5 (Drosophila)	H200014293	NM_016061
0.781050707	OPA3	Optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)	H200009381	NM_025136
0.781035051	ZNF42	Zinc finger protein 42 (myeloid-specific retinoic acid-responsive)	H200007864	NM_003422
0.77938482	ERBB2	V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	H200019081	NM_004448
0.777325107	FLJ22635	Hypothetical protein FLJ22635	H200009276	NM_025092
0.775573016	MADP-1	MADP-1 protein	H200004652	NM_033114
0.773851353	CLK1	CDC-like kinase 1	H200000533	AK025306
0.772415272	CSTF2T	Cleavage stimulation factor, 3 pre-R, subunit 2, 64kDa, tau variant	H200009774	AK022347
0.772048116	SREBF1	Sterol regulatory element binding transcription factor 1	H200000049	NM_004176
0.771527068	ACTRT1	Actin-related protein T1	H200020337	BC014597
0.770746928	NOG	Nanog homeobox	H200019169	NM_024865
0.769800153	DNMBP	Dynamin binding protein	H200003333	AB023227
0.768946677	NDE1	NudE nuclear distribution gene E homolog 1 (A. nidulans)	H200016534	NM_017668
0.767448188	C10orf91	Chromosome 10 open reading frame 91	H300007529	NM_173541
0.766316968	KIAA1904	KIAA1904 protein	H200016247	AB067491
0.764379382	SLC18A1	Solute carrier family 18 (vesicular monoamine), member 1	H200019371	BC006317
0.764116618	CECR3	Cat eye syndrome chromosome region, candidate 3	H200019867	AF277398
0.763508834	NR1D1	Nuclear receptor subfamily 1, group D, member 1	H200017216	NM_021724
0.761500015	FLJ10159	Hypothetical protein FLJ10159	H200003154	NM_018013
0.760376587	SLC26A1	Solute carrier family 26 (sulfate transporter), member 1	H200018001	NM_022042
0.760171551	CTSS	Cathepsin S	H200008524	AK024855
0.759761466	FMR1	Fragile X mental retardation 1	H200010389	NM_002024
0.758629519	FKBP9L	FK506 binding protein 9-like	H200018145	BC011872
0.758381652	UBE2E1	Ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)	H200008977	AK022062
0.75554701	DNER	Delta-notch-like EGF repeat-containing transmembrane	H200015491	AL137311
0.755523457	STX16	Syntaxin 16	H200011161	AK026970
0.754824017	TBRG1	Transforming growth factor beta regulator 1	H200021223	AK057749
0.752111986	ESAM	Endothelial cell adhesion molecule	H200008171	AF361746
0.751856654	SS18L1	Synovial sarcoma translocation gene on chromosome 18-like 1	H200013969	AB014593
0.751251135	BC002942	Hypothetical protein BC002942	H200013708	BC014652
0.75090731	MAN1B1	Mannosidase, alpha, class 1B, member 1	H200017524	NM_016219
0.74881533	ACTG2	Actin, gamma 2, smooth muscle, enteric	H200006478	NM_001615
0.748545083	PRKCA	Protein kinase C, alpha	H200017515	AF035594
0.748412314	TOB2	Transducer of ERBB2, 2	H200000968	AB051450
0.748346973	SORL1	Sortilin-related receptor, L(DLR class) A repeats-containing	H200017309	NM_003105
0.748161418	Cep70	P10-binding protein	H200004567	NM_024491
0.747582707	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)	H200000853	NM_015542
0.746673584	SIL1	Endoplasmic reticulum chaperone SIL1, homolog of yeast	H200009843	NM_022464
0.746567477	CAC1A	Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	H200010734	NM_023035
0.746481782	B3GNT5	UDP-Glcc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	H200013211	NM_032047
0.746297765	RASAL1	RAS protein activator like 1 (GAP1 like)	H200014809	NM_004658
0.746202388	ZNF230	Zinc finger protein 230	H200007308	AK056865
0.745689937	CSNK1G2	Casein kinase 1, gamma 2	H200008539	NM_001319
0.744381349	LOC286144	Hypothetical protein LOC286144	H200001218	AF130048
0.744369166	S100A11	S100 calcium binding protein A11 (calgizzarin)	H200016404	NM_005620
0.743319697	FNDC1	Fibronectin type III domain containing 1	H200019702	AB058769
0.741633429	ELMOD2	ELMO domain containing 2	H200009394	AK021525
0.740773669	HACE1	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	H200012054	AB037741
0.740684575	DKFZp761L1	Hypothetical protein DKFZp761L1518	H200015230	AK024495
0.738578429	LOC130617	Hypothetical protein BC018415	H200009632	BC018415
0.737091231	SFRS16	Splicing factor, arginine/serine-rich 16 (suppressor-of-white-apricot homolog, Drosophila)	H200004633	NM_007056
0.736757606	ASXL2	Additional sex combs like 2 (Drosophila)	H200002325	AB051472
0.734695138	TUSC2	Tumor suppressor candidate 2	H200001616	NM_007275
0.734483048	TAF6	TAF6 R polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa	H200006565	NM_005641
0.733318115	CARD8	Caspase recruitment domain family, member 8	H200001873	NM_014959
0.730635921	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	H200010451	NM_020038
0.730292712	FLJ20626	Hypothetical protein FLJ20626	H200007596	NM_017908
0.72905552	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	H200006467	AK025736
0.727229284	RREB1	Ras responsive element binding protein 1	H200008009	D49835
0.725515385	DHX37	DEAH (Asp-Glu-Ala-His) box polypeptide 37	H200011515	AB040950
0.723987473	TIEG2	TGFB inducible early growth response 2	H200002085	NM_003597
0.723855306	PILRB	Paired immunoglobin-like type 2 receptor beta	H200020421	AK056412
0.723197685	STS	Steroid sulfatase (microsomal), arylsulfatase C, isozyme S	H200006723	NM_000351
0.718794442	PAQR4	Progestin and adipoQ receptor family member IV	H200021148	AK054564
0.718506356	KRT14	Keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner)	H200012063	NM_000526
0.718239716	TRIP11	Thyroid hormone receptor interactor 11	H200007135	NM_004239
0.718184148	C21orf45	Chromosome 21 open reading frame 45	H200004959	NM_018944
0.718041834	DNB5	Deleted in neuroblastoma 5	H200012767	AF118274
0.71532894	VIL2	Villin 2 (ezrin)	H200014043	NM_003379
0.713133545	GNPDA2	Glucosamine-6-phosphate deaminase 2	H200003017	AK055639
0.711707841	HRPT2	Hyperparathyroidism 2 (with jaw tumor)	H200018110	AF038194
0.711386459	LPHN1	Latrophilin 1	H200011490	NM_014921
0.710288402	EF4	Ephrin-A4	H200004570	NM_005227
0.705940437	P29	GCIP-interacting protein p29	H200002862	NM_015484
0.705311261	C21orf4	Chromosome 21 open reading frame 4	H200001728	AL355685
0.703041873	FLJ12442	Hypothetical protein FLJ12442	H200007121	NM_022908
0.701721199	USP33	Ubiquitin specific protease 33	H200008159	AB029020
0.700021629	DDX26	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26	H200005330	NM_012141
0.696692165	ZNF616	Zinc finger protein 616	H200015839	AK025434
0.69566018	SYNJ1	Synaptojanin 1	H200012681	AB020717
0.694987884	ERO1LB	ERO1-like beta (S. cerevisiae)	H200014395	AK001865
0.691727692	CRLF1	Cytokine receptor-like factor 1	H200011936	NM_004750
0.690359163	GPR143	G protein-coupled receptor 143	H200005922	NM_000273
0.689544184	NFIL3	Nuclear factor, interleukin 3 regulated	H200006664	NM_005384
0.686524664	HLA-DRA	Major histocompatibility complex, class II, DR alpha	H200006327	NM_019111
0.682410863	SERPI5	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	H200006282	BC008915
0.681795523	MGC13098	Hypothetical protein MGC13098	H200015215	BC006435
0.680238183	ID3	Inhibitor of D binding 3, dominant negative helix-loop-helix protein	H200006334	NM_002167
0.679878997	PLA2G6	Phospholipase A2, group VI (cytosolic, calcium-independent)	H200012249	NM_003560
0.678905396	RBP4	Retinol binding protein 4, plasma	H300007232	NM_006744
0.678154729	PIK3C2B	Phosphoinositide-3-kinase, class 2, beta polypeptide	H200013011	NM_002646
0.67790707	MGC10471	Hypothetical protein MGC10471	H200003470	NM_030818
0.676614605	PLXDC2	Plexin domain containing 2	H200004216	NM_032812
0.676584814	FLJ32384	Hypothetical protein MGC39389	H200005222	AK056946
0.675656763	FLJ35801	Hypothetical protein FLJ35801	H300004609	NM_153044
0.675615479	TPST1	Tyrosylprotein sulfotransferase 1	H200002641	NM_003596
0.675420034	MGC35558	Hypothetical protein MGC35558	H300003908	NM_145013
0.674326425	SAMSN1	SAM domain, SH3 domain and nuclear localisation signals, 1	H200003420	NM_022136
0.672768641	KCNK17	Potassium channel, subfamily K, member 17	H200007543	NM_031460
0.672595333	CTSD	Cathepsin D (lysosomal aspartyl protease)	H200019931	NM_001909
0.671953443	FBXL11	F-box and leucine-rich repeat protein 11	H200017332	AK024147
0.67190985	SFRS8	Splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila)	H200007100	NM_004592
0.671814603	CHRNB1	Cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)	H200010386	NM_000747
0.671408786	WNT2	Wingless-type MMTV integration site family member 2	H200010393	NM_003391
0.670319753	LMAN2L	Lectin, mannose-binding 2-like	H200002749	NM_030805
0.669024793	ACTA2	Actin, alpha 2, smooth muscle, aorta	H200014719	NM_001613
0.66754096	ZNF30	Zinc finger protein 30 (KOX 28)	H200011519	AK000569
0.66458743	POLR3F	Polymerase (R) III (D directed) polypeptide F, 39 kDa	H200012741	NM_006466
0.663429702	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	H200015706	NM_006411
0.663385919	PCBP4	Poly(rC) binding protein 4	H200002943	NM_020418
0.663364784	C9orf111	Chromosome 9 open reading frame 111	H200010295	AK024443
0.662468982	FCHO1	FCH domain only 1	H200010742	AB006628
0.660497379	A4GALT	Alpha 1,4-galactosyltransferase	H200011416	NM_017436
0.659718014	RASL12	RAS-like, family 12	H200003723	NM_016563
0.659557109	ECEL1	Endothelin converting enzyme-like 1	H200003698	NM_004826
0.659088216	SIAT7D	Sialyltransferase 7D ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase)	H200000860	NM_014403
0.658887693	ZCCHC2	Zinc finger, CCHC domain containing 2	H200002765	AB051531
0.658398395	DST	Dystonin	H200020571	BC016991
0.658029085	PLAA	Phospholipase A2-activating protein	H200003740	AJ238243
0.657812239	CD86	CD86 antigen (CD28 antigen ligand 2, B7-2 antigen)	H200003805	NM_006889
0.656945271	KIAA0436	Putative prolyl oligopeptidase	H200000034	AB007896
0.656604522	MGC22793	Hypothetical protein MGC22793	H300005475	NM_145030
0.655532043	LDLR	Low density lipoprotein receptor (familial hypercholesterolemia)	H200015172	NM_000527
0.655464829	HECA	Headcase homolog (Drosophila)	H200001281	NM_016217
0.654094999	GDAP1	Ganglioside-induced differentiation-associated protein 1	H200007777	AL110252
0.653655657	ARID5B	AT rich interactive domain 5B (MRF1-like)	H200002171	AL049471
0.65240861	ZNF607	Zinc finger protein 607	H200019554	BC014850
0.651321336	CUL7	Cullin 7	H200005025	NM_014780
0.650842924	MEIS4	Meis1, myeloid ecotropic viral integration site 1 homolog 4 (mouse)	H200020467	AK054814
0.649469304	SC4MOL	Sterol-C4-methyl oxidase-like	H200015691	NM_006745
0.648312075	QSCN6L1	Quiescin Q6-like 1	H200018808	AJ420461
0.648138649	TRAF2	TNF receptor-associated factor 2	H200014887	NM_021138
0.646715884	SPTBN1	Spectrin, beta, non-erythrocytic 1	H200019109	AK023762
0.646577583	ZBED3	Zinc finger, BED domain containing 3	H200013801	NM_032367
0.645449235	DKFZp762C2	Hypothetical protein DKFZp762C2414	H200019807	AK055685
0.644886064	GIT1	G protein-coupled receptor kinase interactor 1	H200018904	NM_014030
0.64165677	FLJ12650	Hypothetical protein FLJ12650	H200000894	NM_024522
0.641458141	NFIB	Nuclear factor I/B	H200014405	AK022095
0.641372196	USP53	Ubiquitin specific protease 53	H200011142	AB037771
0.640332557	OSBPL6	Oxysterol binding protein-like 6	H200018921	NM_032523
0.639055642	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)	H200010970	NM_005825
0.638354644	SUI1	Putative translation initiation factor	H200013712	AL050005
0.637764856	SCARF1	Scavenger receptor class F, member 1	H200005271	NM_003693
0.637551881	NFE2L3	Nuclear factor (erythroid-derived 2)-like 3	H200003207	NM_004289
0.635914259	CLU	Clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	H200006005	NM_001831
0.634014789	USP11	Ubiquitin specific protease 11	H200007972	NM_004651
0.632693176	ABHD8	Abhydrolase domain containing 8	H200018947	NM_024527
0.631389059	DC-UbP	Dendritic cell-derived ubiquitin-like protein	H200008383	AK022894
0.631159877	CD200	CD200 antigen	H200006603	NM_005944
0.63071483	SERPINH1	Serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	H200001857	NM_001235
0.627942994	PITX2	Paired-like homeodomain transcription factor 2	H200010537	NM_000325
0.627524943	NEUGRIN	Mesenchymal stem cell protein DSC92	H200019050	NM_016645
0.6270278	C14orf132	Chromosome 14 open reading frame 132	H200007715	AK001590
0.624544143	P2RY5	Purinergic receptor P2Y, G-protein coupled, 5	H200014446	NM_005767
0.624418516	GOLGA2	Golgi autoantigen, golgin subfamily a, 2	H200019370	BC006381
