Location	HUGO name	Gene description	Accession	Fold change	P value
16q22-q23	GLG1	golgi apparatus protein 1	AK025457	-2.29	0.000424
16q22-q23.1	TK2	thymidine kinase 2, mitochondrial	BE895437	-1.46	0.000715
16q22-qter	COX4I1	cytochrome c oxidase subunit IV isoform 1	AA854966	-1.26	0.02498
16q23.1	TERF2IP	telomeric repeat binding factor 2, interacting protein	NM_018975	-1.48	0.021832
16q23.1	LOC440388	similar to coenzyme A diphosphatase	AI927964	-1.35	0.020248
16q23.3-q24.1	WWOX	WW domain containing oxidoreductase	NM_016373	-1.94	0.001264
16q23-q24	KARS	lysyl-tRNA synthetase	AF285758	-1.6	0.000009
16q24	APRT	adenine phosphoribosyltransferase	AA927724	-1.4	0.015552
16q24.1	CRISPLD2	LCCL domain containing cysteine-rich secretory protein 2	BC007689	-1.27	0.012707
16q24.1	KIAA0513	KIAA0513	NM_014732	-1.48	0.028814
16q24.1	C16orf44	Chromosome 16 open reading frame 44	AI693862	-1.59	0.00531
16q24.1	LOC441777	Similar to Serine/threonine-protein kinase PLK1	AI792242	-1.62	0.031381
16q24.1	DKFZp434O0320	hypothetical protein DKFZp434O0320	AL137562	-1.57	0.010704
16q24.2	FBXO31	F-box protein 31	NM_024735	-1.77	0.014122
16q24.3	CDH15	cadherin 15, M-cadherin (myotubule)	NM_004933	-1.57	0.018241
16q24.3	KIAA1049	KIAA1049 protein	BF000251	-1.32	0.015482
16q24.3	FLJ20186	hypothetical protein FLJ20186	NM_017702	-1.59	0.000254
16q24.3	RNF166	ring finger protein 166	BF057084	-1.5	0.003012
16q24.3	RPL13	ribosomal protein L13	BC004954	-1.42	0.000565
